Nadia nadia
field field
and and
how how
it it
interacts interact
with with
it it
, ,
by by
looking look
at at
gravitational gravitational
deflection deflection
-- --
we we
know know
that that
it it
probably probably
has have
a a
solid solid
core core
, ,
and and
we we
also also
know know
that that
Europa europa
is be
warm warm
. .
Now now
, ,
why why
would would
this this
moon moon
out out
there there
at at
Jupiter jupiter
' '
s s
distance distance
, ,
why why
would would
it it
be be
warm warm
, ,
right right
? ?
Why why
would would
Jupiter jupiter
' '
s s
other other
moon moon
, ,
Io io
, ,
have have
active active
volcanoes volcano
? ?
That that
' '
s s
really really
warm warm
. .
That that
' '
s s
crazy crazy
warm warm
. .
And and
the the
answer answer
is be
these these
moons moon
actually actually
interact interact
with with
one one
another another
. .
They they
do do
like like
a a
little little
resonant resonant
dance dance
with with
each each
other other
as as
they they
orbit orbit
Jupiter jupiter
. .
And and
as as
they they
orbit orbit
one one
another another
and and
interact interact
with with
one one
another another
, ,
the the
gravity gravity
of of
these these
moons moon
makes make
very very
tiny tiny
flexes flex
in in
the the
shape shape
of of
the the
moons moon
, ,
but but
the the
flexes flex
repeat repeat
over over
time time
and and
that that
repeating repeat
warms warm
the the
planet planet
. .
I i
used use
to to
illustrate illustrate
this this
for for
kids kid
with with
old old
credit credit
cards card
. .
If if
you you
take take
an an
old old
credit credit
card card
and and
you you
bend bend
it it
, ,
bend bend
it it
, ,
bend bend
it it
, ,
bend bend
it it
, ,
and and
you you
feel feel
where where
you you
' '
re re
bending bend
, ,
it it
' '
s s
warm warm
. .
It it
' '
s s
really really
the the
same same
process process
. .
It it
' '
s s
that that
flexing flex
is be
what what
warms warm
these these
. .
So so
for for
Europa europa
in in
orbit orbit
around around
Jupiter jupiter
, ,
we we
have have
the the
water water
, ,
we we
have have
the the
rocky rocky
surface surface
deep deep
inside inside
. .
We we
have have
warmth warmth
. .
We we
' '
ve ve
got get
this this
energy energy
source source
thing thing
. .
So so
is be
it it
possible possible
that that
life life
has have
formed form
there there
? ?
Sure sure
. .
Who who
am be
I i
to to
say say
no no
? ?
I i
mean mean
, ,
what what
do do
I i
know know
? ?
I i
mean mean
, ,
the the
universe universe
is be
much much
more more
complex complex
than than
I i
can can
imagine imagine
. .
So so
we we
are be
building build
a a
spacecraft spacecraft
called call
the the
Clipper clipper
spacecraft spacecraft
, ,
which which
is be
going go
to to
go go
to to
the the
Jupiter jupiter
system system
and and
it it
' '
s s
going go
to to
orbit orbit
Jupiter jupiter
, ,
but but
it it
' '
s s
going go
to to
do do
multiple multiple
flybys flyby
of of
the the
moon moon
Europa europa
. .
ND nd
: :
So so
, ,
Heidi heidi
, ,
word word
on on
the the
street street
is be
that that
you you
have have
a a
favorite favorite
moon moon
. .
What what
is be
it it
? ?
And and
there there
' '
s s
only only
one one
right right
answer answer
to to
this this
question question
. .
HH hh
: :
My my
favorite favorite
moon moon
is be
Triton triton
. .
ND nd
: :
It it
' '
s s
a a
pretty pretty
good good
one one
. .
HH hh
: :
It it
' '
s s
not not
the the
right right
one one
, ,
though though
? ?
ND nd
: :
I i
was be
going go
to to
say say
Iapetus iapetus
. .
HH hh
: :
No no
, ,
no no
, ,
no no
, ,
no no
. .
We we
' '
re re
going go
to to
have have
a a
long long
conversation conversation
about about
that that
. .
ND nd
: :
Tell tell
me me
why why
Triton triton
is be
better good
. .
HH hh
: :
Triton triton
is be
such such
a a
cool cool
moon moon
. .
It it
goes go
in in
a a
retrograde retrograde
orbit orbit
backwards backwards
around around
the the
planet planet
. .
We we
think think
it it
was be
actually actually
a a
Kuiper kuiper
Belt belt
object object
that that
got get
too too
close close
to to
Neptune neptune
and and
was be
captured capture
by by
Neptune neptune
. .
And and
it it
' '
s s
a a
big big
moon moon
. .
I i
mean mean
, ,
if if
you you
want want
Pluto pluto
to to
be be
a a
planet planet
, ,
I i
don don
' '
t t
know know
where where
you you
stand stand
on on
that that
issue issue
, ,
but but
Triton triton
is be
twin twin
to to
Pluto pluto
. .
So so
it it
' '
s s
like like
a a
planet planet
in in
orbit orbit
around around
another another
planet planet
. .
ND nd
: :
But but
it it
' '
s s
going go
backwards backwards
. .
HH hh
: :
But but
it it
' '
s s
going go
backwards backwards
around around
the the
planet planet
. .
And and
when when
Voyager voyager
flew fly
by by
in in
1989 @card@
, ,
it it
actually actually
flew fly
kind kind
of of
close close
, ,
so so
we we
got get
a a
good good
view view
of of
one one
half half
of of
it it
. .
And and
it it
' '
s s
got get
remarkable remarkable
terrain terrain
and and
it it
has have
active active
cryovolcanoes cryovolcano
on on
it it
. .
There there
are be
volcanoes volcano
, ,
ice ice
volcanoes volcano
, ,
erupting erupt
on on
Triton triton
, ,
like like
, ,
in in
real real
time time
. .
So so
that that
' '
s s
pretty pretty
amazing amazing
. .
I i
mean mean
, ,
it it
' '
s s
got get
an an
atmosphere atmosphere
, ,
right right
? ?
And and
it it
could could
have have
a a
liquid liquid
water water
ocean ocean
inside inside
it it
. .
So so
it it
may may
be be
an an
ocean ocean
world world
. .
And and
since since
we we
know know
it it
' '
s s
active active
, ,
because because
we we
saw see
it it
with with
Voyager voyager
, ,
that that
may may
be be
another another
abode abode
for for
life life
. .
ND nd
: :
So so
, ,
Heidi heidi
, ,
how how
did do
you you
become become
interested interested
in in
astronomy astronomy
? ?
What what
was be
it it
that that
lit light
that that
fire fire
for for
you you
? ?
HH hh
: :
It it
' '
s s
kind kind
of of
a a
goofy goofy
story story
, ,
but but
I i
think think
in in
one one
sense sense
, ,
I i
became become
an an
astronomer astronomer
because because
I i
used use
to to
get get
carsick carsick
. .
ND nd
: :
Seriously seriously
? ?
HH hh
: :
My my
family family
would would
go go
on on
road road
trips trip
and and
, ,
you you
know know
, ,
I i
would would
be be
in in
the the
back back
of of
the the
car car
and and
I i
' '
d d
be be
so so
sick sick
and and
I i
couldn couldn
' '
t t
read read
. .
I i
couldn couldn
' '
t t
do do
anything anything
except except
stare stare
out out
the the
window window
. .
And and
at at
night night
, ,
staring stare
out out
the the
window window
, ,
I i
started start
to to
recognize recognize
star star
patterns pattern
like like
the the
Big big
Dipper dipper
and and
Orion orion
. .
And and
I i
became become
more more
familiar familiar
with with
them them
because because
that that
' '
s s
all all
I i
could could
do do
is be
to to
stare stare
out out
at at
the the
sky sky
. .
And and
so so
, ,
you you
know know
, ,
I i
think think
that that
sort sort
of of
kindled kindle
an an
interest interest
for for
me me
. .
But but
I i
had have
a a
math math
teacher teacher
who who
one one
day day
took take
her her
class class
of of
four four
students student
aside aside
and and
said say
, ,
" "
Where where
are be
you you
young young
people people
planning plan
to to
go go
to to
college college
? ?
" "
And and
when when
it it
came come
to to
my my
turn turn
, ,
I i
said say
, ,
" "
Penn penn
State state
. .
" "
She she
said say
, ,
" "
Why why
? ?
" "
And and
I i
said say
, ,
" "
Well well
, ,
my my
dad dad
went go
to to
Penn penn
State state
and and
I i
live live
in in
Pennsylvania pennsylvania
. .
" "
She she
said say
, ,
" "
I i
think think
you you
should should
apply apply
to to
MIT mit
. .
" "
ND nd
: :
Wow wow
. .
HH hh
: :
And and
I i
said say
, ,
" "
I i
don don
' '
t t
even even
know know
what what
that that
is be
. .
" "
So so
she she
encouraged encourage
me me
and and
I i
applied apply
. .
When when
it it
came come
time time
for for
letters letter
of of
recommendation recommendation
, ,
I i
asked ask
my my
chemistry chemistry
teacher teacher
to to
write write
me me
a a
letter letter
, ,
and and
he he
said say
no no
. .
And and
I i
said say
, ,
" "
Why why
not not
? ?
" "
He he
said say
, ,
" "
You you
' '
ll ll
never never
get get
into into
MIT mit
. .
" "
So so
I i
asked ask
my my
history history
teacher teacher
instead instead
, ,
and and
she she
did do
write write
a a
letter letter
and and
I i
did do
get get
into into
MIT mit
. .
And and
when when
I i
brought bring
back back
my my
acceptance acceptance
letter letter
and and
showed show
it it
to to
my my
chemistry chemistry
teacher teacher
-- --
" "
Look look
, ,
I i
got get
into into
MIT mit
. .
" "
-- --
he he
said say
, ,
" "
It it
' '
s s
only only
because because
you you
' '
re re
a a
woman woman
. .
They they
have have
quotas quota
to to
fill fill
. .
" "
This this
is be
in in
1978 @card@
when when
people people
said say
things thing
like like
that that
to to
your your
face face
. .
That that
made make
me me
angry angry
more more
than than
anything anything
. .
So so
I i
was be
determined determine
to to
go go
to to
MIT mit
and and
-- --
graduate graduate
, ,
you you
know know
. .
ND nd
: :
What what
are be
some some
of of
the the
most most
nagging nagging
unanswered unanswered
questions question
in in
your your
mind mind
that that
exist exist
in in
astronomy astronomy
? ?
Any any
field field
in in
astronomy astronomy
, ,
could could
be be
anywhere anywhere
in in
the the
universe universe
, ,
close close
to to
home home
, ,
far far
away away
. .
What what
bugs bug
you you
? ?
What what
keeps keep
you you
up up
at at
night night
? ?
HH hh
: :
How how
did do
the the
first first
stars star
and and
galaxies galaxy
form form
in in
the the
universe universe
? ?
We we
have have
lots lot
of of
models model
and and
theories theory
, ,
but but
to to
be be
able able
to to
make make
actual actual
observations observation
as as
early early
as as
we we
can can
, ,
to to
tie tie
together together
some some
of of
the the
disparate disparate
observations observation
we we
have have
with with
a a
coherent coherent
story story
. .
I i
think think
that that
is be
an an
area area
that that
is be
very very
, ,
very very
interesting interesting
right right
now now
. .
And and
of of
course course
, ,
that that
' '
s s
why why
James james
Webb webb
Space space
Telescope telescope
was be
built build
, ,
to to
add add
a a
piece piece
to to
that that
story story
. .
ND nd
: :
Uh-huh uh-huh
. .
HH hh
: :
I i
think think
I i
' '
m m
also also
interested interested
in in
how how
our our
planetary planetary
system system
that that
we we
live live
in in
, ,
how how
did do
it it
in in
particular particular
come come
to to
be be
and and
how how
did do
it it
come come
to to
be be
habitable habitable
? ?
We we
know know
this this
is be
the the
only only
one one
. .
. .
. .
the the
only only
system system
that that
we we
know know
is be
inhabited inhabit
, ,
right right
, ,
is be
our our
solar solar
system system
. .
ND nd
: :
Right right
. .
HH hh
: :
Is be
it it
required required
that that
you you
have have
giant giant
planets planet
in in
the the
outer outer
system system
and and
small small
planets planet
in in
the the
inner inner
solar solar
system system
to to
make make
habitability habitability
? ?
Or or
is be
it it
just just
by by
happenstance happenstance
? ?
Did do
you you
have have
to to
have have
a a
Jupiter jupiter
to to
make make
it it
habitable habitable
? ?
Did do
you you
have have
to to
have have
a a
Neptune neptune
to to
sweep sweep
out out
through through
the the
Kuiper kuiper
Belt belt
and and
deliver deliver
volatiles volatile
to to
the the
inner inner
solar solar
system system
, ,
water water
and and
stuff stuff
? ?
I i
mean mean
, ,
that that
' '
s s
so so
interesting interesting
. .
And and
. .
. .
. .
And and
it it
touches touch
us us
as as
humans human
. .
Like like
, ,
how how
did do
we we
come come
to to
be be
? ?
It it
' '
s s
part part
of of
our our
story story
, ,
it it
' '
s s
part part
of of
our our
life life
story story
. .
So so
I i
' '
m m
very very
interested interested
in in
that that
question question
as as
well well
. .
And and
we we
still still
have have
so so
many many
observations observation
left leave
to to
make make
, ,
both both
within within
our our
solar solar
system system
and and
in in
the the
greater great
universe universe
. .
I i
think think
astronomers astronomer
will will
be be
busy busy
for for
a a
long long
time time
to to
come come
. .
