I i
Antarctica antarctica
and and
the the
Poles poles
. .
Those those
are be
seals seal
from from
many many
countries country
being be
released release
who who
are be
sampling sample
underneath underneath
the the
ice ice
sheets sheet
and and
giving give
us us
temperature temperature
data datum
of of
oceanographic oceanographic
quality quality
on on
both both
poles pole
. .
This this
data datum
, ,
when when
visualized visualize
, ,
is be
captivating captivate
to to
watch watch
. .
We we
still still
haven haven
' '
t t
figured figure
out out
best good
how how
to to
visualize visualize
the the
data datum
. .
And and
then then
, ,
as as
these these
animals animal
swim swim
and and
give give
us us
the the
information information
that that
' '
s s
important important
to to
climate climate
issues issue
, ,
we we
also also
think think
it it
' '
s s
critical critical
to to
get get
this this
information information
to to
the the
public public
, ,
to to
engage engage
the the
public public
with with
this this
kind kind
of of
data datum
. .
We we
did do
this this
with with
the the
Great great
Turtle turtle
Race race
â â
tagged tag
turtles turtle
, ,
brought bring
in in
four four
million million
hits hit
. .
And and
now now
with with
Google google
' '
s s
Oceans ocean
, ,
we we
can can
actually actually
put put
a a
white white
shark shark
in in
that that
ocean ocean
. .
And and
when when
we we
do do
and and
it it
swims swim
, ,
we we
see see
this this
magnificent magnificent
bathymetry bathymetry
that that
the the
shark shark
knows know
is be
there there
on on
its its
path path
as as
it it
goes go
from from
California california
to to
Hawaii hawaii
. .
But but
maybe maybe
Mission mission
Blue blue
can can
fill fill
in in
that that
ocean ocean
that that
we we
can can
' '
t t
see see
. .
We we
' '
ve ve
got get
the the
capacity capacity
, ,
NASA nasa
has have
the the
ocean ocean
. .
We we
just just
need need
to to
put put
it it
together together
. .
So so
in in
conclusion conclusion
, ,
we we
know know
where where
Yellowstone yellowstone
is be
for for
North north
America america
; ;
it it
' '
s s
off off
our our
coast coast
. .
We we
have have
the the
technology technology
that that
' '
s s
shown show
us us
where where
it it
is be
. .
What what
we we
need need
to to
think think
about about
perhaps perhaps
for for
Mission mission
Blue blue
is be
increasing increase
the the
biologging biologging
capacity capacity
. .
How how
is be
it it
that that
we we
can can
actually actually
take take
this this
type type
of of
activity activity
elsewhere elsewhere
? ?
And and
then then
finally finally
â â
to to
basically basically
get get
the the
message message
home home
â â
maybe maybe
use use
live live
links link
from from
animals animal
such such
as as
blue blue
whales whale
and and
white white
sharks shark
. .
Make make
killer killer
apps apps
, ,
if if
you you
will will
. .
A a
lot lot
of of
people people
are be
excited excite
when when
sharks shark
actually actually
went go
under under
the the
Golden golden
Gate gate
Bridge bridge
. .
Let let
' '
s s
connect connect
the the
public public
to to
this this
activity activity
right right
on on
their their
iPhone iphone
. .
That that
way way
we we
do do
away away
with with
a a
few few
internet internet
myths myth
. .
So so
we we
can can
save save
the the
bluefin bluefin
tuna tuna
. .
We we
can can
save save
the the
white white
shark shark
. .
We we
have have
the the
science science
and and
technology technology
. .
Hope hope
is be
here here
. .
Yes yes
we we
can can
. .
We we
need need
just just
to to
apply apply
this this
capacity capacity
further further
in in
the the
oceans ocean
. .
Thank thank
you you
. .
