David david
they they
feel feel
like like
they they
' '
re re
in in
a a
place place
that that
has have
distinctive distinctive
values value
, ,
and and
they they
start start
to to
identify identify
with with
those those
values value
. .
I i
worry worry
a a
lot lot
about about
the the
dark dark
side side
of of
strong strong
cultures culture
though though
, ,
which which
is be
that that
they they
tend tend
to to
breed breed
homogeneity homogeneity
, ,
that that
can can
cause cause
groupthink groupthink
, ,
in in
a a
lot lot
of of
cases case
they they
have have
trouble trouble
changing change
and and
adapting adapt
because because
people people
are be
so so
committed commit
to to
the the
way way
we we
have have
always always
done do
things thing
or or
the the
values value
we we
' '
ve ve
always always
held hold
. .
Did do
you you
see see
any any
of of
those those
sharper sharp
edges edge
? ?
DF df
: :
Yeah yeah
, ,
I i
think think
that that
feels feel
right right
, ,
you you
know know
, ,
from from
having have
lived live
inside inside
a a
strong strong
culture culture
, ,
is be
that that
some some
things thing
start start
to to
just just
happen happen
because because
. .
I i
' '
m m
not not
sure sure
if if
you you
' '
re re
familiar familiar
with with
the the
pot pot
roast roast
story story
, ,
but but
it it
' '
s s
one one
of of
these these
work-fables work-fable
of of
just just
doing do
things thing
. .
AG ag
: :
The the
what what
? ?
DF df
: :
The the
pot pot
roast roast
story story
? ?
AG ag
: :
Not not
described describe
that that
way way
. .
DF df
: :
OK ok
, ,
I i
' '
ll ll
give give
it it
real real
quick quick
, ,
it it
' '
s s
a a
parent parent
and and
a a
child child
cooking cook
a a
pot pot
roast roast
, ,
and and
the the
first first
thing thing
the the
parent parent
does do
when when
they they
take take
the the
pot pot
roast roast
out out
is be
they they
cut cut
the the
ends end
off off
. .
And and
the the
child child
says say
, ,
" "
Why why
do do
you you
do do
that that
? ?
" "
They they
say say
, ,
" "
Well well
it it
' '
s s
in in
the the
recipe recipe
. .
So so
let let
' '
s s
call call
a a
grandparent grandparent
and and
see see
. .
" "
They they
call call
the the
grandparent grandparent
and and
they they
say say
, ,
" "
I i
' '
ve ve
just just
always always
done do
it it
, ,
that that
' '
s s
what what
' '
s s
in in
the the
recipe recipe
. .
" "
And and
the the
family family
was be
very very
lucky lucky
that that
the the
great great
grandparent grandparent
was be
still still
around around
, ,
so so
they they
called call
the the
great great
grandparent grandparent
that that
wrote write
the the
recipe recipe
. .
And and
they they
say say
, ,
" "
Oh oh
well well
my my
pan pan
was be
just just
too too
small small
so so
I i
always always
cut cut
the the
ends end
off off
. .
" "
So so
the the
idea idea
being be
that that
we we
just just
do do
things thing
because because
we we
thought think
that that
' '
s s
what what
was be
right right
. .
And and
when when
you you
have have
these these
strong strong
cultures culture
with with
a a
bit bit
of of
a a
lore lore
about about
them them
, ,
it it
becomes become
incredibly incredibly
difficult difficult
to to
trace trace
back back
like like
, ,
why why
certain certain
things thing
are be
the the
way way
they they
are be
and and
the the
strong strong
culture culture
just just
keeps keep
them them
going go
. .
So so
I i
think think
that that
that that
' '
s s
absolutely absolutely
a a
side side
effect effect
, ,
a a
potentially potentially
negative negative
side side
effect effect
of of
a a
really really
strong strong
culture culture
, ,
especially especially
as as
you you
scale scale
. .
Those those
things thing
might might
be be
fine fine
if if
you you
stay stay
at at
the the
same same
scale scale
for for
a a
very very
long long
time time
, ,
but but
when when
every every
three three
to to
six six
months month
the the
business business
is be
fundamentally fundamentally
different different
and and
the the
scale scale
and and
infrastructure infrastructure
is be
different different
, ,
those those
things thing
can can
start start
to to
be be
of of
an an
issue issue
, ,
because because
you you
start start
to to
have have
these these
cohorts cohort
of of
culture culture
, ,
especially especially
when when
you you
' '
re re
onboarding onboarding
a a
lot lot
of of
people people
, ,
you you
' '
ve ve
got get
the the
folks folk
that that
have have
been be
there there
for for
five five
years year
, ,
five five
and and
a a
half half
years year
, ,
four four
years year
, ,
and and
they they
' '
ve ve
got get
the the
snapshot snapshot
of of
what what
the the
most most
current current
version version
was be
at at
that that
time time
. .
And and
it it
becomes become
, ,
like like
, ,
cemented cement
in in
, ,
and and
so so
you you
find find
yourself yourself
with with
people people
debating debate
what what
the the
right right
way way
is be
, ,
not not
even even
, ,
again again
, ,
knowing know
what what
the the
source source
of of
that that
thing thing
was be
. .
And and
so so
I i
think think
the the
combination combination
of of
a a
strong strong
culture culture
, ,
high high
growth growth
and and
high high
speed speed
make make
for for
some some
really really
interesting interesting
times time
. .
AG ag
: :
What what
' '
s s
a a
WeWork wework
example example
of of
the the
pot pot
roast roast
? ?
DF df
: :
This this
foggy foggy
vinyl vinyl
on on
the the
glass glass
. .
You you
know know
, ,
a a
lot lot
of of
members member
would would
want want
privacy privacy
, ,
and and
they they
would would
want want
to to
put put
some some
translucency translucency
on on
the the
glass glass
in in
the the
buildings building
so so
that that
their their
office office
would would
have have
a a
little little
bit bit
more more
privacy privacy
. .
Like like
, ,
if if
people people
want want
privacy privacy
, ,
no no
problem problem
, ,
we we
just just
put put
up up
the the
vinyl vinyl
, ,
and and
so so
you you
would would
just just
see see
different different
things thing
, ,
where where
it it
' '
s s
like like
, ,
" "
Oh oh
, ,
that that
' '
s s
not not
allowed allow
at at
all all
, ,
" "
which which
was be
not not
true true
. .
That that
was be
one one
that that
I i
always always
found find
myself myself
being be
pulled pull
into into
a a
meeting meeting
, ,
like like
, ,
we we
' '
re re
not not
allowed allow
to to
do do
that that
, ,
and and
I i
' '
d d
be be
like like
, ,
" "
You you
' '
re re
absolutely absolutely
allowed allow
to to
do do
that that
, ,
that that
' '
s s
what what
the the
member member
wants want
, ,
give give
it it
to to
them them
, ,
it it
' '
s s
not not
a a
big big
deal deal
. .
" "
AG ag
: :
This this
definitely definitely
captures capture
the the
double-edged double-edged
sword sword
of of
strong strong
cultures culture
in in
a a
compelling compelling
way way
. .
I i
think think
about about
one one
of of
the the
benefits benefit
of of
strong strong
cultures culture
being be
that that
leaders leader
don don
' '
t t
have have
to to
use use
incentives incentive
or or
controls control
or or
punishments punishment
because because
people people
have have
internalized internalize
what what
the the
values value
and and
norms norm
are be
, ,
and and
that that
means mean
if if
they they
see see
something something
that that
is be
not not
being be
done do
right right
, ,
or or
a a
rule rule
that that
' '
s s
being be
broken break
, ,
or or
a a
principle principle
that that
' '
s s
being be
violated violate
, ,
they they
will will
enforce enforce
it it
themselves themselves
. .
And and
that that
' '
s s
the the
upside upside
. .
The the
downside downside
is be
, ,
people people
will will
enforce enforce
it it
themselves themselves
, ,
and and
they they
might might
not not
be be
enforcing enforce
the the
right right
principles principle
. .
DF df
: :
Yeah yeah
, ,
I i
found find
myself myself
in in
just just
way way
too too
many many
meetings meeting
being be
the the
person person
that that
was be
willing willing
and and
seeming seeming
to to
the the
others other
empowered empower
enough enough
to to
change change
the the
norm norm
. .
But but
they they
would would
just just
be be
spinning spin
and and
spinning spin
, ,
it it
' '
s s
like like
, ,
" "
We we
can can
' '
t t
, ,
but but
we we
should should
, ,
but but
we we
can can
' '
t t
. .
" "
Where where
did do
that that
come come
from from
? ?
I i
was be
like like
, ,
" "
Guys guys
, ,
it it
' '
s s
totally totally
OK ok
, ,
just just
do do
it it
, ,
if if
it it
' '
s s
not not
OK ok
I i
' '
ll ll
take take
the the
heat heat
. .
" "
And and
it it
was be
always always
OK ok
. .
And and
I i
feel feel
like like
, ,
when when
things thing
got get
stuck stick
, ,
that that
' '
s s
a a
lot lot
of of
the the
stuff stuff
that that
was be
happening happen
, ,
it it
was be
these these
cultural cultural
norms norm
, ,
and and
you you
couldn couldn
' '
t t
even even
ask ask
somebody somebody
, ,
" "
Hey hey
, ,
where where
did do
you you
see see
this this
written write
? ?
" "
And and
more more
often often
than than
not not
you you
couldn couldn
' '
t t
find find
it it
. .
AG ag
: :
I i
want want
to to
ask ask
you you
a a
little little
bit bit
about about
leadership leadership
, ,
which which
obviously obviously
is be
a a
core core
driver driver
of of
culture culture
. .
Adam adam
seemed seem
to to
do do
a a
lot lot
of of
preaching preach
about about
what what
WeWork wework
was be
going go
to to
accomplish accomplish
, ,
what what
the the
values value
were be
, ,
what what
the the
mission mission
was be
. .
Do do
you you
think think
he he
believed believe
all all
of of
what what
he he
was be
saying say
, ,
or or
was be
he he
hoping hope
other other
people people
would would
drink drink
the the
Kool-Aid kool-aid
? ?
DF df
: :
I i
think think
he he
believed believe
it it
. .
You you
know know
, ,
I i
like like
to to
believe believe
he he
believed believe
it it
. .
I i
know know
that that
the the
team team
believed believe
it it
. .
And and
that that
as as
a a
workforce workforce
, ,
and and
as as
a a
team team
, ,
and and
as as
a a
culture culture
we we
believed believe
it it
. .
The the
question question
I i
' '
m m
kind kind
of of
curious curious
about about
, ,
and and
curious curious
on on
your your
take take
on on
is be
like like
, ,
how how
much much
does do
a a
belief belief
system system
matter matter
to to
a a
culture culture
, ,
and and
how how
important important
is be
it it
that that
the the
leader leader
can can
either either
embody embody
or or
present present
the the
belief belief
system system
in in
a a
way way
that that
can can
get get
people people
behind behind
it it
? ?
So so
I i
think think
he he
believed believe
it it
and and
I i
definitely definitely
believe believe
he he
got get
people people
to to
believe believe
it it
. .
I i
' '
m m
kind kind
of of
curious curious
for for
myself myself
on on
how how
much much
that that
mattered matter
for for
the the
incredible incredible
things thing
that that
we we
were be
able able
to to
achieve achieve
. .
I i
think think
they they
mattered matter
a a
lot lot
, ,
but but
I i
' '
m m
curious curious
from from
your your
surveying surveying
of of
companies company
and and
founders founder
and and
CEOs ceo
, ,
if if
you you
' '
ve ve
seen see
that that
as as
a a
common common
trait trait
? ?
AG ag
: :
Yeah yeah
, ,
I i
think think
so so
. .
There there
' '
s s
evidence evidence
that that
charismatic charismatic
leaders leader
are be
more more
successful successful
at at
pitching pitch
their their
companies company
and and
fundraising fundraising
. .
It it
' '
s s
not not
surprising surprising
, ,
I i
think think
, ,
to to
anyone anyone
that that
that that
would would
be be
true true
. .
There there
is be
also also
evidence evidence
that that
the the
cultural cultural
blueprints blueprint
that that
founders founder
have have
in in
their their
minds mind
when when
they they
first first
launched launch
their their
companies company
, ,
they they
cast cast
a a
real real
shadow shadow
on on
the the
future future
of of
the the
company company
, ,
even even
if if
founders founder
rotate rotate
out out
of of
leadership leadership
. .
There there
' '
s s
a a
study study
of of
a a
couple couple
a a
hundred hundred
Silicon silicon
Valley valley
start-ups start-up
where where
Jim jim
Baron baron
and and
his his
colleagues colleague
identified identify
the the
cultural cultural
blueprints blueprint
, ,
and and
they they
found find
that that
if if
you you
, ,
as as
a a
founder founder
, ,
had have
a a
blueprint blueprint
where where
you you
were be
going go
to to
convince convince
people people
that that
you you
had have
an an
important important
mission mission
and and
everyone everyone
was be
going go
to to
be be
passionate passionate
about about
that that
mission mission
and and
the the
culture culture
was be
organized organize
around around
commitment commitment
, ,
that that
your your
start-up start-up
was be
less less
likely likely
to to
fail fail
, ,
and and
it it
was be
also also
significantly significantly
more more
likely likely
to to
have have
an an
IPO ipo
. .
But but
then then
post-IPO post-ipo
, ,
those those
start-ups start-up
that that
were be
strong strong
cultures culture
of of
commitment commitment
, ,
they they
grew grow
at at
slower slow
rates rate
, ,
if if
you you
track track
metrics metric
like like
annual annual
market market
capitalization capitalization
. .
And and
I i
think think
that that
' '
s s
where where
you you
start start
to to
see see
some some
of of
the the
rigidity rigidity
and and
groupthink groupthink
problems problem
come come
in in
, ,
where where
you you
begin begin
to to
weed weed
out out
diversity diversity
of of
thought thought
, ,
you you
end end
up up
with with
more more
homogeneity homogeneity
. .
And and
I i
guess guess
where where
that that
' '
s s
left leave
me me
is be
wondering wonder
whether whether
the the
kind kind
of of
charisma charisma
and and
conviction conviction
that that
you you
are be
describing describe
in in
Adam adam
is be
helpful helpful
for for
a a
company company
to to
grow grow
at at
an an
exorbitant exorbitant
rate rate
early early
, ,
and and
then then
over over
time time
, ,
sort sort
of of
, ,
shoots shoot
the the
company company
in in
the the
foot foot
? ?
DF df
: :
Well well
, ,
this this
will will
definitely definitely
make make
for for
an an
interesting interesting
case case
study study
, ,
because because
we we
' '
ve ve
kind kind
of of
got get
the the
full full
cycle cycle
. .
Look look
, ,
I i
really really
-- --
Coming come
back back
to to
the the
question question
on on
belief belief
, ,
I i
believe believe
he he
believed believe
it it
. .
I i
think think
he he
had have
other other
things thing
that that
drove drive
that that
belief belief
system system
and and
his his
ambitions ambition
of of
things thing
he he
wanted want
to to
achieve achieve
, ,
which which
, ,
honestly honestly
, ,
he he
achieved achieve
a a
lot lot
of of
them them
. .
And and
so so
I i
' '
m m
not not
sure sure
like like
, ,
sort sort
of of
, ,
chicken chicken
and and
egg egg
-- --
which which
one one
was be
driving driving
which which
, ,
at at
a a
certain certain
point point
the the
belief belief
can can
only only
push push
you you
so so
far far
. .
And and
so so
maybe maybe
that that
' '
s s
what what
we we
felt feel
there there
at at
the the
end end
. .
AG ag
: :
Yeah yeah
, ,
I i
think think
that that
' '
s s
fair fair
. .
It it
reminds remind
me me
a a
little little
bit bit
of of
some some
research research
by by
Sandra sandra
Cha cha
and and
Amy amy
Edmondson edmondson
, ,
who who
studied study
values-driven values-driven
organizations organization
and and
found find
that that
the the
more more
emphasis emphasis
leaders leader
put put
on on
values value
, ,
the the
more more
risk risk
they they
end end
up up
taking take
of of
being be
accused accuse
of of
hypocrisy hypocrisy
. .
Where where
you you
get get
people people
convinced convince
that that
you you
stand stand
for for
higher high
principles principle
and and
moral moral
ideals ideal
, ,
and and
then then
the the
moment moment
that that
you you
deviate deviate
from from
those those
, ,
there there
' '
s s
a a
giant giant
gap gap
and and
people people
are be
very very
quick quick
to to
point point
out out
that that
you you
are be
not not
practicing practice
what what
you you
preach preach
. .
I i
' '
m m
curious curious
to to
hear hear
your your
perspective perspective
on on
that that
and and
do do
you you
feel feel
like like
some some
of of
what what
happened happen
at at
WeWork wework
was be
hypocrisy hypocrisy
because because
the the
values value
and and
aspirations aspiration
were be
preached preach
in in
such such
an an
aspirational aspirational
way way
? ?
Or or
do do
you you
have have
a a
different different
analysis analysis
of of
where where
it it
started start
to to
unfold unfold
? ?
DF df
: :
I i
definitely definitely
think think
that that
that that
is be
the the
source source
of of
a a
lot lot
of of
the the
disappointment disappointment
. .
That that
what what
was be
presented present
as as
what what
the the
organization organization
stood stand
for for
, ,
as as
more more
and and
more more
commercial commercial
pressure pressure
mounted mount
, ,
you you
know know
, ,
being be
public public
and and
things thing
like like
that that
, ,
some some
of of
those those
things thing
were be
harder hard
to to
live live
. .
I i
don don
' '
t t
think think
there there
' '
s s
necessarily necessarily
a a
one one
to to
one one
. .
I i
am be
not not
sure sure
a a
company company
can can
be be
altruistic altruistic
, ,
not not
that that
we we
were be
pretending pretend
to to
be be
altruistic altruistic
. .
And and
so so
I i
could could
imagine imagine
, ,
that that
since since
the the
company company
had have
really really
built build
an an
existence existence
of of
caring care
about about
people people
and and
the the
community community
so so
much much
, ,
that that
if if
you you
did do
anything anything
that that
looked look
anything anything
like like
not not
that that
, ,
that that
you you
run run
the the
risk risk
. .
And and
I i
think think
these these
mission-led mission-led
companies company
and and
companies company
with with
great great
aspirations aspiration
, ,
that that
is be
the the
challenge challenge
, ,
I i
think think
it it
' '
s s
part part
of of
what what
gets get
your your
customers customer
to to
buy buy
into into
what what
you you
do do
, ,
it it
' '
s s
part part
of of
what what
get get
your your
team team
to to
buy buy
into into
what what
you you
do do
and and
to to
grow grow
. .
But but
you you
set set
the the
bar bar
for for
yourself yourself
incredibly incredibly
high high
. .
And and
I i
think think
some some
companies company
have have
been be
, ,
like like
, ,
very very
clear clear
and and
pragmatic pragmatic
about about
what what
they they
do do
, ,
and and
are be
able able
to to
live live
that that
. .
I i
think think
Amazon amazon
does do
that that
pretty pretty
well well
. .
I i
think think
that that
' '
s s
tricky tricky
. .
You you
know know
, ,
being be
able able
to to
manage manage
this this
aspirational aspirational
, ,
very very
human-centric human-centric
brand brand
, ,
you you
know know
, ,
you you
' '
ve ve
got get
to to
really really
operate operate
tightly tightly
and and
I i
think think
the the
world world
is be
becoming become
less less
tolerant tolerant
of of
a a
deviation deviation
from from
your your
actions action
and and
your your
words word
. .
And and
so so
I i
think think
that that
' '
s s
something something
companies company
are be
going go
to to
have have
to to
be be
very very
thoughtful thoughtful
about about
as as
they they
establish establish
these these
brands brand
and and
what what
they they
stand stand
for for
and and
their their
values value
and and
they they
better well
be be
prepared prepare
to to
really really
live live
by by
them them
. .
AG ag
: :
Yeah yeah
, ,
I i
guess guess
that that
goes go
to to
the the
question question
of of
narcissistic narcissistic
leadership leadership
. .
And and
I i
know know
you you
know know
I i
' '
ve ve
spent spend
a a
lot lot
of of
my my
career career
studying study
the the
dynamics dynamics
of of
giving give
and and
taking take
, ,
and and
in in
the the
IPO ipo
there there
' '
s s
just just
an an
unusual unusual
number number
of of
" "
Is i
" "
and and
" "
mes mes
" "
, ,
and and
we we
know know
from from
evidence evidence
that that
narcissistic narcissistic
taker taker
CEOs ceo
are be
more more
likely likely
to to
use use
" "
I i
" "
and and
" "
me me
" "
when when
talking talk
about about
their their
companies company
. .
There there
' '
s s
one one
article article
calling call
Adam adam
the the
most most
talented talented
grifter grifter
of of
our our
time time
. .
I i
' '
m m
just just
curious curious
to to
hear hear
your your
reaction reaction
to to
that that
set set
of of
observations observation
. .
DF df
: :
I i
have have
described describe
him him
before before
as as
, ,
like like
, ,
the the
best well
personal personal
trainer trainer
you you
never never
had have
. .
He he
could could
get get
people people
to to
push push
themselves themselves
to to
deliver deliver
and and
to to
achieve achieve
in in
ways way
that that
they they
didn didn
' '
t t
think think
they they
could could
, ,
which which
I i
think think
is be
-- --
I i
think think
for for
a a
lot lot
of of
us us
that that
' '
s s
kind kind
of of
uncomfortable uncomfortable
, ,
we we
actually actually
feel feel
bad bad
. .
I i
think think
he he
was be
able able
to to
do do
it it
. .
And and
I i
think think
he he
really really
believed believe
he he
was be
helping help
people people
get get
the the
most most
out out
of of
their their
potential potential
. .
He he
was be
a a
force force
, ,
or or
is be
a a
force force
. .
AG ag
: :
When when
I i
think think
about about
a a
personal personal
trainer trainer
, ,
my my
first first
reaction reaction
is be
, ,
OK ok
, ,
this this
is be
somebody somebody
who who
is be
going go
to to
pump pump
me me
up up
. .
My my
second second
thought thought
is be
, ,
when when
I i
bring bring
in in
a a
personal personal
trainer trainer
, ,
it it
' '
s s
somebody somebody
who who
' '
s s
trying try
to to
help help
me me
achieve achieve
my my
own own
goals goal
. .
So so
I i
' '
m m
trying try
to to
get get
in in
shape shape
or or
get get
faster fast
or or
stronger strong
, ,
or or
lose lose
weight weight
, ,
whatever whatever
the the
target target
may may
be be
, ,
that that
person person
is be
there there
to to
help help
me me
. .
And and
I i
wonder wonder
if if
that that
analogy analogy
breaks break
down down
when when
you you
start start
to to
think think
of of
a a
founder founder
and and
CEO ceo
who who
may may
not not
be be
there there
to to
try try
to to
help help
the the
people people
around around
him him
? ?
DF df
: :
Yeah yeah
, ,
that that
' '
s s
a a
really really
interesting interesting
callout callout
. .
I i
think think
, ,
you you
know know
, ,
for for
companies company
in in
general general
, ,
and and
this this
starts start
to to
tug tug
at at
the the
relationship relationship
between between
the the
folks folk
that that
work work
at at
a a
company company
and and
the the
company company
itself itself
. .
And and
what what
is be
really really
best good
for for
the the
individual individual
, ,
so so
I i
can can
kind kind
of of
make make
the the
case case
that that
what what
' '
s s
good good
for for
the the
collective collective
is be
good good
for for
the the
individual individual
. .
And and
I i
think think
that that
a a
lot lot
of of
people people
convince convince
themselves themselves
of of
that that
. .
AG ag
: :
You you
know know
, ,
I i
' '
m m
not not
asking ask
you you
to to
criticize criticize
a a
particular particular
leader leader
, ,
but but
when when
you you
think think
about about
the the
culture culture
it it
seems seem
like like
there there
are be
aspects aspect
of of
the the
culture culture
that that
fit fit
more more
with with
taking take
than than
giving give
and and
that that
there there
was be
some some
selfish selfish
as as
opposed oppose
to to
servant servant
leadership leadership
at at
the the
top top
. .
DF df
: :
Yeah yeah
look look
, ,
I i
think think
he he
was be
superfocused superfocus
on on
delivering deliver
what what
he he
set set
out out
to to
do do
. .
I i
think think
he he
worked work
harder harder
than than
probably probably
most most
people people
I i
' '
ve ve
met meet
. .
He he
didn didn
' '
t t
leave leave
the the
office office
, ,
he he
worked work
all all
the the
time time
, ,
and and
so so
I i
think think
that that
there there
was be
this this
maniacal maniacal
focus focus
on on
winning win
. .
You you
know know
, ,
what what
winning winning
means mean
is be
different different
to to
different different
people people
, ,
but but
I i
think think
he he
wanted want
to to
do do
incredibly incredibly
big big
things thing
, ,
I i
think think
the the
definition definition
of of
" "
big big
" "
changed changed
for for
him him
over over
time time
. .
I i
think think
we we
would would
set set
out out
to to
do do
these these
fairly fairly
audacious audacious
things thing
, ,
we we
would would
achieve achieve
them them
, ,
and and
then then
it it
would would
open open
up up
a a
whole whole
new new
world world
of of
what what
was be
possible possible
, ,
you you
know know
, ,
be be
it it
fundraising fundrais
numbers number
or or
opening open
X x
number number
of of
buildings building
in in
a a
month month
, ,
or or
selling sell
so so
many many
seats seat
to to
new new
members member
on on
a a
certain certain
month month
. .
We we
would would
consistently consistently
set set
out out
fairly fairly
audacious audacious
goals goal
and and
hit hit
them them
. .
AG ag
: :
Stretch stretch
goals goal
. .
Sometimes sometimes
those those
kinds kind
of of
moonshots moonshot
are be
just just
the the
fuel fuel
we we
need need
. .
There there
' '
s s
a a
wealth wealth
of of
evidence evidence
that that
extremely extremely
difficult difficult
specific specific
goals goal
motivate motivate
us us
to to
aim aim
higher high
. .
And and
work work
harder hard
, ,
longer longer
and and
smarter smarter
. .
But but
they they
can can
also also
lead lead
us us
to to
cut cut
corners corner
, ,
especially especially
if if
we we
' '
re re
about about
to to
fall fall
just just
short short
of of
the the
goal goal
. .
Sometimes sometimes
our our
creative creative
strategies strategy
for for
hitting hit
bold bold
targets target
stretch stretch
beyond beyond
the the
bounds bound
of of
what what
' '
s s
ethical ethical
. .
DF df
: :
So so
I i
think think
he he
was be
increasingly increasingly
emboldened embolden
by by
what what
we we
could could
do do
as as
a a
company company
, ,
and and
when when
we we
really really
focused focus
on on
trying try
to to
tackle tackle
something something
, ,
and and
so so
, ,
yeah yeah
, ,
I i
think think
he he
wanted want
to to
win win
, ,
I i
think think
he he
wanted want
to to
win win
everything everything
. .
AG ag
: :
I i
' '
ve ve
always always
bristled bristle
at at
the the
language language
of of
winning win
and and
losing lose
in in
business business
, ,
because because
it it
' '
s s
not not
like like
a a
soccer soccer
match match
, ,
or or
a a
baseball baseball
game game
where where
there there
' '
s s
a a
score score
and and
everybody everybody
has have
agreed agree
on on
the the
rules rule
and and
at at
the the
end end
of of
the the
game game
you you
know know
what what
metric metric
you you
are be
counting count
on on
. .
It it
seems seem
like like
the the
moment moment
you you
define define
success success
in in
terms term
of of
winning win
, ,
it it
means mean
that that
everybody everybody
else else
has have
to to
lose lose
. .
DF df
: :
Yeah yeah
, ,
I i
totally totally
agree agree
with with
you you
, ,
and and
I i
think think
it it
' '
s s
a a
complicated complicated
topic topic
, ,
but but
you you
see see
it it
in in
, ,
like like
, ,
the the
business business
discourse discourse
of of
, ,
" "
We we
' '
ve ve
got get
to to
win win
, ,
we we
' '
re re
going go
to to
win win
. .
" "
And and
you you
even even
see see
recommendations recommendation
that that
I i
also also
always always
bristled bristle
at at
, ,
it it
' '
s s
like like
, ,
we we
need need
to to
identify identify
an an
enemy enemy
, ,
or or
an an
opponent opponent
. .
People people
will will
rally rally
around around
that that
. .
But but
I i
agree agree
with with
you you
, ,
I i
much much
more more
subscribe subscribe
to to
the the
idea idea
of of
, ,
don don
' '
t t
worry worry
about about
who who
the the
competitors competitor
are be
, ,
get get
customer-obsessed customer-obsessed
and and
just just
focus focus
on on
solving solve
for for
the the
customer customer
. .
And and
the the
notion notion
of of
what what
winning winning
is be
and and
competitiveness competitiveness
, ,
you you
know know
, ,
maybe maybe
that that
gets get
into into
personality personality
, ,
but but
I i
think think
you you
see see
it it
, ,
I i
think think
there there
are be
certain certain
founders founder
who who
exude exude
a a
bit bit
more more
of of
a a
competitiveness competitiveness
in in
the the
way way
that that
they they
-- --
it it
' '
s s
a a
bit bit
more more
of of
a a
combative combative
approach approach
to to
business business
, ,
and and
they they
' '
re re
able able
to to
rally rally
people people
behind behind
it it
and and
get get
people people
to to
do do
amazing amazing
things thing
, ,
and and
there there
' '
s s
others other
that that
maybe maybe
that that
' '
s s
not not
as as
much much
a a
part part
of of
the the
way way
that that
they they
engage engage
and and
that that
they they
talk talk
about about
it it
. .
But but
it it
was be
definitely definitely
part part
of of
our our
language language
. .
I i
think think
people people
are be
very very
capable capable
of of
convincing convince
themselves themselves
that that
actions action
that that
most most
would would
recognize recognize
as as
taking take
are be
in in
the the
service service
of of
giving give
. .
And and
I i
think think
it it
' '
s s
a a
really really
fine fine
line line
and and
slippery slippery
slope slope
. .
But but
I i
would would
say say
that that
that that
' '
s s
what what
was be
believed believe
. .
That that
the the
things thing
that that
were be
being be
done do
were be
best well
for for
the the
collective collective
, ,
and and
kind kind
of of
the the
rising rise
tide tide
lifts lift
all all
ships ship
, ,
and and
they they
can can
be be
a a
little little
bit bit
more more
conscious conscious
of of
the the
language language
. .
It it
still still
shows show
up up
as as
the the
" "
Is i
" "
and and
" "
mes mes
, ,
" "
but but
I i
think think
it it
' '
s s
-- --
it it
' '
s s
easy easy
to to
see see
in in
retrospect retrospect
I i
guess guess
. .
AG ag
: :
Yeah yeah
. .
There there
' '
s s
a a
spectrum spectrum
of of
self-awareness self-awareness
when when
it it
comes come
to to
the the
most most
selfish selfish
takers taker
among among
us us
. .
And and
on on
one one
end end
you you
have have
people people
for for
whom whom
it it
' '
s s
a a
very very
deliberate deliberate
strategy strategy
, ,
right right
? ?
They they
' '
ll ll
say say
, ,
" "
Look look
, ,
I i
believe believe
the the
world world
is be
a a
dog-eat-dog dog-eat-dog
competitive competitive
place place
, ,
and and
I i
have have
to to
put put
myself myself
first first
because because
no no
one one
else else
will will
, ,
and and
that that
' '
s s
how how
I i
get get
ahead ahead
, ,
that that
' '
s s
how how
I i
win win
. .
" "
And and
on on
the the
other other
end end
of of
the the
spectrum spectrum
, ,
you you
have have
people people
who who
, ,
it it
' '
s s
almost almost
like like
they they
' '
re re
in in
the the
movie movie
" "
The the
Sixth sixth
Sense sense
. .
" "
Everybody everybody
else else
knows know
they they
' '
re re
a a
taker taker
, ,
but but
they they
have have
no no
idea idea
. .
And and
I i
think think
the the
Richard richard
Feynman feynman
quote quote
always always
stands stand
out out
here here
, ,
that that
, ,
" "
You you
have have
to to
be be
careful careful
not not
to to
fool fool
yourself yourself
, ,
and and
you you
are be
the the
easiest easy
person person
to to
fool fool
. .
" "
DF df
: :
Yeah yeah
, ,
that that
makes make
sense sense
, ,
and and
I i
do do
have have
a a
belief belief
that that
we we
have have
a a
more more
natural natural
disposition disposition
towards towards
a a
self self
or or
other other
orientation orientation
. .
And and
then then
you you
sort sort
of of
, ,
combine combine
that that
with with
people people
' '
s s
EQ eq
. .
And and
so so
if if
you you
have have
a a
high high
self-orientation self-orientation
and and
a a
high high
EQ eq
, ,
that that
makes make
you you
kind kind
of of
dangerous dangerous
. .
And and
I i
think think
some some
people people
are be
, ,
I i
don don
' '
t t
know know
if if
the the
right right
word word
is be
gifted gifted
, ,
but but
it it
' '
s s
a a
gift gift
that that
some some
people people
can can
use use
for for
good good
, ,
some some
people people
can can
use use
for for
bad bad
, ,
but but
some some
people people
are be
clearly clearly
capable capable
. .
And and
sort sort
of of
-- --
I i
' '
m m
just just
saying say
through through
history history
, ,
we we
' '
ve ve
seen see
these these
very very
magnanimous magnanimous
characters character
and and
figures figure
that that
have have
done do
remarkable remarkable
things thing
, ,
and and
then then
some some
that that
seemed seem
like like
they they
were be
doing do
remarkable remarkable
things thing
until until
they they
weren weren
' '
t t
. .
And and
unfortunately unfortunately
, ,
many many
of of
us us
are be
susceptible susceptible
to to
it it
. .
AG ag
: :
Yeah yeah
. .
Well well
, ,
I i
think think
this this
is be
one one
of of
the the
ways way
that that
emotional emotional
intelligence intelligence
gets get
