One one
fit fit
to to
be be
abandoned abandon
to to
the the
religious religious
alone alone
; ;
they they
' '
re re
for for
all all
of of
us us
. .
Thank thank
you you
very very
much much
. .
Chris chris
Anderson anderson
: :
Now now
this this
is be
actually actually
a a
courageous courageous
talk talk
, ,
because because
you you
' '
re re
kind kind
of of
setting set
up up
yourself yourself
in in
some some
ways way
to to
be be
ridiculed ridicule
in in
some some
quarters quarter
. .
AB ab
: :
You you
can can
get get
shot shot
by by
both both
sides side
. .
You you
can can
get get
shot shot
by by
the the
hard-headed hard-headed
atheists atheist
, ,
and and
you you
can can
get get
shot shot
by by
those those
who who
fully fully
believe believe
. .
CA ca
: :
Incoming incoming
missiles missile
from from
North north
Oxford oxford
at at
any any
moment moment
. .
AB ab
: :
Indeed indeed
. .
CA ca
: :
But but
you you
left leave
out out
one one
aspect aspect
of of
religion religion
that that
a a
lot lot
of of
people people
might might
say say
your your
agenda agenda
could could
borrow borrow
from from
, ,
which which
is be
this this
sense sense
â â
that that
' '
s s
actually actually
probably probably
the the
most most
important important
thing thing
to to
anyone anyone
who who
' '
s s
religious religious
â â
of of
spiritual spiritual
experience experience
, ,
of of
some some
kind kind
of of
connection connection
with with
something something
that that
' '
s s
bigger big
than than
you you
are be
. .
Is be
there there
any any
room room
for for
that that
experience experience
in in
Atheism atheism
2 @card@
. .
0 @card@
? ?
AB ab
: :
Absolutely absolutely
. .
I i
, ,
like like
many many
of of
you you
, ,
meet meet
people people
who who
say say
things thing
like like
, ,
" "
But but
isn isn
' '
t t
there there
something something
bigger big
than than
us us
, ,
something something
else else
? ?
" "
And and
I i
say say
, ,
" "
Of of
course course
. .
" "
And and
they they
say say
, ,
" "
So so
aren aren
' '
t t
you you
sort sort
of of
religious religious
? ?
" "
And and
I i
go go
, ,
" "
No no
. .
" "
Why why
does do
that that
sense sense
of of
mystery mystery
, ,
that that
sense sense
of of
the the
dizzying dizzying
scale scale
of of
the the
universe universe
, ,
need need
to to
be be
accompanied accompany
by by
a a
mystical mystical
feeling feeling
? ?
Science science
and and
just just
observation observation
gives give
us us
that that
feeling feel
without without
it it
, ,
so so
I i
don don
' '
t t
feel feel
the the
need need
. .
The the
universe universe
is be
large large
and and
we we
are be
tiny tiny
, ,
without without
the the
need need
for for
further further
religious religious
superstructure superstructure
. .
So so
one one
can can
have have
so-called so-called
spiritual spiritual
moments moment
without without
belief belief
in in
the the
spirit spirit
. .
CA ca
: :
Actually actually
, ,
let let
me me
just just
ask ask
a a
question question
. .
How how
many many
people people
here here
would would
say say
that that
religion religion
is be
important important
to to
them them
? ?
Is be
there there
an an
equivalent equivalent
process process
by by
which which
there there
' '
s s
a a
sort sort
of of
bridge bridge
between between
what what
you you
' '
re re
talking talk
about about
and and
what what
you you
would would
say say
to to
them them
? ?
AB ab
: :
I i
would would
say say
that that
there there
are be
many many
, ,
many many
gaps gap
in in
secular secular
life life
and and
these these
can can
be be
plugged plug
. .
It it
' '
s s
not not
as as
though though
, ,
as as
I i
try try
to to
suggest suggest
, ,
it it
' '
s s
not not
as as
though though
either either
you you
have have
religion religion
and and
then then
you you
have have
to to
accept accept
all all
sorts sort
of of
things thing
, ,
or or
you you
don don
' '
t t
have have
religion religion
and and
then then
you you
' '
re re
cut cut
off off
from from
all all
these these
very very
good good
things thing
. .
It it
' '
s s
so so
sad sad
that that
we we
constantly constantly
say say
, ,
" "
I i
don don
' '
t t
believe believe
so so
I i
can can
' '
t t
have have
community community
, ,
so so
I i
' '
m m
cut cut
off off
from from
morality morality
, ,
so so
I i
can can
' '
t t
go go
on on
a a
pilgrimage pilgrimage
. .
" "
One one
wants want
to to
say say
, ,
" "
Nonsense nonsense
. .
Why why
not not
? ?
" "
And and
that that
' '
s s
really really
the the
spirit spirit
of of
my my
talk talk
. .
There there
' '
s s
so so
much much
we we
can can
absorb absorb
. .
Atheism atheism
shouldn shouldn
' '
t t
cut cut
itself itself
off off
from from
the the
rich rich
sources source
of of
religion religion
. .
CA ca
: :
It it
seems seem
to to
me me
that that
there there
' '
s s
plenty plenty
of of
people people
in in
the the
TED ted
community community
who who
are be
atheists atheist
. .
But but
probably probably
most most
people people
in in
the the
community community
certainly certainly
don don
' '
t t
think think
that that
religion religion
is be
going go
away away
any any
time time
soon soon
and and
want want
to to
find find
the the
language language
to to
have have
a a
constructive constructive
dialogue dialogue
and and
to to
feel feel
like like
we we
can can
actually actually
talk talk
to to
each each
other other
and and
at at
least least
share share
some some
things thing
in in
common common
. .
Are be
we we
foolish foolish
to to
be be
optimistic optimistic
about about
the the
possibility possibility
of of
a a
world world
where where
, ,
instead instead
of of
religion religion
being be
the the
great great
rallying rallying
cry cry
of of
divide divide
and and
war war
, ,
that that
there there
could could
be be
bridging bridge
? ?
AB ab
: :
No no
, ,
we we
need need
to to
be be
polite polite
about about
differences difference
. .
Politeness politeness
is be
a a
much-overlooked much-overlooked
virtue virtue
. .
It it
' '
s s
seen see
as as
hypocrisy hypocrisy
. .
But but
we we
need need
to to
get get
to to
a a
stage stage
when when
you you
' '
re re
an an
atheist atheist
and and
someone someone
says say
, ,
" "
Well well
you you
know know
, ,
I i
did do
pray pray
the the
other other
day day
, ,
" "
you you
politely politely
ignore ignore
it it
. .
You you
move move
on on
. .
Because because
you you
' '
ve ve
agreed agree
on on
90 @card@
percent percent
of of
things thing
, ,
because because
you you
have have
a a
shared share
view view
on on
so so
many many
things thing
, ,
and and
you you
politely politely
differ differ
. .
And and
I i
think think
that that
' '
s s
what what
the the
religious religious
wars war
of of
late late
have have
ignored ignore
. .
They they
' '
ve ve
ignored ignore
the the
possibility possibility
of of
harmonious harmonious
disagreement disagreement
. .
CA ca
: :
And and
finally finally
, ,
does do
this this
new new
thing thing
that that
you you
' '
re re
proposing propose
that that
' '
s s
not not
a a
religion religion
but but
something something
else else
, ,
does do
it it
need need
a a
leader leader
, ,
and and
are be
you you
volunteering volunteer
to to
be be
the the
pope pope
? ?
AB ab
: :
Well well
, ,
one one
thing thing
that that
we we
' '
re re
all all
very very
suspicious suspicious
of of
is be
individual individual
leaders leader
. .
It it
doesn doesn
' '
t t
need need
it it
. .
What what
I i
' '
ve ve
tried try
to to
lay lay
out out
is be
a a
framework framework
and and
I i
' '
m m
hoping hope
that that
people people
can can
just just
fill fill
it it
in in
. .
I i
' '
ve ve
sketched sketch
a a
sort sort
of of
broad broad
framework framework
. .
But but
wherever wherever
you you
are be
, ,
as as
I i
say say
, ,
if if
you you
' '
re re
in in
the the
travel travel
industry industry
, ,
do do
that that
travel travel
bit bit
. .
If if
you you
' '
re re
in in
the the
communal communal
industry industry
, ,
look look
at at
religion religion
and and
do do
the the
communal communal
bit bit
. .
So so
it it
' '
s s
a a
wiki wiki
project project
. .
CA ca
: :
Alain alain
, ,
thank thank
you you
for for
sparking spark
many many
conversations conversation
later later
. .
