Whoa whoa
I i
also also
greatly greatly
enjoy enjoy
the the
company company
of of
hyperintelligent hyperintelligent
people people
. .
So so
I i
' '
m m
very very
happy happy
to to
have have
been be
invited invite
here here
to to
TED ted
. .
Thank thank
you you
very very
much much
. .
Chris chris
Anderson anderson
: :
Stay stay
here here
one one
second second
. .
I i
probably probably
understood understand
two two
percent percent
of of
that that
, ,
but but
I i
still still
absolutely absolutely
loved love
it it
. .
So so
I i
' '
m m
going go
to to
sound sound
dumb dumb
. .
Your your
theory theory
of of
everything everything
— -
Garrett garrett
Lisi lisi
: :
I i
' '
m m
used use
to to
coral coral
. .
CA ca
: :
That that
' '
s s
right right
. .
The the
reason reason
it it
' '
s s
got get
a a
few few
people people
at at
least least
excited excited
is be
because because
, ,
if if
you you
' '
re re
right right
, ,
it it
brings bring
gravity gravity
and and
quantum quantum
theory theory
together together
. .
So so
are be
you you
saying say
that that
we we
should should
think think
of of
the the
universe universe
, ,
at at
its its
heart heart
— -
that that
the the
smallest small
things thing
that that
there there
are be
, ,
are be
somehow somehow
an an
E8 e8
object object
of of
possibility possibility
? ?
I i
mean mean
, ,
is be
there there
a a
scale scale
to to
it it
, ,
at at
the the
smallest small
scale scale
, ,
or or
. .
. .
. .
? ?
GL gl
: :
Well well
, ,
right right
now now
the the
pattern pattern
I i
showed show
you you
that that
corresponds correspond
to to
what what
we we
know know
about about
elementary elementary
particle particle
physics physic
— -
that that
already already
corresponds correspond
to to
a a
very very
beautiful beautiful
shape shape
. .
And and
that that
' '
s s
the the
one one
that that
I i
said say
we we
knew know
for for
certain certain
. .
And and
that that
shape shape
has have
remarkable remarkable
similarities similarity
— -
and and
the the
way way
it it
fits fit
into into
this this
E8 e8
pattern pattern
, ,
which which
could could
be be
the the
rest rest
of of
the the
picture picture
. .
And and
these these
patterns pattern
of of
points point
that that
I i
' '
ve ve
shown show
for for
you you
actually actually
represent represent
symmetries symmetry
of of
this this
high-dimensional high-dimensional
object object
that that
would would
be be
warping warp
and and
moving move
and and
dancing dance
over over
the the
space-time space-time
that that
we we
experience experience
. .
And and
that that
would would
be be
what what
explains explain
all all
these these
elementary elementary
particles particle
that that
we we
see see
. .
CA ca
: :
But but
a a
string string
theorist theorist
, ,
as as
I i
understand understand
it it
, ,
explains explain
electrons electron
in in
terms term
of of
much much
smaller small
strings string
vibrating vibrate
— -
I i
know know
, ,
you you
don don
' '
t t
like like
string string
theory theory
— -
vibrating vibrate
inside inside
it it
. .
How how
should should
we we
think think
of of
an an
electron electron
in in
relation relation
to to
E8 e8
? ?
GL gl
: :
Well well
, ,
it it
would would
be be
one one
of of
the the
symmetries symmetry
of of
this this
E8 e8
shape shape
. .
So so
what what
' '
s s
happening happening
is be
, ,
as as
the the
shape shape
is be
moving move
over over
space-time space-time
, ,
it it
' '
s s
twisting twisting
. .
And and
the the
direction direction
it it
' '
s s
twisting twisting
as as
it it
moves move
is be
what what
particle particle
we we
see see
. .
So so
it it
would would
be be
— -
CA ca
: :
The the
size size
of of
the the
E8 e8
shape shape
, ,
how how
does do
that that
relate relate
to to
the the
electron electron
? ?
I i
feel feel
like like
I i
need need
that that
for for
my my
picture picture
. .
Is be
it it
bigger big
? ?
Is be
it it
smaller small
? ?
GL gl
: :
As as
far far
as as
we we
know know
, ,
electrons electron
are be
point point
particles particle
, ,
so so
this this
would would
be be
going go
down down
to to
the the
smallest small
possible possible
scales scale
. .
So so
the the
way way
these these
things thing
are be
explained explain
in in
quantum quantum
field field
theory theory
is be
, ,
all all
possibilities possibility
are be
expanding expand
and and
developing develop
at at
once once
. .
And and
this this
is be
why why
I i
use use
the the
analogy analogy
to to
coral coral
. .
And and
— -
in in
this this
way way
, ,
the the
way way
that that
E8 e8
comes come
in in
is be
it it
will will
be be
as as
a a
shape shape
that that
' '
s s
attached attach
at at
each each
point point
in in
the the
space-time space-time
. .
And and
, ,
as as
I i
said say
, ,
the the
way way
the the
shape shape
twists twist
— -
the the
directional directional
along along
which which
way way
the the
shape shape
is be
twisting twist
as as
it it
moves move
over over
this this
curved curve
surface surface
— -
is be
what what
the the
elementary elementary
particles particle
are be
, ,
themselves themselves
. .
So so
through through
quantum quantum
field field
theory theory
, ,
they they
manifest manifest
themselves themselves
as as
points point
and and
interact interact
that that
way way
. .
I i
don don
' '
t t
know know
if if
I i
' '
ll ll
be be
able able
to to
make make
this this
any any
clearer clear
. .
CA ca
: :
It it
doesn doesn
' '
t t
really really
matter matter
. .
It it
' '
s s
evoking evoke
a a
kind kind
of of
sense sense
of of
wonder wonder
, ,
and and
I i
certainly certainly
want want
to to
understand understand
more more
of of
this this
. .
But but
thank thank
you you
so so
much much
for for
coming come
. .
That that
was be
absolutely absolutely
fascinating fascinating
. .
