Every every
or or
Karl karl
Benz benz
or or
even even
Elon elon
Musk musk
. .
It it
' '
s s
because because
the the
modern modern
automobile automobile
is be
the the
product product
of of
more more
than than
100 @card@
years year
of of
work work
by by
hundreds hundred
and and
thousands thousand
and and
tens ten
of of
thousands thousand
of of
people people
. .
The the
modern modern
automobile automobile
is be
the the
product product
of of
the the
collected collect
work work
and and
wisdom wisdom
and and
experience experience
of of
every every
man man
and and
woman woman
who who
has have
ever ever
worked work
on on
a a
car car
, ,
and and
the the
reliability reliability
of of
the the
technology technology
is be
the the
result result
of of
that that
accumulated accumulate
effort effort
. .
We we
benefit benefit
not not
just just
from from
the the
genius genius
of of
Benz benz
and and
Ford ford
and and
Musk musk
but but
from from
the the
collective collective
intelligence intelligence
and and
hard hard
work work
of of
all all
of of
the the
people people
who who
have have
worked work
on on
the the
modern modern
car car
. .
And and
the the
same same
is be
true true
of of
science science
, ,
only only
science science
is be
even even
older old
. .
Our our
basis basis
for for
trust trust
in in
science science
is be
actually actually
the the
same same
as as
our our
basis basis
in in
trust trust
in in
technology technology
, ,
and and
the the
same same
as as
our our
basis basis
for for
trust trust
in in
anything anything
, ,
namely namely
, ,
experience experience
. .
But but
it it
shouldn shouldn
' '
t t
be be
blind blind
trust trust
any any
more more
than than
we we
would would
have have
blind blind
trust trust
in in
anything anything
. .
Our our
trust trust
in in
science science
, ,
like like
science science
itself itself
, ,
should should
be be
based base
on on
evidence evidence
, ,
and and
that that
means mean
that that
scientists scientist
have have
to to
become become
better good
communicators communicator
. .
They they
have have
to to
explain explain
to to
us us
not not
just just
what what
they they
know know
but but
how how
they they
know know
it it
, ,
and and
it it
means mean
that that
we we
have have
to to
become become
better good
listeners listener
. .
Thank thank
you you
very very
much much
. .
