Hey hey
re re
working work
on on
an an
assembly assembly
line line
. .
Does do
it it
look look
more more
like like
a a
farm farm
? ?
Do do
you you
see see
them them
in in
an an
office office
with with
cubicles cubicle
or or
am be
I i
stretching stretch
, ,
stretching stretch
this this
parallel parallel
too too
far far
? ?
That that
' '
s s
way way
too too
far far
. .
It it
' '
s s
a a
thing thing
of of
the the
moment moment
. .
We we
want want
to to
attack attack
that that
guy guy
over over
there there
. .
You you
can can
' '
t t
defeat defeat
him him
on on
your your
own own
. .
You you
look look
around around
, ,
you you
see see
another another
male male
who who
normally normally
you you
don don
' '
t t
have have
much much
time time
with with
, ,
and and
you you
run run
over over
to to
him him
and and
you you
touch touch
him him
and and
you you
look look
at at
the the
high high
ranking ranking
one one
and and
the the
other other
male male
thinks think
, ,
oh oh
, ,
this this
is be
an an
opportunity opportunity
to to
get get
the the
better good
of of
him him
. .
And and
so so
the the
two two
of of
them them
charge charge
or or
attack attack
together together
. .
So so
I i
think think
that that
speaks speak
to to
some some
really really
interesting interesting
questions question
about about
communication communication
and and
coordination coordination
. .
You you
know know
, ,
certainly certainly
since since
Darwin darwin
wrote write
about about
facial facial
expressions expression
, ,
we we
' '
ve ve
been be
curious curious
about about
the the
universality universality
versus versus
specificity specificity
of of
of of
different different
kinds kind
of of
facial facial
signals signal
of of
emotion emotion
. .
This this
is be
this this
has have
been be
an an
incredibly incredibly
heated heated
debate debate
in in
psychology psychology
over over
the the
last last
few few
years year
. .
Which which
facial facial
expressions expression
of of
emotion emotion
do do
you you
think think
are be
most most
universal universal
from from
your your
studies study
of of
chimps chimp
and and
which which
ones one
seem seem
to to
be be
idiosyncratic idiosyncratic
to to
either either
individuals individual
or or
to to
groups group
or or
cultures culture
? ?
Well well
. .
You you
know know
, ,
the the
facial facial
expression expression
that that
goes go
with with
bigging bigging
, ,
pouting pout
, ,
the the
lips lip
, ,
the the
facial facial
expression expression
that that
goes go
with with
fear fear
, ,
drawing draw
the the
lips lip
right right
back back
and and
having have
the the
mouth mouth
wide wide
open open
, ,
the the
facial facial
expression expression
that that
shows show
laughter laughter
and and
play play
, ,
I i
think think
we we
find find
them them
in in
chimps chimp
of of
all all
different different
groups group
that that
have have
been be
studied study
and and
in in
captive captive
chimps chimp
as as
well well
, ,
for for
the the
most most
part part
. .
And and
then then
what what
about about
what what
about about
body body
language language
? ?
What what
do do
we we
learn learn
about about
the the
way way
that that
the the
chimps chimp
communicate communicate
through through
the the
gestures gesture
they they
make make
? ?
I i
' '
m m
curious curious
about about
other other
human human
analogs analog
and and
parallels parallel
there there
. .
I i
mean mean
, ,
if if
you you
watch watch
chimpanzees chimpanzee
communicating communicate
nonverbally nonverbally
, ,
you you
more more
or or
less less
know know
exactly exactly
what what
they they
' '
re re
doing do
because because
we we
do do
the the
same same
. .
I i
mean mean
, ,
we we
we we
really really
do do
. .
We we
shake shake
fists fist
. .
We we
if if
you you
don don
' '
t t
like like
something something
, ,
you you
make make
that that
flapping flap
, ,
flapping flap
movement movement
. .
You you
reach reach
out out
and and
beg beg
. .
You you
threaten threaten
with with
your your
fist fist
raised raise
. .
You you
spike spike
up up
from from
foot foot
to to
foot foot
if if
you you
want want
to to
impress impress
. .
One one
thing thing
that that
I i
was be
really really
interested interested
in in
is be
when when
you you
talk talk
about about
how how
the the
alpha alpha
males male
often often
lose lose
their their
position position
or or
they they
don don
' '
t t
live live
as as
long long
in in
some some
cases case
I i
' '
ve ve
seen see
versions version
of of
that that
in in
business business
and and
in in
political political
life life
. .
And and
I i
feel feel
like like
the the
the the
myth myth
of of
the the
alpha alpha
male male
is be
very very
aggressive aggressive
and and
persistent persistent
in in
societies society
around around
the the
world world
. .
There there
are be
a a
lot lot
of of
people people
who who
don don
' '
t t
necessarily necessarily
want want
to to
operate operate
that that
way way
. .
Intimidation intimidation
or or
dominance dominance
is be
not not
their their
default default
. .
It it
' '
s s
not not
perfectly perfectly
aligned align
with with
their their
value value
system system
. .
But but
they they
look look
up up
the the
hierarchy hierarchy
and and
they they
see see
very very
influential influential
, ,
very very
visible visible
role role
models model
doing do
it it
and and
they they
think think
they they
have have
to to
follow follow
suit suit
. .
And and
I i
guess guess
you you
spent spend
so so
many many
years year
interacting interact
with with
world world
leaders leader
. .
I i
' '
m m
interested interested
in in
what what
you you
think think
it it
' '
s s
going go
to to
take take
to to
break break
the the
myth myth
of of
the the
Alpha alpha
. .
Probably probably
more more
women woman
coming come
in in
and and
more more
women woman
using use
their their
feminine feminine
qualities quality
rather rather
than than
trying try
to to
ape ape
the the
male male
qualities quality
of of
the the
existing existing
system system
and and
which which
, ,
quote quote
unquote unquote
, ,
feminine feminine
qualities quality
do do
you you
think think
are be
most most
important important
in in
leadership leadership
? ?
It it
' '
s s
very very
important important
to to
be be
understanding understand
, ,
to to
be be
intuitive intuitive
, ,
to to
be be
patient patient
and and
to to
be be
compassionate compassionate
. .
And and
is be
your your
hope hope
that that
we we
continue continue
seeing see
those those
as as
feminine feminine
qualities quality
or or
that that
we we
dismantle dismantle
these these
stereotypes stereotype
at at
the the
at at
the the
ground ground
level level
and and
say say
actually actually
these these
are be
leadership leadership
qualities quality
? ?
I i
don don
' '
t t
know know
, ,
I i
' '
ve ve
never never
thought think
about about
that that
, ,
so so
I i
couldn couldn
' '
t t
I @card@
couldn couldn
' '
t t
possibly possibly
answer answer
it it
, ,
but but
what what
I i
love love
is be
he he
was be
one one
of of
the the
chiefs chief
of of
a a
Latin latin
American american
indigenous indigenous
tribe tribe
, ,
and and
I i
forget forget
which which
country country
. .
But but
he he
said say
to to
me me
, ,
he he
said say
, ,
you you
know know
, ,
Jane jane
, ,
we we
consider consider
our our
tribe tribe
as as
like like
an an
eagle eagle
. .
And and
on on
this this
eagle eagle
, ,
one one
wing wing
is be
male male
and and
the the
other other
wing wing
is be
female female
. .
And and
only only
when when
the the
two two
wings wing
are be
equal equal
will will
our our
tribe tribe
fly fly
through through
my my
. .
That that
' '
s s
beautiful beautiful
. .
Yeah yeah
, ,
it it
does do
make make
me me
wonder wonder
about about
something something
you you
just just
mentioned mention
, ,
which which
is be
patients patient
you you
mentioned mention
, ,
that that
' '
s s
something something
we we
need need
more more
in in
leadership leadership
. .
You you
also also
mentioned mention
that that
it it
' '
s s
something something
that that
that that
your your
work work
has have
required require
over over
the the
years year
. .
And and
there there
are be
these these
legendary legendary
stories story
about about
you you
being be
five five
years year
old old
, ,
waiting wait
, ,
just just
waiting wait
around around
for for
chickens chicken
to to
lay lay
eggs egg
. .
And and
then then
is be
that that
real real
stuffy stuffy
hen hen
house house
for for
four four
and and
a a
half half
hours hour
? ?
And and
you you
just just
sat sit
there there
? ?
Yeah yeah
, ,
first first
I i
followed follow
him him
because because
I i
wanted want
to to
know know
where where
the the
hole hole
was be
, ,
where where
the the
egg egg
came come
up up
and and
nobody nobody
told tell
me me
. .
So so
I i
remember remember
seeing see
this this
brown brown
hen hen
going go
into into
one one
of of
these these
hen hen
houses house
and and
crawling crawl
after after
her her
, ,
which which
was be
a a
big big
mistake mistake
and and
squawks squawk
, ,
I i
presume presume
, ,
fear fear
she she
flew fly
out out
past past
me me
. .
I i
can can
still still
feel feel
her her
wing wing
on on
my my
face face
. .
It it
was be
a a
bit bit
scary scary
and and
I i
must must
have have
thought think
in in
that that
little little
four four
and and
a a
half half
year year
old old
mind mind
will will
know know
hen hen
will will
lay lay
an an
egg egg
here here
. .
This this
is be
a a
scary scary
place place
. .
So so
I i
went go
into into
an an
empty empty
hen hen
house house
and and
waited wait
and and
saw see
the the
egg egg
come come
out out
. .
And and
you you
see see
, ,
I i
had have
this this
enormous enormous
benefit benefit
when when
I i
was be
a a
child child
of of
my my
mother mother
. .
She she
was be
so so
supportive supportive
. .
So so
instead instead
of of
getting get
angry angry
at at
me me
, ,
how how
dare dare
you you
go go
without without
telling tell
us us
? ?
Don don
' '
t t
you you
do do
it it
again again
? ?
They they
called call
the the
police police
. .
By by
then then
, ,
she she
said say
the the
wonderful wonderful
story story
of of
how how
a a
hen hen
laid lay
an an
egg egg
. .
And and
when when
I i
announced announce
age age
10 @card@
that that
I i
was be
going go
to to
go go
to to
Africa africa
and and
live live
with with
wild wild
animals animal
and and
write write
books book
about about
them them
, ,
everybody everybody
laughed laugh
at at
me me
because because
I i
was be
a a
girl girl
and and
war war
was be
raging rage
then then
and and
Africa africa
was be
far far
away away
when when
we we
have have
basically basically
no no
money money
. .
But but
Mum mum
said say
, ,
if if
you you
really really
want want
to to
do do
something something
like like
this this
, ,
you you
could could
end end
up up
to to
work work
awfully awfully
hard hard
to to
take take
advantage advantage
of of
every every
opportunity opportunity
. .
And and
then then
maybe maybe
if if
you you
don don
' '
t t
give give
up up
, ,
you you
' '
ll ll
find find
the the
. .
That that
' '
s s
what what
I i
' '
ve ve
told tell
young young
people people
all all
around around
the the
world world
, ,
and and
so so
many many
have have
come come
up up
to to
me me
or or
written write
to to
me me
and and
said say
, ,
Jane jane
, ,
I i
want want
to to
thank thank
you you
, ,
because because
you you
taught teach
me me
that that
because because
you you
did do
it it
. .
I i
can can
do do
it it
to to
. .
That that
' '
s s
that that
' '
s s
it it
' '
s s
so so
moving move
to to
hear hear
and and
it it
' '
s s
clear clear
you you
not not
only only
found find
her her
right right
, ,
you you
cleared clear
the the
path path
for for
so so
many many
others other
to to
follow follow
in in
your your
footsteps footstep
. .
Do do
you you
have have
techniques technique
or or
strategies strategy
to to
maintain maintain
your your
patience patience
and and
delay delay
gratifications gratification
? ?
No no
, ,
I i
never never
thought think
of of
it it
. .
I i
mean mean
, ,
like like
just just
born bear
that that
way way
, ,
you you
know know
, ,
I i
was be
obviously obviously
born bear
patient patient
, ,
wasn wasn
' '
t t
I i
? ?
And and
I i
could could
sit sit
for for
hours hour
until until
I i
got get
used use
to to
me me
. .
And and
then then
I i
could could
watch watch
laying lay
eggs egg
and and
watch watch
the the
parents parent
feed feed
the the
babies baby
and and
watch watch
the the
babies baby
fly fly
away away
. .
And and
that that
took take
hours hour
of of
just just
sitting sit
. .
I i
think think
that that
to to
be be
a a
good good
mother mother
, ,
which which
is be
a a
woman woman
' '
s s
role role
throughout throughout
evolution evolution
, ,
really really
going go
way way
back back
, ,
you you
have have
to to
be be
patient patient
. .
You you
can can
' '
t t
be be
a a
good good
mother mother
if if
you you
' '
re re
not not
patient patient
. .
I i
don don
' '
t t
think think
. .
This this
is be
quality quality
, ,
we we
' '
ve ve
been be
talking talk
about about
being be
patient patient
and and
obstinate obstinate
and and
resilient resilient
. .
I i
imagine imagine
that that
came come
in in
handy handy
early early
in in
your your
career career
when when
people people
are be
telling tell
you you
you you
can can
' '
t t
do do
this this
work work
without without
a a
doctorate doctorate
and and
a a
woman woman
can can
' '
t t
do do
this this
work work
anyway anyway
. .
Can can
you you
talk talk
to to
me me
a a
little little
bit bit
about about
how how
you you
dealt deal
with with
the the
criticism criticism
from from
closed closed
minded minded
men man
? ?
Well well
, ,
you you
know know
, ,
honestly honestly
, ,
people people
always always
say say
that that
. .
But but
I i
didn didn
' '
t t
have have
that that
kind kind
of of
criticism criticism
any any
more more
, ,
I i
think think
, ,
than than
if if
I i
' '
d d
been be
a a
male male
. .
I i
was be
criticized criticize
for for
giving give
the the
chimpanzees chimpanzee
names name
, ,
but but
I i
guess guess
that that
criticism criticism
would would
have have
come come
even even
if if
I i
' '
d d
been be
a a
male male
student student
, ,
I i
guess guess
. .
And and
Leakey leakey
wanted want
me me
because because
I i
was be
a a
female female
and and
because because
I i
had have
an an
unbiased unbiased
mind mind
. .
And and
the the
when when
I i
got get
tempted tempt
, ,
it it
was be
just just
becoming become
independent independent
. .
So so
there there
was be
resentment resentment
towards towards
the the
white white
males male
who who
dominated dominate
the the
country country
for for
so so
long long
, ,
but but
a a
white white
female female
. .
And and
they they
wanted want
to to
help help
me me
. .
So so
I i
didn didn
' '
t t
have have
this this
, ,
you you
know know
, ,
when when
when when
there there
were be
these these
male male
scientists scientist
, ,
when when
I i
discovered discover
tool tool
using use
saying saying
, ,
well well
, ,
why why
should should
we we
believe believe
her her
? ?
She she
' '
s s
just just
a a
girl girl
. .
She she
doesn doesn
' '
t t
have have
a a
degree degree
. .
She she
' '
s s
only only
got get
money money
from from
the the
geographic geographic
cause cause
she she
' '
s s
got get
nice nice
legs leg
. .
All all
I i
cared care
about about
was be
getting get
back back
and and
learning learn
about about
the the
chimps chimp
. .
I i
didn didn
' '
t t
even even
want want
to to
be be
a a
scientist scientist
. .
It it
was be
Leakey leakey
who who
made make
me me
to to
the the
degree degree
. .
And and
I i
' '
m m
really really
glad glad
he he
did do
. .
By by
the the
way way
, ,
I i
loved love
learning learn
how how
to to
think think
in in
, ,
you you
know know
, ,
in in
a a
scientific scientific
, ,
logical logical
way way
. .
I i
enjoyed enjoy
that that
so so
much much
. .
It it
' '
s s
helped help
me me
in in
everything everything
, ,
actually actually
. .
Hi hi
and and
welcome welcome
back back
to to
my my
conversation conversation
with with
Jane jane
Goodall goodall
. .
There there
' '
s s
a a
Max max
Planck planck
saying say
that that
it it
gets get
paraphrased paraphrase
as as
saying say
that that
science science
progresses progress
one one
funeral funeral
at at
a a
time time
. .
And and
I i
think think
you you
' '
ve ve
known know
many many
more more
scientists scientist
than than
I i
have have
who who
just just
were be
unwilling unwilling
to to
let let
go go
of of
their their
pet pet
theories theory
. .
And and
this this
is be
clearly clearly
not not
a a
problem problem
for for
you you
. .
It it
almost almost
seems seem
like like
you you
' '
re re
immune immune
to to
confirmation confirmation
bias bias
. .
And and
, ,
you you
know know
, ,
to to
go go
and and
discover discover
not not
only only
the the
chimps chimp
use use
tools tool
, ,
but but
even even
make make
their their
own own
. .
I i
' '
m m
interested interested
in in
how how
you you
, ,
I i
guess guess
, ,
kept keep
such such
an an
open open
mind mind
to to
discover discover
things thing
that that
flew fly
in in
the the
face face
of of
what what
everyone everyone
thought thought
was be
true true
because because
I i
hadn hadn
' '
t t
been be
college college
. .
You you
do do
. .
I i
mean mean
, ,
that that
' '
s s
what what
he he
told tell
me me
later later
. .
He he
said say
I i
I i
wanted want
somebody somebody
with with
an an
unbiased unbiased
mind mind
. .
And and
I i
don don
' '
t t
like like
the the
way way
the the
reductions reduction
thinking think
of of
scientists scientist
today today
. .
So so
he he
also also
felt feel
that that
a a
woman woman
might might
be be
more more
patient patient
on on
the the
field field
. .
So so
I i
was be
really really
lucky lucky
in in
those those
ways way
, ,
you you
know know
? ?
I i
think think
so so
, ,
too too
, ,
although although
it it
poses pose
challenges challenge
then then
over over
time time
, ,
as as
you you
get get
older old
and and
you you
become become
more more
steeped steep
in in
the the
assumptions assumption
of of
the the
field field
. .
There there
' '
s s
there there
' '
s s
a a
term term
in in
my my
world world
called call
cognitive cognitive
entrenchment entrenchment
where where
experts expert
start start
to to
take take
for for
granted granted
assumptions assumption
that that
need need
to to
be be
questioned question
. .
How how
have have
you you
prevented prevent
yourself yourself
from from
getting get
entrenched entrenched
over over
the the
years year
? ?
I i
suppose suppose
it it
' '
s s
personality personality
. .
I i
don don
' '
t t
know know
. .
Also also
, ,
remember remember
, ,
I i
never never
got get
into into
the the
academic academic
, ,
but but
, ,
you you
know know
, ,
I i
was be
I i
never never
had have
an an
academic academic
position position
in in
the the
university university
. .
I i
just just
got get
that that
PhD phd
as as
quickly quickly
as as
I i
could could
and and
went go
back back
and and
learned learn
from from
the the
chimps chimp
. .
When when
you you
' '
re re
out out
there there
learning learn
from from
the the
chimps chimp
, ,
you you
can can
' '
t t
get get
entrenched entrenched
because because
you you
' '
re re
continually continually
getting get
surprises surprise
. .
And and
you you
know know
the the
other other
animals animal
, ,
too too
, ,
that that
I i
' '
ve ve
watched watch
it it
. .
You you
can can
' '
t t
get get
entrenched entrench
when when
you you
' '
re re
really really
absolutely absolutely
keen keen
on on
understanding understand
another another
species species
. .
So so
I i
guess guess
going go
out out
into into
the the
wild wild
then then
forces force
you you
to to
to to
juxtapose juxtapose
what what
you you
think think
you you
know know
, ,
against against
what what
is be
. .
Yes yes
. .
And and
in in
a a
way way
of of
travelling travel
around around
the the
world world
in in
all all
these these
different different
countries country
and and
meeting meet
all all
these these
different different
cultures culture
. .
It it
' '
s s
kind kind
of of
the the
same same
. .
You you
can can
' '
t t
get get
entrenched entrench
in in
one one
culture culture
when when
you you
meet meet
people people
behaving behave
in in
a a
completely completely
different different
way way
, ,
maybe maybe
from from
the the
same same
motives motive
. .
You you
know know
, ,
your your
mind mind
is be
continually continually
wants want
to to
expand expand
and and
grow grow
. .
And and
I i
' '
ve ve
been be
really really
lucky lucky
in in
that that
way way
. .
And and
then then
, ,
you you
know know
, ,
you you
' '
re re
also also
going go
back back
to to
this this
chimp chimp
human human
thing thing
, ,
and and
you you
touched touch
upon upon
it it
already already
, ,
but but
what what
? ?
Because because
we we
' '
re re
so so
like like
them them
, ,
more more
like like
them them
than than
any any
other other
living living
creature creature
, ,
it it
helps help
you you
understand understand
how how
we we
' '
re re
different different
. .
And and
I i
think think
the the
main main
difference difference
is be
the the
fact fact
that that
at at
some some
point point
in in
our our
evolution evolution
, ,
we we
developed develop
this this
way way
of of
speaking speak
with with
words word
so so
that that
we we
can can
teach teach
children child
about about
things thing
that that
aren aren
' '
t t
present present
. .
We we
can can
gather gather
together together
and and
discuss discuss
something something
people people
from from
different different
views view
. .
And and
that that
is be
what what
I i
believe believe
led lead
to to
this this
explosive explosive
development development
of of
our our
intellect intellect
, ,
which which
is be
what what
really really
does do
make make
us us
different different
. .
So so
animals animal
are be
way way
, ,
way way
, ,
way way
more more
intelligent intelligent
than than
many many
people people
used use
to to
think think
and and
some some
people people
still still
wouldn wouldn
' '
t t
believe believe
it it
. .
But but
, ,
you you
know know
, ,
I i
can can
think think
of of
a a
species species
that that
designs design
a a
rocket rocket
that that
goes go
to to
Mars mars
from from
which which
a a
little little
robot robot
creeps creep
to to
take take
photographs photograph
for for
people people
who who
think think
about about
discover discover
stars star
that that
are be
billions billion
of of
light light
miles mile
away away
. .
I i
mean mean
, ,
my my
goodness goodness
. .
And and
I i
think think
Galileo galileo
back back
then then
in in
those those
days day
couldn couldn
' '
t t
think think
of of
anything anything
else else
. .
I i
mean mean
, ,
the the
human human
intellect intellect
has have
been be
extraordinary extraordinary
. .
Yeah yeah
, ,
yeah yeah
. .
I i
mean mean
, ,
it it
' '
s s
it it
' '
s s
it it
' '
s s
hard hard
to to
it it
' '
s s
hard hard
to to
disagree disagree
with with
with with
those those
those those
observations observation
. .
So so
a a
few few
things thing
that that
I i
want want
to to
make make
sure sure
we we
cover cover
. .
I i
wanted want
to to
do do
a a
slightly slightly
shorter short
lightning lightning
round round
where where
we we
build build
a a
little little
color color
around around
maybe maybe
the the
size size
of of
a a
view view
that that
most most
people people
don don
' '
t t
get get
to to
see see
. .
So so
the the
first first
question question
I i
had have
for for
you you
on on
that that
is be
if if
you you
weren weren
' '
t t
a a
primatologist primatologist
, ,
what what
other other
jobs job
might might
you you
have have
wanted want
? ?
Well well
, ,
anything anything
to to
be be
out out
in in
nature nature
before before
that that
really really
crystallized crystallize
, ,
I i
wanted want
to to
be be
poet poet
laureate laureate
. .
I i
used use
to to
read read
so so
much much
poetry poetry
and and
write write
books book
. .
What what
is be
the the
worst bad
career career
advice advice
you you
' '
ve ve
ever ever
received receive
? ?
Well well
, ,
I i
suppose suppose
it it
was be
what what
the the
professors professor
told tell
me me
when when
I i
went go
to to
Cambridge cambridge
that that
I i
' '
ve ve
done do
everything everything
wrong wrong
. .
And and
it it
turns turn
out out
they they
were be
the the
ones one
who who
had have
done do
everything everything
wrong wrong
, ,
didn didn
' '
t t
it it
? ?
That that
' '
s s
poetic poetic
justice justice
to to
your your
poetry poetry
. .
Yeah yeah
, ,
write write
your your
poetry poetry
fashion fashion
. .
And and
then then
I i
was be
talking talk
with with
my my
sister sister
the the
other other
day day
, ,
and and
she she
said say
that that
if if
she she
could could
have have
dinner dinner
with with
anyone anyone
on on
Earth earth
, ,
you you
' '
d d
be be
at at
her her
table table
, ,
which which
, ,
of of
course course
, ,
made make
me me
wonder wonder
who who
would would
be be
at at
your your
table table
. .
Are be
there there
are be
people people
you you
would would
most most
like like
to to
sit sit
down down
with with
and and
learn learn
from from
that that
you you
' '
ve ve
never never
met meet
or or
that that
you you
' '
ve ve
only only
had have
limited limit
interaction interaction
with with
people people
who who
are be
alive alive
today today
? ?
Yes yes
, ,
I i
would would
really really
like like
to to
sit sit
down down
privately privately
and and
have have
dinner dinner
with with
the the
pope pope
. .
What what
would would
you you
talk talk
about about
? ?
Well well
, ,
it it
would would
depend depend
. .
I i
mean mean
, ,
I i
don don
' '
t t
really really
talk talk
to to
people people
about about
anything anything
until until
I i
sussed suss
them them
out out
, ,
as as
it it
were be
, ,
and and
found find
a a
piece piece
of of
common common
ground ground
and and
something something
that that
you you
can can
share share
and and
then then
let let
the the
conversation conversation
run run
. .
But but
he he
' '
s s
been be
so so
outspoken outspoken
and and
amazing amazing
about about
the the
environment environment
. .
And and
, ,
you you
know know
, ,
he he
actually actually
has have
said say
just just
because because
we we
can can
breed breed
like like
rabbits rabbit
doesn doesn
' '
t t
mean mean
we we
should should
, ,
which which
for for
a a
pope pope
is be
quite quite
extraordinary extraordinary
to to
say say
something something
like like
that that
. .
And and
I i
think think
he he
' '
s s
done do
a a
lot lot
to to
persuade persuade
Catholics catholics
to to
take take
more more
concern concern
for for
the the
environment environment
. .
It it
' '
s s
funny funny
to to
hear hear
you you
say say
that that
because because
I i
think think
you you
paved pave
the the
way way
for for
the the
kind kind
of of
entrepreneurial entrepreneurial
activism activism
that that
he he
' '
s s
done do
in in
his his
work work
. .
That that
goes go
to to
something something
else else
I i
wanted want
to to
ask ask
you you
about about
, ,
which which
is be
as as
you you
moved move
into into
activism activism
, ,
both both
, ,
you you
know know
, ,
to to
protect protect
animals animal
and and
now now
the the
environment environment
and and
our our
planet planet
, ,
I i
think think
you you
' '
ve ve
seen see
, ,
as as
I i
have have
, ,
a a
lot lot
of of
ineffective ineffective
strategies strategy
for for
trying try
to to
get get
people people
to to
care care
about about
non non
humans human
. .
And and
I i
' '
m m
curious curious
about about
what what
you you
' '
ve ve
learned learn
from from
all all
this this
activism activism
. .
What what
is be
it it
that that
gets get
people people
to to
care care
about about
animals animal
? ?
What what
is be
it it
that that
gets get
them them
to to
step step
up up
in in
and and
take take
care care
of of
the the
planet planet
? ?
When when
I i
first first
realized realize
that that
chimpanzees chimpanzee
were be
disappearing disappear
and and
the the
forests forest
were be
were be
being be
destroyed destroy
in in
1986 @card@
, ,
I i
felt feel
that that
I i
had have
to to
learn learn
more more
about about
it it
. .
So so
I i
went go
I i
got get
a a
bit bit
of of
money money
and and
got get
to to
spend spend
. .
It it
was be
six six
different different
brain brain
states state
to to
learn learn
about about
what what
was be
happening happen
to to
the the
chimps chimp
. .
And and
at at
the the
same same
time time
, ,
I i
was be
learning learn
about about
the the
plight plight
faced face
by by
so so
many many
African african
people people
living live
in in
and and
around around
chimp chimp
habitat habitat
know know
the the
crippling crippling
poverty poverty
, ,
the the
lack lack
of of
health health
and and
education education
, ,
the the
degradation degradation
of of
man man
growing grow
human human
populations population
and and
flying fly
over over
Gumbley gumbley
that that
had have
been be
part part
of of
this this
equatorial equatorial
forest forest
belt belt
. .
When when
I i
began begin
by by
1990 @card@
, ,
it it
was be
just just
a a
tiny tiny
island island
forest forest
surrounded surround
by by
completely completely
bare bare
hills hill
, ,
and and
that that
' '
s s
when when
it it
hit hit
me me
. .
If if
we we
don don
' '
t t
help help
the the
people people
to to
find find
ways way
of of
making make
a a
living living
without without
destroying destroy
the the
environment environment
, ,
we we
can can
' '
t t
even even
try try
to to
save save
the the
chimps chimp
. .
And and
so so
because because
we we
began begin
this this
program program
Take take
Care care
or or
country country
, ,
which which
is be
very very
holistic holistic
, ,
that that
the the
people people
trust trust
us us
now now
and and
they they
' '
ve ve
come come
to to
understand understand
that that
protecting protect
the the
environment environment
is be
for for
their their
own own
future future
. .
They they
need need
the the
forest forest
for for
clean clean
air air
and and
clean clean
water water
to to
prevent prevent
soil soil
erosion erosion
and and
and and
control control
rainfall rainfall
and and
the the
climate climate
. .
And and
so so
they they
' '
ve ve
become become
our our
partners partner
and and
they they
help help
us us
conserve conserve
the the
environment environment
. .
And and
we we
teach teach
about about
the the
animals animal
in in
our our
youth youth
program program
. .
And and
they they
' '
re re
all all
helping help
to to
protect protect
the the
animals animal
and and
tell tell
people people
about about
the the
animals animal
. .
And and
again again
, ,
you you
can can
' '
t t
it it
' '
s s
not not
a a
blanket blanket
answer answer
I i
could could
give give
you you
about about
how how
do do
you you
persuade persuade
people people
to to
step step
up up
and and
care care
about about
animals animal
? ?
But but
I i
do do
it it
by by
telling tell
stories story
. .
And and
different different
stories story
, ,
depending depend
on on
who who
you you
' '
re re
talking talk
to to
. .
Yeah yeah
, ,
it it
reminds remind
me me
of of
a a
campaign campaign
the the
Environmental environmental
Defense defense
Fund fund
ran run
years year
ago ago
, ,
which which
I i
think think
was be
their their
most most
successful successful
campaign campaign
ever ever
, ,
which which
was be
just just
a a
picture picture
of of
a a
polar polar
bear bear
on on
a a
melting melt
ice ice
cap cap
. .
Yeah yeah
, ,
that that
' '
s s
right right
. .
We we
' '
ve ve
got get
a a
whole whole
audience audience
of of
listeners listener
who who
are be
trying try
to to
figure figure
out out
how how
to to
get get
through through
the the
next next
year year
or or
so so
of of
the the
pandemic pandemic
. .
And and
given give
given give
all all
the the
difficult difficult
conditions condition
you you
' '
ve ve
endured endure
throughout throughout
your your
life life
and and
your your
career career
, ,
I i
' '
m m
wondering wonder
, ,
what what
advice advice
do do
you you
have have
for for
for for
anybody anybody
who who
' '
s s
just just
trying try
to to
figure figure
out out
how how
to to
stay stay
, ,
how how
to to
stay stay
on on
track track
, ,
how how
to to
avoid avoid
burning burn
out out
, ,
how how
to to
deal deal
with with
all all
the the
uncertainty uncertainty
we we
' '
re re
facing face
? ?
What what
what what
guidance guidance
do do
you you
have have
? ?
Well well
, ,
you you
know know
, ,
there there
again again
, ,
how how
can can
you you
give give
a a
blanket blanket
guidance guidance
? ?
Because because
the the
people people
are be
so so
different different
. .
I i
mean mean
, ,
some some
of of
them them
, ,
the the
ones one
who who
' '
ve ve
lost lose
their their
jobs job
, ,
some some
of of
them them
like like
in in
Africa africa
and and
India india
, ,
you you
know know
, ,
they they
live live
by by
selling sell
things thing
. .
And and
what what
they they
get get
selling sell
their their
little little
bits bit
and and
pieces piece
is be
how how
they they
eat eat
in in
the the
evening evening
and and
provide provide
food food
for for
their their
children child
. .
So so
advice advice
that that
you you
were be
giving give
to to
them them
would would
be be
totally totally
different different
from from
somebody somebody
sitting sit
in in
Silicon silicon
Valley valley
, ,
you you
know know
, ,
with with
his his
pots pot
of of
money money
and and
ability ability
to to
communicate communicate
with with
people people
around around
the the
world world
and and
think think
of of
new new
ways way
of of
making make
more more
money money
or or
making make
more more
inventions invention
, ,
depending depend
on on
the the
person person
' '
s s
what what
you you
say say
. .
I i
mean mean
, ,
you you
have have
to to
help help
that that
people people
have have
hope hope
. .
I i
mean mean
, ,
without without
hope hope
, ,
you you
give give
up up
, ,
don don
' '
t t
you you
, ,
if if
you you
hope hope
for for
a a
better good
future future
. .
So so
maybe maybe
for for
whatever whatever
jobs job
being be
lost lose
, ,
you you
can can
sort sort
of of
talk talk
to to
that that
person person
and and
say say
, ,
well well
, ,
you you
know know
, ,
like like
if if
we we
can can
create create
a a
new new
green green
economy economy
, ,
there there
' '
ll ll
be be
hundreds hundred
and and
thousands thousand
of of
jobs job
to to
do do
with with
solar solar
and and
wind wind
and and
all all
these these
other other
technologies technology
that that
could could
be be
developed develop
provide provide
jobs job
for for
people people
. .
Yes yes
. .
Jane jane
, ,
have have
there there
ever ever
been be
times time
when when
you you
' '
ve ve
lost lose
hope hope
and and
and and
