Have	VBP	have
will	MD	will
feel	VB	feel
good	JJ	good
.	SENT	.
"	``	"
She	PP	she
has	VBZ	have
thought	VBN	think
and	CC	and
she	PP	she
has	VBZ	have
felt	VBN	feel
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
really	RB	really
not	RB	not
more	RBR	more
complicated	JJ	complicated
than	IN	than
that	DT	that
.	SENT	.
But	CC	but
we	PP	we
see	VBP	see
other	JJ	other
animals	NNS	animal
and	CC	and
we	PP	we
say	VBP	say
,	,	,
"	``	"
Oh	UH	oh
look	VB	look
,	,	,
killer	NN	killer
whales	NNS	whale
,	,	,
wolves	NNS	wolf
,	,	,
elephants	NNS	elephant
:	:	:
that	WDT	that
'	POS	'
s	NNS	<unknown>
not	RB	not
how	WRB	how
they	PP	they
see	VBP	see
it	PP	it
.	SENT	.
"	``	"
That	DT	that
tall-finned	JJ	tall-finned
male	NN	male
is	VBZ	be
L41	JJ	L@card@
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
38	CD	@card@
years	NNS	year
old	JJ	old
.	SENT	.
The	DT	the
female	JJ	female
right	NN	right
on	IN	on
his	PP$	his
left	JJ	left
side	NN	side
is	VBZ	be
L22	JJ	L@card@
.	SENT	.
She	NN	she
'	POS	'
s	NN	S
44	CD	@card@
.	SENT	.
They	PP	they
'	POS	'
ve	NN	ve
known	VBN	know
each	DT	each
other	JJ	other
for	IN	for
decades	NNS	decade
.	SENT	.
They	PP	they
know	VBP	know
exactly	RB	exactly
who	WP	who
they	PP	they
are	VBP	be
.	SENT	.
They	PP	they
know	VBP	know
who	WP	who
their	PP$	their
friends	NNS	friend
are	VBP	be
.	SENT	.
They	PP	they
know	VBP	know
who	WP	who
their	PP$	their
rivals	NNS	rival
are	VBP	be
.	SENT	.
Their	PP$	their
life	NN	life
follows	VBZ	follow
the	DT	the
arc	NN	arc
of	IN	of
a	DT	a
career	NN	career
.	SENT	.
They	PP	they
know	VBP	know
where	WRB	where
they	PP	they
are	VBP	be
all	RB	all
the	DT	the
time	NN	time
.	SENT	.
This	DT	this
is	VBZ	be
an	DT	an
elephant	NN	elephant
named	VBN	name
Philo	NP	Philo
.	SENT	.
He	PP	he
was	VBD	be
a	DT	a
young	JJ	young
male	NN	male
.	SENT	.
This	DT	this
is	VBZ	be
him	PP	him
four	CD	four
days	NNS	day
later	RBR	later
.	SENT	.
Humans	NNS	human
not	RB	not
only	RB	only
can	MD	can
feel	VB	feel
grief	NN	grief
,	,	,
we	PP	we
create	VBP	create
an	DT	an
awful	JJ	awful
lot	NN	lot
of	IN	of
it	PP	it
.	SENT	.
We	PP	we
want	VBP	want
to	TO	to
carve	VB	carve
their	PP$	their
teeth	NNS	tooth
.	SENT	.
Why	WRB	why
can	MD	can
'	''	'
t	NN	t
we	PP	we
wait	VBP	wait
for	IN	for
them	PP	them
to	TO	to
die	VB	die
?	SENT	?
Elephants	NNS	elephant
once	RB	once
ranged	VBD	range
from	IN	from
the	DT	the
shores	NNS	shore
of	IN	of
the	DT	the
Mediterranean	NP	Mediterranean
Sea	NP	Sea
all	RB	all
the	DT	the
way	NN	way
down	RB	down
to	TO	to
the	DT	the
Cape	NP	Cape
of	IN	of
Good	NP	Good
Hope	NP	Hope
.	SENT	.
In	IN	in
1980	CD	@card@
,	,	,
there	EX	there
were	VBD	be
vast	JJ	vast
strongholds	NNS	stronghold
of	IN	of
elephant	NN	elephant
range	NN	range
in	IN	in
Central	NP	Central
and	CC	and
Eastern	NP	Eastern
Africa	NP	Africa
.	SENT	.
And	CC	and
now	RB	now
their	PP$	their
range	NN	range
is	VBZ	be
shattered	VBN	shatter
into	IN	into
little	JJ	little
shards	NNS	shard
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
geography	NN	geography
of	IN	of
an	DT	an
animal	NN	animal
that	IN	that
we	PP	we
are	VBP	be
driving	VBG	drive
to	TO	to
extinction	NN	extinction
,	,	,
a	DT	a
fellow	NN	fellow
being	VBG	be
,	,	,
the	DT	the
most	RBS	most
magnificent	JJ	magnificent
creature	NN	creature
on	IN	on
land	NN	land
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
we	PP	we
take	VBP	take
much	RB	much
better	JJR	good
care	NN	care
of	IN	of
our	PP$	our
wildlife	NN	wildlife
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
.	SENT	.
In	IN	in
Yellowstone	NP	Yellowstone
National	NP	National
Park	NP	Park
,	,	,
we	PP	we
killed	VBD	kill
every	DT	every
single	JJ	single
wolf	NN	wolf
.	SENT	.
We	PP	we
killed	VBD	kill
every	DT	every
single	JJ	single
wolf	NN	wolf
south	NN	south
of	IN	of
the	DT	the
Canadian	JJ	Canadian
border	NN	border
,	,	,
actually	RB	actually
.	SENT	.
But	CC	but
in	IN	in
the	DT	the
park	NN	park
,	,	,
park	NN	park
rangers	NNS	ranger
did	VBD	do
that	IN	that
in	IN	in
the	DT	the
1920s	NNS	1920s
,	,	,
and	CC	and
then	RB	then
60	CD	@card@
years	NNS	year
later	RBR	later
they	PP	they
had	VBD	have
to	TO	to
bring	VB	bring
them	PP	them
back	RB	back
,	,	,
because	IN	because
the	DT	the
elk	NN	elk
numbers	NNS	number
had	VBD	have
gotten	VBN	get
out	RP	out
of	IN	of
control	NN	control
.	SENT	.
And	CC	and
then	RB	then
people	NNS	people
came	VBD	come
.	SENT	.
People	NNS	people
came	VBD	come
by	IN	by
the	DT	the
thousands	NNS	thousand
to	TO	to
see	VB	see
the	DT	the
wolves	NNS	wolf
,	,	,
the	DT	the
most	RBS	most
accessibly	RB	accessibly
visible	JJ	visible
wolves	NNS	wolf
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
I	PP	I
went	VBD	go
there	RB	there
and	CC	and
I	PP	I
watched	VBD	watch
this	DT	this
incredible	JJ	incredible
family	NN	family
of	IN	of
wolves	NNS	wolf
.	SENT	.
A	DT	a
pack	NN	pack
is	VBZ	be
a	DT	a
family	NN	family
.	SENT	.
It	PP	it
has	VBZ	have
some	DT	some
breeding	VBG	breed
adults	NNS	adult
and	CC	and
the	DT	the
young	JJ	young
of	IN	of
several	JJ	several
generations	NNS	generation
.	SENT	.
And	CC	and
I	PP	I
watched	VBD	watch
the	DT	the
most	RBS	most
famous	JJ	famous
,	,	,
most	RBS	most
stable	JJ	stable
pack	NN	pack
in	IN	in
Yellowstone	NP	Yellowstone
National	NP	National
Park	NP	Park
.	SENT	.
And	CC	and
then	RB	then
,	,	,
when	WRB	when
they	PP	they
wandered	VBD	wander
just	RB	just
outside	IN	outside
the	DT	the
border	NN	border
,	,	,
two	CD	two
of	IN	of
their	PP$	their
adults	NNS	adult
were	VBD	be
killed	VBN	kill
,	,	,
including	VBG	include
the	DT	the
mother	NN	mother
,	,	,
which	WDT	which
we	PP	we
sometimes	RB	sometimes
call	VBP	call
the	DT	the
alpha	NN	alpha
female	NN	female
.	SENT	.
The	DT	the
rest	NN	rest
of	IN	of
the	DT	the
family	NN	family
immediately	RB	immediately
descended	VBD	descend
into	IN	into
sibling	NN	sibling
rivalry	NN	rivalry
.	SENT	.
Sisters	NNS	sister
kicked	VBD	kick
out	RP	out
other	JJ	other
sisters	NNS	sister
.	SENT	.
That	DT	that
one	CD	one
on	IN	on
the	DT	the
left	NN	left
tried	VBN	try
for	IN	for
days	NNS	day
to	TO	to
rejoin	VB	rejoin
her	PP$	her
family	NN	family
.	SENT	.
They	PP	they
wouldn	NP	<unknown>
'	POS	'
t	NN	t
let	VBD	let
her	PP	her
because	IN	because
they	PP	they
were	VBD	be
jealous	JJ	jealous
of	IN	of
her	PP	her
.	SENT	.
She	PP	she
was	VBD	be
getting	VBG	get
too	RB	too
much	JJ	much
attention	NN	attention
from	IN	from
two	CD	two
new	JJ	new
males	NNS	male
,	,	,
and	CC	and
she	PP	she
was	VBD	be
the	DT	the
precocious	JJ	precocious
one	CD	one
.	SENT	.
That	DT	that
was	VBD	be
too	RB	too
much	JJ	much
for	IN	for
them	PP	them
.	SENT	.
She	PP	she
wound	VBD	wind
up	RP	up
wandering	VBG	wander
outside	IN	outside
the	DT	the
park	NN	park
and	CC	and
getting	VBG	get
shot	NN	shot
.	SENT	.
The	DT	the
alpha	NN	alpha
male	NN	male
wound	VBD	wind
up	RP	up
being	VBG	be
ejected	VBN	eject
from	IN	from
his	PP$	his
own	JJ	own
family	NN	family
.	SENT	.
As	IN	as
winter	NN	winter
was	VBD	be
coming	VBG	come
in	IN	in
,	,	,
he	PP	he
lost	VBD	lose
his	PP$	his
territory	NN	territory
,	,	,
his	PP$	his
hunting	NN	hunting
support	NN	support
,	,	,
the	DT	the
members	NNS	member
of	IN	of
his	PP$	his
family	NN	family
and	CC	and
his	PP$	his
mate	NN	mate
.	SENT	.
We	PP	we
cause	VBP	cause
so	RB	so
much	JJ	much
pain	NN	pain
to	TO	to
them	PP	them
.	SENT	.
The	DT	the
mystery	NN	mystery
is	VBZ	be
,	,	,
why	WRB	why
don	NN	don
'	POS	'
t	NN	t
they	PP	they
hurt	VBP	hurt
us	PP	us
more	JJR	more
than	IN	than
they	PP	they
do	VBP	do
?	SENT	?
This	DT	this
whale	NN	whale
had	VBD	have
just	RB	just
finished	VBN	finish
eating	JJ	eating
part	NN	part
of	IN	of
a	DT	a
grey	JJ	grey
whale	NN	whale
with	IN	with
his	PP$	his
companions	NNS	companion
who	WP	who
had	VBD	have
killed	VBN	kill
that	DT	that
whale	NN	whale
.	SENT	.
Those	DT	those
people	NNS	people
in	IN	in
the	DT	the
boat	NN	boat
had	VBD	have
nothing	NN	nothing
at	IN	at
all	DT	all
to	TO	to
fear	VB	fear
.	SENT	.
This	DT	this
whale	NN	whale
is	VBZ	be
T20	JJ	T@card@
.	SENT	.
He	PP	he
had	VBD	have
just	RB	just
finished	VBN	finish
tearing	VBG	tear
a	DT	a
seal	NN	seal
into	IN	into
three	CD	three
pieces	NNS	piece
with	IN	with
two	CD	two
companions	NNS	companion
.	SENT	.
The	DT	the
seal	NN	seal
weighed	VBD	weigh
about	RB	about
as	RB	as
much	JJ	much
as	IN	as
the	DT	the
people	NNS	people
in	IN	in
the	DT	the
boat	NN	boat
.	SENT	.
They	PP	they
had	VBD	have
nothing	NN	nothing
to	TO	to
fear	VB	fear
.	SENT	.
They	PP	they
eat	VBP	eat
seals	NNS	seal
.	SENT	.
Why	WRB	why
don	NN	don
'	POS	'
t	NN	t
they	PP	they
eat	VBP	eat
us	PP	us
?	SENT	?
Why	WRB	why
can	MD	can
we	PP	we
trust	VB	trust
them	PP	them
around	IN	around
our	PP$	our
toddlers	NNS	toddler
?	SENT	?
Why	WRB	why
is	VBZ	be
it	PP	it
that	IN	that
killer	NN	killer
whales	NNS	whale
have	VBP	have
returned	VBN	return
to	TO	to
researchers	NNS	researcher
lost	VBN	lose
in	IN	in
thick	JJ	thick
fog	NN	fog
and	CC	and
led	VBN	lead
them	PP	them
miles	NNS	mile
until	IN	until
the	DT	the
fog	NN	fog
parted	VBD	part
and	CC	and
the	DT	the
researchers	NNS	researcher
'	POS	'
home	NN	home
was	VBD	be
right	RB	right
there	RB	there
on	IN	on
the	DT	the
shoreline	NN	shoreline
?	SENT	?
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
happened	VBD	happen
more	JJR	more
than	IN	than
one	CD	one
time	NN	time
.	SENT	.
In	IN	in
the	DT	the
Bahamas	NPS	Bahamas
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
woman	NN	woman
named	VBN	name
Denise	NP	Denise
Herzing	NP	Herzing
,	,	,
and	CC	and
she	PP	she
studies	VBZ	study
spotted	JJ	spotted
dolphins	NNS	dolphin
and	CC	and
they	PP	they
know	VBP	know
her	PP	her
.	SENT	.
She	PP	she
knows	VBZ	know
them	PP	them
very	RB	very
well	RB	well
.	SENT	.
She	PP	she
knows	VBZ	know
who	WP	who
they	PP	they
all	RB	all
are	VBP	be
.	SENT	.
They	PP	they
know	VBP	know
her	PP	her
.	SENT	.
They	PP	they
recognize	VBP	recognize
the	DT	the
research	NN	research
boat	NN	boat
.	SENT	.
When	WRB	when
she	PP	she
shows	VBZ	show
up	RP	up
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
big	JJ	big
happy	JJ	happy
reunion	NN	reunion
.	SENT	.
Except	IN	except
,	,	,
one	CD	one
time	NN	time
showed	VBD	show
up	RP	up
and	CC	and
they	PP	they
didn	NP	<unknown>
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
come	VB	come
near	IN	near
the	DT	the
boat	NN	boat
,	,	,
and	CC	and
that	WDT	that
was	VBD	be
really	RB	really
strange	JJ	strange
.	SENT	.
And	CC	and
they	PP	they
couldn	NN	<unknown>
'	POS	'
t	NN	t
figure	NN	figure
out	IN	out
what	WP	what
was	VBD	be
going	VBG	go
on	IN	on
until	IN	until
somebody	NN	somebody
came	VBD	come
out	RP	out
on	IN	on
deck	NN	deck
and	CC	and
announced	VBD	announce
that	IN	that
one	CD	one
of	IN	of
the	DT	the
people	NNS	people
onboard	JJ	onboard
had	VBD	have
died	VBN	die
during	IN	during
a	DT	a
nap	NN	nap
in	IN	in
his	PP$	his
bunk	NN	bunk
.	SENT	.
How	WRB	how
could	MD	could
dolphins	NNS	dolphin
know	VB	know
that	IN	that
one	CD	one
of	IN	of
the	DT	the
human	JJ	human
hearts	NNS	heart
had	VBD	have
just	RB	just
stopped	VBN	stop
?	SENT	?
Why	WRB	why
would	MD	would
they	PP	they
care	VB	care
?	SENT	?
And	CC	and
why	WRB	why
would	MD	would
it	PP	it
spook	VB	spook
them	PP	them
?	SENT	?
These	DT	these
mysterious	JJ	mysterious
things	NNS	thing
just	RB	just
hint	VBP	hint
at	IN	at
all	DT	all
of	IN	of
the	DT	the
things	NNS	thing
that	WDT	that
are	VBP	be
going	VBG	go
on	IN	on
in	IN	in
the	DT	the
minds	NNS	mind
that	WDT	that
are	VBP	be
with	IN	with
us	PP	us
on	IN	on
Earth	NP	Earth
that	IN	that
we	PP	we
almost	RB	almost
never	RB	never
think	VB	think
about	RB	about
at	IN	at
all	DT	all
.	SENT	.
At	IN	at
an	DT	an
aquarium	NN	aquarium
in	IN	in
South	NP	South
Africa	NP	Africa
was	VBD	be
a	DT	a
little	JJ	little
baby	NN	baby
bottle-nosed	JJ	<unknown>
dolphin	NN	dolphin
named	VBN	name
Dolly	NP	Dolly
.	SENT	.
She	PP	she
was	VBD	be
nursing	VBG	nurse
,	,	,
and	CC	and
one	CD	one
day	NN	day
a	DT	a
keeper	NN	keeper
took	VBD	take
a	DT	a
cigarette	NN	cigarette
break	NN	break
and	CC	and
he	PP	he
was	VBD	be
looking	VBG	look
into	IN	into
the	DT	the
window	NN	window
into	IN	into
their	PP$	their
pool	NN	pool
,	,	,
smoking	NN	smoking
.	SENT	.
Dolly	NP	Dolly
came	VBD	come
over	RP	over
and	CC	and
looked	VBD	look
at	IN	at
him	PP	him
,	,	,
went	VBD	go
back	RB	back
to	TO	to
her	PP$	her
mother	NN	mother
,	,	,
nursed	VBN	nurse
for	IN	for
a	DT	a
minute	NN	minute
or	CC	or
two	CD	two
,	,	,
came	VBD	come
back	RB	back
to	TO	to
the	DT	the
window	NN	window
and	CC	and
released	VBD	release
a	DT	a
cloud	NN	cloud
of	IN	of
milk	NN	milk
that	WDT	that
enveloped	VBD	envelop
her	PP$	her
head	NN	head
like	IN	like
smoke	NN	smoke
.	SENT	.
Somehow	RB	somehow
,	,	,
this	DT	this
baby	NN	baby
bottle-nosed	JJ	<unknown>
dolphin	NN	dolphin
got	VBD	get
the	DT	the
idea	NN	idea
of	IN	of
using	VBG	use
milk	NN	milk
to	TO	to
represent	VB	represent
smoke	NN	smoke
.	SENT	.
When	WRB	when
human	JJ	human
beings	NNS	being
use	VBP	use
one	CD	one
thing	NN	thing
to	TO	to
represent	VB	represent
another	DT	another
,	,	,
we	PP	we
call	VBP	call
that	DT	that
art	NN	art
.	SENT	.
The	DT	the
things	NNS	thing
that	WDT	that
make	VBP	make
us	PP	us
human	JJ	human
are	VBP	be
not	RB	not
the	DT	the
things	NNS	thing
that	WDT	that
we	PP	we
think	VBP	think
make	VB	make
us	PP	us
human	JJ	human
.	SENT	.
What	WP	what
makes	VBZ	make
us	PP	us
human	NN	human
is	VBZ	be
that	IN	that
,	,	,
of	IN	of
all	PDT	all
these	DT	these
things	NNS	thing
that	IN	that
our	PP$	our
minds	NNS	mind
and	CC	and
their	PP$	their
minds	NNS	mind
have	VBP	have
,	,	,
we	PP	we
are	VBP	be
the	DT	the
most	RBS	most
extreme	JJ	extreme
.	SENT	.
We	PP	we
are	VBP	be
the	DT	the
most	RBS	most
compassionate	JJ	compassionate
,	,	,
most	RBS	most
violent	JJ	violent
,	,	,
most	RBS	most
creative	JJ	creative
and	CC	and
most	RBS	most
destructive	JJ	destructive
animal	NN	animal
that	WDT	that
has	VBZ	have
ever	RB	ever
been	VBN	be
on	IN	on
this	DT	this
planet	NN	planet
,	,	,
and	CC	and
we	PP	we
are	VBP	be
all	RB	all
of	IN	of
those	DT	those
things	NNS	thing
all	RB	all
jumbled	VBD	jumble
up	RP	up
together	RB	together
.	SENT	.
But	CC	but
love	NN	love
is	VBZ	be
not	RB	not
the	DT	the
thing	NN	thing
that	WDT	that
makes	VBZ	make
us	PP	us
human	JJ	human
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
special	JJ	special
to	TO	to
us	PP	us
.	SENT	.
We	PP	we
are	VBP	be
not	RB	not
the	DT	the
only	JJ	only
ones	NNS	one
who	WP	who
care	VBP	care
about	IN	about
our	PP$	our
mates	NNS	mate
.	SENT	.
We	PP	we
are	VBP	be
not	RB	not
the	DT	the
only	JJ	only
ones	NNS	one
who	WP	who
care	VBP	care
about	IN	about
our	PP$	our
children	NNS	child
.	SENT	.
Albatrosses	NNS	albatross
frequently	RB	frequently
fly	VBP	fly
six	CD	six
,	,	,
sometimes	RB	sometimes
ten	CD	ten
thousand	CD	thousand
miles	NNS	mile
over	IN	over
several	JJ	several
weeks	NNS	week
to	TO	to
deliver	VB	deliver
one	CD	one
meal	NN	meal
,	,	,
one	CD	one
big	JJ	big
meal	NN	meal
,	,	,
to	TO	to
their	PP$	their
chick	NN	chick
who	WP	who
is	VBZ	be
waiting	VBG	wait
for	IN	for
them	PP	them
.	SENT	.
They	PP	they
nest	VBP	nest
on	IN	on
the	DT	the
most	RBS	most
remote	JJ	remote
islands	NNS	island
in	IN	in
the	DT	the
oceans	NNS	ocean
of	IN	of
the	DT	the
world	NN	world
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
what	WP	what
it	PP	it
looks	VBZ	look
like	IN	like
.	SENT	.
Passing	VBG	pass
life	NN	life
from	IN	from
one	CD	one
generation	NN	generation
to	TO	to
the	DT	the
next	JJ	next
is	VBZ	be
the	DT	the
chain	NN	chain
of	IN	of
being	VBG	be
.	SENT	.
If	IN	if
that	DT	that
stops	NNS	stop
,	,	,
it	PP	it
all	RB	all
goes	VBZ	go
away	RB	away
.	SENT	.
If	IN	if
anything	NN	anything
is	VBZ	be
sacred	JJ	sacred
,	,	,
that	WDT	that
is	VBZ	be
,	,	,
and	CC	and
into	IN	into
that	DT	that
sacred	JJ	sacred
relationship	NN	relationship
comes	VBZ	come
our	PP$	our
plastic	JJ	plastic
trash	NN	trash
.	SENT	.
All	DT	all
of	IN	of
these	DT	these
birds	NNS	bird
have	VBP	have
plastic	JJ	plastic
in	IN	in
them	PP	them
now	RB	now
.	SENT	.
This	DT	this
is	VBZ	be
an	DT	an
albatross	NN	albatross
six	CD	six
months	NNS	month
old	JJ	old
,	,	,
ready	JJ	ready
to	TO	to
fledge	VB	fledge
—	:	-
died	VBN	die
,	,	,
packed	VBN	pack
with	IN	with
red	JJ	red
cigarette	NN	cigarette
lighters	NNS	lighter
.	SENT	.
This	DT	this
is	VBZ	be
not	RB	not
the	DT	the
relationship	NN	relationship
we	PP	we
are	VBP	be
supposed	VBN	suppose
to	TO	to
have	VB	have
with	IN	with
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
But	CC	but
we	PP	we
,	,	,
who	WP	who
have	VBP	have
named	VBN	name
ourselves	PP	ourselves
after	IN	after
our	PP$	our
brains	NNS	brain
,	,	,
never	RB	never
think	VBP	think
about	IN	about
the	DT	the
consequences	NNS	consequence
.	SENT	.
When	WRB	when
we	PP	we
welcome	VBP	welcome
new	JJ	new
human	JJ	human
life	NN	life
into	IN	into
the	DT	the
world	NN	world
,	,	,
we	PP	we
welcome	VBP	welcome
our	PP$	our
babies	NNS	baby
into	IN	into
the	DT	the
company	NN	company
of	IN	of
other	JJ	other
creatures	NNS	creature
.	SENT	.
We	PP	we
paint	VBP	paint
animals	NNS	animal
on	IN	on
the	DT	the
walls	NNS	wall
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
paint	NN	paint
cell	NN	cell
phones	NNS	phone
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
paint	NN	paint
work	NN	work
cubicles	NNS	cubicle
.	SENT	.
We	PP	we
paint	VBP	paint
animals	NNS	animal
to	TO	to
show	VB	show
them	PP	them
that	IN	that
we	PP	we
are	VBP	be
not	RB	not
alone	RB	alone
.	SENT	.
We	PP	we
have	VBP	have
company	NN	company
.	SENT	.
And	CC	and
every	DT	every
one	CD	one
of	IN	of
those	DT	those
animals	NNS	animal
in	IN	in
every	DT	every
painting	NN	painting
of	IN	of
Noah	NP	Noah
'	POS	'
s	NN	S
ark	NN	ark
,	,	,
deemed	VBN	deem
worthy	JJ	worthy
of	IN	of
salvation	NN	salvation
is	VBZ	be
in	IN	in
mortal	JJ	mortal
danger	NN	danger
now	RB	now
,	,	,
and	CC	and
their	PP$	their
flood	NN	flood
is	VBZ	be
us	PP	us
.	SENT	.
So	RB	so
we	PP	we
started	VBD	start
with	IN	with
a	DT	a
question	NN	question
:	:	:
Do	VBP	do
they	PP	they
love	VBP	love
us	PP	us
?	SENT	?
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
ask	VB	ask
another	DT	another
question	NN	question
.	SENT	.
Are	VBP	be
we	PP	we
capable	JJ	capable
of	IN	of
using	VBG	use
what	WP	what
we	PP	we
have	VBP	have
to	TO	to
care	VB	care
enough	RB	enough
to	TO	to
simply	RB	simply
let	VB	let
them	PP	them
continue	VB	continue
?	SENT	?
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
