Now	RB	now
get	VBP	get
a	DT	a
certificate	NN	certificate
of	IN	of
accomplishment	NN	accomplishment
,	,	,
so	RB	so
get	VB	get
home	NN	home
and	CC	and
frame	VB	frame
it	PP	it
if	IN	if
you	PP	you
want	VBP	want
.	SENT	.
This	DT	this
is	VBZ	be
orientation	NN	orientation
hall	NN	hall
.	SENT	.
The	DT	the
public	NN	public
comes	VBZ	come
in	IN	in
,	,	,
and	CC	and
the	DT	the
first	JJ	first
thing	NN	thing
you	PP	you
have	VBP	have
to	TO	to
do	VB	do
is	VBZ	be
dress	VB	dress
in	IN	in
lab	NN	lab
coats	NNS	coat
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
this	DT	this
importance	NN	importance
of	IN	of
stepping	VBG	step
from	IN	from
being	VBG	be
just	RB	just
a	DT	a
viewer	NN	viewer
into	IN	into
experimenter	NN	experimenter
.	SENT	.
And	CC	and
then	RB	then
you	PP	you
go	VBP	go
to	TO	to
the	DT	the
lockers	NNS	locker
and	CC	and
you	PP	you
put	VBD	put
your	PP$	your
watch	NN	watch
,	,	,
your	PP$	your
iPhone	NN	<unknown>
,	,	,
your	PP$	your
iPod	NN	<unknown>
,	,	,
your	PP$	your
computer	NN	computer
and	CC	and
everything	NN	everything
digital	JJ	digital
,	,	,
electronic	JJ	electronic
.	SENT	.
And	CC	and
you	PP	you
are	VBP	be
getting	VBG	get
free	JJ	free
time	NN	time
for	IN	for
yourself	PP	yourself
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
.	SENT	.
Because	IN	because
there	EX	there
is	VBZ	be
nothing	NN	nothing
wrong	JJ	wrong
with	IN	with
technology	NN	technology
,	,	,
our	PP$	our
approach	NN	approach
to	TO	to
technology	NN	technology
is	VBZ	be
wrong	JJ	wrong
.	SENT	.
We	PP	we
are	VBP	be
losing	VBG	lose
the	DT	the
time	NN	time
we	PP	we
have	VBP	have
for	IN	for
ourselves	PP	ourselves
.	SENT	.
This	DT	this
is	VBZ	be
an	DT	an
institute	NN	institute
to	TO	to
actually	RB	actually
give	VB	give
you	PP	you
back	VB	back
this	DT	this
time	NN	time
.	SENT	.
So	RB	so
what	WP	what
you	PP	you
do	VBP	do
here	RB	here
,	,	,
first	RB	first
you	PP	you
start	VBP	start
slow	JJ	slow
walking	NN	walking
,	,	,
you	PP	you
start	VBP	start
slowing	VBG	slow
down	RP	down
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
going	VBG	go
back	RB	back
to	TO	to
simplicity	NN	simplicity
.	SENT	.
After	IN	after
slow	JJ	slow
walking	NN	walking
,	,	,
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
learn	VB	learn
how	WRB	how
to	TO	to
drink	VB	drink
water	NN	water
—	:	-
very	RB	very
simple	JJ	simple
,	,	,
drinking	VBG	drink
water	NN	water
for	IN	for
maybe	RB	maybe
half	PDT	half
an	DT	an
hour	NN	hour
.	SENT	.
After	IN	after
this	DT	this
,	,	,
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
the	DT	the
magnet	NN	magnet
chamber	NN	chamber
,	,	,
where	WRB	where
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
create	VB	create
some	DT	some
magnet	NN	magnet
streams	NNS	stream
on	IN	on
your	PP$	your
body	NN	body
.	SENT	.
Then	RB	then
after	IN	after
this	DT	this
,	,	,
you	PP	you
go	VBP	go
to	TO	to
crystal	JJ	crystal
chamber	NN	chamber
.	SENT	.
After	IN	after
crystal	NN	crystal
chamber	NN	chamber
,	,	,
you	PP	you
go	VBP	go
to	TO	to
eye-gazing	VBG	eye-gaze
chamber	NN	chamber
,	,	,
after	IN	after
eye-gazing	VBG	eye-gaze
chamber	NN	chamber
,	,	,
you	PP	you
go	VBP	go
to	TO	to
a	DT	a
chamber	NN	chamber
where	WRB	where
you	PP	you
are	VBP	be
lying	VBG	lie
down	RP	down
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
the	DT	the
three	CD	three
basic	JJ	basic
positions	NNS	position
of	IN	of
the	DT	the
human	JJ	human
body	NN	body
,	,	,
sitting	VBG	sit
,	,	,
standing	VBG	stand
and	CC	and
lying	VBG	lie
.	SENT	.
And	CC	and
slow	JJ	slow
walking	NN	walking
.	SENT	.
And	CC	and
there	EX	there
is	VBZ	be
a	DT	a
sound	JJ	sound
chamber	NN	chamber
.	SENT	.
And	CC	and
then	RB	then
after	IN	after
you	PP	you
'	POS	'
ve	NNS	<unknown>
seen	VBN	see
all	RB	all
of	IN	of
this	DT	this
,	,	,
and	CC	and
prepared	VBD	prepare
yourself	PP	yourself
mentally	RB	mentally
and	CC	and
physically	RB	physically
,	,	,
then	RB	then
you	PP	you
are	VBP	be
ready	JJ	ready
to	TO	to
see	VB	see
something	NN	something
with	IN	with
a	DT	a
long	JJ	long
duration	NN	duration
,	,	,
like	IN	like
in	IN	in
immaterial	JJ	immaterial
art	NN	art
.	SENT	.
It	PP	it
can	MD	can
be	VB	be
music	NN	music
,	,	,
it	PP	it
can	MD	can
be	VB	be
opera	NN	opera
,	,	,
it	PP	it
can	MD	can
be	VB	be
a	DT	a
theater	NN	theater
piece	NN	piece
,	,	,
it	PP	it
can	MD	can
be	VB	be
film	NN	film
,	,	,
it	PP	it
can	MD	can
be	VB	be
video	JJ	video
dance	NN	dance
.	SENT	.
You	PP	you
go	VBP	go
to	TO	to
the	DT	the
long	JJ	long
duration	NN	duration
chairs	NNS	chair
because	IN	because
now	RB	now
you	PP	you
are	VBP	be
comfortable	JJ	comfortable
.	SENT	.
In	IN	in
the	DT	the
long	JJ	long
duration	NN	duration
chairs	NNS	chair
,	,	,
you	PP	you
'	POS	'
re	NN	re
transported	VBD	transport
to	TO	to
the	DT	the
big	JJ	big
place	NN	place
where	WRB	where
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
see	VB	see
the	DT	the
work	NN	work
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
fall	VBP	fall
asleep	RB	asleep
,	,	,
which	WDT	which
is	VBZ	be
very	RB	very
possible	JJ	possible
because	IN	because
it	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
a	DT	a
long	JJ	long
day	NN	day
,	,	,
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
be	VB	be
transported	VBN	transport
to	TO	to
the	DT	the
parking	NN	parking
lot	NN	lot
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
,	,	,
sleeping	NN	sleeping
is	VBZ	be
very	RB	very
important	JJ	important
.	SENT	.
In	IN	in
sleeping	NN	sleeping
,	,	,
you	PP	you
'	POS	'
re	NN	re
still	RB	still
receiving	VBG	receive
art	NN	art
.	SENT	.
So	RB	so
in	IN	in
the	DT	the
parking	NN	parking
lot	NN	lot
you	PP	you
stay	VBP	stay
for	IN	for
a	DT	a
certain	JJ	certain
amount	NN	amount
of	IN	of
time	NN	time
,	,	,
and	CC	and
then	RB	then
after	IN	after
this	DT	this
you	PP	you
just	RB	just
,	,	,
you	PP	you
know	VBP	know
,	,	,
go	VBP	go
back	RB	back
,	,	,
you	PP	you
see	VBP	see
more	JJR	more
of	IN	of
the	DT	the
things	NNS	thing
you	PP	you
like	VBP	like
to	TO	to
see	VB	see
or	CC	or
go	VB	go
home	NN	home
with	IN	with
your	PP$	your
certificate	NN	certificate
.	SENT	.
So	IN	so
this	DT	this
institute	NN	institute
right	NN	right
now	RB	now
is	VBZ	be
virtual	JJ	virtual
.	SENT	.
Right	RB	right
now	RB	now
,	,	,
I	PP	I
am	VBP	be
just	RB	just
making	VBG	make
my	PP$	my
institute	NN	institute
in	IN	in
Brazil	NP	Brazil
,	,	,
then	RB	then
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
in	IN	in
Australia	NP	Australia
,	,	,
then	RB	then
it	PP	it
'	POS	'
s	NNS	<unknown>
coming	VBG	come
here	RB	here
,	,	,
to	TO	to
Canada	NP	Canada
and	CC	and
everywhere	RB	everywhere
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
to	TO	to
experience	VB	experience
a	DT	a
kind	NN	kind
of	IN	of
simple	JJ	simple
method	NN	method
,	,	,
how	WRB	how
you	PP	you
go	VBP	go
back	RB	back
to	TO	to
simplicity	NN	simplicity
in	IN	in
your	PP$	your
own	JJ	own
life	NN	life
.	SENT	.
Counting	VBG	count
rice	NN	rice
will	MD	will
be	VB	be
another	DT	another
thing	NN	thing
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
if	IN	if
you	PP	you
count	VBP	count
rice	NN	rice
you	PP	you
can	MD	can
make	VB	make
life	NN	life
,	,	,
too	RB	too
.	SENT	.
How	WRB	how
to	TO	to
count	VB	count
rice	NN	rice
for	IN	for
six	CD	six
hours	NNS	hour
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
incredibly	RB	incredibly
important	JJ	important
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
you	PP	you
go	VBP	go
through	IN	through
this	DT	this
whole	JJ	whole
range	NN	range
of	IN	of
being	VBG	be
bored	VBN	bore
,	,	,
being	VBG	be
angry	JJ	angry
,	,	,
being	VBG	be
completely	RB	completely
frustrated	VBN	frustrate
,	,	,
not	RB	not
finishing	VBG	finish
the	DT	the
amount	NN	amount
of	IN	of
rice	NN	rice
you	PP	you
'	POS	'
re	NN	re
counting	NN	counting
.	SENT	.
And	CC	and
then	RB	then
this	DT	this
unbelievable	JJ	unbelievable
amount	NN	amount
of	IN	of
peace	NN	peace
you	PP	you
get	VBP	get
when	WRB	when
satisfying	JJ	satisfying
work	NN	work
is	VBZ	be
finished	VBN	finish
—	:	-
or	CC	or
counting	VBG	count
sand	NN	sand
in	IN	in
the	DT	the
desert	NN	desert
.	SENT	.
Or	CC	or
having	VBG	have
the	DT	the
sound-isolated	JJ	sound-isolated
situation	NN	situation
—	:	-
that	IN	that
you	PP	you
have	VBP	have
headphones	NN	headphones
,	,	,
that	WDT	that
you	PP	you
don	VBP	don
'	''	'
t	NN	t
hear	VBP	hear
anything	NN	anything
,	,	,
and	CC	and
you	PP	you
'	POS	'
re	NN	re
just	RB	just
there	RB	there
together	RB	together
without	IN	without
sound	NN	sound
,	,	,
with	IN	with
the	DT	the
people	NNS	people
experiencing	VBG	experience
silence	NN	silence
,	,	,
just	RB	just
the	DT	the
simple	JJ	simple
silence	NN	silence
.	SENT	.
We	PP	we
are	VBP	be
always	RB	always
doing	VBG	do
things	NNS	thing
we	PP	we
like	VBP	like
in	IN	in
our	PP$	our
life	NN	life
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
why	WRB	why
you	PP	you
'	POS	'
re	NN	re
not	RB	not
changing	VBG	change
.	SENT	.
You	PP	you
do	VBP	do
things	NNS	thing
in	IN	in
life	NN	life
—	:	-
it	PP	it
'	POS	'
s	JJ	<unknown>
just	JJ	just
nothing	NN	nothing
happens	VBZ	happen
if	IN	if
you	PP	you
always	RB	always
do	VBP	do
things	NNS	thing
the	DT	the
same	JJ	same
way	NN	way
.	SENT	.
But	CC	but
my	PP$	my
method	NN	method
is	VBZ	be
to	TO	to
do	VB	do
things	NNS	thing
I	PP	I
'	POS	'
m	NN	m
afraid	JJ	afraid
of	IN	of
,	,	,
the	DT	the
things	NNS	thing
I	PP	I
fear	VBP	fear
,	,	,
the	DT	the
things	NNS	thing
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
,	,	,
to	TO	to
go	VB	go
to	TO	to
territory	NN	territory
that	DT	that
nobody	NN	nobody
'	POS	'
s	NN	S
ever	RB	ever
been	VBN	be
.	SENT	.
And	CC	and
then	RB	then
also	RB	also
to	TO	to
include	VB	include
the	DT	the
failure	NN	failure
.	SENT	.
I	PP	I
think	VBP	think
failure	NN	failure
is	VBZ	be
important	JJ	important
because	IN	because
if	IN	if
you	PP	you
go	VBP	go
,	,	,
if	IN	if
you	PP	you
experiment	VBP	experiment
,	,	,
you	PP	you
can	MD	can
fail	VB	fail
.	SENT	.
If	IN	if
you	PP	you
don	VBP	don
'	''	'
t	NN	t
go	VB	go
into	IN	into
that	DT	that
area	NN	area
and	CC	and
you	PP	you
don	NN	don
'	POS	'
t	NN	t
fail	NN	fail
,	,	,
you	PP	you
are	VBP	be
actually	RB	actually
repeating	VBG	repeat
yourself	PP	yourself
over	RP	over
and	CC	and
over	RP	over
again	RB	again
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
human	JJ	human
beings	NNS	being
right	RB	right
now	RB	now
need	VB	need
a	DT	a
change	NN	change
,	,	,
and	CC	and
the	DT	the
only	JJ	only
change	NN	change
to	TO	to
be	VB	be
made	VBN	make
is	VBZ	be
a	DT	a
personal	JJ	personal
level	NN	level
change	NN	change
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
make	VB	make
the	DT	the
change	NN	change
on	IN	on
yourself	PP	yourself
.	SENT	.
Because	IN	because
the	DT	the
only	JJ	only
way	NN	way
to	TO	to
change	VB	change
consciousness	NN	consciousness
and	CC	and
to	TO	to
change	VB	change
the	DT	the
world	NN	world
around	IN	around
us	PP	us
,	,	,
is	VBZ	be
to	TO	to
start	VB	start
with	IN	with
yourself	PP	yourself
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
so	RB	so
easy	JJ	easy
to	TO	to
criticize	VB	criticize
how	WRB	how
it	PP	it
'	POS	'
s	NNS	<unknown>
different	JJ	different
,	,	,
the	DT	the
things	NNS	thing
in	IN	in
the	DT	the
world	NN	world
and	CC	and
they	PP	they
'	POS	'
re	NN	re
not	RB	not
right	RB	right
,	,	,
and	CC	and
the	DT	the
governments	NNS	government
are	VBP	be
corrupted	VBN	corrupt
and	CC	and
there	EX	there
'	''	'
s	NN	S
hunger	NN	hunger
in	IN	in
the	DT	the
world	NN	world
and	CC	and
there	EX	there
'	''	'
s	NN	S
wars	NNS	war
—	:	-
the	DT	the
killing	NN	killing
.	SENT	.
But	CC	but
what	WP	what
we	PP	we
do	VBP	do
on	IN	on
the	DT	the
personal	JJ	personal
level	NN	level
—	:	-
what	WP	what
is	VBZ	be
our	PP$	our
contribution	NN	contribution
to	TO	to
this	DT	this
whole	JJ	whole
thing	NN	thing
?	SENT	?
Can	MD	can
you	PP	you
turn	VB	turn
to	TO	to
your	PP$	your
neighbor	NN	neighbor
,	,	,
the	DT	the
one	CD	one
you	PP	you
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
,	,	,
and	CC	and
look	VB	look
at	IN	at
them	PP	them
for	IN	for
two	CD	two
full	JJ	full
minutes	NNS	minute
in	IN	in
their	PP$	their
eyes	NNS	eye
,	,	,
right	RB	right
now	RB	now
?	SENT	?
I	NP	I
'	POS	'
m	NN	m
asking	VBG	ask
two	CD	two
minutes	NNS	minute
of	IN	of
your	PP$	your
time	NN	time
,	,	,
that	WDT	that
'	POS	'
s	NN	S
so	RB	so
little	RB	little
.	SENT	.
Breathe	VB	breathe
slowly	RB	slowly
,	,	,
don	NN	don
'	POS	'
t	NN	t
try	VBP	try
to	TO	to
blink	VB	blink
,	,	,
don	VB	don
'	''	'
t	NN	t
be	VB	be
self-conscious	JJ	self-conscious
.	SENT	.
Be	VB	be
relaxed	VBN	relax
.	SENT	.
And	CC	and
just	RB	just
look	VB	look
a	DT	a
complete	JJ	complete
stranger	NN	stranger
in	IN	in
your	PP$	your
eyes	NNS	eye
,	,	,
in	IN	in
his	PP$	his
eyes	NNS	eye
.	SENT	.
Thank	VB	thank
you	PP	you
for	IN	for
trusting	VBG	trust
me	PP	me
.	SENT	.
Chris	NP	Chris
Anderson	NP	Anderson
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
.	SENT	.
