Yogi	NP	Yogi
what	WP	what
we	PP	we
can	MD	can
do	VB	do
is	VBZ	be
ensure	VB	ensure
that	IN	that
all	DT	all
people	NNS	people
have	VBP	have
access	NN	access
to	TO	to
a	DT	a
complete	JJ	complete
diet	NN	diet
,	,	,
not	RB	not
just	RB	just
those	DT	those
in	IN	in
the	DT	the
wealthy	JJ	wealthy
parts	NNS	part
of	IN	of
the	DT	the
world	NN	world
but	CC	but
everywhere	RB	everywhere
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
We	PP	we
also	RB	also
individually	RB	individually
and	CC	and
collectively	RB	collectively
need	VBP	need
to	TO	to
reduce	VB	reduce
our	PP$	our
greenhouse	NN	greenhouse
gas	NN	gas
emissions	NNS	emission
to	TO	to
reduce	VB	reduce
the	DT	the
challenges	NNS	challenge
that	WDT	that
will	MD	will
come	VB	come
later	RBR	later
in	IN	in
the	DT	the
century	NN	century
.	SENT	.
It	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
said	VBD	say
that	IN	that
if	IN	if
you	PP	you
think	VBP	think
education	NN	education
is	VBZ	be
expensive	JJ	expensive
,	,	,
try	VB	try
ignorance	NN	ignorance
.	SENT	.
Let	NP	Let
'	POS	'
s	NN	S
not	RB	not
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
invest	VBP	invest
in	IN	in
ourselves	PP	ourselves
,	,	,
in	IN	in
our	PP$	our
children	NNS	child
and	CC	and
in	IN	in
our	PP$	our
planet	NN	planet
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
