Whitney whitney
but but
maybe maybe
I i
' '
ll ll
just just
start start
by by
saying say
that that
I i
came come
to to
tech tech
through through
the the
pathway pathway
of of
direct direct
patient patient
care care
and and
public public
health health
service service
in in
local local
community community
, ,
and and
I i
ended end
up up
in in
a a
role role
in in
the the
federal federal
government government
as as
the the
National national
Coordinator coordinator
for for
Health health
IT it
, ,
which which
, ,
for for
my my
background background
, ,
felt feel
unusual unusual
to to
me me
, ,
I i
' '
m m
just just
being be
honest honest
. .
And and
I i
thought think
, ,
well well
, ,
I i
' '
m m
not not
really really
a a
tech tech
person person
, ,
but but
the the
secretary secretary
at at
the the
time time
said say
, ,
" "
That that
' '
s s
exactly exactly
why why
we we
need need
you you
, ,
because because
we we
need need
to to
apply apply
tech tech
. .
" "
And and
she she
had have
had have
the the
unfortunate unfortunate
experience experience
of of
hearing hearing
me me
chirp chirp
about about
how how
public public
health health
needed need
more more
timely timely
data datum
to to
make make
better well
evidence-based evidence-based
policy policy
on on
behalf behalf
of of
community community
and and
with with
community community
. .
This this
was be
a a
source source
of of
frustration frustration
for for
me me
as as
a a
local local
public public
health health
officer officer
, ,
that that
sometimes sometimes
the the
data datum
I i
was be
working work
on on
, ,
though though
great great
, ,
was be
stale stale
by by
the the
time time
I i
needed need
to to
make make
decisions decision
about about
chronic chronic
disease disease
interventions intervention
, ,
or or
mental mental
health health
or or
even even
violence violence
or or
intimate intimate
partner partner
violence violence
issues issue
in in
my my
community community
. .
And and
so so
the the
desire desire
to to
make make
data datum
useful useful
and and
accessible accessible
to to
support support
people people
in in
communities community
is be
something something
that that
' '
s s
been be
burning burn
in in
me me
for for
a a
long long
time time
, ,
and and
what what
I i
have have
learned learn
since since
I i
have have
been be
out out
in in
Silicon silicon
Valley valley
is be
that that
that that
desire desire
burns burn
in in
the the
bellies belly
of of
many many
people people
who who
work work
at at
Google google
and and
Apple apple
and and
other other
companies company
, ,
and and
it it
' '
s s
been be
really really
wonderful wonderful
to to
see see
, ,
during during
this this
horrible horrible
time time
of of
the the
pandemic pandemic
, ,
the the
incredibly incredibly
brilliant brilliant
engineering engineering
and and
programming programming
and and
other other
minds mind
at at
a a
company company
like like
Google google
turn turn
their their
attention attention
on on
how how
can can
we we
partner partner
with with
consumers consumer
and and
with with
public public
health health
to to
do do
the the
right right
thing thing
, ,
to to
bring bring
the the
resources resource
that that
we we
have have
to to
bear bear
. .
And and
I i
said say
I i
could could
talk talk
all all
day day
about about
it it
because because
I i
have have
many many
examples example
from from
the the
work work
that that
we we
have have
done do
at at
Google google
. .
Maybe maybe
I i
' '
ll ll
just just
point point
out out
a a
couple couple
. .
One one
is be
to to
say say
that that
we we
very very
early early
on on
wanted want
to to
find find
a a
crisp crisp
way way
to to
help help
people people
understand understand
what what
they they
could could
do do
to to
protect protect
themselves themselves
and and
their their
community community
, ,
to to
flatten flatten
the the
curve curve
, ,
get get
the the
R r
naught naught
less less
than than
one one
, ,
and and
this this
" "
Do do
the the
Five five
" "
work work
that that
our our
teams team
, ,
largely largely
in in
marketing marketing
but but
then then
a a
lot lot
of of
other other
people people
weighed weigh
in in
. .
It it
required require
massive massive
amounts amount
of of
talent talent
to to
make make
that that
available available
on on
our our
landing landing
page page
, ,
on on
search search
, ,
and and
then then
fold fold
it it
out out
more more
broadly broadly
. .
We we
did do
that that
in in
partnership partnership
with with
the the
World world
Health health
Organization organization
, ,
then then
the the
CDC cdc
, ,
then then
with with
countries country
all all
across across
the the
world world
to to
get get
simple simple
messaging message
about about
staying stay
home home
if if
you you
can can
and and
coughing cough
into into
your your
elbow elbow
, ,
washing wash
your your
hands hand
. .
These these
are be
basic basic
public public
health health
messages message
that that
public public
health health
has have
been be
, ,
frankly frankly
, ,
even even
in in
flu flu
season season
trying try
to to
get get
the the
word word
out out
, ,
but but
it it
became become
, ,
the the
resources resource
at at
a a
company company
like like
a a
Google google
, ,
and and
the the
reach reach
to to
billions billion
, ,
it it
' '
s s
a a
platform platform
and and
a a
set set
of of
talents talent
that that
aren aren
' '
t t
even even
the the
technical technical
, ,
computer computer
vision vision
kind kind
of of
stuff stuff
that that
you you
would would
typically typically
think think
about about
. .
Many many
other other
companies company
in in
Silicon silicon
Valley valley
have have
weighed weigh
in in
in in
the the
same same
way way
. .
I i
think think
similarly similarly
, ,
we we
' '
ve ve
been be
thinking think
through through
how how
we we
can can
use use
tools tool
like like
the the
community community
mobility mobility
reports report
. .
This this
is be
something something
, ,
a a
business business
backer backer
like like
we we
have have
for for
restaurants restaurant
. .
The the
engineers engineer
and and
scientists scientist
said say
, ,
what what
if if
we we
applied apply
that that
to to
retail retail
and and
grocery grocery
stores store
and and
transportation transportation
to to
get get
a a
snapshot snapshot
in in
a a
community community
of of
whether whether
people people
were be
using use
those those
areas area
less less
, ,
whether whether
people people
were be
adhering adhere
to to
local local
public public
health health
expectations expectation
and and
sheltering shelter
in in
place place
, ,
and and
give give
that that
information information
not not
only only
to to
public public
health health
but but
to to
the the
public public
to to
help help
inspire inspire
them them
to to
do do
more more
for for
their their
community community
as as
well well
as as
for for
themselves themselves
. .
So so
there there
has have
been be
, ,
I i
think think
what what
I i
' '
m m
trying try
to to
say say
, ,
Whitney whitney
, ,
is be
I i
think think
there there
' '
s s
a a
natural natural
marriage marriage
, ,
and and
COVID covid
has have
been be
an an
accelerant accelerant
use use
case case
to to
demonstrate demonstrate
how how
that that
can can
work work
, ,
and and
it it
is be
my my
expectation expectation
that that
companies company
like like
Google google
who who
, ,
certainly certainly
for for
us us
it it
' '
s s
in in
our our
DNA dna
to to
be be
involved involve
in in
health health
, ,
will will
want want
to to
continue continue
working work
on on
this this
going go
forward forward
, ,
because because
it it
' '
s s
really really
not not
just just
good good
for for
what what
we we
need need
to to
get get
done do
in in
this this
pandemic pandemic
, ,
but but
public public
health health
and and
prevention prevention
are be
part part
and and
parcel parcel
of of
how how
we we
create create
opportunity opportunity
and and
equity equity
in in
all all
communities community
across across
the the
world world
. .
So so
I i
' '
m m
passionate passionate
about about
the the
work work
of of
public public
health health
and and
very very
passionate passionate
about about
partnership partnership
. .
Can can
I i
just just
say say
one one
more more
thing thing
? ?
WPR wpr
: :
Absolutely absolutely
. .
KD kd
: :
Which which
is be
to to
say say
that that
one one
of of
the the
first first
things thing
that that
I i
did do
before before
the the
pandemic pandemic
started start
, ,
I i
had have
just just
started start
in in
December december
, ,
and and
then then
in in
January january
, ,
I i
did do
a a
listening listen
session session
with with
consumers consumer
about about
what what
they they
wanted want
, ,
and and
they they
said say
something something
kind kind
of of
similar similar
to to
what what
you you
said say
, ,
which which
I i
just just
want want
to to
call call
out out
, ,
and and
that that
is be
, ,
they they
wanted want
partnership partnership
, ,
they they
wanted want
transparency transparency
and and
they they
really really
felt feel
like like
there there
was be
quite quite
a a
lot lot
that that
tech tech
in in
general general
could could
do do
to to
help help
them them
on on
their their
health health
journey journey
. .
But but
their their
ask ask
was be
that that
we we
did do
it it
in in
a a
transparent transparent
way way
and and
we we
did do
it it
in in
a a
partnered partner
way way
with with
them them
. .
And and
so so
as as
we we
move move
out out
of of
the the
pandemic pandemic
, ,
and and
we we
' '
re re
thinking think
more more
about about
consumers consumer
, ,
I i
want want
to to
carry carry
some some
of of
this this
spirit spirit
also also
of of
prevention prevention
and and
helpfulness helpfulness
and and
transparency transparency
into into
the the
work work
that that
we we
' '
re re
going go
to to
continue continue
to to
do do
for for
people people
every every
day day
. .
