Right right
is be
autonomous autonomous
, ,
and and
each each
of of
these these
petals petal
figures figure
out out
where where
the the
sun sun
is be
with with
no no
user user
setup setup
. .
So so
you you
don don
' '
t t
have have
to to
tell tell
what what
latitude latitude
, ,
longitude longitude
you you
' '
re re
at at
, ,
what what
your your
roof roof
slope slope
angle angle
is be
, ,
or or
what what
orientation orientation
. .
It it
doesn doesn
' '
t t
really really
care care
. .
What what
it it
does do
is be
it it
searches search
to to
find find
the the
hottest hot
spot spot
, ,
it it
searches search
again again
a a
half half
an an
hour hour
later later
, ,
a a
day day
later later
, ,
a a
month month
later later
. .
It it
basically basically
figures figure
out out
where where
on on
Earth earth
you you
are be
by by
watching watch
the the
direction direction
the the
sun sun
moves move
, ,
so so
you you
don don
' '
t t
have have
to to
actually actually
enter enter
anything anything
about about
that that
. .
The the
way way
the the
unit unit
works work
is be
, ,
when when
the the
sun sun
comes come
out out
, ,
the the
engine engine
will will
start start
and and
you you
get get
power power
out out
here here
. .
We we
have have
AC ac
and and
DC dc
, ,
get get
12 @card@
volts volt
DC dc
, ,
so so
that that
could could
be be
used use
for for
certain certain
applications application
. .
We we
have have
an an
inverter inverter
in in
there there
, ,
so so
you you
get get
117 @card@
volts volt
AC ac
. .
And and
you you
also also
get get
hot hot
water water
. .
The the
hot hot
water water
' '
s s
optional optional
. .
You you
don don
' '
t t
have have
to to
use use
it it
, ,
it it
will will
cool cool
itself itself
. .
But but
you you
can can
use use
it it
to to
optionally optionally
heat heat
hot hot
water water
and and
that that
brings bring
the the
efficiency efficiency
up up
even even
higher high
because because
some some
of of
the the
heat heat
that that
you you
' '
d d
normally normally
be be
rejecting reject
, ,
you you
can can
now now
use use
as as
useful useful
energy energy
, ,
whether whether
it it
' '
s s
for for
a a
pool pool
or or
hot hot
water water
. .
Let let
me me
show show
you you
a a
quick quick
movie movie
of of
what what
this this
looks look
like like
running run
. .
This this
is be
the the
first first
test test
where where
we we
took take
it it
outside outside
and and
each each
of of
the the
petals petal
were be
individually individually
seeking seek
. .
And and
what what
they they
do do
is be
step step
, ,
very very
coarsely coarsely
at at
first first
, ,
and and
very very
finely finely
afterward afterward
. .
Once once
they they
get get
a a
temperature temperature
reading reading
on on
the the
thermocouple thermocouple
indicating indicate
they they
found find
the the
sun sun
, ,
they they
slow slow
down down
and and
do do
a a
fine fine
search search
. .
Then then
the the
petals petal
will will
move move
into into
position position
, ,
and and
the the
engine engine
will will
start start
. .
We we
' '
ve ve
been be
working work
on on
this this
for for
the the
last last
two two
years year
. .
We we
' '
re re
very very
excited excite
about about
the the
progress progress
, ,
we we
have have
a a
long long
way way
to to
go go
though though
. .
This this
is be
how how
we we
envision envision
it it
would would
be be
in in
a a
residential residential
installation installation
: :
you you
' '
d d
probably probably
have have
more more
than than
one one
unit unit
on on
your your
roof roof
. .
It it
could could
be be
on on
your your
roof roof
, ,
your your
backyard backyard
, ,
or or
somewhere somewhere
else else
. .
You you
don don
' '
t t
have have
to to
have have
enough enough
units unit
to to
power power
your your
entire entire
house house
, ,
you you
just just
save save
money money
with with
each each
incremental incremental
one one
you you
add add
. .
So so
you you
' '
re re
still still
using use
the the
grid grid
potentially potentially
, ,
in in
this this
type type
of of
application application
, ,
to to
be be
your your
backup backup
supply supply
— -
of of
course course
, ,
you you
can can
' '
t t
use use
these these
at at
night night
, ,
and and
you you
can can
' '
t t
use use
these these
on on
cloudy cloudy
days day
. .
But but
by by
reducing reduce
your your
energy energy
use use
, ,
pretty pretty
much much
at at
the the
peak peak
times time
— -
usually usually
when when
you you
have have
your your
air air
conditioning conditioning
on on
, ,
or or
other other
times time
like like
that that
— -
this this
generates generate
the the
peak peak
power power
at at
the the
peak peak
usage usage
time time
, ,
so so
it it
' '
s s
very very
complementary complementary
in in
that that
sense sense
. .
This this
is be
how how
we we
would would
envision envision
a a
residential residential
application application
. .
We we
also also
think think
there there
' '
s s
very very
big big
potential potential
for for
energy energy
farms farm
, ,
especially especially
in in
remote remote
land land
where where
there there
happens happen
to to
be be
a a
lot lot
of of
sun sun
. .
It it
' '
s s
a a
really really
good good
combination combination
of of
those those
two two
factors factor
. .
It it
turns turn
out out
there there
' '
s s
a a
lot lot
of of
powerful powerful
sun sun
all all
around around
the the
world world
, ,
obviously obviously
, ,
but but
in in
special special
places place
where where
it it
happens happen
to to
be be
relatively relatively
inexpensive inexpensive
to to
place place
these these
and and
also also
in in
many many
more more
places place
where where
there there
is be
high high
wind wind
power power
. .
So so
an an
example example
of of
that that
is be
, ,
here here
' '
s s
the the
map map
of of
the the
United united
States states
. .
Pretty pretty
much much
everywhere everywhere
that that
' '
s s
not not
green green
or or
blue blue
is be
a a
really really
ideal ideal
place place
, ,
but but
even even
the the
green green
or or
blue blue
areas area
are be
good good
, ,
just just
not not
as as
good good
as as
the the
places place
that that
are be
red red
, ,
orange orange
and and
yellow yellow
. .
But but
the the
hot hot
spot spot
right right
around around
Las las
Vegas vegas
and and
Death death
Valley valley
is be
very very
good good
. .
And and
is be
only only
affects affect
the the
payback payback
period period
, ,
it it
doesn doesn
' '
t t
mean mean
that that
you you
couldn couldn
' '
t t
use use
solar solar
energy energy
; ;
you you
could could
use use
it it
anywhere anywhere
on on
Earth earth
. .
It it
just just
affects affect
the the
payback payback
period period
if if
you you
' '
re re
comparing compare
to to
grid-supplied grid-supplied
electricity electricity
. .
But but
if if
you you
don don
' '
t t
have have
grid-supplied grid-supply
electricity electricity
, ,
then then
the the
question question
of of
payback payback
is be
a a
different different
one one
entirely entirely
. .
It it
' '
s s
just just
how how
many many
watts watt
do do
you you
get get
per per
dollar dollar
, ,
and and
how how
could could
you you
benefit benefit
from from
that that
to to
change change
your your
life life
in in
some some
way way
. .
This this
is be
the the
map map
of of
the the
whole whole
Earth earth
, ,
and and
you you
can can
see see
a a
huge huge
swathe swathe
in in
the the
middle middle
where where
a a
large large
part part
of of
the the
population population
is be
, ,
there there
' '
s s
tremendous tremendous
chances chance
for for
solar solar
energy energy
. .
And and
of of
course course
, ,
look look
at at
Africa africa
. .
The the
potential potential
to to
take take
advantage advantage
of of
solar solar
energy energy
there there
is be
unbelievable unbelievable
, ,
and and
I i
' '
m m
really really
excited excite
to to
talk talk
more more
about about
finding find
ways way
we we
can can
help help
with with
that that
. .
So so
, ,
in in
conclusion conclusion
, ,
I i
would would
say say
my my
journey journey
has have
shown show
me me
that that
you you
can can
revisit revisit
old old
ideas idea
in in
a a
new new
light light
, ,
and and
sometimes sometimes
ideas idea
that that
have have
been be
discarded discard
in in
the the
past past
can can
be be
practical practical
now now
if if
you you
apply apply
some some
new new
technology technology
or or
new new
twists twist
. .
We we
believe believe
we we
' '
re re
getting get
very very
close close
to to
something something
practical practical
and and
affordable affordable
. .
Our our
short-term short-term
goal goal
for for
this this
is be
to to
be be
half half
the the
price price
of of
solar solar
cells cell
and and
our our
longer-term longer-term
goal goal
is be
to to
be be
less less
than than
a a
five-year five-year
payback payback
. .
And and
at at
less less
than than
a a
five-year five-year
payback payback
, ,
this this
becomes become
very very
economic economic
. .
So so
you you
don don
' '
t t
have have
to to
just just
have have
a a
feel-good feel-good
attitude attitude
about about
energy energy
to to
want want
to to
have have
one one
of of
these these
. .
It it
just just
makes make
economic economic
sense sense
. .
Right right
now now
, ,
solar solar
paybacks payback
are be
between between
30 @card@
and and
50 @card@
years year
. .
If if
you you
get get
it it
down down
below below
five five
years year
, ,
then then
it it
' '
s s
almost almost
a a
no-brainer no-brainer
because because
the the
interest interest
to to
own own
it it
— -
someone someone
else else
will will
finance finance
it it
for for
you you
and and
you you
can can
just just
make make
money money
from from
day day
one one
. .
So so
that that
' '
s s
our our
real real
powerful powerful
goal goal
that that
we we
' '
re re
really really
shooting shoot
for for
in in
the the
company company
. .
Two two
other other
things thing
that that
I i
learned learn
that that
were be
very very
surprising surprising
to to
me me
— -
one one
was be
how how
casual casual
we we
are be
about about
energy energy
. .
I i
was be
walking walk
from from
the the
elevator elevator
over over
here here
, ,
and and
even even
just just
looking look
at at
the the
stage stage
right right
now now
— -
so so
there there
' '
s s
probably probably
20 @card@
, ,
500-watt 500-watt
lights light
right right
now now
. .
There there
' '
s s
10 @card@
, ,
000 @card@
watts watt
of of
light light
pouring pour
on on
the the
stage stage
, ,
one one
horsepower horsepower
is be
746 @card@
watts watt
, ,
at at
full full
power power
. .
So so
there there
' '
s s
basically basically
15 @card@
horses horse
running run
at at
full full
speed speed
just just
to to
keep keep
the the
stage stage
lit light
. .
Not not
to to
mention mention
the the
200 @card@
horses horse
that that
are be
probably probably
running run
right right
now now
to to
keep keep
the the
air-conditioning air-conditioning
going go
. .
And and
it it
' '
s s
just just
amazing amazing
, ,
walk walk
in in
the the
elevator elevator
, ,
and and
there there
' '
s s
lights light
on on
in in
the the
elevator elevator
. .
Of of
course course
, ,
now now
I i
' '
m m
very very
sensitive sensitive
at at
home home
when when
we we
leave leave
the the
lights light
on on
by by
mistake mistake
. .
But but
, ,
everywhere everywhere
around around
us us
we we
have have
insatiable insatiable
use use
for for
energy energy
because because
it it
' '
s s
so so
cheap cheap
. .
And and
it it
' '
s s
cheap cheap
because because
we we
' '
ve ve
been be
subsidized subsidize
by by
energy energy
that that
' '
s s
been be
concentrated concentrate
by by
the the
sun sun
. .
Basically basically
, ,
oil oil
is be
solar-energy solar-energy
concentrate concentrate
. .
It it
' '
s s
been be
pounded pound
for for
a a
billion billion
years year
with with
a a
lot lot
of of
energy energy
to to
make make
it it
have have
all all
that that
energy energy
contained contain
in in
it it
. .
And and
we we
don don
' '
t t
have have
a a
birthright birthright
to to
just just
use use
that that
up up
as as
fast fast
as as
we we
are be
, ,
I i
think think
. .
And and
it it
would would
be be
great great
if if
we we
could could
make make
our our
energy energy
usage usage
renewable renewable
, ,
where where
as as
we we
' '
re re
using use
the the
energy energy
, ,
we we
' '
re re
creating create
it it
at at
the the
same same
pace pace
, ,
and and
I i
really really
hope hope
we we
can can
get get
there there
. .
Thank thank
you you
very very
much much
, ,
you you
' '
ve ve
been be
a a
great great
audience audience
. .
