Take	VB	take
blankets	NNS	blanket
write	VBP	write
,	,	,
on	IN	on
a	DT	a
tag	NN	tag
,	,	,
the	DT	the
significance	NN	significance
of	IN	of
the	DT	the
blanket	NN	blanket
to	TO	to
the	DT	the
family	NN	family
.	SENT	.
Some	DT	some
of	IN	of
the	DT	the
blankets	NNS	blanket
had	VBD	have
been	VBN	be
used	VBN	use
for	IN	for
baby	NN	baby
blankets	NNS	blanket
,	,	,
some	DT	some
of	IN	of
them	PP	them
had	VBD	have
been	VBN	be
used	VBN	use
as	IN	as
picnic	NN	picnic
blankets	NNS	blanket
,	,	,
some	DT	some
of	IN	of
them	PP	them
had	VBD	have
been	VBN	be
used	VBN	use
for	IN	for
the	DT	the
dog	NN	dog
.	SENT	.
We	PP	we
all	RB	all
have	VBP	have
blankets	NNS	blanket
in	IN	in
our	PP$	our
homes	NNS	home
and	CC	and
understand	VB	understand
the	DT	the
significance	NN	significance
that	IN	that
they	PP	they
play	VBP	play
.	SENT	.
But	CC	but
similarly	RB	similarly
,	,	,
I	PP	I
instruct	VBP	instruct
new	JJ	new
doctors	NNS	doctor
:	:	:
when	WRB	when
they	PP	they
walk	VBP	walk
into	IN	into
a	DT	a
patient	NN	patient
'	POS	'
s	NN	S
room	NN	room
,	,	,
before	IN	before
they	PP	they
pick	VBP	pick
up	RP	up
that	DT	that
medical	JJ	medical
chart	NN	chart
,	,	,
just	RB	just
look	VB	look
around	RP	around
the	DT	the
room	NN	room
.	SENT	.
Are	VBP	be
there	RB	there
balloons	NNS	balloon
or	CC	or
cards	NNS	card
,	,	,
or	CC	or
that	DT	that
special	JJ	special
blanket	NN	blanket
on	IN	on
the	DT	the
bed	NN	bed
?	SENT	?
That	DT	that
tells	VBZ	tell
the	DT	the
doctor	NN	doctor
there	RB	there
'	POS	'
s	NNS	<unknown>
a	DT	a
connection	NN	connection
to	TO	to
the	DT	the
outside	JJ	outside
world	NN	world
.	SENT	.
If	IN	if
that	DT	that
patient	NN	patient
has	VBZ	have
someone	NN	someone
in	IN	in
the	DT	the
outside	JJ	outside
world	NN	world
to	TO	to
assist	VB	assist
them	PP	them
and	CC	and
help	VB	help
them	PP	them
,	,	,
the	DT	the
doctor	NN	doctor
can	MD	can
implement	VB	implement
the	DT	the
best	JJS	good
care	NN	care
with	IN	with
that	DT	that
connection	NN	connection
in	IN	in
mind	NN	mind
.	SENT	.
In	IN	in
medicine	NN	medicine
,	,	,
people	NNS	people
are	VBP	be
connected	VBN	connect
as	IN	as
humans	NNS	human
before	IN	before
they	PP	they
'	POS	'
re	NN	re
identified	VBN	identify
as	IN	as
doctor	NN	doctor
and	CC	and
patient	NN	patient
.	SENT	.
But	CC	but
this	DT	this
method	NN	method
of	IN	of
enhancing	VBG	enhance
perception	NN	perception
—	:	-
it	PP	it
need	MD	need
not	RB	not
be	VB	be
disruptive	JJ	disruptive
,	,	,
and	CC	and
it	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
necessitate	VB	necessitate
an	DT	an
overhaul	NN	overhaul
in	IN	in
looking	VBG	look
.	SENT	.
Like	IN	like
Jorge	NP	Jorge
M��ndez	NP	<unknown>
Blake	NP	Blake
'	POS	'
s	JJ	<unknown>
sculpture	NN	sculpture
of	IN	of
building	VBG	build
a	DT	a
brick	NN	brick
wall	NN	wall
above	IN	above
Kafka	NP	Kafka
'	POS	'
s	NN	S
book	NN	book
"	``	"
El	NP	El
Castillo	NP	Castillo
"	``	"
shows	VBZ	show
that	IN	that
more	JJR	more
astute	JJ	astute
observation	NN	observation
can	MD	can
be	VB	be
subtle	JJ	subtle
and	CC	and
yet	RB	yet
invaluable	JJ	invaluable
.	SENT	.
You	PP	you
can	MD	can
discern	VB	discern
the	DT	the
book	NN	book
,	,	,
and	CC	and
you	PP	you
can	MD	can
see	VB	see
how	WRB	how
it	PP	it
disrupted	VBD	disrupt
the	DT	the
symmetry	NN	symmetry
of	IN	of
the	DT	the
bricks	NNS	brick
directly	RB	directly
above	IN	above
it	PP	it
,	,	,
but	CC	but
by	IN	by
the	DT	the
time	NN	time
you	PP	you
get	VBP	get
to	TO	to
the	DT	the
end	NN	end
of	IN	of
the	DT	the
sculpture	NN	sculpture
,	,	,
you	PP	you
can	MD	can
no	RB	no
longer	RBR	longer
see	VB	see
the	DT	the
book	NN	book
.	SENT	.
But	CC	but
looking	VBG	look
at	IN	at
the	DT	the
work	NN	work
of	IN	of
art	NN	art
in	IN	in
its	PP$	its
entirety	NN	entirety
,	,	,
you	PP	you
see	VBP	see
that	IN	that
the	DT	the
impact	NN	impact
of	IN	of
the	DT	the
work	NN	work
'	POS	'
s	JJ	<unknown>
disruption	NN	disruption
on	IN	on
the	DT	the
bricks	NNS	brick
is	VBZ	be
nuanced	JJ	nuanced
and	CC	and
unmistakable	JJ	unmistakable
.	SENT	.
One	PP	one
thought	VBD	think
,	,	,
one	CD	one
idea	NN	idea
,	,	,
one	CD	one
innovation	NN	innovation
can	MD	can
alter	VB	alter
an	DT	an
approach	NN	approach
,	,	,
change	VB	change
a	DT	a
process	NN	process
and	CC	and
even	RB	even
save	VB	save
lives	NNS	life
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
teaching	VBG	teach
visual	JJ	visual
intelligence	NN	intelligence
for	IN	for
over	RB	over
15	CD	@card@
years	NNS	year
,	,	,
and	CC	and
to	TO	to
my	PP$	my
great	JJ	great
amazement	NN	amazement
and	CC	and
astonishment	NN	astonishment
—	:	-
to	TO	to
my	PP$	my
never-ending	VBG	never-end
astonishment	NN	astonishment
and	CC	and
amazement	NN	amazement
,	,	,
I	PP	I
have	VBP	have
seen	VBN	see
that	IN	that
looking	VBG	look
at	IN	at
art	NN	art
with	IN	with
a	DT	a
critical	JJ	critical
eye	NN	eye
can	MD	can
help	VB	help
to	TO	to
anchor	VB	anchor
us	PP	us
in	IN	in
our	PP$	our
world	NN	world
of	IN	of
uncharted	JJ	uncharted
waters	NNS	water
,	,	,
whether	IN	whether
you	PP	you
are	VBP	be
a	DT	a
paramilitary	JJ	paramilitary
trooper	NN	trooper
,	,	,
a	DT	a
caregiver	NN	caregiver
,	,	,
a	DT	a
doctor	NN	doctor
or	CC	or
a	DT	a
mother	NN	mother
.	SENT	.
Because	IN	because
let	NN	let
'	POS	'
s	NNS	<unknown>
face	VBP	face
it	PP	it
,	,	,
things	NNS	thing
go	VBP	go
wrong	JJ	wrong
.	SENT	.
Things	NNS	thing
go	VBP	go
wrong	JJ	wrong
.	SENT	.
And	CC	and
don	NN	don
'	POS	'
t	NN	t
misunderstand	VB	misunderstand
me	PP	me
,	,	,
I	PP	I
'	POS	'
d	NN	d
eat	VB	eat
that	DT	that
doughnut	NN	doughnut
in	IN	in
a	DT	a
minute	NN	minute
.	SENT	.
But	CC	but
we	PP	we
need	VBP	need
to	TO	to
understand	VB	understand
the	DT	the
consequences	NNS	consequence
of	IN	of
what	WP	what
it	PP	it
is	VBZ	be
that	IN	that
we	PP	we
observe	VBP	observe
,	,	,
and	CC	and
we	PP	we
need	VBP	need
to	TO	to
convert	VB	convert
observable	JJ	observable
details	NNS	detail
into	IN	into
actionable	JJ	actionable
knowledge	NN	knowledge
.	SENT	.
Like	IN	like
Jennifer	NP	Jennifer
Odem	NP	Odem
'	POS	'
s	JJ	<unknown>
sculpture	NN	sculpture
of	IN	of
tables	NNS	table
standing	VBG	stand
sentinel	NN	sentinel
on	IN	on
the	DT	the
banks	NNS	bank
of	IN	of
the	DT	the
Mississippi	NP	Mississippi
River	NP	River
in	IN	in
New	NP	New
Orleans	NP	Orleans
,	,	,
guarding	VBG	guard
against	IN	against
the	DT	the
threat	NN	threat
of	IN	of
post-Katrina	NN	<unknown>
floodwaters	NNS	floodwater
and	CC	and
rising	VBG	rise
up	RP	up
against	IN	against
adversity	NN	adversity
,	,	,
we	PP	we
too	RB	too
have	VBP	have
the	DT	the
ability	NN	ability
to	TO	to
act	VB	act
affirmatively	RB	affirmatively
and	CC	and
affect	VB	affect
positive	JJ	positive
change	NN	change
.	SENT	.
I	PP	I
have	VBP	have
been	VBN	be
mining	VBG	mine
the	DT	the
world	NN	world
of	IN	of
art	NN	art
to	TO	to
help	VB	help
people	NNS	people
across	IN	across
the	DT	the
professional	JJ	professional
spectrum	NN	spectrum
to	TO	to
see	VB	see
the	DT	the
extraordinary	JJ	extraordinary
in	IN	in
the	DT	the
everyday	JJ	everyday
,	,	,
to	TO	to
articulate	VB	articulate
what	WP	what
is	VBZ	be
absent	JJ	absent
and	CC	and
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
inspire	VB	inspire
creativity	NN	creativity
and	CC	and
innovation	NN	innovation
,	,	,
no	DT	no
matter	NN	matter
how	WRB	how
small	JJ	small
.	SENT	.
And	CC	and
most	RBS	most
importantly	RB	importantly
,	,	,
to	TO	to
forge	VB	forge
human	JJ	human
connections	NNS	connection
where	WRB	where
they	PP	they
may	MD	may
not	RB	not
be	VB	be
apparent	JJ	apparent
,	,	,
empowering	VBG	empower
us	PP	us
all	DT	all
to	TO	to
see	VB	see
our	PP$	our
work	NN	work
and	CC	and
the	DT	the
world	NN	world
writ	NN	writ
large	JJ	large
with	IN	with
a	DT	a
new	JJ	new
set	NN	set
of	IN	of
eyes	NNS	eye
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
