Wow	NN	wow
t	NN	t
fight	NN	fight
with	IN	with
the	DT	the
big	JJ	big
lads	NNS	lad
.	SENT	.
They	PP	they
had	VBD	have
much	RB	much
more	JJR	more
resources	NNS	resource
than	IN	than
me	PP	me
.	SENT	.
So	RB	so
I	PP	I
decided	VBD	decide
I	PP	I
would	MD	would
need	VB	need
to	TO	to
find	VB	find
a	DT	a
solution	NN	solution
that	WDT	that
is	VBZ	be
cheaper	JJR	cheap
and	CC	and
faster	JJR	fast
.	SENT	.
Now	RB	now
magnetic	JJ	magnetic
and	CC	and
laser	NN	laser
fusion	NN	fusion
are	VBP	be
pretty	RB	pretty
good	JJ	good
machines	NNS	machine
.	SENT	.
They	PP	they
are	VBP	be
awesome	JJ	awesome
pieces	NNS	piece
of	IN	of
technology	NN	technology
,	,	,
wonderful	JJ	wonderful
machines	NNS	machine
,	,	,
and	CC	and
they	PP	they
have	VBP	have
shown	VBN	show
that	IN	that
fusion	NN	fusion
can	MD	can
be	VB	be
done	VBN	do
.	SENT	.
However	RB	however
,	,	,
as	IN	as
a	DT	a
power	NN	power
plant	NN	plant
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
they	PP	they
'	''	'
re	IN	re
very	RB	very
good	JJ	good
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
way	NN	way
too	RB	too
big	JJ	big
,	,	,
way	RB	way
too	RB	too
complicated	VBN	complicate
,	,	,
way	RB	way
too	RB	too
expensive	JJ	expensive
,	,	,
and	CC	and
also	RB	also
,	,	,
they	PP	they
don	VBP	don
'	''	'
t	NN	t
deal	NN	deal
very	RB	very
much	RB	much
with	IN	with
the	DT	the
fusion	NN	fusion
energy	NN	energy
.	SENT	.
When	WRB	when
you	PP	you
make	VBP	make
fusion	NN	fusion
,	,	,
the	DT	the
energy	NN	energy
comes	VBZ	come
out	RP	out
as	IN	as
neutrons	NNS	neutron
,	,	,
fast	JJ	fast
neutrons	NNS	neutron
comes	VBZ	come
out	RP	out
of	IN	of
the	DT	the
plasma	NN	plasma
.	SENT	.
Those	DT	those
neutrons	NNS	neutron
hit	VBD	hit
the	DT	the
wall	NN	wall
of	IN	of
the	DT	the
machine	NN	machine
.	SENT	.
It	PP	it
damages	VBZ	damage
it	PP	it
.	SENT	.
And	CC	and
also	RB	also
,	,	,
you	PP	you
have	VBP	have
to	TO	to
catch	VB	catch
the	DT	the
heat	NN	heat
from	IN	from
those	DT	those
neutrons	NNS	neutron
and	CC	and
run	VB	run
some	DT	some
steam	NN	steam
to	TO	to
spin	VB	spin
a	DT	a
turbine	NN	turbine
somewhere	RB	somewhere
,	,	,
and	CC	and
on	IN	on
those	DT	those
machines	NNS	machine
,	,	,
it	PP	it
was	VBD	be
all	RB	all
a	DT	a
bit	NN	bit
of	IN	of
an	DT	an
afterthought	NN	afterthought
.	SENT	.
So	RB	so
I	PP	I
decided	VBD	decide
that	IN	that
surely	RB	surely
there	EX	there
is	VBZ	be
a	DT	a
better	JJR	good
way	NN	way
of	IN	of
doing	VBG	do
that	DT	that
.	SENT	.
So	RB	so
back	RB	back
to	TO	to
the	DT	the
literature	NN	literature
,	,	,
and	CC	and
I	PP	I
read	VBP	read
about	IN	about
the	DT	the
fusion	NN	fusion
everywhere	RB	everywhere
.	SENT	.
One	CD	one
way	NN	way
in	IN	in
particular	JJ	particular
attracted	VBN	attract
my	PP$	my
attention	NN	attention
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
called	VBD	call
magnetized	VBN	magnetize
target	NN	target
fusion	NN	fusion
,	,	,
or	CC	or
MTF	NP	MTF
for	IN	for
short	JJ	short
.	SENT	.
Now	RB	now
,	,	,
in	IN	in
MTF	NP	MTF
,	,	,
what	WP	what
you	PP	you
want	VBP	want
to	TO	to
do	VB	do
is	VBZ	be
you	PP	you
take	VBP	take
a	DT	a
big	JJ	big
vat	NN	vat
and	CC	and
you	PP	you
fill	VBP	fill
that	IN	that
with	IN	with
liquid	JJ	liquid
metal	NN	metal
,	,	,
and	CC	and
you	PP	you
spin	VB	spin
the	DT	the
liquid	JJ	liquid
metal	NN	metal
to	TO	to
open	VB	open
a	DT	a
vortex	NN	vortex
in	IN	in
the	DT	the
center	NN	center
,	,	,
a	DT	a
bit	NN	bit
like	IN	like
your	PP$	your
sink	NN	sink
.	SENT	.
When	WRB	when
you	PP	you
pull	VBP	pull
the	DT	the
plug	NN	plug
on	IN	on
a	DT	a
sink	NN	sink
,	,	,
it	PP	it
makes	VBZ	make
a	DT	a
vortex	NN	vortex
.	SENT	.
And	CC	and
then	RB	then
you	PP	you
have	VBP	have
some	DT	some
pistons	NNS	piston
driven	VBN	drive
by	IN	by
pressure	NN	pressure
that	WDT	that
goes	VBZ	go
on	IN	on
the	DT	the
outside	NN	outside
,	,	,
and	CC	and
this	DT	this
compresses	VBZ	compress
the	DT	the
liquid	JJ	liquid
metal	NN	metal
around	IN	around
the	DT	the
plasma	NN	plasma
,	,	,
and	CC	and
it	PP	it
compresses	VBZ	compress
it	PP	it
,	,	,
it	PP	it
gets	VBZ	get
hotter	JJR	hot
,	,	,
like	IN	like
a	DT	a
laser	NN	laser
,	,	,
and	CC	and
then	RB	then
it	PP	it
makes	VBZ	make
fusion	NN	fusion
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
mix	NN	mix
between	IN	between
a	DT	a
magnetized	VBN	magnetize
fusion	NN	fusion
and	CC	and
the	DT	the
laser	NN	laser
fusion	NN	fusion
.	SENT	.
So	RB	so
those	DT	those
have	VBP	have
a	DT	a
couple	NN	couple
of	IN	of
very	RB	very
good	JJ	good
advantages	NNS	advantage
.	SENT	.
The	DT	the
liquid	JJ	liquid
metal	NN	metal
absorbs	VBZ	absorb
all	PDT	all
the	DT	the
neutrons	NNS	neutron
and	CC	and
no	DT	no
neutrons	NNS	neutron
hit	VBD	hit
the	DT	the
wall	NN	wall
,	,	,
and	CC	and
therefore	RB	therefore
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
damage	NN	damage
to	TO	to
the	DT	the
machine	NN	machine
.	SENT	.
The	DT	the
liquid	JJ	liquid
metal	NN	metal
gets	VBZ	get
hot	JJ	hot
,	,	,
so	RB	so
you	PP	you
can	MD	can
pump	VB	pump
that	IN	that
in	IN	in
a	DT	a
heat	NN	heat
exchanger	NN	exchanger
,	,	,
make	VBP	make
some	DT	some
steam	NN	steam
,	,	,
spin	VB	spin
a	DT	a
turbine	NN	turbine
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	VBG	<unknown>
a	DT	a
very	RB	very
convenient	JJ	convenient
way	NN	way
of	IN	of
doing	VBG	do
this	DT	this
part	NN	part
of	IN	of
the	DT	the
process	NN	process
.	SENT	.
And	CC	and
finally	RB	finally
,	,	,
all	PDT	all
the	DT	the
energy	NN	energy
to	TO	to
make	VB	make
the	DT	the
fusion	NN	fusion
happen	RB	happen
comes	VBZ	come
from	IN	from
steam-powered	JJ	steam-powered
pistons	NNS	piston
,	,	,
which	WDT	which
is	VBZ	be
way	RB	way
cheaper	JJR	cheap
than	IN	than
lasers	NNS	laser
or	CC	or
superconducting	JJ	superconducting
coils	NNS	coil
.	SENT	.
Now	RB	now
,	,	,
this	DT	this
was	VBD	be
all	DT	all
very	RB	very
good	JJ	good
except	IN	except
for	IN	for
the	DT	the
problem	NN	problem
that	IN	that
it	PP	it
didn	NNS	<unknown>
'	POS	'
t	NN	t
quite	RB	quite
work	VB	work
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
always	RB	always
a	DT	a
catch	NN	catch
.	SENT	.
So	RB	so
when	WRB	when
you	PP	you
compress	VBP	compress
that	IN	that
,	,	,
the	DT	the
plasma	NN	plasma
cools	VBZ	cool
down	RB	down
faster	RBR	faster
than	IN	than
the	DT	the
compression	NN	compression
speed	NN	speed
,	,	,
so	IN	so
you	PP	you
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
compress	VB	compress
it	PP	it
,	,	,
but	CC	but
the	DT	the
plasma	NN	plasma
cooled	VBN	cool
down	RP	down
and	CC	and
cooled	VBD	cool
down	RB	down
and	CC	and
cooled	VBN	cool
down	RB	down
and	CC	and
then	RB	then
it	PP	it
did	VBD	do
absolutely	RB	absolutely
nothing	NN	nothing
.	SENT	.
So	RB	so
when	WRB	when
I	PP	I
saw	VBD	see
that	IN	that
,	,	,
I	PP	I
said	VBD	say
,	,	,
well	RB	well
,	,	,
this	DT	this
is	VBZ	be
such	PDT	such
a	DT	a
shame	NN	shame
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NN	S
a	DT	a
very	JJ	very
,	,	,
very	RB	very
good	JJ	good
idea	NN	idea
.	SENT	.
So	RB	so
hopefully	RB	hopefully
I	PP	I
can	MD	can
improve	VB	improve
on	IN	on
that	DT	that
.	SENT	.
So	RB	so
I	PP	I
thought	VBD	think
about	IN	about
it	PP	it
for	IN	for
a	DT	a
minute	NN	minute
,	,	,
and	CC	and
I	PP	I
said	VBD	say
,	,	,
okay	RB	okay
,	,	,
how	WRB	how
can	MD	can
we	PP	we
make	VB	make
that	DT	that
work	NN	work
better	RBR	well
?	SENT	?
So	RB	so
then	RB	then
I	PP	I
thought	VBD	think
about	IN	about
impact	NN	impact
.	SENT	.
What	WP	what
about	RB	about
if	IN	if
we	PP	we
use	VBP	use
a	DT	a
big	JJ	big
hammer	NN	hammer
and	CC	and
we	PP	we
swing	VBP	swing
it	PP	it
and	CC	and
we	PP	we
hit	VBD	hit
the	DT	the
nail	NN	nail
like	IN	like
this	DT	this
,	,	,
in	IN	in
the	DT	the
place	NN	place
of	IN	of
putting	VBG	put
the	DT	the
hammer	NN	hammer
on	IN	on
the	DT	the
nail	NN	nail
and	CC	and
pushing	VBG	push
and	CC	and
try	VB	try
to	TO	to
put	VB	put
it	PP	it
in	RP	in
?	SENT	?
That	DT	that
won	NN	won
'	POS	'
t	NN	t
work	NN	work
.	SENT	.
So	RB	so
what	WP	what
the	DT	the
idea	NN	idea
is	VBZ	be
is	VBZ	be
to	TO	to
use	VB	use
the	DT	the
idea	NN	idea
of	IN	of
an	DT	an
impact	NN	impact
.	SENT	.
So	RB	so
we	PP	we
accelerate	VBP	accelerate
the	DT	the
pistons	NNS	piston
with	IN	with
steam	NN	steam
,	,	,
that	WDT	that
takes	VBZ	take
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
time	NN	time
,	,	,
but	CC	but
then	RB	then
,	,	,
bang	NN	bang
!	SENT	!
you	PP	you
hit	VBD	hit
the	DT	the
piston	NN	piston
,	,	,
and	CC	and
,	,	,
baff	NN	<unknown>
!	SENT	!
,	,	,
all	RB	all
the	DT	the
energy	NN	energy
is	VBZ	be
done	VBN	do
instantly	RB	instantly
,	,	,
down	RB	down
instantly	RB	instantly
to	TO	to
the	DT	the
liquid	NN	liquid
,	,	,
and	CC	and
that	WDT	that
compresses	VBZ	compress
the	DT	the
plasma	NN	plasma
much	RB	much
faster	RBR	faster
.	SENT	.
So	RB	so
I	PP	I
decided	VBD	decide
,	,	,
okay	RB	okay
,	,	,
this	DT	this
is	VBZ	be
good	JJ	good
,	,	,
let	VBN	let
'	POS	'
s	NNS	<unknown>
make	VBP	make
that	DT	that
.	SENT	.
So	RB	so
we	PP	we
built	VBD	build
this	DT	this
machine	NN	machine
in	IN	in
this	DT	this
garage	NN	garage
here	RB	here
.	SENT	.
We	PP	we
made	VBD	make
a	DT	a
small	JJ	small
machine	NN	machine
that	IN	that
we	PP	we
managed	VBD	manage
to	TO	to
squeeze	VB	squeeze
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
neutrons	NNS	neutron
out	IN	out
of	IN	of
that	DT	that
,	,	,
and	CC	and
those	DT	those
are	VBP	be
my	PP$	my
marketing	NN	marketing
neutrons	NNS	neutron
,	,	,
and	CC	and
with	IN	with
those	DT	those
marketing	NN	marketing
neutrons	NNS	neutron
,	,	,
then	RB	then
I	PP	I
raised	VBD	raise
about	RB	about
50	CD	@card@
million	CD	million
dollars	NNS	dollar
,	,	,
and	CC	and
I	PP	I
hired	VBD	hire
65	CD	@card@
people	NNS	people
.	SENT	.
That	IN	that
'	''	'
s	VBG	<unknown>
my	PP$	my
team	NN	team
here	RB	here
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
what	WP	what
we	PP	we
want	VBP	want
to	TO	to
build	VB	build
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
big	JJ	big
machine	NN	machine
,	,	,
about	RB	about
three	CD	three
meters	NNS	meter
in	IN	in
diameter	NN	diameter
,	,	,
liquid	JJ	liquid
lead	NN	lead
spinning	VBG	spin
around	RP	around
,	,	,
big	JJ	big
vortex	NN	vortex
in	IN	in
the	DT	the
center	NN	center
,	,	,
put	VBD	put
the	DT	the
plasma	NN	plasma
on	IN	on
the	DT	the
top	NN	top
and	CC	and
on	IN	on
the	DT	the
bottom	NN	bottom
,	,	,
piston	NN	piston
hits	NNS	hit
on	IN	on
the	DT	the
side	NN	side
,	,	,
bang	NN	bang
!	SENT	!
,	,	,
it	PP	it
compresses	VBZ	compress
it	PP	it
,	,	,
and	CC	and
it	PP	it
will	MD	will
make	VB	make
some	DT	some
energy	NN	energy
,	,	,
and	CC	and
the	DT	the
neutron	NN	neutron
will	MD	will
come	VB	come
out	RP	out
in	IN	in
the	DT	the
liquid	JJ	liquid
metal	NN	metal
,	,	,
going	VBG	go
to	TO	to
go	VB	go
in	IN	in
a	DT	a
steam	NN	steam
engine	NN	engine
and	CC	and
make	VB	make
the	DT	the
turbine	NN	turbine
,	,	,
and	CC	and
some	DT	some
of	IN	of
the	DT	the
steam	NN	steam
will	MD	will
go	VB	go
back	RB	back
to	TO	to
fire	VB	fire
the	DT	the
piston	NN	piston
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
run	VB	run
that	IN	that
about	RB	about
one	CD	one
time	NN	time
per	IN	per
second	JJ	second
,	,	,
and	CC	and
it	PP	it
will	MD	will
produce	VB	produce
100	CD	@card@
megawatts	NNS	megawatt
of	IN	of
electricity	NN	electricity
.	SENT	.
Okay	RB	okay
,	,	,
we	PP	we
also	RB	also
built	VBD	build
this	DT	this
injector	NN	injector
,	,	,
so	RB	so
this	DT	this
injector	NN	injector
makes	VBZ	make
the	DT	the
plasma	NN	plasma
to	TO	to
start	VB	start
with	IN	with
.	SENT	.
It	PP	it
makes	VBZ	make
the	DT	the
plasma	NN	plasma
at	IN	at
about	RB	about
a	DT	a
lukewarm	JJ	lukewarm
temperature	NN	temperature
of	IN	of
three	CD	three
million	CD	million
degrees	NNS	degree
C	NP	C
.	SENT	.
Unfortunately	RB	unfortunately
,	,	,
it	PP	it
doesn	NNS	<unknown>
'	POS	'
t	NN	t
last	JJ	last
quite	RB	quite
long	RB	long
enough	JJ	enough
,	,	,
so	RB	so
we	PP	we
need	VBP	need
to	TO	to
extend	VB	extend
the	DT	the
life	NN	life
of	IN	of
the	DT	the
plasma	NN	plasma
a	DT	a
little	JJ	little
bit	NN	bit
,	,	,
but	CC	but
last	JJ	last
month	NN	month
it	PP	it
got	VBD	get
a	DT	a
lot	NN	lot
better	RBR	well
,	,	,
so	RB	so
I	PP	I
think	VBP	think
we	PP	we
have	VBP	have
the	DT	the
plasma	NN	plasma
compressing	VBG	compress
now	RB	now
.	SENT	.
Then	RB	then
we	PP	we
built	VBD	build
a	DT	a
small	JJ	small
sphere	NN	sphere
,	,	,
about	IN	about
this	DT	this
big	JJ	big
,	,	,
14	CD	@card@
pistons	NNS	piston
around	IN	around
it	PP	it
,	,	,
and	CC	and
this	DT	this
will	MD	will
compress	VB	compress
the	DT	the
liquid	NN	liquid
.	SENT	.
However	RB	however
,	,	,
plasma	NN	plasma
is	VBZ	be
difficult	JJ	difficult
to	TO	to
compress	VB	compress
.	SENT	.
When	WRB	when
you	PP	you
compress	VBP	compress
it	PP	it
,	,	,
it	PP	it
tends	VBZ	tend
to	TO	to
go	VB	go
a	DT	a
little	JJ	little
bit	NN	bit
crooked	VBN	crook
like	IN	like
that	DT	that
,	,	,
so	RB	so
you	PP	you
need	VBP	need
the	DT	the
timing	NN	timing
of	IN	of
the	DT	the
piston	NN	piston
to	TO	to
be	VB	be
very	RB	very
good	JJ	good
,	,	,
and	CC	and
for	IN	for
that	WDT	that
we	PP	we
use	VBP	use
several	JJ	several
control	NN	control
systems	NNS	system
,	,	,
which	WDT	which
was	VBD	be
not	RB	not
possible	JJ	possible
in	IN	in
1970	CD	@card@
,	,	,
but	CC	but
we	PP	we
now	RB	now
can	MD	can
do	VB	do
that	IN	that
with	IN	with
nice	JJ	nice
,	,	,
new	JJ	new
electronics	NNS	electronics
.	SENT	.
So	RB	so
finally	RB	finally
,	,	,
most	JJS	most
people	NNS	people
think	VBP	think
that	IN	that
fusion	NN	fusion
is	VBZ	be
in	IN	in
the	DT	the
future	NN	future
and	CC	and
will	MD	will
never	RB	never
happen	VB	happen
,	,	,
but	CC	but
as	IN	as
a	DT	a
matter	NN	matter
of	IN	of
fact	NN	fact
,	,	,
fusion	NN	fusion
is	VBZ	be
getting	VBG	get
very	RB	very
close	JJ	close
.	SENT	.
We	PP	we
are	VBP	be
almost	RB	almost
there	RB	there
.	SENT	.
The	DT	the
big	JJ	big
labs	NNS	lab
have	VBP	have
shown	VBN	show
that	IN	that
fusion	NN	fusion
is	VBZ	be
doable	JJ	doable
,	,	,
and	CC	and
now	RB	now
there	EX	there
are	VBP	be
small	JJ	small
companies	NNS	company
that	WDT	that
are	VBP	be
thinking	VBG	think
about	IN	about
that	DT	that
,	,	,
and	CC	and
they	PP	they
say	VBP	say
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
that	IN	that
it	PP	it
cannot	MD	can
be	VB	be
done	VBN	do
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NNS	<unknown>
how	WRB	how
to	TO	to
make	VB	make
it	PP	it
cost-effectively	RB	cost-effectively
.	SENT	.
General	JJ	general
Fusion	NN	fusion
is	VBZ	be
one	CD	one
of	IN	of
those	DT	those
small	JJ	small
companies	NNS	company
,	,	,
and	CC	and
hopefully	RB	hopefully
,	,	,
very	RB	very
soon	RB	soon
,	,	,
somebody	NN	somebody
,	,	,
someone	NN	someone
,	,	,
will	MD	will
crack	VB	crack
that	DT	that
nut	NN	nut
,	,	,
and	CC	and
perhaps	RB	perhaps
it	PP	it
will	MD	will
be	VB	be
General	JJ	general
Fusion	NN	fusion
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
