Lindsay	NP	Lindsay
it	PP	it
'	POS	'
s	NN	S
about	IN	about
external	JJ	external
verification	NN	verification
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
re	NN	re
working	VBG	work
with	IN	with
an	DT	an
external	JJ	external
firm	NN	firm
called	VBD	call
Leading	NP	Leading
Harvest	NP	Harvest
that	WDT	that
'	POS	'
s	NNS	<unknown>
actually	RB	actually
help	VBP	help
us	PP	us
not	RB	not
only	RB	only
just	RB	just
,	,	,
one	CD	one
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
already	RB	already
got	VBD	get
the	DT	the
farmers	NNS	farmer
doing	VBG	do
it	PP	it
,	,	,
but	CC	but
how	WRB	how
do	VBP	do
we	PP	we
verify	VB	verify
it	PP	it
over	IN	over
time	NN	time
,	,	,
how	WRB	how
do	VBP	do
we	PP	we
continue	VBP	continue
to	TO	to
do	VB	do
that	DT	that
?	SENT	?
So	RB	so
we	PP	we
work	VBP	work
through	IN	through
the	DT	the
tomatoes	NNS	tomato
and	CC	and
I	PP	I
think	VBP	think
really	RB	really
good	JJ	good
progress	NN	progress
in	IN	in
that	DT	that
space	NN	space
.	SENT	.
And	CC	and
then	RB	then
when	WRB	when
you	PP	you
go	VBP	go
to	TO	to
dairy	NN	dairy
,	,	,
dairy	NN	dairy
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
toughest	JJS	tough
ones	NNS	one
and	CC	and
we	PP	we
'	POS	'
re	NN	re
quite	RB	quite
proud	JJ	proud
,	,	,
we	PP	we
were	VBD	be
the	DT	the
first	JJ	first
company	NN	company
to	TO	to
join	VB	join
the	DT	the
US	NP	US
Dairy	NN	dairy
Net	NN	net
Zero	NP	Zero
Initiative	NP	Initiative
,	,	,
and	CC	and
we	PP	we
have	VBP	have
live	JJ	live
farms	NNS	farm
working	VBG	work
in	IN	in
California	NP	California
today	NN	today
or	CC	or
around	IN	around
the	DT	the
country	NN	country
today	NN	today
that	WDT	that
are	VBP	be
really	RB	really
focused	VBN	focus
on	IN	on
applying	VBG	apply
these	DT	these
practices	NNS	practice
that	WDT	that
can	MD	can
get	VB	get
to	TO	to
net	VB	net
zero	CD	zero
emission	NN	emission
for	IN	for
a	DT	a
dairy	NN	dairy
farm	NN	farm
and	CC	and
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
is	VBZ	be
it	PP	it
economically	RB	economically
viable	JJ	viable
for	IN	for
the	DT	the
farmer	NN	farmer
?	SENT	?
And	CC	and
we	PP	we
'	POS	'
re	NN	re
really	RB	really
proud	JJ	proud
of	IN	of
the	DT	the
progress	NN	progress
we	PP	we
'	POS	'
re	NN	re
making	VBG	make
with	IN	with
some	DT	some
of	IN	of
our	PP$	our
farming	VBG	farm
partners	NNS	partner
out	RP	out
there	RB	there
.	SENT	.
And	CC	and
then	RB	then
the	DT	the
last	JJ	last
one	CD	one
is	VBZ	be
meat	NN	meat
,	,	,
and	CC	and
we	PP	we
all	RB	all
love	VBP	love
a	DT	a
good	JJ	good
pepperoni	NP	pepperoni
or	CC	or
topping	VBG	top
on	IN	on
the	DT	the
pizza	NN	pizza
.	SENT	.
And	CC	and
when	WRB	when
you	PP	you
go	VBP	go
to	TO	to
meat	NN	meat
,	,	,
we	PP	we
actually	RB	actually
have	VBP	have
the	DT	the
largest	JJS	large
partnership	NN	partnership
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
early	JJ	early
days	NNS	day
,	,	,
we	PP	we
'	POS	'
re	NN	re
just	RB	just
moving	VBG	move
ahead	RB	ahead
with	IN	with
it	PP	it
,	,	,
but	CC	but
the	DT	the
largest	JJS	large
private	JJ	private
partnership	NN	partnership
with	IN	with
Cargill	NP	Cargill
and	CC	and
the	DT	the
National	NP	National
Wildlife	NP	Wildlife
and	CC	and
Fish	NP	Fish
Foundation	NP	Foundation
to	TO	to
actually	RB	actually
have	VB	have
regenerative	JJ	regenerative
ranching	VBG	ranch
practices	NNS	practice
in	IN	in
over	IN	over
15	CD	@card@
states	NNS	state
.	SENT	.
So	RB	so
as	IN	as
you	PP	you
kind	RB	kind
of	IN	of
think	VB	think
through	IN	through
the	DT	the
pizza	NN	pizza
,	,	,
you	PP	you
can	MD	can
see	VB	see
that	IN	that
it	PP	it
touches	VBZ	touch
every	DT	every
single	JJ	single
component	NN	component
,	,	,
and	CC	and
every	DT	every
single	JJ	single
one	CD	one
is	VBZ	be
a	DT	a
different	JJ	different
application	NN	application
and	CC	and
solution	NN	solution
.	SENT	.
LL	NP	LL
:	:	:
So	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
and	CC	and
this	DT	this
is	VBZ	be
difficult	JJ	difficult
.	SENT	.
Where	WRB	where
are	VBP	be
you	PP	you
not	RB	not
moving	VBG	move
fast	RB	fast
enough	RB	enough
yet	RB	yet
?	SENT	?
SP	NP	SP
:	:	:
Where	WRB	where
are	VBP	be
we	PP	we
not	RB	not
moving	VBG	move
fast	RB	fast
enough	RB	enough
?	SENT	?
You	PP	you
know	VBP	know
,	,	,
for	IN	for
us	PP	us
,	,	,
I	PP	I
think	VBP	think
clearly	RB	clearly
,	,	,
when	WRB	when
you	PP	you
go	VBP	go
to	TO	to
try	VB	try
to	TO	to
drive	VB	drive
this	DT	this
kind	NN	kind
of	IN	of
scale	NN	scale
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
about	RB	about
one	CD	one
farm	NN	farm
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
the	DT	the
farming	NN	farming
ecosystem	NN	ecosystem
in	IN	in
total	NN	total
that	WDT	that
has	VBZ	have
to	TO	to
change	VB	change
.	SENT	.
So	RB	so
we	PP	we
need	VBP	need
to	TO	to
move	VB	move
at	IN	at
scale	NN	scale
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
do	VB	do
this	DT	this
across	IN	across
not	RB	not
just	RB	just
our	PP$	our
business	NN	business
,	,	,
but	CC	but
if	IN	if
we	PP	we
'	POS	'
re	NN	re
really	RB	really
going	VBG	go
to	TO	to
move	VB	move
the	DT	the
needle	NN	needle
,	,	,
we	PP	we
have	VBP	have
to	TO	to
do	VB	do
it	PP	it
at	IN	at
industry	NN	industry
level	NN	level
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
think	VBP	think
just	RB	just
the	DT	the
pace	NN	pace
of	IN	of
the	DT	the
change	NN	change
where	WRB	where
we	PP	we
'	POS	'
d	NN	d
love	NN	love
to	TO	to
see	VB	see
that	DT	that
move	NN	move
a	DT	a
little	RB	little
faster	RBR	faster
.	SENT	.
I	PP	I
think	VBP	think
secondly	RB	secondly
maybe	RB	maybe
is	VBZ	be
in	IN	in
packaging	NN	packaging
,	,	,
when	WRB	when
I	PP	I
look	VBP	look
at	IN	at
packaging	NN	packaging
and	CC	and
recyclability	NN	recyclability
,	,	,
we	PP	we
know	VBP	know
the	DT	the
recycling	NN	recycling
infrastructure	NN	infrastructure
is	VBZ	be
woefully	RB	woefully
insufficient	JJ	insufficient
in	IN	in
the	DT	the
US	NP	US
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
why	WRB	why
we	PP	we
'	POS	'
ve	NN	ve
leaned	VBD	lean
in	IN	in
pretty	RB	pretty
aggressively	RB	aggressively
.	SENT	.
We	PP	we
'	POS	'
ve	NNS	<unknown>
invested	VBN	invest
with	IN	with
partners	NNS	partner
like	IN	like
Closed	NP	Closed
Loop	NP	Loop
to	TO	to
support	VB	support
infrastructure	NN	infrastructure
,	,	,
and	CC	and
also	RB	also
we	PP	we
support	VBP	support
kind	NN	kind
of	IN	of
responsible	JJ	responsible
extended	JJ	extended
producer	NN	producer
responsibility	NN	responsibility
to	TO	to
actually	RB	actually
help	VB	help
build	VB	build
that	IN	that
because	IN	because
we	PP	we
know	VBP	know
that	IN	that
we	PP	we
can	MD	can
'	''	'
t	NN	t
make	VB	make
all	PDT	all
the	DT	the
recyclable	JJ	recyclable
products	NNS	product
we	PP	we
want	VBP	want
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
infrastructure	NN	infrastructure
to	TO	to
do	VB	do
it	PP	it
.	SENT	.
So	RB	so
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
,	,	,
it	PP	it
doesn	NNS	<unknown>
'	POS	'
t	NN	t
get	VB	get
done	VBN	do
.	SENT	.
And	CC	and
so	IN	so
I	PP	I
'	POS	'
d	NN	d
say	VBP	say
that	DT	that
'	''	'
s	VBG	<unknown>
an	DT	an
area	NN	area
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
really	RB	really
focused	VBN	focus
.	SENT	.
And	CC	and
just	RB	just
lastly	RB	lastly
,	,	,
I	PP	I
think	VBP	think
the	DT	the
tempo	NN	tempo
and	CC	and
urgency	NN	urgency
across	IN	across
the	DT	the
entire	JJ	entire
industry	NN	industry
complex	NN	complex
is	VBZ	be
one	CD	one
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
pick	VB	pick
up	RP	up
the	DT	the
pace	NN	pace
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
move	VB	move
much	RB	much
,	,	,
much	RB	much
faster	RBR	faster
,	,	,
not	RB	not
just	RB	just
to	TO	to
achieve	VB	achieve
our	PP$	our
goals	NNS	goal
,	,	,
but	CC	but
to	TO	to
make	VB	make
the	DT	the
kind	NN	kind
of	IN	of
difference	NN	difference
we	PP	we
want	VBP	want
to	TO	to
make	VB	make
.	SENT	.
LL	NP	LL
:	:	:
So	RB	so
just	RB	just
to	TO	to
close	VB	close
,	,	,
Steve	NP	Steve
,	,	,
what	WP	what
can	MD	can
and	CC	and
should	MD	should
we	PP	we
expect	VB	expect
from	IN	from
you	PP	you
all	RB	all
?	SENT	?
SP	NP	SP
:	:	:
Look	VBP	look
,	,	,
I	PP	I
think	VBP	think
you	PP	you
'	''	'
ll	NNS	<unknown>
continue	VBP	continue
to	TO	to
see	VB	see
incredible	JJ	incredible
commitment	NN	commitment
.	SENT	.
By	IN	by
2025	CD	@card@
,	,	,
we	PP	we
will	MD	will
have	VB	have
invested	VBN	invest
3	CD	@card@
.	SENT	.
6	CD	@card@
billion	NN	billion
dollars	NNS	dollar
in	IN	in
these	DT	these
practices	NNS	practice
across	IN	across
the	DT	the
world	NN	world
for	IN	for
Nestlé	NP	<unknown>
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
an	DT	an
incredible	JJ	incredible
investment	NN	investment
but	CC	but
we	PP	we
believe	VBP	believe
it	PP	it
'	''	'
s	VBG	<unknown>
the	DT	the
right	JJ	right
investment	NN	investment
,	,	,
because	IN	because
ultimately	RB	ultimately
,	,	,
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
our	PP$	our
business	NN	business
,	,	,
we	PP	we
'	POS	'
re	NN	re
a	DT	a
food	NN	food
and	CC	and
beverage	NN	beverage
business	NN	business
that	IN	that
we	PP	we
make	VBP	make
products	NNS	product
for	IN	for
you	PP	you
and	CC	and
your	PP$	your
families	NNS	family
and	CC	and
your	PP$	your
pets	NNS	pet
to	TO	to
enjoy	VB	enjoy
every	DT	every
single	JJ	single
day	NN	day
.	SENT	.
And	CC	and
those	DT	those
start	NN	start
with	IN	with
great	JJ	great
ingredients	NNS	ingredient
.	SENT	.
And	CC	and
that	DT	that
investment	NN	investment
for	IN	for
us	PP	us
is	VBZ	be
actually	RB	actually
about	IN	about
a	DT	a
business	NN	business
decision	NN	decision
that	WDT	that
,	,	,
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
around	RB	around
for	IN	for
over	IN	over
150	CD	@card@
years	NNS	year
,	,	,
if	IN	if
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
be	VB	be
around	RB	around
for	IN	for
the	DT	the
next	JJ	next
150	CD	@card@
,	,	,
we	PP	we
need	VBP	need
to	TO	to
make	VB	make
sure	JJ	sure
we	PP	we
have	VBP	have
great	JJ	great
quality	NN	quality
ingredients	NNS	ingredient
for	IN	for
that	DT	that
period	NN	period
.	SENT	.
And	CC	and
so	RB	so
that	DT	that
investment	NN	investment
actually	RB	actually
helps	VBZ	help
us	PP	us
ensure	VB	ensure
that	DT	that
.	SENT	.
So	RB	so
what	WP	what
you	PP	you
can	MD	can
count	VB	count
on	IN	on
is	VBZ	be
we	PP	we
'	POS	'
ll	NNS	<unknown>
continue	VBP	continue
to	TO	to
drive	VB	drive
that	IN	that
across	IN	across
all	DT	all
of	IN	of
our	PP$	our
complexes	NNS	complex
.	SENT	.
But	CC	but
most	RBS	most
importantly	RB	importantly
,	,	,
what	WP	what
I	PP	I
'	POS	'
m	NN	m
proud	JJ	proud
of	IN	of
,	,	,
is	VBZ	be
you	PP	you
can	MD	can
count	VB	count
on	IN	on
the	DT	the
company	NN	company
and	CC	and
all	PDT	all
the	DT	the
people	NNS	people
that	WDT	that
work	VBP	work
in	IN	in
it	PP	it
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
30	CD	@card@
,	,	,
000	CD	@card@
in	IN	in
North	NP	North
America	NP	America
and	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
almost	RB	almost
300	CD	@card@
,	,	,
000	CD	@card@
worldwide	RB	worldwide
that	WDT	that
are	VBP	be
absolutely	RB	absolutely
committed	VBN	commit
to	TO	to
making	VBG	make
progress	NN	progress
every	DT	every
single	JJ	single
day	NN	day
against	IN	against
one	CD	one
of	IN	of
those	DT	those
commitments	NNS	commitment
.	SENT	.
SP	NP	SP
:	:	:
Steve	NP	Steve
,	,	,
thank	VBP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
joining	VBG	join
us	PP	us
.	SENT	.
SP	NP	SP
:	:	:
Thanks	NNS	thanks
for	IN	for
having	VBG	have
me	PP	me
.	SENT	.
