First	RB	first
elements	NNS	element
.	SENT	.
So	RB	so
at	IN	at
those	DT	those
deep	JJ	deep
oceanic	JJ	oceanic
vents	NNS	vent
,	,	,
fantastic	JJ	fantastic
chemistry	NN	chemistry
began	VBD	begin
to	TO	to
happen	VB	happen
,	,	,
and	CC	and
atoms	NNS	atom
combined	VBN	combine
in	IN	in
all	DT	all
sorts	NNS	sort
of	IN	of
exotic	JJ	exotic
combinations	NNS	combination
.	SENT	.
But	CC	but
of	IN	of
course	NN	course
,	,	,
life	NN	life
is	VBZ	be
more	JJR	more
than	IN	than
just	RB	just
exotic	JJ	exotic
chemistry	NN	chemistry
.	SENT	.
How	WRB	how
do	VBP	do
you	PP	you
stabilize	VB	stabilize
those	DT	those
huge	JJ	huge
molecules	NNS	molecule
that	WDT	that
seem	VBP	seem
to	TO	to
be	VB	be
viable	JJ	viable
?	SENT	?
Well	RB	well
,	,	,
it	PP	it
'	POS	'
s	NN	S
here	RB	here
that	IN	that
life	NN	life
introduces	VBZ	introduce
an	DT	an
entirely	RB	entirely
new	JJ	new
trick	NN	trick
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
stabilize	VB	stabilize
the	DT	the
individual	NN	individual
;	:	;
you	PP	you
stabilize	VBP	stabilize
the	DT	the
template	NN	template
,	,	,
the	DT	the
thing	NN	thing
that	WDT	that
carries	VBZ	carry
information	NN	information
,	,	,
and	CC	and
you	PP	you
allow	VBP	allow
the	DT	the
template	NN	template
to	TO	to
copy	VB	copy
itself	PP	itself
.	SENT	.
And	CC	and
DNA	NP	DNA
,	,	,
of	IN	of
course	NN	course
,	,	,
is	VBZ	be
the	DT	the
beautiful	JJ	beautiful
molecule	NN	molecule
that	WDT	that
contains	VBZ	contain
that	DT	that
information	NN	information
.	SENT	.
You	PP	you
'	''	'
ll	NN	ll
be	VB	be
familiar	JJ	familiar
with	IN	with
the	DT	the
double	JJ	double
helix	NN	helix
of	IN	of
DNA	NP	DNA
.	SENT	.
Each	DT	each
rung	NN	rung
contains	VBZ	contain
information	NN	information
.	SENT	.
So	RB	so
,	,	,
DNA	NP	DNA
contains	VBZ	contain
information	NN	information
about	IN	about
how	WRB	how
to	TO	to
make	VB	make
living	VBG	live
organisms	NNS	organism
.	SENT	.
And	CC	and
DNA	NP	DNA
also	RB	also
copies	VBZ	copy
itself	PP	itself
.	SENT	.
So	RB	so
,	,	,
it	PP	it
copies	VBZ	copy
itself	PP	itself
and	CC	and
scatters	VBZ	scatter
the	DT	the
templates	NNS	template
through	IN	through
the	DT	the
ocean	NN	ocean
.	SENT	.
So	IN	so
the	DT	the
information	NN	information
spreads	VBZ	spread
.	SENT	.
Notice	VB	notice
that	IN	that
information	NN	information
has	VBZ	have
become	VBN	become
part	NN	part
of	IN	of
our	PP$	our
story	NN	story
.	SENT	.
The	DT	the
real	JJ	real
beauty	NN	beauty
of	IN	of
DNA	NP	DNA
though	RB	though
is	VBZ	be
in	IN	in
its	PP$	its
imperfections	NNS	imperfection
.	SENT	.
As	IN	as
it	PP	it
copies	VBZ	copy
itself	PP	itself
,	,	,
once	RB	once
in	IN	in
every	DT	every
billion	NN	billion
rungs	NNS	rung
,	,	,
there	EX	there
tends	VBZ	tend
to	TO	to
be	VB	be
an	DT	an
error	NN	error
.	SENT	.
And	CC	and
what	WP	what
that	DT	that
means	NN	means
is	VBZ	be
that	IN	that
DNA	NN	DNA
is	VBZ	be
,	,	,
in	IN	in
effect	NN	effect
,	,	,
learning	VBG	learn
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
accumulating	VBG	accumulate
new	JJ	new
ways	NNS	way
of	IN	of
making	VBG	make
living	VBG	live
organisms	NNS	organism
because	IN	because
some	DT	some
of	IN	of
those	DT	those
errors	NNS	error
work	NN	work
.	SENT	.
So	RB	so
DNA	NP	DNA
'	POS	'
s	NN	S
learning	NN	learning
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
building	VBG	build
greater	JJR	great
diversity	NN	diversity
and	CC	and
greater	JJR	great
complexity	NN	complexity
.	SENT	.
And	CC	and
we	PP	we
can	MD	can
see	VB	see
this	DT	this
happening	NN	happening
over	IN	over
the	DT	the
last	JJ	last
four	CD	four
billion	NNS	billion
years	NNS	year
.	SENT	.
For	IN	for
most	JJS	most
of	IN	of
that	DT	that
time	NN	time
of	IN	of
life	NN	life
on	IN	on
Earth	NP	Earth
,	,	,
living	NN	living
organisms	NNS	organism
have	VBP	have
been	VBN	be
relatively	RB	relatively
simple	JJ	simple
—	:	-
single	JJ	single
cells	NNS	cell
.	SENT	.
But	CC	but
they	PP	they
had	VBD	have
great	JJ	great
diversity	NN	diversity
,	,	,
and	CC	and
,	,	,
inside	RB	inside
,	,	,
great	JJ	great
complexity	NN	complexity
.	SENT	.
Then	RB	then
from	IN	from
about	RB	about
600	CD	@card@
to	TO	to
800	CD	@card@
million	CD	million
years	NNS	year
ago	RB	ago
,	,	,
multi-celled	JJ	<unknown>
organisms	NNS	organism
appear	VBP	appear
.	SENT	.
You	PP	you
get	VBP	get
fungi	NNS	fungus
,	,	,
you	PP	you
get	VBP	get
fish	NN	fish
,	,	,
you	PP	you
get	VBP	get
plants	NNS	plant
,	,	,
you	PP	you
get	VBP	get
amphibia	NN	<unknown>
,	,	,
you	PP	you
get	VBP	get
reptiles	NNS	reptile
,	,	,
and	CC	and
then	RB	then
,	,	,
of	IN	of
course	NN	course
,	,	,
you	PP	you
get	VBP	get
the	DT	the
dinosaurs	NNS	dinosaur
.	SENT	.
And	CC	and
occasionally	RB	occasionally
,	,	,
there	EX	there
are	VBP	be
disasters	NNS	disaster
.	SENT	.
Sixty-five	NN	<unknown>
million	CD	million
years	NNS	year
ago	RB	ago
,	,	,
an	DT	an
asteroid	NN	asteroid
landed	VBD	land
on	IN	on
Earth	NN	earth
near	IN	near
the	DT	the
Yucatan	NP	Yucatan
Peninsula	NP	Peninsula
,	,	,
creating	VBG	create
conditions	NNS	condition
equivalent	JJ	equivalent
to	TO	to
those	DT	those
of	IN	of
a	DT	a
nuclear	JJ	nuclear
war	NN	war
,	,	,
and	CC	and
the	DT	the
dinosaurs	NNS	dinosaur
were	VBD	be
wiped	VBN	wipe
out	RP	out
.	SENT	.
Terrible	JJ	terrible
news	NN	news
for	IN	for
the	DT	the
dinosaurs	NNS	dinosaur
,	,	,
but	CC	but
great	JJ	great
news	NN	news
for	IN	for
our	PP$	our
mammalian	JJ	mammalian
ancestors	NNS	ancestor
,	,	,
who	WP	who
flourished	VBD	flourish
in	IN	in
the	DT	the
niches	NNS	niche
left	VBD	leave
empty	JJ	empty
by	IN	by
the	DT	the
dinosaurs	NNS	dinosaur
.	SENT	.
And	CC	and
we	PP	we
human	JJ	human
beings	NNS	being
are	VBP	be
part	NN	part
of	IN	of
that	DT	that
creative	JJ	creative
evolutionary	JJ	evolutionary
pulse	NN	pulse
that	WDT	that
began	VBD	begin
65	CD	@card@
million	CD	million
years	NNS	year
ago	RB	ago
with	IN	with
the	DT	the
landing	NN	landing
of	IN	of
an	DT	an
asteroid	NN	asteroid
.	SENT	.
Humans	NNS	human
appeared	VBD	appear
about	IN	about
200	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
ago	RB	ago
.	SENT	.
And	CC	and
I	PP	I
believe	VBP	believe
we	PP	we
count	VB	count
as	IN	as
a	DT	a
threshold	NN	threshold
in	IN	in
this	DT	this
great	JJ	great
story	NN	story
.	SENT	.
Let	VB	let
me	PP	me
explain	VB	explain
why	WRB	why
.	SENT	.
We	PP	we
'	POS	'
ve	JJ	<unknown>
seen	VBN	see
that	IN	that
DNA	NP	DNA
learns	VBZ	learn
in	IN	in
a	DT	a
sense	NN	sense
,	,	,
it	PP	it
accumulates	VBZ	accumulate
information	NN	information
.	SENT	.
But	CC	but
it	PP	it
is	VBZ	be
so	RB	so
slow	JJ	slow
.	SENT	.
DNA	NP	DNA
accumulates	VBZ	accumulate
information	NN	information
through	IN	through
random	JJ	random
errors	NNS	error
,	,	,
some	DT	some
of	IN	of
which	WDT	which
just	RB	just
happen	VBP	happen
to	TO	to
work	VB	work
.	SENT	.
But	CC	but
DNA	NP	DNA
had	VBD	have
actually	RB	actually
generated	VBN	generate
a	DT	a
faster	JJR	fast
way	NN	way
of	IN	of
learning	VBG	learn
:	:	:
it	PP	it
had	VBD	have
produced	VBN	produce
organisms	NNS	organism
with	IN	with
brains	NNS	brain
,	,	,
and	CC	and
those	DT	those
organisms	NNS	organism
can	MD	can
learn	VB	learn
in	IN	in
real	JJ	real
time	NN	time
.	SENT	.
They	PP	they
accumulate	VBP	accumulate
information	NN	information
,	,	,
they	PP	they
learn	VBP	learn
.	SENT	.
The	DT	the
sad	JJ	sad
thing	NN	thing
is	VBZ	be
,	,	,
when	WRB	when
they	PP	they
die	VBP	die
,	,	,
the	DT	the
information	NN	information
dies	VBZ	die
with	IN	with
them	PP	them
.	SENT	.
Now	RB	now
what	WP	what
makes	VBZ	make
humans	NNS	human
different	JJ	different
is	VBZ	be
human	JJ	human
language	NN	language
.	SENT	.
We	PP	we
are	VBP	be
blessed	VBN	bless
with	IN	with
a	DT	a
language	NN	language
,	,	,
a	DT	a
system	NN	system
of	IN	of
communication	NN	communication
,	,	,
so	RB	so
powerful	JJ	powerful
and	CC	and
so	RB	so
precise	JJ	precise
that	IN	that
we	PP	we
can	MD	can
share	VB	share
what	WP	what
we	PP	we
'	POS	'
ve	NN	ve
learned	VBD	learn
with	IN	with
such	JJ	such
precision	NN	precision
that	IN	that
it	PP	it
can	MD	can
accumulate	VB	accumulate
in	IN	in
the	DT	the
collective	JJ	collective
memory	NN	memory
.	SENT	.
And	CC	and
that	DT	that
means	VBZ	mean
it	PP	it
can	MD	can
outlast	VB	outlast
the	DT	the
individuals	NNS	individual
who	WP	who
learned	VBD	learn
that	DT	that
information	NN	information
,	,	,
and	CC	and
it	PP	it
can	MD	can
accumulate	VB	accumulate
from	IN	from
generation	NN	generation
to	TO	to
generation	NN	generation
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
why	WRB	why
,	,	,
as	IN	as
a	DT	a
species	NN	species
,	,	,
we	PP	we
'	POS	'
re	NN	re
so	IN	so
creative	JJ	creative
and	CC	and
so	RB	so
powerful	JJ	powerful
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
why	WRB	why
we	PP	we
have	VBP	have
a	DT	a
history	NN	history
.	SENT	.
We	PP	we
seem	VBP	seem
to	TO	to
be	VB	be
the	DT	the
only	JJ	only
species	NN	species
in	IN	in
four	CD	four
billion	NN	billion
years	NNS	year
to	TO	to
have	VB	have
this	DT	this
gift	NN	gift
.	SENT	.
I	PP	I
call	VBP	call
this	DT	this
ability	NN	ability
collective	JJ	collective
learning	NN	learning
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
what	WP	what
makes	VBZ	make
us	PP	us
different	JJ	different
.	SENT	.
We	PP	we
can	MD	can
see	VB	see
it	PP	it
at	IN	at
work	NN	work
in	IN	in
the	DT	the
earliest	JJS	early
stages	NNS	stage
of	IN	of
human	JJ	human
history	NN	history
.	SENT	.
We	PP	we
evolved	VBD	evolve
as	IN	as
a	DT	a
species	NN	species
in	IN	in
the	DT	the
savanna	NN	savanna
lands	NNS	land
of	IN	of
Africa	NP	Africa
,	,	,
but	CC	but
then	RB	then
you	PP	you
see	VBP	see
humans	NNS	human
migrating	VBG	migrate
into	IN	into
new	JJ	new
environments	NNS	environment
,	,	,
into	IN	into
desert	NN	desert
lands	NNS	land
,	,	,
into	IN	into
jungles	NNS	jungle
,	,	,
into	IN	into
the	DT	the
Ice	NP	Ice
Age	NP	Age
tundra	NN	tundra
of	IN	of
Siberia	NP	Siberia
—	:	-
tough	JJ	tough
,	,	,
tough	JJ	tough
environment	NN	environment
—	:	-
into	IN	into
the	DT	the
Americas	NPS	America
,	,	,
into	IN	into
Australasia	NP	Australasia
.	SENT	.
Each	DT	each
migration	NN	migration
involved	VBD	involve
learning	VBG	learn
—	:	-
learning	VBG	learn
new	JJ	new
ways	NNS	way
of	IN	of
exploiting	VBG	exploit
the	DT	the
environment	NN	environment
,	,	,
new	JJ	new
ways	NNS	way
of	IN	of
dealing	VBG	deal
with	IN	with
their	PP$	their
surroundings	NNS	surroundings
.	SENT	.
Then	RB	then
10	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
exploiting	VBG	exploit
a	DT	a
sudden	JJ	sudden
change	NN	change
in	IN	in
global	JJ	global
climate	NN	climate
with	IN	with
the	DT	the
end	NN	end
of	IN	of
the	DT	the
last	JJ	last
ice	NN	ice
age	NN	age
,	,	,
humans	NNS	human
learned	VBD	learn
to	TO	to
farm	VB	farm
.	SENT	.
Farming	NN	farming
was	VBD	be
an	DT	an
energy	NN	energy
bonanza	NN	bonanza
.	SENT	.
And	CC	and
exploiting	VBG	exploit
that	DT	that
energy	NN	energy
,	,	,
human	JJ	human
populations	NNS	population
multiplied	VBN	multiply
.	SENT	.
Human	JJ	human
societies	NNS	society
got	VBD	get
larger	JJR	large
,	,	,
denser	JJR	dense
,	,	,
more	RBR	more
interconnected	VBN	interconnect
.	SENT	.
And	CC	and
then	RB	then
from	IN	from
about	RB	about
500	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
humans	NNS	human
began	VBD	begin
to	TO	to
link	VB	link
up	RP	up
globally	RB	globally
through	IN	through
shipping	NN	shipping
,	,	,
through	IN	through
trains	NNS	train
,	,	,
through	IN	through
telegraph	NN	telegraph
,	,	,
through	IN	through
the	DT	the
Internet	NN	Internet
,	,	,
until	IN	until
now	RB	now
we	PP	we
seem	VBP	seem
to	TO	to
form	VB	form
a	DT	a
single	JJ	single
global	JJ	global
brain	NN	brain
of	IN	of
almost	RB	almost
seven	CD	seven
billion	NN	billion
individuals	NNS	individual
.	SENT	.
And	CC	and
that	DT	that
brain	NN	brain
is	VBZ	be
learning	VBG	learn
at	IN	at
warp	NN	warp
speed	NN	speed
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
last	JJ	last
200	CD	@card@
years	NNS	year
,	,	,
something	NN	something
else	RB	else
has	VBZ	have
happened	VBN	happen
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
stumbled	VBD	stumble
on	IN	on
another	DT	another
energy	NN	energy
bonanza	NN	bonanza
in	IN	in
fossil	JJ	fossil
fuels	NNS	fuel
.	SENT	.
So	IN	so
fossil	JJ	fossil
fuels	NNS	fuel
and	CC	and
collective	JJ	collective
learning	VBG	learn
together	RB	together
explain	VB	explain
the	DT	the
staggering	JJ	staggering
complexity	NN	complexity
we	PP	we
see	VBP	see
around	IN	around
us	PP	us
.	SENT	.
So	RB	so
—	:	-
Here	RB	here
we	PP	we
are	VBP	be
,	,	,
back	RB	back
at	IN	at
the	DT	the
convention	NN	convention
center	NN	center
.	SENT	.
We	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
on	IN	on
a	DT	a
journey	NN	journey
,	,	,
a	DT	a
return	NN	return
journey	NN	journey
,	,	,
of	IN	of
13	CD	@card@
.	SENT	.
7	CD	@card@
billion	NN	billion
years	NNS	year
.	SENT	.
I	PP	I
hope	VBP	hope
you	PP	you
agree	VBP	agree
this	DT	this
is	VBZ	be
a	DT	a
powerful	JJ	powerful
story	NN	story
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
story	NN	story
in	IN	in
which	WDT	which
humans	NNS	human
play	VBP	play
an	DT	an
astonishing	JJ	astonishing
and	CC	and
creative	JJ	creative
role	NN	role
.	SENT	.
But	CC	but
it	PP	it
also	RB	also
contains	VBZ	contain
warnings	NNS	warning
.	SENT	.
Collective	JJ	collective
learning	NN	learning
is	VBZ	be
a	DT	a
very	RB	very
,	,	,
very	RB	very
powerful	JJ	powerful
force	NN	force
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
clear	JJ	clear
that	IN	that
we	PP	we
humans	NNS	human
are	VBP	be
in	IN	in
charge	NN	charge
of	IN	of
it	PP	it
.	SENT	.
I	PP	I
remember	VBP	remember
very	RB	very
vividly	RB	vividly
as	IN	as
a	DT	a
child	NN	child
growing	VBG	grow
up	RP	up
in	IN	in
England	NP	England
,	,	,
living	VBG	live
through	IN	through
the	DT	the
Cuban	JJ	Cuban
Missile	NP	Missile
Crisis	NN	crisis
.	SENT	.
For	IN	for
a	DT	a
few	JJ	few
days	NNS	day
,	,	,
the	DT	the
entire	JJ	entire
biosphere	NN	biosphere
seemed	VBD	seem
to	TO	to
be	VB	be
on	IN	on
the	DT	the
verge	NN	verge
of	IN	of
destruction	NN	destruction
.	SENT	.
And	CC	and
the	DT	the
same	JJ	same
weapons	NNS	weapon
are	VBP	be
still	RB	still
here	RB	here
,	,	,
and	CC	and
they	PP	they
are	VBP	be
still	RB	still
armed	VBN	arm
.	SENT	.
If	IN	if
we	PP	we
avoid	VBP	avoid
that	DT	that
trap	NN	trap
,	,	,
others	NNS	other
are	VBP	be
waiting	VBG	wait
for	IN	for
us	PP	us
.	SENT	.
We	PP	we
'	''	'
re	IN	re
burning	VBG	burn
fossil	JJ	fossil
fuels	NNS	fuel
at	IN	at
such	PDT	such
a	DT	a
rate	NN	rate
that	IN	that
we	PP	we
seem	VBP	seem
to	TO	to
be	VB	be
undermining	VBG	undermine
the	DT	the
Goldilocks	NN	goldilocks
conditions	NNS	condition
that	WDT	that
made	VBD	make
it	PP	it
possible	JJ	possible
for	IN	for
human	JJ	human
civilizations	NNS	civilization
to	TO	to
flourish	VB	flourish
over	IN	over
the	DT	the
last	JJ	last
10	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
.	SENT	.
So	RB	so
what	WP	what
big	JJ	big
history	NN	history
can	MD	can
do	VB	do
is	VBZ	be
show	VB	show
us	PP	us
the	DT	the
nature	NN	nature
of	IN	of
our	PP$	our
complexity	NN	complexity
and	CC	and
fragility	NN	fragility
and	CC	and
the	DT	the
dangers	NNS	danger
that	WDT	that
face	VBP	face
us	PP	us
,	,	,
but	CC	but
it	PP	it
can	MD	can
also	RB	also
show	VB	show
us	PP	us
our	PP$	our
power	NN	power
with	IN	with
collective	JJ	collective
learning	NN	learning
.	SENT	.
And	CC	and
now	RB	now
,	,	,
finally	RB	finally
—	:	-
this	DT	this
is	VBZ	be
what	WP	what
I	PP	I
want	VBP	want
.	SENT	.
I	PP	I
want	VBP	want
my	PP$	my
grandson	NN	grandson
,	,	,
Daniel	NP	Daniel
,	,	,
and	CC	and
his	PP$	his
friends	NNS	friend
and	CC	and
his	PP$	his
generation	NN	generation
,	,	,
throughout	IN	throughout
the	DT	the
world	NN	world
,	,	,
to	TO	to
know	VB	know
the	DT	the
story	NN	story
of	IN	of
big	JJ	big
history	NN	history
,	,	,
and	CC	and
to	TO	to
know	VB	know
it	PP	it
so	RB	so
well	RB	well
that	IN	that
they	PP	they
understand	VBP	understand
both	CC	both
the	DT	the
challenges	NNS	challenge
that	WDT	that
face	VBP	face
us	PP	us
and	CC	and
the	DT	the
opportunities	NNS	opportunity
that	WDT	that
face	VBP	face
us	PP	us
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
why	WRB	why
a	DT	a
group	NN	group
of	IN	of
us	PP	us
are	VBP	be
building	VBG	build
a	DT	a
free	JJ	free
,	,	,
online	JJ	online
syllabus	NN	syllabus
in	IN	in
big	JJ	big
history	NN	history
for	IN	for
high-school	JJ	high-school
students	NNS	student
throughout	IN	throughout
the	DT	the
world	NN	world
.	SENT	.
We	PP	we
believe	VBP	believe
that	IN	that
big	JJ	big
history	NN	history
will	MD	will
be	VB	be
a	DT	a
vital	JJ	vital
intellectual	JJ	intellectual
tool	NN	tool
for	IN	for
them	PP	them
,	,	,
as	IN	as
Daniel	NP	Daniel
and	CC	and
his	PP$	his
generation	NN	generation
face	VB	face
the	DT	the
huge	JJ	huge
challenges	NNS	challenge
and	CC	and
also	RB	also
the	DT	the
huge	JJ	huge
opportunities	NNS	opportunity
ahead	RB	ahead
of	IN	of
them	PP	them
at	IN	at
this	DT	this
threshold	NN	threshold
moment	NN	moment
in	IN	in
the	DT	the
history	NN	history
of	IN	of
our	PP$	our
beautiful	JJ	beautiful
planet	NN	planet
.	SENT	.
I	PP	I
thank	VBP	thank
you	PP	you
for	IN	for
your	PP$	your
attention	NN	attention
.	SENT	.
