Once	RB	once
discover	VBP	discover
together	RB	together
.	SENT	.
If	IN	if
people	NNS	people
with	IN	with
disabilities	NNS	disability
are	VBP	be
allowed	VBN	allow
into	IN	into
the	DT	the
scientific	JJ	scientific
field	NN	field
,	,	,
an	DT	an
explosion	NN	explosion
,	,	,
a	DT	a
huge	JJ	huge
titanic	JJ	titanic
burst	NN	burst
of	IN	of
knowledge	NN	knowledge
will	MD	will
take	VB	take
place	NN	place
,	,	,
I	PP	I
am	VBP	be
sure	JJ	sure
.	SENT	.
That	DT	that
is	VBZ	be
the	DT	the
titanic	JJ	titanic
burst	NN	burst
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
