Everyone	NN	everyone
in	IN	in
phase	NN	phase
two	CD	two
?	SENT	?
Loss	NN	loss
of	IN	of
our	PP$	our
routine	NN	routine
and	CC	and
identity	NN	identity
and	CC	and
relationships	NNS	relationship
and	CC	and
purpose	NN	purpose
and	CC	and
power	NN	power
.	SENT	.
In	IN	in
phase	NN	phase
four	CD	four
,	,	,
these	DT	these
are	VBP	be
all	RB	all
recovered	VBN	recover
.	SENT	.
It	PP	it
is	VBZ	be
magic	JJ	magic
to	TO	to
see	VB	see
.	SENT	.
Magic	JJ	magic
.	SENT	.
So	RB	so
I	PP	I
urge	VBP	urge
you	PP	you
to	TO	to
enjoy	VB	enjoy
your	PP$	your
vacation	NN	vacation
in	IN	in
phase	NN	phase
one	PP	one
.	SENT	.
Be	VB	be
prepared	VBN	prepare
for	IN	for
the	DT	the
losses	NNS	loss
in	IN	in
phase	NN	phase
two	CD	two
.	SENT	.
Experiment	NN	experiment
and	CC	and
try	VB	try
as	IN	as
many	JJ	many
different	JJ	different
things	NNS	thing
as	IN	as
you	PP	you
can	MD	can
in	RB	in
phase	VB	phase
three	CD	three
.	SENT	.
And	CC	and
squeeze	VB	squeeze
all	PDT	all
the	DT	the
juice	NN	juice
out	RP	out
of	IN	of
retirement	NN	retirement
in	IN	in
phase	NN	phase
four	CD	four
.	SENT	.
