Look	VB	look
such	PDT	such
a	DT	a
,	,	,
I	PP	I
feel	VBP	feel
such	PDT	such
a	DT	a
Cassandra	NP	Cassandra
here	RB	here
.	SENT	.
What	WP	what
can	MD	can
I	PP	I
say	VB	say
that	RB	that
'	''	'
s	NNS	<unknown>
positive	JJ	positive
?	SENT	?
What	WP	what
'	POS	'
s	NN	S
positive	NN	positive
is	VBZ	be
that	IN	that
this	DT	this
is	VBZ	be
happening	VBG	happen
at	IN	at
very	RB	very
great	JJ	great
age	NN	age
,	,	,
now	RB	now
.	SENT	.
We	PP	we
are	VBP	be
all	RB	all
,	,	,
most	JJS	most
of	IN	of
us	PP	us
,	,	,
living	VBG	live
to	TO	to
reach	VB	reach
this	DT	this
point	NN	point
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
historically	RB	historically
,	,	,
we	PP	we
didn	NNS	<unknown>
'	POS	'
t	NN	t
do	VBP	do
that	DT	that
.	SENT	.
This	DT	this
is	VBZ	be
what	WP	what
happens	VBZ	happen
to	TO	to
you	PP	you
when	WRB	when
you	PP	you
live	VBP	live
to	TO	to
be	VB	be
a	DT	a
great	JJ	great
age	NN	age
,	,	,
and	CC	and
unfortunately	RB	unfortunately
,	,	,
increasing	VBG	increase
longevity	NN	longevity
does	VBZ	do
mean	VB	mean
more	RBR	more
old	JJ	old
age	NN	age
,	,	,
not	RB	not
more	JJR	more
youth	NN	youth
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
sorry	JJ	sorry
to	TO	to
say	VB	say
that	DT	that
.	SENT	.
What	WP	what
we	PP	we
did	VBD	do
,	,	,
anyway	RB	anyway
,	,	,
look	VB	look
,	,	,
what	WP	what
we	PP	we
did	VBD	do
,	,	,
we	PP	we
didn	NNS	<unknown>
'	POS	'
t	NN	t
just	RB	just
take	VB	take
this	DT	this
lying	VBG	lie
down	RP	down
at	IN	at
John	NP	John
Hunter	NP	Hunter
Hospital	NP	Hospital
and	CC	and
elsewhere	RB	elsewhere
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
started	VBD	start
a	DT	a
whole	JJ	whole
series	NN	series
of	IN	of
projects	NNS	project
to	TO	to
try	VB	try
and	CC	and
look	VB	look
about	RB	about
whether	IN	whether
we	PP	we
could	MD	could
,	,	,
in	IN	in
fact	NN	fact
,	,	,
involve	VB	involve
people	NNS	people
much	RB	much
more	RBR	more
in	IN	in
the	DT	the
way	NN	way
that	IN	that
things	NNS	thing
happen	VB	happen
to	TO	to
them	PP	them
.	SENT	.
But	CC	but
we	PP	we
realized	VBD	realize
,	,	,
of	IN	of
course	NN	course
,	,	,
that	WDT	that
we	PP	we
are	VBP	be
dealing	VBG	deal
with	IN	with
cultural	JJ	cultural
issues	NNS	issue
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
,	,	,
I	PP	I
love	VBP	love
this	DT	this
Klimt	NP	Klimt
painting	NN	painting
,	,	,
because	IN	because
the	DT	the
more	RBR	more
you	PP	you
look	VBP	look
at	IN	at
it	PP	it
,	,	,
the	DT	the
more	RBR	more
you	PP	you
kind	RB	kind
of	IN	of
get	VB	get
the	DT	the
whole	JJ	whole
issue	NN	issue
that	RB	that
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
here	RB	here
,	,	,
which	WDT	which
is	VBZ	be
clearly	RB	clearly
the	DT	the
separation	NN	separation
of	IN	of
death	NN	death
from	IN	from
the	DT	the
living	NN	living
,	,	,
and	CC	and
the	DT	the
fear	NN	fear
â	NP	<unknown>
Like	NP	Like
,	,	,
if	IN	if
you	PP	you
actually	RB	actually
look	VBP	look
,	,	,
there	EX	there
'	''	'
s	VBZ	<unknown>
one	CD	one
woman	NN	woman
there	RB	there
who	WP	who
has	VBZ	have
her	PP$	her
eyes	NNS	eye
open	VBP	open
.	SENT	.
She	NN	she
'	POS	'
s	NN	S
the	DT	the
one	CD	one
he	PP	he
'	POS	'
s	NNS	<unknown>
looking	VBG	look
at	IN	at
,	,	,
and	CC	and
[	SYM	[
she	PP	she
'	POS	'
s	NNS	<unknown>
]	SYM	]
the	DT	the
one	CD	one
he	PP	he
'	POS	'
s	NNS	<unknown>
coming	VBG	come
for	IN	for
.	SENT	.
Can	MD	can
you	PP	you
see	VB	see
that	DT	that
?	SENT	?
She	PP	she
looks	VBZ	look
terrified	VBN	terrify
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
an	DT	an
amazing	JJ	amazing
picture	NN	picture
.	SENT	.
Anyway	RB	anyway
,	,	,
we	PP	we
had	VBD	have
a	DT	a
major	JJ	major
cultural	JJ	cultural
issue	NN	issue
.	SENT	.
Clearly	RB	clearly
,	,	,
people	NNS	people
didn	NN	<unknown>
'	POS	'
t	NN	t
want	VBP	want
us	PP	us
to	TO	to
talk	VB	talk
about	IN	about
death	NN	death
,	,	,
or	CC	or
,	,	,
we	PP	we
thought	VBD	think
that	RB	that
.	SENT	.
So	RB	so
with	IN	with
loads	NNS	load
of	IN	of
funding	NN	funding
from	IN	from
the	DT	the
Federal	NP	Federal
Government	NP	Government
and	CC	and
the	DT	the
local	JJ	local
Health	NP	Health
Service	NP	Service
,	,	,
we	PP	we
introduced	VBD	introduce
a	DT	a
thing	NN	thing
at	IN	at
John	NP	John
Hunter	NP	Hunter
called	VBD	call
Respecting	VBG	respect
Patient	NP	Patient
Choices	NNS	choice
.	SENT	.
We	PP	we
trained	VBD	train
hundreds	NNS	hundred
of	IN	of
people	NNS	people
to	TO	to
go	VB	go
to	TO	to
the	DT	the
wards	NNS	ward
and	CC	and
talk	VB	talk
to	TO	to
people	NNS	people
about	IN	about
the	DT	the
fact	NN	fact
that	IN	that
they	PP	they
would	MD	would
die	VB	die
,	,	,
and	CC	and
what	WP	what
would	MD	would
they	PP	they
prefer	VB	prefer
under	IN	under
those	DT	those
circumstances	NNS	circumstance
.	SENT	.
They	PP	they
loved	VBD	love
it	PP	it
.	SENT	.
The	DT	the
families	NNS	family
and	CC	and
the	DT	the
patients	NNS	patient
,	,	,
they	PP	they
loved	VBD	love
it	PP	it
.	SENT	.
Ninety-eight	NN	Ninety-eight
percent	NN	percent
of	IN	of
people	NNS	people
really	RB	really
thought	VBD	think
this	DT	this
just	RB	just
should	MD	should
have	VB	have
been	VBN	be
normal	JJ	normal
practice	NN	practice
,	,	,
and	CC	and
that	IN	that
this	DT	this
is	VBZ	be
how	WRB	how
things	NNS	thing
should	MD	should
work	VB	work
.	SENT	.
And	CC	and
when	WRB	when
they	PP	they
expressed	VBD	express
wishes	NNS	wish
,	,	,
all	RB	all
of	IN	of
those	DT	those
wishes	NNS	wish
came	VBD	come
true	JJ	true
,	,	,
as	IN	as
it	PP	it
were	VBD	be
.	SENT	.
We	PP	we
were	VBD	be
able	JJ	able
to	TO	to
make	VB	make
that	WDT	that
happen	VBP	happen
for	IN	for
them	PP	them
.	SENT	.
But	CC	but
then	RB	then
,	,	,
when	WRB	when
the	DT	the
funding	NN	funding
ran	VBD	run
out	RP	out
,	,	,
we	PP	we
went	VBD	go
back	RB	back
to	TO	to
look	VB	look
six	CD	six
months	NNS	month
later	RBR	later
,	,	,
and	CC	and
everybody	NN	everybody
had	VBD	have
stopped	VBN	stop
again	RB	again
,	,	,
and	CC	and
nobody	NN	nobody
was	VBD	be
having	VBG	have
these	DT	these
conversations	NNS	conversation
anymore	RB	anymore
.	SENT	.
So	RB	so
that	DT	that
was	VBD	be
really	RB	really
kind	JJ	kind
of	IN	of
heartbreaking	JJ	heartbreaking
for	IN	for
us	PP	us
,	,	,
because	IN	because
we	PP	we
thought	VBD	think
this	DT	this
was	VBD	be
going	VBG	go
to	TO	to
really	RB	really
take	VB	take
off	RP	off
.	SENT	.
The	DT	the
cultural	JJ	cultural
issue	NN	issue
had	VBD	have
reasserted	VBN	reassert
itself	PP	itself
.	SENT	.
So	RB	so
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
pitch	NN	pitch
:	:	:
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NN	S
important	JJ	important
that	IN	that
we	PP	we
don	VB	don
'	''	'
t	NN	t
just	RB	just
get	VB	get
on	IN	on
this	DT	this
freeway	NN	freeway
to	TO	to
ICU	NP	ICU
without	IN	without
thinking	VBG	think
hard	RB	hard
about	RB	about
whether	IN	whether
or	CC	or
not	RB	not
that	RB	that
'	''	'
s	NN	S
where	WRB	where
we	PP	we
all	RB	all
want	VBP	want
to	TO	to
end	VB	end
up	RP	up
,	,	,
particularly	RB	particularly
as	IN	as
we	PP	we
become	VBP	become
older	JJR	old
and	CC	and
increasingly	RB	increasingly
frail	JJ	frail
and	CC	and
ICU	NP	ICU
has	VBZ	have
less	JJR	less
and	CC	and
less	JJR	less
and	CC	and
less	JJR	less
to	TO	to
offer	VB	offer
us	PP	us
.	SENT	.
There	EX	there
has	VBZ	have
to	TO	to
be	VB	be
a	DT	a
little	JJ	little
side	NN	side
road	NN	road
off	RB	off
there	RB	there
for	IN	for
people	NNS	people
who	WP	who
don	VBP	don
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
go	VB	go
on	IN	on
that	DT	that
track	NN	track
.	SENT	.
And	CC	and
I	PP	I
have	VBP	have
one	CD	one
small	JJ	small
idea	NN	idea
,	,	,
and	CC	and
one	CD	one
big	JJ	big
idea	NN	idea
about	IN	about
what	WP	what
could	MD	could
happen	VB	happen
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
the	DT	the
small	JJ	small
idea	NN	idea
.	SENT	.
The	DT	the
small	JJ	small
idea	NN	idea
is	VBZ	be
,	,	,
let	VBP	let
'	POS	'
s	NN	S
all	RB	all
of	IN	of
us	PP	us
engage	VBP	engage
more	JJR	more
with	IN	with
this	DT	this
in	IN	in
the	DT	the
way	NN	way
that	IN	that
Jason	NP	Jason
has	VBZ	have
illustrated	VBN	illustrate
.	SENT	.
Why	WRB	why
can	MD	can
'	''	'
t	NN	t
we	PP	we
have	VBP	have
these	DT	these
kinds	NNS	kind
of	IN	of
conversations	NNS	conversation
with	IN	with
our	PP$	our
own	JJ	own
elders	NNS	elder
and	CC	and
people	NNS	people
who	WP	who
might	MD	might
be	VB	be
approaching	VBG	approach
this	DT	this
?	SENT	?
There	EX	there
are	VBP	be
a	DT	a
couple	NN	couple
of	IN	of
things	NNS	thing
you	PP	you
can	MD	can
do	VB	do
.	SENT	.
One	CD	one
of	IN	of
them	PP	them
is	VBZ	be
,	,	,
you	PP	you
can	MD	can
,	,	,
just	RB	just
ask	VB	ask
this	DT	this
simple	JJ	simple
question	NN	question
.	SENT	.
This	DT	this
question	NN	question
never	RB	never
fails	VBZ	fail
.	SENT	.
"	''	"
In	IN	in
the	DT	the
event	NN	event
that	IN	that
you	PP	you
became	VBD	become
too	RB	too
sick	JJ	sick
to	TO	to
speak	VB	speak
for	IN	for
yourself	PP	yourself
,	,	,
who	WP	who
would	MD	would
you	PP	you
like	VB	like
to	TO	to
speak	VB	speak
for	IN	for
you	PP	you
?	SENT	?
"	``	"
That	RB	that
'	''	'
s	VBG	<unknown>
a	DT	a
really	RB	really
important	JJ	important
question	NN	question
to	TO	to
ask	VB	ask
people	NNS	people
,	,	,
because	IN	because
giving	VBG	give
people	NNS	people
the	DT	the
control	NN	control
over	IN	over
who	WP	who
that	DT	that
is	VBZ	be
produces	VBZ	produce
an	DT	an
amazing	JJ	amazing
outcome	NN	outcome
.	SENT	.
The	DT	the
second	JJ	second
thing	NN	thing
you	PP	you
can	MD	can
say	VB	say
is	VBZ	be
,	,	,
"	``	"
Have	VBP	have
you	PP	you
spoken	VBN	speak
to	TO	to
that	DT	that
person	NN	person
about	IN	about
the	DT	the
things	NNS	thing
that	WDT	that
are	VBP	be
important	JJ	important
to	TO	to
you	PP	you
so	RB	so
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
better	JJR	good
idea	NN	idea
of	IN	of
what	WP	what
it	PP	it
is	VBZ	be
we	PP	we
can	MD	can
do	VB	do
?	SENT	?
"	''	"
So	RB	so
that	RB	that
'	''	'
s	VBG	<unknown>
the	DT	the
little	JJ	little
idea	NN	idea
.	SENT	.
The	DT	the
big	JJ	big
idea	NN	idea
,	,	,
I	PP	I
think	VBP	think
,	,	,
is	VBZ	be
more	RBR	more
political	JJ	political
.	SENT	.
I	PP	I
think	VBP	think
we	PP	we
have	VBP	have
to	TO	to
get	VB	get
onto	IN	onto
this	DT	this
.	SENT	.
I	PP	I
suggested	VBD	suggest
we	PP	we
should	MD	should
have	VB	have
Occupy	VB	occupy
Death	NN	death
.	SENT	.
My	PP$	my
wife	NN	wife
said	VBD	say
,	,	,
"	``	"
Yeah	RB	yeah
,	,	,
right	RB	right
,	,	,
sit-ins	NNS	sit-in
in	IN	in
the	DT	the
mortuary	NN	mortuary
.	SENT	.
Yeah	RB	yeah
,	,	,
yeah	RB	yeah
.	SENT	.
Sure	JJ	sure
.	SENT	.
"	''	"
So	IN	so
that	DT	that
one	CD	one
didn	NN	<unknown>
'	POS	'
t	NN	t
really	RB	really
run	VBN	run
,	,	,
but	CC	but
I	PP	I
was	VBD	be
very	RB	very
struck	VBN	strike
by	IN	by
this	DT	this
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
'	POS	'
m	NN	m
an	DT	an
aging	VBG	age
hippie	NN	hippie
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
I	PP	I
look	VBP	look
like	IN	like
that	IN	that
anymore	RB	anymore
,	,	,
but	CC	but
I	PP	I
had	VBD	have
,	,	,
two	CD	two
of	IN	of
my	PP$	my
kids	NNS	kid
were	VBD	be
born	VBN	bear
at	IN	at
home	NN	home
in	IN	in
the	DT	the
'	''	'
80s	JJ	<unknown>
when	WRB	when
home	NN	home
birth	NN	birth
was	VBD	be
a	DT	a
big	JJ	big
thing	NN	thing
,	,	,
and	CC	and
we	PP	we
baby	NN	baby
boomers	NNS	boomer
are	VBP	be
used	VBN	use
to	TO	to
taking	VBG	take
charge	NN	charge
of	IN	of
the	DT	the
situation	NN	situation
,	,	,
so	RB	so
if	IN	if
you	PP	you
just	RB	just
replace	VB	replace
all	PDT	all
these	DT	these
words	NNS	word
of	IN	of
birth	NN	birth
,	,	,
I	PP	I
like	VBP	like
"	``	"
Peace	NP	Peace
,	,	,
Love	NP	Love
,	,	,
Natural	NP	Natural
Death	NP	Death
"	''	"
as	IN	as
an	DT	an
option	NN	option
.	SENT	.
I	PP	I
do	VBP	do
think	VB	think
we	PP	we
have	VBP	have
to	TO	to
get	VB	get
political	JJ	political
and	CC	and
start	VB	start
to	TO	to
reclaim	VB	reclaim
this	DT	this
process	NN	process
from	IN	from
the	DT	the
medicalized	JJ	<unknown>
model	NN	model
in	IN	in
which	WDT	which
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
.	SENT	.
Now	RB	now
,	,	,
listen	VB	listen
,	,	,
that	WDT	that
sounds	VBZ	sound
like	IN	like
a	DT	a
pitch	NN	pitch
for	IN	for
euthanasia	NN	euthanasia
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
make	VB	make
it	PP	it
absolutely	RB	absolutely
crystal	NN	crystal
clear	JJ	clear
to	TO	to
you	PP	you
all	DT	all
,	,	,
I	PP	I
hate	VBP	hate
euthanasia	NN	euthanasia
.	SENT	.
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	VBG	<unknown>
a	DT	a
sideshow	NN	sideshow
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
euthanasia	NN	euthanasia
matters	NNS	matter
.	SENT	.
I	PP	I
actually	RB	actually
think	VBP	think
that	IN	that
,	,	,
in	IN	in
places	NNS	place
like	IN	like
Oregon	NP	Oregon
,	,	,
where	WRB	where
you	PP	you
can	MD	can
have	VB	have
physician-assisted	JJ	<unknown>
suicide	NN	suicide
,	,	,
you	PP	you
take	VBP	take
a	DT	a
poisonous	JJ	poisonous
dose	NN	dose
of	IN	of
stuff	NN	stuff
,	,	,
only	RB	only
half	PDT	half
a	DT	a
percent	NN	percent
of	IN	of
people	NNS	people
ever	RB	ever
do	VBP	do
that	DT	that
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
more	RBR	more
interested	JJ	interested
in	IN	in
what	WP	what
happens	VBZ	happen
to	TO	to
the	DT	the
99	CD	@card@
.	SENT	.
5	CD	@card@
percent	NN	percent
of	IN	of
people	NNS	people
who	WP	who
don	VBP	don
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
I	PP	I
think	VBP	think
most	JJS	most
people	NNS	people
don	NN	don
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
be	VB	be
dead	JJ	dead
,	,	,
but	CC	but
I	PP	I
do	VBP	do
think	VB	think
most	JJS	most
people	NNS	people
want	VBP	want
to	TO	to
have	VB	have
some	DT	some
control	NN	control
over	IN	over
how	WRB	how
their	PP$	their
dying	VBG	die
process	NN	process
proceeds	NNS	proceed
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
an	DT	an
opponent	NN	opponent
of	IN	of
euthanasia	NN	euthanasia
,	,	,
but	CC	but
I	PP	I
do	VBP	do
think	VB	think
we	PP	we
have	VBP	have
to	TO	to
give	VB	give
people	NNS	people
back	RB	back
some	DT	some
control	NN	control
.	SENT	.
It	PP	it
deprives	VBZ	deprive
euthanasia	NN	euthanasia
of	IN	of
its	PP$	its
oxygen	NN	oxygen
supply	NN	supply
.	SENT	.
I	PP	I
think	VBP	think
we	PP	we
should	MD	should
be	VB	be
looking	VBG	look
at	IN	at
stopping	VBG	stop
the	DT	the
want	NN	want
for	IN	for
euthanasia	NN	euthanasia
,	,	,
not	RB	not
for	IN	for
making	VBG	make
it	PP	it
illegal	JJ	illegal
or	CC	or
legal	JJ	legal
or	CC	or
worrying	VBG	worry
about	IN	about
it	PP	it
at	IN	at
all	DT	all
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
quote	NN	quote
from	IN	from
Dame	NP	Dame
Cicely	NP	Cicely
Saunders	NP	Saunders
,	,	,
whom	WP	whom
I	PP	I
met	VBD	meet
when	WRB	when
I	PP	I
was	VBD	be
a	DT	a
medical	JJ	medical
student	NN	student
.	SENT	.
She	PP	she
founded	VBD	found
the	DT	the
hospice	NN	hospice
movement	NN	movement
.	SENT	.
And	CC	and
she	PP	she
said	VBD	say
,	,	,
"	``	"
You	PP	you
matter	VBP	matter
because	IN	because
you	PP	you
are	VBP	be
,	,	,
and	CC	and
you	PP	you
matter	VBP	matter
to	TO	to
the	DT	the
last	JJ	last
moment	NN	moment
of	IN	of
your	PP$	your
life	NN	life
.	SENT	.
"	``	"
And	CC	and
I	PP	I
firmly	RB	firmly
believe	VBP	believe
that	IN	that
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
message	NN	message
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
carry	VB	carry
forward	RB	forward
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
