Natalie	NP	Natalie
.	SENT	.
Announcer	NN	announcer
:	:	:
Great	JJ	great
news	NN	news
,	,	,
they	PP	they
'	POS	'
re	NN	re
running	VBG	run
late	JJ	late
downstairs	NN	downstairs
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
another	DT	another
10	CD	@card@
minutes	NNS	minute
.	SENT	.
NM	NP	NM
:	:	:
Okay	JJ	okay
.	SENT	.
Sure	JJ	sure
.	SENT	.
All	DT	all
right	NN	right
,	,	,
okay	JJ	okay
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
get	VBP	get
her	PP	her
going	VBG	go
.	SENT	.
DL	NP	DL
:	:	:
What	WP	what
do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
play	VB	play
?	SENT	?
NM	NP	NM
:	:	:
Well	UH	well
,	,	,
um	NN	um
.	SENT	.
.	SENT	.
.	SENT	.
NM	NP	NM
:	:	:
Uh	UH	uh
,	,	,
sure	JJ	sure
.	SENT	.
DL	NP	DL
:	:	:
How	WRB	how
fast	RB	fast
?	SENT	?
NM	NP	NM
:	:	:
Not	RB	not
too	RB	too
fast	RB	fast
.	SENT	.
DL	NN	DL
:	:	:
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
play	VB	play
a	DT	a
tune	NN	tune
and	CC	and
Natalie	NP	Natalie
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
accompany	VB	accompany
me	PP	me
on	IN	on
the	DT	the
piano	NN	piano
.	SENT	.
The	DT	the
Cape	NP	Cape
Breton	NP	Breton
piano	NN	piano
playing	NN	playing
is	VBZ	be
just	RB	just
awesome	JJ	awesome
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
very	RB	very
rhythmic	JJ	rhythmic
and	CC	and
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
see	VBP	see
it	PP	it
.	SENT	.
My	PP$	my
mom	NN	mom
plays	VBZ	play
piano	NN	piano
,	,	,
and	CC	and
she	PP	she
learned	VBD	learn
to	TO	to
play	VB	play
before	IN	before
they	PP	they
had	VBD	have
a	DT	a
piano	NN	piano
at	IN	at
home	NN	home
in	IN	in
Cape	NP	Cape
Breton	NP	Breton
.	SENT	.
Before	IN	before
Mom	NP	Mom
'	POS	'
s	NN	S
family	NN	family
had	VBD	have
a	DT	a
piano	NN	piano
in	IN	in
Cape	NP	Cape
Breton	NP	Breton
,	,	,
she	PP	she
learned	VBD	learn
to	TO	to
play	VB	play
the	DT	the
rhythms	NNS	rhythm
on	IN	on
a	DT	a
piece	NN	piece
of	IN	of
board	NN	board
,	,	,
and	CC	and
the	DT	the
fiddlers	NNS	fiddler
would	MD	would
all	RB	all
congregate	VB	congregate
to	TO	to
play	VB	play
on	IN	on
the	DT	the
cold	JJ	cold
winter	NN	winter
'	POS	'
s	NN	S
evenings	NNS	evening
and	CC	and
Mom	NP	Mom
would	MD	would
be	VB	be
banging	VBG	bang
on	IN	on
this	DT	this
board	NN	board
,	,	,
so	RB	so
when	WRB	when
they	PP	they
bought	VBD	buy
a	DT	a
piano	NN	piano
,	,	,
they	PP	they
bought	VBD	buy
it	PP	it
in	IN	in
Toronto	NP	Toronto
and	CC	and
had	VBD	have
it	PP	it
taken	VBN	take
by	IN	by
train	NN	train
and	CC	and
brought	VBD	bring
in	IN	in
on	IN	on
a	DT	a
horse	NN	horse
,	,	,
a	DT	a
horse	NN	horse
and	CC	and
sleigh	NN	sleigh
to	TO	to
the	DT	the
house	NN	house
.	SENT	.
It	PP	it
became	VBD	become
the	DT	the
only	JJ	only
piano	NN	piano
in	IN	in
the	DT	the
region	NN	region
,	,	,
and	CC	and
Mom	NP	Mom
said	VBD	say
she	PP	she
could	MD	could
basically	RB	basically
play	VB	play
as	RB	as
soon	RB	soon
as	IN	as
the	DT	the
piano	NN	piano
arrived	VBD	arrive
,	,	,
she	PP	she
could	MD	could
play	VB	play
it	PP	it
because	IN	because
she	PP	she
had	VBD	have
learned	VBN	learn
all	PDT	all
these	DT	these
rhythms	NNS	rhythm
.	SENT	.
Anyway	RB	anyway
,	,	,
we	PP	we
found	VBD	find
the	DT	the
piano	NN	piano
last	JJ	last
year	NN	year
and	CC	and
were	VBD	be
able	JJ	able
to	TO	to
bring	VB	bring
it	PP	it
back	RB	back
home	RB	home
.	SENT	.
We	PP	we
purchased	VBD	purchase
it	PP	it
.	SENT	.
It	PP	it
had	VBD	have
gone	VBN	go
through	RP	through
,	,	,
like	VB	like
,	,	,
five	CD	five
or	CC	or
six	CD	six
families	NNS	family
,	,	,
and	CC	and
it	PP	it
was	VBD	be
just	RB	just
a	DT	a
big	JJ	big
thing	NN	thing
for	IN	for
us	PP	us
,	,	,
and	CC	and
we	PP	we
found	VBD	find
actually	RB	actually
an	DT	an
old	JJ	old
picture	NN	picture
of	IN	of
somebody	NN	somebody
and	CC	and
their	PP$	their
family	NN	family
years	NNS	year
ago	RB	ago
.	SENT	.
Anyway	RB	anyway
,	,	,
I	PP	I
'	POS	'
m	NN	m
blabbering	VBG	blabber
on	IN	on
here	RB	here
.	SENT	.
NM	NP	NM
:	:	:
No	UH	no
,	,	,
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
tell	VB	tell
them	PP	them
about	IN	about
Leahy	NP	Leahy
.	SENT	.
DL	NP	DL
:	:	:
What	WP	what
about	RB	about
Leahy	NP	Leahy
?	SENT	?
NM	NP	NM
:	:	:
Just	RB	just
tell	VB	tell
them	PP	them
what	WP	what
—	:	-
DL	NN	DL
:	:	:
She	PP	she
wants	VBZ	want
me	PP	me
to	TO	to
talk	VB	talk
about	RB	about
—	:	-
We	PP	we
have	VBP	have
a	DT	a
band	NN	band
named	VBN	name
Leahy	NP	Leahy
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
11	CD	@card@
siblings	NNS	sibling
.	SENT	.
We	PP	we
,	,	,
um	NNS	<unknown>
—	:	-
What	WP	what
will	MD	will
I	PP	I
tell	VB	tell
them	PP	them
?	SENT	?
We	PP	we
opened	VBD	open
—	:	-
NM	NP	NM
:	:	:
No	DT	no
surgeries	NNS	surgery
.	SENT	.
DL	NP	DL
:	:	:
No	DT	no
surgeries	NNS	surgery
,	,	,
oh	UH	oh
yeah	RB	yeah
.	SENT	.
We	PP	we
had	VBD	have
a	DT	a
great	JJ	great
opportunity	NN	opportunity
.	SENT	.
We	PP	we
opened	VBD	open
for	IN	for
Shania	NP	<unknown>
Twain	NP	Twain
for	IN	for
two	CD	two
years	NNS	year
on	IN	on
her	PP$	her
international	JJ	international
tour	NN	tour
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
big	JJ	big
thing	NN	thing
for	IN	for
us	PP	us
,	,	,
and	CC	and
now	RB	now
all	PDT	all
my	PP$	my
sisters	NNS	sister
are	VBP	be
off	RB	off
having	VBG	have
babies	NNS	baby
and	CC	and
the	DT	the
boys	NNS	boy
are	VBP	be
all	RB	all
getting	VBG	get
married	JJ	married
,	,	,
so	IN	so
we	PP	we
'	POS	'
re	NN	re
staying	VBG	stay
close	NN	close
to	TO	to
home	NN	home
for	IN	for
,	,	,
I	PP	I
guess	VBP	guess
,	,	,
another	DT	another
couple	NN	couple
of	IN	of
weeks	NNS	week
.	SENT	.
What	WP	what
can	MD	can
I	PP	I
say	VB	say
?	SENT	?
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
what	WP	what
to	TO	to
say	VB	say
,	,	,
Natalie	NP	Natalie
.	SENT	.
We	PP	we
,	,	,
uh	UH	uh
.	SENT	.
.	SENT	.
.	SENT	.
NM	NP	NM
:	:	:
Is	VBZ	be
this	DT	this
what	WP	what
marriage	NN	marriage
is	VBZ	be
about	RB	about
?	SENT	?
I	PP	I
like	VBP	like
it	PP	it
.	SENT	.
DL	NP	DL
:	:	:
Oh	UH	oh
yeah	RB	yeah
,	,	,
okay	RB	okay
,	,	,
in	IN	in
my	PP$	my
family	NN	family
we	PP	we
had	VBD	have
seven	CD	seven
girls	NNS	girl
,	,	,
four	CD	four
boys	NNS	boy
,	,	,
we	PP	we
had	VBD	have
two	CD	two
fiddles	NNS	fiddle
and	CC	and
one	CD	one
piano	NN	piano
,	,	,
and	CC	and
of	IN	of
course	NN	course
we	PP	we
were	VBD	be
all	RB	all
fighting	VBG	fight
to	TO	to
play	VB	play
on	IN	on
the	DT	the
instruments	NNS	instrument
,	,	,
so	IN	so
dad	NN	dad
and	CC	and
mom	NN	mom
set	VBD	set
a	DT	a
rule	NN	rule
that	IN	that
you	PP	you
couldn	NNS	<unknown>
'	POS	'
t	NN	t
kick	NN	kick
anyone	NN	anyone
off	IN	off
the	DT	the
instrument	NN	instrument
.	SENT	.
You	PP	you
had	VBD	have
to	TO	to
wait	VB	wait
until	IN	until
they	PP	they
were	VBD	be
finished	VBN	finish
,	,	,
so	RB	so
of	IN	of
course	NN	course
,	,	,
what	WP	what
we	PP	we
would	MD	would
do	VB	do
is	VBZ	be
we	PP	we
'	POS	'
d	NN	d
get	VB	get
on	IN	on
the	DT	the
piano	NN	piano
and	CC	and
you	PP	you
wouldn	NP	<unknown>
'	POS	'
t	NN	t
even	RB	even
get	VB	get
off	RP	off
to	TO	to
eat	VB	eat
,	,	,
because	IN	because
you	PP	you
wouldn	NN	<unknown>
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
give	VB	give
it	PP	it
up	RP	up
to	TO	to
your	PP$	your
brother	NN	brother
or	CC	or
sister	NN	sister
,	,	,
and	CC	and
they	PP	they
'	POS	'
d	NN	d
wait	NN	wait
and	CC	and
wait	VB	wait
and	CC	and
wait	VB	wait
,	,	,
and	CC	and
it	PP	it
'	POS	'
d	NN	d
be	VB	be
midnight	NN	midnight
and	CC	and
you	PP	you
'	POS	'
d	NN	d
be	VB	be
still	RB	still
sitting	VBG	sit
there	RB	there
on	IN	on
the	DT	the
piano	NN	piano
,	,	,
but	CC	but
it	PP	it
was	VBD	be
their	PP$	their
way	NN	way
to	TO	to
get	VB	get
us	PP	us
to	TO	to
practice	VB	practice
.	SENT	.
Will	MD	will
we	PP	we
play	VB	play
a	DT	a
tune	NN	tune
?	SENT	?
NM	NP	NM
:	:	:
It	PP	it
worked	VBD	work
.	SENT	.
DL	NN	DL
:	:	:
It	PP	it
worked	VBD	work
.	SENT	.
Sorry	RB	sorry
,	,	,
I	PP	I
hate	VBP	hate
to	TO	to
carry	VB	carry
on	RP	on
.	SENT	.
.	SENT	.
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
our	PP$	our
last	JJ	last
number	NN	number
,	,	,
and	CC	and
we	PP	we
'	POS	'
ll	NNS	<unknown>
feature	VBP	feature
Nat	NP	Nat
on	IN	on
piano	NN	piano
.	SENT	.
Okay	RB	okay
,	,	,
play	VBP	play
in	IN	in
,	,	,
how	WRB	how
about	RB	about
A	DT	a
?	SENT	?
