Bigger	JJR	big
trillion	CD	trillion
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
go	VB	go
back	RB	back
to	TO	to
sleep	VB	sleep
.	SENT	.
"	``	"
And	CC	and
I	PP	I
get	VBP	get
it	PP	it
!	SENT	!
Your	PP$	your
bed	NN	bed
is	VBZ	be
comfortable	JJ	comfortable
!	SENT	!
It	PP	it
'	POS	'
s	NN	S
cosy	NN	cosy
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
warm	JJ	warm
!	SENT	!
If	IN	if
you	PP	you
'	POS	'
re	NN	re
lucky	JJ	lucky
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
somebody	NN	somebody
that	IN	that
you	PP	you
love	VBP	love
next	JJ	next
to	TO	to
you	PP	you
,	,	,
or	CC	or
in	IN	in
my	PP$	my
case	NN	case
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
got	VBD	get
my	PP$	my
husband	NN	husband
and	CC	and
my	PP$	my
two	CD	two
kids	NNS	kid
and	CC	and
possibly	RB	possibly
the	DT	the
dog	NN	dog
.	SENT	.
And	CC	and
the	DT	the
reason	NN	reason
why	WRB	why
I	PP	I
'	POS	'
m	NN	m
bringing	VBG	bring
up	RP	up
this	DT	this
first	JJ	first
decision	NN	decision
that	IN	that
you	PP	you
made	VBD	make
today	NN	today
,	,	,
and	CC	and
the	DT	the
inner	JJ	inner
snooze	NN	snooze
alarm	NN	alarm
,	,	,
is	VBZ	be
because	IN	because
in	IN	in
any	DT	any
area	NN	area
of	IN	of
your	PP$	your
life	NN	life
that	IN	that
you	PP	you
want	VBP	want
to	TO	to
change	VB	change
,	,	,
any	DT	any
â	NP	<unknown>
there	RB	there
'	POS	'
s	NN	S
one	CD	one
fact	NN	fact
that	IN	that
you	PP	you
need	VBP	need
to	TO	to
know	VB	know
.	SENT	.
This	DT	this
one	CD	one
:	:	:
You	PP	you
are	VBP	be
never	RB	never
going	VBG	go
to	TO	to
feel	VB	feel
like	IN	like
it	PP	it
.	SENT	.
Ever	RB	ever
.	SENT	.
No	DT	no
one	CD	one
'	POS	'
s	NN	S
coming	VBG	come
,	,	,
motivation	NN	motivation
isn	NN	isn
'	POS	'
t	NN	t
happening	NN	happening
,	,	,
you	PP	you
'	POS	'
re	NN	re
never	RB	never
going	VBG	go
to	TO	to
feel	VB	feel
like	IN	like
it	PP	it
.	SENT	.
Scientists	NNS	scientist
call	VBP	call
it	PP	it
activation	NN	activation
energy	NN	energy
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
they	PP	they
call	VBP	call
the	DT	the
force	NN	force
required	VBN	require
to	TO	to
get	VB	get
you	PP	you
to	TO	to
change	VB	change
from	IN	from
what	WP	what
you	PP	you
'	POS	'
re	NN	re
doing	VBG	do
on	IN	on
autopilot	NN	autopilot
to	TO	to
do	VB	do
something	NN	something
new	JJ	new
.	SENT	.
So	RB	so
try	VB	try
this	DT	this
test	NN	test
tomorrow	NN	tomorrow
.	SENT	.
You	PP	you
think	VBP	think
you	PP	you
'	''	'
re	IN	re
so	RB	so
fancy	JJ	fancy
,	,	,
I	PP	I
know	VBP	know
,	,	,
you	PP	you
'	POS	'
re	NN	re
attending	VBG	attend
TED	VB	ted
.	SENT	.
Try	VB	try
this	DT	this
.	SENT	.
Tomorrow	NN	tomorrow
morning	NN	morning
,	,	,
set	VBD	set
your	PP$	your
alarm	NN	alarm
for	IN	for
thirty	CD	thirty
minutes	NNS	minute
earlier	RBR	earlier
.	SENT	.
And	CC	and
then	RB	then
when	WRB	when
it	PP	it
goes	VBZ	go
off	RP	off
,	,	,
take	VB	take
those	DT	those
sheets	NNS	sheet
,	,	,
throw	VB	throw
them	PP	them
off	RP	off
,	,	,
and	CC	and
stand	VB	stand
up	RP	up
and	CC	and
start	VB	start
your	PP$	your
day	NN	day
.	SENT	.
No	DT	no
snooze	NN	snooze
,	,	,
no	DT	no
delay	NN	delay
,	,	,
no	RB	no
,	,	,
"	''	"
I	NP	I
'	POS	'
ll	NNS	<unknown>
just	RB	just
wait	VBP	wait
here	RB	here
for	IN	for
five	CD	five
seconds	NNS	second
because	IN	because
Mel	NP	Mel
'	POS	'
s	NN	S
not	RB	not
standing	VBG	stand
here	RB	here
"	''	"
â	NP	<unknown>
Do	NP	Do
it	PP	it
.	SENT	.
And	CC	and
the	DT	the
reason	NN	reason
why	WRB	why
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
do	VB	do
it	PP	it
is	VBZ	be
because	IN	because
you	PP	you
will	MD	will
come	VB	come
face	NN	face
to	TO	to
face	VB	face
with	IN	with
the	DT	the
physical	JJ	physical
,	,	,
and	CC	and
I	PP	I
mean	VBP	mean
physical	JJ	physical
force	NN	force
that	RB	that
'	POS	'
s	NN	S
required	VBD	require
to	TO	to
change	VB	change
your	PP$	your
behavior	NN	behavior
.	SENT	.
Do	VBP	do
you	PP	you
think	VBP	think
that	IN	that
somebody	NN	somebody
who	WP	who
needs	VBZ	need
to	TO	to
lose	VB	lose
weight	NN	weight
ever	RB	ever
feels	VBZ	feel
like	IN	like
going	VBG	go
on	IN	on
a	DT	a
diet	NN	diet
?	SENT	?
Of	IN	of
course	NN	course
not	RB	not
!	SENT	!
You	PP	you
think	VBP	think
they	PP	they
ever	RB	ever
feel	VBP	feel
like	IN	like
eating	VBG	eat
boiled	VBN	boil
chicken	NN	chicken
and	CC	and
peas	NNS	pea
instead	RB	instead
of	IN	of
a	DT	a
croissant	NN	croissant
?	SENT	?
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
so	RB	so
!	SENT	!
The	DT	the
activation	NN	activation
energy	NN	energy
required	VBN	require
to	TO	to
get	VB	get
your	PP$	your
ass	NN	ass
away	RB	away
from	IN	from
your	PP$	your
computer	NN	computer
and	CC	and
out	IN	out
the	DT	the
front	JJ	front
door	NN	door
,	,	,
to	TO	to
go	VB	go
on	IN	on
the	DT	the
walk	NN	walk
,	,	,
you	PP	you
said	VBD	say
that	IN	that
you	PP	you
were	VBD	be
going	VBG	go
to	TO	to
go	VB	go
on	IN	on
,	,	,
is	VBZ	be
the	DT	the
exact	JJ	exact
same	JJ	same
amount	NN	amount
of	IN	of
force	NN	force
that	IN	that
it	PP	it
takes	VBZ	take
you	PP	you
to	TO	to
push	VB	push
yourself	PP	yourself
out	RP	out
of	IN	of
a	DT	a
warm	JJ	warm
bed	NN	bed
and	CC	and
into	IN	into
a	DT	a
cold	JJ	cold
room	NN	room
.	SENT	.
What	WP	what
'	POS	'
s	NNS	<unknown>
interesting	JJ	interesting
about	IN	about
being	VBG	be
an	DT	an
adult	NN	adult
is	VBZ	be
that	IN	that
when	WRB	when
you	PP	you
become	VBP	become
eighteen	CD	eighteen
,	,	,
nobody	NN	nobody
tells	VBZ	tell
you	PP	you
that	IN	that
it	PP	it
'	POS	'
s	NN	S
now	RB	now
going	VBG	go
to	TO	to
be	VB	be
your	PP$	your
job	NN	job
to	TO	to
parent	NN	parent
yourself	PP	yourself
.	SENT	.
And	CC	and
by	IN	by
"	``	"
parent	JJ	parent
yourself	PP	yourself
"	''	"
,	,	,
I	PP	I
mean	VBP	mean
it	PP	it
'	''	'
s	VBG	<unknown>
your	PP$	your
job	NN	job
to	TO	to
make	VB	make
yourself	PP	yourself
do	VB	do
the	DT	the
crap	NN	crap
you	PP	you
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
do	VB	do
,	,	,
so	RB	so
you	PP	you
can	MD	can
be	VB	be
everything	NN	everything
that	IN	that
you	PP	you
'	POS	'
re	NN	re
supposed	VBN	suppose
to	TO	to
be	VB	be
.	SENT	.
And	CC	and
you	PP	you
'	POS	'
re	NN	re
so	RB	so
damn	RB	damn
busy	JJ	busy
waiting	VBG	wait
to	TO	to
feel	VB	feel
like	IN	like
it	PP	it
.	SENT	.
And	CC	and
you	PP	you
'	POS	'
re	NN	re
never	RB	never
going	VBG	go
to	TO	to
!	SENT	!
My	PP$	my
son	NN	son
never	RB	never
feels	VBZ	feel
like	IN	like
getting	VBG	get
off	RP	off
his	PP$	his
DS	NP	DS
.	SENT	.
That	IN	that
'	''	'
s	VBG	<unknown>
my	PP$	my
job	NN	job
!	SENT	!
Get	VB	get
off	RP	off
the	DT	the
damn	JJ	damn
DS	NP	DS
!	SENT	!
Kendall	NP	Kendall
,	,	,
clean	VB	clean
up	RP	up
the	DT	the
Barbies	NNS	Barby
!	SENT	!
If	IN	if
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
have	VB	have
a	DT	a
nude	JJ	nude
party	NN	party
in	IN	in
my	PP$	my
bathroom	NN	bathroom
,	,	,
at	IN	at
least	JJS	least
clean	VB	clean
it	PP	it
up	RP	up
!	SENT	!
God	NP	God
,	,	,
chew	NN	chew
with	IN	with
your	PP$	your
mouth	NN	mouth
closed	VBD	close
!	SENT	!
We	PP	we
'	''	'
re	IN	re
not	RB	not
a	DT	a
barn	NN	barn
,	,	,
for	IN	for
crying	VBG	cry
out	RP	out
loud	RB	loud
!	SENT	!
Alright	RB	alright
,	,	,
dinner	NN	dinner
is	VBZ	be
coming	VBG	come
,	,	,
get	VB	get
out	RP	out
of	IN	of
the	DT	the
pantry	NN	pantry
.	SENT	.
As	IN	as
parents	NNS	parent
,	,	,
and	CC	and
you	PP	you
were	VBD	be
a	DT	a
kid	NN	kid
,	,	,
your	PP$	your
parents	NNS	parent
make	VBP	make
you	PP	you
do	VBP	do
the	DT	the
things	NNS	thing
you	PP	you
don	VBP	don
'	''	'
t	NN	t
feel	VBP	feel
like	IN	like
doing	VBG	do
.	SENT	.
Because	IN	because
you	PP	you
won	VBD	win
'	''	'
t	NN	t
.	SENT	.
Ever	RB	ever
.	SENT	.
Not	RB	not
now	RB	now
,	,	,
not	RB	not
then	RB	then
,	,	,
not	RB	not
ever	RB	ever
!	SENT	!
And	CC	and
even	RB	even
when	WRB	when
you	PP	you
get	VBP	get
good	JJ	good
at	IN	at
something	NN	something
,	,	,
you	PP	you
'	POS	'
ll	JJ	<unknown>
figure	NN	figure
out	IN	out
something	NN	something
else	RB	else
you	PP	you
don	VB	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
do	VB	do
.	SENT	.
And	CC	and
then	RB	then
you	PP	you
'	POS	'
ll	JJ	<unknown>
plateau	NN	plateau
out	RP	out
,	,	,
get	VB	get
bored	VBN	bore
,	,	,
"	``	"
I	PP	I
hate	VBP	hate
this	DT	this
job	NN	job
.	SENT	.
Blah	JJ	blah
blah	JJ	blah
boring	NN	boring
.	SENT	.
"	''	"
But	CC	but
will	MD	will
you	PP	you
look	VB	look
for	IN	for
a	DT	a
new	JJ	new
one	CD	one
?	SENT	?
No	RB	no
!	SENT	!
You	PP	you
'	POS	'
ll	NNS	<unknown>
just	RB	just
bitch	VBP	bitch
about	IN	about
that	WDT	that
one	CD	one
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
very	RB	very
,	,	,
very	RB	very
simple	JJ	simple
to	TO	to
get	VB	get
what	WP	what
you	PP	you
want	VBP	want
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
not	RB	not
easy	JJ	easy
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
force	VB	force
yourself	PP	yourself
.	SENT	.
And	CC	and
I	PP	I
mean	VBP	mean
force	NN	force
.	SENT	.
And	CC	and
the	DT	the
reason	NN	reason
why	WRB	why
I	PP	I
use	VBP	use
the	DT	the
word	NN	word
"	``	"
force	NN	force
"	''	"
â	NP	<unknown>
when	WRB	when
Roz	NP	Roz
was	VBD	be
up	RB	up
here	RB	here
and	CC	and
talking	VBG	talk
about	IN	about
the	DT	the
emotion	NN	emotion
tracking	NN	tracking
,	,	,
and	CC	and
she	PP	she
had	VBD	have
the	DT	the
picture	NN	picture
of	IN	of
two	CD	two
sides	NNS	side
of	IN	of
the	DT	the
brain	NN	brain
â	NP	<unknown>
I	NP	I
look	NN	look
at	IN	at
the	DT	the
brain	NN	brain
the	DT	the
exact	JJ	exact
same	JJ	same
way	NN	way
.	SENT	.
Only	RB	only
I	PP	I
describe	VBP	describe
one	CD	one
side	NN	side
of	IN	of
your	PP$	your
brain	NN	brain
as	IN	as
autopilot	NN	autopilot
and	CC	and
the	DT	the
other	JJ	other
side	NN	side
as	IN	as
emergency	NN	emergency
brake	NN	brake
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
the	DT	the
only	JJ	only
two	CD	two
speeds	NNS	speed
you	PP	you
get	VBP	get
:	:	:
autopilot	NN	autopilot
,	,	,
emergency	NN	emergency
brake	NN	brake
.	SENT	.
And	CC	and
guess	VB	guess
which	WDT	which
one	CD	one
your	PP$	your
brain	NN	brain
likes	VBZ	like
better	RBR	well
:	:	:
autopilot	NN	autopilot
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
had	VBD	have
the	DT	the
experience	NN	experience
where	WRB	where
you	PP	you
'	POS	'
ve	NNS	<unknown>
driven	VBN	drive
to	TO	to
work	VB	work
and	CC	and
you	PP	you
get	VBP	get
there	RB	there
and	CC	and
you	PP	you
'	POS	'
re	NN	re
like	IN	like
,	,	,
"	``	"
Oh	UH	oh
my	PP$	my
God	NP	God
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
remember	VBP	remember
ever	RB	ever
driving	VBG	drive
here	RB	here
.	SENT	.
"	``	"
You	PP	you
weren	NNS	<unknown>
'	POS	'
t	NN	t
drunk	NN	drunk
!	SENT	!
That	DT	that
was	VBD	be
your	PP$	your
brain	NN	brain
on	IN	on
autopilot	NN	autopilot
.	SENT	.
It	PP	it
was	VBD	be
functioning	VBG	function
just	RB	just
at	IN	at
this	DT	this
level	NN	level
.	SENT	.
And	CC	and
the	DT	the
problem	NN	problem
with	IN	with
your	PP$	your
mind	NN	mind
is	VBZ	be
that	IN	that
anytime	RB	anytime
you	PP	you
do	VBP	do
anything	NN	anything
that	RB	that
'	POS	'
s	NNS	<unknown>
different	JJ	different
from	IN	from
your	PP$	your
normal	JJ	normal
routine	NN	routine
,	,	,
guess	VBP	guess
what	WP	what
your	PP$	your
brain	NN	brain
does	VBZ	do
â	NP	<unknown>
emergency	NN	emergency
brake	NN	brake
!	SENT	!
And	CC	and
it	PP	it
has	VBZ	have
that	DT	that
reaction	NN	reaction
for	IN	for
everything	NN	everything
.	SENT	.
Everything	NN	everything
!	SENT	!
You	PP	you
walk	VBP	walk
into	IN	into
the	DT	the
kitchen	NN	kitchen
and	CC	and
see	VB	see
everybody	NN	everybody
'	POS	'
s	NN	S
left	VBD	leave
their	PP$	their
breakfast	NN	breakfast
dishes	NNS	dish
for	IN	for
you	PP	you
.	SENT	.
And	CC	and
you	PP	you
think	VBP	think
for	IN	for
the	DT	the
hundredth	JJ	hundredth
time	NN	time
,	,	,
"	''	"
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
kill	VB	kill
them	PP	them
.	SENT	.
In	IN	in
fact	NN	fact
I	NP	I
'	POS	'
m	NN	m
gonna	VBG	gonna
leave	NN	leave
it	PP	it
here	RB	here
and	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
make	VB	make
them	PP	them
do	VB	do
it	PP	it
.	SENT	.
"	''	"
But	CC	but
that	IN	that
'	POS	'
s	NNS	<unknown>
not	RB	not
your	PP$	your
normal	JJ	normal
routine	NN	routine
,	,	,
is	VBZ	be
it	PP	it
?	SENT	?
So	IN	so
your	PP$	your
mind	NN	mind
goes	VBZ	go
:	:	:
emergency	NN	emergency
brake	NN	brake
!	SENT	!
And	CC	and
you	PP	you
go	VBP	go
right	RB	right
into	IN	into
autopilot	NN	autopilot
.	SENT	.
"	''	"
I	NP	I
'	POS	'
ll	NNS	<unknown>
just	RB	just
load	VB	load
it	PP	it
,	,	,
and	CC	and
be	VB	be
pissed	VBN	piss
,	,	,
and	CC	and
then	RB	then
not	RB	not
have	VB	have
sex	NN	sex
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
do	VB	do
.	SENT	.
"	''	"
So	RB	so
,	,	,
when	WRB	when
I	PP	I
say	VBP	say
"	``	"
force	NN	force
"	''	"
,	,	,
anything	NN	anything
that	RB	that
'	POS	'
s	NNS	<unknown>
a	DT	a
break	NN	break
from	IN	from
your	PP$	your
routine	NN	routine
is	VBZ	be
going	VBG	go
to	TO	to
require	VB	require
force	NN	force
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
think	VBP	think
about	IN	about
your	PP$	your
life	NN	life
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
funny	JJ	funny
because	IN	because
we	PP	we
are	VBP	be
kids	NNS	kid
and	CC	and
then	RB	then
we	PP	we
become	VBP	become
adults	NNS	adult
,	,	,
and	CC	and
we	PP	we
spend	VBP	spend
so	RB	so
much	JJ	much
time	NN	time
trying	VBG	try
to	TO	to
push	VB	push
our	PP$	our
life	NN	life
into	IN	into
some	DT	some
sort	NN	sort
of	IN	of
stable	JJ	stable
routine	NN	routine
,	,	,
and	CC	and
then	RB	then
we	PP	we
grow	VBP	grow
bored	VBN	bore
of	IN	of
it	PP	it
!	SENT	!
You	PP	you
wake	VBP	wake
up	RP	up
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
every	DT	every
day	NN	day
,	,	,
you	PP	you
have	VBP	have
largely	RB	largely
the	DT	the
same	JJ	same
breakfast	NN	breakfast
,	,	,
you	PP	you
drive	VBP	drive
to	TO	to
work	VB	work
the	DT	the
same	JJ	same
way	NN	way
,	,	,
show	VBP	show
up	RP	up
at	IN	at
work	NN	work
,	,	,
look	VBP	look
busy	JJ	busy
,	,	,
avoid	VB	avoid
making	VBG	make
calls	NNS	call
,	,	,
update	NN	update
Facebook	NN	<unknown>
,	,	,
you	PP	you
attend	VBP	attend
a	DT	a
meeting	NN	meeting
and	CC	and
doodle	VB	doodle
the	DT	the
whole	JJ	whole
time	NN	time
,	,	,
go	VB	go
back	RB	back
and	CC	and
update	VB	update
Facebook	NN	<unknown>
,	,	,
make	VB	make
plans	NNS	plan
for	IN	for
the	DT	the
evening	NN	evening
,	,	,
you	PP	you
look	VBP	look
busy	JJ	busy
some	DT	some
more	JJR	more
,	,	,
then	RB	then
drive	VB	drive
home	RB	home
the	DT	the
same	JJ	same
way	NN	way
,	,	,
you	PP	you
eat	VBP	eat
largely	RB	largely
the	DT	the
same	JJ	same
dinner	NN	dinner
or	CC	or
a	DT	a
variety	NN	variety
of	IN	of
it	PP	it
,	,	,
you	PP	you
watch	VBP	watch
the	DT	the
same	JJ	same
kind	NN	kind
of	IN	of
media	NNS	medium
,	,	,
and	CC	and
then	RB	then
you	PP	you
go	VBP	go
to	TO	to
bed	VB	bed
,	,	,
and	CC	and
do	VBP	do
the	DT	the
same	JJ	same
thing	NN	thing
all	RB	all
over	IN	over
again	RB	again
!	SENT	!
No	DT	no
wonder	VBP	wonder
you	PP	you
'	''	'
re	IN	re
bored	VBN	bore
out	RP	out
of	IN	of
your	PP$	your
mind	NN	mind
!	SENT	!
It	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
routine	NN	routine
that	RB	that
'	POS	'
s	NN	S
killing	VBG	kill
you	PP	you
.	SENT	.
I	PP	I
have	VBP	have
this	DT	this
theory	NN	theory
about	IN	about
why	WRB	why
people	NNS	people
get	VBP	get
stuck	VBN	stick
in	IN	in
life	NN	life
.	SENT	.
So	RB	so
,	,	,
most	JJS	most
of	IN	of
you	PP	you
'	POS	'
ve	NN	ve
probably	RB	probably
taken	VBN	take
your	PP$	your
Basic	NP	Basic
Psych	VBP	psych
101	CD	@card@
class	NN	class
,	,	,
and	CC	and
you	PP	you
'	POS	'
ve	NN	ve
bumped	VBD	bump
into	IN	into
Abraham	NP	Abraham
Maslow	NP	Maslow
'	POS	'
s	NN	S
"	``	"
Hierarchy	NN	hierarchy
of	IN	of
Needs	NNS	need
"	''	"
?	SENT	?
Well	RB	well
,	,	,
your	PP$	your
body	NN	body
is	VBZ	be
kinda	RB	kinda
cool	JJ	cool
.	SENT	.
Because	IN	because
you	PP	you
have	VBP	have
these	DT	these
basic	JJ	basic
needs	NNS	need
.	SENT	.
And	CC	and
your	PP$	your
body	NN	body
is	VBZ	be
wired	VBN	wire
to	TO	to
send	VB	send
you	PP	you
signals	VBZ	signal
.	SENT	.
If	IN	if
you	PP	you
need	VBP	need
food	NN	food
,	,	,
what	WP	what
do	VBP	do
you	PP	you
feel	VBP	feel
?	SENT	?
If	IN	if
you	PP	you
need	VBP	need
water	NN	water
,	,	,
what	WP	what
do	VBP	do
you	PP	you
feel	VBP	feel
?	SENT	?
If	IN	if
you	PP	you
need	VBP	need
sex	NN	sex
,	,	,
what	WP	what
do	VBP	do
you	PP	you
feel	VBP	feel
?	SENT	?
Thank	VB	thank
you	PP	you
.	SENT	.
I	PP	I
think	VBP	think
when	WRB	when
you	PP	you
feel	VBP	feel
stuck	VBN	stick
or	CC	or
dissatisfied	VBN	dissatisfy
in	IN	in
your	PP$	your
life	NN	life
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
signal	NN	signal
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
a	DT	a
signal	NN	signal
that	IN	that
your	PP$	your
life	NN	life
is	VBZ	be
broken	VBN	break
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
signal	NN	signal
that	IN	that
one	CD	one
of	IN	of
your	PP$	your
most	RBS	most
basic	JJ	basic
needs	NNS	need
are	VBP	be
not	RB	not
being	VBG	be
met	VBN	meet
.	SENT	.
Your	PP$	your
need	NN	need
for	IN	for
exploration	NN	exploration
.	SENT	.
Everything	NN	everything
about	IN	about
your	PP$	your
life	NN	life
,	,	,
about	IN	about
your	PP$	your
body	NN	body
,	,	,
grows	VBZ	grow
!	SENT	!
Your	PP$	your
cells	NNS	cell
regenerate	VB	regenerate
,	,	,
your	PP$	your
hair	NN	hair
,	,	,
your	PP$	your
nails	NNS	nail
,	,	,
everything	NN	everything
grows	VBZ	grow
for	IN	for
your	PP$	your
entire	JJ	entire
life	NN	life
.	SENT	.
And	CC	and
your	PP$	your
soul	NN	soul
needs	VBZ	need
exploration	NN	exploration
and	CC	and
growth	NN	growth
.	SENT	.
And	CC	and
the	DT	the
only	JJ	only
way	NN	way
you	PP	you
'	POS	'
ll	NNS	<unknown>
get	VBP	get
it	PP	it
is	VBZ	be
by	IN	by
forcing	VBG	force
yourself	PP	yourself
to	TO	to
be	VB	be
uncomfortable	JJ	uncomfortable
.	SENT	.
Forcing	VBG	force
yourself	PP	yourself
to	TO	to
get	VB	get
outside	JJ	outside
,	,	,
out	RB	out
of	IN	of
your	PP$	your
head	NN	head
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
If	IN	if
you	PP	you
'	POS	'
re	NN	re
in	IN	in
your	PP$	your
head	NN	head
,	,	,
you	PP	you
'	POS	'
re	NN	re
behind	IN	behind
enemy	NN	enemy
lines	NNS	line
.	SENT	.
That	DT	that
is	VBZ	be
not	RB	not
God	NP	God
talking	NN	talking
,	,	,
okay	JJ	okay
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
not	RB	not
!	SENT	!
In	IN	in
fact	NN	fact
,	,	,
if	IN	if
I	PP	I
put	VBD	put
a	DT	a
speaker	NN	speaker
on	IN	on
it	PP	it
and	CC	and
we	PP	we
broadcast	VBD	broadcast
what	WP	what
you	PP	you
say	VBP	say
to	TO	to
yourself	PP	yourself
,	,	,
we	PP	we
would	MD	would
institutionalize	VB	institutionalize
you	PP	you
.	SENT	.
You	PP	you
would	MD	would
not	RB	not
hang	VB	hang
out	RP	out
with	IN	with
people	NNS	people
that	WDT	that
talk	VBP	talk
to	TO	to
you	PP	you
the	DT	the
way	NN	way
you	PP	you
talk	VBP	talk
to	TO	to
yourself	PP	yourself
.	SENT	.
So	RB	so
get	VB	get
out	RP	out
of	IN	of
your	PP$	your
head	NN	head
!	SENT	!
Your	PP$	your
feelings	NNS	feeling
!	SENT	!
Your	PP$	your
feelings	NNS	feeling
are	VBP	be
screwing	VBG	screw
you	PP	you
!	SENT	!
I	PP	I
don	VBP	don
'	''	'
t	NN	t
care	NN	care
how	WRB	how
you	PP	you
feel	VBP	feel
!	SENT	!
I	PP	I
care	VBP	care
about	RB	about
what	WP	what
you	PP	you
want	VBP	want
!	SENT	!
And	CC	and
if	IN	if
you	PP	you
listen	VB	listen
to	TO	to
how	WRB	how
you	PP	you
feel	VBP	feel
,	,	,
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
what	WP	what
you	PP	you
want	VBP	want
â	NP	<unknown>
you	PP	you
will	MD	will
not	RB	not
get	VB	get
it	PP	it
.	SENT	.
Because	IN	because
you	PP	you
will	MD	will
never	RB	never
feel	VB	feel
like	IN	like
it	PP	it
.	SENT	.
And	CC	and
you	PP	you
need	VBP	need
to	TO	to
get	VB	get
outside	IN	outside
your	PP$	your
comfort	NN	comfort
zone	NN	zone
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
about	IN	about
taking	VBG	take
risks	NNS	risk
,	,	,
it	PP	it
'	POS	'
s	NN	S
about	IN	about
getting	VBG	get
outside	IN	outside
your	PP$	your
comfort	NN	comfort
zone	NN	zone
.	SENT	.
Those	DT	those
first	JJ	first
three	CD	three
seconds	NNS	second
when	WRB	when
you	PP	you
push	VBP	push
yourself	PP	yourself
out	RP	out
of	IN	of
bed	NN	bed
,	,	,
they	PP	they
blow	VBP	blow
.	SENT	.
But	CC	but
once	IN	once
you	PP	you
'	POS	'
re	NN	re
up	RB	up
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
great	JJ	great
.	SENT	.
Those	DT	those
first	JJ	first
three	CD	three
seconds	NNS	second
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
sitting	VBG	sit
here	RB	here
in	IN	in
a	DT	a
stadium	NN	stadium
like	IN	like
this	DT	this
and	CC	and
somebody	NN	somebody
says	VBZ	say
,	,	,
"	``	"
Get	VB	get
up	RP	up
and	CC	and
come	VB	come
dance	NN	dance
,	,	,
"	``	"
and	CC	and
you	PP	you
think	VBP	think
,	,	,
"	``	"
Oh	UH	oh
,	,	,
I	PP	I
should	MD	should
do	VB	do
that	IN	that
,	,	,
"	``	"
and	CC	and
then	RB	then
you	PP	you
'	POS	'
re	NN	re
like	IN	like
,	,	,
"	''	"
Uhmm	NP	<unknown>
.	SENT	.
"	``	"
That	DT	that
experience	NN	experience
that	IN	that
you	PP	you
had	VBN	have
when	WRB	when
you	PP	you
had	VBD	have
the	DT	the
impulse	NN	impulse
to	TO	to
do	VB	do
it	PP	it
and	CC	and
then	RB	then
you	PP	you
didn	NP	<unknown>
'	POS	'
t	NN	t
do	VBP	do
the	DT	the
activation	NN	activation
energy	NN	energy
required	VBN	require
to	TO	to
force	VB	force
yourself	PP	yourself
,	,	,
your	PP$	your
emergency	NN	emergency
brake	NN	brake
got	VBD	get
pulled	VBN	pull
â	NP	<unknown>
"	''	"
I	NP	I
'	POS	'
m	NN	m
sitting	VBG	sit
right	RB	right
here	RB	here
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
up	RP	up
with	IN	with
those	DT	those
crazy	JJ	crazy
people	NNS	people
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
like	VBP	like
to	TO	to
dance	VB	dance
.	SENT	.
.	SENT	.
.	SENT	.
"	``	"
What	WP	what
happened	VBD	happen
for	IN	for
me	PP	me
is	VBZ	be
I	PP	I
came	VBD	come
up	RP	up
,	,	,
and	CC	and
