Shall	MD	shall
doing	VBG	do
the	DT	the
same	JJ	same
thing	NN	thing
.	SENT	.
The	DT	the
dome	NN	dome
,	,	,
that	DT	that
little	JJ	little
dome	NN	dome
,	,	,
is	VBZ	be
growing	VBG	grow
really	RB	really
fast	RB	fast
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
inflating	VBG	inflate
very	RB	very
fast	RB	fast
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
interesting	JJ	interesting
is	VBZ	be
the	DT	the
spike	NN	spike
on	IN	on
the	DT	the
back	NN	back
of	IN	of
the	DT	the
Dracorex	NP	<unknown>
was	VBD	be
growing	VBG	grow
very	RB	very
fast	RB	fast
as	IN	as
well	RB	well
.	SENT	.
The	DT	the
spikes	NNS	spike
on	IN	on
the	DT	the
back	NN	back
of	IN	of
the	DT	the
Stygimoloch	NP	Stygimoloch
are	VBP	be
actually	RB	actually
resorbing	VBG	resorb
,	,	,
which	WDT	which
means	VBZ	mean
they	PP	they
'	''	'
re	IN	re
getting	VBG	get
smaller	JJR	small
as	IN	as
that	DT	that
dome	NN	dome
is	VBZ	be
getting	VBG	get
bigger	JJR	big
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
look	VBP	look
at	IN	at
Pachycephalosaurus	NP	<unknown>
,	,	,
Pachycephalosaurus	NP	<unknown>
has	VBZ	have
a	DT	a
solid	JJ	solid
dome	NN	dome
and	CC	and
its	PP$	its
little	JJ	little
bumps	NNS	bump
on	IN	on
the	DT	the
back	NN	back
of	IN	of
its	PP$	its
head	NN	head
were	VBD	be
also	RB	also
resorbing	VBG	resorb
.	SENT	.
So	RB	so
just	RB	just
with	IN	with
these	DT	these
three	CD	three
dinosaurs	NNS	dinosaur
,	,	,
as	IN	as
a	DT	a
scientist	NN	scientist
,	,	,
we	PP	we
can	MD	can
easily	RB	easily
hypothesize	VB	hypothesize
that	IN	that
it	PP	it
is	VBZ	be
just	RB	just
a	DT	a
growth	NN	growth
series	NN	series
of	IN	of
the	DT	the
same	JJ	same
animal	NN	animal
.	SENT	.
Which	WDT	which
of	IN	of
course	NN	course
means	VBZ	mean
that	IN	that
Stygimoloch	NP	Stygimoloch
and	CC	and
Dracorex	NP	<unknown>
are	VBP	be
extinct	JJ	extinct
.	SENT	.
OK	UH	OK
.	SENT	.
Which	WDT	which
of	IN	of
course	NN	course
means	VBZ	mean
we	PP	we
have	VB	have
10	CD	@card@
primary	JJ	primary
dinosaurs	NNS	dinosaur
to	TO	to
deal	VB	deal
with	IN	with
.	SENT	.
So	IN	so
a	DT	a
colleague	NN	colleague
of	IN	of
mine	NN	mine
at	IN	at
Berkeley	NP	Berkeley
—	:	-
he	PP	he
and	CC	and
I	PP	I
were	VBD	be
looking	VBG	look
at	IN	at
Triceratops	NN	triceratops
.	SENT	.
And	CC	and
before	IN	before
the	DT	the
year	NN	year
2000	CD	@card@
—	:	-
now	RB	now
remember	VB	remember
,	,	,
Triceratops	NN	triceratops
was	VBD	be
first	RB	first
found	VBN	find
in	IN	in
the	DT	the
1800s	JJ	<unknown>
—	:	-
before	IN	before
2000	CD	@card@
,	,	,
no	DT	no
one	CD	one
had	VBD	have
ever	RB	ever
seen	VBN	see
a	DT	a
juvenile	JJ	juvenile
Triceratops	NN	triceratops
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
Triceratops	NN	triceratops
in	IN	in
every	DT	every
museum	NN	museum
in	IN	in
the	DT	the
world	NN	world
,	,	,
but	CC	but
no	DT	no
one	CD	one
had	VBD	have
ever	RB	ever
collected	VBN	collect
a	DT	a
juvenile	JJ	juvenile
.	SENT	.
And	CC	and
we	PP	we
know	VBP	know
why	WRB	why
,	,	,
right	RB	right
?	SENT	?
Because	IN	because
everybody	NN	everybody
wants	VBZ	want
to	TO	to
have	VB	have
a	DT	a
big	JJ	big
one	CD	one
.	SENT	.
So	IN	so
everyone	NN	everyone
had	VBD	have
a	DT	a
big	JJ	big
one	CD	one
.	SENT	.
So	RB	so
we	PP	we
went	VBD	go
out	RP	out
and	CC	and
collected	VBD	collect
a	DT	a
whole	JJ	whole
bunch	NN	bunch
of	IN	of
stuff	NN	stuff
and	CC	and
we	PP	we
found	VBD	find
a	DT	a
whole	JJ	whole
bunch	NN	bunch
of	IN	of
little	JJ	little
ones	NNS	one
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
everywhere	RB	everywhere
,	,	,
they	PP	they
'	POS	'
re	NN	re
all	RB	all
over	IN	over
the	DT	the
place	NN	place
.	SENT	.
So	RB	so
we	PP	we
have	VBP	have
a	DT	a
whole	JJ	whole
bunch	NN	bunch
of	IN	of
them	PP	them
at	IN	at
our	PP$	our
museum	NN	museum
.	SENT	.
And	CC	and
everybody	NN	everybody
says	VBZ	say
it	PP	it
'	''	'
s	NN	S
because	IN	because
I	PP	I
have	VBP	have
a	DT	a
little	JJ	little
museum	NN	museum
.	SENT	.
When	WRB	when
you	PP	you
have	VBP	have
a	DT	a
little	JJ	little
museum	NN	museum
,	,	,
you	PP	you
have	VBP	have
little	JJ	little
dinosaurs	NNS	dinosaur
.	SENT	.
If	IN	if
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
Triceratops	NN	triceratops
,	,	,
you	PP	you
can	MD	can
see	VB	see
it	PP	it
'	POS	'
s	NN	S
changing	VBG	change
,	,	,
it	PP	it
'	POS	'
s	NN	S
shape-shifting	NN	<unknown>
.	SENT	.
As	IN	as
the	DT	the
juveniles	NNS	juvenile
are	VBP	be
growing	VBG	grow
up	RP	up
,	,	,
their	PP$	their
horns	NNS	horn
actually	RB	actually
curve	VBP	curve
backwards	RB	backwards
.	SENT	.
And	CC	and
then	RB	then
as	IN	as
they	PP	they
get	VBP	get
older	JJR	old
,	,	,
the	DT	the
horns	NNS	horn
grow	VBP	grow
forward	RB	forward
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
pretty	RB	pretty
cool	JJ	cool
.	SENT	.
If	IN	if
you	PP	you
look	VBP	look
along	IN	along
the	DT	the
edge	NN	edge
of	IN	of
the	DT	the
frill	NN	frill
,	,	,
they	PP	they
have	VBP	have
these	DT	these
little	JJ	little
triangular	JJ	triangular
bones	NNS	bone
that	WDT	that
actually	RB	actually
grow	VBP	grow
big	JJ	big
as	IN	as
triangles	NNS	triangle
and	CC	and
then	RB	then
they	PP	they
flatten	VB	flatten
against	IN	against
the	DT	the
frill	NN	frill
pretty	RB	pretty
much	RB	much
like	IN	like
the	DT	the
spikes	NNS	spike
do	VBP	do
on	IN	on
the	DT	the
Pachycephalosaurs	NNS	<unknown>
.	SENT	.
And	CC	and
then	RB	then
,	,	,
because	IN	because
the	DT	the
juveniles	NNS	juvenile
are	VBP	be
in	IN	in
my	PP$	my
collection	NN	collection
,	,	,
I	PP	I
cut	VBD	cut
them	PP	them
open	JJ	open
.	SENT	.
.	SENT	.
.	SENT	.
and	CC	and
look	VBP	look
inside	RB	inside
.	SENT	.
And	CC	and
the	DT	the
little	JJ	little
one	CD	one
is	VBZ	be
really	RB	really
spongy	JJ	spongy
.	SENT	.
And	CC	and
the	DT	the
middle-size	JJ	middle-size
one	CD	one
is	VBZ	be
really	RB	really
spongy	JJ	spongy
.	SENT	.
But	CC	but
what	WP	what
was	VBD	be
interesting	VBG	interest
was	VBD	be
the	DT	the
adult	NN	adult
Triceratops	NN	triceratops
was	VBD	be
also	RB	also
spongy	JJ	spongy
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
a	DT	a
skull	NN	skull
that	WDT	that
is	VBZ	be
two	CD	two
meters	NNS	meter
long	RB	long
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
big	JJ	big
skull	NN	skull
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
another	DT	another
dinosaur	NN	dinosaur
that	WDT	that
is	VBZ	be
found	VBN	find
in	IN	in
this	DT	this
formation	NN	formation
that	WDT	that
looks	VBZ	look
like	IN	like
a	DT	a
Triceratops	NN	triceratops
,	,	,
except	IN	except
it	PP	it
'	POS	'
s	JJ	<unknown>
bigger	JJR	big
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
called	VBD	call
Torosaurus	NP	<unknown>
.	SENT	.
And	CC	and
Torosaurus	NP	<unknown>
,	,	,
when	WRB	when
we	PP	we
cut	VBD	cut
into	IN	into
it	PP	it
,	,	,
has	VBZ	have
mature	JJ	mature
bone	NN	bone
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
got	VBD	get
these	DT	these
big	JJ	big
holes	NNS	hole
in	IN	in
its	PP$	its
shield	NN	shield
.	SENT	.
And	CC	and
everybody	NN	everybody
says	VBZ	say
,	,	,
"	``	"
A	DT	a
Triceratops	NN	triceratops
and	CC	and
a	DT	a
Torosaurus	NP	<unknown>
can	NN	can
'	POS	'
t	NN	t
possibly	RB	possibly
be	VB	be
the	DT	the
same	JJ	same
animal	NN	animal
because	IN	because
one	CD	one
of	IN	of
them	PP	them
'	POS	'
s	JJ	<unknown>
bigger	JJR	big
than	IN	than
the	DT	the
other	JJ	other
one	CD	one
.	SENT	.
"	''	"
"	``	"
And	CC	and
it	PP	it
has	VBZ	have
holes	NNS	hole
in	IN	in
its	PP$	its
frill	NN	frill
.	SENT	.
"	``	"
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
Well	UH	well
do	VB	do
we	PP	we
have	VBP	have
any	DT	any
juvenile	JJ	juvenile
Torosauruses	NNS	Torosaurus
?	SENT	?
"	``	"
And	CC	and
they	PP	they
said	VBD	say
,	,	,
"	``	"
Well	UH	well
,	,	,
no	UH	no
,	,	,
but	CC	but
it	PP	it
has	VBZ	have
holes	NNS	hole
in	IN	in
its	PP$	its
frill	NN	frill
.	SENT	.
"	''	"
So	RB	so
one	CD	one
of	IN	of
my	PP$	my
graduate	JJ	graduate
students	NNS	student
,	,	,
John	NP	John
Scannella	NP	Scannella
,	,	,
looked	VBD	look
through	IN	through
our	PP$	our
whole	JJ	whole
collection	NN	collection
and	CC	and
he	PP	he
actually	RB	actually
discovered	VBD	discover
that	IN	that
the	DT	the
hole	NN	hole
starting	VBG	start
to	TO	to
form	VB	form
in	IN	in
Triceratops	NN	triceratops
and	CC	and
,	,	,
of	IN	of
course	NN	course
it	PP	it
'	POS	'
s	NNS	<unknown>
open	JJ	open
,	,	,
in	IN	in
Torosaurus	NP	<unknown>
—	:	-
so	RB	so
he	PP	he
found	VBD	find
the	DT	the
transitional	JJ	transitional
ones	NNS	one
between	IN	between
Triceratops	NN	triceratops
and	CC	and
Torosaurus	NP	<unknown>
,	,	,
which	WDT	which
was	VBD	be
pretty	RB	pretty
cool	JJ	cool
.	SENT	.
So	RB	so
now	RB	now
we	PP	we
know	VBP	know
that	IN	that
Torosaurus	NP	<unknown>
is	VBZ	be
actually	RB	actually
a	DT	a
grown-up	JJ	grown-up
Triceratops	NN	triceratops
.	SENT	.
Now	RB	now
when	WRB	when
we	PP	we
name	VBP	name
dinosaurs	NNS	dinosaur
,	,	,
when	WRB	when
we	PP	we
name	VBP	name
anything	NN	anything
,	,	,
the	DT	the
original	JJ	original
name	NN	name
gets	VBZ	get
to	TO	to
stick	VB	stick
and	CC	and
the	DT	the
second	JJ	second
name	NN	name
is	VBZ	be
thrown	VBN	throw
out	RP	out
.	SENT	.
So	RB	so
Torosaurus	NP	<unknown>
is	VBZ	be
extinct	JJ	extinct
.	SENT	.
Triceratops	NN	triceratops
,	,	,
if	IN	if
you	PP	you
'	POS	'
ve	NN	ve
heard	VBD	hear
the	DT	the
news	NN	news
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
newscasters	NNS	newscaster
got	VBD	get
it	PP	it
all	RB	all
wrong	JJ	wrong
.	SENT	.
They	PP	they
thought	VBD	think
Torosaurus	NP	<unknown>
should	MD	should
be	VB	be
kept	VBN	keep
and	CC	and
Triceratops	NN	triceratops
thrown	VBN	throw
out	RP	out
,	,	,
but	CC	but
that	IN	that
'	POS	'
s	NN	S
not	RB	not
going	VBG	go
to	TO	to
happen	VB	happen
.	SENT	.
All	DT	all
right	NN	right
,	,	,
so	RB	so
we	PP	we
can	MD	can
do	VB	do
this	DT	this
with	IN	with
a	DT	a
bunch	NN	bunch
of	IN	of
dinosaurs	NNS	dinosaur
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
here	RB	here
'	POS	'
s	JJ	<unknown>
Edmontosaurus	NP	<unknown>
and	CC	and
Anatotitan	NP	<unknown>
.	SENT	.
Anatotitan	NP	<unknown>
:	:	:
giant	JJ	giant
duck	NN	duck
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
giant	JJ	giant
duck-bill	NN	<unknown>
dinosaur	NN	dinosaur
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
another	DT	another
one	CD	one
.	SENT	.
So	RB	so
we	PP	we
look	VBP	look
at	IN	at
the	DT	the
bone	NN	bone
histology	NN	histology
.	SENT	.
The	DT	the
bone	NN	bone
histology	NN	histology
tells	VBZ	tell
us	PP	us
that	IN	that
Edmontosaurus	NP	<unknown>
is	VBZ	be
a	DT	a
juvenile	JJ	juvenile
,	,	,
or	CC	or
at	IN	at
least	JJS	least
a	DT	a
subadult	NN	subadult
,	,	,
and	CC	and
the	DT	the
other	JJ	other
one	CD	one
is	VBZ	be
an	DT	an
adult	NN	adult
,	,	,
and	CC	and
we	PP	we
have	VBP	have
an	DT	an
ontogeny	NN	ontogeny
.	SENT	.
And	CC	and
we	PP	we
get	VBP	get
rid	JJ	rid
of	IN	of
Anatotitan	NP	<unknown>
.	SENT	.
So	RB	so
we	PP	we
can	MD	can
just	RB	just
keep	VB	keep
doing	VBG	do
this	DT	this
.	SENT	.
And	CC	and
the	DT	the
last	JJ	last
one	CD	one
is	VBZ	be
T	NN	T
.	SENT	.
Rex	NP	Rex
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
these	DT	these
two	CD	two
dinosaurs	NNS	dinosaur
,	,	,
T	NN	T
.	SENT	.
Rex	NP	Rex
and	CC	and
Nanotyrannus	NN	Nanotyrannus
.	SENT	.
Again	RB	again
,	,	,
it	PP	it
makes	VBZ	make
you	PP	you
wonder	VBP	wonder
.	SENT	.
But	CC	but
they	PP	they
had	VBD	have
a	DT	a
good	JJ	good
question	NN	question
.	SENT	.
They	PP	they
were	VBD	be
looking	VBG	look
at	IN	at
them	PP	them
and	CC	and
they	PP	they
said	VBD	say
,	,	,
"	``	"
One	NP	One
'	POS	'
s	NN	S
got	VBD	get
17	CD	@card@
teeth	NNS	tooth
,	,	,
and	CC	and
the	DT	the
biggest	JJS	big
one	CD	one
'	POS	'
s	NN	S
got	VBD	get
12	CD	@card@
teeth	NNS	tooth
.	SENT	.
And	CC	and
that	DT	that
doesn	NN	<unknown>
'	POS	'
t	NN	t
make	VB	make
any	DT	any
sense	NN	sense
at	IN	at
all	DT	all
,	,	,
because	IN	because
we	PP	we
don	NN	don
'	POS	'
t	NN	t
know	VBP	know
of	IN	of
any	DT	any
dinosaurs	NNS	dinosaur
that	WDT	that
gain	VBP	gain
teeth	NNS	tooth
as	IN	as
they	PP	they
get	VBP	get
older	JJR	old
.	SENT	.
So	RB	so
it	PP	it
must	MD	must
be	VB	be
true	JJ	true
—	:	-
they	PP	they
must	MD	must
be	VB	be
different	JJ	different
.	SENT	.
"	``	"
So	RB	so
we	PP	we
cut	VB	cut
into	IN	into
them	PP	them
.	SENT	.
And	CC	and
sure	RB	sure
enough	RB	enough
,	,	,
Nanotyrannus	NN	Nanotyrannus
has	VBZ	have
juvenile	JJ	juvenile
bone	NN	bone
and	CC	and
the	DT	the
bigger	JJR	big
one	PP	one
has	VBZ	have
more	JJR	more
mature	JJ	mature
bone	NN	bone
.	SENT	.
It	PP	it
looks	VBZ	look
like	IN	like
it	PP	it
could	MD	could
still	RB	still
get	VB	get
bigger	JJR	big
.	SENT	.
And	CC	and
at	IN	at
the	DT	the
Museum	NP	Museum
of	IN	of
the	DT	the
Rockies	NP	Rockies
where	WRB	where
we	PP	we
work	VBP	work
,	,	,
I	PP	I
have	VBP	have
four	CD	four
T	NN	T
.	SENT	.
rexes	NNS	<unknown>
,	,	,
so	RB	so
I	PP	I
can	MD	can
cut	VB	cut
a	DT	a
whole	JJ	whole
bunch	NN	bunch
of	IN	of
them	PP	them
.	SENT	.
But	CC	but
I	PP	I
didn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
to	TO	to
cut	VB	cut
any	DT	any
of	IN	of
them	PP	them
really	RB	really
,	,	,
because	IN	because
I	PP	I
just	RB	just
lined	VBD	line
up	RP	up
their	PP$	their
jaws	NNS	jaw
and	CC	and
it	PP	it
turned	VBD	turn
out	RP	out
the	DT	the
biggest	JJS	big
one	PP	one
had	VBD	have
12	CD	@card@
teeth	NNS	tooth
and	CC	and
the	DT	the
next	JJ	next
smallest	JJS	small
one	PP	one
had	VBD	have
13	CD	@card@
and	CC	and
the	DT	the
next	JJ	next
smallest	JJS	small
had	VBD	have
14	CD	@card@
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
,	,	,
Nano	NP	Nano
has	VBZ	have
17	CD	@card@
.	SENT	.
And	CC	and
we	PP	we
just	RB	just
went	VBD	go
out	RP	out
and	CC	and
looked	VBD	look
at	IN	at
other	JJ	other
people	NNS	people
'	POS	'
s	NN	S
collections	NNS	collection
and	CC	and
we	PP	we
found	VBD	find
one	PP	one
that	RB	that
has	VBZ	have
sort	NN	sort
of	IN	of
15	CD	@card@
teeth	NNS	tooth
.	SENT	.
So	RB	so
again	RB	again
,	,	,
real	JJ	real
easy	JJ	easy
to	TO	to
say	VB	say
that	DT	that
Tyrannosaurus	NN	tyrannosaurus
ontogeny	NN	ontogeny
included	VBD	include
Nanotyrannus	NN	Nanotyrannus
,	,	,
and	CC	and
therefore	RB	therefore
we	PP	we
can	MD	can
take	VB	take
out	RP	out
another	DT	another
dinosaur	NN	dinosaur
.	SENT	.
So	RB	so
when	WRB	when
it	PP	it
comes	VBZ	come
down	RP	down
to	TO	to
our	PP$	our
end	NN	end
Cretaceous	JJ	Cretaceous
,	,	,
we	PP	we
have	VBP	have
seven	CD	seven
left	NN	left
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
a	DT	a
good	JJ	good
number	NN	number
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
a	DT	a
good	JJ	good
number	NN	number
to	TO	to
go	VB	go
extinct	JJ	extinct
,	,	,
I	PP	I
think	VBP	think
.	SENT	.
Now	RB	now
as	IN	as
you	PP	you
can	MD	can
imagine	VB	imagine
,	,	,
this	DT	this
is	VBZ	be
not	RB	not
very	RB	very
popular	JJ	popular
with	IN	with
fourth-graders	NNS	fourth-grader
.	SENT	.
Fourth-graders	NNS	Fourth-grader
love	VBP	love
their	PP$	their
dinosaurs	NNS	dinosaur
,	,	,
they	PP	they
memorize	VBP	memorize
them	PP	them
.	SENT	.
And	CC	and
they	PP	they
'	POS	'
re	NN	re
not	RB	not
happy	JJ	happy
with	IN	with
this	DT	this
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
