Over	IN	over
activities	NNS	activity
.	SENT	.
He	PP	he
was	VBD	be
treated	VBN	treat
with	IN	with
radiation	NN	radiation
therapy	NN	therapy
,	,	,
state-of-the-art	JJ	state-of-the-art
radiation	NN	radiation
therapy	NN	therapy
,	,	,
but	CC	but
it	PP	it
didn	NP	<unknown>
'	POS	'
t	NN	t
help	NN	help
.	SENT	.
Many	JJ	many
patients	NNS	patient
like	IN	like
that	DT	that
favor	NN	favor
radiation	NN	radiation
therapy	NN	therapy
.	SENT	.
And	CC	and
again	RB	again
,	,	,
he	PP	he
volunteered	VBD	volunteer
to	TO	to
a	DT	a
pivotal	JJ	pivotal
study	NN	study
that	IN	that
we	PP	we
ran	VBD	run
worldwide	RB	worldwide
,	,	,
also	RB	also
in	IN	in
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
And	CC	and
his	PP$	his
wife	NN	wife
actually	RB	actually
took	VBD	take
him	PP	him
.	SENT	.
They	PP	they
drove	VBD	drive
like	IN	like
three	CD	three
hours	NNS	hour
from	IN	from
their	PP$	their
farm	NN	farm
to	TO	to
the	DT	the
hospital	NN	hospital
.	SENT	.
He	PP	he
had	VBD	have
to	TO	to
sit	VB	sit
on	IN	on
a	DT	a
cushion	NN	cushion
,	,	,
stand	VBP	stand
still	RB	still
,	,	,
not	RB	not
move	NN	move
,	,	,
because	IN	because
it	PP	it
was	VBD	be
very	RB	very
painful	JJ	painful
.	SENT	.
He	PP	he
took	VBD	take
the	DT	the
treatment	NN	treatment
,	,	,
and	CC	and
on	IN	on
the	DT	the
way	NN	way
back	RB	back
,	,	,
he	PP	he
drove	VBD	drive
the	DT	the
truck	NN	truck
by	IN	by
himself	PP	himself
.	SENT	.
So	RB	so
again	RB	again
,	,	,
this	DT	this
is	VBZ	be
an	DT	an
immediate	JJ	immediate
relief	NN	relief
.	SENT	.
And	CC	and
you	PP	you
have	VBP	have
to	TO	to
understand	VB	understand
what	WP	what
those	DT	those
people	NNS	people
feel	VBP	feel
and	CC	and
what	WP	what
their	PP$	their
family	NN	family
experiences	VBZ	experience
when	WRB	when
it	PP	it
happens	VBZ	happen
.	SENT	.
He	PP	he
returned	VBD	return
again	RB	again
to	TO	to
his	PP$	his
daily	JJ	daily
routine	NN	routine
on	IN	on
the	DT	the
farm	NN	farm
.	SENT	.
He	PP	he
rides	VBZ	ride
his	PP$	his
tractor	NN	tractor
.	SENT	.
He	PP	he
rides	VBZ	ride
his	PP$	his
horse	NN	horse
to	TO	to
their	PP$	their
mountain	NN	mountain
cabin	NN	cabin
regularly	RB	regularly
.	SENT	.
And	CC	and
he	PP	he
has	VBZ	have
been	VBN	be
very	RB	very
happy	JJ	happy
.	SENT	.
But	CC	but
now	RB	now
,	,	,
you	PP	you
ask	VBP	ask
me	PP	me
,	,	,
but	CC	but
what	WP	what
about	IN	about
war	NN	war
,	,	,
the	DT	the
war	NN	war
on	IN	on
cancer	NN	cancer
?	SENT	?
Show	VB	show
us	PP	us
some	DT	some
primary	JJ	primary
cancer	NN	cancer
.	SENT	.
What	WP	what
can	MD	can
be	VB	be
done	VBN	do
there	RB	there
?	SENT	?
So	RB	so
I	PP	I
have	VBP	have
good	JJ	good
news	NN	news
and	CC	and
bad	JJ	bad
news	NN	news
.	SENT	.
The	DT	the
good	JJ	good
news	NN	news
:	:	:
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
that	WDT	that
can	MD	can
be	VB	be
done	VBN	do
.	SENT	.
And	CC	and
it	PP	it
has	VBZ	have
been	VBN	be
shown	VBN	show
actually	RB	actually
outside	IN	outside
of	IN	of
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
And	CC	and
doing	VBG	do
that	IN	that
in	IN	in
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
is	VBZ	be
very	RB	very
painful	JJ	painful
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
see	VB	see
,	,	,
without	IN	without
this	DT	this
nation	NN	nation
taking	VBG	take
it	PP	it
as	IN	as
some	DT	some
collective	JJ	collective
will	NN	will
or	CC	or
something	NN	something
that	WDT	that
is	VBZ	be
a	DT	a
national	JJ	national
goal	NN	goal
to	TO	to
make	VB	make
that	DT	that
happen	VB	happen
,	,	,
it	PP	it
will	MD	will
not	RB	not
happen	VB	happen
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
because	IN	because
of	IN	of
regulation	NN	regulation
;	:	;
it	PP	it
'	POS	'
s	NN	S
because	IN	because
of	IN	of
the	DT	the
amount	NN	amount
of	IN	of
money	NN	money
needed	VBN	need
under	IN	under
the	DT	the
current	JJ	current
evidence-based	JJ	<unknown>
medicine	NN	medicine
and	CC	and
the	DT	the
size	NN	size
of	IN	of
trials	NNS	trial
and	CC	and
so	RB	so
on	IN	on
to	TO	to
make	VB	make
it	PP	it
happen	VB	happen
.	SENT	.
So	IN	so
the	DT	the
first	JJ	first
two	CD	two
applications	NNS	application
are	VBP	be
breast	NN	breast
cancer	NN	cancer
and	CC	and
prostate	NN	prostate
cancer	NN	cancer
.	SENT	.
They	PP	they
were	VBD	be
the	DT	the
first	JJ	first
to	TO	to
be	VB	be
treated	VBN	treat
by	IN	by
focused	JJ	focused
ultrasound	NN	ultrasound
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
better-than-surgery	JJ	<unknown>
results	NNS	result
in	IN	in
breasts	NNS	breast
.	SENT	.
But	CC	but
I	PP	I
have	VBP	have
a	DT	a
message	NN	message
for	IN	for
the	DT	the
men	NNS	man
here	RB	here
.	SENT	.
We	PP	we
heard	VBD	hear
here	RB	here
yesterday	NN	yesterday
Quyen	NP	Quyen
talking	VBG	talk
about	IN	about
the	DT	the
adverse	JJ	adverse
event	NN	event
trait	NN	trait
in	IN	in
prostate	NN	prostate
cancer	NN	cancer
.	SENT	.
There	EX	there
is	VBZ	be
a	DT	a
unique	JJ	unique
opportunity	NN	opportunity
now	RB	now
with	IN	with
focused	JJ	focused
ultrasound	NN	ultrasound
guided	VBN	guide
by	IN	by
MR	NP	Mr
,	,	,
because	IN	because
we	PP	we
can	MD	can
actually	RB	actually
think	VB	think
about	IN	about
prostate	NN	prostate
lumpectomy	NN	<unknown>
—	:	-
treating	VBG	treat
just	RB	just
the	DT	the
focal	JJ	focal
lesion	NN	lesion
and	CC	and
not	RB	not
removing	VBG	remove
the	DT	the
whole	JJ	whole
gland	NN	gland
,	,	,
and	CC	and
by	IN	by
that	IN	that
,	,	,
avoiding	VBG	avoid
all	PDT	all
the	DT	the
issues	NNS	issue
with	IN	with
potency	NN	potency
and	CC	and
incontinence	NN	incontinence
.	SENT	.
Well	RB	well
,	,	,
there	EX	there
are	VBP	be
other	JJ	other
cancer	NN	cancer
tumors	NNS	tumor
in	IN	in
the	DT	the
abdomen	NN	abdomen
—	:	-
quite	RB	quite
lethal	JJ	lethal
,	,	,
very	RB	very
lethal	JJ	lethal
actually	RB	actually
—	:	-
pancreas	NN	pancreas
,	,	,
liver	NN	liver
,	,	,
kidney	NN	kidney
.	SENT	.
The	DT	the
challenge	NN	challenge
there	RB	there
with	IN	with
a	DT	a
breathing	NN	breathing
and	CC	and
awake	JJ	awake
patient	NN	patient
—	:	-
and	CC	and
in	IN	in
all	PDT	all
our	PP$	our
treatments	NNS	treatment
,	,	,
the	DT	the
patient	NN	patient
is	VBZ	be
awake	JJ	awake
and	CC	and
conscious	JJ	conscious
and	CC	and
speaks	VBZ	speak
with	IN	with
the	DT	the
physician	NN	physician
—	:	-
is	VBZ	be
you	PP	you
have	VBP	have
to	TO	to
teach	VB	teach
the	DT	the
MR	NN	Mr
some	DT	some
tricks	NNS	trick
how	WRB	how
to	TO	to
do	VB	do
it	PP	it
in	IN	in
real	JJ	real
time	NN	time
.	SENT	.
And	CC	and
this	DT	this
will	MD	will
take	VB	take
time	NN	time
.	SENT	.
This	DT	this
will	MD	will
take	VB	take
two	CD	two
years	NNS	year
.	SENT	.
But	CC	but
I	PP	I
have	VBP	have
now	RB	now
a	DT	a
message	NN	message
to	TO	to
the	DT	the
ladies	NNS	lady
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
,	,	,
in	IN	in
2004	CD	@card@
,	,	,
the	DT	the
FDA	NP	FDA
has	VBZ	have
approved	VBN	approve
MR-guided	JJ	<unknown>
focused	VBN	focus
ultrasounds	NNS	ultrasound
for	IN	for
the	DT	the
treatment	NN	treatment
of	IN	of
symptomatic	JJ	symptomatic
uterine	JJ	uterine
fibroids	NNS	fibroid
.	SENT	.
Women	NNS	woman
suffer	VBP	suffer
from	IN	from
that	DT	that
disease	NN	disease
.	SENT	.
All	PDT	all
those	DT	those
tumors	NNS	tumor
have	VBP	have
heavy	JJ	heavy
bleeding	NN	bleeding
during	IN	during
periods	NNS	period
,	,	,
abdominal	JJ	abdominal
pressure	NN	pressure
,	,	,
back	RB	back
pain	NN	pain
,	,	,
frequent	JJ	frequent
urination	NN	urination
.	SENT	.
And	CC	and
sometimes	RB	sometimes
,	,	,
they	PP	they
cannot	MD	can
even	RB	even
conceive	VB	conceive
and	CC	and
become	VB	become
pregnant	JJ	pregnant
because	IN	because
of	IN	of
the	DT	the
fibroid	NN	fibroid
.	SENT	.
This	DT	this
is	VBZ	be
Frances	NP	Frances
.	SENT	.
She	PP	she
was	VBD	be
diagnosed	VBN	diagnose
with	IN	with
a	DT	a
grapefruit-sized	JJ	grapefruit-sized
fibroid	NN	fibroid
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
big	JJ	big
fibroid	NN	fibroid
.	SENT	.
She	PP	she
was	VBD	be
offered	VBN	offer
a	DT	a
hysterectomy	NN	hysterectomy
,	,	,
but	CC	but
this	DT	this
is	VBZ	be
an	DT	an
inconceivable	JJ	inconceivable
proposition	NN	proposition
for	IN	for
someone	NN	someone
who	WP	who
wants	VBZ	want
to	TO	to
keep	VB	keep
her	PP$	her
pregnancy	NN	pregnancy
option	NN	option
.	SENT	.
So	RB	so
she	PP	she
elected	VBD	elect
to	TO	to
undergo	VB	undergo
a	DT	a
focused	VBN	focus
ultrasound	NN	ultrasound
procedure	NN	procedure
in	IN	in
2008	CD	@card@
.	SENT	.
And	CC	and
in	IN	in
2010	CD	@card@
,	,	,
she	PP	she
became	VBD	become
a	DT	a
first-time	JJ	first-time
mother	NN	mother
to	TO	to
a	DT	a
healthy	JJ	healthy
baby	NN	baby
.	SENT	.
So	IN	so
new	JJ	new
life	NN	life
was	VBD	be
born	VBN	bear
.	SENT	.
So	RB	so
in	IN	in
conclusion	NN	conclusion
,	,	,
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
leave	VB	leave
you	PP	you
with	IN	with
actually	RB	actually
four	CD	four
messages	NNS	message
.	SENT	.
One	PP	one
is	VBZ	be
,	,	,
think	VBP	think
about	IN	about
the	DT	the
amount	NN	amount
of	IN	of
suffering	NN	suffering
that	WDT	that
is	VBZ	be
saved	VBN	save
from	IN	from
patients	NNS	patient
undergoing	VBG	undergo
noninvasive	JJ	noninvasive
surgery	NN	surgery
,	,	,
and	CC	and
also	RB	also
the	DT	the
economical	JJ	economical
and	CC	and
emotional	JJ	emotional
burden	NN	burden
removed	VBN	remove
from	IN	from
their	PP$	their
families	NNS	family
and	CC	and
communities	NNS	community
and	CC	and
the	DT	the
society	NN	society
at	IN	at
large	JJ	large
—	:	-
and	CC	and
I	PP	I
think	VBP	think
also	RB	also
from	IN	from
their	PP$	their
physicians	NNS	physician
,	,	,
by	IN	by
the	DT	the
way	NN	way
.	SENT	.
And	CC	and
the	DT	the
other	JJ	other
thing	NN	thing
I	PP	I
would	MD	would
like	VB	like
you	PP	you
to	TO	to
think	VB	think
about	RB	about
is	VBZ	be
the	DT	the
new	JJ	new
type	NN	type
of	IN	of
relationship	NN	relationship
between	IN	between
physician	NN	physician
and	CC	and
patients	NNS	patient
when	WRB	when
you	PP	you
have	VBP	have
a	DT	a
patient	NN	patient
on	IN	on
the	DT	the
table	NN	table
[	SYM	[
who	WP	who
]	SYM	]
is	VBZ	be
awake	JJ	awake
and	CC	and
can	MD	can
even	RB	even
monitor	VB	monitor
the	DT	the
treatment	NN	treatment
.	SENT	.
In	IN	in
all	PDT	all
our	PP$	our
treatments	NNS	treatment
,	,	,
the	DT	the
patient	NN	patient
holds	VBZ	hold
a	DT	a
stop	NN	stop
sonication	NN	sonication
button	NN	button
.	SENT	.
He	PP	he
can	MD	can
stop	VB	stop
the	DT	the
surgery	NN	surgery
at	IN	at
any	DT	any
moment	NN	moment
.	SENT	.
And	CC	and
with	IN	with
that	DT	that
note	NN	note
,	,	,
I	PP	I
would	MD	would
like	VB	like
to	TO	to
thank	VB	thank
you	PP	you
for	IN	for
listening	VBG	listen
.	SENT	.
