Nine	CD	nine
that	IN	that
we	PP	we
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
learn	VB	learn
from	IN	from
the	DT	the
brains	NNS	brain
of	IN	of
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
living	VBG	live
people	NNS	people
.	SENT	.
But	CC	but
our	PP$	our
brains	NNS	brain
are	VBP	be
not	RB	not
physically	RB	physically
accessible	JJ	accessible
while	IN	while
we	PP	we
'	POS	'
re	NN	re
living	NN	living
.	SENT	.
But	CC	but
how	WRB	how
can	MD	can
we	PP	we
discover	VB	discover
molecular	JJ	molecular
factors	NNS	factor
if	IN	if
we	PP	we
can	MD	can
'	''	'
t	NN	t
hold	VB	hold
the	DT	the
molecules	NNS	molecule
?	SENT	?
An	DT	an
answer	NN	answer
comes	VBZ	come
from	IN	from
the	DT	the
fact	NN	fact
that	IN	that
the	DT	the
most	RBS	most
informative	JJ	informative
molecules	NNS	molecule
,	,	,
proteins	NNS	protein
,	,	,
are	VBP	be
encoded	VBN	encode
in	IN	in
our	PP$	our
DNA	NN	DNA
,	,	,
which	WDT	which
has	VBZ	have
the	DT	the
recipes	NNS	recipe
our	PP$	our
cells	NNS	cell
follow	VBP	follow
to	TO	to
make	VB	make
all	DT	all
of	IN	of
our	PP$	our
proteins	NNS	protein
.	SENT	.
And	CC	and
these	DT	these
recipes	NNS	recipe
vary	VBP	vary
from	IN	from
person	NN	person
to	TO	to
person	NN	person
to	TO	to
person	NN	person
in	IN	in
ways	NNS	way
that	WDT	that
cause	VBP	cause
the	DT	the
proteins	NNS	protein
to	TO	to
vary	VB	vary
from	IN	from
person	NN	person
to	TO	to
person	NN	person
in	IN	in
their	PP$	their
precise	JJ	precise
sequence	NN	sequence
and	CC	and
in	IN	in
how	WRB	how
much	RB	much
each	DT	each
cell	NN	cell
type	NN	type
makes	VBZ	make
of	IN	of
each	DT	each
protein	NN	protein
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
all	RB	all
encoded	VBN	encode
in	IN	in
our	PP$	our
DNA	NN	DNA
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
all	DT	all
genetics	NN	genetics
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
not	RB	not
the	DT	the
genetics	NN	genetics
that	IN	that
we	PP	we
learned	VBD	learn
about	RB	about
in	IN	in
school	NN	school
.	SENT	.
Do	VB	do
you	PP	you
remember	VB	remember
big	JJ	big
B	NN	B
,	,	,
little	JJ	little
b	NN	b
?	SENT	?
If	IN	if
you	PP	you
inherit	VBP	inherit
big	JJ	big
B	NN	B
,	,	,
you	PP	you
get	VBP	get
brown	JJ	brown
eyes	NNS	eye
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
simple	NN	simple
.	SENT	.
Very	RB	very
few	JJ	few
traits	NNS	trait
are	VBP	be
that	RB	that
simple	JJ	simple
.	SENT	.
Even	RB	even
eye	NN	eye
color	NN	color
is	VBZ	be
shaped	VBN	shape
by	IN	by
much	RB	much
more	JJR	more
than	IN	than
a	DT	a
single	JJ	single
pigment	NN	pigment
molecule	NN	molecule
.	SENT	.
And	CC	and
something	NN	something
as	IN	as
complex	NN	complex
as	IN	as
the	DT	the
function	NN	function
of	IN	of
our	PP$	our
brains	NNS	brain
is	VBZ	be
shaped	VBN	shape
by	IN	by
the	DT	the
interaction	NN	interaction
of	IN	of
thousands	NNS	thousand
of	IN	of
genes	NNS	gene
.	SENT	.
And	CC	and
each	DT	each
of	IN	of
these	DT	these
genes	NNS	gene
varies	VBZ	vary
meaningfully	RB	meaningfully
from	IN	from
person	NN	person
to	TO	to
person	NN	person
to	TO	to
person	NN	person
,	,	,
and	CC	and
each	DT	each
of	IN	of
us	PP	us
is	VBZ	be
a	DT	a
unique	JJ	unique
combination	NN	combination
of	IN	of
that	DT	that
variation	NN	variation
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
big	JJ	big
data	NN	data
opportunity	NN	opportunity
.	SENT	.
And	CC	and
today	NN	today
,	,	,
it	PP	it
'	POS	'
s	NN	S
increasingly	RB	increasingly
possible	JJ	possible
to	TO	to
make	VB	make
progress	NN	progress
on	IN	on
a	DT	a
scale	NN	scale
that	WDT	that
was	VBD	be
never	RB	never
possible	JJ	possible
before	RB	before
.	SENT	.
People	NNS	people
are	VBP	be
contributing	VBG	contribute
to	TO	to
genetic	JJ	genetic
studies	NNS	study
in	IN	in
record	NN	record
numbers	NNS	number
,	,	,
and	CC	and
scientists	NNS	scientist
around	IN	around
the	DT	the
world	NN	world
are	VBP	be
sharing	VBG	share
the	DT	the
data	NNS	datum
with	IN	with
one	CD	one
another	DT	another
to	TO	to
speed	VB	speed
progress	NN	progress
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
tell	VB	tell
you	PP	you
a	DT	a
short	JJ	short
story	NN	story
about	IN	about
a	DT	a
discovery	NN	discovery
we	PP	we
recently	RB	recently
made	VBD	make
about	IN	about
the	DT	the
genetics	NN	genetics
of	IN	of
schizophrenia	NN	schizophrenia
.	SENT	.
It	PP	it
was	VBD	be
made	VBN	make
possible	JJ	possible
by	IN	by
50	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
from	IN	from
30	CD	@card@
countries	NNS	country
,	,	,
who	WP	who
contributed	VBD	contribute
their	PP$	their
DNA	NN	DNA
to	TO	to
genetic	JJ	genetic
research	NN	research
on	IN	on
schizophrenia	NN	schizophrenia
.	SENT	.
It	PP	it
had	VBD	have
been	VBN	be
known	VBN	know
for	IN	for
several	JJ	several
years	NNS	year
that	IN	that
the	DT	the
human	JJ	human
genome	NN	genome
'	POS	'
s	JJ	<unknown>
largest	JJS	large
influence	NN	influence
on	IN	on
risk	NN	risk
of	IN	of
schizophrenia	NN	schizophrenia
comes	VBZ	come
from	IN	from
a	DT	a
part	NN	part
of	IN	of
the	DT	the
genome	NN	genome
that	WDT	that
encodes	VBZ	encode
many	JJ	many
of	IN	of
the	DT	the
molecules	NNS	molecule
in	IN	in
our	PP$	our
immune	JJ	immune
system	NN	system
.	SENT	.
But	CC	but
it	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
clear	JJ	clear
which	WDT	which
gene	NN	gene
was	VBD	be
responsible	JJ	responsible
.	SENT	.
A	DT	a
scientist	NN	scientist
in	IN	in
my	PP$	my
lab	NN	lab
developed	VBD	develop
a	DT	a
new	JJ	new
way	NN	way
to	TO	to
analyze	VB	analyze
DNA	NN	DNA
with	IN	with
computers	NNS	computer
,	,	,
and	CC	and
he	PP	he
discovered	VBD	discover
something	NN	something
very	RB	very
surprising	JJ	surprising
.	SENT	.
He	PP	he
found	VBD	find
that	IN	that
a	DT	a
gene	NN	gene
called	VBN	call
"	``	"
complement	NN	complement
component	NN	component
4	CD	@card@
"	''	"
—	:	-
it	PP	it
'	POS	'
s	NN	S
called	VBD	call
"	``	"
C4	NP	<unknown>
"	''	"
for	IN	for
short	JJ	short
—	:	-
comes	VBZ	come
in	IN	in
dozens	NNS	dozen
of	IN	of
different	JJ	different
forms	NNS	form
in	IN	in
different	JJ	different
people	NNS	people
'	POS	'
s	NN	S
genomes	NNS	genome
,	,	,
and	CC	and
these	DT	these
different	JJ	different
forms	NNS	form
make	VBP	make
different	JJ	different
amounts	NNS	amount
of	IN	of
C4	NP	<unknown>
protein	NN	protein
in	IN	in
our	PP$	our
brains	NNS	brain
.	SENT	.
And	CC	and
he	PP	he
found	VBD	find
that	IN	that
the	DT	the
more	JJR	more
C4	NP	<unknown>
protein	NN	protein
our	PP$	our
genes	NNS	gene
make	VBP	make
,	,	,
the	DT	the
greater	JJR	great
our	PP$	our
risk	NN	risk
for	IN	for
schizophrenia	NN	schizophrenia
.	SENT	.
Now	RB	now
,	,	,
C4	NP	<unknown>
is	VBZ	be
still	RB	still
just	RB	just
one	CD	one
risk	NN	risk
factor	NN	factor
in	IN	in
a	DT	a
complex	JJ	complex
system	NN	system
.	SENT	.
This	DT	this
isn	NN	isn
'	POS	'
t	NN	t
big	JJ	big
B	NN	B
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NNS	<unknown>
an	DT	an
insight	NN	insight
about	IN	about
a	DT	a
molecule	NN	molecule
that	IN	that
matters	NNS	matter
.	SENT	.
Complement	NN	complement
proteins	NNS	protein
like	IN	like
C4	NP	<unknown>
were	VBD	be
known	VBN	know
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
for	IN	for
their	PP$	their
roles	NNS	role
in	IN	in
the	DT	the
immune	JJ	immune
system	NN	system
,	,	,
where	WRB	where
they	PP	they
act	VBP	act
as	IN	as
a	DT	a
kind	NN	kind
of	IN	of
molecular	JJ	molecular
Post-it	NP	<unknown>
note	NN	note
that	WDT	that
says	VBZ	say
,	,	,
"	``	"
Eat	VB	eat
me	PP	me
.	SENT	.
"	''	"
And	CC	and
that	IN	that
Post-it	NP	<unknown>
note	NN	note
gets	VBZ	get
put	VBN	put
on	IN	on
lots	NNS	lot
of	IN	of
debris	NN	debris
and	CC	and
dead	JJ	dead
cells	NNS	cell
in	IN	in
our	PP$	our
bodies	NNS	body
and	CC	and
invites	VBZ	invite
immune	JJ	immune
cells	NNS	cell
to	TO	to
eliminate	VB	eliminate
them	PP	them
.	SENT	.
But	CC	but
two	CD	two
colleagues	NNS	colleague
of	IN	of
mine	PP	mine
found	VBD	find
that	IN	that
the	DT	the
C4	NP	<unknown>
Post-it	NP	<unknown>
note	NN	note
also	RB	also
gets	VBZ	get
put	VBN	put
on	IN	on
synapses	NNS	synapse
in	IN	in
the	DT	the
brain	NN	brain
and	CC	and
prompts	VBZ	prompt
their	PP$	their
elimination	NN	elimination
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
creation	NN	creation
and	CC	and
elimination	NN	elimination
of	IN	of
synapses	NNS	synapse
is	VBZ	be
a	DT	a
normal	JJ	normal
part	NN	part
of	IN	of
human	JJ	human
development	NN	development
and	CC	and
learning	NN	learning
.	SENT	.
Our	PP$	our
brains	NNS	brain
create	VB	create
and	CC	and
eliminate	VB	eliminate
synapses	NNS	synapse
all	RB	all
the	DT	the
time	NN	time
.	SENT	.
But	CC	but
our	PP$	our
genetic	JJ	genetic
results	NNS	result
suggest	VBP	suggest
that	IN	that
in	IN	in
schizophrenia	NN	schizophrenia
,	,	,
the	DT	the
elimination	NN	elimination
process	NN	process
may	MD	may
go	VB	go
into	IN	into
overdrive	NN	overdrive
.	SENT	.
Scientists	NNS	scientist
at	IN	at
many	JJ	many
drug	NN	drug
companies	NNS	company
tell	VBP	tell
me	PP	me
they	PP	they
'	POS	'
re	NN	re
excited	VBN	excite
about	IN	about
this	DT	this
discovery	NN	discovery
,	,	,
because	IN	because
they	PP	they
'	POS	'
ve	RB	<unknown>
been	VBN	be
working	VBG	work
on	IN	on
complement	NN	complement
proteins	NNS	protein
for	IN	for
years	NNS	year
in	IN	in
the	DT	the
immune	JJ	immune
system	NN	system
,	,	,
and	CC	and
they	PP	they
'	POS	'
ve	NN	ve
learned	VBD	learn
a	DT	a
lot	NN	lot
about	IN	about
how	WRB	how
they	PP	they
work	VBP	work
.	SENT	.
They	PP	they
'	POS	'
ve	NN	ve
even	RB	even
developed	VBN	develop
molecules	NNS	molecule
that	WDT	that
interfere	VBP	interfere
with	IN	with
complement	NN	complement
proteins	NNS	protein
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
starting	VBG	start
to	TO	to
test	VB	test
them	PP	them
in	IN	in
the	DT	the
brain	NN	brain
as	RB	as
well	RB	well
as	IN	as
the	DT	the
immune	JJ	immune
system	NN	system
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
potentially	RB	potentially
a	DT	a
path	NN	path
toward	IN	toward
a	DT	a
drug	NN	drug
that	WDT	that
might	MD	might
address	VB	address
a	DT	a
root	NN	root
cause	NN	cause
rather	RB	rather
than	IN	than
an	DT	an
individual	JJ	individual
symptom	NN	symptom
,	,	,
and	CC	and
we	PP	we
hope	VBP	hope
very	RB	very
much	JJ	much
that	IN	that
this	DT	this
work	NN	work
by	IN	by
many	JJ	many
scientists	NNS	scientist
over	IN	over
many	JJ	many
years	NNS	year
will	MD	will
be	VB	be
successful	JJ	successful
.	SENT	.
But	CC	but
C4	NP	<unknown>
is	VBZ	be
just	RB	just
one	CD	one
example	NN	example
of	IN	of
the	DT	the
potential	NN	potential
for	IN	for
data-driven	JJ	data-driven
scientific	JJ	scientific
approaches	NNS	approach
to	TO	to
open	VB	open
new	JJ	new
fronts	NNS	front
on	IN	on
medical	JJ	medical
problems	NNS	problem
that	WDT	that
are	VBP	be
centuries	NNS	century
old	JJ	old
.	SENT	.
There	EX	there
are	VBP	be
hundreds	NNS	hundred
of	IN	of
places	NNS	place
in	IN	in
our	PP$	our
genomes	NNS	genome
that	WDT	that
shape	VBP	shape
risk	NN	risk
for	IN	for
brain	NN	brain
illnesses	NNS	illness
,	,	,
and	CC	and
any	DT	any
one	CD	one
of	IN	of
them	PP	them
could	MD	could
lead	VB	lead
us	PP	us
to	TO	to
the	DT	the
next	JJ	next
molecular	JJ	molecular
insight	NN	insight
about	IN	about
a	DT	a
molecule	NN	molecule
that	IN	that
matters	NNS	matter
.	SENT	.
And	CC	and
there	EX	there
are	VBP	be
hundreds	NNS	hundred
of	IN	of
cell	NN	cell
types	NNS	type
that	WDT	that
use	VBP	use
these	DT	these
genes	NNS	gene
in	IN	in
different	JJ	different
combinations	NNS	combination
.	SENT	.
As	IN	as
we	PP	we
and	CC	and
other	JJ	other
scientists	NNS	scientist
work	VBP	work
to	TO	to
generate	VB	generate
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
data	NNS	datum
that	RB	that
'	''	'
s	NNS	<unknown>
needed	VBN	need
and	CC	and
to	TO	to
learn	VB	learn
all	RB	all
that	IN	that
we	PP	we
can	MD	can
from	IN	from
that	DT	that
data	NNS	datum
,	,	,
we	PP	we
hope	VBP	hope
to	TO	to
open	VB	open
many	JJ	many
more	JJR	more
new	JJ	new
fronts	NNS	front
.	SENT	.
Genetics	NP	Genetics
and	CC	and
single-cell	NN	single-cell
analysis	NN	analysis
are	VBP	be
just	RB	just
two	CD	two
ways	NNS	way
of	IN	of
trying	VBG	try
to	TO	to
turn	VB	turn
the	DT	the
brain	NN	brain
into	IN	into
a	DT	a
big	JJ	big
data	NN	data
problem	NN	problem
.	SENT	.
There	EX	there
is	VBZ	be
so	RB	so
much	RB	much
more	RBR	more
we	PP	we
can	MD	can
do	VB	do
.	SENT	.
Scientists	NNS	scientist
in	IN	in
my	PP$	my
lab	NN	lab
are	VBP	be
creating	VBG	create
a	DT	a
technology	NN	technology
for	IN	for
quickly	RB	quickly
mapping	VBG	map
the	DT	the
synaptic	JJ	synaptic
connections	NNS	connection
in	IN	in
the	DT	the
brain	NN	brain
to	TO	to
tell	VB	tell
which	WDT	which
neurons	NNS	neuron
are	VBP	be
talking	VBG	talk
to	TO	to
which	WDT	which
other	JJ	other
neurons	NNS	neuron
and	CC	and
how	WRB	how
that	DT	that
conversation	NN	conversation
changes	NNS	change
throughout	IN	throughout
life	NN	life
and	CC	and
during	IN	during
illness	NN	illness
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
developing	VBG	develop
a	DT	a
way	NN	way
to	TO	to
test	VB	test
in	IN	in
a	DT	a
single	JJ	single
tube	NN	tube
how	WRB	how
cells	NNS	cell
with	IN	with
hundreds	NNS	hundred
of	IN	of
different	JJ	different
people	NNS	people
'	POS	'
s	NN	S
genomes	NNS	genome
respond	VBP	respond
differently	RB	differently
to	TO	to
the	DT	the
same	JJ	same
stimulus	NN	stimulus
.	SENT	.
These	DT	these
projects	NNS	project
bring	VBP	bring
together	RB	together
people	NNS	people
with	IN	with
diverse	JJ	diverse
backgrounds	NNS	background
and	CC	and
training	NN	training
and	CC	and
interests	NNS	interest
—	:	-
biology	NN	biology
,	,	,
computers	NNS	computer
,	,	,
chemistry	NN	chemistry
,	,	,
math	NN	math
,	,	,
statistics	NNS	statistic
,	,	,
engineering	NN	engineering
.	SENT	.
But	CC	but
the	DT	the
scientific	JJ	scientific
possibilities	NNS	possibility
rally	VBP	rally
people	NNS	people
with	IN	with
diverse	JJ	diverse
interests	NNS	interest
into	IN	into
working	VBG	work
intensely	RB	intensely
together	RB	together
.	SENT	.
What	WP	what
'	POS	'
s	NNS	<unknown>
the	DT	the
future	NN	future
that	IN	that
we	PP	we
could	MD	could
hope	VB	hope
to	TO	to
create	VB	create
?	SENT	?
Consider	VB	consider
cancer	NN	cancer
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
moved	VBD	move
from	IN	from
an	DT	an
era	NN	era
of	IN	of
ignorance	NN	ignorance
about	IN	about
what	WP	what
causes	VBZ	cause
cancer	NN	cancer
,	,	,
in	IN	in
which	WDT	which
cancer	NN	cancer
was	VBD	be
commonly	RB	commonly
ascribed	VBN	ascribe
to	TO	to
personal	JJ	personal
psychological	JJ	psychological
characteristics	NNS	characteristic
,	,	,
to	TO	to
a	DT	a
modern	JJ	modern
molecular	JJ	molecular
understanding	NN	understanding
of	IN	of
the	DT	the
true	JJ	true
biological	JJ	biological
causes	NNS	cause
of	IN	of
cancer	NN	cancer
.	SENT	.
That	DT	that
understanding	NN	understanding
today	NN	today
leads	VBZ	lead
to	TO	to
innovative	JJ	innovative
medicine	NN	medicine
after	IN	after
innovative	JJ	innovative
medicine	NN	medicine
,	,	,
and	CC	and
although	IN	although
there	EX	there
'	''	'
s	NNS	<unknown>
still	RB	still
so	RB	so
much	RB	much
work	VB	work
to	TO	to
do	VB	do
,	,	,
we	PP	we
'	POS	'
re	NN	re
already	RB	already
surrounded	VBN	surround
by	IN	by
people	NNS	people
who	WP	who
have	VBP	have
been	VBN	be
cured	VBN	cure
of	IN	of
cancers	NNS	cancer
that	WDT	that
were	VBD	be
considered	VBN	consider
untreatable	JJ	untreatable
a	DT	a
generation	NN	generation
ago	RB	ago
.	SENT	.
And	CC	and
millions	NNS	million
of	IN	of
cancer	NN	cancer
survivors	NNS	survivor
like	IN	like
my	PP$	my
sister	NN	sister
find	VB	find
themselves	PP	themselves
with	IN	with
years	NNS	year
of	IN	of
life	NN	life
that	IN	that
they	PP	they
didn	NNS	<unknown>
'	POS	'
t	NN	t
take	VB	take
for	IN	for
granted	JJ	granted
and	CC	and
new	JJ	new
opportunities	NNS	opportunity
for	IN	for
work	NN	work
and	CC	and
joy	NN	joy
and	CC	and
human	JJ	human
connection	NN	connection
.	SENT	.
That	DT	that
is	VBZ	be
the	DT	the
future	NN	future
that	IN	that
we	PP	we
are	VBP	be
determined	VBN	determine
to	TO	to
create	VB	create
around	RP	around
mental	JJ	mental
illness	NN	illness
—	:	-
one	CD	one
of	IN	of
real	JJ	real
understanding	NN	understanding
and	CC	and
empathy	NN	empathy
and	CC	and
limitless	JJ	limitless
possibility	NN	possibility
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
