OK	UH	OK
to	TO	to
the	DT	the
right	JJ	right
population	NN	population
in	IN	in
the	DT	the
right	NN	right
places	VBZ	place
to	TO	to
save	VB	save
lives	NNS	life
.	SENT	.
With	IN	with
this	DT	this
approach	NN	approach
,	,	,
and	CC	and
with	IN	with
these	DT	these
interventions	NNS	intervention
and	CC	and
others	NNS	other
like	IN	like
them	PP	them
,	,	,
I	PP	I
have	VBP	have
no	DT	no
doubt	NN	doubt
that	IN	that
a	DT	a
precision	NN	precision
public	JJ	public
health	NN	health
approach	NN	approach
can	MD	can
help	VB	help
our	PP$	our
world	NN	world
achieve	VB	achieve
our	PP$	our
15-year	JJ	15-year
goal	NN	goal
.	SENT	.
And	CC	and
that	WDT	that
would	MD	would
translate	VB	translate
into	IN	into
a	DT	a
million	CD	million
babies	NNS	baby
'	POS	'
lives	NNS	life
saved	VBD	save
every	DT	every
single	JJ	single
year	NN	year
.	SENT	.
One	CD	one
million	CD	million
babies	NNS	baby
every	DT	every
single	JJ	single
year	NN	year
.	SENT	.
And	CC	and
why	WRB	why
would	MD	would
we	PP	we
stop	VB	stop
there	RB	there
?	SENT	?
A	DT	a
much	RB	much
more	RBR	more
powerful	JJ	powerful
approach	NN	approach
to	TO	to
public	JJ	public
health	NN	health
—	:	-
imagine	VB	imagine
what	WP	what
might	MD	might
be	VB	be
possible	JJ	possible
.	SENT	.
Why	WRB	why
couldn	NNS	<unknown>
'	POS	'
t	NN	t
we	PP	we
more	RBR	more
effectively	RB	effectively
tackle	VB	tackle
malnutrition	NN	malnutrition
?	SENT	?
Why	WRB	why
wouldn	NP	<unknown>
'	POS	'
t	NN	t
we	PP	we
prevent	VBP	prevent
cervical	JJ	cervical
cancer	NN	cancer
in	IN	in
women	NNS	woman
?	SENT	?
And	CC	and
why	WRB	why
not	RB	not
eradicate	VB	eradicate
malaria	NN	malaria
?	SENT	?
Yes	UH	yes
,	,	,
clap	NN	clap
for	IN	for
that	DT	that
!	SENT	!
So	RB	so
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
live	VBP	live
in	IN	in
two	CD	two
different	JJ	different
worlds	NNS	world
,	,	,
one	CD	one
world	NN	world
populated	VBN	populate
by	IN	by
scientists	NNS	scientist
,	,	,
and	CC	and
another	DT	another
world	NN	world
populated	VBN	populate
by	IN	by
public	JJ	public
health	NN	health
professionals	NNS	professional
.	SENT	.
The	DT	the
promise	NN	promise
of	IN	of
precision	NN	precision
public	JJ	public
health	NN	health
is	VBZ	be
to	TO	to
bring	VB	bring
these	DT	these
two	CD	two
worlds	NNS	world
together	RB	together
.	SENT	.
But	CC	but
you	PP	you
know	VBP	know
,	,	,
we	PP	we
all	RB	all
live	VBP	live
in	IN	in
two	CD	two
worlds	NNS	world
:	:	:
the	DT	the
rich	JJ	rich
world	NN	world
and	CC	and
the	DT	the
poor	JJ	poor
world	NN	world
.	SENT	.
And	CC	and
what	WP	what
I	PP	I
'	POS	'
m	NN	m
most	RBS	most
excited	VBN	excite
about	RB	about
about	IN	about
precision	NN	precision
public	JJ	public
health	NN	health
is	VBZ	be
bridging	VBG	bridge
these	DT	these
two	CD	two
worlds	NNS	world
.	SENT	.
Every	DT	every
day	NN	day
in	IN	in
the	DT	the
rich	JJ	rich
world	NN	world
,	,	,
we	PP	we
'	POS	'
re	NN	re
bringing	VBG	bring
incredible	JJ	incredible
talent	NN	talent
and	CC	and
tools	NNS	tool
—	:	-
everything	NN	everything
at	IN	at
our	PP$	our
disposal	NN	disposal
—	:	-
to	TO	to
precisely	RB	precisely
target	VB	target
diseases	NNS	disease
in	IN	in
ways	NNS	way
I	PP	I
never	RB	never
imagined	VBD	imagine
would	MD	would
be	VB	be
possible	JJ	possible
.	SENT	.
Surely	RB	surely
,	,	,
we	PP	we
can	MD	can
tap	VB	tap
into	IN	into
that	DT	that
kind	NN	kind
of	IN	of
talent	NN	talent
and	CC	and
tools	NNS	tool
to	TO	to
stop	VB	stop
babies	NNS	baby
dying	VBG	die
in	IN	in
the	DT	the
poor	JJ	poor
world	NN	world
.	SENT	.
If	IN	if
we	PP	we
did	VBD	do
,	,	,
then	RB	then
every	DT	every
parent	NN	parent
would	MD	would
have	VB	have
the	DT	the
confidence	NN	confidence
to	TO	to
name	VB	name
their	PP$	their
child	NN	child
the	DT	the
moment	NN	moment
that	IN	that
child	NN	child
is	VBZ	be
born	VBN	bear
,	,	,
daring	VBG	dare
to	TO	to
dream	VB	dream
that	IN	that
that	DT	that
child	NN	child
'	POS	'
s	NN	S
life	NN	life
will	MD	will
be	VB	be
measured	VBN	measure
in	IN	in
decades	NNS	decade
,	,	,
not	RB	not
days	NNS	day
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
