You	PP	you
.	SENT	.
Africa	NP	Africa
today	NN	today
is	VBZ	be
not	RB	not
the	DT	the
Africa	NP	Africa
waiting	VBG	wait
for	IN	for
aid	NN	aid
solutions	NNS	solution
,	,	,
or	CC	or
cookie-cutter	NN	cookie-cutter
foreign	JJ	foreign
expert	NN	expert
policy	NN	policy
prescriptions	NNS	prescription
.	SENT	.
Africa	NP	Africa
has	VBZ	have
learned	VBN	learn
,	,	,
or	CC	or
is	VBZ	be
learning	VBG	learn
somewhat	RB	somewhat
slowly	RB	slowly
,	,	,
that	DT	that
markets	NNS	market
don	NN	don
'	POS	'
t	NN	t
happen	VB	happen
by	IN	by
themselves	PP	themselves
.	SENT	.
In	IN	in
the	DT	the
1980s	NNS	1980s
,	,	,
it	PP	it
was	VBD	be
very	RB	very
fashionable	JJ	fashionable
to	TO	to
talk	VB	talk
about	IN	about
getting	VBG	get
prices	NNS	price
right	RB	right
.	SENT	.
There	EX	there
was	VBD	be
a	DT	a
very	RB	very
influential	JJ	influential
book	NN	book
about	IN	about
that	DT	that
,	,	,
which	WDT	which
was	VBD	be
mainly	RB	mainly
about	IN	about
getting	VBG	get
governments	NNS	government
out	RP	out
of	IN	of
the	DT	the
market	NN	market
.	SENT	.
We	PP	we
now	RB	now
recognize	VBP	recognize
that	IN	that
getting	VBG	get
markets	NNS	market
right	NN	right
is	VBZ	be
about	RB	about
not	RB	not
just	RB	just
price	NN	price
incentives	NNS	incentive
,	,	,
but	CC	but
also	RB	also
investing	VBG	invest
in	IN	in
the	DT	the
right	JJ	right
infrastructure	NN	infrastructure
and	CC	and
the	DT	the
appropriate	JJ	appropriate
and	CC	and
necessary	JJ	necessary
institutions	NNS	institution
to	TO	to
create	VB	create
the	DT	the
conditions	NNS	condition
to	TO	to
unleash	VB	unleash
the	DT	the
power	NN	power
of	IN	of
innovation	NN	innovation
in	IN	in
the	DT	the
market	NN	market
.	SENT	.
When	WRB	when
conditions	NNS	condition
are	VBP	be
right	JJ	right
,	,	,
we	PP	we
know	VBP	know
and	CC	and
see	VBP	see
that	IN	that
that	DT	that
innovation	NN	innovation
is	VBZ	be
ready	JJ	ready
to	TO	to
explode	VB	explode
in	IN	in
rural	JJ	rural
Africa	NP	Africa
,	,	,
just	RB	just
like	IN	like
anywhere	RB	anywhere
else	RB	else
.	SENT	.
Nearly	RB	nearly
three	CD	three
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
decided	VBD	decide
to	TO	to
leave	VB	leave
my	PP$	my
comfortable	JJ	comfortable
job	NN	job
as	IN	as
a	DT	a
World	NP	World
Bank	NP	Bank
senior	JJ	senior
economist	NN	economist
in	IN	in
Washington	NP	Washington
and	CC	and
come	VB	come
back	RB	back
to	TO	to
my	PP$	my
country	NN	country
of	IN	of
birth	NN	birth
,	,	,
Ethiopia	NP	Ethiopia
,	,	,
after	IN	after
nearly	RB	nearly
30	CD	@card@
years	NNS	year
abroad	RB	abroad
.	SENT	.
I	PP	I
did	VBD	do
so	RB	so
for	IN	for
a	DT	a
simple	JJ	simple
reason	NN	reason
.	SENT	.
After	IN	after
having	VBG	have
spent	VBN	spend
more	JJR	more
than	IN	than
a	DT	a
decade	NN	decade
understanding	NN	understanding
,	,	,
studying	VBG	study
,	,	,
and	CC	and
trying	VBG	try
to	TO	to
convince	VB	convince
policymakers	NNS	policymaker
and	CC	and
donors	NNS	donor
about	IN	about
what	WP	what
was	VBD	be
wrong	JJ	wrong
with	IN	with
Africa	NP	Africa
'	POS	'
s	JJ	<unknown>
agricultural	JJ	agricultural
markets	NNS	market
,	,	,
I	PP	I
decided	VBD	decide
it	PP	it
was	VBD	be
time	NN	time
to	TO	to
do	VB	do
something	NN	something
about	IN	about
it	PP	it
.	SENT	.
I	PP	I
currently	RB	currently
lead	VBP	lead
,	,	,
in	IN	in
Ethiopia	NP	Ethiopia
,	,	,
an	DT	an
exciting	JJ	exciting
new	JJ	new
initiative	NN	initiative
to	TO	to
establish	VB	establish
the	DT	the
first	JJ	first
Ethiopia	NP	Ethiopia
Commodity	NP	Commodity
Exchange	NP	Exchange
,	,	,
or	CC	or
ECX	NP	ECX
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
commodity	NN	commodity
exchange	NN	exchange
itself	PP	itself
,	,	,
that	DT	that
concept	NN	concept
,	,	,
is	VBZ	be
not	RB	not
new	JJ	new
to	TO	to
the	DT	the
world	NN	world
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
in	IN	in
1848	CD	@card@
,	,	,
82	CD	@card@
grain	NN	grain
merchants	NNS	merchant
and	CC	and
farmers	NNS	farmer
got	VBD	get
together	RB	together
in	IN	in
a	DT	a
small	JJ	small
town	NN	town
at	IN	at
the	DT	the
crossroads	NNS	crossroad
of	IN	of
the	DT	the
Illinois	NP	Illinois
River	NP	River
and	CC	and
Lake	NP	Lake
Michigan	NP	Michigan
to	TO	to
establish	VB	establish
a	DT	a
way	NN	way
to	TO	to
trade	VB	trade
better	JJR	good
amongst	IN	amongst
themselves	PP	themselves
.	SENT	.
That	WDT	that
was	VBD	be
,	,	,
of	IN	of
course	NN	course
,	,	,
the	DT	the
birth	NN	birth
of	IN	of
the	DT	the
Chicago	NP	Chicago
Board	NP	Board
of	IN	of
Trade	NP	Trade
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
most	RBS	most
famous	JJ	famous
commodity	NN	commodity
exchange	NN	exchange
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
The	DT	the
Chicago	NP	Chicago
Board	NP	Board
of	IN	of
Trade	NP	Trade
was	VBD	be
established	VBN	establish
then	RB	then
for	IN	for
precisely	RB	precisely
the	DT	the
same	JJ	same
reasons	NNS	reason
that	IN	that
our	PP$	our
farmers	NNS	farmer
today	NN	today
would	MD	would
benefit	VB	benefit
from	IN	from
a	DT	a
commodity	NN	commodity
exchange	NN	exchange
.	SENT	.
In	IN	in
the	DT	the
American	NP	American
Midwest	NP	Midwest
,	,	,
farmers	NNS	farmer
used	VBD	use
to	TO	to
load	VB	load
grain	NN	grain
onto	IN	onto
barges	NNS	barge
and	CC	and
send	VB	send
it	PP	it
upriver	JJ	upriver
to	TO	to
the	DT	the
Chicago	NP	Chicago
market	NN	market
.	SENT	.
But	CC	but
once	RB	once
it	PP	it
arrived	VBD	arrive
,	,	,
if	IN	if
no	DT	no
buyer	NN	buyer
was	VBD	be
to	TO	to
be	VB	be
found	VBN	find
,	,	,
or	CC	or
if	IN	if
prices	NNS	price
suddenly	RB	suddenly
dropped	VBD	drop
,	,	,
farmers	NNS	farmer
would	MD	would
incur	VB	incur
tremendous	JJ	tremendous
losses	NNS	loss
.	SENT	.
And	CC	and
in	IN	in
fact	NN	fact
,	,	,
would	MD	would
even	RB	even
dump	VB	dump
the	DT	the
grain	NN	grain
in	IN	in
Lake	NP	Lake
Michigan	NP	Michigan
,	,	,
rather	RB	rather
than	IN	than
spend	VB	spend
more	JJR	more
money	NN	money
transporting	VBG	transport
it	PP	it
back	RB	back
to	TO	to
their	PP$	their
farms	NNS	farm
.	SENT	.
Well	RB	well
,	,	,
the	DT	the
need	NN	need
to	TO	to
avoid	VB	avoid
these	DT	these
huge	JJ	huge
risks	NNS	risk
and	CC	and
tremendous	JJ	tremendous
losses	NNS	loss
led	VBN	lead
to	TO	to
the	DT	the
birth	NN	birth
of	IN	of
the	DT	the
futures	NNS	future
market	NN	market
,	,	,
and	CC	and
the	DT	the
underlying	VBG	underlie
system	NN	system
of	IN	of
grading	VBG	grade
grain	NN	grain
and	CC	and
receipting	VBG	receipt
—	:	-
issuing	VBG	issue
warehouse	NN	warehouse
receipts	NNS	receipt
on	IN	on
the	DT	the
basis	NN	basis
of	IN	of
which	WDT	which
trade	NN	trade
could	MD	could
be	VB	be
done	VBN	do
.	SENT	.
From	IN	from
there	RB	there
,	,	,
the	DT	the
greatest	JJS	great
innovation	NN	innovation
of	IN	of
all	DT	all
came	VBD	come
about	RB	about
in	IN	in
this	DT	this
market	NN	market
,	,	,
which	WDT	which
is	VBZ	be
that	IN	that
buyers	NNS	buyer
and	CC	and
sellers	NNS	seller
could	MD	could
transact	VB	transact
grain	NN	grain
without	IN	without
actually	RB	actually
having	VBG	have
to	TO	to
physically	RB	physically
or	CC	or
visually	RB	visually
inspect	VB	inspect
the	DT	the
grain	NN	grain
.	SENT	.
That	DT	that
meant	VBD	mean
that	IN	that
grain	NN	grain
could	MD	could
be	VB	be
traded	VBN	trade
across	IN	across
tremendous	JJ	tremendous
distances	NNS	distance
,	,	,
and	CC	and
even	RB	even
across	IN	across
time	NN	time
—	:	-
as	RB	as
far	RB	far
forward	RB	forward
as	IN	as
18	CD	@card@
months	NNS	month
into	IN	into
the	DT	the
future	NN	future
.	SENT	.
This	DT	this
innovation	NN	innovation
is	VBZ	be
at	IN	at
the	DT	the
heart	NN	heart
of	IN	of
the	DT	the
transformation	NN	transformation
of	IN	of
American	JJ	American
agriculture	NN	agriculture
,	,	,
and	CC	and
the	DT	the
rise	NN	rise
of	IN	of
Chicago	NP	Chicago
to	TO	to
a	DT	a
global	JJ	global
market	NN	market
,	,	,
agricultural	JJ	agricultural
market	NN	market
,	,	,
superpower	NN	superpower
from	IN	from
where	WRB	where
it	PP	it
was	VBD	be
,	,	,
a	DT	a
small	JJ	small
regional	JJ	regional
town	NN	town
.	SENT	.
Now	RB	now
,	,	,
over	IN	over
the	DT	the
last	JJ	last
century	NN	century
,	,	,
we	PP	we
tend	VBP	tend
to	TO	to
think	VB	think
of	IN	of
commodity	NN	commodity
exchanges	NNS	exchange
as	IN	as
the	DT	the
purview	NN	purview
of	IN	of
Western	JJ	Western
industrialized	JJ	industrialized
countries	NNS	country
,	,	,
and	CC	and
that	IN	that
the	DT	the
reference	NN	reference
prices	NNS	price
for	IN	for
cotton	NN	cotton
,	,	,
coffee	NN	coffee
,	,	,
cocoa	NN	cocoa
—	:	-
products	NNS	product
produced	VBN	produce
mainly	RB	mainly
in	IN	in
the	DT	the
south	NN	south
—	:	-
are	VBP	be
actually	RB	actually
a	DT	a
reference	NN	reference
price	NN	price
,	,	,
or	CC	or
a	DT	a
price	NN	price
discovered	VBN	discover
in	IN	in
these	DT	these
organized	JJ	organized
commodity	NN	commodity
exchanges	NNS	exchange
in	IN	in
the	DT	the
northern	JJ	northern
countries	NNS	country
.	SENT	.
But	CC	but
that	DT	that
is	VBZ	be
actually	RB	actually
changing	VBG	change
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
seeing	VBG	see
a	DT	a
shift	NN	shift
—	:	-
powered	VBN	power
mainly	RB	mainly
because	IN	because
of	IN	of
information	NN	information
technology	NN	technology
—	:	-
a	DT	a
shift	NN	shift
in	IN	in
market	NN	market
dominance	NN	dominance
towards	IN	towards
the	DT	the
emerging	VBG	emerge
markets	NNS	market
.	SENT	.
And	CC	and
over	IN	over
the	DT	the
last	JJ	last
decade	NN	decade
,	,	,
you	PP	you
see	VBP	see
that	IN	that
the	DT	the
share	NN	share
of	IN	of
Western	JJ	Western
exchanges	NNS	exchange
—	:	-
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
share	NN	share
of	IN	of
exchanges	NNS	exchange
in	IN	in
the	DT	the
world	NN	world
—	:	-
has	VBZ	have
gone	VBN	go
down	RP	down
by	IN	by
nearly	RB	nearly
half	JJ	half
in	IN	in
just	RB	just
the	DT	the
last	JJ	last
decade	NN	decade
.	SENT	.
Similarly	RB	similarly
,	,	,
there	EX	there
'	''	'
s	RB	<unknown>
been	VBN	be
explosive	JJ	explosive
growth	NN	growth
in	IN	in
India	NP	India
,	,	,
for	IN	for
example	NN	example
,	,	,
where	WRB	where
rural	JJ	rural
farmers	NNS	farmer
are	VBP	be
using	VBG	use
exchanges	NNS	exchange
—	:	-
growing	VBG	grow
here	RB	here
over	IN	over
the	DT	the
last	JJ	last
three	CD	three
years	NNS	year
by	IN	by
270	CD	@card@
percent	NN	percent
a	DT	a
year	NN	year
.	SENT	.
This	DT	this
is	VBZ	be
powered	VBN	power
by	IN	by
low-cost	JJ	low-cost
VSAT	NP	VSAT
technology	NN	technology
,	,	,
aggressively	RB	aggressively
trying	VBG	try
to	TO	to
reach	VB	reach
farmers	NNS	farmer
to	TO	to
bring	VB	bring
them	PP	them
into	IN	into
the	DT	the
market	NN	market
.	SENT	.
China	NP	China
'	POS	'
s	NN	S
Dalian	NP	Dalian
Commodity	NP	Commodity
Exchange	NP	Exchange
,	,	,
three	CD	three
years	NNS	year
ago	RB	ago
,	,	,
2004	CD	@card@
,	,	,
overtook	VBD	overtake
the	DT	the
Chicago	NP	Chicago
Board	NP	Board
of	IN	of
Trade	NP	Trade
to	TO	to
become	VB	become
the	DT	the
second	JJ	second
largest	JJS	large
commodity	NN	commodity
exchange	NN	exchange
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
Now	RB	now
,	,	,
in	IN	in
Ethiopia	NP	Ethiopia
,	,	,
we	PP	we
'	POS	'
re	NN	re
in	IN	in
the	DT	the
process	NN	process
of	IN	of
designing	VBG	design
the	DT	the
first	JJ	first
organized	JJ	organized
Ethiopia	NP	Ethiopia
Commodity	NP	Commodity
Exchange	NP	Exchange
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
not	RB	not
trying	VBG	try
to	TO	to
cut	VB	cut
and	CC	and
paste	VB	paste
the	DT	the
Chicago	NP	Chicago
model	NN	model
or	CC	or
the	DT	the
India	NP	India
model	NN	model
,	,	,
but	CC	but
creating	VBG	create
a	DT	a
system	NN	system
uniquely	RB	uniquely
tailored	VBN	tailor
to	TO	to
Ethiopia	NP	Ethiopia
'	POS	'
s	NN	S
needs	NNS	need
and	CC	and
realities	NNS	reality
,	,	,
Ethiopia	NP	Ethiopia
'	POS	'
s	JJ	<unknown>
small	JJ	small
farmers	NNS	farmer
.	SENT	.
So	RB	so
,	,	,
the	DT	the
ECX	NP	ECX
is	VBZ	be
an	DT	an
Ethiopian	JJ	Ethiopian
exchange	NN	exchange
for	IN	for
Ethiopia	NP	Ethiopia
.	SENT	.
We	PP	we
'	''	'
re	IN	re
creating	VBG	create
a	DT	a
system	NN	system
that	WDT	that
serves	VBZ	serve
all	DT	all
market	NN	market
actors	NNS	actor
,	,	,
that	WDT	that
creates	VBZ	create
integrity	NN	integrity
,	,	,
trust	NN	trust
,	,	,
efficiency	NN	efficiency
,	,	,
transparency	NN	transparency
and	CC	and
enables	VBZ	enable
small	JJ	small
farmers	NNS	farmer
to	TO	to
manage	VB	manage
the	DT	the
risks	NNS	risk
that	IN	that
I	PP	I
have	VBP	have
described	VBN	describe
.	SENT	.
In	IN	in
the	DT	the
design	NN	design
of	IN	of
our	PP$	our
commodity	NN	commodity
exchange	NN	exchange
in	IN	in
Ethiopia	NP	Ethiopia
,	,	,
we	PP	we
'	POS	'
ve	JJ	<unknown>
done	VBN	do
something	NN	something
rather	RB	rather
unique	JJ	unique
,	,	,
which	WDT	which
is	VBZ	be
to	TO	to
take	VB	take
the	DT	the
approach	NN	approach
of	IN	of
an	DT	an
integrated	JJ	integrated
perspective	NN	perspective
,	,	,
or	CC	or
what	WP	what
we	PP	we
call	VBP	call
the	DT	the
ECX	NP	ECX
Edge	NP	Edge
.	SENT	.
The	DT	the
ECX	NP	ECX
Edge	NP	Edge
pretty	RB	pretty
much	RB	much
creates	VBZ	create
the	DT	the
entire	JJ	entire
ecosystem	NN	ecosystem
in	IN	in
which	WDT	which
the	DT	the
market	NN	market
will	MD	will
develop	VB	develop
itself	PP	itself
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
because	IN	because
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
we	PP	we
'	POS	'
ve	NN	ve
learned	VBD	learn
over	IN	over
the	DT	the
last	JJ	last
decade	NN	decade
of	IN	of
studying	VBG	study
market	NN	market
development	NN	development
in	IN	in
Africa	NP	Africa
is	VBZ	be
that	IN	that
the	DT	the
piecemeal	JJ	piecemeal
approach	NN	approach
does	VBZ	do
not	RB	not
work	VB	work
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
one	CD	one
donor	NN	donor
trying	VBG	try
to	TO	to
develop	VB	develop
market	NN	market
information	NN	information
,	,	,
another	DT	another
trying	VBG	try
to	TO	to
work	VB	work
on	IN	on
or	CC	or
sponsor	NN	sponsor
grades	NNS	grade
and	CC	and
standards	NNS	standard
,	,	,
another	DT	another
ICT	NN	ICT
,	,	,
and	CC	and
yet	RB	yet
another	DT	another
on	IN	on
warehousing	VBG	warehouse
,	,	,
or	CC	or
warehouse	NN	warehouse
receipts	NNS	receipt
.	SENT	.
In	IN	in
our	PP$	our
approach	NN	approach
in	IN	in
Ethiopia	NP	Ethiopia
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
decided	VBD	decide
to	TO	to
put	VB	put
together	RB	together
the	DT	the
entire	JJ	entire
ecosystem	NN	ecosystem
,	,	,
or	CC	or
environment	NN	environment
,	,	,
in	IN	in
which	WDT	which
trade	NN	trade
takes	VBZ	take
place	NN	place
.	SENT	.
That	DT	that
means	VBZ	mean
that	IN	that
the	DT	the
exchange	NN	exchange
will	MD	will
operate	VB	operate
a	DT	a
trading	NN	trading
system	NN	system
,	,	,
which	WDT	which
will	MD	will
initially	RB	initially
start	VB	start
as	IN	as
an	DT	an
open	JJ	open
outcry	NN	outcry
,	,	,
because	IN	because
we	PP	we
don	NN	don
'	POS	'
t	NN	t
think	VBP	think
the	DT	the
country	NN	country
'	POS	'
s	NNS	<unknown>
ready	JJ	ready
for	IN	for
full	JJ	full
electronic	JJ	electronic
trading	NN	trading
.	SENT	.
But	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
do	VBP	do
something	NN	something
which	WDT	which
I	PP	I
think	VBP	think
no	DT	no
exchange	NN	exchange
in	IN	in
the	DT	the
world	NN	world
has	VBZ	have
ever	RB	ever
done	VBN	do
,	,	,
which	WDT	which
is	VBZ	be
itself	PP	itself
to	TO	to
operate	VB	operate
something	NN	something
like	IN	like
an	DT	an
Internet	NN	Internet
cafe	NN	cafe
in	IN	in
the	DT	the
rural	JJ	rural
areas	NNS	area
.	SENT	.
So	RB	so
that	IN	that
farmers	NNS	farmer
and	CC	and
small	JJ	small
traders	NNS	trader
can	MD	can
actually	RB	actually
come	VB	come
to	TO	to
a	DT	a
terminal	JJ	terminal
center	NN	center
—	:	-
what	WP	what
we	PP	we
call	VBP	call
the	DT	the
remote	JJ	remote
access	NN	access
terminal	NN	terminal
centers	NNS	center
—	:	-
and	CC	and
actually	RB	actually
,	,	,
without	IN	without
having	VBG	have
to	TO	to
buy	VB	buy
a	DT	a
computer	NN	computer
or	CC	or
figure	VB	figure
out	RP	out
how	WRB	how
to	TO	to
dial	VB	dial
up	RP	up
or	CC	or
any	DT	any
of	IN	of
those	DT	those
things	NNS	thing
,	,	,
simply	RB	simply
see	VB	see
the	DT	the
trading	NN	trading
that	RB	that
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
on	IN	on
the	DT	the
Addis	NP	Addis
Ababa	NP	Ababa
trading	NN	trading
floor	NN	floor
.	SENT	.
At	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
what	WP	what
'	POS	'
s	NN	S
very	RB	very
fundamental	JJ	fundamental
to	TO	to
this	DT	this
market	NN	market
is	VBZ	be
that	DT	that
—	:	-
and	CC	and
again	RB	again
,	,	,
an	DT	an
innovation	NN	innovation
that	IN	that
we	PP	we
'	POS	'
ve	NNS	<unknown>
designed	VBN	design
for	IN	for
our	PP$	our
exchange	NN	exchange
—	:	-
is	VBZ	be
that	IN	that
the	DT	the
exchange	NN	exchange
will	MD	will
operate	VB	operate
warehouses	NNS	warehouse
around	IN	around
the	DT	the
country	NN	country
,	,	,
in	IN	in
which	WDT	which
grade	NN	grade
certification	NN	certification
and	CC	and
warehouse	NN	warehouse
receipting	VBG	receipt
will	MD	will
be	VB	be
done	VBN	do
.	SENT	.
And	CC	and
in	IN	in
turn	NN	turn
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
operate	VBP	operate
an	DT	an
in-house	JJ	in-house
clearing	NN	clearing
system	NN	system
,	,	,
to	TO	to
assure	VB	assure
that	DT	that
payment	NN	payment
is	VBZ	be
done	VBN	do
appropriately	RB	appropriately
,	,	,
in	IN	in
the	DT	the
right	JJ	right
amount	NN	amount
and	CC	and
at	IN	at
the	DT	the
right	JJ	right
time	NN	time
,	,	,
so	RB	so
that	IN	that
basically	RB	basically
,	,	,
we	PP	we
create	VBP	create
trust	NN	trust
and	CC	and
integrity	NN	integrity
in	IN	in
the	DT	the
system	NN	system
.	SENT	.
Obviously	RB	obviously
,	,	,
we	PP	we
work	VBP	work
with	IN	with
exchange	NN	exchange
actors	NNS	actor
,	,	,
and	CC	and
as	IN	as
we	PP	we
'	POS	'
re	NN	re
developing	VBG	develop
the	DT	the
exchange	NN	exchange
market	NN	market
itself	PP	itself
,	,	,
we	PP	we
'	POS	'
re	NN	re
also	RB	also
developing	VBG	develop
the	DT	the
regulatory	JJ	regulatory
infrastructure	NN	infrastructure
and	CC	and
legal	JJ	legal
framework	NN	framework
,	,	,
the	DT	the
overarching	JJ	overarching
legal	JJ	legal
framework	NN	framework
for	IN	for
making	VBG	make
this	DT	this
market	NN	market
work	NN	work
.	SENT	.
So	RB	so
,	,	,
in	IN	in
fact	NN	fact
,	,	,
our	PP$	our
proclamation	NN	proclamation
is	VBZ	be
going	VBG	go
to	TO	to
parliament	NN	parliament
next	JJ	next
month	NN	month
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
really	RB	really
important	JJ	important
is	VBZ	be
that	IN	that
the	DT	the
ECX	NP	ECX
will	MD	will
operate	VB	operate
a	DT	a
market	NN	market
information	NN	information
system	NN	system
to	TO	to
disseminate	VB	disseminate
prices	NNS	price
in	IN	in
real	JJ	real
time	NN	time
to	TO	to
farmers	NNS	farmer
around	IN	around
the	DT	the
country	NN	country
,	,	,
using	VBG	use
VSAT	NP	VSAT
technology	NN	technology
to	TO	to
bring	VB	bring
an	DT	an
electronic	JJ	electronic
price	NN	price
dissemination	NN	dissemination
directly	RB	directly
to	TO	to
farmers	NNS	farmer
.	SENT	.
What	WP	what
this	DT	this
does	VBZ	do
is	VBZ	be
transforms	NNS	transform
,	,	,
fundamentally	RB	fundamentally
,	,	,
the	DT	the
farmers	NNS	farmer
'	POS	'
relationship	NN	relationship
to	TO	to
the	DT	the
market	NN	market
.	SENT	.
Whereas	IN	whereas
before	IN	before
the	DT	the
farmer	NN	farmer
used	VBN	use
to	TO	to
think	VB	think
local	JJ	local
—	:	-
meaning	VBG	mean
that	IN	that
he	PP	he
or	CC	or
she	PP	she
would	MD	would
go	VB	go
to	TO	to
the	DT	the
nearest	JJS	near
local	JJ	local
market	NN	market
,	,	,
eight	CD	eight
to	TO	to
10	CD	@card@
kilometers	NNS	kilometer
away	RB	away
on	IN	on
average	NN	average
,	,	,
and	CC	and
sell	VB	sell
whatever	WDT	whatever
they	PP	they
happened	VBD	happen
to	TO	to
have	VB	have
,	,	,
without	IN	without
any	DT	any
idea	NN	idea
of	IN	of
what	WP	what
the	DT	the
price	NN	price
premium	NN	premium
or	CC	or
anything	NN	anything
else	RB	else
was	VBD	be
—	:	-
now	RB	now
farmers	NNS	farmer
come	VBN	come
with	IN	with
knowledge	NN	knowledge
of	IN	of
what	WP	what
prices	NNS	price
are	VBP	be
at	IN	at
the	DT	the
national	JJ	national
market	NN	market
.	SENT	.
And	CC	and
they	PP	they
start	VBP	start
to	TO	to
think	VB	think
national	JJ	national
,	,	,
and	CC	and
even	RB	even
global	JJ	global
.	SENT	.
They	PP	they
start	VBP	start
to	TO	to
make	VB	make
not	RB	not
only	RB	only
commercial	JJ	commercial
marketing	NN	marketing
decisions	NNS	decision
,	,	,
but	CC	but
also	RB	also
planting	VBG	plant
decisions	NNS	decision
,	,	,
on	IN	on
the	DT	the
basis	NN	basis
of	IN	of
information	NN	information
coming	VBG	come
from	IN	from
the	DT	the
futures	NNS	future
price	NN	price
market	NN	market
.	SENT	.
And	CC	and
they	PP	they
come	VBP	come
to	TO	to
the	DT	the
market	NN	market
knowing	VBG	know
what	WP	what
grades	VBZ	grade
their	PP$	their
products	NNS	product
will	MD	will
achieve	VB	achieve
in	IN	in
terms	NNS	term
of	IN	of
a	DT	a
price	NN	price
premium	NN	premium
.	SENT	.
So	RB	so
all	RB	all
of	IN	of
this	DT	this
will	MD	will
transform	VB	transform
farmers	NNS	farmer
.	SENT	.
It	PP	it
will	MD	will
also	RB	also
transform	VB	transform
the	DT	the
way	NN	way
traders	NNS	trader
do	VBP	do
business	NN	business
.	SENT	.
It	PP	it
will	MD	will
stop	VB	stop
them	PP	them
from	IN	from
doing	VBG	do
simple	JJ	simple
,	,	,
back-to-back	JJ	back-to-back
,	,	,
limited	JJ	limited
arbitrage	NN	arbitrage
to	TO	to
really	RB	really
thinking	VBG	think
strategically	RB	strategically
about	IN	about
how	WRB	how
to	TO	to
move	VB	move
grain	NN	grain
across	IN	across
long	JJ	long
distances	NNS	distance
from	IN	from
[	SYM	[
surplus	JJ	surplus
regions	NNS	region
]	SYM	]
to	TO	to
[	SYM	[
deficit	NN	deficit
areas	NNS	area
]	SYM	]
.	SENT	.
Can	MD	can
Ethiopia	NP	Ethiopia
do	VBP	do
this	DT	this
?	SENT	?
It	PP	it
seems	VBZ	seem
very	RB	very
ambitious	JJ	ambitious
.	SENT	.
But	CC	but
it	PP	it
will	MD	will
create	VB	create
new	JJ	new
opportunities	NNS	opportunity
.	SENT	.
We	PP	we
believe	VBP	believe
that	IN	that
this	DT	this
initiative	NN	initiative
requires	VBZ	require
great	JJ	great
political	JJ	political
will	NN	will
,	,	,
and	CC	and
we	PP	we
'	POS	'
ll	NNS	<unknown>
have	VBP	have
to	TO	to
align	VB	align
the	DT	the
financial	JJ	financial
sector	NN	sector
,	,	,
as	RB	as
well	RB	well
as	IN	as
the	DT	the
ICT	JJ	<unknown>
sector	NN	sector
,	,	,
and	CC	and
really	RB	really
even	RB	even
the	DT	the
underlying	VBG	underlie
legal	JJ	legal
framework	NN	framework
.	SENT	.
We	PP	we
believe	VBP	believe
that	IN	that
the	DT	the
winds	NNS	wind
of	IN	of
change	NN	change
are	VBP	be
here	RB	here
,	,	,
and	CC	and
that	IN	that
we	PP	we
can	MD	can
do	VB	do
it	PP	it
.	SENT	.
ECX	NP	ECX
is	VBZ	be
the	DT	the
market	NN	market
for	IN	for
Ethiopia	NP	Ethiopia
'	POS	'
s	JJ	<unknown>
new	JJ	new
millennium	NN	millennium
,	,	,
which	WDT	which
starts	VBZ	start
in	IN	in
about	RB	about
eight	CD	eight
months	NNS	month
.	SENT	.
The	DT	the
last	JJ	last
parliament	NN	parliament
of	IN	of
our	PP$	our
century	NN	century
opened	VBD	open
with	IN	with
our	PP$	our
president	NN	president
announcing	VBG	announce
to	TO	to
the	DT	the
country	NN	country
that	IN	that
this	DT	this
was	VBD	be
the	DT	the
most	RBS	most
important	JJ	important
economic	JJ	economic
initiative	NN	initiative
for	IN	for
the	DT	the
country	NN	country
today	NN	today
.	SENT	.
We	PP	we
believe	VBP	believe
that	IN	that
the	DT	the
stakes	NNS	stake
are	VBP	be
high	JJ	high
,	,	,
but	CC	but
that	IN	that
the	DT	the
returns	NNS	return
will	MD	will
be	VB	be
even	RB	even
greater	JJR	great
.	SENT	.
ECX	NP	ECX
,	,	,
moreover	RB	moreover
,	,	,
can	MD	can
become	VB	become
a	DT	a
trading	NN	trading
platform	NN	platform
for	IN	for
a	DT	a
pan-African	JJ	pan-African
market	NN	market
in	IN	in
agricultural	JJ	agricultural
