Charlie	NP	Charlie
,	,	,
and	CC	and
I	PP	I
think	VBP	think
for	IN	for
me	PP	me
,	,	,
I	PP	I
have	VBP	have
been	VBN	be
focusing	VBG	focus
on	IN	on
access	NN	access
more	RBR	more
,	,	,
if	IN	if
we	PP	we
'	POS	'
re	NN	re
talking	VBG	talk
about	IN	about
the	DT	the
future	NN	future
.	SENT	.
We	PP	we
recently	RB	recently
released	VBD	release
this	DT	this
Loon	NP	Loon
Project	NP	Project
which	WDT	which
is	VBZ	be
using	VBG	use
balloons	NNS	balloon
to	TO	to
do	VB	do
it	PP	it
.	SENT	.
It	PP	it
sounds	VBZ	sound
totally	RB	totally
crazy	JJ	crazy
.	SENT	.
We	PP	we
can	MD	can
show	VB	show
the	DT	the
video	NN	video
here	RB	here
.	SENT	.
Actually	RB	actually
,	,	,
two	CD	two
out	IN	out
of	IN	of
three	CD	three
people	NNS	people
in	IN	in
the	DT	the
world	NN	world
don	NN	don
'	''	'
t	NN	t
have	VBP	have
good	JJ	good
Internet	NN	Internet
access	NN	access
now	RB	now
.	SENT	.
We	PP	we
actually	RB	actually
think	VBP	think
this	DT	this
can	MD	can
really	RB	really
help	VB	help
people	NNS	people
sort	NN	sort
of	IN	of
cost-efficiently	RB	cost-efficiently
.	SENT	.
CR	NN	CR
:	:	:
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
balloon	NN	balloon
.	SENT	.
LP	NP	LP
:	:	:
Yeah	RB	yeah
,	,	,
get	VB	get
access	NN	access
to	TO	to
the	DT	the
Internet	NN	Internet
.	SENT	.
CR	NN	CR
:	:	:
And	CC	and
why	WRB	why
does	VBZ	do
this	DT	this
balloon	NN	balloon
give	VB	give
you	PP	you
access	VB	access
to	TO	to
the	DT	the
Internet	NN	Internet
?	SENT	?
Because	IN	because
there	EX	there
was	VBD	be
some	DT	some
interesting	JJ	interesting
things	NNS	thing
you	PP	you
had	VBD	have
to	TO	to
do	VB	do
to	TO	to
figure	VB	figure
out	RP	out
how	WRB	how
to	TO	to
make	VB	make
balloons	NNS	balloon
possible	JJ	possible
,	,	,
they	PP	they
didn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
to	TO	to
be	VB	be
tethered	VBN	tether
.	SENT	.
LP	NP	LP
:	:	:
Yeah	RB	yeah
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
a	DT	a
good	JJ	good
example	NN	example
of	IN	of
innovation	NN	innovation
.	SENT	.
Like	IN	like
,	,	,
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
thinking	VBG	think
about	IN	about
this	DT	this
idea	NN	idea
for	IN	for
five	CD	five
years	NNS	year
or	CC	or
more	JJR	more
before	IN	before
we	PP	we
started	VBD	start
working	VBG	work
on	IN	on
it	PP	it
,	,	,
but	CC	but
it	PP	it
was	VBD	be
just	RB	just
really	RB	really
,	,	,
how	WRB	how
do	VBP	do
we	PP	we
get	VB	get
access	NN	access
points	NNS	point
up	RB	up
high	JJ	high
,	,	,
cheaply	RB	cheaply
?	SENT	?
You	PP	you
normally	RB	normally
have	VB	have
to	TO	to
use	VB	use
satellites	NNS	satellite
and	CC	and
it	PP	it
takes	VBZ	take
a	DT	a
long	JJ	long
time	NN	time
to	TO	to
launch	VB	launch
them	PP	them
.	SENT	.
But	CC	but
you	PP	you
saw	VBD	see
there	RB	there
how	WRB	how
easy	JJ	easy
it	PP	it
is	VBZ	be
to	TO	to
launch	VB	launch
a	DT	a
balloon	NN	balloon
and	CC	and
get	VB	get
it	PP	it
up	RP	up
,	,	,
and	CC	and
actually	RB	actually
again	RB	again
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
power	NN	power
of	IN	of
the	DT	the
Internet	NN	Internet
,	,	,
I	PP	I
did	VBD	do
a	DT	a
search	NN	search
on	IN	on
it	PP	it
,	,	,
and	CC	and
I	PP	I
found	VBD	find
,	,	,
30	CD	@card@
,	,	,
40	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
someone	NN	someone
had	VBD	have
put	VBN	put
up	RP	up
a	DT	a
balloon	NN	balloon
and	CC	and
it	PP	it
had	VBD	have
gone	VBN	go
around	IN	around
the	DT	the
Earth	NP	Earth
multiple	NN	multiple
times	NNS	time
.	SENT	.
And	CC	and
I	PP	I
thought	VBD	think
,	,	,
why	WRB	why
can	NN	can
'	POS	'
t	NN	t
we	PP	we
do	VBP	do
that	DT	that
today	NN	today
?	SENT	?
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
how	WRB	how
this	DT	this
project	NN	project
got	VBD	get
going	VBG	go
.	SENT	.
CR	NN	CR
:	:	:
But	CC	but
are	VBP	be
you	PP	you
at	IN	at
the	DT	the
mercy	NN	mercy
of	IN	of
the	DT	the
wind	NN	wind
?	SENT	?
LP	NP	LP
:	:	:
Yeah	RB	yeah
,	,	,
but	CC	but
it	PP	it
turns	VBZ	turn
out	RP	out
,	,	,
we	PP	we
did	VBD	do
some	DT	some
weather	NN	weather
simulations	NNS	simulation
which	WDT	which
probably	RB	probably
hadn	NNS	<unknown>
'	POS	'
t	NN	t
really	RB	really
been	VBN	be
done	VBN	do
before	IN	before
,	,	,
and	CC	and
if	IN	if
you	PP	you
control	VBP	control
the	DT	the
altitude	NN	altitude
of	IN	of
the	DT	the
balloons	NNS	balloon
,	,	,
which	WDT	which
you	PP	you
can	MD	can
do	VB	do
by	IN	by
pumping	VBG	pump
air	NN	air
into	IN	into
them	PP	them
and	CC	and
other	JJ	other
ways	NNS	way
,	,	,
you	PP	you
can	MD	can
actually	RB	actually
control	VB	control
roughly	RB	roughly
where	WRB	where
they	PP	they
go	VBP	go
,	,	,
and	CC	and
so	RB	so
I	PP	I
think	VBP	think
we	PP	we
can	MD	can
build	VB	build
a	DT	a
worldwide	JJ	worldwide
mesh	NN	mesh
of	IN	of
these	DT	these
balloons	NNS	balloon
that	WDT	that
can	MD	can
cover	VB	cover
the	DT	the
whole	JJ	whole
planet	NN	planet
.	SENT	.
CR	NN	CR
:	:	:
Before	IN	before
I	PP	I
talk	VBP	talk
about	IN	about
the	DT	the
future	NN	future
and	CC	and
transportation	NN	transportation
,	,	,
where	WRB	where
you	PP	you
'	POS	'
ve	RB	<unknown>
been	VBN	be
a	DT	a
nerd	NN	nerd
for	IN	for
a	DT	a
while	NN	while
,	,	,
and	CC	and
this	DT	this
fascination	NN	fascination
you	PP	you
have	VBP	have
with	IN	with
transportation	NN	transportation
and	CC	and
automated	JJ	automated
cars	NNS	car
and	CC	and
bicycles	NNS	bicycle
,	,	,
let	VB	let
me	PP	me
talk	VB	talk
a	DT	a
bit	NN	bit
about	IN	about
what	WP	what
'	POS	'
s	RB	<unknown>
been	VBN	be
the	DT	the
subject	NN	subject
here	RB	here
earlier	RBR	earlier
with	IN	with
Edward	NP	Edward
Snowden	NP	Snowden
.	SENT	.
It	PP	it
is	VBZ	be
security	NN	security
and	CC	and
privacy	NN	privacy
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
have	VB	have
been	VBN	be
thinking	VBG	think
about	IN	about
that	DT	that
.	SENT	.
LP	NP	LP
:	:	:
Yeah	RB	yeah
,	,	,
absolutely	RB	absolutely
.	SENT	.
I	PP	I
saw	VBD	see
the	DT	the
picture	NN	picture
of	IN	of
Sergey	NP	Sergey
with	IN	with
Edward	NP	Edward
Snowden	NP	Snowden
yesterday	NN	yesterday
.	SENT	.
Some	DT	some
of	IN	of
you	PP	you
may	MD	may
have	VB	have
seen	VBN	see
it	PP	it
.	SENT	.
But	CC	but
I	PP	I
think	VBP	think
,	,	,
for	IN	for
me	PP	me
,	,	,
I	PP	I
guess	VBP	guess
,	,	,
privacy	NN	privacy
and	CC	and
security	NN	security
are	VBP	be
a	DT	a
really	RB	really
important	JJ	important
thing	NN	thing
.	SENT	.
We	PP	we
think	VBP	think
about	IN	about
it	PP	it
in	IN	in
terms	NNS	term
of	IN	of
both	DT	both
things	NNS	thing
,	,	,
and	CC	and
I	PP	I
think	VBP	think
you	PP	you
can	MD	can
'	''	'
t	NN	t
have	VBP	have
privacy	NN	privacy
without	IN	without
security	NN	security
,	,	,
so	RB	so
let	VB	let
me	PP	me
just	RB	just
talk	VBP	talk
about	IN	about
security	NN	security
first	JJ	first
,	,	,
because	IN	because
you	PP	you
asked	VBD	ask
about	IN	about
Snowden	NP	Snowden
and	CC	and
all	DT	all
of	IN	of
that	DT	that
,	,	,
and	CC	and
then	RB	then
I	NP	I
'	POS	'
ll	NNS	<unknown>
say	VBP	say
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
privacy	NN	privacy
.	SENT	.
I	PP	I
think	VBP	think
for	IN	for
me	PP	me
,	,	,
it	PP	it
'	POS	'
s	NN	S
tremendously	RB	tremendously
disappointing	JJ	disappointing
that	IN	that
the	DT	the
government	NN	government
secretly	RB	secretly
did	VBD	do
all	PDT	all
this	DT	this
stuff	NN	stuff
and	CC	and
didn	NN	<unknown>
'	POS	'
t	NN	t
tell	VB	tell
us	PP	us
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
we	PP	we
can	MD	can
have	VB	have
a	DT	a
democracy	NN	democracy
if	IN	if
we	PP	we
'	''	'
re	IN	re
having	VBG	have
to	TO	to
protect	VB	protect
you	PP	you
and	CC	and
our	PP$	our
users	NNS	user
from	IN	from
the	DT	the
government	NN	government
for	IN	for
stuff	NN	stuff
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
never	RB	never
had	VBD	have
a	DT	a
conversation	NN	conversation
about	RB	about
.	SENT	.
And	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
mean	VBP	mean
we	PP	we
have	VBP	have
to	TO	to
know	VB	know
what	WP	what
the	DT	the
particular	JJ	particular
terrorist	JJ	terrorist
attack	NN	attack
is	VBZ	be
they	PP	they
'	POS	'
re	NN	re
worried	VBN	worry
about	IN	about
protecting	VBG	protect
us	PP	us
from	IN	from
,	,	,
but	CC	but
we	PP	we
do	VBP	do
need	VB	need
to	TO	to
know	VB	know
what	WP	what
the	DT	the
parameters	NNS	parameter
of	IN	of
it	PP	it
is	VBZ	be
,	,	,
what	WP	what
kind	NN	kind
of	IN	of
surveillance	NN	surveillance
the	DT	the
government	NN	government
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
do	VB	do
and	CC	and
how	WRB	how
and	CC	and
why	WRB	why
,	,	,
and	CC	and
I	PP	I
think	VBP	think
we	PP	we
haven	NN	haven
'	POS	'
t	NN	t
had	VBD	have
that	DT	that
conversation	NN	conversation
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
the	DT	the
government	NN	government
'	POS	'
s	NN	S
actually	RB	actually
done	VBN	do
itself	PP	itself
a	DT	a
tremendous	JJ	tremendous
disservice	NN	disservice
by	IN	by
doing	VBG	do
all	PDT	all
that	DT	that
in	IN	in
secret	NN	secret
.	SENT	.
CR	NN	CR
:	:	:
Never	RB	never
coming	VBG	come
to	TO	to
Google	NP	<unknown>
to	TO	to
ask	VB	ask
for	IN	for
anything	NN	anything
.	SENT	.
LP	NP	LP
:	:	:
Not	RB	not
Google	NP	<unknown>
,	,	,
but	CC	but
the	DT	the
public	NN	public
.	SENT	.
I	PP	I
think	VBP	think
we	PP	we
need	VBP	need
to	TO	to
have	VB	have
a	DT	a
debate	NN	debate
about	IN	about
that	DT	that
,	,	,
or	CC	or
we	PP	we
can	MD	can
'	''	'
t	NN	t
have	VBP	have
a	DT	a
functioning	VBG	function
democracy	NN	democracy
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
not	RB	not
possible	JJ	possible
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
sad	JJ	sad
that	IN	that
Google	NP	<unknown>
'	POS	'
s	NN	S
in	IN	in
the	DT	the
position	NN	position
of	IN	of
protecting	VBG	protect
you	PP	you
and	CC	and
our	PP$	our
users	NNS	user
from	IN	from
the	DT	the
government	NN	government
doing	VBG	do
secret	JJ	secret
thing	NN	thing
that	IN	that
nobody	NN	nobody
knows	VBZ	know
about	RB	about
.	SENT	.
It	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
make	VB	make
any	DT	any
sense	NN	sense
.	SENT	.
CR	NN	CR
:	:	:
Yeah	RB	yeah
.	SENT	.
And	CC	and
then	RB	then
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
privacy	NN	privacy
side	NN	side
of	IN	of
it	PP	it
.	SENT	.
LP	NP	LP
:	:	:
Yes	UH	yes
.	SENT	.
The	DT	the
privacy	NN	privacy
side	NN	side
,	,	,
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	VBZ	<unknown>
â	NP	<unknown>
the	DT	the
world	NN	world
is	VBZ	be
changing	VBG	change
.	SENT	.
You	PP	you
carry	VBP	carry
a	DT	a
phone	NN	phone
.	SENT	.
It	PP	it
knows	VBZ	know
where	WRB	where
you	PP	you
are	VBP	be
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
so	RB	so
much	RB	much
more	JJR	more
information	NN	information
about	IN	about
you	PP	you
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
an	DT	an
important	JJ	important
thing	NN	thing
,	,	,
and	CC	and
it	PP	it
makes	VBZ	make
sense	VB	sense
why	WRB	why
people	NNS	people
are	VBP	be
asking	VBG	ask
difficult	JJ	difficult
questions	NNS	question
.	SENT	.
We	PP	we
spend	VBP	spend
a	DT	a
lot	NN	lot
of	IN	of
time	NN	time
thinking	VBG	think
about	IN	about
this	DT	this
and	CC	and
what	WP	what
the	DT	the
issues	NNS	issue
are	VBP	be
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
little	JJ	little
bit	NN	bit
â	NP	<unknown>
I	NP	I
think	VBP	think
the	DT	the
main	JJ	main
thing	NN	thing
that	IN	that
we	PP	we
need	VBP	need
to	TO	to
do	VB	do
is	VBZ	be
just	RB	just
provide	VB	provide
people	NNS	people
choice	NN	choice
,	,	,
show	VB	show
them	PP	them
what	WP	what
data	NNS	datum
'	POS	'
s	NNS	<unknown>
being	VBG	be
collected	VBN	collect
â	NP	<unknown>
search	NN	search
history	NN	history
,	,	,
location	NN	location
data	NNS	datum
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
excited	VBN	excite
about	IN	about
incognito	JJ	incognito
mode	NN	mode
in	IN	in
Chrome	NN	chrome
,	,	,
and	CC	and
doing	VBG	do
that	IN	that
in	IN	in
more	JJR	more
ways	NNS	way
,	,	,
just	RB	just
giving	VBG	give
people	NNS	people
more	JJR	more
choice	NN	choice
and	CC	and
more	JJR	more
awareness	NN	awareness
of	IN	of
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
.	SENT	.
I	PP	I
also	RB	also
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
very	RB	very
easy	JJ	easy
.	SENT	.
What	WP	what
I	PP	I
'	POS	'
m	NN	m
worried	JJ	worried
is	VBZ	be
that	IN	that
we	PP	we
throw	VB	throw
out	RP	out
the	DT	the
baby	NN	baby
with	IN	with
the	DT	the
bathwater	NN	bathwater
.	SENT	.
And	CC	and
I	PP	I
look	VBP	look
at	IN	at
,	,	,
on	IN	on
your	PP$	your
show	NN	show
,	,	,
actually	RB	actually
,	,	,
I	PP	I
kind	RB	kind
of	IN	of
lost	VBN	lose
my	PP$	my
voice	NN	voice
,	,	,
and	CC	and
I	PP	I
haven	NN	haven
'	POS	'
t	NN	t
gotten	VBN	get
it	PP	it
back	RB	back
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
hoping	VBG	hope
that	IN	that
by	IN	by
talking	VBG	talk
to	TO	to
you	PP	you
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
get	VB	get
it	PP	it
back	RB	back
.	SENT	.
CR	NN	CR
:	:	:
If	IN	if
I	PP	I
could	MD	could
do	VB	do
anything	NN	anything
,	,	,
I	PP	I
would	MD	would
do	VB	do
that	DT	that
.	SENT	.
LP	NP	LP
:	:	:
All	DT	all
right	NN	right
.	SENT	.
So	RB	so
get	VB	get
out	RP	out
your	PP$	your
voodoo	JJ	voodoo
doll	NN	doll
and	CC	and
whatever	WDT	whatever
you	PP	you
need	VBP	need
to	TO	to
do	VB	do
.	SENT	.
But	CC	but
I	PP	I
think	VBP	think
,	,	,
you	PP	you
know	VBP	know
what	WP	what
,	,	,
I	PP	I
look	VBP	look
at	IN	at
that	DT	that
,	,	,
I	PP	I
made	VBD	make
that	DT	that
public	NN	public
,	,	,
and	CC	and
I	PP	I
got	VBD	get
all	PDT	all
this	DT	this
information	NN	information
.	SENT	.
We	PP	we
got	VBD	get
a	DT	a
survey	NN	survey
done	VBN	do
on	IN	on
medical	JJ	medical
conditions	NNS	condition
with	IN	with
people	NNS	people
who	WP	who
have	VBP	have
similar	JJ	similar
issues	NNS	issue
,	,	,
and	CC	and
I	PP	I
look	VBP	look
at	IN	at
medical	JJ	medical
records	NNS	record
,	,	,
and	CC	and
I	PP	I
say	VBP	say
,	,	,
wouldn	NP	<unknown>
'	POS	'
t	NN	t
it	PP	it
be	VB	be
amazing	JJ	amazing
if	IN	if
everyone	NN	everyone
'	POS	'
s	JJ	<unknown>
medical	JJ	medical
records	NNS	record
were	VBD	be
available	JJ	available
anonymously	RB	anonymously
to	TO	to
research	NN	research
doctors	NNS	doctor
?	SENT	?
And	CC	and
when	WRB	when
someone	NN	someone
accesses	VBZ	access
your	PP$	your
medical	JJ	medical
record	NN	record
,	,	,
a	DT	a
research	NN	research
doctor	NN	doctor
,	,	,
they	PP	they
could	MD	could
see	VB	see
,	,	,
you	PP	you
could	MD	could
see	VB	see
which	WDT	which
doctor	NN	doctor
accessed	VBD	access
it	PP	it
and	CC	and
why	WRB	why
,	,	,
and	CC	and
you	PP	you
could	MD	could
maybe	RB	maybe
learn	VB	learn
about	RB	about
what	WP	what
conditions	NNS	condition
you	PP	you
have	VBP	have
.	SENT	.
I	PP	I
think	VBP	think
if	IN	if
we	PP	we
just	RB	just
did	VBD	do
that	IN	that
,	,	,
we	PP	we
'	POS	'
d	NN	d
save	IN	save
100	CD	@card@
,	,	,
000	CD	@card@
lives	NNS	life
this	DT	this
year	NN	year
.	SENT	.
CR	NN	CR
:	:	:
Absolutely	RB	absolutely
.	SENT	.
Let	VB	let
me	PP	me
go	VB	go
â	NP	<unknown>
LP	NP	LP
:	:	:
So	RB	so
I	PP	I
guess	VBP	guess
I	PP	I
'	''	'
m	NN	m
just	RB	just
very	RB	very
worried	VBN	worry
that	IN	that
with	IN	with
Internet	NN	Internet
privacy	NN	privacy
,	,	,
we	PP	we
'	POS	'
re	NN	re
doing	VBG	do
the	DT	the
same	JJ	same
thing	NN	thing
we	PP	we
'	POS	'
re	NN	re
doing	VBG	do
with	IN	with
medical	JJ	medical
records	NNS	record
,	,	,
is	VBZ	be
we	PP	we
'	''	'
re	IN	re
throwing	VBG	throw
out	RP	out
the	DT	the
baby	NN	baby
with	IN	with
the	DT	the
bathwater	NN	bathwater
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
not	RB	not
really	RB	really
thinking	VBG	think
about	IN	about
the	DT	the
tremendous	JJ	tremendous
good	NN	good
that	WDT	that
can	MD	can
come	VB	come
from	IN	from
people	NNS	people
sharing	VBG	share
information	NN	information
with	IN	with
the	DT	the
right	JJ	right
people	NNS	people
in	IN	in
the	DT	the
right	JJ	right
ways	NNS	way
.	SENT	.
CR	NN	CR
:	:	:
And	CC	and
the	DT	the
necessary	JJ	necessary
condition	NN	condition
that	IN	that
people	NNS	people
have	VBP	have
to	TO	to
have	VB	have
confidence	NN	confidence
that	IN	that
their	PP$	their
information	NN	information
will	MD	will
not	RB	not
be	VB	be
abused	VBN	abuse
.	SENT	.
LP	NP	LP
:	:	:
Yeah	RB	yeah
,	,	,
and	CC	and
I	PP	I
had	VBD	have
this	DT	this
problem	NN	problem
with	IN	with
my	PP$	my
voice	NN	voice
stuff	NN	stuff
.	SENT	.
I	PP	I
was	VBD	be
scared	VBN	scare
to	TO	to
share	VB	share
it	PP	it
.	SENT	.
Sergey	NP	Sergey
encouraged	VBD	encourage
me	PP	me
to	TO	to
do	VB	do
that	IN	that
,	,	,
and	CC	and
it	PP	it
was	VBD	be
a	DT	a
great	JJ	great
thing	NN	thing
to	TO	to
do	VB	do
.	SENT	.
CR	NN	CR
:	:	:
And	CC	and
the	DT	the
response	NN	response
has	VBZ	have
been	VBN	be
overwhelming	JJ	overwhelming
.	SENT	.
LP	NP	LP
:	:	:
Yeah	RB	yeah
,	,	,
and	CC	and
people	NNS	people
are	VBP	be
super	JJ	super
positive	NN	positive
.	SENT	.
We	PP	we
got	VBD	get
thousands	NNS	thousand
and	CC	and
thousands	NNS	thousand
of	IN	of
people	NNS	people
with	IN	with
similar	JJ	similar
conditions	NNS	condition
,	,	,
which	WDT	which
there	RB	there
'	''	'
s	VBG	<unknown>
no	DT	no
data	NNS	datum
on	IN	on
today	NN	today
.	SENT	.
So	RB	so
it	PP	it
was	VBD	be
a	DT	a
really	RB	really
good	JJ	good
thing	NN	thing
.	SENT	.
CR	NN	CR
:	:	:
So	RB	so
talking	VBG	talk
about	IN	about
the	DT	the
future	NN	future
,	,	,
what	WP	what
is	VBZ	be
it	PP	it
about	IN	about
you	PP	you
and	CC	and
transportation	NN	transportation
systems	NNS	system
?	SENT	?
LP	NP	LP
:	:	:
Yeah	RB	yeah
.	SENT	.
I	PP	I
guess	VBP	guess
I	PP	I
was	VBD	be
just	RB	just
frustrated	VBN	frustrate
with	IN	with
this	NN	this
when	WRB	when
I	PP	I
was	VBD	be
at	IN	at
college	NN	college
in	IN	in
Michigan	NP	Michigan
.	SENT	.
I	PP	I
had	VBD	have
to	TO	to
get	VB	get
on	IN	on
the	DT	the
bus	NN	bus
and	CC	and
take	VB	take
it	PP	it
and	CC	and
wait	VB	wait
for	IN	for
it	PP	it
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
cold	JJ	cold
and	CC	and
snowing	VBG	snow
.	SENT	.
I	PP	I
did	VBD	do
some	DT	some
research	NN	research
on	IN	on
how	WRB	how
much	RB	much
it	PP	it
cost	VBP	cost
,	,	,
and	CC	and
I	PP	I
just	RB	just
became	VBD	become
a	DT	a
bit	NN	bit
obsessed	VBN	obsess
with	IN	with
transportation	NN	transportation
systems	NNS	system
.	SENT	.
CR	NN	CR
:	:	:
And	CC	and
that	WDT	that
began	VBD	begin
the	DT	the
idea	NN	idea
of	IN	of
an	DT	an
automated	JJ	automated
car	NN	car
.	SENT	.
LP	NP	LP
:	:	:
Yeah	RB	yeah
,	,	,
about	RB	about
18	CD	@card@
years	NNS	year
ago	RB	ago
I	PP	I
learned	VBD	learn
about	IN	about
people	NNS	people
working	VBG	work
on	IN	on
automated	JJ	automated
cars	NNS	car
,	,	,
and	CC	and
I	PP	I
became	VBD	become
fascinated	VBN	fascinate
by	IN	by
that	DT	that
,	,	,
and	CC	and
it	PP	it
takes	VBZ	take
a	DT	a
while	NN	while
to	TO	to
get	VB	get
these	DT	these
projects	NNS	project
going	VBG	go
,	,	,
but	CC	but
I	PP	I
'	POS	'
m	NN	m
super	NN	super
excited	VBN	excite
about	IN	about
the	DT	the
possibilities	NNS	possibility
of	IN	of
that	IN	that
improving	VBG	improve
the	DT	the
world	NN	world
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
20	CD	@card@
million	CD	million
people	NNS	people
or	CC	or
more	RBR	more
injured	JJ	injured
per	IN	per
year	NN	year
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
the	DT	the
leading	VBG	lead
cause	NN	cause
of	IN	of
death	NN	death
for	IN	for
people	NNS	people
under	IN	under
34	CD	@card@
in	IN	in
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
CR	NN	CR
:	:	:
So	IN	so
you	PP	you
'	POS	'
re	NN	re
talking	VBG	talk
about	IN	about
saving	VBG	save
lives	NNS	life
.	SENT	.
LP	NP	LP
:	:	:
Yeah	RB	yeah
,	,	,
and	CC	and
also	RB	also
saving	VBG	save
space	NN	space
and	CC	and
making	VBG	make
life	NN	life
better	RBR	well
.	SENT	.
Los	NP	Los
Angeles	NP	Angeles
is	VBZ	be
half	DT	half
parking	NN	parking
lots	NNS	lot
and	CC	and
roads	NNS	road
,	,	,
half	NN	half
of	IN	of
the	DT	the
area	NN	area
,	,	,
and	CC	and
most	JJS	most
cities	NNS	city
are	VBP	be
not	RB	not
far	RB	far
behind	RB	behind
,	,	,
actually	RB	actually
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
crazy	JJ	crazy
that	IN	that
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
we	PP	we
use	VBP	use
our	PP$	our
space	NN	space
for	IN	for
.	SENT	.
CR	NN	CR
:	:	:
And	CC	and
how	WRB	how
soon	RB	soon
will	MD	will
we	PP	we
be	VB	be
there	RB	there
?	SENT	?
LP	NP	LP
:	:	:
I	PP	I
think	VBP	think
we	PP	we
can	MD	can
be	VB	be
there	RB	there
very	RB	very
,	,	,
very	RB	very
soon	RB	soon
.	SENT	.
We	PP	we
'	POS	'
ve	NNS	<unknown>
driven	VBN	drive
well	RB	well
over	IN	over
100	CD	@card@
,	,	,
000	CD	@card@
miles	NNS	mile
now	RB	now
totally	RB	totally
automated	VBN	automate
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
super	NN	super
excited	VBN	excite
about	IN	about
getting	VBG	get
that	IN	that
out	RB	out
quickly	RB	quickly
.	SENT	.
CR	NN	CR
:	:	:
But	CC	but
it	PP	it
'	POS	'
s	NN	S
not	RB	not
only	JJ	only
you	PP	you
'	''	'
re	IN	re
talking	VBG	talk
about	IN	about
automated	JJ	automated
cars	NNS	car
.	SENT	.
You	PP	you
also	RB	also
have	VBP	have
this	DT	this
idea	NN	idea
for	IN	for
bicycles	NNS	bicycle
.	SENT	.
LP	NP	LP
:	:	:
Well	RB	well
at	IN	at
Google	NP	<unknown>
,	,	,
we	PP	we
got	VBD	get
this	DT	this
idea	NN	idea
that	IN	that
we	PP	we
should	MD	should
just	RB	just
provide	VB	provide
free	JJ	free
bikes	NNS	bike
to	TO	to
everyone	NN	everyone
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	RB	<unknown>
been	VBN	be
amazing	VBG	amaze
,	,	,
most	JJS	most
of	IN	of
the	DT	the
trips	NNS	trip
.	SENT	.
You	PP	you
see	VBP	see
bikes	NNS	bike
going	VBG	go
everywhere	RB	everywhere
,	,	,
and	CC	and
the	DT	the
bikes	NNS	bike
wear	VBP	wear
out	RP	out
.	SENT	.
They	PP	they
'	''	'
re	IN	re
getting	VBG	get
used	VBN	use
24	CD	@card@
hours	NNS	hour
a	DT	a
day	NN	day
.	SENT	.
CR	NN	CR
:	:	:
But	CC	but
you	PP	you
want	VBP	want
to	TO	to
put	VB	put
them	PP	them
above	IN	above
the	DT	the
street	NN	street
,	,	,
too	RB	too
.	SENT	.
LP	NP	LP
:	:	:
Well	RB	well
I	PP	I
said	VBD	say
,	,	,
how	WRB	how
do	VBP	do
we	PP	we
get	VB	get
people	NNS	people
using	VBG	use
bikes	NNS	bike
more	RBR	more
?	SENT	?
CR	NN	CR
:	:	:
We	PP	we
may	MD	may
have	VB	have
a	DT	a
video	NN	video
here	RB	here
.	SENT	.
LP	NP	LP
:	:	:
Yeah	RB	yeah
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
show	VBP	show
the	DT	the
video	NN	video
.	SENT	.
I	PP	I
just	RB	just
got	VBD	get
excited	VBN	excite
about	IN	about
this	DT	this
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
actually	RB	actually
how	WRB	how
you	PP	you
might	MD	might
separate	VB	separate
