OK	UH	OK
I	PP	I
know	VBP	know
what	WP	what
you	PP	you
'	POS	'
re	NN	re
thinking	NN	thinking
.	SENT	.
This	DT	this
is	VBZ	be
all	RB	all
solvable	JJ	solvable
.	SENT	.
The	DT	the
technology	NN	technology
that	IN	that
we	PP	we
need	VBP	need
exists	VBZ	exist
.	SENT	.
We	PP	we
collectively	RB	collectively
have	VBP	have
the	DT	the
expertise	NN	expertise
.	SENT	.
You	PP	you
might	MD	might
even	RB	even
be	VB	be
thinking	VBG	think
about	IN	about
volunteering	VBG	volunteer
at	IN	at
your	PP$	your
local	JJ	local
election	NN	election
office	NN	office
.	SENT	.
I	PP	I
love	VBP	love
how	WRB	how
solutions-oriented	JJ	solutions-oriented
you	PP	you
are	VBP	be
,	,	,
but	CC	but
to	TO	to
be	VB	be
clear	JJ	clear
,	,	,
the	DT	the
work	NN	work
that	WDT	that
is	VBZ	be
needed	VBN	need
to	TO	to
modernize	VB	modernize
our	PP$	our
election	NN	election
system	NN	system
isn	NN	isn
'	POS	'
t	NN	t
something	NN	something
that	RB	that
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
happen	VB	happen
using	VBG	use
20	CD	@card@
percent	NN	percent
time	NN	time
,	,	,
or	CC	or
through	IN	through
a	DT	a
hackathon	NN	<unknown>
,	,	,
or	CC	or
by	IN	by
doing	VBG	do
a	DT	a
one-off	NN	one-off
technology	NN	technology
project	NN	project
.	SENT	.
What	WP	what
we	PP	we
need	VBP	need
is	VBZ	be
significant	JJ	significant
,	,	,
sustained	JJ	sustained
,	,	,
long-term	JJ	long-term
investment	NN	investment
.	SENT	.
Investment	NN	investment
in	IN	in
technology	NN	technology
and	CC	and
investment	NN	investment
in	IN	in
the	DT	the
skills	NNS	skill
of	IN	of
local	JJ	local
election	NN	election
officials	NNS	official
to	TO	to
run	VB	run
21st-century	JJ	<unknown>
elections	NNS	election
,	,	,
because	IN	because
if	IN	if
we	PP	we
don	VBP	don
'	''	'
t	NN	t
invest	VB	invest
in	IN	in
the	DT	the
long	JJ	long
game	NN	game
,	,	,
we	PP	we
risk	VBP	risk
finding	VBG	find
ourselves	PP	ourselves
perpetually	RB	perpetually
behind	RB	behind
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
'	POS	'
re	NN	re
ready	JJ	ready
to	TO	to
help	VB	help
millions	NNS	million
,	,	,
if	IN	if
you	PP	you
'	POS	'
re	NN	re
ready	JJ	ready
to	TO	to
close	VB	close
the	DT	the
gap	NN	gap
between	IN	between
the	DT	the
system	NN	system
that	IN	that
we	PP	we
have	VBP	have
and	CC	and
the	DT	the
system	NN	system
that	IN	that
we	PP	we
deserve	VBP	deserve
,	,	,
we	PP	we
need	VBP	need
you	PP	you
.	SENT	.
Organizations	NNS	organization
that	WDT	that
are	VBP	be
doing	VBG	do
this	DT	this
work	NN	work
year-round	JJ	year-round
need	VBP	need
you	PP	you
.	SENT	.
Local	JJ	local
election	NN	election
offices	NNS	office
need	VBP	need
you	PP	you
.	SENT	.
Come	VB	come
join	VB	join
us	PP	us
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
