Six	CD	six
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VB	know
all	PDT	all
the	DT	the
answers	NNS	answer
,	,	,
but	CC	but
I	PP	I
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
smart	JJ	smart
relatives	NNS	relative
,	,	,
including	VBG	include
you	PP	you
guys	NNS	guy
,	,	,
so	RB	so
together	RB	together
,	,	,
I	PP	I
think	VBP	think
we	PP	we
can	MD	can
figure	VB	figure
it	PP	it
out	RP	out
.	SENT	.
Only	RB	only
together	RB	together
can	MD	can
we	PP	we
solve	VB	solve
these	DT	these
big	JJ	big
problems	NNS	problem
.	SENT	.
So	RB	so
from	IN	from
cousin	NN	cousin
to	TO	to
cousin	NN	cousin
,	,	,
I	PP	I
thank	VBP	thank
you	PP	you
.	SENT	.
I	PP	I
can	MD	can
'	''	'
t	NN	t
wait	VB	wait
to	TO	to
see	VB	see
you	PP	you
.	SENT	.
Goodbye	NN	goodbye
.	SENT	.
