Diminish	VB	diminish
everything	NN	everything
,	,	,
rightly	RB	rightly
so	RB	so
,	,	,
about	IN	about
what	WP	what
it	PP	it
means	VBZ	mean
to	TO	to
live	VB	live
in	IN	in
this	DT	this
country	NN	country
,	,	,
what	WP	what
it	PP	it
means	VBZ	mean
to	TO	to
be	VB	be
a	DT	a
student	NN	student
,	,	,
what	WP	what
it	PP	it
means	VBZ	mean
to	TO	to
be	VB	be
a	DT	a
person	NN	person
of	IN	of
faith	NN	faith
or	CC	or
an	DT	an
atheist	NN	atheist
or	CC	or
a	DT	a
humanist	NN	humanist
,	,	,
or	CC	or
what	WP	what
it	PP	it
means	VBZ	mean
to	TO	to
be	VB	be
a	DT	a
chaplain	NN	chaplain
or	CC	or
a	DT	a
critic	NN	critic
of	IN	of
the	DT	the
tech	NN	tech
industry	NN	industry
.	SENT	.
There	EX	there
really	RB	really
is	VBZ	be
a	DT	a
desperate	JJ	desperate
call	NN	call
for	IN	for
support	NN	support
for	IN	for
people	NNS	people
who	WP	who
are	VBP	be
trying	VBG	try
to	TO	to
figure	VB	figure
out	RP	out
how	WRB	how
to	TO	to
live	VB	live
meaningfully	RB	meaningfully
in	IN	in
this	DT	this
time	NN	time
.	SENT	.
I	PP	I
find	VBP	find
myself	PP	myself
having	VBG	have
these	DT	these
conversations	NNS	conversation
in	IN	in
my	PP$	my
head	NN	head
every	DT	every
single	JJ	single
day	NN	day
about	IN	about
what	WP	what
does	VBZ	do
it	PP	it
mean	VBP	mean
to	TO	to
cope	VB	cope
with	IN	with
a	DT	a
pandemic	NN	pandemic
like	IN	like
this	DT	this
?	SENT	?
Is	VBZ	be
our	PP$	our
life	NN	life
ever	RB	ever
going	VBG	go
to	TO	to
be	VB	be
the	DT	the
same	JJ	same
?	SENT	?
Is	VBZ	be
this	DT	this
the	DT	the
fall	NN	fall
of	IN	of
the	DT	the
American	JJ	American
empire	NN	empire
?	SENT	?
Should	MD	should
I	PP	I
radically	RB	radically
reinvasion	NN	reinvasion
my	PP$	my
own	JJ	own
future	NN	future
?	SENT	?
Should	MD	should
I	PP	I
radically	RB	radically
reinvasion	NN	reinvasion
my	PP$	my
child	NN	child
'	POS	'
s	NN	S
future	NN	future
?	SENT	?
Of	IN	of
course	NN	course
,	,	,
the	DT	the
answers	NNS	answer
are	VBP	be
yes	UH	yes
,	,	,
yes	UH	yes
,	,	,
yes	UH	yes
,	,	,
yes	UH	yes
,	,	,
yes	UH	yes
.	SENT	.
But	CC	but
,	,	,
you	PP	you
know	VBP	know
,	,	,
the	DT	the
specifics	NNS	specific
are	VBP	be
really	RB	really
important	JJ	important
.	SENT	.
And	CC	and
so	IN	so
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
thinking	VBG	think
a	DT	a
lot	NN	lot
about	IN	about
some	DT	some
writing	NN	writing
that	IN	that
I	PP	I
read	VBP	read
a	DT	a
few	JJ	few
years	NNS	year
ago	RB	ago
when	WRB	when
I	PP	I
was	VBD	be
zigzagging	VBG	zigzag
out	RP	out
of	IN	of
my	PP$	my
work	NN	work
with	IN	with
my	PP$	my
congregation	NN	congregation
where	WRB	where
I	PP	I
was	VBD	be
deciding	VBG	decide
to	TO	to
stop	VB	stop
doing	VBG	do
my	PP$	my
congregational	JJ	congregational
work	NN	work
.	SENT	.
I	PP	I
read	VBP	read
a	DT	a
couple	NN	couple
of	IN	of
books	NNS	book
by	IN	by
an	DT	an
academic	NN	academic
named	VBN	name
William	NP	William
Bridges	NPS	Bridges
who	WP	who
studied	VBD	study
life	NN	life
transition	NN	transition
.	SENT	.
He	PP	he
died	VBD	die
several	JJ	several
years	NNS	year
ago	RB	ago
,	,	,
but	CC	but
his	PP$	his
wife	NN	wife
,	,	,
Susan	NP	Susan
Bridges	NPS	Bridges
,	,	,
now	RB	now
continues	VBZ	continue
his	PP$	his
work	NN	work
.	SENT	.
They	PP	they
'	POS	'
ve	NN	ve
got	VBD	get
an	DT	an
institute	NN	institute
,	,	,
the	DT	the
William	NP	William
and	CC	and
Susan	NP	Susan
Bridges	NPS	Bridges
Institute	NP	Institute
,	,	,
where	WRB	where
they	PP	they
study	VBP	study
life	NN	life
transition	NN	transition
.	SENT	.
And	CC	and
essentially	RB	essentially
William	NP	William
Bridges	NP	Bridges
'	POS	'
s	NN	S
model	NN	model
is	VBZ	be
as	RB	as
follows	VBZ	follow
.	SENT	.
He	PP	he
analyzed	VBD	analyze
data	NNS	datum
over	IN	over
decades	NNS	decade
of	IN	of
people	NNS	people
experiencing	VBG	experience
life	NN	life
transitions	NNS	transition
.	SENT	.
And	CC	and
what	WP	what
he	PP	he
found	VBD	find
was	VBD	be
that	IN	that
a	DT	a
life	NN	life
transition	NN	transition
begins	VBZ	begin
not	RB	not
with	IN	with
a	DT	a
new	JJ	new
beginning	NN	beginning
,	,	,
like	IN	like
getting	VBG	get
a	DT	a
new	JJ	new
job	NN	job
or	CC	or
starting	VBG	start
a	DT	a
new	JJ	new
school	NN	school
or	CC	or
going	VBG	go
back	RB	back
to	TO	to
school	NN	school
after	IN	after
a	DT	a
pandemic	NN	pandemic
.	SENT	.
A	DT	a
life	NN	life
transition	NN	transition
begins	VBZ	begin
with	IN	with
an	DT	an
ending	NN	ending
with	IN	with
a	DT	a
sense	NN	sense
that	IN	that
something	NN	something
in	IN	in
your	PP$	your
mind	NN	mind
,	,	,
even	RB	even
if	IN	if
it	PP	it
'	POS	'
s	NN	S
not	RB	not
in	IN	in
the	DT	the
external	JJ	external
circumstances	NNS	circumstance
,	,	,
has	VBZ	have
come	VBN	come
to	TO	to
a	DT	a
major	JJ	major
end	NN	end
point	NN	point
and	CC	and
you	PP	you
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
what	WP	what
'	POS	'
s	NNS	<unknown>
next	JJ	next
.	SENT	.
And	CC	and
he	PP	he
then	RB	then
found	VBD	find
that	IN	that
the	DT	the
most	RBS	most
successful	JJ	successful
people	NNS	people
in	IN	in
terms	NNS	term
of	IN	of
getting	VBG	get
to	TO	to
a	DT	a
sense	NN	sense
of	IN	of
a	DT	a
new	JJ	new
beginning	NN	beginning
after	IN	after
a	DT	a
major	JJ	major
ending	NN	ending
in	IN	in
their	PP$	their
relationship	NN	relationship
or	CC	or
their	PP$	their
career	NN	career
or	CC	or
their	PP$	their
studies	NNS	study
or	CC	or
their	PP$	their
family	NN	family
or	CC	or
whatever	WDT	whatever
,	,	,
it	PP	it
was	VBD	be
,	,	,
the	DT	the
people	NNS	people
who	WP	who
did	VBD	do
the	DT	the
best	JJS	good
at	IN	at
getting	VBG	get
to	TO	to
a	DT	a
sense	NN	sense
of	IN	of
a	DT	a
fulfilling	VBG	fulfill
and	CC	and
satisfying	VBG	satisfy
and	CC	and
meaningful	JJ	meaningful
new	JJ	new
beginning	NN	beginning
were	VBD	be
not	RB	not
the	DT	the
ones	NNS	one
who	WP	who
move	VBP	move
quickly	RB	quickly
from	IN	from
the	DT	the
end	NN	end
point	NN	point
to	TO	to
their	PP$	their
next	JJ	next
point	NN	point
.	SENT	.
But	CC	but
rather	RB	rather
were	VBD	be
the	DT	the
ones	NNS	one
who	WP	who
allowed	VBD	allow
themselves	PP	themselves
an	DT	an
extended	JJ	extended
period	NN	period
of	IN	of
what	WP	what
Bridges	NP	Bridges
calls	VBZ	call
a	DT	a
neutral	JJ	neutral
zone	NN	zone
,	,	,
could	MD	could
be	VB	be
several	JJ	several
months	NNS	month
,	,	,
could	MD	could
be	VB	be
years	NNS	year
of	IN	of
not	RB	not
knowing	VBG	know
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
headed	VBD	head
.	SENT	.
The	DT	the
Neutral	JJ	neutral
Zone	NP	Zone
.	SENT	.
So	RB	so
here	RB	here
'	''	'
s	NN	S
how	WRB	how
William	NP	William
Bridges	NP	Bridges
describes	VBZ	describe
his	PP$	his
concept	NN	concept
in	IN	in
a	DT	a
video	NN	video
he	PP	he
made	VBD	make
before	IN	before
his	PP$	his
death	NN	death
in	IN	in
2013	CD	@card@
.	SENT	.
Phase	NN	phase
two	CD	two
of	IN	of
transition	NN	transition
is	VBZ	be
the	DT	the
neutral	JJ	neutral
zone	NN	zone
.	SENT	.
Most	JJS	most
organizations	NNS	organization
don	NN	don
'	POS	'
t	NN	t
even	RB	even
have	VBP	have
a	DT	a
name	NN	name
for	IN	for
it	PP	it
,	,	,
much	RB	much
less	RBR	less
a	DT	a
way	NN	way
to	TO	to
get	VB	get
people	NNS	people
through	IN	through
it	PP	it
.	SENT	.
And	CC	and
because	IN	because
they	PP	they
'	POS	'
re	NN	re
in	IN	in
a	DT	a
hurry	NN	hurry
to	TO	to
get	VB	get
the	DT	the
change	NN	change
finished	VBD	finish
,	,	,
they	PP	they
figure	VBP	figure
that	IN	that
the	DT	the
best	JJS	good
way	NN	way
to	TO	to
deal	VB	deal
with	IN	with
this	DT	this
in	IN	in
between	IN	between
time	NN	time
is	VBZ	be
to	TO	to
rush	VB	rush
through	IN	through
it	PP	it
.	SENT	.
Here	RB	here
'	POS	'
s	NN	S
where	WRB	where
you	PP	you
need	VBP	need
to	TO	to
distinguish	VB	distinguish
train	NN	train
from	IN	from
transition	NN	transition
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
true	JJ	true
that	IN	that
you	PP	you
need	VBP	need
to	TO	to
keep	VB	keep
the	DT	the
change	NN	change
moving	VBG	move
,	,	,
but	CC	but
to	TO	to
try	VB	try
to	TO	to
hurry	VB	hurry
through	IN	through
the	DT	the
transition	NN	transition
gets	VBZ	get
you	PP	you
into	IN	into
trouble	NN	trouble
.	SENT	.
It	PP	it
is	VBZ	be
in	IN	in
the	DT	the
neutral	JJ	neutral
zone	NN	zone
that	IN	that
the	DT	the
real	JJ	real
transformations	NNS	transformation
take	VBP	take
place	NN	place
and	CC	and
that	DT	that
energy	NN	energy
,	,	,
purpose	NN	purpose
and	CC	and
commitment	NN	commitment
are	VBP	be
renewed	VBN	renew
.	SENT	.
This	DT	this
place	NN	place
,	,	,
that	DT	that
many	JJ	many
view	NN	view
is	VBZ	be
just	RB	just
wasted	VBN	waste
.	SENT	.
Time	NN	time
is	VBZ	be
actually	RB	actually
precious	JJ	precious
.	SENT	.
Bridges	NNS	bridge
mostly	RB	mostly
applied	VBD	apply
his	PP$	his
ideas	NNS	idea
to	TO	to
companies	NNS	company
getting	VBG	get
taken	VBN	take
over	RP	over
or	CC	or
reorganizing	VBG	reorganize
.	SENT	.
Maybe	RB	maybe
your	PP$	your
business	NN	business
has	VBZ	have
used	VBN	use
his	PP$	his
framework	NN	framework
for	IN	for
figuring	VBG	figure
out	RP	out
your	PP$	your
transitions	NNS	transition
.	SENT	.
I	PP	I
hadn	NNS	<unknown>
'	POS	'
t	NN	t
heard	VBD	hear
of	IN	of
him	PP	him
,	,	,
but	CC	but
I	PP	I
'	POS	'
ve	NN	ve
realized	VBD	realize
that	IN	that
the	DT	the
research	NN	research
that	IN	that
I	NP	I
'	POS	'
ve	NNS	<unknown>
done	VBN	do
in	IN	in
the	DT	the
book	NN	book
I	PP	I
wrote	VBD	write
about	IN	about
using	VBG	use
boredom	NN	boredom
as	IN	as
a	DT	a
productivity	NN	productivity
tool	NN	tool
for	IN	for
the	DT	the
mind	NN	mind
isn	NN	isn
'	POS	'
t	NN	t
actually	RB	actually
all	RB	all
that	IN	that
different	JJ	different
.	SENT	.
Anyway	RB	anyway
,	,	,
I	PP	I
digress	VBP	digress
.	SENT	.
The	DT	the
point	NN	point
is	VBZ	be
,	,	,
first	RB	first
comes	VBZ	come
an	DT	an
ending	NN	ending
,	,	,
then	RB	then
this	DT	this
neutral	JJ	neutral
time	NN	time
,	,	,
which	WDT	which
is	VBZ	be
supposed	VBN	suppose
to	TO	to
be	VB	be
full	JJ	full
of	IN	of
confusion	NN	confusion
and	CC	and
stress	NN	stress
.	SENT	.
Bridges	NNS	bridge
said	VBD	say
that	IN	that
Western	JJ	Western
culture	NN	culture
doesn	NN	<unknown>
'	POS	'
t	NN	t
make	VB	make
time	NN	time
or	CC	or
space	NN	space
for	IN	for
a	DT	a
tough	JJ	tough
period	NN	period
like	IN	like
this	DT	this
.	SENT	.
We	PP	we
want	VBP	want
to	TO	to
rush	VB	rush
and	CC	and
begin	VB	begin
anew	RB	anew
already	RB	already
,	,	,
but	CC	but
we	PP	we
shouldn	NP	<unknown>
'	POS	'
t	NN	t
.	SENT	.
And	CC	and
Greg	NP	Greg
Chappell	NP	Chappell
and	CC	and
Greg	NP	Greg
is	VBZ	be
trying	VBG	try
to	TO	to
spread	VB	spread
this	DT	this
message	NN	message
right	RB	right
now	RB	now
because	IN	because
it	PP	it
is	VBZ	be
so	RB	so
applicable	JJ	applicable
in	IN	in
all	PDT	all
our	PP$	our
lives	NNS	life
.	SENT	.
Psychologically	RB	psychologically
speaking	VBG	speak
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
sense	NN	sense
that	IN	that
we	PP	we
allow	VBP	allow
ourselves	PP	ourselves
this	DT	this
time	NN	time
to	TO	to
not	RB	not
know	VB	know
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
want	VBP	want
to	TO	to
say	VB	say
as	IN	as
a	DT	a
quote	NN	quote
unquote	VB	unquote
,	,	,
observer	NN	observer
of	IN	of
humanity	NN	humanity
.	SENT	.
It	PP	it
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
'	POS	'
m	NN	m
trying	VBG	try
to	TO	to
say	VB	say
to	TO	to
as	IN	as
many	JJ	many
students	NNS	student
and	CC	and
and	CC	and
even	RB	even
professors	NNS	professor
and	CC	and
deans	NNS	dean
and	CC	and
line	NN	line
cooks	NNS	cook
and	CC	and
whoever	WP	whoever
else	RB	else
I	PP	I
get	VBP	get
a	DT	a
chance	NN	chance
to	TO	to
talk	VB	talk
to	TO	to
,	,	,
you	PP	you
know	VBP	know
,	,	,
Uber	NP	Uber
drivers	NNS	driver
or	CC	or
whatever	WDT	whatever
,	,	,
although	IN	although
I	PP	I
haven	NN	haven
'	POS	'
t	NN	t
gotten	VBN	get
in	IN	in
a	DT	a
car	NN	car
other	JJ	other
than	IN	than
my	PP$	my
own	JJ	own
in	IN	in
a	DT	a
long	JJ	long
time	NN	time
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
allow	VBP	allow
ourselves	PP	ourselves
the	DT	the
time	NN	time
not	RB	not
to	TO	to
know	VB	know
.	SENT	.
Yeah	RB	yeah
.	SENT	.
Give	VB	give
yourself	PP	yourself
some	DT	some
permission	NN	permission
not	RB	not
to	TO	to
know	VB	know
.	SENT	.
And	CC	and
please	UH	please
,	,	,
if	IN	if
it	PP	it
'	POS	'
s	NNS	<unknown>
helpful	JJ	helpful
,	,	,
think	VBP	think
of	IN	of
the	DT	the
Zig-Zag	NN	zig-zag
project	NN	project
as	IN	as
your	PP$	your
neutral	JJ	neutral
zone	NN	zone
,	,	,
your	PP$	your
place	NN	place
to	TO	to
sit	VB	sit
with	IN	with
all	PDT	all
the	DT	the
ideas	NNS	idea
and	CC	and
yes	NN	yes
.	SENT	.
Emotions	NNS	emotion
that	WDT	that
are	VBP	be
going	VBG	go
to	TO	to
come	VB	come
up	RP	up
.	SENT	.
Which	WDT	which
brings	VBZ	bring
us	PP	us
to	TO	to
your	PP$	your
first	JJ	first
mission	NN	mission
.	SENT	.
Should	MD	should
you	PP	you
choose	VB	choose
to	TO	to
accept	VB	accept
it	PP	it
,	,	,
you	PP	you
are	VBP	be
going	VBG	go
to	TO	to
take	VB	take
your	PP$	your
own	JJ	own
pulse	NN	pulse
,	,	,
survey	VB	survey
yourself	PP	yourself
and	CC	and
observe	VB	observe
where	WRB	where
you	PP	you
are	VBP	be
right	RB	right
now	RB	now
before	IN	before
even	RB	even
trying	VBG	try
to	TO	to
figure	VB	figure
out	RP	out
where	WRB	where
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
think	VBP	think
about	IN	about
your	PP$	your
next	JJ	next
career	NN	career
move	NN	move
or	CC	or
try	VB	try
to	TO	to
pin	VB	pin
down	RP	down
your	PP$	your
ambitions	NNS	ambition
.	SENT	.
Just	RB	just
be	VB	be
with	IN	with
your	PP$	your
brain	NN	brain
.	SENT	.
Rev	VB	rev
your	PP$	your
engine	NN	engine
in	IN	in
neutral	JJ	neutral
.	SENT	.
Today	NN	today
has	VBZ	have
two	CD	two
parts	NNS	part
together	RB	together
.	SENT	.
These	DT	these
assignments	NNS	assignment
will	MD	will
probably	RB	probably
take	VB	take
you	PP	you
between	IN	between
twenty	CD	twenty
to	TO	to
thirty	CD	thirty
minutes	NNS	minute
,	,	,
but	CC	but
absolutely	RB	absolutely
feel	VBP	feel
free	JJ	free
to	TO	to
take	VB	take
more	JJR	more
time	NN	time
and	CC	and
don	NN	don
'	POS	'
t	NN	t
rush	NN	rush
.	SENT	.
And	CC	and
also	RB	also
don	NN	don
'	POS	'
t	NN	t
overthink	NN	overthink
your	PP$	your
answers	NNS	answer
.	SENT	.
Try	VB	try
to	TO	to
just	RB	just
go	VB	go
with	IN	with
it	PP	it
and	CC	and
enjoy	VB	enjoy
taking	VBG	take
this	DT	this
time	NN	time
to	TO	to
think	VB	think
about	IN	about
yourself	PP	yourself
.	SENT	.
OK	UH	OK
,	,	,
all	DT	all
right	NN	right
.	SENT	.
So	IN	so
the	DT	the
first	JJ	first
is	VBZ	be
fill	NN	fill
in	IN	in
the	DT	the
blanks	NNS	blank
.	SENT	.
You	PP	you
have	VBP	have
been	VBN	be
hearing	VBG	hear
beta	JJ	beta
testers	NNS	tester
throughout	IN	throughout
this	DT	this
episode	NN	episode
doing	VBG	do
it	PP	it
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
sentence	NN	sentence
.	SENT	.
Right	RB	right
.	SENT	.
I	PP	I
would	MD	would
describe	VB	describe
this	DT	this
moment	NN	moment
in	IN	in
my	PP$	my
life	NN	life
and	CC	and
career	NN	career
as	IN	as
blank	JJ	blank
and	CC	and
blank	JJ	blank
,	,	,
and	CC	and
I	PP	I
wish	VBP	wish
I	PP	I
could	MD	could
blank	VB	blank
I	PP	I
would	MD	would
describe	VB	describe
this	DT	this
moment	NN	moment
in	IN	in
my	PP$	my
career	NN	career
business	NN	business
as	IN	as
completely	RB	completely
new	JJ	new
and	CC	and
uncharted	JJ	uncharted
,	,	,
and	CC	and
I	PP	I
wish	VBP	wish
I	PP	I
could	MD	could
keep	VB	keep
moving	VBG	move
through	IN	through
it	PP	it
.	SENT	.
I	PP	I
would	MD	would
describe	VB	describe
this	DT	this
moment	NN	moment
in	IN	in
my	PP$	my
career	NN	career
in	IN	in
business	NN	business
as	IN	as
new	JJ	new
and	CC	and
unpredictable	JJ	unpredictable
,	,	,
and	CC	and
I	PP	I
wish	VBP	wish
I	PP	I
could	MD	could
see	VB	see
the	DT	the
future	NN	future
.	SENT	.
I	PP	I
would	MD	would
describe	VB	describe
this	DT	this
moment	NN	moment
in	IN	in
my	PP$	my
career	NN	career
.	SENT	.
Business	NN	business
is	VBZ	be
stuck	VBN	stick
and	CC	and
starting	VBG	start
to	TO	to
generate	VB	generate
new	JJ	new
ideas	NNS	idea
,	,	,
and	CC	and
I	PP	I
wish	VBP	wish
I	PP	I
could	MD	could
figure	VB	figure
out	RP	out
how	WRB	how
to	TO	to
split	VB	split
my	PP$	my
time	NN	time
between	IN	between
my	PP$	my
current	JJ	current
project	NN	project
and	CC	and
the	DT	the
new	JJ	new
one	CD	one
.	SENT	.
I	PP	I
would	MD	would
describe	VB	describe
this	DT	this
moment	NN	moment
in	IN	in
my	PP$	my
business	NN	business
as	IN	as
strenuous	JJ	strenuous
and	CC	and
frightening	JJ	frightening
,	,	,
and	CC	and
I	PP	I
wish	VBP	wish
I	PP	I
could	MD	could
make	VB	make
the	DT	the
day	NN	day
'	POS	'
s	JJ	<unknown>
last	JJ	last
longer	RBR	longer
.	SENT	.
I	PP	I
would	MD	would
describe	VB	describe
this	DT	this
moment	NN	moment
in	IN	in
my	PP$	my
career	NN	career
as	IN	as
perplexing	VBG	perplex
and	CC	and
frustrating	VBG	frustrate
.	SENT	.
I	PP	I
wish	VBP	wish
I	PP	I
could	MD	could
have	VB	have
advanced	VBN	advance
into	IN	into
a	DT	a
role	NN	role
where	WRB	where
I	PP	I
feel	VBP	feel
like	IN	like
I	PP	I
'	''	'
d	SYM	d
be	VB	be
making	VBG	make
a	DT	a
real	JJ	real
difference	NN	difference
to	TO	to
people	NNS	people
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
even	RB	even
realize	VBP	realize
that	IN	that
'	POS	'
s	NN	S
how	WRB	how
I	PP	I
was	VBD	be
feeling	VBG	feel
about	IN	about
work	NN	work
until	IN	until
I	PP	I
read	VBP	read
it	PP	it
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
would	MD	would
describe	VB	describe
this	DT	this
moment	NN	moment
in	IN	in
my	PP$	my
career	NN	career
as	RB	as
fragmented	VBN	fragment
and	CC	and
detached	VBN	detach
,	,	,
and	CC	and
I	PP	I
wish	VBP	wish
I	PP	I
could	MD	could
fix	VB	fix
that	DT	that
.	SENT	.
Trying	VBG	try
to	TO	to
fix	VB	fix
it	PP	it
will	MD	will
come	VB	come
soon	RB	soon
,	,	,
really	RB	really
soon	RB	soon
.	SENT	.
But	CC	but
we	PP	we
'	POS	'
re	NN	re
not	RB	not
there	RB	there
yet	RB	yet
.	SENT	.
For	IN	for
now	RB	now
.	SENT	.
Fill	VB	fill
in	IN	in
the	DT	the
blanks	NNS	blank
again	RB	again
.	SENT	.
Go	VB	go
with	IN	with
the	DT	the
first	JJ	first
ideas	NNS	idea
that	WDT	that
pop	VBP	pop
in	IN	in
your	PP$	your
mind	NN	mind
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
overthink	NN	overthink
it	PP	it
and	CC	and
do	VBP	do
not	RB	not
judge	VB	judge
yourself	PP	yourself
,	,	,
for	IN	for
heaven	NN	heaven
'	POS	'
s	NN	S
sake	NN	sake
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
are	VBP	be
inspired	VBN	inspire
to	TO	to
do	VB	do
so	RB	so
,	,	,
record	VB	record
yourself	PP	yourself
,	,	,
record	VB	record
your	PP$	your
sentence	NN	sentence
and	CC	and
send	VB	send
it	PP	it
to	TO	to
me	PP	me
at	IN	at
Zig-Zag	NN	zig-zag
at	IN	at
stable	JJ	stable
dotcom	NN	<unknown>
.	SENT	.
And	CC	and
after	IN	after
that	DT	that
,	,	,
please	UH	please
make	VB	make
sure	JJ	sure
to	TO	to
take	VB	take
the	DT	the
self	JJ	self
reflective	JJ	reflective
survey	NN	survey
.	SENT	.
I	PP	I
ask	VBP	ask
you	PP	you
.	SENT	.
Questions	NNS	question
to	TO	to
help	VB	help
you	PP	you
consider	VB	consider
how	WRB	how
you	PP	you
are	VBP	be
thinking	VBG	think
about	IN	about
money	NN	money
and	CC	and
vacations	NNS	vacation
and	CC	and
creativity	NN	creativity
right	NN	right
now	RB	now
,	,	,
all	DT	all
kinds	NNS	kind
of	IN	of
things	NNS	thing
go	VBP	go
to	TO	to
Zig-Zag	NN	zig-zag
Pod	NN	Pod
Dotcom	NP	<unknown>
,	,	,
click	NN	click
on	IN	on
the	DT	the
link	NN	link
.	SENT	.
Your	PP$	your
responses	NNS	response
and	CC	and
your	PP$	your
data	NNS	datum
will	MD	will
be	VB	be
anonymized	VBN	<unknown>
.	SENT	.
Unfortunately	RB	unfortunately
,	,	,
because	IN	because
I	PP	I
'	''	'
m	NN	m
such	PDT	such
a	DT	a
privacy	NN	privacy
freak	NN	freak
,	,	,
I	PP	I
cannot	MD	can
send	VB	send
you	PP	you
a	DT	a
copy	NN	copy
of	IN	of
your	PP$	your
answers	NNS	answer
.	SENT	.
But	CC	but
,	,	,
you	PP	you
know	VBP	know
,	,	,
if	IN	if
you	PP	you
feel	VBP	feel
like	IN	like
they	PP	they
could	MD	could
be	VB	be
useful	JJ	useful
later	RBR	later
,	,	,
go	VB	go
ahead	RB	ahead
and	CC	and
take	VB	take
some	DT	some
screenshots	NNS	screenshot
of	IN	of
your	PP$	your
responses	NNS	response
.	SENT	.
Oh	UH	oh
,	,	,
and	CC	and
one	CD	one
more	JJR	more
thing	NN	thing
.	SENT	.
After	IN	after
you	PP	you
take	VBP	take
the	DT	the
survey	NN	survey
,	,	,
just	RB	just
observe	VBP	observe
what	WP	what
questions	VBZ	question
your	PP$	your
brain	NN	brain
starts	VBZ	start
mulling	VBG	mull
over	RP	over
.	SENT	.
Let	VB	let
those	DT	those
ideas	NNS	idea
marinate	VBP	marinate
.	SENT	.
OK	UH	OK
,	,	,
so	IN	so
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
see	VB	see
you	PP	you
in	IN	in
two	CD	two
weeks	NNS	week
when	WRB	when
we	PP	we
move	VBP	move
on	IN	on
to	TO	to
step	VB	step
two	CD	two
of	IN	of
this	DT	this
process	NN	process
and	CC	and
we	PP	we
get	VBP	get
some	DT	some
help	NN	help
from	IN	from
conflict	NN	conflict
resolution	NN	resolution
expert	NN	expert
Priya	NP	Priya
Parker	NP	Parker
.	SENT	.
For	IN	for
a	DT	a
period	NN	period
of	IN	of
my	PP$	my
life	NN	life
,	,	,
probably	RB	probably
eight	CD	eight
years	NNS	year
,	,	,
I	PP	I
began	VBD	begin
to	TO	to
realize	VB	realize
the	DT	the
importance	NN	importance
of	IN	of
vision	NN	vision
and	CC	and
clarity	NN	clarity
and	CC	and
conscious	JJ	conscious
decision	NN	decision
making	NN	making
.	SENT	.
And	CC	and
I	PP	I
wanted	VBD	want
to	TO	to
understand	VB	understand
how	WRB	how
to	TO	to
help	VB	help
people	NNS	people
get	VB	get
very	RB	very
,	,	,
very	RB	very
,	,	,
very	RB	very
clear	JJ	clear
on	IN	on
on	IN	on
their	PP$	their
sense	NN	sense
of	IN	of
purpose	NN	purpose
.	SENT	.
The	DT	the
method	NN	method
Priya	NP	Priya
put	VBD	put
me	PP	me
through	IN	through
years	NNS	year
ago	RB	ago
that	WDT	that
made	VBD	make
a	DT	a
huge	JJ	huge
difference	NN	difference
in	IN	in
my	PP$	my
life	NN	life
and	CC	and
work	NN	work
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
get	VB	get
you	PP	you
to	TO	to
do	VB	do
it	PP	it
to	TO	to
a	DT	a
little	JJ	little
bit	NN	bit
different	JJ	different
.	SENT	.
If	IN	if
you	PP	you
know	VBP	know
someone	NN	someone
who	WP	who
you	PP	you
think	VBP	think
should	MD	should
join	VB	join
our	PP$	our
little	JJ	little
experiment	NN	experiment
,	,	,
please	VB	please
tell	VB	tell
them	PP	them
about	IN	about
the	DT	the
show	NN	show
.	SENT	.
If	IN	if
you	PP	you
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
do	VB	do
this	DT	this
process	NN	process
with	IN	with
extra	JJ	extra
added	JJ	added
information	NN	information
and	CC	and
links	NNS	link
to	TO	to
all	PDT	all
the	DT	the
stuff	NN	stuff
I	PP	I
mentioned	VBD	mention
in	IN	in
the	DT	the
episode	NN	episode
plus	CC	plus
articles	NNS	article
.	SENT	.
I	PP	I
think	VBP	think
you	PP	you
might	MD	might
like	VB	like
reading	VBG	read
while	IN	while
you	PP	you
go	VBP	go
through	IN	through
this	DT	this
.	SENT	.
Please	UH	please
sign	VB	sign
up	RP	up
for	IN	for
the	DT	the
newsletter	NN	newsletter
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
at	IN	at
Zig-Zag	NN	zig-zag
Pod	NN	Pod
Dotcom	NP	<unknown>
.	SENT	.
