Sheryl	NP	Sheryl
s	NN	S
now	RB	now
two	CD	two
years	NNS	year
that	IN	that
you	PP	you
'	POS	'
ve	RB	<unknown>
been	VBN	be
running	VBG	run
?	SENT	?
AM	NP	AM
:	:	:
No	UH	no
,	,	,
a	DT	a
year	NN	year
.	SENT	.
SS	NP	SS
:	:	:
A	DT	a
year	NN	year
.	SENT	.
And	CC	and
why	WRB	why
don	NN	don
'	POS	'
t	NN	t
you	PP	you
tell	VBP	tell
them	PP	them
what	WP	what
happened	VBD	happen
right	RB	right
before	IN	before
you	PP	you
go	VBP	go
run	VB	run
your	PP$	your
race	NN	race
?	SENT	?
AM	NP	AM
:	:	:
Okay	JJ	okay
,	,	,
well	RB	well
,	,	,
Atlanta	NP	Atlanta
.	SENT	.
The	DT	the
Paralympics	NP	<unknown>
,	,	,
just	RB	just
for	IN	for
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
clarification	NN	clarification
,	,	,
are	VBP	be
the	DT	the
Olympics	NNS	Olympic
for	IN	for
people	NNS	people
with	IN	with
physical	JJ	physical
disabilities	NNS	disability
â	NP	<unknown>
amputees	NNS	amputee
,	,	,
persons	NNS	person
with	IN	with
cerebral	JJ	cerebral
palsy	NN	palsy
,	,	,
and	CC	and
wheelchair	NN	wheelchair
athletes	NNS	athlete
â	NP	<unknown>
as	RB	as
opposed	VBD	oppose
to	TO	to
the	DT	the
Special	JJ	special
Olympics	NPS	Olympics
,	,	,
which	WDT	which
deals	VBZ	deal
with	IN	with
people	NNS	people
with	IN	with
mental	JJ	mental
disabilities	NNS	disability
.	SENT	.
So	RB	so
,	,	,
here	RB	here
we	PP	we
are	VBP	be
,	,	,
a	DT	a
week	NN	week
after	IN	after
the	DT	the
Olympics	NPS	Olympics
and	CC	and
down	RB	down
at	IN	at
Atlanta	NP	Atlanta
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
just	RB	just
blown	VBN	blow
away	RB	away
by	IN	by
the	DT	the
fact	NN	fact
that	IN	that
just	RB	just
a	DT	a
year	NN	year
ago	RB	ago
,	,	,
I	PP	I
got	VBD	get
out	RP	out
on	IN	on
a	DT	a
gravel	NN	gravel
track	NN	track
and	CC	and
couldn	NN	<unknown>
'	POS	'
t	NN	t
run	NN	run
50	CD	@card@
meters	NNS	meter
.	SENT	.
And	CC	and
so	RB	so
,	,	,
here	RB	here
I	PP	I
am	VBP	be
â	NP	<unknown>
never	RB	never
lost	VBD	lose
.	SENT	.
I	PP	I
set	VBD	set
new	JJ	new
records	NNS	record
at	IN	at
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
Nationals	NNS	national
â	NP	<unknown>
the	DT	the
Olympic	NP	Olympic
trials	NNS	trial
â	NP	<unknown>
that	IN	that
May	NP	May
,	,	,
and	CC	and
was	VBD	be
sure	JJ	sure
that	IN	that
I	PP	I
was	VBD	be
coming	VBG	come
home	NN	home
with	IN	with
the	DT	the
gold	NN	gold
.	SENT	.
I	PP	I
was	VBD	be
also	RB	also
the	DT	the
only	JJ	only
,	,	,
what	WP	what
they	PP	they
call	VBP	call
"	``	"
bilateral	JJ	bilateral
BK	NP	BK
"	``	"
â	NP	<unknown>
below	IN	below
the	DT	the
knee	NN	knee
.	SENT	.
I	PP	I
was	VBD	be
the	DT	the
only	JJ	only
woman	NN	woman
who	WP	who
would	MD	would
be	VB	be
doing	VBG	do
the	DT	the
long	JJ	long
jump	NN	jump
.	SENT	.
I	PP	I
had	VBD	have
just	RB	just
done	VBN	do
the	DT	the
long	JJ	long
jump	NN	jump
,	,	,
and	CC	and
a	DT	a
guy	NN	guy
who	WP	who
was	VBD	be
missing	VBG	miss
two	CD	two
legs	NNS	leg
came	VBD	come
up	RP	up
to	TO	to
me	PP	me
and	CC	and
says	VBZ	say
,	,	,
"	``	"
How	WRB	how
do	VBP	do
you	PP	you
do	VBP	do
that	RB	that
?	SENT	?
You	PP	you
know	VBP	know
,	,	,
we	PP	we
'	POS	'
re	NN	re
supposed	VBN	suppose
to	TO	to
have	VB	have
a	DT	a
planar	JJ	planar
foot	NN	foot
,	,	,
so	RB	so
we	PP	we
can	MD	can
'	''	'
t	NN	t
get	VB	get
off	RP	off
on	IN	on
the	DT	the
springboard	NN	springboard
.	SENT	.
"	''	"
I	PP	I
said	VBD	say
,	,	,
"	``	"
Well	UH	well
,	,	,
I	PP	I
just	RB	just
did	VBD	do
it	PP	it
.	SENT	.
No	DT	no
one	CD	one
told	VBD	tell
me	PP	me
that	DT	that
.	SENT	.
"	''	"
So	RB	so
,	,	,
it	PP	it
'	POS	'
s	NN	S
funny	JJ	funny
â	NP	<unknown>
I	NP	I
'	POS	'
m	NN	m
three	CD	three
inches	NNS	inch
within	IN	within
the	DT	the
world	NN	world
record	NN	record
â	NP	<unknown>
and	CC	and
kept	VBD	keep
on	IN	on
from	IN	from
that	DT	that
point	NN	point
,	,	,
you	PP	you
know	VBP	know
,	,	,
so	IN	so
I	PP	I
'	POS	'
m	NN	m
signed	VBD	sign
up	RP	up
in	IN	in
the	DT	the
long	JJ	long
jump	NN	jump
â	NP	<unknown>
signed	VBD	sign
up	RP	up
?	SENT	?
No	UH	no
,	,	,
I	PP	I
made	VBD	make
it	PP	it
for	IN	for
the	DT	the
long	JJ	long
jump	NN	jump
and	CC	and
the	DT	the
100-meter	NN	100-meter
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
sure	JJ	sure
of	IN	of
it	PP	it
,	,	,
you	PP	you
know	VBP	know
?	SENT	?
I	PP	I
made	VBD	make
the	DT	the
front	JJ	front
page	NN	page
of	IN	of
my	PP$	my
hometown	NN	hometown
paper	NN	paper
that	IN	that
I	PP	I
delivered	VBD	deliver
for	IN	for
six	CD	six
years	NNS	year
,	,	,
you	PP	you
know	VBP	know
?	SENT	?
It	PP	it
was	VBD	be
,	,	,
like	VB	like
,	,	,
this	DT	this
is	VBZ	be
my	PP$	my
time	NN	time
for	IN	for
shine	NN	shine
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
at	IN	at
the	DT	the
trainee	NN	trainee
warm-up	NN	warm-up
track	NN	track
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
few	JJ	few
blocks	NNS	block
away	RB	away
from	IN	from
the	DT	the
Olympic	JJ	Olympic
stadium	NN	stadium
.	SENT	.
These	DT	these
legs	NNS	leg
that	IN	that
I	PP	I
was	VBD	be
on	IN	on
,	,	,
which	WDT	which
I	PP	I
'	POS	'
ll	NNS	<unknown>
take	VBP	take
out	RP	out
right	RB	right
now	RB	now
â	NP	<unknown>
I	PP	I
was	VBD	be
the	DT	the
first	JJ	first
person	NN	person
in	IN	in
the	DT	the
world	NN	world
on	IN	on
these	DT	these
legs	NNS	leg
.	SENT	.
I	PP	I
was	VBD	be
the	DT	the
guinea	NN	guinea
pig	NN	pig
.	SENT	.
,	,	,
I	PP	I
'	POS	'
m	NN	m
telling	VBG	tell
you	PP	you
,	,	,
this	DT	this
was	VBD	be
,	,	,
like	IN	like
â	NP	<unknown>
talk	NN	talk
about	IN	about
a	DT	a
tourist	NN	tourist
attraction	NN	attraction
.	SENT	.
Everyone	NN	everyone
was	VBD	be
taking	VBG	take
pictures	NNS	picture
â	NP	<unknown>
"	``	"
What	WP	what
is	VBZ	be
this	DT	this
girl	NN	girl
running	VBG	run
on	IN	on
?	SENT	?
"	``	"
And	CC	and
I	PP	I
'	POS	'
m	NN	m
always	RB	always
looking	VBG	look
around	RP	around
,	,	,
like	VB	like
,	,	,
where	WRB	where
is	VBZ	be
my	PP$	my
competition	NN	competition
?	SENT	?
It	PP	it
'	''	'
s	VBG	<unknown>
my	PP$	my
first	JJ	first
international	JJ	international
meet	NN	meet
.	SENT	.
I	PP	I
tried	VBD	try
to	TO	to
get	VB	get
it	PP	it
out	RP	out
of	IN	of
anybody	NN	anybody
I	PP	I
could	MD	could
,	,	,
you	PP	you
know	VBP	know
,	,	,
"	``	"
Who	WP	who
am	VBP	be
I	PP	I
running	VBG	run
against	IN	against
here	RB	here
?	SENT	?
"	''	"
"	``	"
Oh	UH	oh
,	,	,
Aimee	NP	Aimee
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
have	VBP	have
to	TO	to
get	VB	get
back	RB	back
to	TO	to
you	PP	you
on	IN	on
that	WDT	that
one	CD	one
.	SENT	.
"	``	"
I	PP	I
wanted	VBD	want
to	TO	to
find	VB	find
out	RP	out
times	NNS	time
.	SENT	.
"	''	"
Don	NP	Don
'	POS	'
t	NN	t
worry	NN	worry
,	,	,
you	PP	you
'	POS	'
re	NN	re
doing	VBG	do
great	JJ	great
.	SENT	.
"	``	"
This	DT	this
is	VBZ	be
20	CD	@card@
minutes	NNS	minute
before	IN	before
my	PP$	my
race	NN	race
in	IN	in
the	DT	the
Olympic	JJ	Olympic
stadium	NN	stadium
,	,	,
and	CC	and
they	PP	they
post	VB	post
the	DT	the
heat	NN	heat
sheets	NNS	sheet
.	SENT	.
And	CC	and
I	PP	I
go	VBP	go
over	RP	over
and	CC	and
look	VB	look
.	SENT	.
And	CC	and
my	PP$	my
fastest	JJS	fast
time	NN	time
,	,	,
which	WDT	which
was	VBD	be
the	DT	the
world	NN	world
record	NN	record
,	,	,
was	VBD	be
15	CD	@card@
.	SENT	.
77	CD	@card@
.	SENT	.
Then	RB	then
I	NP	I
'	POS	'
m	NN	m
looking	VBG	look
:	:	:
the	DT	the
next	JJ	next
lane	NN	lane
,	,	,
lane	NN	lane
two	CD	two
,	,	,
is	VBZ	be
12	CD	@card@
.	SENT	.
8	CD	@card@
.	SENT	.
Lane	NP	Lane
three	CD	three
is	VBZ	be
12	JJ	@card@
.	SENT	.
5	LS	5
.	SENT	.
Lane	NP	Lane
four	CD	four
is	VBZ	be
12	JJ	@card@
.	SENT	.
2	LS	2
.	SENT	.
I	PP	I
said	VBD	say
,	,	,
"	``	"
What	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
?	SENT	?
"	``	"
And	CC	and
they	PP	they
shove	VBP	shove
us	PP	us
all	DT	all
into	IN	into
the	DT	the
shuttle	NN	shuttle
bus	NN	bus
,	,	,
and	CC	and
all	PDT	all
the	DT	the
women	NNS	woman
there	RB	there
are	VBP	be
missing	VBG	miss
a	DT	a
hand	NN	hand
.	SENT	.
So	RB	so
,	,	,
I	PP	I
'	POS	'
m	NN	m
just	RB	just
,	,	,
like	IN	like
â	NP	<unknown>
they	PP	they
'	''	'
re	IN	re
all	DT	all
looking	VBG	look
at	IN	at
me	PP	me
like	VBP	like
'	''	'
which	WDT	which
one	CD	one
of	IN	of
these	DT	these
is	VBZ	be
not	RB	not
like	IN	like
the	DT	the
other	JJ	other
,	,	,
'	''	'
you	PP	you
know	VBP	know
?	SENT	?
I	NP	I
'	POS	'
m	NN	m
sitting	VBG	sit
there	RB	there
,	,	,
like	VB	like
,	,	,
"	``	"
Oh	UH	oh
,	,	,
my	PP$	my
god	NN	god
.	SENT	.
Oh	UH	oh
,	,	,
my	PP$	my
god	NN	god
.	SENT	.
"	``	"
You	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
d	NN	d
never	RB	never
lost	VBD	lose
anything	NN	anything
,	,	,
like	VB	like
,	,	,
whether	IN	whether
it	PP	it
would	MD	would
be	VB	be
the	DT	the
scholarship	NN	scholarship
or	CC	or
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
d	NN	d
won	VBD	win
five	CD	five
golds	NNS	gold
when	WRB	when
I	PP	I
skied	VBD	ski
.	SENT	.
In	IN	in
everything	NN	everything
,	,	,
I	PP	I
came	VBD	come
in	IN	in
first	JJ	first
.	SENT	.
And	CC	and
Georgetown	NP	Georgetown
â	NP	<unknown>
that	WDT	that
was	VBD	be
great	JJ	great
.	SENT	.
I	PP	I
was	VBD	be
losing	VBG	lose
,	,	,
but	CC	but
it	PP	it
was	VBD	be
the	DT	the
best	JJS	good
training	NN	training
because	IN	because
this	DT	this
was	VBD	be
Atlanta	NP	Atlanta
.	SENT	.
Here	RB	here
we	PP	we
are	VBP	be
,	,	,
like	VB	like
,	,	,
crĂ¨me	NP	<unknown>
de	FW	de
la	FW	la
crĂ¨me	NN	<unknown>
,	,	,
and	CC	and
there	EX	there
is	VBZ	be
no	DT	no
doubt	NN	doubt
about	IN	about
it	PP	it
,	,	,
that	IN	that
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
lose	VB	lose
big	JJ	big
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
m	NN	m
just	RB	just
thinking	VBG	think
,	,	,
"	``	"
Oh	UH	oh
,	,	,
my	PP$	my
god	NN	god
,	,	,
my	PP$	my
whole	JJ	whole
family	NN	family
got	VBD	get
in	IN	in
a	DT	a
van	NN	van
and	CC	and
drove	VBD	drive
down	RB	down
here	RB	here
from	IN	from
Pennsylvania	NP	Pennsylvania
.	SENT	.
"	''	"
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
was	VBD	be
the	DT	the
only	RB	only
female	JJ	female
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
sprinter	NN	sprinter
.	SENT	.
So	RB	so
they	PP	they
call	VBP	call
us	PP	us
out	RP	out
and	CC	and
,	,	,
you	PP	you
know	VBP	know
â	NP	<unknown>
"	''	"
Ladies	NNS	lady
,	,	,
you	PP	you
have	VBP	have
one	CD	one
minute	NN	minute
.	SENT	.
"	``	"
And	CC	and
I	PP	I
remember	VBP	remember
putting	VBG	put
my	PP$	my
blocks	NNS	block
in	IN	in
and	CC	and
just	RB	just
feeling	VBG	feel
horrified	VBN	horrify
because	IN	because
there	EX	there
was	VBD	be
just	RB	just
this	DT	this
murmur	NN	murmur
coming	VBG	come
over	IN	over
the	DT	the
crowd	NN	crowd
,	,	,
like	VB	like
,	,	,
the	DT	the
ones	NNS	one
who	WP	who
are	VBP	be
close	RB	close
enough	JJ	enough
to	TO	to
the	DT	the
starting	VBG	start
line	NN	line
to	TO	to
see	VB	see
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
"	``	"
I	PP	I
know	VBP	know
!	SENT	!
Look	NN	look
!	SENT	!
This	DT	this
isn	NN	isn
'	POS	'
t	NN	t
right	NN	right
.	SENT	.
"	``	"
And	CC	and
I	PP	I
'	POS	'
m	NN	m
thinking	VBG	think
that	DT	that
'	''	'
s	VBG	<unknown>
my	PP$	my
last	JJ	last
card	NN	card
to	TO	to
play	VB	play
here	RB	here
;	:	;
if	IN	if
I	PP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
to	TO	to
beat	VB	beat
these	DT	these
girls	NNS	girl
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
mess	VB	mess
their	PP$	their
heads	NNS	head
a	DT	a
little	JJ	little
,	,	,
you	PP	you
know	VBP	know
?	SENT	?
I	PP	I
mean	VBP	mean
,	,	,
it	PP	it
was	VBD	be
definitely	RB	definitely
the	DT	the
"	``	"
Rocky	NP	Rocky
IV	NP	IV
"	''	"
sensation	NN	sensation
of	IN	of
me	FW	me
versus	FW	versus
Germany	NP	Germany
,	,	,
and	CC	and
everyone	NN	everyone
else	RB	else
â	NP	<unknown>
Estonia	NP	Estonia
and	CC	and
Poland	NP	Poland
â	NP	<unknown>
was	VBD	be
in	IN	in
this	DT	this
heat	NN	heat
.	SENT	.
And	CC	and
the	DT	the
gun	NN	gun
went	VBD	go
off	RP	off
,	,	,
and	CC	and
all	RB	all
I	PP	I
remember	VBP	remember
was	VBD	be
finishing	VBG	finish
last	JJ	last
and	CC	and
fighting	VBG	fight
back	JJ	back
tears	NNS	tear
of	IN	of
frustration	NN	frustration
and	CC	and
incredible	JJ	incredible
â	NP	<unknown>
incredible	JJ	incredible
â	NP	<unknown>
this	DT	this
feeling	NN	feeling
of	IN	of
just	RB	just
being	VBG	be
overwhelmed	VBN	overwhelm
.	SENT	.
And	CC	and
I	PP	I
had	VBD	have
to	TO	to
think	VB	think
,	,	,
"	``	"
Why	WRB	why
did	VBD	do
I	PP	I
do	VBP	do
this	DT	this
?	SENT	?
"	``	"
If	IN	if
I	PP	I
had	VBD	have
won	VBN	win
everything	NN	everything
â	NP	<unknown>
but	CC	but
it	PP	it
was	VBD	be
like	JJ	like
,	,	,
what	WP	what
was	VBD	be
the	DT	the
point	NN	point
?	SENT	?
All	PDT	all
this	DT	this
training	VBG	train
â	NP	<unknown>
I	PP	I
had	VBD	have
transformed	VBN	transform
my	PP$	my
life	NN	life
.	SENT	.
I	PP	I
became	VBD	become
a	DT	a
collegiate	JJ	collegiate
athlete	NN	athlete
,	,	,
you	PP	you
know	VBP	know
.	SENT	.
I	PP	I
became	VBD	become
an	DT	an
Olympic	JJ	Olympic
athlete	NN	athlete
.	SENT	.
And	CC	and
it	PP	it
made	VBD	make
me	PP	me
really	RB	really
think	VBP	think
about	RB	about
how	WRB	how
the	DT	the
achievement	NN	achievement
was	VBD	be
getting	VBG	get
there	RB	there
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
the	DT	the
fact	NN	fact
that	IN	that
I	PP	I
set	VBD	set
my	PP$	my
sights	NNS	sight
,	,	,
just	RB	just
a	DT	a
year	NN	year
and	CC	and
three	CD	three
months	NNS	month
before	RB	before
,	,	,
on	IN	on
becoming	VBG	become
an	DT	an
Olympic	JJ	Olympic
athlete	NN	athlete
and	CC	and
saying	VBG	say
,	,	,
"	``	"
Here	RB	here
'	''	'
s	VBG	<unknown>
my	PP$	my
life	NN	life
going	VBG	go
in	IN	in
this	DT	this
direction	NN	direction
â	NP	<unknown>
and	CC	and
I	PP	I
want	VBP	want
to	TO	to
take	VB	take
it	PP	it
here	RB	here
for	IN	for
a	DT	a
while	NN	while
,	,	,
and	CC	and
just	RB	just
seeing	VBG	see
how	WRB	how
far	RB	far
I	PP	I
could	MD	could
push	VB	push
it	PP	it
.	SENT	.
"	''	"
And	CC	and
the	DT	the
fact	NN	fact
that	IN	that
I	PP	I
asked	VBD	ask
for	IN	for
help	NN	help
â	NP	<unknown>
how	WRB	how
many	JJ	many
people	NNS	people
jumped	VBD	jump
on	IN	on
board	NN	board
?	SENT	?
How	WRB	how
many	JJ	many
people	NNS	people
gave	VBD	give
of	IN	of
their	PP$	their
time	NN	time
and	CC	and
their	PP$	their
expertise	NN	expertise
,	,	,
and	CC	and
their	PP$	their
patience	NN	patience
,	,	,
to	TO	to
deal	VB	deal
with	IN	with
me	PP	me
?	SENT	?
And	CC	and
that	DT	that
was	VBD	be
this	DT	this
collective	JJ	collective
glory	NN	glory
â	NP	<unknown>
that	IN	that
there	EX	there
was	VBD	be
,	,	,
you	PP	you
know	VBP	know
,	,	,
50	CD	@card@
people	NNS	people
behind	IN	behind
me	PP	me
that	WDT	that
had	VBD	have
joined	VBN	join
in	IN	in
this	DT	this
incredible	JJ	incredible
experience	NN	experience
of	IN	of
going	VBG	go
to	TO	to
Atlanta	NP	Atlanta
.	SENT	.
So	RB	so
,	,	,
I	PP	I
apply	VBP	apply
this	DT	this
sort	NN	sort
of	IN	of
philosophy	NN	philosophy
now	RB	now
to	TO	to
everything	NN	everything
I	PP	I
do	VBP	do
:	:	:
sitting	VBG	sit
back	RB	back
and	CC	and
realizing	VBG	realize
the	DT	the
progression	NN	progression
,	,	,
how	WRB	how
far	JJ	far
you	PP	you
'	''	'
ve	NNS	<unknown>
come	VBP	come
at	IN	at
this	DT	this
day	NN	day
to	TO	to
this	DT	this
goal	NN	goal
,	,	,
you	PP	you
know	VBP	know
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
important	JJ	important
to	TO	to
focus	VB	focus
on	IN	on
a	DT	a
goal	NN	goal
,	,	,
I	PP	I
think	VBP	think
,	,	,
but	CC	but
also	RB	also
recognize	VB	recognize
the	DT	the
progression	NN	progression
on	IN	on
the	DT	the
way	NN	way
there	RB	there
and	CC	and
how	WRB	how
you	PP	you
'	POS	'
ve	NNS	<unknown>
grown	VBN	grow
as	IN	as
a	DT	a
person	NN	person
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
achievement	NN	achievement
,	,	,
I	PP	I
think	VBP	think
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
the	DT	the
real	JJ	real
achievement	NN	achievement
.	SENT	.
SS	NP	SS
:	:	:
Why	WRB	why
don	NN	don
'	POS	'
t	NN	t
you	PP	you
show	VBP	show
them	PP	them
your	PP$	your
legs	NNS	leg
?	SENT	?
AM	NP	AM
:	:	:
Oh	UH	oh
,	,	,
sure	JJ	sure
.	SENT	.
SS	NP	SS
:	:	:
You	PP	you
know	VBP	know
,	,	,
show	VBP	show
us	PP	us
more	JJR	more
than	IN	than
one	CD	one
set	NN	set
of	IN	of
legs	NNS	leg
.	SENT	.
AM	NP	AM
:	:	:
Well	UH	well
,	,	,
these	DT	these
are	VBP	be
my	PP$	my
pretty	JJ	pretty
legs	NNS	leg
.	SENT	.
No	RB	no
,	,	,
these	DT	these
are	VBP	be
my	PP$	my
cosmetic	JJ	cosmetic
legs	NNS	leg
,	,	,
actually	RB	actually
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
absolutely	RB	absolutely
beautiful	JJ	beautiful
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
come	VB	come
up	RP	up
and	CC	and
see	VB	see
them	PP	them
.	SENT	.
There	EX	there
are	VBP	be
hair	NN	hair
follicles	NNS	follicle
on	IN	on
them	PP	them
,	,	,
and	CC	and
I	PP	I
can	MD	can
paint	VB	paint
my	PP$	my
toenails	NNS	toenail
.	SENT	.
And	CC	and
,	,	,
seriously	RB	seriously
,	,	,
like	VB	like
,	,	,
I	PP	I
can	MD	can
wear	VB	wear
heels	NNS	heel
.	SENT	.
Like	IN	like
,	,	,
you	PP	you
guys	VBZ	guy
don	NN	don
'	POS	'
t	NN	t
understand	VB	understand
what	WP	what
that	DT	that
'	''	'
s	NNS	<unknown>
like	VBP	like
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
just	RB	just
go	VB	go
into	IN	into
a	DT	a
shoe	NN	shoe
store	NN	store
and	CC	and
buy	VB	buy
whatever	WDT	whatever
you	PP	you
want	VBP	want
.	SENT	.
SS	NP	SS
:	:	:
You	PP	you
got	VBD	get
to	TO	to
pick	VB	pick
your	PP$	your
height	NN	height
?	SENT	?
AM	NP	AM
:	:	:
I	PP	I
got	VBD	get
to	TO	to
pick	VB	pick
my	PP$	my
height	NN	height
,	,	,
exactly	RB	exactly
.	SENT	.
Patrick	NP	Patrick
Ewing	NP	Ewing
,	,	,
who	WP	who
played	VBD	play
for	IN	for
Georgetown	NP	Georgetown
in	IN	in
the	NP	the
'	POS	'
80s	JJ	<unknown>
,	,	,
comes	VBZ	come
back	RB	back
every	DT	every
summer	NN	summer
.	SENT	.
And	CC	and
I	PP	I
had	VBD	have
incessant	JJ	incessant
fun	NN	fun
making	VBG	make
fun	NN	fun
of	IN	of
him	PP	him
in	IN	in
the	DT	the
training	NN	training
room	NN	room
because	IN	because
he	PP	he
'	POS	'
d	NN	d
come	VBN	come
in	IN	in
with	IN	with
foot	NN	foot
injuries	NNS	injury
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
"	``	"
Get	VB	get
it	PP	it
off	RP	off
!	SENT	!
Don	NP	Don
'	POS	'
t	NN	t
worry	NN	worry
about	IN	about
it	PP	it
,	,	,
you	PP	you
know	VBP	know
.	SENT	.
You	PP	you
can	MD	can
be	VB	be
eight	CD	eight
feet	NNS	foot
tall	JJ	tall
.	SENT	.
Just	RB	just
take	VB	take
them	PP	them
off	RP	off
.	SENT	.
"	``	"
He	PP	he
didn	NP	<unknown>
'	POS	'
t	NN	t
find	VB	find
it	PP	it
as	RB	as
humorous	JJ	humorous
as	IN	as
I	PP	I
did	VBD	do
,	,	,
anyway	RB	anyway
.	SENT	.
OK	UH	OK
,	,	,
now	RB	now
,	,	,
these	DT	these
are	VBP	be
my	PP$	my
sprinting	VBG	sprint
legs	NNS	leg
,	,	,
made	VBN	make
of	IN	of
carbon	NN	carbon
graphite	NN	graphite
,	,	,
like	IN	like
I	PP	I
said	VBD	say
,	,	,
and	CC	and
I	PP	I
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
make	VB	make
sure	JJ	sure
I	PP	I
'	''	'
ve	NNS	<unknown>
got	VBD	get
the	DT	the
right	JJ	right
socket	NN	socket
.	SENT	.
No	UH	no
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
got	VBD	get
so	RB	so
many	JJ	many
legs	NNS	leg
in	IN	in
here	RB	here
.	SENT	.
These	DT	these
are	VBP	be
â	NP	<unknown>
do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
hold	VB	hold
that	IN	that
actually	RB	actually
?	SENT	?
That	IN	that
'	POS	'
s	NNS	<unknown>
another	DT	another
leg	NN	leg
I	PP	I
have	VBP	have
for	IN	for
,	,	,
like	VB	like
,	,	,
tennis	NN	tennis
and	CC	and
softball	NN	softball
.	SENT	.
It	PP	it
has	VBZ	have
a	DT	a
shock	NN	shock
absorber	NN	absorber
in	IN	in
it	PP	it
so	IN	so
it	PP	it
,	,	,
like	VB	like
,	,	,
"	''	"
Shhhh	NP	<unknown>
,	,	,
"	''	"
makes	VBZ	make
this	DT	this
neat	JJ	neat
sound	NN	sound
when	WRB	when
you	PP	you
jump	VBP	jump
around	RB	around
on	IN	on
it	PP	it
.	SENT	.
All	DT	all
right	NN	right
.	SENT	.
And	CC	and
then	RB	then
this	DT	this
is	VBZ	be
the	DT	the
silicon	NN	silicon
sheath	NN	sheath
I	PP	I
roll	VBP	roll
over	RP	over
,	,	,
to	TO	to
keep	VB	keep
it	PP	it
on	RP	on
.	SENT	.
Which	WDT	which
,	,	,
when	WRB	when
I	PP	I
sweat	VBP	sweat
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
m	NN	m
pistoning	VBG	pistone
out	RP	out
of	IN	of
it	PP	it
.	SENT	.
SS	NP	SS
:	:	:
Are	VBP	be
you	PP	you
a	DT	a
different	JJ	different
height	NN	height
?	SENT	?
AM	NP	AM
:	:	:
In	IN	in
these	DT	these
?	SENT	?
SS	NP	SS
:	:	:
In	IN	in
these	DT	these
.	SENT	.
AM	NP	AM
:	:	:
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
so	RB	so
.	SENT	.
I	PP	I
may	MD	may
be	VB	be
a	DT	a
little	RB	little
taller	JJR	tall
.	SENT	.
I	PP	I
actually	RB	actually
can	MD	can
put	VB	put
both	DT	both
of	IN	of
them	PP	them
on	IN	on
.	SENT	.
SS	NP	SS
:	:	:
She	PP	she
can	MD	can
'	''	'
t	NN	t
really	RB	really
stand	VBP	stand
on	IN	on
these	DT	these
legs	NNS	leg
.	SENT	.
She	PP	she
has	VBZ	have
to	TO	to
be	VB	be
moving	VBG	move
,	,	,
so	RB	so
.	SENT	.
.	SENT	.
.	SENT	.
AM	NP	AM
:	:	:
Yeah	RB	yeah
,	,	,
I	PP	I
definitely	RB	definitely
have	VB	have
to	TO	to
be	VB	be
moving	VBG	move
,	,	,
and	CC	and
balance	NN	balance
is	VBZ	be
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
an	DT	an
art	NN	art
in	IN	in
them	PP	them
.	SENT	.
But	CC	but
without	IN	without
having	VBG	have
the	DT	the
silicon	NN	silicon
sock	NN	sock
,	,	,
I	PP	I
'	POS	'
m	NN	m
just	RB	just
going	VBG	go
to	TO	to
try	VB	try
