Someday	RB	someday
Prize	NP	Prize
winner	NN	winner
,	,	,
Olympic	JJ	Olympic
gold	NN	gold
medalist	NN	medalist
,	,	,
head	NN	head
of	IN	of
state	NN	state
.	SENT	.
Ems	NNS	em
look	VBP	look
on	IN	on
humans	NNS	human
perhaps	RB	perhaps
with	IN	with
nostalgia	NN	nostalgia
and	CC	and
gratitude	NN	gratitude
,	,	,
but	CC	but
not	RB	not
so	RB	so
much	JJ	much
respect	NN	respect
,	,	,
which	WDT	which
is	VBZ	be
,	,	,
if	IN	if
you	PP	you
think	VBP	think
about	IN	about
it	PP	it
,	,	,
how	WRB	how
you	PP	you
think	VBP	think
about	IN	about
your	PP$	your
ancestors	NNS	ancestor
.	SENT	.
We	PP	we
know	VBP	know
many	JJ	many
things	NNS	thing
about	RB	about
how	WRB	how
humans	NNS	human
differ	VBP	differ
in	IN	in
terms	NNS	term
of	IN	of
productivity	NN	productivity
.	SENT	.
We	PP	we
can	MD	can
just	RB	just
use	VB	use
those	DT	those
to	TO	to
predict	VB	predict
features	NNS	feature
of	IN	of
ems	NNS	em
—	:	-
for	IN	for
example	NN	example
,	,	,
they	PP	they
tend	VBP	tend
to	TO	to
be	VB	be
smart	JJ	smart
,	,	,
conscientious	JJ	conscientious
,	,	,
hard-	JJ	<unknown>
working	NN	working
,	,	,
married	JJ	married
,	,	,
religious	JJ	religious
,	,	,
middle-aged	JJ	middle-aged
.	SENT	.
These	DT	these
are	VBP	be
features	NNS	feature
of	IN	of
ems	NNS	em
.	SENT	.
Em	NN	em
world	NN	world
also	RB	also
contains	VBZ	contain
enormous	JJ	enormous
variety	NN	variety
.	SENT	.
Not	RB	not
only	RB	only
does	VBZ	do
it	PP	it
continue	VB	continue
on	IN	on
with	IN	with
most	JJS	most
of	IN	of
the	DT	the
kinds	NNS	kind
of	IN	of
variety	NN	variety
that	IN	that
humans	NNS	human
do	VBP	do
,	,	,
including	VBG	include
variety	NN	variety
of	IN	of
industry	NN	industry
and	CC	and
profession	NN	profession
,	,	,
they	PP	they
also	RB	also
have	VBP	have
many	JJ	many
new	JJ	new
kinds	NNS	kind
of	IN	of
variety	NN	variety
,	,	,
and	CC	and
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
important	JJ	important
is	VBZ	be
mind	NN	mind
speed	NN	speed
.	SENT	.
Ems	NNS	em
can	MD	can
plausibly	RB	plausibly
go	VB	go
from	IN	from
human	JJ	human
speed	NN	speed
up	RB	up
to	TO	to
a	DT	a
million	CD	million
times	NNS	time
faster	RBR	faster
than	IN	than
human	JJ	human
speed	NN	speed
,	,	,
and	CC	and
down	RB	down
to	TO	to
a	DT	a
billion	NN	billion
times	NNS	time
slower	JJR	slow
than	IN	than
human	JJ	human
speed	NN	speed
.	SENT	.
Faster	JJR	fast
ems	NNS	em
tend	VBP	tend
to	TO	to
have	VB	have
markers	NNS	marker
of	IN	of
high	JJ	high
status	NN	status
.	SENT	.
They	PP	they
embody	VBP	embody
more	JJR	more
wealth	NN	wealth
.	SENT	.
They	PP	they
win	VBP	win
arguments	NNS	argument
.	SENT	.
They	PP	they
sit	VBP	sit
at	IN	at
premium	NN	premium
locations	NNS	location
.	SENT	.
Slower	JJR	slow
ems	NNS	em
are	VBP	be
mostly	RB	mostly
retirees	NNS	retiree
,	,	,
and	CC	and
they	PP	they
are	VBP	be
like	IN	like
the	DT	the
ghosts	NNS	ghost
of	IN	of
our	PP$	our
literature	NN	literature
.	SENT	.
If	IN	if
you	PP	you
recall	VBP	recall
,	,	,
ghosts	NNS	ghost
are	VBP	be
all	RB	all
around	IN	around
us	PP	us
—	:	-
you	PP	you
can	MD	can
interact	VB	interact
with	IN	with
them	PP	them
if	IN	if
you	PP	you
pay	VBP	pay
the	DT	the
price	NN	price
.	SENT	.
But	CC	but
they	PP	they
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
much	RB	much
,	,	,
they	PP	they
can	MD	can
'	''	'
t	NN	t
influence	NN	influence
much	RB	much
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
obsessed	VBN	obsess
with	IN	with
the	DT	the
past	NN	past
,	,	,
so	RB	so
what	WP	what
'	POS	'
s	NNS	<unknown>
the	DT	the
point	NN	point
?	SENT	?
Ems	NNS	em
also	RB	also
have	VBP	have
more	JJR	more
variety	NN	variety
in	IN	in
the	DT	the
structure	NN	structure
of	IN	of
their	PP$	their
lives	NNS	life
.	SENT	.
This	DT	this
is	VBZ	be
your	PP$	your
life	NN	life
:	:	:
you	PP	you
start	VBP	start
and	CC	and
you	PP	you
end	VBP	end
,	,	,
really	RB	really
simple	JJ	simple
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
life	NN	life
of	IN	of
an	DT	an
em	NN	em
,	,	,
who	WP	who
every	DT	every
day	NN	day
splits	VBZ	split
off	RP	off
some	DT	some
short-term	JJ	short-term
copies	NNS	copy
to	TO	to
do	VB	do
short-term	JJ	short-term
tasks	NNS	task
and	CC	and
then	RB	then
end	VB	end
.	SENT	.
We	PP	we
'	POS	'
ll	NNS	<unknown>
talk	VBP	talk
more	JJR	more
about	IN	about
those	DT	those
short	JJ	short
term	NN	term
versions	NNS	version
in	IN	in
a	DT	a
moment	NN	moment
,	,	,
but	CC	but
they	PP	they
are	VBP	be
much	RB	much
more	RBR	more
efficient	JJ	efficient
because	IN	because
they	PP	they
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
rest	VB	rest
for	IN	for
the	DT	the
next	JJ	next
day	NN	day
.	SENT	.
This	DT	this
em	NN	em
is	VBZ	be
more	RBR	more
opportunistic	JJ	opportunistic
.	SENT	.
They	PP	they
make	VBP	make
more	JJR	more
copies	NNS	copy
of	IN	of
themselves	PP	themselves
when	WRB	when
there	EX	there
'	''	'
s	VBG	<unknown>
more	JJR	more
demand	NN	demand
for	IN	for
that	DT	that
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
know	VB	know
which	WDT	which
way	NN	way
the	DT	the
future	NN	future
'	POS	'
s	NNS	<unknown>
going	VBG	go
.	SENT	.
This	DT	this
is	VBZ	be
an	DT	an
em	NN	em
designer	NN	designer
,	,	,
who	WP	who
conceives	VBZ	conceive
of	IN	of
a	DT	a
large	JJ	large
system	NN	system
and	CC	and
then	RB	then
breaks	VBZ	break
recursively	RB	recursively
into	IN	into
copies	NNS	copy
who	WP	who
elaborate	VB	elaborate
that	IN	that
,	,	,
so	IN	so
ems	NNS	em
can	MD	can
implement	VB	implement
larger	JJR	large
,	,	,
more	RBR	more
coherent	JJ	coherent
designs	NNS	design
.	SENT	.
This	DT	this
an	DT	an
emulation	NN	emulation
plumber	NN	plumber
who	WP	who
remembers	VBZ	remember
that	IN	that
every	DT	every
day	NN	day
,	,	,
for	IN	for
the	DT	the
last	JJ	last
20	CD	@card@
years	NNS	year
,	,	,
they	PP	they
only	RB	only
ever	RB	ever
worked	VBN	work
two	CD	two
hours	NNS	hour
a	DT	a
day	NN	day
,	,	,
a	DT	a
life	NN	life
of	IN	of
leisure	NN	leisure
.	SENT	.
But	CC	but
what	WP	what
really	RB	really
happened	VBN	happen
is	VBZ	be
,	,	,
every	DT	every
day	NN	day
they	PP	they
had	VBD	have
a	DT	a
thousand	CD	thousand
copies	NNS	copy
,	,	,
each	DT	each
of	IN	of
whom	WP	whom
did	VBD	do
a	DT	a
two-hour	JJ	two-hour
plumbing	NN	plumbing
job	NN	job
,	,	,
and	CC	and
only	RB	only
one	CD	one
of	IN	of
them	PP	them
went	VBD	go
on	IN	on
to	TO	to
the	DT	the
next	JJ	next
day	NN	day
.	SENT	.
Objectively	RB	objectively
,	,	,
they	PP	they
'	POS	'
re	NN	re
working	VBG	work
well	RB	well
over	IN	over
99	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
time	NN	time
.	SENT	.
Subjectively	RB	subjectively
,	,	,
they	PP	they
remember	VBP	remember
a	DT	a
life	NN	life
of	IN	of
leisure	NN	leisure
.	SENT	.
This	DT	this
,	,	,
again	RB	again
,	,	,
is	VBZ	be
you	PP	you
.	SENT	.
You	PP	you
start	VBP	start
and	CC	and
you	PP	you
end	VBP	end
.	SENT	.
This	DT	this
could	MD	could
be	VB	be
you	PP	you
if	IN	if
at	IN	at
the	DT	the
start	NN	start
of	IN	of
party	NN	party
,	,	,
you	PP	you
took	VBD	take
a	DT	a
drug	NN	drug
that	WDT	that
meant	VBD	mean
you	PP	you
would	MD	would
not	RB	not
remember	VB	remember
that	DT	that
party	NN	party
ever	RB	ever
after	IN	after
that	DT	that
day	NN	day
.	SENT	.
Some	DT	some
people	NNS	people
do	VBP	do
this	DT	this
,	,	,
I	PP	I
'	POS	'
m	NN	m
told	VBD	tell
.	SENT	.
Toward	IN	toward
the	DT	the
end	NN	end
of	IN	of
the	DT	the
party	NN	party
,	,	,
will	MD	will
you	PP	you
say	VB	say
to	TO	to
yourself	PP	yourself
,	,	,
"	''	"
I	NP	I
'	POS	'
m	NN	m
about	RB	about
to	TO	to
die	VB	die
,	,	,
this	DT	this
is	VBZ	be
terrible	JJ	terrible
.	SENT	.
That	DT	that
person	NN	person
tomorrow	NN	tomorrow
isn	NN	isn
'	POS	'
t	NN	t
me	PP	me
,	,	,
because	IN	because
they	PP	they
won	VBD	win
'	''	'
t	NN	t
remember	VB	remember
what	WP	what
I	PP	I
do	VBP	do
.	SENT	.
"	``	"
Or	CC	or
you	PP	you
could	MD	could
say	VB	say
,	,	,
"	``	"
I	PP	I
will	MD	will
go	VB	go
on	IN	on
tomorrow	NN	tomorrow
.	SENT	.
I	PP	I
just	RB	just
won	VBD	win
'	''	'
t	NN	t
remember	VB	remember
what	WP	what
I	PP	I
did	VBD	do
.	SENT	.
"	``	"
This	DT	this
is	VBZ	be
an	DT	an
em	NN	em
who	WP	who
splits	VBZ	split
off	RP	off
a	DT	a
short-term	JJ	short-term
copy	NN	copy
to	TO	to
do	VB	do
a	DT	a
short-term	JJ	short-term
task	NN	task
and	CC	and
then	RB	then
end	VB	end
.	SENT	.
They	PP	they
have	VBP	have
the	DT	the
same	JJ	same
two	CD	two
attitude	NN	attitude
possibilities	NNS	possibility
.	SENT	.
They	PP	they
can	MD	can
say	VB	say
,	,	,
"	''	"
I	NP	I
'	POS	'
m	NN	m
a	DT	a
new	JJ	new
short-term	JJ	short-term
creature	NN	creature
with	IN	with
a	DT	a
short	JJ	short
life	NN	life
.	SENT	.
I	PP	I
hate	VBP	hate
this	DT	this
.	SENT	.
"	''	"
Or	CC	or
"	``	"
I	NP	I
'	POS	'
m	NN	m
a	DT	a
part	NN	part
of	IN	of
a	DT	a
larger	JJR	large
creature	NN	creature
who	WP	who
won	VBD	win
'	''	'
t	NN	t
remember	VB	remember
this	DT	this
part	NN	part
.	SENT	.
"	``	"
I	PP	I
predict	VBP	predict
they	PP	they
'	''	'
ll	NNS	<unknown>
have	VBP	have
that	DT	that
second	JJ	second
attitude	NN	attitude
,	,	,
not	RB	not
because	IN	because
it	PP	it
'	POS	'
s	NN	S
philosophically	RB	philosophically
correct	JJ	correct
,	,	,
but	CC	but
because	IN	because
it	PP	it
helps	VBZ	help
them	PP	them
get	VB	get
along	RP	along
.	SENT	.
Today	NN	today
,	,	,
if	IN	if
the	DT	the
president	NN	president
says	VBZ	say
we	PP	we
must	MD	must
invade	VB	invade
Iraq	NP	Iraq
,	,	,
and	CC	and
you	PP	you
say	VBP	say
,	,	,
"	''	"
Why	WRB	why
?	SENT	?
"	``	"
and	CC	and
they	PP	they
say	VBP	say
,	,	,
"	''	"
State	NP	State
secret	NN	secret
,	,	,
"	''	"
you	PP	you
'	POS	'
re	NN	re
not	RB	not
sure	JJ	sure
if	IN	if
you	PP	you
can	MD	can
trust	VB	trust
them	PP	them
,	,	,
but	CC	but
for	IN	for
ems	NNS	em
,	,	,
a	DT	a
copy	NN	copy
of	IN	of
the	DT	the
president	NN	president
and	CC	and
a	DT	a
copy	NN	copy
of	IN	of
you	PP	you
can	MD	can
go	VB	go
inside	IN	inside
a	DT	a
safe	JJ	safe
,	,	,
explain	VB	explain
all	PDT	all
their	PP$	their
secret	JJ	secret
reasons	NNS	reason
,	,	,
and	CC	and
then	RB	then
one	CD	one
bit	NN	bit
comes	VBZ	come
out	RP	out
from	IN	from
your	PP$	your
copy	NN	copy
to	TO	to
yourself	PP	yourself
,	,	,
telling	VBG	tell
you	PP	you
if	IN	if
you	PP	you
were	VBD	be
convinced	VBN	convince
.	SENT	.
So	RB	so
now	RB	now
you	PP	you
can	MD	can
know	VB	know
there	EX	there
is	VBZ	be
a	DT	a
good	JJ	good
reason	NN	reason
.	SENT	.
I	PP	I
know	VBP	know
you	PP	you
guys	NNS	guy
are	VBP	be
all	RB	all
eager	JJ	eager
to	TO	to
evaluate	VB	evaluate
this	DT	this
world	NN	world
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
eager	JJ	eager
to	TO	to
decide	VB	decide
if	IN	if
you	PP	you
love	VBP	love
it	PP	it
or	CC	or
hate	VB	hate
it	PP	it
.	SENT	.
But	CC	but
think	VBP	think
:	:	:
your	PP$	your
ancestors	NNS	ancestor
from	IN	from
thousands	NNS	thousand
of	IN	of
years	NNS	year
ago	RB	ago
would	MD	would
have	VB	have
loved	VBN	love
or	CC	or
hated	VBN	hate
your	PP$	your
world	NN	world
based	VBN	base
on	IN	on
the	DT	the
first	JJ	first
few	JJ	few
things	NNS	thing
they	PP	they
heard	VBD	hear
about	IN	about
it	PP	it
,	,	,
because	IN	because
your	PP$	your
world	NN	world
is	VBZ	be
really	RB	really
just	RB	just
weird	JJ	weird
.	SENT	.
So	RB	so
before	IN	before
judging	VBG	judge
a	DT	a
strange	JJ	strange
future	JJ	future
world	NN	world
,	,	,
you	PP	you
should	MD	should
really	RB	really
learn	VB	learn
a	DT	a
lot	NN	lot
about	IN	about
it	PP	it
,	,	,
maybe	RB	maybe
read	VBD	read
a	DT	a
whole	JJ	whole
book	NN	book
about	IN	about
it	PP	it
,	,	,
and	CC	and
then	RB	then
,	,	,
if	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
like	IN	like
it	PP	it
,	,	,
work	VB	work
to	TO	to
change	VB	change
it	PP	it
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
