Okay	RB	okay
s	VBZ	<unknown>
one	CD	one
point	NN	point
for	IN	for
insects	NNS	insect
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
the	DT	the
conversion	NN	conversion
factor	NN	factor
.	SENT	.
You	PP	you
take	VBP	take
10	CD	@card@
kilograms	NNS	kilogram
of	IN	of
feed	NN	feed
,	,	,
you	PP	you
can	MD	can
get	VB	get
one	CD	one
kilogram	NN	kilogram
of	IN	of
beef	NN	beef
,	,	,
but	CC	but
you	PP	you
can	MD	can
get	VB	get
nine	CD	nine
kilograms	NNS	kilogram
of	IN	of
locust	NN	locust
meat	NN	meat
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
would	MD	would
be	VB	be
an	DT	an
entrepreneur	NN	entrepreneur
,	,	,
what	WP	what
would	MD	would
you	PP	you
do	VB	do
?	SENT	?
With	IN	with
10	CD	@card@
kilograms	NNS	kilogram
of	IN	of
input	NN	input
,	,	,
you	PP	you
can	MD	can
get	VB	get
either	RB	either
one	CD	one
or	CC	or
nine	CD	nine
kg	NN	kg
.	SENT	.
of	IN	of
output	NN	output
.	SENT	.
So	RB	so
far	RB	far
we	PP	we
'	''	'
re	IN	re
taking	VBG	take
the	DT	the
one	CD	one
,	,	,
or	CC	or
up	RB	up
to	TO	to
five	CD	five
kilograms	NNS	kilogram
of	IN	of
output	NN	output
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
not	RB	not
taking	VBG	take
the	DT	the
bonus	NN	bonus
yet	RB	yet
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
not	RB	not
taking	VBG	take
the	DT	the
nine	CD	nine
kilograms	NNS	kilogram
of	IN	of
output	NN	output
yet	RB	yet
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NN	S
two	CD	two
points	NNS	point
for	IN	for
insects	NNS	insect
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
the	DT	the
environment	NN	environment
.	SENT	.
If	IN	if
we	PP	we
take	VBP	take
10	CD	@card@
kilograms	NNS	kilogram
of	IN	of
food	NN	food
—	:	-
and	CC	and
it	PP	it
results	VBZ	result
in	IN	in
one	CD	one
kilogram	NN	kilogram
of	IN	of
beef	NN	beef
,	,	,
the	DT	the
other	JJ	other
nine	CD	nine
kilograms	NNS	kilogram
are	VBP	be
waste	JJ	waste
,	,	,
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
that	WDT	that
is	VBZ	be
manure	NN	manure
.	SENT	.
If	IN	if
you	PP	you
produce	VBP	produce
insects	NNS	insect
,	,	,
you	PP	you
have	VBP	have
less	JJR	less
manure	NN	manure
per	IN	per
kilogram	NN	kilogram
of	IN	of
meat	NN	meat
that	IN	that
you	PP	you
produce	VBP	produce
.	SENT	.
So	RB	so
less	JJR	less
waste	NN	waste
.	SENT	.
Furthermore	RB	furthermore
,	,	,
per	IN	per
kilogram	NN	kilogram
of	IN	of
manure	NN	manure
,	,	,
you	PP	you
have	VBP	have
much	RB	much
,	,	,
much	RB	much
less	JJR	less
ammonia	NN	ammonia
and	CC	and
fewer	JJR	few
greenhouse	NN	greenhouse
gases	NNS	gas
when	WRB	when
you	PP	you
have	VBP	have
insect	NN	insect
manure	NN	manure
than	IN	than
when	WRB	when
you	PP	you
have	VBP	have
cow	NN	cow
manure	NN	manure
.	SENT	.
So	RB	so
you	PP	you
have	VBP	have
less	JJR	less
waste	NN	waste
,	,	,
and	CC	and
the	DT	the
waste	NN	waste
that	IN	that
you	PP	you
have	VBP	have
is	VBZ	be
not	RB	not
as	IN	as
environmental	JJ	environmental
malign	JJ	malign
as	IN	as
it	PP	it
is	VBZ	be
with	IN	with
cow	NN	cow
dung	NN	dung
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NN	S
three	CD	three
points	NNS	point
for	IN	for
insects	NNS	insect
.	SENT	.
Now	RB	now
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
big	JJ	big
"	``	"
if	IN	if
,	,	,
"	''	"
of	IN	of
course	NN	course
,	,	,
and	CC	and
it	PP	it
is	VBZ	be
if	IN	if
insects	NNS	insect
produce	VBP	produce
meat	NN	meat
that	WDT	that
is	VBZ	be
of	IN	of
good	JJ	good
quality	NN	quality
.	SENT	.
Well	RB	well
there	EX	there
have	VBP	have
been	VBN	be
all	DT	all
kinds	NNS	kind
of	IN	of
analyses	NNS	analysis
and	CC	and
in	IN	in
terms	NNS	term
of	IN	of
protein	NN	protein
,	,	,
or	CC	or
fat	JJ	fat
,	,	,
or	CC	or
vitamins	NNS	vitamin
,	,	,
it	PP	it
'	POS	'
s	NN	S
very	RB	very
good	JJ	good
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
it	PP	it
'	POS	'
s	NN	S
comparable	JJ	comparable
to	TO	to
anything	NN	anything
we	PP	we
eat	VBP	eat
as	IN	as
meat	NN	meat
at	IN	at
the	DT	the
moment	NN	moment
.	SENT	.
And	CC	and
even	RB	even
in	IN	in
terms	NNS	term
of	IN	of
calories	NNS	calorie
,	,	,
it	PP	it
is	VBZ	be
very	RB	very
good	JJ	good
.	SENT	.
One	CD	one
kilogram	NN	kilogram
of	IN	of
grasshoppers	NNS	grasshopper
has	VBZ	have
the	DT	the
same	JJ	same
amount	NN	amount
of	IN	of
calories	NNS	calorie
as	IN	as
10	CD	@card@
hot	JJ	hot
dogs	NNS	dog
,	,	,
or	CC	or
six	CD	six
Big	JJ	big
Macs	NNS	mac
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NN	S
four	CD	four
points	NNS	point
for	IN	for
insects	NNS	insect
.	SENT	.
I	PP	I
can	MD	can
go	VB	go
on	IN	on
,	,	,
and	CC	and
I	PP	I
could	MD	could
make	VB	make
many	JJ	many
more	JJR	more
points	NNS	point
for	IN	for
insects	NNS	insect
,	,	,
but	CC	but
time	NN	time
doesn	NN	<unknown>
'	POS	'
t	NN	t
allow	VB	allow
this	DT	this
.	SENT	.
So	IN	so
the	DT	the
question	NN	question
is	VBZ	be
,	,	,
why	WRB	why
not	RB	not
eat	VB	eat
insects	NNS	insect
?	SENT	?
I	PP	I
gave	VBD	give
you	PP	you
at	IN	at
least	JJS	least
four	CD	four
arguments	NNS	argument
in	IN	in
favor	NN	favor
.	SENT	.
We	PP	we
'	POS	'
ll	NNS	<unknown>
have	VBP	have
to	TO	to
.	SENT	.
Even	RB	even
if	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
like	IN	like
it	PP	it
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
have	VBP	have
to	TO	to
get	VB	get
used	VBN	use
to	TO	to
this	DT	this
because	IN	because
at	IN	at
the	DT	the
moment	NN	moment
,	,	,
70	CD	@card@
percent	NN	percent
of	IN	of
all	PDT	all
our	PP$	our
agricultural	JJ	agricultural
land	NN	land
is	VBZ	be
being	VBG	be
used	VBN	use
to	TO	to
produce	VB	produce
livestock	NN	livestock
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
not	RB	not
only	RB	only
the	DT	the
land	NN	land
where	WRB	where
the	DT	the
livestock	NN	livestock
is	VBZ	be
walking	VBG	walk
and	CC	and
feeding	VBG	feed
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
also	RB	also
other	JJ	other
areas	NNS	area
where	WRB	where
the	DT	the
feed	NN	feed
is	VBZ	be
being	VBG	be
produced	VBN	produce
and	CC	and
being	VBG	be
transported	VBN	transport
.	SENT	.
We	PP	we
can	MD	can
increase	VB	increase
it	PP	it
a	DT	a
bit	NN	bit
at	IN	at
the	DT	the
expense	NN	expense
of	IN	of
rainforests	NNS	rainforest
,	,	,
but	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
limitation	NN	limitation
very	RB	very
soon	RB	soon
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
remember	VBP	remember
that	IN	that
we	PP	we
need	VBP	need
to	TO	to
increase	VB	increase
agricultural	JJ	agricultural
production	NN	production
by	IN	by
70	CD	@card@
percent	NN	percent
,	,	,
we	PP	we
'	POS	'
re	NN	re
not	RB	not
going	VBG	go
to	TO	to
make	VB	make
it	PP	it
that	DT	that
way	NN	way
.	SENT	.
We	PP	we
could	MD	could
much	RB	much
better	RBR	well
change	VB	change
from	IN	from
meat	NN	meat
,	,	,
from	IN	from
beef	NN	beef
,	,	,
to	TO	to
insects	NNS	insect
.	SENT	.
And	CC	and
then	RB	then
80	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
world	NN	world
already	RB	already
eats	VBZ	eat
insects	NNS	insect
,	,	,
so	RB	so
we	PP	we
are	VBP	be
just	RB	just
a	DT	a
minority	NN	minority
—	:	-
in	IN	in
a	DT	a
country	NN	country
like	IN	like
the	DT	the
U	NP	U
.	SENT	.
K	NN	K
.	SENT	.
,	,	,
the	DT	the
USA	NP	USA
,	,	,
the	DT	the
Netherlands	NPS	Netherlands
,	,	,
anywhere	RB	anywhere
.	SENT	.
On	IN	on
the	DT	the
left-hand	JJ	left-hand
side	NN	side
,	,	,
you	PP	you
see	VBP	see
a	DT	a
market	NN	market
in	IN	in
Laos	NP	Laos
where	WRB	where
they	PP	they
have	VBP	have
abundantly	RB	abundantly
present	JJ	present
all	DT	all
kinds	NNS	kind
of	IN	of
insects	NNS	insect
that	IN	that
you	PP	you
choose	VBP	choose
for	IN	for
dinner	NN	dinner
for	IN	for
the	DT	the
night	NN	night
.	SENT	.
On	IN	on
the	DT	the
right-hand	JJ	right-hand
side	NN	side
you	PP	you
see	VBP	see
a	DT	a
grasshopper	NN	grasshopper
.	SENT	.
So	RB	so
people	NNS	people
there	EX	there
are	VBP	be
eating	VBG	eat
them	PP	them
,	,	,
not	RB	not
because	IN	because
they	PP	they
'	POS	'
re	NN	re
hungry	JJ	hungry
,	,	,
but	CC	but
because	IN	because
they	PP	they
think	VBP	think
it	PP	it
'	''	'
s	VBG	<unknown>
a	DT	a
delicacy	NN	delicacy
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
very	RB	very
good	JJ	good
food	NN	food
.	SENT	.
You	PP	you
can	MD	can
vary	VB	vary
enormously	RB	enormously
.	SENT	.
It	PP	it
has	VBZ	have
many	JJ	many
benefits	NNS	benefit
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
we	PP	we
have	VBP	have
delicacy	NN	delicacy
that	RB	that
'	POS	'
s	NN	S
very	RB	very
much	RB	much
like	IN	like
this	DT	this
grasshopper	NN	grasshopper
:	:	:
shrimps	NNS	shrimp
,	,	,
a	DT	a
delicacy	NN	delicacy
being	VBG	be
sold	VBN	sell
at	IN	at
a	DT	a
high	JJ	high
price	NN	price
.	SENT	.
Who	WP	who
wouldn	NP	<unknown>
'	POS	'
t	NN	t
like	VBP	like
to	TO	to
eat	VB	eat
a	DT	a
shrimp	NN	shrimp
?	SENT	?
There	EX	there
are	VBP	be
a	DT	a
few	JJ	few
people	NNS	people
who	WP	who
don	VBP	don
'	POS	'
t	NN	t
like	IN	like
shrimp	NN	shrimp
,	,	,
but	CC	but
shrimp	NN	shrimp
,	,	,
or	CC	or
crabs	NNS	crab
,	,	,
or	CC	or
crayfish	NN	crayfish
,	,	,
are	VBP	be
very	RB	very
closely	RB	closely
related	VBN	relate
.	SENT	.
They	PP	they
are	VBP	be
delicacies	NNS	delicacy
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
a	DT	a
locust	NN	locust
is	VBZ	be
a	DT	a
"	``	"
shrimp	NN	shrimp
"	''	"
of	IN	of
the	DT	the
land	NN	land
,	,	,
and	CC	and
it	PP	it
would	MD	would
make	VB	make
very	RB	very
good	JJ	good
into	IN	into
our	PP$	our
diet	NN	diet
.	SENT	.
So	RB	so
why	WRB	why
are	VBP	be
we	PP	we
not	RB	not
eating	VBG	eat
insects	NNS	insect
yet	RB	yet
?	SENT	?
Well	RB	well
that	RB	that
'	''	'
s	NNS	<unknown>
just	RB	just
a	DT	a
matter	NN	matter
of	IN	of
mindset	NN	mindset
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
not	RB	not
used	VBN	use
to	TO	to
it	PP	it
,	,	,
and	CC	and
we	PP	we
see	VBP	see
insects	NNS	insect
as	IN	as
these	DT	these
organisms	NNS	organism
that	WDT	that
are	VBP	be
very	RB	very
different	JJ	different
from	IN	from
us	PP	us
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
why	WRB	why
we	PP	we
'	POS	'
re	NN	re
changing	VBG	change
the	DT	the
perception	NN	perception
of	IN	of
insects	NNS	insect
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
working	VBG	work
very	RB	very
hard	JJ	hard
with	IN	with
my	PP$	my
colleague	NN	colleague
,	,	,
Arnold	NP	Arnold
van	NP	van
Huis	NP	<unknown>
,	,	,
in	IN	in
telling	VBG	tell
people	NNS	people
what	WDT	what
insects	NNS	insect
are	VBP	be
,	,	,
what	WP	what
magnificent	JJ	magnificent
things	NNS	thing
they	PP	they
are	VBP	be
,	,	,
what	WP	what
magnificent	JJ	magnificent
jobs	NNS	job
they	PP	they
do	VBP	do
in	IN	in
nature	NN	nature
.	SENT	.
And	CC	and
in	IN	in
fact	NN	fact
,	,	,
without	IN	without
insects	NNS	insect
,	,	,
we	PP	we
would	MD	would
not	RB	not
be	VB	be
here	RB	here
in	IN	in
this	DT	this
room	NN	room
,	,	,
because	IN	because
if	IN	if
the	DT	the
insects	NNS	insect
die	VBP	die
out	RP	out
,	,	,
we	PP	we
will	MD	will
soon	RB	soon
die	VB	die
out	RP	out
as	RB	as
well	RB	well
.	SENT	.
If	IN	if
we	PP	we
die	VBP	die
out	RP	out
,	,	,
the	DT	the
insects	NNS	insect
will	MD	will
continue	VB	continue
very	RB	very
happily	RB	happily
.	SENT	.
So	RB	so
we	PP	we
have	VBP	have
to	TO	to
get	VB	get
used	VBN	use
to	TO	to
the	DT	the
idea	NN	idea
of	IN	of
eating	VBG	eat
insects	NNS	insect
.	SENT	.
And	CC	and
some	DT	some
might	MD	might
think	VB	think
,	,	,
well	RB	well
they	PP	they
'	POS	'
re	NN	re
not	RB	not
yet	RB	yet
available	JJ	available
.	SENT	.
Well	RB	well
they	PP	they
are	VBP	be
.	SENT	.
There	EX	there
are	VBP	be
entrepreneurs	NNS	entrepreneur
in	IN	in
the	DT	the
Netherlands	NP	Netherlands
that	WDT	that
produce	VBP	produce
them	PP	them
,	,	,
and	CC	and
one	CD	one
of	IN	of
them	PP	them
is	VBZ	be
here	RB	here
in	IN	in
the	DT	the
audience	NN	audience
,	,	,
Marian	NP	Marian
Peeters	NP	Peeters
,	,	,
who	WP	who
'	POS	'
s	NN	S
in	IN	in
the	DT	the
picture	NN	picture
.	SENT	.
I	PP	I
predict	VBP	predict
that	IN	that
later	RBR	later
this	DT	this
year	NN	year
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
get	VBP	get
them	PP	them
in	IN	in
the	DT	the
supermarkets	NNS	supermarket
—	:	-
not	RB	not
visible	JJ	visible
,	,	,
but	CC	but
as	IN	as
animal	JJ	animal
protein	NN	protein
in	IN	in
the	DT	the
food	NN	food
.	SENT	.
And	CC	and
maybe	RB	maybe
by	IN	by
2020	CD	@card@
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
buy	VBP	buy
them	PP	them
just	RB	just
knowing	VBG	know
that	IN	that
this	DT	this
is	VBZ	be
an	DT	an
insect	NN	insect
that	IN	that
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
eat	VB	eat
.	SENT	.
And	CC	and
they	PP	they
'	POS	'
re	NN	re
being	VBG	be
made	VBN	make
in	IN	in
the	DT	the
most	RBS	most
wonderful	JJ	wonderful
ways	NNS	way
.	SENT	.
A	DT	a
Dutch	JJ	Dutch
chocolate	NN	chocolate
maker	NN	maker
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	NNS	<unknown>
even	RB	even
a	DT	a
lot	NN	lot
of	IN	of
design	NN	design
to	TO	to
it	PP	it
.	SENT	.
Well	RB	well
in	IN	in
the	DT	the
Netherlands	NPS	Netherlands
,	,	,
we	PP	we
have	VBP	have
an	DT	an
innovative	JJ	innovative
Minister	NP	Minister
of	IN	of
Agriculture	NP	Agriculture
,	,	,
and	CC	and
she	PP	she
puts	VBZ	put
the	DT	the
insects	NNS	insect
on	IN	on
the	DT	the
menu	NN	menu
in	IN	in
her	PP$	her
restaurant	NN	restaurant
in	IN	in
her	PP$	her
ministry	NN	ministry
.	SENT	.
And	CC	and
when	WRB	when
she	PP	she
got	VBD	get
all	PDT	all
the	DT	the
Ministers	NPS	Ministers
of	IN	of
Agriculture	NP	Agriculture
of	IN	of
the	DT	the
E	NN	E
.	SENT	.
U	NP	U
.	SENT	.
over	IN	over
to	TO	to
the	DT	the
Hague	NP	Hague
recently	RB	recently
,	,	,
she	PP	she
went	VBD	go
to	TO	to
a	DT	a
high-class	JJ	high-class
restaurant	NN	restaurant
,	,	,
and	CC	and
they	PP	they
ate	VBD	eat
insects	NNS	insect
all	RB	all
together	RB	together
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
something	NN	something
that	WDT	that
is	VBZ	be
a	DT	a
hobby	NN	hobby
of	IN	of
mine	NN	mine
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
really	RB	really
taken	VBN	take
off	RP	off
the	DT	the
ground	NN	ground
.	SENT	.
So	RB	so
why	WRB	why
not	RB	not
eat	VB	eat
insects	NNS	insect
?	SENT	?
You	PP	you
should	MD	should
try	VB	try
it	PP	it
yourself	PP	yourself
.	SENT	.
A	DT	a
couple	NN	couple
of	IN	of
years	NNS	year
ago	RB	ago
,	,	,
we	PP	we
had	VBD	have
1	CD	@card@
,	,	,
750	CD	@card@
people	NNS	people
all	RB	all
together	RB	together
in	IN	in
a	DT	a
square	NN	square
in	IN	in
Wageningen	NP	<unknown>
town	NN	town
,	,	,
and	CC	and
they	PP	they
ate	VBD	eat
insects	NNS	insect
at	IN	at
the	DT	the
same	JJ	same
moment	NN	moment
,	,	,
and	CC	and
this	DT	this
was	VBD	be
still	RB	still
big	JJ	big
,	,	,
big	JJ	big
news	NN	news
.	SENT	.
I	PP	I
think	VBP	think
soon	RB	soon
it	PP	it
will	MD	will
not	RB	not
be	VB	be
big	JJ	big
news	NN	news
anymore	RB	anymore
when	WRB	when
we	PP	we
all	RB	all
eat	VBP	eat
insects	NNS	insect
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NN	S
just	RB	just
a	DT	a
normal	JJ	normal
way	NN	way
of	IN	of
doing	VBG	do
.	SENT	.
So	RB	so
you	PP	you
can	MD	can
try	VB	try
it	PP	it
yourself	PP	yourself
today	RB	today
,	,	,
and	CC	and
I	PP	I
would	MD	would
say	VB	say
,	,	,
enjoy	VB	enjoy
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
to	TO	to
Bruno	NP	Bruno
some	DT	some
first	JJ	first
tries	NNS	try
,	,	,
and	CC	and
he	PP	he
can	MD	can
have	VB	have
the	DT	the
first	JJ	first
bite	NN	bite
.	SENT	.
Bruno	NP	Bruno
Giussani	NP	<unknown>
:	:	:
Look	VBP	look
at	IN	at
them	PP	them
first	JJ	first
.	SENT	.
Look	VB	look
at	IN	at
them	PP	them
first	JJ	first
.	SENT	.
Marcel	NP	Marcel
Dicke	NP	Dicke
:	:	:
It	PP	it
'	POS	'
s	NNS	<unknown>
all	DT	all
protein	NN	protein
.	SENT	.
BG	NN	BG
:	:	:
That	WDT	that
'	POS	'
s	NN	S
exactly	RB	exactly
the	DT	the
same	NN	same
[	SYM	[
one	CD	one
]	SYM	]
you	PP	you
saw	VBD	see
in	IN	in
the	DT	the
video	NN	video
actually	RB	actually
.	SENT	.
And	CC	and
it	PP	it
looks	VBZ	look
delicious	JJ	delicious
.	SENT	.
They	PP	they
just	RB	just
make	VBP	make
it	PP	it
[	SYM	[
with	IN	with
]	SYM	]
nuts	NNS	nut
or	CC	or
something	NN	something
.	SENT	.
MD	NP	Md
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
