Lindsay	NP	Lindsay
practice	NN	practice
,	,	,
too	RB	too
often	RB	often
,	,	,
without	IN	without
the	DT	the
use	NN	use
of	IN	of
a	DT	a
virtual	JJ	virtual
hybrid	JJ	hybrid
delivery	NN	delivery
of	IN	of
healthcare	NN	<unknown>
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
the	DT	the
same	JJ	same
as	IN	as
the	DT	the
airline	NN	airline
industry	NN	industry
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
we	PP	we
feel	VBP	feel
,	,	,
because	IN	because
we	PP	we
'	POS	'
re	NN	re
in	IN	in
healthcare	NN	<unknown>
,	,	,
we	PP	we
have	VBP	have
this	DT	this
unique	JJ	unique
opportunity	NN	opportunity
.	SENT	.
If	IN	if
somebody	NN	somebody
is	VBZ	be
pre-diabetic	JJ	pre-diabetic
,	,	,
for	IN	for
example	NN	example
,	,	,
and	CC	and
you	PP	you
coach	VBP	coach
them	PP	them
and	CC	and
they	PP	they
change	VBP	change
their	PP$	their
lifestyle	NN	lifestyle
and	CC	and
don	NN	don
'	POS	'
t	NN	t
become	VB	become
a	DT	a
diabetic	NN	diabetic
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
a	DT	a
difference	NN	difference
of	IN	of
them	PP	them
creating	VBG	create
16	CD	@card@
tons	NNS	ton
of	IN	of
carbon	NN	carbon
as	IN	as
a	DT	a
normal	JJ	normal
adult	NN	adult
,	,	,
healthy	JJ	healthy
,	,	,
and	CC	and
48	CD	@card@
tons	NNS	ton
of	IN	of
carbon	NN	carbon
in	IN	in
their	PP$	their
adult	JJ	adult
life	NN	life
if	IN	if
they	PP	they
become	VBP	become
diabetic	JJ	diabetic
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
a	DT	a
3X	NN	3X
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
really	RB	really
meaningful	JJ	meaningful
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
don	NN	don
'	POS	'
t	NN	t
step	NN	step
in	IN	in
and	CC	and
help	VB	help
,	,	,
we	PP	we
just	RB	just
simply	RB	simply
never	RB	never
get	VB	get
there	RB	there
and	CC	and
we	PP	we
'	POS	'
re	NN	re
doing	VBG	do
a	DT	a
lot	NN	lot
of	IN	of
work	NN	work
,	,	,
I	PP	I
'	POS	'
m	NN	m
doing	VBG	do
a	DT	a
lot	NN	lot
of	IN	of
work	NN	work
with	IN	with
King	NP	King
Charles	NP	Charles
and	CC	and
the	DT	the
Sustainable	JJ	sustainable
Markets	NP	Markets
Initiative	NP	Initiative
to	TO	to
get	VB	get
people	NNS	people
to	TO	to
decarbonize	VB	decarbonize
the	DT	the
delivery	NN	delivery
of	IN	of
healthcare	NN	<unknown>
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	VBG	<unknown>
such	PDT	such
a	DT	a
massive	JJ	massive
opportunity	NN	opportunity
.	SENT	.
LL	NP	LL
:	:	:
And	CC	and
presumably	RB	presumably
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
collaborate	VB	collaborate
in	IN	in
very	RB	very
different	JJ	different
ways	NNS	way
than	IN	than
in	IN	in
the	DT	the
past	NN	past
to	TO	to
do	VB	do
,	,	,
you	PP	you
know	VBP	know
,	,	,
you	PP	you
'	POS	'
re	NN	re
talking	VBG	talk
about	IN	about
supply	NN	supply
chains	NNS	chain
to	TO	to
deal	VB	deal
with	IN	with
something	NN	something
like	IN	like
plastic	NN	plastic
.	SENT	.
Are	VBP	be
you	PP	you
seeing	VBG	see
different	JJ	different
kinds	NNS	kind
of	IN	of
skills	NNS	skill
from	IN	from
people	NNS	people
in	IN	in
order	NN	order
to	TO	to
make	VB	make
those	DT	those
collaborations	NNS	collaboration
?	SENT	?
PH	NN	PH
:	:	:
Well	RB	well
,	,	,
I	PP	I
think	VBP	think
these	DT	these
functions	NNS	function
and	CC	and
the	DT	the
sustainability	NN	sustainability
groups	NNS	group
,	,	,
as	IN	as
I	PP	I
said	VBD	say
,	,	,
have	VBP	have
come	VBN	come
from	IN	from
a	DT	a
poster	NN	poster
by	IN	by
the	DT	the
elevator	NN	elevator
to	TO	to
being	VBG	be
very	RB	very
actively	RB	actively
involved	VBN	involve
in	IN	in
a	DT	a
lot	NN	lot
of	IN	of
work	NN	work
to	TO	to
do	VB	do
these	DT	these
things	NNS	thing
properly	RB	properly
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
you	PP	you
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
about	IN	about
a	DT	a
competitive	JJ	competitive
advantage	NN	advantage
,	,	,
in	IN	in
Sanofi	NP	Sanofi
being	VBG	be
better	JJR	good
at	IN	at
wastewater	NN	wastewater
management	NN	management
or	CC	or
renewable	JJ	renewable
energy	NN	energy
than	IN	than
Pfizer	NP	Pfizer
or	CC	or
AstraZeneca	NP	<unknown>
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
not	RB	not
a	DT	a
competition	NN	competition
.	SENT	.
The	DT	the
competition	NN	competition
is	VBZ	be
us	PP	us
versus	FW	versus
,	,	,
you	PP	you
know	VBP	know
,	,	,
destroying	VBG	destroy
the	DT	the
planet	NN	planet
.	SENT	.
So	RB	so
we	PP	we
work	VBP	work
a	DT	a
lot	NN	lot
together	RB	together
to	TO	to
do	VB	do
the	DT	the
right	JJ	right
thing	NN	thing
.	SENT	.
I	PP	I
work	VBP	work
with	IN	with
Novo	NP	Novo
Nordisk	NP	Nordisk
,	,	,
AstraZeneca	NP	<unknown>
,	,	,
GSK	NP	GSK
to	TO	to
try	VB	try
and	CC	and
work	VB	work
out	RP	out
ways	NNS	way
to	TO	to
be	VB	be
kinder	JJR	kind
to	TO	to
the	DT	the
environment	NN	environment
in	IN	in
the	DT	the
delivery	NN	delivery
of	IN	of
health	NN	health
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
the	DT	the
right	JJ	right
thing	NN	thing
to	TO	to
do	VB	do
,	,	,
right	RB	right
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
a	DT	a
shared	JJ	shared
responsibility	NN	responsibility
,	,	,
a	DT	a
collective	JJ	collective
responsibility	NN	responsibility
.	SENT	.
LL	NP	LL
:	:	:
And	CC	and
we	PP	we
'	POS	'
re	NN	re
talking	VBG	talk
here	RB	here
about	IN	about
big	JJ	big
social	JJ	social
challenges	NNS	challenge
beyond	IN	beyond
any	DT	any
one	CD	one
business	NN	business
or	CC	or
industry	NN	industry
or	CC	or
even	RB	even
country	NN	country
,	,	,
with	IN	with
an	DT	an
expectation	NN	expectation
that	IN	that
business	NN	business
needs	VBZ	need
to	TO	to
step	VB	step
forward	RB	forward
.	SENT	.
I	PP	I
think	VBP	think
partly	RB	partly
driven	VBN	drive
by	IN	by
the	DT	the
fact	NN	fact
that	IN	that
policy	NN	policy
doesn	NN	<unknown>
'	POS	'
t	NN	t
always	RB	always
work	VB	work
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
disappointed	VBN	disappoint
with	IN	with
leadership	NN	leadership
and	CC	and
with	IN	with
government	NN	government
.	SENT	.
So	IN	so
a	DT	a
lot	NN	lot
of	IN	of
finger	NN	finger
pointing	VBG	point
as	IN	as
to	TO	to
who	WP	who
'	POS	'
s	JJ	<unknown>
responsible	JJ	responsible
and	CC	and
who	WP	who
can	MD	can
act	VB	act
on	IN	on
these	DT	these
big	JJ	big
shifts	NNS	shift
.	SENT	.
I	PP	I
wonder	VBP	wonder
how	WRB	how
ambitious	JJ	ambitious
and	CC	and
bold	JJ	bold
do	VBP	do
you	PP	you
feel	VBP	feel
CEOs	NNS	CEO
should	MD	should
be	VB	be
about	RB	about
stepping	VBG	step
forward	RB	forward
and	CC	and
helping	VBG	help
society	NN	society
through	IN	through
some	DT	some
of	IN	of
these	DT	these
mega	JJ	mega
transitions	NNS	transition
that	IN	that
we	PP	we
are	VBP	be
faced	VBN	face
with	IN	with
?	SENT	?
PH	NN	PH
:	:	:
You	PP	you
know	VBP	know
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
clear	VBP	clear
that	IN	that
companies	NNS	company
are	VBP	be
being	VBG	be
pulled	VBN	pull
more	JJR	more
into	IN	into
the	DT	the
conversation	NN	conversation
about	IN	about
individual	NN	individual
'	POS	'
s	NN	S
values	NNS	value
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
people	NNS	people
who	WP	who
work	VBP	work
in	IN	in
our	PP$	our
company	NN	company
,	,	,
and	CC	and
all	DT	all
companies	NNS	company
,	,	,
start	VBP	start
to	TO	to
try	VB	try
and	CC	and
identify	VB	identify
themselves	PP	themselves
,	,	,
perhaps	RB	perhaps
rightly	RB	rightly
,	,	,
with	IN	with
the	DT	the
values	NNS	value
of	IN	of
the	DT	the
company	NN	company
.	SENT	.
And	CC	and
they	PP	they
'	POS	'
re	NN	re
starting	VBG	start
to	TO	to
have	VB	have
much	RB	much
higher	JJR	high
expectations	NNS	expectation
about	IN	about
the	DT	the
company	NN	company
they	PP	they
work	VBP	work
for	IN	for
.	SENT	.
And	CC	and
it	PP	it
can	MD	can
be	VB	be
on	IN	on
all	PDT	all
the	DT	the
major	JJ	major
social	JJ	social
issues	NNS	issue
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
there	EX	there
'	''	'
s	RB	<unknown>
been	VBN	be
so	RB	so
many	JJ	many
difficult	JJ	difficult
moments	NNS	moment
and	CC	and
tragic	JJ	tragic
moments	NNS	moment
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
often	RB	often
written	VBN	write
to	TO	to
by	IN	by
people	NNS	people
from	IN	from
all	DT	all
over	IN	over
the	DT	the
world	NN	world
.	SENT	.
"	``	"
You	PP	you
haven	NN	haven
'	POS	'
t	NN	t
declared	VBD	declare
which	WDT	which
side	NN	side
you	PP	you
'	POS	'
re	NN	re
on	IN	on
on	IN	on
this	DT	this
important	JJ	important
subject	NN	subject
.	SENT	.
Why	WRB	why
not	RB	not
?	SENT	?
"	''	"
And	CC	and
people	NNS	people
want	VBP	want
to	TO	to
know	VB	know
that	IN	that
you	PP	you
are	VBP	be
fully	RB	fully
vested	VBN	vest
and	CC	and
the	DT	the
company	NN	company
is	VBZ	be
behind	IN	behind
them	PP	them
.	SENT	.
To	TO	to
be	VB	be
clear	JJ	clear
,	,	,
it	PP	it
'	POS	'
s	NN	S
almost	RB	almost
impossible	JJ	impossible
to	TO	to
get	VB	get
everything	NN	everything
right	NN	right
.	SENT	.
The	DT	the
world	NN	world
is	VBZ	be
almost	RB	almost
,	,	,
you	PP	you
know	VBP	know
,	,	,
perfectly	RB	perfectly
divided	VBN	divide
.	SENT	.
You	PP	you
can	MD	can
pick	VB	pick
an	DT	an
issue	NN	issue
and	CC	and
half	PDT	half
your	PP$	your
employees	NNS	employee
will	MD	will
tell	VB	tell
you	PP	you
"	``	"
We	PP	we
don	VBP	don
'	''	'
t	NN	t
agree	VBP	agree
,	,	,
"	''	"
and	CC	and
the	DT	the
other	JJ	other
half	NN	half
will	MD	will
say	VB	say
,	,	,
"	``	"
Well	RB	well
done	VBN	do
.	SENT	.
"	``	"
And	CC	and
we	PP	we
'	POS	'
re	NN	re
not	RB	not
used	VBN	use
to	TO	to
that	DT	that
as	IN	as
CEOs	NNS	CEO
,	,	,
we	PP	we
'	POS	'
re	NN	re
used	VBD	use
to	TO	to
trying	VBG	try
to	TO	to
find	VB	find
the	DT	the
right	JJ	right
sort	NN	sort
of	IN	of
moment	NN	moment
to	TO	to
get	VB	get
the	DT	the
majority	NN	majority
to	TO	to
say	VB	say
,	,	,
"	''	"
I	NP	I
'	POS	'
m	NN	m
proud	JJ	proud
of	IN	of
my	PP$	my
company	NN	company
.	SENT	.
"	``	"
So	RB	so
you	PP	you
have	VBP	have
to	TO	to
retreat	VB	retreat
a	DT	a
little	JJ	little
bit	NN	bit
and	CC	and
say	VBP	say
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
spend	VBP	spend
my	PP$	my
energy	NN	energy
on	IN	on
making	VBG	make
sure	RB	sure
whatever	WDT	whatever
the	DT	the
issue	NN	issue
,	,	,
that	IN	that
the	DT	the
people	NNS	people
,	,	,
90	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
in	IN	in
our	PP$	our
case	NN	case
,	,	,
get	VB	get
the	DT	the
very	RB	very
best	JJS	good
chance	NN	chance
to	TO	to
live	VB	live
their	PP$	their
best	JJS	good
version	NN	version
of	IN	of
themselves	PP	themselves
.	SENT	.
Could	MD	could
be	VB	be
inclusion	NN	inclusion
,	,	,
it	PP	it
could	MD	could
be	VB	be
race	NN	race
,	,	,
it	PP	it
could	MD	could
be	VB	be
many	JJ	many
different	JJ	different
things	NNS	thing
.	SENT	.
It	PP	it
could	MD	could
be	VB	be
LGBTQ-plus	NP	<unknown>
.	SENT	.
But	CC	but
whatever	WDT	whatever
those	DT	those
issues	NNS	issue
that	WDT	that
are	VBP	be
being	VBG	be
debated	VBN	debate
strongly	RB	strongly
or	CC	or
less	JJR	less
strongly	RB	strongly
in	IN	in
different	JJ	different
parts	NNS	part
of	IN	of
the	DT	the
world	NN	world
,	,	,
it	PP	it
matters	VBZ	matter
to	TO	to
us	PP	us
that	IN	that
our	PP$	our
people	NNS	people
feel	VBP	feel
they	PP	they
can	MD	can
be	VB	be
the	DT	the
best	JJS	good
version	NN	version
of	IN	of
themselves	PP	themselves
.	SENT	.
So	RB	so
when	WRB	when
people	NNS	people
ask	VBP	ask
,	,	,
"	''	"
What	WP	what
do	VBP	do
you	PP	you
think	VBP	think
about	IN	about
this	DT	this
?	SENT	?
"	''	"
"	``	"
What	WP	what
do	VBP	do
you	PP	you
think	VBP	think
about	RB	about
that	RB	that
?	SENT	?
"	``	"
I	PP	I
can	MD	can
have	VB	have
a	DT	a
personal	JJ	personal
opinion	NN	opinion
,	,	,
but	CC	but
our	PP$	our
organization	NN	organization
,	,	,
if	IN	if
you	PP	you
'	POS	'
re	NN	re
looking	VBG	look
to	TO	to
match	VB	match
your	PP$	your
values	NNS	value
with	IN	with
ours	PP	ours
,	,	,
is	VBZ	be
really	RB	really
about	RB	about
,	,	,
we	PP	we
'	POS	'
re	NN	re
in	IN	in
healthcare	NN	<unknown>
,	,	,
we	PP	we
want	VBP	want
you	PP	you
to	TO	to
have	VB	have
the	DT	the
best	JJS	good
life	NN	life
possible	JJ	possible
.	SENT	.
How	WRB	how
can	MD	can
the	DT	the
company	NN	company
facilitate	VBP	facilitate
that	IN	that
in	IN	in
this	DT	this
sort	NN	sort
of	IN	of
,	,	,
maelstrom	NN	maelstrom
of	IN	of
subjects	NNS	subject
?	SENT	?
And	CC	and
we	PP	we
focus	VBP	focus
then	RB	then
--	:	--
I	PP	I
'	POS	'
m	NN	m
not	RB	not
saying	VBG	say
we	PP	we
'	POS	'
re	NN	re
perfect	JJ	perfect
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
any	DT	any
company	NN	company
really	RB	really
is	VBZ	be
perfect	JJ	perfect
on	IN	on
this	DT	this
,	,	,
but	CC	but
the	DT	the
expectation	NN	expectation
of	IN	of
our	PP$	our
own	JJ	own
employees	NNS	employee
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
set	VB	set
a	DT	a
standard	NN	standard
on	IN	on
an	DT	an
issue	NN	issue
and	CC	and
to	TO	to
see	VB	see
it	PP	it
through	RB	through
is	VBZ	be
real	JJ	real
.	SENT	.
And	CC	and
leading	VBG	lead
in	IN	in
these	DT	these
times	NNS	time
is	VBZ	be
more	RBR	more
complicated	JJ	complicated
,	,	,
I	PP	I
think	VBP	think
,	,	,
than	IN	than
perhaps	RB	perhaps
it	PP	it
has	VBZ	have
been	VBN	be
previously	RB	previously
.	SENT	.
LL	NP	LL
:	:	:
So	IN	so
you	PP	you
'	POS	'
re	NN	re
describing	VBG	describe
a	DT	a
world	NN	world
where	WRB	where
the	DT	the
work	NN	work
of	IN	of
the	DT	the
CEO	NN	CEO
is	VBZ	be
changing	VBG	change
very	RB	very
fast	RB	fast
.	SENT	.
Could	MD	could
you	PP	you
just	RB	just
sum	VB	sum
up	RP	up
for	IN	for
us	PP	us
the	DT	the
role	NN	role
of	IN	of
a	DT	a
leader	NN	leader
in	IN	in
this	DT	this
new	JJ	new
era	NN	era
?	SENT	?
PH	NN	PH
:	:	:
Well	RB	well
,	,	,
I	PP	I
took	VBD	take
this	DT	this
role	NN	role
at	IN	at
the	DT	the
end	NN	end
of	IN	of
2019	CD	@card@
and	CC	and
thought	VBD	think
,	,	,
I	PP	I
will	MD	will
roll	VB	roll
through	IN	through
my	PP$	my
100-day	JJ	<unknown>
plan	NN	plan
and	CC	and
I	PP	I
will	MD	will
amble	VB	amble
through	IN	through
getting	VBG	get
around	RP	around
town	NN	town
halls	NNS	hall
across	IN	across
the	DT	the
world	NN	world
and	CC	and
shake	VB	shake
a	DT	a
lot	NN	lot
of	IN	of
hands	NNS	hand
and	CC	and
do	VBP	do
a	DT	a
listening	VBG	listen
tour	NN	tour
.	SENT	.
And	CC	and
a	DT	a
pandemic	NN	pandemic
dropped	VBD	drop
on	IN	on
us	PP	us
within	IN	within
a	DT	a
few	JJ	few
weeks	NNS	week
after	IN	after
that	WDT	that
and	CC	and
worked	VBD	work
out	RP	out
of	IN	of
the	DT	the
kitchen	NN	kitchen
not	RB	not
far	RB	far
from	IN	from
here	RB	here
.	SENT	.
And	CC	and
the	DT	the
war	NN	war
,	,	,
Russia-Ukraine	NP	Russia-Ukraine
,	,	,
current	JJ	current
war	NN	war
,	,	,
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
,	,	,
and	CC	and
mentioned	VBD	mention
the	DT	the
pandemic	NN	pandemic
.	SENT	.
China-US	NP	<unknown>
,	,	,
the	DT	the
social	JJ	social
issues	NNS	issue
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
what	WP	what
we	PP	we
realize	VBP	realize
is	VBZ	be
leading	VBG	lead
is	VBZ	be
I	PP	I
think	VBP	think
somebody	NN	somebody
described	VBD	describe
it	PP	it
as	IN	as
the	DT	the
perma	NN	Perma
crisis	NN	crisis
,	,	,
you	PP	you
know	VBP	know
,	,	,
a	DT	a
sort	NN	sort
of	IN	of
,	,	,
you	PP	you
know	VBP	know
,	,	,
a	DT	a
cadence	NN	cadence
of	IN	of
issues	NNS	issue
that	WDT	that
just	RB	just
is	VBZ	be
relentless	JJ	relentless
.	SENT	.
And	CC	and
you	PP	you
really	RB	really
have	VBP	have
to	TO	to
have	VB	have
some	DT	some
resiliency	NN	resiliency
leading	VBG	lead
now	RB	now
,	,	,
I	PP	I
think	VBP	think
,	,	,
and	CC	and
you	PP	you
have	VBP	have
to	TO	to
recognize	VB	recognize
that	IN	that
there	EX	there
are	VBP	be
a	DT	a
series	NN	series
of	IN	of
sprints	NNS	sprint
in	IN	in
the	DT	the
role	NN	role
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
the	DT	the
fundamentals	NNS	fundamental
of	IN	of
the	DT	the
business	NN	business
that	WDT	that
must	MD	must
be	VB	be
continued	VBN	continue
.	SENT	.
Then	RB	then
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
metronome	NN	metronome
for	IN	for
us	PP	us
.	SENT	.
We	PP	we
feel	VBP	feel
a	DT	a
responsibility	NN	responsibility
to	TO	to
bring	VB	bring
medicines	NNS	medicine
and	CC	and
transformational	JJ	transformational
medicines	NNS	medicine
forward	RB	forward
is	VBZ	be
non-negotiable	JJ	non-negotiable
.	SENT	.
At	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
parts	NNS	part
of	IN	of
your	PP$	your
organization	NN	organization
is	VBZ	be
in	IN	in
a	DT	a
very	RB	very
difficult	JJ	difficult
situation	NN	situation
somewhere	RB	somewhere
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
to	TO	to
make	VB	make
sure	JJ	sure
we	PP	we
have	VBP	have
the	DT	the
right	JJ	right
energy	NN	energy
,	,	,
experts	NNS	expert
,	,	,
support	NN	support
,	,	,
crisis	NN	crisis
teams	NNS	team
,	,	,
often	RB	often
,	,	,
more	RBR	more
recently	RB	recently
to	TO	to
protect	VB	protect
our	PP$	our
people	NNS	people
and	CC	and
to	TO	to
continue	VB	continue
the	DT	the
work	NN	work
we	PP	we
do	VBP	do
.	SENT	.
We	PP	we
ship	VBP	ship
drugs	NNS	drug
all	RB	all
over	IN	over
the	DT	the
world	NN	world
,	,	,
irrespective	RB	irrespective
of	IN	of
the	DT	the
stance	NN	stance
of	IN	of
politics	NNS	politics
or	CC	or
anything	NN	anything
else	RB	else
.	SENT	.
People	NNS	people
are	VBP	be
people	NNS	people
and	CC	and
if	IN	if
they	PP	they
'	POS	'
re	NN	re
sick	VB	sick
we	PP	we
'	POS	'
ll	NN	ll
help	NN	help
.	SENT	.
But	CC	but
it	PP	it
really	RB	really
has	VBZ	have
got	VBN	get
very	RB	very
complicated	JJ	complicated
.	SENT	.
So	IN	so
resiliency	NN	resiliency
,	,	,
agility	NN	agility
and	CC	and
being	VBG	be
open-minded	JJ	open-minded
,	,	,
recognizing	VBG	recognize
you	PP	you
'	POS	'
re	NN	re
not	RB	not
the	DT	the
expert	JJ	expert
many	JJ	many
times	NNS	time
,	,	,
trusting	VBG	trust
the	DT	the
advice	NN	advice
you	PP	you
get	VBP	get
from	IN	from
your	PP$	your
own	JJ	own
people	NNS	people
,	,	,
particularly	RB	particularly
those	DT	those
on	IN	on
the	DT	the
ground	NN	ground
,	,	,
protecting	VBG	protect
your	PP$	your
people	NNS	people
where	WRB	where
it	PP	it
'	POS	'
s	NNS	<unknown>
necessary	JJ	necessary
,	,	,
moving	VBG	move
your	PP$	your
people	NNS	people
where	WRB	where
it	PP	it
'	POS	'
s	NNS	<unknown>
necessary	JJ	necessary
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
sort	NN	sort
of	IN	of
new	JJ	new
expectation	NN	expectation
,	,	,
really	RB	really
.	SENT	.
LL	NP	LL
:	:	:
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
think	VBP	think
we	PP	we
'	''	'
re	IN	re
all	DT	all
experiencing	VBG	experience
this	DT	this
sense	NN	sense
of	IN	of
perma	NN	Perma
crisis	NN	crisis
.	SENT	.
Just	RB	just
to	TO	to
finish	VB	finish
,	,	,
it	PP	it
would	MD	would
be	VB	be
great	JJ	great
to	TO	to
just	RB	just
get	VB	get
a	DT	a
sense	NN	sense
of	IN	of
what	WP	what
are	VBP	be
you	PP	you
really	RB	really
excited	VBD	excite
about	RB	about
right	RB	right
now	RB	now
?	SENT	?
PH	NN	PH
:	:	:
Well	RB	well
,	,	,
I	PP	I
'	POS	'
m	NN	m
incredibly	RB	incredibly
excited	VBN	excite
,	,	,
I	PP	I
touched	VBD	touch
on	IN	on
it	PP	it
at	IN	at
the	DT	the
beginning	NN	beginning
about	IN	about
the	DT	the
use	NN	use
of	IN	of
artificial	JJ	artificial
intelligence	NN	intelligence
,	,	,
particularly	RB	particularly
large	JJ	large
language	NN	language
models	NNS	model
.	SENT	.
Because	IN	because
I	PP	I
think	VBP	think
it	PP	it
changes	VBZ	change
everything	NN	everything
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
got	VBD	get
me	PP	me
questioning	VBG	question
whether	IN	whether
I	PP	I
can	MD	can
go	VB	go
back	RB	back
and	CC	and
look	VB	look
at	IN	at
medicines	NNS	medicine
that	IN	that
didn	NP	<unknown>
'	POS	'
t	NN	t
quite	RB	quite
make	VB	make
it	PP	it
,	,	,
and	CC	and
wonder	VBP	wonder
if	IN	if
we	PP	we
just	RB	just
didn	NN	<unknown>
'	POS	'
t	NN	t
know	VBP	know
enough	RB	enough
with	IN	with
the	DT	the
data	NN	data
that	IN	that
we	PP	we
had	VBD	have
to	TO	to
look	VB	look
deep	RB	deep
enough	RB	enough
.	SENT	.
It	PP	it
can	MD	can
be	VB	be
,	,	,
you	PP	you
know	VBP	know
,	,	,
recently	RB	recently
we	PP	we
just	RB	just
did	VBD	do
our	PP$	our
--	:	--
this	DT	this
is	VBZ	be
a	DT	a
small	JJ	small
example	NN	example
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	JJ	<unknown>
just	JJ	just
fun	NN	fun
,	,	,
our	PP$	our
engagement	NN	engagement
survey	NN	survey
,	,	,
we	PP	we
had	VBD	have
a	DT	a
409	CD	@card@
,	,	,
000	CD	@card@
comments	NNS	comment
,	,	,
9	CD	@card@
million	CD	million
words	NNS	word
.	SENT	.
And	CC	and
normally	RB	normally
,	,	,
somebody	NN	somebody
would	MD	would
make	VB	make
a	DT	a
nice	JJ	nice
slide	NN	slide
deck	NN	deck
to	TO	to
tell	VB	tell
me	PP	me
,	,	,
"	''	"
The	DT	the
organization	NN	organization
poll	NN	poll
is	VBZ	be
very	RB	very
engaged	VBN	engage
.	SENT	.
Never	RB	never
been	VBN	be
more	RBR	more
engaged	VBN	engage
.	SENT	.
"	''	"
"	``	"
How	WRB	how
much	RB	much
more	RBR	more
engaged	VBN	engage
?	SENT	?
"	''	"
"	``	"
0	CD	@card@
.	SENT	.
1	LS	1
.	SENT	.
"	''	"
"	``	"
OK	UH	OK
,	,	,
good	JJ	good
,	,	,
thank	VB	thank
you	PP	you
.	SENT	.
"	''	"
Definitely	RB	definitely
improvement	NN	improvement
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
asked	VBD	ask
them	PP	them
to	TO	to
run	VB	run
the	DT	the
409	CD	@card@
,	,	,
000	CD	@card@
comments	NNS	comment
through	IN	through
a	DT	a
large	JJ	large
language	NN	language
model	NN	model
.	SENT	.
Forty	NN	forty
minutes	NNS	minute
later	RBR	later
,	,	,
it	PP	it
told	VBD	tell
me	PP	me
the	DT	the
three	CD	three
things	NNS	thing
that	WDT	that
people	NNS	people
love	VBP	love
about	IN	about
the	DT	the
company	NN	company
and	CC	and
three	CD	three
things	NNS	thing
that	WDT	that
people	NNS	people
hate	VBP	hate
about	IN	about
it	PP	it
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
need	VBP	need
a	DT	a
lot	NN	lot
of	IN	of
external	JJ	external
support	NN	support
,	,	,
didn	NP	<unknown>
'	POS	'
t	NN	t
need	NN	need
teams	NNS	team
of	IN	of
people	NNS	people
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
clear	JJ	clear
,	,	,
it	PP	it
was	VBD	be
no	DT	no
hallucination	NN	hallucination
,	,	,
because	IN	because
it	PP	it
was	VBD	be
there	RB	there
right	RB	right
in	IN	in
front	NN	front
of	IN	of
me	PP	me
.	SENT	.
And	CC	and
it	PP	it
made	VBD	make
sense	NN	sense
.	SENT	.
And	CC	and
I	PP	I
shared	VBD	share
them	PP	them
with	IN	with
people	NNS	people
and	CC	and
they	PP	they
'	POS	'
re	NN	re
like	IN	like
,	,	,
yeah	RB	yeah
,	,	,
that	IN	that
'	POS	'
s	NN	S
us	PP	us
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
difference	NN	difference
between	IN	between
meaningful	JJ	meaningful
work	NN	work
using	VBG	use
--	:	--
let	VB	let
'	''	'
s	NNS	<unknown>
talk	VBP	talk
about	RB	about
what	WP	what
it	PP	it
tells	VBZ	tell
us	PP	us
about	RB	about
whether	IN	whether
our	PP$	our
people	NNS	people
really	RB	really
like	VBP	like
it	PP	it
here	RB	here
and	CC	and
bring	VB	bring
their	PP$	their
best	JJS	good
or	CC	or
not	RB	not
.	SENT	.
I	PP	I
think	VBP	think
AI	VBZ	ai
for	IN	for
me	PP	me
,	,	,
