Once	RB	once
approved	VBD	approve
,	,	,
you	PP	you
need	VBP	need
to	TO	to
pass	VB	pass
certain	JJ	certain
federal	JJ	federal
standards	NNS	standard
,	,	,
all	DT	all
of	IN	of
which	WDT	which
involve	VBP	involve
slamming	VBG	slam
your	PP$	your
car	NN	car
into	IN	into
a	DT	a
direct	JJ	direct
frontal	JJ	frontal
crash	NN	crash
.	SENT	.
But	CC	but
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
other	JJ	other
types	NNS	type
of	IN	of
crashes	NNS	crash
,	,	,
like	IN	like
rear-impact	NN	rear-impact
crashes	NNS	crash
,	,	,
indeed	RB	indeed
,	,	,
the	DT	the
car	NN	car
seats	NNS	seat
don	NN	don
'	POS	'
t	NN	t
perform	VB	perform
as	RB	as
well	RB	well
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
'	POS	'
s	NN	S
because	IN	because
they	PP	they
'	POS	'
ve	RB	<unknown>
been	VBN	be
optimized	VBN	optimize
to	TO	to
pass	VB	pass
,	,	,
as	IN	as
we	PP	we
always	RB	always
expect	VBP	expect
people	NNS	people
to	TO	to
do	VB	do
,	,	,
to	TO	to
optimize	VB	optimize
relative	JJ	relative
to	TO	to
bright-line	NN	bright-line
rules	NNS	rule
about	RB	about
how	WRB	how
affected	JJ	affected
the	DT	the
car	NN	car
will	MD	will
be	VB	be
.	SENT	.
And	CC	and
the	DT	the
other	JJ	other
thing	NN	thing
you	PP	you
might	MD	might
argue	VB	argue
is	VBZ	be
,	,	,
"	``	"
Well	UH	well
,	,	,
car	NN	car
seats	NNS	seat
have	VBP	have
got	VBN	get
a	DT	a
lot	NN	lot
better	RBR	well
over	IN	over
time	NN	time
.	SENT	.
And	CC	and
so	RB	so
if	IN	if
we	PP	we
look	VBP	look
at	IN	at
recent	JJ	recent
crashes	NNS	crash
—	:	-
the	DT	the
whole	JJ	whole
data	NN	data
set	NN	set
is	VBZ	be
almost	RB	almost
30	CD	@card@
years	NNS	year
'	POS	'
worth	NN	worth
of	IN	of
data	NNS	datum
—	:	-
you	PP	you
won	VBD	win
'	''	'
t	NN	t
see	VB	see
it	PP	it
in	IN	in
the	DT	the
recent	JJ	recent
crashes	NNS	crash
.	SENT	.
The	DT	the
new	JJ	new
car	NN	car
seats	NNS	seat
are	VBP	be
far	RB	far
,	,	,
far	RB	far
better	JJR	good
.	SENT	.
"	''	"
But	CC	but
indeed	RB	indeed
,	,	,
in	IN	in
recent	JJ	recent
crashes	NNS	crash
the	DT	the
lap-and-shoulder	NN	lap-and-shoulder
seatbelts	NNS	seatbelt
,	,	,
actually	RB	actually
,	,	,
are	VBP	be
doing	VBG	do
even	RB	even
better	JJR	good
than	IN	than
the	DT	the
car	NN	car
seats	NNS	seat
.	SENT	.
They	PP	they
say	VBP	say
,	,	,
"	``	"
Well	UH	well
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
impossible	JJ	impossible
,	,	,
that	WDT	that
can	MD	can
'	''	'
t	NN	t
be	VB	be
.	SENT	.
"	''	"
And	CC	and
the	DT	the
line	NN	line
of	IN	of
argument	NN	argument
,	,	,
if	IN	if
you	PP	you
ask	VBP	ask
parents	NNS	parent
,	,	,
is	VBZ	be
,	,	,
"	''	"
But	CC	but
car	NN	car
seats	NNS	seat
are	VBP	be
so	RB	so
expensive	JJ	expensive
and	CC	and
complicated	JJ	complicated
,	,	,
and	CC	and
they	PP	they
have	VBP	have
this	DT	this
big	JJ	big
tangle	NN	tangle
of	IN	of
latches	NNS	latch
,	,	,
how	WRB	how
could	MD	could
they	PP	they
possibly	RB	possibly
not	RB	not
work	VB	work
better	RBR	well
than	IN	than
seatbelts	NNS	seatbelt
because	IN	because
they	PP	they
are	VBP	be
so	RB	so
expensive	JJ	expensive
and	CC	and
complicated	JJ	complicated
?	SENT	?
"	``	"
It	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
an	DT	an
interesting	JJ	interesting
logic	NN	logic
,	,	,
I	PP	I
think	VBP	think
,	,	,
that	IN	that
people	NNS	people
use	VBP	use
.	SENT	.
And	CC	and
the	DT	the
other	JJ	other
logic	NN	logic
,	,	,
they	PP	they
say	VBP	say
,	,	,
"	``	"
Well	UH	well
,	,	,
the	DT	the
government	NN	government
wouldn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
told	VBN	tell
us	PP	us
[	SYM	[
to	TO	to
]	SYM	]
use	VB	use
them	PP	them
if	IN	if
they	PP	they
weren	NNS	<unknown>
'	POS	'
t	NN	t
much	RB	much
better	RBR	well
.	SENT	.
"	''	"
But	CC	but
what	WP	what
'	POS	'
s	NN	S
interesting	JJ	interesting
is	VBZ	be
the	DT	the
government	NN	government
telling	VBG	tell
us	PP	us
to	TO	to
use	VB	use
them	PP	them
is	VBZ	be
not	RB	not
actually	RB	actually
based	VBN	base
on	IN	on
very	RB	very
much	JJ	much
.	SENT	.
It	PP	it
really	RB	really
is	VBZ	be
based	VBN	base
on	IN	on
some	DT	some
impassioned	JJ	impassioned
pleas	NNS	plea
of	IN	of
parents	NNS	parent
whose	WP$	whose
children	NNS	child
died	VBD	die
after	IN	after
they	PP	they
turned	VBD	turn
two	CD	two
,	,	,
which	WDT	which
has	VBZ	have
led	VBN	lead
to	TO	to
the	DT	the
passage	NN	passage
of	IN	of
all	PDT	all
these	DT	these
laws	NNS	law
—	:	-
not	RB	not
very	RB	very
much	JJ	much
on	IN	on
data	NNS	datum
.	SENT	.
So	RB	so
you	PP	you
can	MD	can
only	RB	only
get	VB	get
so	RB	so
far	RB	far
,	,	,
I	PP	I
think	VBP	think
,	,	,
in	IN	in
telling	VBG	tell
your	PP$	your
story	NN	story
by	IN	by
using	VBG	use
these	DT	these
abstract	JJ	abstract
statistics	NNS	statistic
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
had	VBD	have
some	DT	some
friends	NNS	friend
over	RP	over
to	TO	to
dinner	NN	dinner
,	,	,
and	CC	and
I	PP	I
was	VBD	be
asking	VBG	ask
—	:	-
we	PP	we
had	VBD	have
a	DT	a
cookout	NN	cookout
—	:	-
I	PP	I
was	VBD	be
asking	VBG	ask
them	PP	them
what	WP	what
advice	NN	advice
they	PP	they
might	MD	might
have	VB	have
for	IN	for
me	PP	me
about	IN	about
proving	VBG	prove
my	PP$	my
point	NN	point
.	SENT	.
They	PP	they
said	VBD	say
,	,	,
"	``	"
Why	WRB	why
don	NN	don
'	POS	'
t	NN	t
you	PP	you
run	VBP	run
some	DT	some
crash	NN	crash
tests	NNS	test
?	SENT	?
"	``	"
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	''	"
That	DT	that
'	''	'
s	VBG	<unknown>
a	DT	a
great	JJ	great
idea	NN	idea
.	SENT	.
"	``	"
So	IN	so
we	PP	we
actually	RB	actually
tried	VBD	try
to	TO	to
commission	VB	commission
some	DT	some
crash	NN	crash
tests	NNS	test
.	SENT	.
And	CC	and
it	PP	it
turns	VBZ	turn
out	RP	out
that	IN	that
as	IN	as
we	PP	we
called	VBD	call
around	RP	around
to	TO	to
the	DT	the
independent	JJ	independent
crash	NN	crash
test	NN	test
companies	NNS	company
around	IN	around
the	DT	the
country	NN	country
,	,	,
none	NN	none
of	IN	of
them	PP	them
wanted	VBD	want
to	TO	to
do	VB	do
our	PP$	our
crash	NN	crash
test	NN	test
because	IN	because
they	PP	they
said	VBD	say
,	,	,
some	RB	some
explicitly	RB	explicitly
,	,	,
some	DT	some
not	RB	not
so	RB	so
explicitly	RB	explicitly
,	,	,
"	''	"
All	DT	all
of	IN	of
our	PP$	our
business	NN	business
comes	VBZ	come
from	IN	from
car	NN	car
seat	NN	seat
manufacturers	NNS	manufacturer
.	SENT	.
We	PP	we
can	MD	can
'	''	'
t	NN	t
risk	NN	risk
alienating	VBG	alienate
them	PP	them
by	IN	by
testing	NN	testing
seatbelts	NNS	seatbelt
relative	JJ	relative
to	TO	to
car	NN	car
seats	NNS	seat
.	SENT	.
"	''	"
Now	RB	now
,	,	,
eventually	RB	eventually
,	,	,
one	PP	one
did	VBD	do
.	SENT	.
Under	IN	under
the	DT	the
conditions	NNS	condition
of	IN	of
anonymity	NN	anonymity
,	,	,
they	PP	they
said	VBD	say
they	PP	they
would	MD	would
be	VB	be
happy	JJ	happy
to	TO	to
do	VB	do
this	DT	this
test	NN	test
for	IN	for
us	PP	us
—	:	-
so	IN	so
anonymity	NN	anonymity
,	,	,
and	CC	and
1	CD	@card@
,	,	,
500	CD	@card@
dollars	NNS	dollar
per	IN	per
seat	NN	seat
that	IN	that
we	PP	we
crashed	VBD	crash
.	SENT	.
And	CC	and
so	RB	so
,	,	,
we	PP	we
went	VBD	go
to	TO	to
Buffalo	NP	Buffalo
,	,	,
New	NP	New
York	NP	York
,	,	,
and	CC	and
here	RB	here
is	VBZ	be
the	DT	the
precursor	NN	precursor
to	TO	to
it	PP	it
.	SENT	.
These	DT	these
are	VBP	be
the	DT	the
crash	NN	crash
test	NN	test
dummies	NNS	dummy
,	,	,
waiting	VBG	wait
for	IN	for
their	PP$	their
chance	NN	chance
to	TO	to
take	VB	take
the	DT	the
center	NN	center
stage	NN	stage
.	SENT	.
And	CC	and
then	RB	then
,	,	,
here	RB	here
'	POS	'
s	NN	S
how	WRB	how
the	DT	the
crash	NN	crash
test	NN	test
works	NNS	work
.	SENT	.
Here	RB	here
,	,	,
they	PP	they
don	VBP	don
'	''	'
t	NN	t
actually	RB	actually
crash	VB	crash
the	DT	the
entire	JJ	entire
car	NN	car
,	,	,
you	PP	you
know	VBP	know
—	:	-
it	PP	it
'	POS	'
s	NN	S
not	RB	not
worth	JJ	worth
ruining	VBG	ruin
a	DT	a
whole	JJ	whole
car	NN	car
to	TO	to
do	VB	do
it	PP	it
.	SENT	.
So	RB	so
they	PP	they
just	RB	just
have	VBP	have
these	DT	these
bench	NN	bench
seats	NNS	seat
,	,	,
and	CC	and
they	PP	they
strap	VBP	strap
the	DT	the
car	NN	car
seat	NN	seat
and	CC	and
the	DT	the
seatbelt	NN	seatbelt
onto	IN	onto
it	PP	it
.	SENT	.
So	RB	so
I	PP	I
just	RB	just
wanted	VBD	want
you	PP	you
to	TO	to
look	VB	look
at	IN	at
this	DT	this
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
this	DT	this
gives	VBZ	give
you	PP	you
a	DT	a
good	JJ	good
idea	NN	idea
of	IN	of
why	WRB	why
parents	NNS	parent
think	VBP	think
car	NN	car
seats	NNS	seat
are	VBP	be
so	RB	so
great	JJ	great
.	SENT	.
Look	VB	look
at	IN	at
the	DT	the
kid	NN	kid
in	IN	in
the	DT	the
car	NN	car
seat	NN	seat
.	SENT	.
Does	VBZ	do
he	PP	he
not	RB	not
look	VBP	look
content	JJ	content
,	,	,
ready	JJ	ready
to	TO	to
go	VB	go
,	,	,
like	IN	like
he	PP	he
could	MD	could
survive	VB	survive
anything	NN	anything
?	SENT	?
And	CC	and
then	RB	then
,	,	,
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
kid	NN	kid
in	IN	in
back	RB	back
,	,	,
it	PP	it
looks	VBZ	look
like	IN	like
he	PP	he
'	POS	'
s	NN	S
already	RB	already
choking	VBG	choke
before	IN	before
the	DT	the
crash	NN	crash
even	RB	even
happens	VBZ	happen
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
hard	JJ	hard
to	TO	to
believe	VB	believe
,	,	,
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
this	DT	this
,	,	,
that	IN	that
that	DT	that
kid	NN	kid
in	IN	in
back	RB	back
is	VBZ	be
going	VBG	go
to	TO	to
do	VB	do
very	RB	very
well	RB	well
when	WRB	when
you	PP	you
get	VBP	get
in	IN	in
a	DT	a
crash	NN	crash
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
crash	NN	crash
where	WRB	where
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
slam	VB	slam
this	DT	this
thing	NN	thing
forward	RB	forward
into	IN	into
a	DT	a
wall	NN	wall
at	IN	at
30	CD	@card@
miles	NNS	mile
an	DT	an
hour	NN	hour
,	,	,
and	CC	and
see	VB	see
what	WP	what
happens	VBZ	happen
.	SENT	.
OK	UH	OK
?	SENT	?
So	RB	so
,	,	,
let	VB	let
me	PP	me
show	VB	show
you	PP	you
what	WP	what
happens	VBZ	happen
.	SENT	.
These	DT	these
are	VBP	be
three-year-old	JJ	three-year-old
dummies	NNS	dummy
,	,	,
by	IN	by
the	DT	the
way	NN	way
.	SENT	.
So	RB	so
here	RB	here
—	:	-
this	DT	this
is	VBZ	be
the	DT	the
car	NN	car
seat	NN	seat
.	SENT	.
Now	RB	now
watch	VB	watch
two	CD	two
things	NNS	thing
:	:	:
watch	VB	watch
how	WRB	how
the	DT	the
head	NN	head
goes	VBZ	go
forward	RB	forward
,	,	,
and	CC	and
basically	RB	basically
hits	VBZ	hit
the	DT	the
knees	NNS	knee
—	:	-
and	CC	and
this	DT	this
is	VBZ	be
in	IN	in
the	DT	the
car	NN	car
seat	NN	seat
—	:	-
and	CC	and
watch	VB	watch
how	WRB	how
the	DT	the
car	NN	car
seat	NN	seat
flies	VBZ	fly
around	RP	around
,	,	,
in	IN	in
the	DT	the
rebound	NN	rebound
,	,	,
up	RB	up
in	IN	in
the	DT	the
air	NN	air
.	SENT	.
The	DT	the
car	NN	car
seat	NN	seat
'	POS	'
s	NN	S
moving	VBG	move
all	DT	all
over	IN	over
the	DT	the
place	NN	place
.	SENT	.
Bear	NN	bear
in	IN	in
mind	NN	mind
there	EX	there
are	VBP	be
two	CD	two
things	NNS	thing
about	IN	about
this	DT	this
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
car	NN	car
seat	NN	seat
that	WDT	that
was	VBD	be
installed	VBN	install
by	IN	by
someone	NN	someone
who	WP	who
has	VBZ	have
installed	VBN	install
1	CD	@card@
,	,	,
000	CD	@card@
car	NN	car
seats	NNS	seat
,	,	,
who	WP	who
knew	VBD	know
exactly	RB	exactly
how	WRB	how
to	TO	to
do	VB	do
it	PP	it
.	SENT	.
And	CC	and
also	RB	also
it	PP	it
turned	VBD	turn
out	RP	out
these	DT	these
bench	NN	bench
seats	NNS	seat
are	VBP	be
the	DT	the
very	RB	very
best	JJS	good
way	NN	way
to	TO	to
install	VB	install
car	NN	car
seats	NNS	seat
.	SENT	.
Having	VBG	have
a	DT	a
flat	JJ	flat
back	NN	back
makes	VBZ	make
it	PP	it
much	RB	much
easier	JJR	easy
to	TO	to
install	VB	install
them	PP	them
.	SENT	.
And	CC	and
so	RB	so
this	DT	this
is	VBZ	be
a	DT	a
test	NN	test
that	RB	that
'	POS	'
s	NN	S
very	RB	very
much	RB	much
rigged	VBN	rig
in	IN	in
favor	NN	favor
of	IN	of
the	DT	the
car	NN	car
seat	NN	seat
,	,	,
OK	UH	OK
?	SENT	?
So	RB	so
,	,	,
that	DT	that
kid	NN	kid
in	IN	in
this	DT	this
crash	NN	crash
fared	VBD	fare
very	RB	very
well	RB	well
.	SENT	.
The	DT	the
federal	JJ	federal
standards	NNS	standard
are	VBP	be
that	IN	that
you	PP	you
have	VBP	have
to	TO	to
score	VB	score
below	IN	below
a	DT	a
1	CD	@card@
,	,	,
000	CD	@card@
to	TO	to
be	VB	be
an	DT	an
approved	VBN	approve
car	NN	car
seat	NN	seat
on	IN	on
this	DT	this
crash	NN	crash
,	,	,
in	IN	in
some	DT	some
metric	NN	metric
of	IN	of
units	NNS	unit
which	WDT	which
are	VBP	be
not	RB	not
important	JJ	important
.	SENT	.
And	CC	and
this	DT	this
crash	NN	crash
would	MD	would
have	VB	have
been	VBN	be
about	IN	about
a	DT	a
450	CD	@card@
.	SENT	.
So	IN	so
this	DT	this
car	NN	car
seat	NN	seat
was	VBD	be
actually	RB	actually
an	DT	an
above-average	JJ	above-average
car	NN	car
seat	NN	seat
from	IN	from
Consumer	NP	Consumer
Reports	NPS	Reports
,	,	,
and	CC	and
did	VBD	do
quite	RB	quite
well	RB	well
.	SENT	.
So	IN	so
the	DT	the
next	JJ	next
one	CD	one
.	SENT	.
Now	RB	now
,	,	,
this	DT	this
is	VBZ	be
the	DT	the
kid	NN	kid
,	,	,
same	JJ	same
crash	NN	crash
,	,	,
who	WP	who
is	VBZ	be
in	IN	in
the	DT	the
seatbelt	NN	seatbelt
.	SENT	.
He	PP	he
hardly	RB	hardly
moves	VBZ	move
at	IN	at
all	DT	all
,	,	,
actually	RB	actually
,	,	,
relative	JJ	relative
to	TO	to
the	DT	the
other	JJ	other
child	NN	child
.	SENT	.
The	DT	the
funny	JJ	funny
thing	NN	thing
is	VBZ	be
,	,	,
the	DT	the
cam	NN	cam
work	NN	work
is	VBZ	be
terrible	JJ	terrible
because	IN	because
they	PP	they
'	POS	'
ve	NN	ve
only	RB	only
set	VBD	set
it	PP	it
up	RP	up
to	TO	to
do	VB	do
the	DT	the
car	NN	car
seats	NNS	seat
,	,	,
and	CC	and
so	RB	so
,	,	,
they	PP	they
actually	RB	actually
don	VBP	don
'	POS	'
t	NN	t
even	RB	even
have	VBP	have
a	DT	a
way	NN	way
to	TO	to
move	VB	move
the	DT	the
camera	NN	camera
so	IN	so
you	PP	you
can	MD	can
see	VB	see
the	DT	the
kid	NN	kid
that	RB	that
'	POS	'
s	NN	S
on	IN	on
the	DT	the
rebound	NN	rebound
.	SENT	.
Anyway	RB	anyway
,	,	,
it	PP	it
turns	VBZ	turn
out	RP	out
that	IN	that
those	DT	those
two	CD	two
crashes	NNS	crash
,	,	,
that	WDT	that
actually	RB	actually
the	DT	the
three-year-old	JJ	three-year-old
did	VBD	do
slightly	RB	slightly
worse	JJR	bad
.	SENT	.
So	RB	so
,	,	,
he	PP	he
gets	VBZ	get
about	IN	about
a	DT	a
500	CD	@card@
out	RB	out
of	IN	of
—	:	-
you	PP	you
know	VBP	know
,	,	,
on	IN	on
this	DT	this
range	NN	range
—	:	-
relative	JJ	relative
to	TO	to
a	DT	a
400	CD	@card@
and	CC	and
something	NN	something
.	SENT	.
But	CC	but
still	RB	still
,	,	,
if	IN	if
you	PP	you
just	RB	just
took	VBD	take
that	IN	that
data	NNS	datum
from	IN	from
that	DT	that
crash	NN	crash
to	TO	to
the	DT	the
federal	JJ	federal
government	NN	government
,	,	,
and	CC	and
said	VBD	say
,	,	,
"	``	"
I	PP	I
have	VBP	have
invented	VBN	invent
a	DT	a
new	JJ	new
car	NN	car
seat	NN	seat
.	SENT	.
I	PP	I
would	MD	would
like	VB	like
you	PP	you
to	TO	to
approve	VB	approve
it	PP	it
for	IN	for
selling	NN	selling
,	,	,
"	``	"
then	RB	then
they	PP	they
would	MD	would
say	VB	say
,	,	,
"	``	"
This	DT	this
is	VBZ	be
a	DT	a
fantastic	JJ	fantastic
new	JJ	new
car	NN	car
seat	NN	seat
,	,	,
it	PP	it
works	VBZ	work
great	JJ	great
.	SENT	.
It	PP	it
only	RB	only
got	VBD	get
a	DT	a
500	CD	@card@
,	,	,
it	PP	it
could	MD	could
have	VB	have
gotten	VBN	get
as	RB	as
high	JJ	high
up	RB	up
as	IN	as
a	DT	a
1	CD	@card@
,	,	,
000	CD	@card@
.	SENT	.
"	``	"
And	CC	and
this	DT	this
seatbelt	NN	seatbelt
would	MD	would
have	VB	have
passed	VBN	pass
with	IN	with
flying	VBG	fly
colors	NNS	color
into	IN	into
being	VBG	be
approved	VBN	approve
as	IN	as
a	DT	a
car	NN	car
seat	NN	seat
.	SENT	.
So	RB	so
,	,	,
in	IN	in
some	DT	some
sense	NN	sense
,	,	,
what	WP	what
this	DT	this
is	VBZ	be
suggesting	VBG	suggest
is	VBZ	be
that	IN	that
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
that	IN	that
people	NNS	people
are	VBP	be
setting	VBG	set
up	RP	up
their	PP$	their
car	NN	car
seats	NNS	seat
wrong	JJ	wrong
,	,	,
which	WDT	which
is	VBZ	be
putting	VBG	put
children	NNS	child
at	IN	at
risk	NN	risk
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
that	IN	that
,	,	,
fundamentally	RB	fundamentally
,	,	,
the	DT	the
car	NN	car
seats	VBZ	seat
aren	NNS	<unknown>
'	POS	'
t	NN	t
doing	VBG	do
much	RB	much
.	SENT	.
So	RB	so
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
crash	NN	crash
.	SENT	.
So	RB	so
these	DT	these
are	VBP	be
timed	VBN	time
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
so	RB	so
you	PP	you
can	MD	can
see	VB	see
that	IN	that
it	PP	it
takes	VBZ	take
much	RB	much
longer	RBR	longer
with	IN	with
the	DT	the
car	NN	car
seat	NN	seat
—	:	-
at	IN	at
rebound	NN	rebound
,	,	,
it	PP	it
takes	VBZ	take
a	DT	a
lot	NN	lot
longer	RBR	longer
—	:	-
but	CC	but
there	EX	there
'	''	'
s	NNS	<unknown>
just	RB	just
a	DT	a
lot	NN	lot
less	JJR	less
movement	NN	movement
for	IN	for
child	NN	child
who	WP	who
'	POS	'
s	NN	S
in	IN	in
the	DT	the
seatbelt	NN	seatbelt
.	SENT	.
So	RB	so
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
show	VBP	show
you	PP	you
the	DT	the
six-	NN	six-
year-old	JJ	year-old
crashes	NNS	crash
as	IN	as
well	RB	well
.	SENT	.
The	DT	the
six-year-old	JJ	six-year-old
is	VBZ	be
in	IN	in
a	DT	a
car	NN	car
seat	NN	seat
,	,	,
and	CC	and
it	PP	it
turns	VBZ	turn
out	RP	out
that	IN	that
looks	NNS	look
terrible	JJ	terrible
,	,	,
but	CC	but
that	IN	that
'	POS	'
s	NNS	<unknown>
great	JJ	great
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
like	IN	like
a	DT	a
400	CD	@card@
,	,	,
OK	JJ	OK
?	SENT	?
So	IN	so
that	DT	that
kid	NN	kid
would	MD	would
do	VB	do
fine	NN	fine
in	IN	in
the	DT	the
crash	NN	crash
.	SENT	.
Nothing	NN	nothing
about	IN	about
that	WDT	that
would	MD	would
have	VB	have
been	VBN	be
problematic	JJ	problematic
to	TO	to
the	DT	the
child	NN	child
at	IN	at
all	DT	all
.	SENT	.
And	CC	and
then	RB	then
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
six-year-old	JJ	six-year-old
in	IN	in
the	DT	the
seatbelt	NN	seatbelt
,	,	,
and	CC	and
in	IN	in
fact	NN	fact
,	,	,
they	PP	they
get	VBP	get
exactly	RB	exactly
within	IN	within
,	,	,
you	PP	you
know	VBP	know
,	,	,
within	IN	within
one	CD	one
or	CC	or
two	CD	two
points	NNS	point
of	IN	of
the	DT	the
same	JJ	same
.	SENT	.
So	RB	so
really	RB	really
,	,	,
for	IN	for
the	DT	the
six-year-old	JJ	six-year-old
,	,	,
the	DT	the
car	NN	car
seat	NN	seat
did	VBD	do
absolutely	RB	absolutely
nothing	NN	nothing
whatsoever	RB	whatsoever
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
some	DT	some
more	JJR	more
evidence	NN	evidence
,	,	,
so	RB	so
in	IN	in
some	DT	some
sense	NN	sense
—	:	-
I	PP	I
was	VBD	be
criticized	VBN	criticize
by	IN	by
a	DT	a
scientist	NN	scientist
,	,	,
who	WP	who
said	VBD	say
,	,	,
"	``	"
You	PP	you
could	MD	could
never	RB	never
publish	VB	publish
a	DT	a
study	NN	study
with	IN	with
an	DT	an
n	NN	n
of	IN	of
4	CD	@card@
,	,	,
"	''	"
meaning	VBG	mean
those	DT	those
four	CD	four
crashes	NNS	crash
.	SENT	.
So	RB	so
I	PP	I
wrote	VBD	write
him	PP	him
back	RB	back
and	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
What	WP	what
about	IN	about
an	DT	an
n	NN	n
of	IN	of
45	CD	@card@
,	,	,
004	CD	@card@
?	SENT	?
"	``	"
Because	IN	because
I	PP	I
had	VBD	have
the	DT	the
other	JJ	other
45	CD	@card@
,	,	,
000	CD	@card@
other	JJ	other
real-world	NN	real-world
crashes	NNS	crash
.	SENT	.
And	CC	and
I	PP	I
just	RB	just
think	VBP	think
that	IN	that
it	PP	it
'	POS	'
s	NN	S
interesting	JJ	interesting
that	IN	that
the	DT	the
idea	NN	idea
of	IN	of
using	VBG	use
real-world	NN	real-world
crashes	NNS	crash
,	,	,
which	WDT	which
is	VBZ	be
very	RB	very
much	JJ	much
something	NN	something
that	IN	that
economists	NNS	economist
think	VBP	think
would	MD	would
be	VB	be
the	DT	the
right	JJ	right
thing	NN	thing
to	TO	to
do	VB	do
,	,	,
is	VBZ	be
something	NN	something
that	IN	that
scientists	NNS	scientist
don	NN	don
'	POS	'
t	NN	t
actually	RB	actually
,	,	,
usually	RB	usually
think	VBP	think
—	:	-
they	PP	they
would	MD	would
rather	RB	rather
use	VB	use
a	DT	a
laboratory	NN	laboratory
,	,	,
a	DT	a
very	RB	very
imperfect	JJ	imperfect
science	NN	science
of	IN	of
looking	VBG	look
at	IN	at
the	DT	the
dummies	NNS	dummy
,	,	,
than	IN	than
actually	RB	actually
30	CD	@card@
years	NNS	year
of	IN	of
data	NNS	datum
of	IN	of
what	WP	what
we	PP	we
'	POS	'
ve	NNS	<unknown>
seen	VBN	see
with	IN	with
children	NNS	child
and	CC	and
with	IN	with
car	NN	car
seats	NNS	seat
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
think	VBP	think
the	DT	the
answer	NN	answer
to	TO	to
this	DT	this
puzzle	NN	puzzle
is	VBZ	be
that	IN	that
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
much	RB	much
better	JJR	good
solution	NN	solution
out	IN	out
there	RB	there
,	,	,
that	IN	that
'	POS	'
s	JJ	<unknown>
gotten	VBN	get
nobody	NN	nobody
excited	VBN	excite
because	IN	because
everyone	NN	everyone
is	VBZ	be
so	RB	so
delighted	VBN	delight
with	IN	with
the	DT	the
way	NN	way
car	NN	car
seats	NNS	seat
are	VBP	be
presumably	RB	presumably
working	VBG	work
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
think	VBP	think
from	IN	from
a	DT	a
design	NN	design
perspective	NN	perspective
,	,	,
about	RB	about
going	VBG	go
back	RB	back
to	TO	to
square	VB	square
one	CD	one
,	,	,
and	CC	and
say	VBP	say
,	,	,
"	''	"
I	PP	I
just	RB	just
want	VBP	want
to	TO	to
protect	VB	protect
kids	NNS	kid
in	IN	in
the	DT	the
back	JJ	back
seat	NN	seat
.	SENT	.
"	``	"
I	PP	I
don	VBP	don
'	''	'
t	NN	t
there	RB	there
'	POS	'
s	JJ	<unknown>
anyone	NN	anyone
in	IN	in
this	DT	this
room	NN	room
who	WP	who
'	POS	'
d	NN	d
say	VBP	say
,	,	,
"	``	"
Well	UH	well
,	,	,
the	DT	the
right	JJ	right
way	NN	way
to	TO	to
start	VB	start
would	MD	would
be	VB	be
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
make	VBP	make
a	DT	a
great	JJ	great
seat	NN	seat
belt	NN	belt
for	IN	for
adults	NNS	adult
.	SENT	.
And	CC	and
then	RB	then
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
make	VBP	make
this	DT	this
really	RB	really
big	JJ	big
contraption	NN	contraption
that	IN	that
you	PP	you
have	VBP	have
to	TO	to
rig	VB	rig
up	RP	up
to	TO	to
it	PP	it
in	IN	in
this	DT	this
daisy	NN	daisy
chain	NN	chain
.	SENT	.
"	``	"
I	PP	I
mean	VBP	mean
,	,	,
why	WRB	why
not	RB	not
start	VB	start
—	:	-
who	WP	who
'	POS	'
s	NNS	<unknown>
sitting	VBG	sit
in	IN	in
the	DT	the
