Eight	CD	eight
.	SENT	.
"	''	"
And	CC	and
that	IN	that
guy	NN	guy
got	VBD	get
to	TO	to
make	VB	make
the	DT	the
very	RB	very
difficult	JJ	difficult
decision	NN	decision
,	,	,
but	CC	but
really	RB	really
the	DT	the
life-	NN	life-
changing	VBG	change
decision	NN	decision
about	IN	about
whether	IN	whether
to	TO	to
go	VB	go
get	VB	get
help	NN	help
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
actually	RB	actually
helping	VBG	help
people	NNS	people
to	TO	to
make	VB	make
these	DT	these
connections	NNS	connection
that	WDT	that
maybe	RB	maybe
before	RB	before
seemed	VBN	seem
like	IN	like
otherworldly	JJ	otherworldly
explanations	NNS	explanation
,	,	,
help	VB	help
draw	VB	draw
us	PP	us
into	IN	into
reality	NN	reality
and	CC	and
maybe	RB	maybe
change	VB	change
our	PP$	our
lives	NNS	life
for	IN	for
the	DT	the
better	RBR	well
.	SENT	.
Now	RB	now
,	,	,
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
,	,	,
maybe	RB	maybe
one	CD	one
time	NN	time
it	PP	it
'	POS	'
ll	NNS	<unknown>
turn	VBP	turn
out	RP	out
to	TO	to
be	VB	be
true	JJ	true
.	SENT	.
Maybe	RB	maybe
we	PP	we
'	POS	'
ll	NNS	<unknown>
find	VBP	find
out	IN	out
there	EX	there
are	VBP	be
ghosts	NNS	ghost
,	,	,
and	CC	and
holy	JJ	holy
shit	NN	shit
,	,	,
it	PP	it
will	MD	will
be	VB	be
the	DT	the
best	JJS	good
thing	NN	thing
!	SENT	!
And	CC	and
every	DT	every
time	NN	time
I	PP	I
do	VBP	do
one	PP	one
of	IN	of
these	DT	these
investigations	NNS	investigation
,	,	,
I	PP	I
still	RB	still
get	VBP	get
so	RB	so
excited	JJ	excited
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
like	IN	like
75	CD	@card@
into	IN	into
them	PP	them
,	,	,
and	CC	and
still	RB	still
I	PP	I
swear	VBP	swear
on	IN	on
number	NN	number
76	CD	@card@
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
be	VB	be
like	IN	like
,	,	,
"	``	"
This	DT	this
is	VBZ	be
the	DT	the
one	CD	one
!	SENT	!
"	``	"
Maybe	RB	maybe
I	PP	I
'	POS	'
m	NN	m
just	RB	just
eternally	RB	eternally
optimistic	JJ	optimistic
,	,	,
but	CC	but
I	PP	I
hope	VBP	hope
I	PP	I
never	RB	never
lose	VBP	lose
this	DT	this
hope	NN	hope
,	,	,
and	CC	and
I	PP	I
invite	VBP	invite
you	PP	you
to	TO	to
take	VB	take
this	DT	this
same	JJ	same
attitude	NN	attitude
when	WRB	when
people	NNS	people
share	VBP	share
their	PP$	their
outer	JJ	outer
beliefs	NNS	belief
with	IN	with
you	PP	you
.	SENT	.
When	WRB	when
talking	VBG	talk
about	IN	about
testable	JJ	testable
claims	NNS	claim
,	,	,
respect	VB	respect
them	PP	them
enough	JJ	enough
to	TO	to
ask	VB	ask
these	DT	these
good	JJ	good
questions	NNS	question
.	SENT	.
Challenge	VB	challenge
and	CC	and
see	VB	see
how	WRB	how
you	PP	you
can	MD	can
examine	VB	examine
them	PP	them
together	RB	together
,	,	,
because	IN	because
there	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
idea	NN	idea
that	IN	that
you	PP	you
can	MD	can
'	''	'
t	NN	t
respect	NN	respect
a	DT	a
belief	NN	belief
and	CC	and
still	RB	still
challenge	VB	challenge
it	PP	it
,	,	,
but	CC	but
that	IN	that
'	POS	'
s	NN	S
not	RB	not
true	JJ	true
.	SENT	.
When	WRB	when
we	PP	we
jiggle	VBP	jiggle
the	DT	the
lock	NN	lock
,	,	,
when	WRB	when
we	PP	we
test	VBP	test
the	DT	the
claim	NN	claim
,	,	,
we	PP	we
'	POS	'
re	NN	re
saying	VBG	say
,	,	,
OK	UH	OK
,	,	,
I	PP	I
respect	VBP	respect
you	PP	you
,	,	,
I	PP	I
'	POS	'
m	NN	m
listening	VBG	listen
to	TO	to
what	WP	what
you	PP	you
'	POS	'
re	NN	re
saying	VBG	say
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
test	VB	test
it	PP	it
out	RP	out
with	IN	with
you	PP	you
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
all	RB	all
had	VBD	have
that	DT	that
experience	NN	experience
where	WRB	where
you	PP	you
'	POS	'
re	NN	re
telling	VBG	tell
someone	NN	someone
something	NN	something
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
like	IN	like
,	,	,
"	``	"
Oh	UH	oh
,	,	,
that	WDT	that
'	POS	'
s	NN	S
really	RB	really
interesting	JJ	interesting
,	,	,
yeah	RB	yeah
,	,	,
"	``	"
you	PP	you
know	VBP	know
you	PP	you
'	''	'
re	IN	re
being	VBG	be
had	VBD	have
.	SENT	.
But	CC	but
when	WRB	when
someone	NN	someone
says	VBZ	say
,	,	,
"	``	"
Really	RB	really
?	SENT	?
Huh	NP	Huh
.	SENT	.
Sounds	VBZ	sound
a	DT	a
little	RB	little
sketchy	JJ	sketchy
to	TO	to
me	PP	me
,	,	,
but	CC	but
I	PP	I
'	POS	'
m	NN	m
listening	NN	listening
,	,	,
"	''	"
you	PP	you
at	IN	at
least	JJS	least
know	VB	know
you	PP	you
'	POS	'
re	NN	re
being	VBG	be
engaged	VBN	engage
and	CC	and
respected	VBN	respect
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
kind	NN	kind
of	IN	of
attitude	NN	attitude
we	PP	we
should	MD	should
have	VB	have
with	IN	with
these	DT	these
claims	NNS	claim
.	SENT	.
That	IN	that
'	POS	'
s	JJ	<unknown>
showing	VBG	show
someone	NN	someone
that	IN	that
you	PP	you
care	VBP	care
what	WP	what
they	PP	they
'	''	'
re	IN	re
saying	VBG	say
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
respect	NN	respect
.	SENT	.
Now	RB	now
,	,	,
yes	UH	yes
,	,	,
most	JJS	most
of	IN	of
these	DT	these
searches	NNS	search
will	MD	will
come	VB	come
up	RB	up
empty	JJ	empty
,	,	,
but	CC	but
that	IN	that
'	POS	'
s	NN	S
how	WRB	how
all	DT	all
of	IN	of
science	NN	science
works	NNS	work
.	SENT	.
Every	DT	every
cure	NN	cure
for	IN	for
cancer	NN	cancer
so	RB	so
far	RB	far
has	VBZ	have
not	RB	not
panned	VBN	pan
out	RP	out
,	,	,
but	CC	but
we	PP	we
don	NN	don
'	POS	'
t	NN	t
stop	NN	stop
looking	VBG	look
,	,	,
for	IN	for
two	CD	two
reasons	NNS	reason
.	SENT	.
Because	IN	because
number	NN	number
one	CD	one
,	,	,
the	DT	the
answer	NN	answer
matters	NNS	matter
.	SENT	.
Whether	IN	whether
it	PP	it
'	POS	'
s	NNS	<unknown>
looking	VBG	look
at	IN	at
the	DT	the
afterlife	NN	afterlife
or	CC	or
the	DT	the
paranormal	JJ	paranormal
or	CC	or
the	DT	the
cure	NN	cure
for	IN	for
cancer	NN	cancer
,	,	,
it	PP	it
all	RB	all
amounts	VBZ	amount
to	TO	to
the	DT	the
same	JJ	same
question	NN	question
:	:	:
How	WRB	how
long	RB	long
will	MD	will
we	PP	we
be	VB	be
here	RB	here
?	SENT	?
And	CC	and
two	CD	two
,	,	,
because	IN	because
looking	VBG	look
for	IN	for
the	DT	the
truth	NN	truth
,	,	,
being	VBG	be
open-minded	JJ	open-minded
,	,	,
and	CC	and
being	VBG	be
willing	JJ	willing
to	TO	to
be	VB	be
wrong	JJ	wrong
and	CC	and
to	TO	to
change	VB	change
your	PP$	your
whole	JJ	whole
worldview	NN	<unknown>
is	VBZ	be
awe-inspiring	JJ	awe-inspiring
.	SENT	.
I	PP	I
still	RB	still
get	VBP	get
excited	JJ	excited
at	IN	at
ghost	NN	ghost
stories	NNS	story
every	DT	every
single	JJ	single
time	NN	time
.	SENT	.
I	PP	I
still	RB	still
consider	VBP	consider
that	IN	that
every	DT	every
group	NN	group
I	PP	I
join	VBP	join
might	MD	might
be	VB	be
right	JJ	right
,	,	,
and	CC	and
I	PP	I
hope	VBP	hope
I	PP	I
never	RB	never
lose	VBP	lose
that	DT	that
hope	NN	hope
.	SENT	.
Let	NP	Let
'	POS	'
s	NN	S
all	RB	all
never	RB	never
lose	VB	lose
that	DT	that
hope	NN	hope
,	,	,
because	IN	because
searching	VBG	search
for	IN	for
what	WP	what
'	POS	'
s	NNS	<unknown>
out	IN	out
there	EX	there
helps	VBZ	help
us	PP	us
understand	VBP	understand
what	WP	what
'	POS	'
s	NN	S
in	IN	in
here	RB	here
.	SENT	.
And	CC	and
also	RB	also
,	,	,
please	VBP	please
have	VB	have
a	DT	a
carbon	NN	carbon
monoxide	NN	monoxide
detector	NN	detector
in	IN	in
your	PP$	your
home	NN	home
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
