Fifteen	CD	fifteen
lighting	VBG	light
up	RP	up
as	IN	as
they	PP	they
shared	VBD	share
their	PP$	their
creations	NNS	creation
with	IN	with
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
group	NN	group
.	SENT	.
And	CC	and
it	PP	it
reminded	VBD	remind
me	PP	me
that	IN	that
as	IN	as
adults	NNS	adult
,	,	,
we	PP	we
have	VBP	have
to	TO	to
let	VB	let
go	VB	go
of	IN	of
our	PP$	our
expectation	NN	expectation
that	IN	that
we	PP	we
get	VBP	get
it	PP	it
right	RB	right
.	SENT	.
Because	IN	because
if	IN	if
we	PP	we
opt	VBP	opt
out	RP	out
of	IN	of
play	NN	play
,	,	,
based	VBN	base
on	IN	on
what	WP	what
we	PP	we
know	VBP	know
about	RB	about
how	WRB	how
important	JJ	important
our	PP$	our
interactions	NNS	interaction
are	VBP	be
to	TO	to
children	NNS	child
'	POS	'
s	NN	S
development	NN	development
,	,	,
if	IN	if
we	PP	we
opt	VBP	opt
out	RP	out
of	IN	of
play	NN	play
,	,	,
it	PP	it
has	VBZ	have
major	JJ	major
implications	NNS	implication
for	IN	for
their	PP$	their
brain	NN	brain
development	NN	development
.	SENT	.
Now	RB	now
I	PP	I
know	VBP	know
that	IN	that
finding	VBG	find
the	DT	the
energy	NN	energy
to	TO	to
play	VB	play
with	IN	with
our	PP$	our
kids	NNS	kid
and	CC	and
students	NNS	student
can	MD	can
be	VB	be
hard	JJ	hard
.	SENT	.
Even	RB	even
in	IN	in
small	JJ	small
doses	NNS	dose
,	,	,
it	PP	it
takes	VBZ	take
our	PP$	our
undivided	JJ	undivided
attention	NN	attention
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
so	RB	so
worth	JJ	worth
it	PP	it
.	SENT	.
Because	IN	because
in	IN	in
all	PDT	all
my	PP$	my
experience	NN	experience
and	CC	and
research	NN	research
,	,	,
I	NP	I
haven	NN	haven
'	POS	'
t	NN	t
found	VBD	find
any	DT	any
evidence	NN	evidence
that	IN	that
making	VBG	make
the	DT	the
homemade	JJ	homemade
cookies	NNS	cookie
for	IN	for
the	DT	the
school	NN	school
bake	NN	bake
sale	NN	sale
matters	NNS	matter
for	IN	for
your	PP$	your
child	NN	child
'	POS	'
s	JJ	<unknown>
brain	NN	brain
development	NN	development
.	SENT	.
I	PP	I
haven	NN	haven
'	POS	'
t	NN	t
found	VBD	find
any	DT	any
evidence	NN	evidence
that	IN	that
sewing	VBG	sew
that	IN	that
winning	JJ	winning
Halloween	NP	Halloween
costume	NN	costume
means	VBZ	mean
they	PP	they
'	''	'
ll	NNS	<unknown>
do	VBP	do
well	RB	well
in	IN	in
school	NN	school
.	SENT	.
But	CC	but
what	WP	what
does	VBZ	do
matter	NN	matter
is	VBZ	be
that	IN	that
the	DT	the
interactions	NNS	interaction
leave	VBP	leave
space	NN	space
for	IN	for
your	PP$	your
child	NN	child
to	TO	to
learn	VB	learn
,	,	,
to	TO	to
persist	VB	persist
,	,	,
to	TO	to
play	VB	play
,	,	,
to	TO	to
experiment	NN	experiment
.	SENT	.
You	PP	you
have	VBP	have
the	DT	the
power	NN	power
to	TO	to
have	VB	have
an	DT	an
enormous	JJ	enormous
impact	NN	impact
on	IN	on
their	PP$	their
brain	NN	brain
development	NN	development
.	SENT	.
You	PP	you
are	VBP	be
helping	VBG	help
build	VB	build
the	DT	the
network	NN	network
of	IN	of
neural	JJ	neural
connections	NNS	connection
that	WDT	that
lay	VBP	lay
the	DT	the
foundation	NN	foundation
for	IN	for
all	DT	all
of	IN	of
their	PP$	their
future	JJ	future
learning	NN	learning
.	SENT	.
So	IN	so
this	DT	this
week	NN	week
at	IN	at
bath	NN	bath
time	NN	time
,	,	,
I	PP	I
hope	VBP	hope
that	IN	that
you	PP	you
'	POS	'
ll	NN	ll
put	VBD	put
aside	RP	aside
the	DT	the
top-rated	JJ	top-rated
toys	NNS	toy
,	,	,
forget	VBP	forget
that	IN	that
mental	JJ	mental
to-do	NN	to-do
list	NN	list
for	IN	for
a	DT	a
moment	NN	moment
,	,	,
grab	VB	grab
some	DT	some
measuring	VBG	measure
cups	NNS	cup
,	,	,
some	DT	some
kitchen	NN	kitchen
sponges	VBZ	sponge
,	,	,
and	CC	and
give	VB	give
it	PP	it
a	DT	a
try	VBP	try
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
