Now	RB	now
'	POS	'
ve	NN	ve
learned	VBD	learn
?	SENT	?
Who	WP	who
are	VBP	be
you	PP	you
to	TO	to
guide	VB	guide
them	PP	them
and	CC	and
who	WP	who
are	VBP	be
you	PP	you
to	TO	to
show	VB	show
them	PP	them
what	WP	what
is	VBZ	be
right	JJ	right
,	,	,
what	WP	what
is	VBZ	be
wrong	JJ	wrong
,	,	,
what	WP	what
these	DT	these
people	NNS	people
have	VBP	have
to	TO	to
say	VB	say
?	SENT	?
"	``	"
And	CC	and
I	PP	I
had	VBD	have
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
a	DT	a
,	,	,
it	PP	it
was	VBD	be
very	RB	very
private	JJ	private
,	,	,
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
a	DT	a
meltdown	NN	meltdown
.	SENT	.
I	PP	I
went	VBD	go
back	RB	back
,	,	,
and	CC	and
a	DT	a
little	JJ	little
bit	NN	bit
like	IN	like
the	DT	the
boy	NN	boy
walking	VBG	walk
away	RB	away
from	IN	from
the	DT	the
tree	NN	tree
with	IN	with
his	PP$	his
goats	NNS	goat
,	,	,
very	RB	very
disgruntled	VBN	disgruntle
,	,	,
going	VBG	go
,	,	,
that	DT	that
didn	NN	<unknown>
'	POS	'
t	NN	t
work	NN	work
,	,	,
It	PP	it
wasn	NNS	<unknown>
'	POS	'
t	NN	t
what	WP	what
I	PP	I
wanted	VBD	want
to	TO	to
communicate	VB	communicate
.	SENT	.
And	CC	and
I	PP	I
thought	VBD	think
long	RB	long
and	CC	and
hard	RB	hard
about	IN	about
it	PP	it
,	,	,
and	CC	and
I	PP	I
thought	VBD	think
,	,	,
well	RB	well
,	,	,
the	DT	the
only	JJ	only
thing	NN	thing
I	PP	I
can	MD	can
communicate	VB	communicate
is	VBZ	be
very	RB	very
,	,	,
very	RB	very
basic	JJ	basic
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
turn	VB	turn
it	PP	it
all	PDT	all
the	DT	the
way	NN	way
around	RB	around
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
only	RB	only
one	CD	one
person	NN	person
I	PP	I
know	VBP	know
here	RB	here
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
me	PP	me
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
still	RB	still
getting	VBG	get
to	TO	to
know	VB	know
myself	PP	myself
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
a	DT	a
lifelong	JJ	lifelong
journey	NN	journey
,	,	,
and	CC	and
I	PP	I
probably	RB	probably
won	VBD	win
'	''	'
t	NN	t
have	VBP	have
all	PDT	all
the	DT	the
answers	NNS	answer
,	,	,
but	CC	but
I	PP	I
did	VBD	do
learn	VB	learn
some	DT	some
extraordinary	JJ	extraordinary
things	NNS	thing
on	IN	on
this	DT	this
journey	NN	journey
.	SENT	.
So	RB	so
what	WP	what
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
do	VB	do
is	VBZ	be
share	VB	share
with	IN	with
you	PP	you
my	PP$	my
lessons	NNS	lesson
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
,	,	,
as	IN	as
I	PP	I
explained	VBD	explain
at	IN	at
the	DT	the
beginning	NN	beginning
,	,	,
very	RB	very
indulgent	JJ	indulgent
,	,	,
very	RB	very
personal	JJ	personal
,	,	,
how	WRB	how
and	CC	and
why	WRB	why
I	PP	I
made	VBD	make
these	DT	these
pictures	NNS	picture
,	,	,
and	CC	and
I	PP	I
leave	VBP	leave
it	PP	it
to	TO	to
you	PP	you
as	IN	as
the	DT	the
audience	NN	audience
to	TO	to
interpret	VB	interpret
what	WP	what
these	DT	these
lessons	NNS	lesson
have	VBP	have
meant	VBN	mean
to	TO	to
me	PP	me
,	,	,
what	WP	what
they	PP	they
could	MD	could
perhaps	RB	perhaps
mean	VB	mean
to	TO	to
you	PP	you
.	SENT	.
I	PP	I
traveled	VBD	travel
enormously	RB	enormously
as	IN	as
a	DT	a
child	NN	child
.	SENT	.
I	PP	I
was	VBD	be
very	RB	very
nomadic	JJ	nomadic
.	SENT	.
It	PP	it
was	VBD	be
actually	RB	actually
very	RB	very
exciting	JJ	exciting
.	SENT	.
All	DT	all
around	IN	around
the	DT	the
world	NN	world
,	,	,
and	CC	and
I	PP	I
had	VBD	have
this	DT	this
feeling	NN	feeling
that	IN	that
I	PP	I
was	VBD	be
pushed	VBN	push
off	RP	off
at	IN	at
great	JJ	great
speed	NN	speed
to	TO	to
become	VB	become
somebody	NN	somebody
,	,	,
become	VBN	become
that	DT	that
individual	NN	individual
,	,	,
Jimmy	NP	Jimmy
.	SENT	.
Go	VB	go
off	RP	off
into	IN	into
the	DT	the
planet	NN	planet
,	,	,
and	CC	and
so	RB	so
I	PP	I
ran	VBD	run
,	,	,
and	CC	and
I	PP	I
ran	VBD	run
,	,	,
and	CC	and
my	PP$	my
wife	NN	wife
sometimes	RB	sometimes
kids	VBZ	kid
me	PP	me
,	,	,
"	''	"
Jimmy	NP	Jimmy
,	,	,
you	PP	you
look	VBP	look
a	DT	a
bit	NN	bit
like	IN	like
Forrest	NP	Forrest
Gump	NP	Gump
,	,	,
"	``	"
but	CC	but
I	PP	I
'	POS	'
m	NN	m
,	,	,
"	``	"
No	UH	no
,	,	,
it	PP	it
'	POS	'
s	NN	S
all	RB	all
about	IN	about
something	NN	something
,	,	,
trust	VB	trust
me	PP	me
.	SENT	.
"	``	"
So	RB	so
I	PP	I
kept	VBD	keep
running	VBG	run
and	CC	and
I	PP	I
kept	VBD	keep
running	VBG	run
,	,	,
and	CC	and
I	PP	I
sort	VBP	sort
of	IN	of
got	VBN	get
somewhere	RB	somewhere
and	CC	and
I	PP	I
sort	VBP	sort
of	IN	of
stood	VBD	stand
there	RB	there
and	CC	and
looked	VBD	look
around	IN	around
me	PP	me
and	CC	and
I	PP	I
thought	VBD	think
,	,	,
well	RB	well
,	,	,
where	WRB	where
do	VBP	do
I	PP	I
belong	VBP	belong
?	SENT	?
Where	WRB	where
do	VBP	do
I	PP	I
fit	VBP	fit
?	SENT	?
What	WP	what
am	VBP	be
I	PP	I
?	SENT	?
Where	WRB	where
am	VBP	be
I	PP	I
from	IN	from
?	SENT	?
I	PP	I
had	VBD	have
no	DT	no
idea	NN	idea
.	SENT	.
So	RB	so
I	PP	I
hope	VBP	hope
there	RB	there
aren	NN	<unknown>
'	POS	'
t	NN	t
too	RB	too
many	JJ	many
psychologists	NNS	psychologist
in	IN	in
this	DT	this
audience	NN	audience
.	SENT	.
Perhaps	RB	perhaps
part	NN	part
of	IN	of
this	DT	this
journey	NN	journey
is	VBZ	be
about	IN	about
me	PP	me
trying	VBG	try
to	TO	to
find	VB	find
out	RP	out
where	WRB	where
I	PP	I
belonged	VBD	belong
.	SENT	.
So	RB	so
whilst	IN	whilst
going	VBG	go
,	,	,
and	CC	and
don	NN	don
'	POS	'
t	NN	t
worry	NN	worry
,	,	,
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
when	WRB	when
I	PP	I
arrived	VBD	arrive
with	IN	with
these	DT	these
tribes	NNS	tribe
,	,	,
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
paint	VBP	paint
myself	PP	myself
yellow	VB	yellow
and	CC	and
run	VB	run
around	RP	around
with	IN	with
these	DT	these
spears	NNS	spear
and	CC	and
loincloths	NNS	loincloth
.	SENT	.
But	CC	but
what	WP	what
I	PP	I
did	VBD	do
find	VB	find
were	VBD	be
people	NNS	people
that	WDT	that
belonged	VBD	belong
themselves	PP	themselves
,	,	,
and	CC	and
they	PP	they
inspired	VBD	inspire
me	PP	me
,	,	,
some	DT	some
extraordinary	JJ	extraordinary
people	NNS	people
,	,	,
and	CC	and
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
introduce	VB	introduce
you	PP	you
to	TO	to
some	DT	some
heroes	NNS	hero
of	IN	of
mine	NN	mine
.	SENT	.
They	PP	they
'	''	'
re	IN	re
the	DT	the
Huli	NP	<unknown>
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
Huli	NP	<unknown>
are	VBP	be
some	DT	some
of	IN	of
the	DT	the
most	RBS	most
extraordinarily	RB	extraordinarily
beautiful	JJ	beautiful
people	NNS	people
on	IN	on
the	DT	the
planet	NN	planet
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
proud	JJ	proud
.	SENT	.
They	PP	they
live	VBP	live
in	IN	in
the	DT	the
Papua	NP	Papua
New	NP	New
Guinean	JJ	Guinean
highlands	NNS	highland
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
not	RB	not
many	JJ	many
of	IN	of
them	PP	them
left	VBD	leave
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
called	VBD	call
the	DT	the
Huli	NP	<unknown>
wigmen	NNS	<unknown>
.	SENT	.
And	CC	and
images	NNS	image
like	IN	like
this	DT	this
,	,	,
I	PP	I
mean	VBP	mean
,	,	,
this	DT	this
is	VBZ	be
what	WP	what
it	PP	it
'	POS	'
s	NN	S
all	RB	all
about	RB	about
for	IN	for
me	PP	me
.	SENT	.
And	CC	and
you	PP	you
'	POS	'
ve	NN	ve
spent	VBD	spend
weeks	NNS	week
and	CC	and
months	NNS	month
there	RB	there
talking	VBG	talk
with	IN	with
them	PP	them
,	,	,
getting	VBG	get
there	RB	there
,	,	,
and	CC	and
I	PP	I
want	VBP	want
to	TO	to
put	VB	put
them	PP	them
on	IN	on
a	DT	a
pedestal	NN	pedestal
,	,	,
and	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
You	PP	you
have	VBP	have
something	NN	something
that	IN	that
many	JJ	many
people	NNS	people
have	VBP	have
not	RB	not
seen	VBN	see
.	SENT	.
You	PP	you
sit	VBP	sit
in	IN	in
this	DT	this
stunning	JJ	stunning
nature	NN	nature
.	SENT	.
"	``	"
And	CC	and
it	PP	it
really	RB	really
does	VBZ	do
look	NN	look
like	IN	like
this	DT	this
,	,	,
and	CC	and
they	PP	they
really	RB	really
do	VBP	do
look	NN	look
like	IN	like
this	DT	this
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
real	JJ	real
thing	NN	thing
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
why	WRB	why
they	PP	they
'	POS	'
re	NN	re
proud	JJ	proud
?	SENT	?
You	PP	you
know	VBP	know
why	WRB	why
they	PP	they
look	VBP	look
like	IN	like
this	DT	this
,	,	,
and	CC	and
why	WRB	why
I	PP	I
broke	VBD	break
my	PP$	my
back	NN	back
literally	RB	literally
to	TO	to
photograph	VB	photograph
them	PP	them
and	CC	and
present	VB	present
them	PP	them
to	TO	to
you	PP	you
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
because	IN	because
they	PP	they
have	VBP	have
these	DT	these
extraordinary	JJ	extraordinary
rituals	NNS	ritual
.	SENT	.
And	CC	and
the	DT	the
Huli	NP	<unknown>
have	VBP	have
this	DT	this
ritual	NN	ritual
:	:	:
When	WRB	when
they	PP	they
'	POS	'
re	NN	re
teenagers	NNS	teenager
,	,	,
becoming	VBG	become
a	DT	a
man	NN	man
,	,	,
they	PP	they
have	VBP	have
to	TO	to
shave	VB	shave
their	PP$	their
heads	NNS	head
,	,	,
and	CC	and
they	PP	they
spend	VBP	spend
the	DT	the
rest	NN	rest
of	IN	of
their	PP$	their
life	NN	life
shaving	VBG	shave
their	PP$	their
heads	NNS	head
every	DT	every
single	JJ	single
day	NN	day
,	,	,
and	CC	and
what	WP	what
they	PP	they
do	VBP	do
with	IN	with
that	DT	that
hair	NN	hair
,	,	,
they	PP	they
make	VBP	make
it	PP	it
into	IN	into
a	DT	a
creation	NN	creation
,	,	,
a	DT	a
creation	NN	creation
that	RB	that
'	POS	'
s	NN	S
a	DT	a
very	RB	very
personal	JJ	personal
creation	NN	creation
.	SENT	.
It	PP	it
'	''	'
s	VBG	<unknown>
their	PP$	their
creation	NN	creation
.	SENT	.
It	PP	it
'	''	'
s	VBG	<unknown>
their	PP$	their
Huli	NP	<unknown>
creation	NN	creation
.	SENT	.
So	IN	so
they	PP	they
'	POS	'
re	NN	re
called	VBD	call
the	DT	the
Huli	NP	<unknown>
wigmen	NNS	<unknown>
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
a	DT	a
wig	NN	wig
on	IN	on
his	PP$	his
head	NN	head
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
all	RB	all
made	VBD	make
out	RP	out
of	IN	of
his	PP$	his
human	JJ	human
hair	NN	hair
.	SENT	.
And	CC	and
then	RB	then
they	PP	they
decorate	VBP	decorate
that	DT	that
wig	NN	wig
with	IN	with
the	DT	the
feathers	NNS	feather
of	IN	of
the	DT	the
birds	NNS	bird
of	IN	of
paradise	NN	paradise
,	,	,
and	CC	and
don	NN	don
'	POS	'
t	NN	t
worry	NN	worry
,	,	,
there	EX	there
are	VBP	be
many	JJ	many
birds	NNS	bird
there	RB	there
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
very	RB	very
few	JJ	few
people	NNS	people
living	VBG	live
,	,	,
so	IN	so
nothing	NN	nothing
to	TO	to
get	VB	get
too	RB	too
upset	VBN	upset
about	RB	about
,	,	,
and	CC	and
they	PP	they
spend	VBP	spend
the	DT	the
rest	NN	rest
of	IN	of
their	PP$	their
life	NN	life
recreating	VBG	recreate
these	DT	these
hats	NNS	hat
and	CC	and
getting	VBG	get
further	RBR	further
and	CC	and
further	RBR	further
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
extraordinary	JJ	extraordinary
,	,	,
and	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
another	DT	another
group	NN	group
,	,	,
they	PP	they
'	POS	'
re	NN	re
called	VBD	call
the	DT	the
Kalam	NP	<unknown>
,	,	,
and	CC	and
they	PP	they
live	VBP	live
in	IN	in
the	DT	the
next	JJ	next
valley	NN	valley
,	,	,
but	CC	but
they	PP	they
speak	VBP	speak
a	DT	a
completely	RB	completely
different	JJ	different
language	NN	language
,	,	,
they	PP	they
look	VBP	look
completely	RB	completely
different	JJ	different
,	,	,
and	CC	and
they	PP	they
wear	VBP	wear
a	DT	a
hat	NN	hat
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
built	VBD	build
out	RP	out
of	IN	of
scarabs	NNS	scarab
,	,	,
these	DT	these
fantastic	JJ	fantastic
emerald	JJ	emerald
green	JJ	green
little	JJ	little
scarabs	NNS	scarab
,	,	,
and	CC	and
sometimes	RB	sometimes
there	EX	there
are	VBP	be
5	CD	@card@
,	,	,
000	CD	@card@
or	CC	or
6	CD	@card@
,	,	,
000	CD	@card@
scarabs	NNS	scarab
in	IN	in
this	DT	this
hat	NN	hat
,	,	,
and	CC	and
they	PP	they
spend	VBP	spend
the	DT	the
whole	NN	whole
of	IN	of
their	PP$	their
life	NN	life
collecting	VBG	collect
these	DT	these
scarabs	NNS	scarab
to	TO	to
build	VB	build
these	DT	these
hats	NNS	hat
.	SENT	.
So	IN	so
the	DT	the
Huli	NP	<unknown>
inspired	VBD	inspire
me	PP	me
in	IN	in
that	WDT	that
they	PP	they
belong	VBP	belong
.	SENT	.
Perhaps	RB	perhaps
I	PP	I
have	VBP	have
to	TO	to
work	VB	work
harder	RBR	harder
at	IN	at
finding	VBG	find
a	DT	a
ritual	NN	ritual
which	WDT	which
matters	VBZ	matter
for	IN	for
me	PP	me
and	CC	and
going	VBG	go
back	RB	back
into	IN	into
my	PP$	my
past	NN	past
to	TO	to
see	VB	see
where	WRB	where
I	PP	I
actually	RB	actually
fit	VBP	fit
.	SENT	.
An	DT	an
extremely	RB	extremely
important	JJ	important
part	NN	part
of	IN	of
this	DT	this
project	NN	project
was	VBD	be
about	RB	about
how	WRB	how
I	PP	I
photograph	VBP	photograph
these	DT	these
extraordinary	JJ	extraordinary
people	NNS	people
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
basically	RB	basically
beauty	NN	beauty
.	SENT	.
I	PP	I
think	VBP	think
beauty	NN	beauty
matters	NNS	matter
.	SENT	.
We	PP	we
spend	VBP	spend
the	DT	the
whole	NN	whole
of	IN	of
our	PP$	our
existence	NN	existence
revolving	VBG	revolve
around	IN	around
beauty	NN	beauty
:	:	:
beautiful	JJ	beautiful
places	NNS	place
,	,	,
beautiful	JJ	beautiful
things	NNS	thing
,	,	,
and	CC	and
ultimately	RB	ultimately
,	,	,
beautiful	JJ	beautiful
people	NNS	people
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
very	RB	very
,	,	,
very	RB	very
,	,	,
very	RB	very
significant	JJ	significant
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
spent	VBD	spend
all	DT	all
of	IN	of
my	PP$	my
life	NN	life
analyzing	NN	analyzing
what	WP	what
do	VBP	do
I	PP	I
look	VBP	look
like	IN	like
?	SENT	?
Am	VBP	be
I	PP	I
perceived	VBN	perceive
as	IN	as
beautiful	JJ	beautiful
?	SENT	?
Does	VBZ	do
it	PP	it
matter	NN	matter
if	IN	if
I	PP	I
'	POS	'
m	NN	m
a	DT	a
beautiful	JJ	beautiful
person	NN	person
or	CC	or
not	RB	not
,	,	,
or	CC	or
is	VBZ	be
it	PP	it
purely	RB	purely
based	VBN	base
on	IN	on
my	PP$	my
aesthetic	NN	aesthetic
?	SENT	?
And	CC	and
then	RB	then
when	WRB	when
I	PP	I
went	VBD	go
off	RP	off
,	,	,
I	PP	I
came	VBD	come
to	TO	to
a	DT	a
very	RB	very
narrow	JJ	narrow
conclusion	NN	conclusion
.	SENT	.
Do	VB	do
I	PP	I
have	VBP	have
to	TO	to
go	VB	go
around	RP	around
the	DT	the
world	NN	world
photographing	VBG	photograph
,	,	,
excuse	VB	excuse
me	PP	me
,	,	,
women	NNS	woman
between	IN	between
the	DT	the
age	NN	age
of	IN	of
25	CD	@card@
and	CC	and
30	CD	@card@
?	SENT	?
Is	VBZ	be
that	IN	that
what	WP	what
beauty	NN	beauty
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
?	SENT	?
Is	VBZ	be
everything	NN	everything
before	IN	before
and	CC	and
after	IN	after
that	DT	that
utterly	RB	utterly
irrelevant	JJ	irrelevant
?	SENT	?
And	CC	and
it	PP	it
was	VBD	be
only	RB	only
until	IN	until
I	PP	I
went	VBD	go
on	IN	on
a	DT	a
journey	NN	journey
,	,	,
a	DT	a
journey	NN	journey
that	WDT	that
was	VBD	be
so	RB	so
extreme	JJ	extreme
,	,	,
I	PP	I
still	RB	still
get	VBP	get
shivers	NNS	shiver
when	WRB	when
I	PP	I
think	VBP	think
about	IN	about
it	PP	it
.	SENT	.
I	PP	I
went	VBD	go
to	TO	to
a	DT	a
part	NN	part
of	IN	of
the	DT	the
world	NN	world
,	,	,
and	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
whether	IN	whether
any	DT	any
of	IN	of
you	PP	you
have	VBP	have
ever	RB	ever
heard	VBN	hear
of	IN	of
Chukotka	NP	<unknown>
.	SENT	.
Has	VBZ	have
anybody	NN	anybody
ever	RB	ever
heard	VBN	hear
of	IN	of
Chukotka	NP	<unknown>
?	SENT	?
Chukotka	NP	<unknown>
probably	RB	probably
is	VBZ	be
,	,	,
technically	RB	technically
,	,	,
as	RB	as
far	RB	far
as	IN	as
one	PP	one
can	MD	can
go	VB	go
and	CC	and
still	RB	still
be	VB	be
on	IN	on
the	DT	the
living	VBG	live
planet	NN	planet
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
13	CD	@card@
hours	NNS	hour
'	POS	'
flight	NN	flight
from	IN	from
Moscow	NP	Moscow
.	SENT	.
First	RB	first
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
get	VB	get
to	TO	to
Moscow	NP	Moscow
,	,	,
and	CC	and
then	RB	then
13	CD	@card@
hours	NNS	hour
'	POS	'
flight	NN	flight
nonstop	NN	nonstop
from	IN	from
Moscow	NP	Moscow
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
if	IN	if
you	PP	you
get	VBP	get
there	RB	there
.	SENT	.
As	IN	as
you	PP	you
can	MD	can
see	VB	see
,	,	,
some	DT	some
people	NNS	people
sort	RB	sort
of	IN	of
miss	VB	miss
the	DT	the
runway	NN	runway
.	SENT	.
And	CC	and
then	RB	then
when	WRB	when
you	PP	you
land	VBP	land
there	RB	there
,	,	,
in	IN	in
Chukotka	NP	<unknown>
are	VBP	be
the	DT	the
Chukchis	NP	<unknown>
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
Chukchis	NP	<unknown>
are	VBP	be
the	DT	the
last	JJ	last
indigenous	JJ	indigenous
Inuits	NNS	<unknown>
of	IN	of
Siberia	NP	Siberia
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
people	NNS	people
I	NP	I
'	POS	'
d	NN	d
heard	VBD	hear
about	RB	about
,	,	,
I	PP	I
'	POS	'
d	NN	d
hardly	RB	hardly
seen	VBN	see
any	DT	any
images	NNS	image
of	IN	of
,	,	,
but	CC	but
I	PP	I
knew	VBD	know
they	PP	they
were	VBD	be
there	RB	there
,	,	,
and	CC	and
I	PP	I
'	POS	'
d	NN	d
been	VBN	be
in	IN	in
touch	NN	touch
with	IN	with
this	DT	this
guide	NN	guide
,	,	,
and	CC	and
this	DT	this
guide	NN	guide
said	VBD	say
,	,	,
"	``	"
There	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
fantastic	JJ	fantastic
tribe	NN	tribe
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
only	RB	only
about	IN	about
40	CD	@card@
of	IN	of
them	PP	them
.	SENT	.
You	PP	you
'	''	'
ll	NN	ll
be	VB	be
okay	JJ	okay
.	SENT	.
We	PP	we
'	POS	'
ll	NNS	<unknown>
find	VBP	find
them	PP	them
.	SENT	.
"	''	"
So	RB	so
off	IN	off
we	PP	we
went	VBD	go
on	IN	on
this	DT	this
journey	NN	journey
.	SENT	.
When	WRB	when
we	PP	we
arrived	VBD	arrive
there	RB	there
,	,	,
after	IN	after
a	DT	a
month	NN	month
of	IN	of
traveling	VBG	travel
across	IN	across
the	DT	the
ice	NN	ice
,	,	,
and	CC	and
we	PP	we
'	POS	'
d	NN	d
got	VBD	get
to	TO	to
them	PP	them
,	,	,
but	CC	but
then	RB	then
I	PP	I
was	VBD	be
not	RB	not
allowed	VBN	allow
to	TO	to
photograph	VB	photograph
them	PP	them
.	SENT	.
They	PP	they
said	VBD	say
,	,	,
"	``	"
You	PP	you
cannot	MD	can
photograph	VB	photograph
us	PP	us
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
wait	VB	wait
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
wait	VB	wait
until	IN	until
you	PP	you
get	VBP	get
to	TO	to
know	VB	know
us	PP	us
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
wait	VB	wait
until	IN	until
you	PP	you
understand	VBP	understand
us	PP	us
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
wait	VB	wait
until	IN	until
you	PP	you
see	VBP	see
how	WRB	how
we	PP	we
interact	VBP	interact
with	IN	with
one	CD	one
another	DT	another
.	SENT	.
"	''	"
And	CC	and
only	RB	only
then	RB	then
,	,	,
it	PP	it
was	VBD	be
many	JJ	many
,	,	,
many	JJ	many
weeks	NNS	week
later	RBR	later
,	,	,
I	PP	I
saw	VBD	see
a	DT	a
respect	NN	respect
.	SENT	.
They	PP	they
had	VBD	have
zero	CD	zero
judgment	NN	judgment
.	SENT	.
They	PP	they
observed	VBD	observe
one	PP	one
another	DT	another
,	,	,
from	IN	from
the	DT	the
youth	NN	youth
,	,	,
from	IN	from
the	DT	the
middle	NN	middle
aged	VBN	age
to	TO	to
the	DT	the
old	JJ	old
.	SENT	.
They	PP	they
need	VBP	need
each	DT	each
other	JJ	other
.	SENT	.
The	DT	the
children	NNS	child
need	VBP	need
to	TO	to
chew	VB	chew
the	DT	the
meat	NN	meat
all	DT	all
day	NN	day
because	IN	because
the	DT	the
adults	NNS	adult
don	NN	don
'	POS	'
t	NN	t
have	VBP	have
any	DT	any
teeth	NNS	tooth
,	,	,
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
the	DT	the
children	NNS	child
take	VBP	take
the	DT	the
old	JJ	old
aged	VBN	age
people	NNS	people
out	RP	out
to	TO	to
the	DT	the
toilet	NN	toilet
because	IN	because
they	PP	they
'	POS	'
re	NN	re
infirm	JJ	infirm
,	,	,
so	RB	so
there	RB	there
'	''	'
s	VBG	<unknown>
this	DT	this
fantastic	JJ	fantastic
community	NN	community
of	IN	of
respect	NN	respect
.	SENT	.
And	CC	and
they	PP	they
adore	VBP	adore
and	CC	and
admire	VBP	admire
one	PP	one
another	DT	another
,	,	,
and	CC	and
they	PP	they
truly	RB	truly
taught	VBD	teach
me	PP	me
what	WP	what
beauty	NN	beauty
was	VBD	be
.	SENT	.
Now	RB	now
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
ask	VB	ask
for	IN	for
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
audience	NN	audience
interaction	NN	interaction
.	SENT	.
This	DT	this
is	VBZ	be
extremely	RB	extremely
important	JJ	important
for	IN	for
the	DT	the
end	NN	end
of	IN	of
my	PP$	my
talk	NN	talk
.	SENT	.
If	IN	if
you	PP	you
could	MD	could
look	VB	look
at	IN	at
somebody	NN	somebody
left	VBN	leave
to	TO	to
the	DT	the
right	NN	right
of	IN	of
you	PP	you
,	,	,
and	CC	and
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
observe	VB	observe
them	PP	them
,	,	,
and	CC	and
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
give	VB	give
them	PP	them
a	DT	a
compliment	NN	compliment
.	SENT	.
This	DT	this
is	VBZ	be
very	RB	very
important	JJ	important
.	SENT	.
Now	RB	now
,	,	,
it	PP	it
may	MD	may
be	VB	be
their	PP$	their
nose	NN	nose
or	CC	or
their	PP$	their
hair	NN	hair
or	CC	or
even	RB	even
their	PP$	their
aura	NN	aura
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
mind	NN	mind
,	,	,
but	CC	but
please	VB	please
look	NN	look
at	IN	at
each	DT	each
other	JJ	other
,	,	,
give	VB	give
them	PP	them
a	DT	a
compliment	NN	compliment
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
be	VB	be
quick	JJ	quick
,	,	,
because	IN	because
I	PP	I
'	POS	'
m	NN	m
running	VBG	run
out	RP	out
of	IN	of
time	NN	time
.	SENT	.
And	CC	and
you	PP	you
have	VBP	have
to	TO	to
remember	VB	remember
it	PP	it
.	SENT	.
Okay	RB	okay
,	,	,
thank	VB	thank
you	PP	you
,	,	,
thank	VB	thank
you	PP	you
,	,	,
thank	VB	thank
you	PP	you
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
given	VBN	give
each	DT	each
other	JJ	other
compliments	NNS	compliment
.	SENT	.
Hold	VB	hold
that	DT	that
compliment	NN	compliment
very	RB	very
,	,	,
very	RB	very
tightly	RB	tightly
.	SENT	.
Hold	VB	hold
it	PP	it
for	IN	for
later	RBR	later
.	SENT	.
And	CC	and
the	DT	the
last	JJ	last
thing	NN	thing
,	,	,
it	PP	it
was	VBD	be
extraordinarily	RB	extraordinarily
profound	JJ	profound
,	,	,
and	CC	and
it	PP	it
happened	VBD	happen
only	RB	only
two	CD	two
weeks	NNS	week
ago	RB	ago
.	SENT	.
Two	CD	two
weeks	NNS	week
ago	RB	ago
I	PP	I
went	VBD	go
back	RB	back
to	TO	to
the	DT	the
Himba	NP	<unknown>
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
Himba	NP	<unknown>
live	VBP	live
in	IN	in
