First	JJ	first
to	TO	to
holler	VB	holler
at	IN	at
me	PP	me
.	SENT	.
You	PP	you
know	VBP	know
what	WP	what
I	PP	I
'	POS	'
m	NN	m
saying	NN	saying
?	SENT	?
Aight	NP	<unknown>
?	SENT	?
In	IN	in
the	DT	the
future	NN	future
or	CC	or
the	DT	the
present	NN	present
.	SENT	.
Yeah	RB	yeah
.	SENT	.
Enjoy	VB	enjoy
the	DT	the
rest	NN	rest
of	IN	of
it	PP	it
.	SENT	.
Okay	JJ	okay
,	,	,
next	JJ	next
question	NN	question
.	SENT	.
What	WP	what
do	VBP	do
you	PP	you
got	VBD	get
?	SENT	?
"	``	"
How	WRB	how
many	JJ	many
of	IN	of
your	PP$	your
organs	NNS	organ
have	VBP	have
been	VBN	be
3D	JJ	3D
printed	JJ	printed
?	SENT	?
"	``	"
Well	RB	well
I	PP	I
have	VBP	have
to	TO	to
say	VB	say
that	IN	that
I	PP	I
don	VB	don
'	''	'
t	NN	t
know	VBP	know
about	RB	about
how	WRB	how
many	JJ	many
of	IN	of
my	PP$	my
organs	NNS	organ
have	VBP	have
been	VBN	be
3-	CD	@card@
D	NN	D
printed	VBN	print
as	IN	as
such	JJ	such
,	,	,
but	CC	but
I	PP	I
can	MD	can
tell	VB	tell
you	PP	you
that	IN	that
it	PP	it
is	VBZ	be
so	RB	so
challenging	VBG	challenge
to	TO	to
me	PP	me
,	,	,
kind	NN	kind
of	IN	of
thinking	VBG	think
about	IN	about
this	DT	this
concept	NN	concept
of	IN	of
the	DT	the
future	JJ	future
and	CC	and
that	WDT	that
,	,	,
you	PP	you
know	VBP	know
,	,	,
all	RB	all
around	IN	around
the	DT	the
world	NN	world
parents	NNS	parent
are	VBP	be
kind	JJ	kind
of	IN	of
telling	VBG	tell
their	PP$	their
small	JJ	small
children	NNS	child
,	,	,
please	UH	please
,	,	,
you	PP	you
have	VBP	have
to	TO	to
eat	VB	eat
that	IN	that
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
have	VBP	have
slaved	VBN	slave
over	IN	over
a	DT	a
hot	JJ	hot
3D	JJ	3D
printer	NN	printer
all	DT	all
day	NN	day
so	RB	so
that	IN	that
you	PP	you
can	MD	can
have	VB	have
this	DT	this
meal	NN	meal
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
that	DT	that
kind	NN	kind
of	IN	of
thing	NN	thing
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
now	RB	now
that	IN	that
we	PP	we
have	VBP	have
changed	VBN	change
,	,	,
you	PP	you
know	VBP	know
,	,	,
from	IN	from
the	DT	the
global	JJ	global
South	NP	South
,	,	,
there	EX	there
is	VBZ	be
this	DT	this
total	JJ	total
kind	NN	kind
of	IN	of
perspective	NN	perspective
shift	NN	shift
that	WDT	that
is	VBZ	be
happening	VBG	happen
around	RP	around
the	DT	the
â	NP	<unknown>
You	PP	you
can	MD	can
'	''	'
t	NN	t
just	RB	just
say	VBP	say
to	TO	to
them	PP	them
,	,	,
well	RB	well
,	,	,
there	EX	there
are	VBP	be
starving	VBG	starve
children	NNS	child
.	SENT	.
Well	RB	well
,	,	,
it	PP	it
is	VBZ	be
the	DT	the
future	NN	future
.	SENT	.
Nobody	NN	nobody
is	VBZ	be
starving	VBG	starve
anymore	RB	anymore
,	,	,
thank	VBP	thank
God	NP	God
.	SENT	.
But	CC	but
as	IN	as
you	PP	you
can	MD	can
tell	VB	tell
I	PP	I
have	VBP	have
kind	NN	kind
of	IN	of
that	DT	that
optimism	NN	optimism
,	,	,
and	CC	and
I	PP	I
do	VBP	do
hope	NN	hope
that	IN	that
we	PP	we
can	MD	can
continue	VB	continue
to	TO	to
kind	NN	kind
of	IN	of
3D	JJ	3D
print	NN	print
,	,	,
well	RB	well
,	,	,
let	VB	let
us	PP	us
just	RB	just
say	VBP	say
I	PP	I
like	VBP	like
to	TO	to
think	VB	think
that	IN	that
even	RB	even
in	IN	in
the	DT	the
future	NN	future
we	PP	we
will	MD	will
have	VB	have
the	DT	the
publication	NN	publication
,	,	,
kind	NN	kind
of	IN	of
,	,	,
you	PP	you
know	VBP	know
,	,	,
all	PDT	all
the	DT	the
food	NN	food
that	RB	that
'	POS	'
s	NNS	<unknown>
fit	VBP	fit
to	TO	to
print	VB	print
.	SENT	.
But	CC	but
everybody	NN	everybody
,	,	,
please	RB	please
do	VBP	do
enjoy	VB	enjoy
that	IN	that
,	,	,
and	CC	and
again	RB	again
,	,	,
I	PP	I
think	VBP	think
that	IN	that
you	PP	you
do	VBP	do
throw	VB	throw
a	DT	a
cracking	VBG	crack
good	JJ	good
party	NN	party
here	RB	here
at	IN	at
TED	VB	ted
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Next	JJ	next
question	NN	question
.	SENT	.
What	WP	what
has	VBZ	have
changed	VBN	change
?	SENT	?
Okay	RB	okay
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
like	VBP	like
,	,	,
I	PP	I
have	VBP	have
to	TO	to
think	VB	think
about	IN	about
that	DT	that
.	SENT	.
"	``	"
What	WP	what
has	VBZ	have
changed	VBN	change
now	RB	now
that	IN	that
women	NNS	woman
run	VBP	run
the	DT	the
world	NN	world
?	SENT	?
"	''	"
First	RB	first
of	IN	of
all	DT	all
,	,	,
I	PP	I
really	RB	really
,	,	,
like	VB	like
,	,	,
I	PP	I
just	RB	just
want	VBP	want
to	TO	to
say	VB	say
,	,	,
and	CC	and
my	PP$	my
name	NN	name
is	VBZ	be
Bella	NP	Bella
,	,	,
I	PP	I
just	RB	just
want	VBP	want
to	TO	to
,	,	,
like	VB	like
,	,	,
identify	VB	identify
myself	PP	myself
,	,	,
that	IN	that
,	,	,
like	IN	like
,	,	,
as	IN	as
a	DT	a
feminist	NN	feminist
,	,	,
I	PP	I
,	,	,
like	VB	like
,	,	,
I	PP	I
really	RB	really
find	VBP	find
that	IN	that
,	,	,
like	IN	like
,	,	,
because	IN	because
I	PP	I
was	VBD	be
born	VBN	bear
in	IN	in
the	DT	the
'	''	'
90s	NNS	<unknown>
,	,	,
and	CC	and
,	,	,
like	IN	like
,	,	,
there	EX	there
were	VBD	be
a	DT	a
lot	NN	lot
of	IN	of
women	NNS	woman
who	WP	who
were	VBD	be
as	RB	as
far	RB	far
as	IN	as
feminism	NN	feminism
was	VBD	be
concerned	VBN	concern
,	,	,
like	VB	like
,	,	,
maybe	RB	maybe
they	PP	they
didn	NP	<unknown>
'	POS	'
t	NN	t
understand	VBP	understand
that	IN	that
,	,	,
like	IN	like
,	,	,
a	DT	a
feminist	NN	feminist
like	IN	like
me	PP	me
,	,	,
like	VB	like
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VB	think
it	PP	it
'	POS	'
s	NN	S
required	VBD	require
that	IN	that
you	PP	you
have	VBP	have
to	TO	to
have	VB	have
a	DT	a
certain	JJ	certain
kind	NN	kind
of	IN	of
voice	NN	voice
,	,	,
or	CC	or
,	,	,
like	IN	like
,	,	,
a	DT	a
certain	JJ	certain
way	NN	way
of	IN	of
presenting	VBG	present
yourself	PP	yourself
to	TO	to
be	VB	be
feminist	JJ	feminist
,	,	,
because	IN	because
I	PP	I
think	VBP	think
that	IN	that
,	,	,
like	IN	like
,	,	,
feminism	NN	feminism
can	MD	can
be	VB	be
really	RB	really
hot	JJ	hot
,	,	,
and	CC	and
I	PP	I
think	VBP	think
actually	RB	actually
that	IN	that
it	PP	it
'	POS	'
s	NN	S
really	RB	really
vital	JJ	vital
and	CC	and
important	JJ	important
.	SENT	.
Like	IN	like
,	,	,
the	DT	the
quotation	NN	quotation
I	PP	I
'	POS	'
m	NN	m
wearing	VBG	wear
is	VBZ	be
from	IN	from
,	,	,
like	VB	like
,	,	,
Gloria	NP	Gloria
Steinem	NP	Steinem
,	,	,
and	CC	and
,	,	,
like	IN	like
,	,	,
I	PP	I
'	POS	'
m	NN	m
named	VBN	name
Bella	NP	Bella
for	IN	for
,	,	,
like	VB	like
,	,	,
Bella	NP	Bella
Abzug	NP	<unknown>
,	,	,
who	WP	who
'	POS	'
s	NN	S
,	,	,
like	VB	like
,	,	,
obviously	RB	obviously
,	,	,
like	VB	like
,	,	,
a	DT	a
really	RB	really
important	JJ	important
feminist	NN	feminist
from	IN	from
,	,	,
like	VB	like
,	,	,
history	NN	history
,	,	,
and	CC	and
like	IN	like
,	,	,
I	PP	I
just	RB	just
think	VBP	think
that	IN	that
those	DT	those
women	NNS	woman
,	,	,
like	VB	like
,	,	,
really	RB	really
represent	VBP	represent
,	,	,
like	VBP	like
,	,	,
that	IN	that
you	PP	you
can	MD	can
,	,	,
like	VB	like
,	,	,
be	VB	be
vital	JJ	vital
and	CC	and
,	,	,
like	IN	like
,	,	,
amazing	JJ	amazing
,	,	,
like	JJ	like
,	,	,
a-mazing	VBG	a-maze
,	,	,
and	CC	and
you	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
wear	VB	wear
,	,	,
like	VB	like
,	,	,
an	DT	an
Eileen	NP	Eileen
Fisher	NP	Fisher
caftan	NN	caftan
,	,	,
just	RB	just
to	TO	to
,	,	,
like	VB	like
,	,	,
prove	VBP	prove
that	IN	that
you	PP	you
are	VBP	be
a	DT	a
feminist	NN	feminist
.	SENT	.
Like	IN	like
,	,	,
not	RB	not
that	IN	that
there	EX	there
'	''	'
s	NN	S
anything	NN	anything
wrong	JJ	wrong
with	IN	with
that	DT	that
,	,	,
but	CC	but
my	PP$	my
mom	NN	mom
,	,	,
she	PP	she
'	POS	'
s	NNS	<unknown>
like	VBP	like
,	,	,
like	VBP	like
,	,	,
why	WRB	why
do	VBP	do
you	PP	you
have	VBP	have
to	TO	to
wear	VB	wear
pants	NNS	pant
that	WDT	that
,	,	,
like	IN	like
,	,	,
objectify	VB	objectify
your	PP$	your
body	NN	body
?	SENT	?
I	PP	I
like	VBP	like
my	PP$	my
pants	NNS	pant
.	SENT	.
Like	IN	like
,	,	,
I	PP	I
like	VBP	like
my	PP$	my
voice	NN	voice
.	SENT	.
Like	IN	like
,	,	,
she	PP	she
'	POS	'
s	NNS	<unknown>
like	VBP	like
,	,	,
why	WRB	why
do	VBP	do
you	PP	you
have	VBP	have
to	TO	to
talk	VB	talk
like	IN	like
â	NP	<unknown>
Talk	NP	Talk
like	IN	like
what	WP	what
?	SENT	?
Like	IN	like
,	,	,
I	PP	I
'	POS	'
m	NN	m
expressing	VBG	express
myself	PP	myself
,	,	,
and	CC	and
I	PP	I
think	VBP	think
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
,	,	,
like	VB	like
,	,	,
reach	VB	reach
out	RP	out
,	,	,
like	VB	like
,	,	,
not	RB	not
only	RB	only
across	IN	across
,	,	,
like	VB	like
,	,	,
the	DT	the
different	JJ	different
generations	NNS	generation
of	IN	of
feminists	NNS	feminist
,	,	,
but	CC	but
also	RB	also
across	IN	across
the	DT	the
,	,	,
like	VB	like
,	,	,
vocal	JJ	vocal
ranges	NNS	range
,	,	,
so	RB	so
that	IN	that
,	,	,
like	IN	like
,	,	,
we	PP	we
,	,	,
because	IN	because
otherwise	RB	otherwise
it	PP	it
'	POS	'
s	NN	S
just	RB	just
,	,	,
like	JJ	like
,	,	,
restriculous	JJ	<unknown>
within	IN	within
feminism	NN	feminism
,	,	,
which	WDT	which
is	VBZ	be
just	RB	just
,	,	,
like	VB	like
,	,	,
a	DT	a
word	NN	word
that	IN	that
I	PP	I
created	VBD	create
that	IN	that
means	NNS	mean
,	,	,
like	VB	like
,	,	,
so	RB	so
strict	JJ	strict
it	PP	it
'	''	'
s	NNS	<unknown>
ridiculous	JJ	ridiculous
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	VBG	<unknown>
my	PP$	my
feeling	NN	feeling
about	IN	about
that	DT	that
.	SENT	.
You	PP	you
guys	NNS	guy
are	VBP	be
a-mazing	VBG	a-maze
,	,	,
by	IN	by
the	DT	the
way	NN	way
.	SENT	.
Okay	JJ	okay
.	SENT	.
Next	JJ	next
question	NN	question
.	SENT	.
[	SYM	[
"	``	"
They	PP	they
'	POS	'
ve	NN	ve
discovered	VBD	discover
a	DT	a
cure	NN	cure
for	IN	for
cancer	NN	cancer
,	,	,
but	CC	but
not	RB	not
baldness	NN	baldness
?	SENT	?
What	WP	what
'	POS	'
s	NNS	<unknown>
up	RP	up
with	IN	with
that	DT	that
?	SENT	?
"	''	"
]	SYM	]
Yeah	RB	yeah
,	,	,
you	PP	you
know	VBP	know
what	WP	what
,	,	,
so	IN	so
my	PP$	my
name	NN	name
is	VBZ	be
Joseph	NP	Joseph
Mancuso	NP	Mancuso
.	SENT	.
First	JJ	first
of	IN	of
all	DT	all
,	,	,
I	PP	I
just	RB	just
want	VBP	want
to	TO	to
say	VB	say
that	IN	that
I	PP	I
appreciate	VBP	appreciate
that	RB	that
TED	VB	ted
in	IN	in
general	NN	general
has	VBZ	have
been	VBN	be
a	DT	a
pretty	RB	pretty
orderly	JJ	orderly
crowd	NN	crowd
,	,	,
a	DT	a
pretty	RB	pretty
orderly	JJ	orderly
group	NN	group
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
just	RB	just
have	VB	have
to	TO	to
say	VB	say
,	,	,
the	DT	the
whole	JJ	whole
thing	NN	thing
with	IN	with
baldness	NN	baldness
,	,	,
and	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
thing	NN	thing
.	SENT	.
As	RB	as
long	RB	long
as	IN	as
the	DT	the
woman	NN	woman
,	,	,
in	IN	in
my	PP$	my
case	NN	case
â	NP	<unknown>
because	IN	because
it	PP	it
'	POS	'
s	NN	S
a	DT	a
modern	JJ	modern
world	NN	world
,	,	,
do	VBP	do
whatever	WDT	whatever
you	PP	you
want	VBP	want
to	TO	to
do	VB	do
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
any	DT	any
problem	NN	problem
with	IN	with
anybody	NN	anybody
,	,	,
enjoy	VB	enjoy
yourself	PP	yourself
,	,	,
LGBTQLMNOP	NP	<unknown>
.	SENT	.
All	DT	all
right	NN	right
?	SENT	?
But	CC	but
as	RB	as
far	RB	far
as	IN	as
I	PP	I
'	POS	'
m	NN	m
concerned	JJ	concerned
,	,	,
attractiveness	NN	attractiveness
,	,	,
women	NNS	woman
don	NN	don
'	POS	'
t	NN	t
really	RB	really
care	VBP	care
as	RB	as
much	RB	much
as	IN	as
you	PP	you
think	VBP	think
they	PP	they
do	VBP	do
about	IN	about
the	DT	the
,	,	,
you	PP	you
know	VBP	know
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
remember	VBP	remember
hearing	VBG	hear
this	DT	this
woman	NN	woman
.	SENT	.
She	PP	she
loved	VBD	love
her	PP$	her
husband	NN	husband
,	,	,
it	PP	it
was	VBD	be
the	DT	the
sweetest	JJS	sweet
thing	NN	thing
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
pretty	RB	pretty
young	JJ	young
girl	NN	girl
,	,	,
you	PP	you
know	VBP	know
?	SENT	?
And	CC	and
this	DT	this
guy	NN	guy
'	POS	'
s	JJ	<unknown>
older	JJR	old
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
she	PP	she
said	VBD	say
she	PP	she
would	MD	would
love	VB	love
him	PP	him
even	RB	even
if	IN	if
he	PP	he
had	VBD	have
snow	NN	snow
on	IN	on
the	DT	the
roof	NN	roof
or	CC	or
even	RB	even
if	IN	if
melted	VBN	melt
and	CC	and
disappeared	VBN	disappear
altogether	RB	altogether
.	SENT	.
As	RB	as
far	RB	far
as	IN	as
I	PP	I
'	POS	'
m	NN	m
concerned	JJ	concerned
,	,	,
it	PP	it
'	POS	'
s	NN	S
about	IN	about
the	DT	the
love	NN	love
.	SENT	.
Am	VBP	be
I	PP	I
right	JJ	right
,	,	,
or	CC	or
am	VBP	be
I	PP	I
right	JJ	right
?	SENT	?
So	IN	so
that	DT	that
'	''	'
s	VBG	<unknown>
it	PP	it
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
it	PP	it
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
it	PP	it
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
got	VBD	get
nothing	NN	nothing
more	RBR	more
to	TO	to
say	VB	say
.	SENT	.
Keep	VB	keep
your	PP$	your
noses	NNS	nose
clean	VB	clean
.	SENT	.
All	DT	all
right	NN	right
,	,	,
next	JJ	next
question	NN	question
.	SENT	.
"	''	"
Have	VB	have
you	PP	you
ever	RB	ever
tasted	VBD	taste
meat	NN	meat
that	RB	that
'	POS	'
s	NN	S
not	RB	not
lab	NN	lab
grown	VBN	grow
?	SENT	?
"	''	"
Um	NP	Um
,	,	,
well	RB	well
,	,	,
I	PP	I
,	,	,
I	PP	I
want	VBP	want
to	TO	to
start	VB	start
by	IN	by
saying	VBG	say
that	IN	that
this	DT	this
is	VBZ	be
a	DT	a
very	RB	very
difficult	JJ	difficult
experience	NN	experience
for	IN	for
a	DT	a
Chinese-American	NP	Chinese-American
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
what	WP	what
to	TO	to
call	VB	call
myself	PP	myself
now	RB	now
,	,	,
because	IN	because
I	PP	I
have	VBP	have
really	RB	really
my	PP$	my
Chinese	JJ	Chinese
identity	NN	identity
,	,	,
but	CC	but
my	PP$	my
kids	NNS	kid
,	,	,
they	PP	they
are	VBP	be
American-Chinese	JJ	American-Chinese
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
difficult	JJ	difficult
to	TO	to
try	VB	try
to	TO	to
express	VB	express
myself	PP	myself
in	IN	in
front	NN	front
of	IN	of
audience	NN	audience
of	IN	of
people	NNS	people
like	IN	like
this	DT	this
.	SENT	.
But	CC	but
if	IN	if
had	VBD	have
to	TO	to
give	VB	give
my	PP$	my
opinion	NN	opinion
about	IN	about
meat	NN	meat
,	,	,
I	PP	I
think	VBP	think
first	RB	first
,	,	,
the	DT	the
most	RBS	most
important	JJ	important
thing	NN	thing
is	VBZ	be
to	TO	to
say	VB	say
that	IN	that
we	PP	we
don	VB	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
have	VB	have
perfect	JJ	perfect
food	NN	food
,	,	,
but	CC	but
maybe	RB	maybe
it	PP	it
can	MD	can
also	RB	also
not	RB	not
be	VB	be
poison	JJ	poison
.	SENT	.
Maybe	RB	maybe
we	PP	we
can	MD	can
have	VB	have
some	DT	some
middle	JJ	middle
ground	NN	ground
for	IN	for
that	DT	that
.	SENT	.
But	CC	but
I	PP	I
will	MD	will
continue	VB	continue
to	TO	to
consider	VB	consider
this	DT	this
idea	NN	idea
,	,	,
and	CC	and
I	PP	I
will	MD	will
report	VB	report
back	RB	back
maybe	RB	maybe
next	JJ	next
year	NN	year
.	SENT	.
Next	JJ	next
.	SENT	.
Next	JJ	next
.	SENT	.
Next	JJ	next
.	SENT	.
"	''	"
Will	MD	will
there	RB	there
ever	RB	ever
be	VB	be
a	DT	a
post-racial	JJ	post-racial
world	NN	world
?	SENT	?
"	``	"
Thank	VB	thank
you	PP	you
for	IN	for
having	VBG	have
me	PP	me
.	SENT	.
My	PP$	my
name	NN	name
is	VBZ	be
Gary	NP	Gary
Weaselhead	NP	<unknown>
.	SENT	.
Enjoy	VB	enjoy
that	DT	that
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
member	NN	member
of	IN	of
the	DT	the
Blackfeet	NN	Blackfeet
Nation	NN	nation
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
also	RB	also
half	DT	half
Lakota	NP	Lakota
,	,	,
but	CC	but
that	DT	that
is	VBZ	be
my	PP$	my
given	VBN	give
name	NN	name
,	,	,
and	CC	and
no	RB	no
,	,	,
even	RB	even
though	IN	though
it	PP	it
would	MD	would
have	VB	have
seemed	VBN	seem
like	IN	like
an	DT	an
obvious	JJ	obvious
choice	NN	choice
,	,	,
no	UH	no
,	,	,
I	PP	I
did	VBD	do
not	RB	not
go	VB	go
into	IN	into
politics	NNS	politics
.	SENT	.
Tough	JJ	tough
crowd	NN	crowd
.	SENT	.
But	CC	but
I	PP	I
always	RB	always
like	VBP	like
to	TO	to
just	RB	just
let	VB	let
people	NNS	people
know	VB	know
when	WRB	when
they	PP	they
ask	VBP	ask
about	IN	about
race	NN	race
or	CC	or
those	DT	those
kinds	NNS	kind
of	IN	of
things	NNS	thing
,	,	,
you	PP	you
know	VBP	know
,	,	,
as	IN	as
a	DT	a
member	NN	member
of	IN	of
the	DT	the
First	NP	First
Nations	NPS	Nations
community	NN	community
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
m	NN	m
probably	RB	probably
not	RB	not
your	PP$	your
typical	JJ	typical
guy	NN	guy
.	SENT	.
For	IN	for
example	NN	example
,	,	,
in	IN	in
addition	NN	addition
to	TO	to
being	VBG	be
an	DT	an
activist	NN	activist
,	,	,
I	PP	I
'	POS	'
m	NN	m
also	RB	also
a	DT	a
professional	JJ	professional
stand-up	JJ	stand-up
comedian	NN	comedian
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
m	NN	m
most	RBS	most
popular	JJ	popular
on	IN	on
college	NN	college
and	CC	and
university	NN	university
campuses	NNS	campus
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
whenever	WRB	whenever
they	PP	they
want	VBP	want
to	TO	to
do	VB	do
a	DT	a
diversity	NN	diversity
day	NN	day
,	,	,
or	CC	or
hey-we	NP	<unknown>
'	POS	'
re-not-	NN	<unknown>
all-white	JJ	all-white
week	NN	week
,	,	,
then	RB	then
I	NP	I
'	POS	'
m	NN	m
there	RB	there
.	SENT	.
Do	VBP	do
I	PP	I
think	VBP	think
there	EX	there
will	MD	will
ever	RB	ever
be	VB	be
a	DT	a
post-racial	JJ	post-racial
world	NN	world
?	SENT	?
I	PP	I
think	VBP	think
,	,	,
really	RB	really
,	,	,
I	PP	I
can	MD	can
'	''	'
t	NN	t
talk	NN	talk
about	IN	about
race	NN	race
without	IN	without
remembering	VBG	remember
that	IN	that
it	PP	it
is	VBZ	be
a	DT	a
construct	NN	construct
in	IN	in
certain	JJ	certain
respects	NNS	respect
,	,	,
but	CC	but
also	RB	also
that	WDT	that
,	,	,
you	PP	you
know	VBP	know
,	,	,
until	IN	until
we	PP	we
redress	VBP	redress
the	DT	the
wrongs	NNS	wrong
of	IN	of
the	DT	the
past	NN	past
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
be	VB	be
turned	VBN	turn
around	RP	around
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
care	NN	care
if	IN	if
the	DT	the
present	NN	present
is	VBZ	be
the	DT	the
new	JJ	new
future	NN	future
.	SENT	.
I	PP	I
think	VBP	think
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
great	JJ	great
people	NNS	people
here	RB	here
at	IN	at
TED	VB	ted
who	WP	who
are	VBP	be
working	VBG	work
to	TO	to
address	VB	address
that	IN	that
,	,	,
so	RB	so
with	IN	with
that	IN	that
,	,	,
if	IN	if
anything	NN	anything
I	NP	I
'	POS	'
ve	NN	ve
said	VBD	say
today	NN	today
makes	NNS	make
you	PP	you
feel	VBP	feel
uncomfortable	JJ	uncomfortable
,	,	,
you	PP	you
'	POS	'
re	NN	re
welcome	NN	welcome
.	SENT	.
I	PP	I
think	VBP	think
we	PP	we
have	VBP	have
time	NN	time
for	IN	for
one	CD	one
more	JJR	more
.	SENT	.
"	``	"
What	WP	what
'	POS	'
s	NN	S
the	DT	the
most	RBS	most
popular	JJ	popular
diet	NN	diet
these	DT	these
days	NNS	day
?	SENT	?
"	``	"
Who	WP	who
'	POS	'
s	NN	S
here	RB	here
?	SENT	?
Okay	RB	okay
,	,	,
well	RB	well
,	,	,
I	PP	I
'	POS	'
m	NN	m
just	RB	just
gonna	VBG	gonna
answer	VB	answer
this	DT	this
really	RB	really
fast	JJ	fast
,	,	,
as	RB	as
,	,	,
like	VB	like
,	,	,
three	CD	three
or	CC	or
four	CD	four
different	JJ	different
people	NNS	people
.	SENT	.
I	PP	I
mean	VBP	mean
really	RB	really
fast	RB	fast
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
just	RB	just
gonna	VBG	gonna
let	VB	let
y	NP	y
'	POS	'
all	RB	all
know	VBP	know
that	IN	that
,	,	,
as	IN	as
far	RB	far
as	IN	as
diet	NN	diet
is	VBZ	be
concerned	VBN	concern
,	,	,
if	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
love	VBP	love
yourself	PP	yourself
inside	RB	inside
,	,	,
there	EX	there
is	VBZ	be
no	DT	no
diet	NN	diet
on	IN	on
this	DT	this
Earth	NN	earth
that	WDT	that
is	VBZ	be
going	VBG	go
to	TO	to
make	VB	make
your	PP$	your
behind	RB	behind
small	JJ	small
enough	RB	enough
for	IN	for
you	PP	you
to	TO	to
feel	VB	feel
good	JJ	good
,	,	,
so	RB	so
just	RB	just
stop	VB	stop
wasting	VBG	waste
your	PP$	your
time	NN	time
.	SENT	.
I	PP	I
would	MD	would
just	RB	just
like	VB	like
to	TO	to
say	VB	say
as	IN	as
an	DT	an
African	JJ	African
woman	NN	woman
that	IN	that
I	PP	I
believe	VBP	believe
the	DT	the
diet	NN	diet
that	IN	that
we	PP	we
need	VBP	need
is	VBZ	be
really	RB	really
to	TO	to
remove	VB	remove
the	DT	the
crazy	JJ	crazy
belief	NN	belief
that	IN	that
there	EX	there
is	VBZ	be
anything	NN	anything
wrong	JJ	wrong
with	IN	with
a	DT	a
nice	JJ	nice
backside	NN	backside
.	SENT	.
No	UH	no
,	,	,
I	PP	I
am	VBP	be
teasing	VBG	tease
about	IN	about
that	DT	that
.	SENT	.
There	EX	there
is	VBZ	be
nothing	NN	nothing
wrong	JJ	wrong
with	IN	with
a	DT	a
woman	NN	woman
of	IN	of
size	NN	size
.	SENT	.
That	DT	that
is	VBZ	be
what	WP	what
I	PP	I
am	VBP	be
trying	VBG	try
to	TO	to
say	VB	say
.	SENT	.
Women	NNS	woman
,	,	,
celebrate	VB	celebrate
your	PP$	your
body	NN	body
,	,	,
for	IN	for
God	NP	God
'	POS	'
s	NN	S
sake	NN	sake
.	SENT	.
Stop	VB	stop
running	VBG	run
around	IN	around
starving	VBG	starve
.	SENT	.
You	PP	you
are	VBP	be
making	VBG	make
yourselves	PP	yourselves
and	CC	and
other	JJ	other
people	NNS	people
miserable	JJ	miserable
.	SENT	.
Last	JJ	last
answer	NN	answer
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
re	NN	re
talking	VBG	talk
about	IN	about
what	WP	what
'	POS	'
s	NN	S
the	DT	the
most	RBS	most
popular	JJ	popular
diet	NN	diet
?	SENT	?
I	NP	I
'	POS	'
m	NN	m
gonna	VBG	gonna
start	NN	start
off	RP	off
by	IN	by
telling	VBG	tell
y	NP	y
'	POS	'
all	RB	all
that	IN	that
this	DT	this
is	VBZ	be
my	PP$	my
first	JJ	first
time	NN	time
here	RB	here
at	IN	at
TED	VB	ted
.	SENT	.
I	PP	I
might	MD	might
not	RB	not
be	VB	be
your	PP$	your
typical	JJ	typical
person	NN	person
you	PP	you
find	VBP	find
on	IN	on
this	DT	this
stage	NN	stage
.	SENT	.
My	PP$	my
dental	JJ	dental
work	NN	work
not	RB	not
as	RB	as
nice	JJ	nice
as	IN	as
some	DT	some
people	NNS	people
.	SENT	.
But	CC	but
I	PP	I
made	VBD	make
Sarah	NP	Sarah
Jones	NP	Jones
promise	VBP	promise
she	PP	she
gonna	VBG	gonna
