Lily	NP	Lily
see	VBP	see
that	IN	that
Big	NP	Big
Bang	NP	Bang
light	NN	light
.	SENT	.
The	DT	the
actual	JJ	actual
universe	NN	universe
,	,	,
we	PP	we
think	VBP	think
extends	VBZ	extend
far	RB	far
beyond	IN	beyond
the	DT	the
edge	NN	edge
of	IN	of
the	DT	the
observable	JJ	observable
universe	NN	universe
.	SENT	.
The	DT	the
observable	JJ	observable
universe	NN	universe
is	VBZ	be
just	RB	just
a	DT	a
perspective	NN	perspective
thing	NN	thing
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
like	IN	like
a	DT	a
horizon	NN	horizon
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
on	IN	on
Earth	NP	Earth
,	,	,
you	PP	you
can	MD	can
only	RB	only
see	VB	see
so	RB	so
far	RB	far
because	RB	because
of	IN	of
where	WRB	where
you	PP	you
'	POS	'
re	NN	re
standing	NN	standing
,	,	,
but	CC	but
the	DT	the
Earth	NN	earth
keeps	VBZ	keep
going	VBG	go
beyond	IN	beyond
the	DT	the
horizon	NN	horizon
.	SENT	.
And	CC	and
similarly	RB	similarly
,	,	,
with	IN	with
the	DT	the
universe	NN	universe
,	,	,
we	PP	we
'	POS	'
re	NN	re
pretty	RB	pretty
sure	JJ	sure
that	IN	that
it	PP	it
extends	VBZ	extend
much	RB	much
,	,	,
much	RB	much
farther	JJR	farther
than	IN	than
what	WP	what
we	PP	we
can	MD	can
see	VB	see
,	,	,
what	WP	what
we	PP	we
can	MD	can
observe	VB	observe
.	SENT	.
But	CC	but
we	PP	we
can	MD	can
see	VB	see
the	DT	the
observable	JJ	observable
universe	NN	universe
and	CC	and
we	PP	we
can	MD	can
study	VB	study
,	,	,
we	PP	we
can	MD	can
learn	VB	learn
about	IN	about
the	DT	the
observable	JJ	observable
universe	NN	universe
,	,	,
and	CC	and
we	PP	we
can	MD	can
'	''	'
t	NN	t
get	VB	get
any	DT	any
information	NN	information
about	IN	about
what	WP	what
'	POS	'
s	NN	S
beyond	IN	beyond
it	PP	it
.	SENT	.
So	RB	so
,	,	,
you	PP	you
know	VBP	know
,	,	,
that	WDT	that
brings	VBZ	bring
up	RP	up
things	NNS	thing
like	IN	like
a	DT	a
multiverse	NN	multiverse
,	,	,
where	WRB	where
you	PP	you
can	MD	can
have	VB	have
regions	NNS	region
of	IN	of
space	NN	space
that	WDT	that
are	VBP	be
so	RB	so
far	RB	far
away	RB	away
from	IN	from
us	PP	us
that	IN	that
they	PP	they
'	''	'
re	IN	re
effectively	RB	effectively
another	DT	another
universe	NN	universe
,	,	,
and	CC	and
those	DT	those
regions	NNS	region
can	MD	can
have	VB	have
a	DT	a
totally	RB	totally
different	JJ	different
history	NN	history
,	,	,
a	DT	a
totally	RB	totally
different	JJ	different
future	NN	future
,	,	,
different	JJ	different
laws	NNS	law
of	IN	of
physics	NNS	physic
even	RB	even
.	SENT	.
So	RB	so
,	,	,
there	EX	there
are	VBP	be
possibilities	NNS	possibility
for	IN	for
things	NNS	thing
that	WDT	that
carry	VBP	carry
on	RP	on
long	RB	long
after	IN	after
our	PP$	our
observable	JJ	observable
universe	NN	universe
is	VBZ	be
decayed	VBN	decay
into	IN	into
entropy	NN	entropy
or	CC	or
maybe	RB	maybe
meets	VBZ	meet
another	DT	another
fate	NN	fate
.	SENT	.
And	CC	and
there	EX	there
are	VBP	be
even	RB	even
possibilities	NNS	possibility
where	WRB	where
there	EX	there
could	MD	could
be	VB	be
higher	JJR	high
dimensions	NNS	dimension
of	IN	of
space	NN	space
,	,	,
like	IN	like
directions	NNS	direction
that	IN	that
we	PP	we
can	MD	can
'	''	'
t	NN	t
conceive	VB	conceive
,	,	,
you	PP	you
know	VBP	know
,	,	,
space	NN	space
that	RB	that
'	POS	'
s	NNS	<unknown>
separated	JJ	separated
from	IN	from
us	PP	us
by	IN	by
some	DT	some
other	JJ	other
dimension	NN	dimension
of	IN	of
space	NN	space
,	,	,
some	DT	some
other	JJ	other
direction	NN	direction
that	IN	that
we	PP	we
don	VB	don
'	''	'
t	NN	t
,	,	,
you	PP	you
know	VBP	know
,	,	,
perpendicular	JJ	perpendicular
to	TO	to
all	DT	all
of	IN	of
our	PP$	our
spatial	JJ	spatial
directions	NNS	direction
,	,	,
which	WDT	which
I	PP	I
can	MD	can
'	''	'
t	NN	t
sort	NN	sort
of	IN	of
envision	VB	envision
.	SENT	.
But	CC	but
mathematically	RB	mathematically
,	,	,
that	WDT	that
makes	VBZ	make
sense	NN	sense
in	IN	in
some	DT	some
ways	NNS	way
.	SENT	.
So	RB	so
there	EX	there
are	VBP	be
those	DT	those
kinds	NNS	kind
of	IN	of
possibilities	NNS	possibility
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
,	,	,
you	PP	you
can	MD	can
get	VB	get
into	IN	into
really	RB	really
weird	JJ	weird
stuff	NN	stuff
about	IN	about
the	DT	the
nature	NN	nature
of	IN	of
space	NN	space
and	CC	and
time	NN	time
with	IN	with
you	PP	you
if	IN	if
you	PP	you
really	RB	really
dig	VBP	dig
into	IN	into
it	PP	it
.	SENT	.
But	CC	but
in	IN	in
the	DT	the
book	NN	book
,	,	,
I	PP	I
really	RB	really
just	RB	just
talk	VB	talk
about	IN	about
our	PP$	our
observable	JJ	observable
universe	NN	universe
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
fate	NN	fate
of	IN	of
that	WDT	that
,	,	,
because	IN	because
that	DT	that
'	''	'
s	NNS	<unknown>
all	RB	all
we	PP	we
can	MD	can
really	RB	really
study	VB	study
.	SENT	.
I	PP	I
do	VBP	do
talk	VB	talk
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
the	DT	the
multiverse	NN	multiverse
and	CC	and
the	DT	the
possibilities	NNS	possibility
of	IN	of
other	JJ	other
parts	NNS	part
of	IN	of
space	NN	space
.	SENT	.
But	CC	but
in	IN	in
terms	NNS	term
of	IN	of
what	WP	what
happens	VBZ	happen
when	WRB	when
our	PP$	our
universe	NN	universe
is	VBZ	be
destroyed	VBN	destroy
,	,	,
I	PP	I
mean	VBP	mean
,	,	,
it	PP	it
depends	VBZ	depend
on	IN	on
how	WRB	how
it	PP	it
'	POS	'
s	NN	S
destroyed	VBD	destroy
,	,	,
whether	IN	whether
there	EX	there
'	''	'
s	NNS	<unknown>
,	,	,
you	PP	you
know	VBP	know
,	,	,
the	DT	the
observable	JJ	observable
universe	NN	universe
is	VBZ	be
over	IN	over
but	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
more	JJR	more
space	NN	space
beyond	IN	beyond
it	PP	it
or	CC	or
not	RB	not
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	VBG	<unknown>
all	PDT	all
the	DT	the
realm	NN	realm
of	IN	of
speculation	NN	speculation
at	IN	at
the	DT	the
moment	NN	moment
.	SENT	.
LJO	NN	LJO
:	:	:
So	RB	so
I	PP	I
want	VBP	want
to	TO	to
switch	VB	switch
gears	VBZ	gear
a	DT	a
little	JJ	little
bit	NN	bit
,	,	,
because	IN	because
one	CD	one
of	IN	of
the	DT	the
articles	NNS	article
that	IN	that
you	PP	you
wrote	VBD	write
fairly	RB	fairly
recently	RB	recently
talked	VBN	talk
about	IN	about
how	WRB	how
time	NN	time
and	CC	and
space	NN	space
might	MD	might
not	RB	not
be	VB	be
real	JJ	real
,	,	,
and	CC	and
how	WRB	how
there	EX	there
might	MD	might
be	VB	be
a	DT	a
deeper	JJR	deep
,	,	,
more	RBR	more
abstract	JJ	abstract
mathematical	JJ	mathematical
reality	NN	reality
to	TO	to
the	DT	the
universe	NN	universe
,	,	,
and	CC	and
that	DT	that
time	NN	time
and	CC	and
space	NN	space
might	MD	might
just	RB	just
be	VB	be
what	WP	what
we	PP	we
perceive	VBP	perceive
.	SENT	.
Can	MD	can
you	PP	you
tell	VB	tell
us	PP	us
more	JJR	more
about	IN	about
this	DT	this
?	SENT	?
How	WRB	how
is	VBZ	be
this	DT	this
possible	JJ	possible
?	SENT	?
Talk	NN	talk
about	IN	about
your	PP$	your
mind	NN	mind
doing	NN	doing
backflips	VBZ	backflip
.	SENT	.
KM	NP	KM
:	:	:
Yeah	RB	yeah
,	,	,
yeah	RB	yeah
,	,	,
this	DT	this
is	VBZ	be
really	RB	really
wild	JJ	wild
.	SENT	.
So	RB	so
I	PP	I
first	RB	first
heard	VBD	hear
about	IN	about
this	DT	this
a	DT	a
couple	NN	couple
of	IN	of
years	NNS	year
ago	RB	ago
where	WRB	where
somebody	NN	somebody
was	VBD	be
talking	VBG	talk
about	RB	about
how	WRB	how
,	,	,
if	IN	if
you	PP	you
do	VBP	do
calculations	NNS	calculation
of	IN	of
particles	NNS	particle
interacting	VBG	interact
with	IN	with
other	JJ	other
particles	NNS	particle
,	,	,
like	IN	like
the	DT	the
kind	NN	kind
of	IN	of
stuff	NN	stuff
relevant	JJ	relevant
to	TO	to
particle	NN	particle
collider	NN	collider
experiments	NNS	experiment
where	WRB	where
you	PP	you
'	POS	'
re	NN	re
slamming	VBG	slam
protons	NNS	proton
into	IN	into
each	DT	each
other	JJ	other
and	CC	and
measuring	NN	measuring
what	WP	what
happens	VBZ	happen
to	TO	to
the	DT	the
particles	NNS	particle
that	WDT	that
come	VBP	come
out	RP	out
,	,	,
there	EX	there
are	VBP	be
ways	NNS	way
to	TO	to
do	VB	do
those	DT	those
calculations	NNS	calculation
where	WRB	where
you	PP	you
can	MD	can
kind	RB	kind
of	IN	of
put	VB	put
them	PP	them
into	IN	into
an	DT	an
abstract	JJ	abstract
mathematical	JJ	mathematical
format	NN	format
and	CC	and
do	VB	do
the	DT	the
calculation	NN	calculation
.	SENT	.
And	CC	and
then	RB	then
you	PP	you
get	VBP	get
the	DT	the
same	JJ	same
answer	NN	answer
as	IN	as
if	IN	if
you	PP	you
do	VBP	do
the	DT	the
calculation	NN	calculation
the	DT	the
usual	JJ	usual
way	NN	way
,	,	,
assuming	VBG	assume
,	,	,
you	PP	you
know	VBP	know
,	,	,
it	PP	it
'	POS	'
s	NN	S
actually	RB	actually
particles	NNS	particle
moving	VBG	move
through	IN	through
space	NN	space
and	CC	and
interacting	VBG	interact
with	IN	with
each	DT	each
other	JJ	other
in	IN	in
space	NN	space
and	CC	and
time	NN	time
.	SENT	.
And	CC	and
since	IN	since
there	EX	there
are	VBP	be
ways	NNS	way
to	TO	to
do	VB	do
some	DT	some
of	IN	of
these	DT	these
calculations	NNS	calculation
without	IN	without
making	VBG	make
use	NN	use
of	IN	of
the	DT	the
ideas	NNS	idea
of	IN	of
space	NN	space
or	CC	or
time	NN	time
,	,	,
you	PP	you
just	RB	just
have	VBP	have
this	DT	this
sort	NN	sort
of	IN	of
abstract	JJ	abstract
mathematical	JJ	mathematical
space	NN	space
,	,	,
it	PP	it
sort	VBP	sort
of	IN	of
suggests	VBZ	suggest
that	IN	that
maybe	RB	maybe
space	NN	space
and	CC	and
time	NN	time
are	VBP	be
not	RB	not
helping	VBG	help
you	PP	you
and	CC	and
not	RB	not
necessary	JJ	necessary
for	IN	for
understanding	VBG	understand
how	WRB	how
these	DT	these
processes	NNS	process
work	NN	work
.	SENT	.
And	CC	and
there	EX	there
is	VBZ	be
actually	RB	actually
a	DT	a
lot	NN	lot
that	IN	that
you	PP	you
can	MD	can
calculate	VB	calculate
in	IN	in
physics	NNS	physic
at	IN	at
the	DT	the
sort	NN	sort
of	IN	of
,	,	,
subatomic	JJ	subatomic
scale	NN	scale
,	,	,
where	WRB	where
space	NN	space
and	CC	and
time	NN	time
are	VBP	be
not	RB	not
salient	JJ	salient
variables	NNS	variable
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
not	RB	not
part	NN	part
of	IN	of
the	DT	the
calculation	NN	calculation
.	SENT	.
And	CC	and
you	PP	you
get	VBP	get
the	DT	the
right	JJ	right
answer	NN	answer
when	WRB	when
you	PP	you
do	VBP	do
that	RB	that
.	SENT	.
And	CC	and
that	DT	that
sort	NN	sort
of	IN	of
hints	NNS	hint
at	IN	at
this	DT	this
idea	NN	idea
that	IN	that
maybe	RB	maybe
space	NN	space
and	CC	and
time	NN	time
are	VBP	be
not	RB	not
the	DT	the
fundamental	JJ	fundamental
things	NNS	thing
that	WDT	that
govern	VBP	govern
how	WRB	how
the	DT	the
universe	NN	universe
works	VBZ	work
,	,	,
that	IN	that
you	PP	you
don	VB	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
assume	VB	assume
that	IN	that
,	,	,
you	PP	you
know	VBP	know
,	,	,
everything	NN	everything
happens	VBZ	happen
in	IN	in
a	DT	a
background	NN	background
of	IN	of
a	DT	a
space	NN	space
measured	VBN	measure
by	IN	by
time	NN	time
.	SENT	.
If	IN	if
you	PP	you
talk	VBP	talk
to	TO	to
the	DT	the
theoretical	JJ	theoretical
physicists	NNS	physicist
who	WP	who
are	VBP	be
working	VBG	work
in	IN	in
these	DT	these
areas	NNS	area
and	CC	and
are	VBP	be
actually	RB	actually
doing	VBG	do
these	DT	these
calculations	NNS	calculation
,	,	,
doing	VBG	do
these	DT	these
equations	NNS	equation
,	,	,
they	PP	they
will	MD	will
say	VB	say
things	NNS	thing
like	IN	like
,	,	,
"	``	"
Oh	UH	oh
yeah	RB	yeah
,	,	,
we	PP	we
'	POS	'
ve	NNS	<unknown>
known	VBN	know
for	IN	for
years	NNS	year
that	IN	that
space	NN	space
and	CC	and
time	NN	time
are	VBP	be
not	RB	not
fundamental	JJ	fundamental
.	SENT	.
"	``	"
And	CC	and
you	PP	you
'	POS	'
re	NN	re
like	IN	like
,	,	,
"	''	"
Wait	NP	Wait
,	,	,
what	WP	what
?	SENT	?
"	''	"
LJO	NN	LJO
:	:	:
I	PP	I
missed	VBD	miss
that	DT	that
memo	NN	memo
.	SENT	.
KM	NP	KM
:	:	:
Yeah	RB	yeah
,	,	,
no	UH	no
,	,	,
totally	RB	totally
.	SENT	.
And	CC	and
you	PP	you
dig	VBP	dig
down	RB	down
into	IN	into
it	PP	it
and	CC	and
they	PP	they
say	VBP	say
,	,	,
"	``	"
Well	UH	well
,	,	,
you	PP	you
know	VBP	know
,	,	,
maybe	RB	maybe
they	PP	they
'	POS	'
re	NN	re
emergent	JJ	emergent
.	SENT	.
"	``	"
Maybe	RB	maybe
it	PP	it
'	POS	'
s	NNS	<unknown>
like	VBP	like
,	,	,
you	PP	you
know	VBP	know
,	,	,
they	PP	they
'	POS	'
re	NN	re
sort	NN	sort
of	IN	of
real	JJ	real
.	SENT	.
Like	IN	like
,	,	,
we	PP	we
live	VBP	live
in	IN	in
space	NN	space
,	,	,
we	PP	we
experience	VBP	experience
time	NN	time
.	SENT	.
But	CC	but
the	DT	the
actual	JJ	actual
,	,	,
sort	NN	sort
of	IN	of
,	,	,
fabric	NN	fabric
of	IN	of
the	DT	the
universe	NN	universe
is	VBZ	be
some	DT	some
other	JJ	other
mathematical	JJ	mathematical
space	NN	space
that	IN	that
just	RB	just
doesn	NP	<unknown>
'	POS	'
t	NN	t
map	NN	map
well	RB	well
to	TO	to
space	NN	space
and	CC	and
time	NN	time
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
not	RB	not
the	DT	the
same	JJ	same
kind	NN	kind
of	IN	of
thing	NN	thing
,	,	,
doesn	NP	<unknown>
'	POS	'
t	NN	t
follow	VB	follow
the	DT	the
same	JJ	same
kind	NN	kind
of	IN	of
rules	NNS	rule
.	SENT	.
But	CC	but
in	IN	in
some	DT	some
sense	NN	sense
,	,	,
you	PP	you
know	VBP	know
,	,	,
maybe	RB	maybe
we	PP	we
are	VBP	be
mathematical	JJ	mathematical
,	,	,
you	PP	you
know	VBP	know
,	,	,
some	DT	some
kind	NN	kind
of	IN	of
instantiation	NN	<unknown>
of	IN	of
mathematics	NNS	mathematics
rather	RB	rather
than	IN	than
objects	NNS	object
in	IN	in
space	NN	space
existing	VBG	exist
in	IN	in
time	NN	time
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
the	DT	the
more	RBR	more
fundamental	JJ	fundamental
thing	NN	thing
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
just	RB	just
that	IN	that
because	IN	because
of	IN	of
our	PP$	our
perspective	NN	perspective
,	,	,
because	IN	because
of	IN	of
our	PP$	our
experience	NN	experience
,	,	,
we	PP	we
think	VBP	think
we	PP	we
see	VB	see
objects	NNS	object
in	IN	in
space	NN	space
and	CC	and
time	NN	time
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
that	WDT	that
is	VBZ	be
not	RB	not
what	WP	what
the	DT	the
universe	NN	universe
is	VBZ	be
really	RB	really
made	VBN	make
of	IN	of
.	SENT	.
LJO	NN	LJO
:	:	:
I	PP	I
love	VBP	love
that	RB	that
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
it	PP	it
turns	VBZ	turn
out	IN	out
you	PP	you
are	VBP	be
also	RB	also
a	DT	a
poet	NN	poet
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
put	VB	put
you	PP	you
on	IN	on
the	DT	the
spot	NN	spot
,	,	,
but	CC	but
I	PP	I
'	POS	'
m	NN	m
wondering	VBG	wonder
,	,	,
I	PP	I
really	RB	really
love	VBP	love
your	PP$	your
poem	NN	poem
"	''	"
Disorientation	NN	disorientation
,	,	,
"	``	"
and	CC	and
I	PP	I
feel	VBP	feel
like	IN	like
it	PP	it
states	VBZ	state
this	DT	this
really	RB	really
beautifully	RB	beautifully
,	,	,
actually	RB	actually
.	SENT	.
I	PP	I
was	VBD	be
wondering	VBG	wonder
if	IN	if
you	PP	you
'	''	'
d	SYM	d
be	VB	be
willing	JJ	willing
to	TO	to
read	VB	read
the	DT	the
last	JJ	last
few	JJ	few
stanzas	NNS	stanza
?	SENT	?
KM	NP	KM
:	:	:
Sure	JJ	sure
,	,	,
yeah	RB	yeah
,	,	,
I	PP	I
can	MD	can
do	VB	do
that	DT	that
.	SENT	.
Yes	UH	yes
,	,	,
this	DT	this
was	VBD	be
a	DT	a
poem	NN	poem
I	PP	I
wrote	VBD	write
a	DT	a
few	JJ	few
years	NNS	year
ago	RB	ago
,	,	,
and	CC	and
I	PP	I
wrote	VBD	write
it	PP	it
as	IN	as
a	DT	a
Twitter	NN	twitter
thread	NN	thread
actually	RB	actually
,	,	,
just	RB	just
because	IN	because
I	PP	I
thought	VBD	think
it	PP	it
would	MD	would
be	VB	be
kind	NN	kind
of	IN	of
fun	NN	fun
.	SENT	.
So	IN	so
each	DT	each
stanza	NN	stanza
is	VBZ	be
a	DT	a
tweet	VBP	tweet
.	SENT	.
But	CC	but
it	PP	it
sort	VBP	sort
of	IN	of
encapsulates	VBZ	encapsulate
how	WRB	how
I	PP	I
think	VBP	think
about	IN	about
the	DT	the
universe	NN	universe
.	SENT	.
So	RB	so
,	,	,
yeah	RB	yeah
,	,	,
this	DT	this
is	VBZ	be
the	DT	the
last	JJ	last
bit	NN	bit
.	SENT	.
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
believe	VB	believe
that	IN	that
the	DT	the
universe	NN	universe
is	VBZ	be
a	DT	a
vast	JJ	vast
,	,	,
random	JJ	random
,	,	,
uncaring	VBG	uncare
place	NN	place
in	IN	in
which	WDT	which
our	PP$	our
species	NNS	specie
,	,	,
our	PP$	our
world	NN	world
,	,	,
has	VBZ	have
absolutely	RB	absolutely
no	DT	no
significance	NN	significance
And	CC	and
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
believe	VB	believe
that	IN	that
the	DT	the
only	JJ	only
response	NN	response
is	VBZ	be
to	TO	to
make	VB	make
our	PP$	our
own	JJ	own
beauty	NN	beauty
and	CC	and
meaning	NN	meaning
and	CC	and
to	TO	to
share	VB	share
it	PP	it
while	IN	while
we	PP	we
can	MD	can
I	PP	I
want	VB	want
to	TO	to
make	VB	make
you	PP	you
wonder	VBP	wonder
what	WP	what
is	VBZ	be
out	RB	out
there	RB	there
.	SENT	.
What	WP	what
dreams	NNS	dream
may	MD	may
come	VB	come
in	IN	in
waves	NNS	wave
of	IN	of
radiation	NN	radiation
across	IN	across
the	DT	the
breadth	NN	breadth
of	IN	of
an	DT	an
endless	JJ	endless
expanse	NN	expanse
.	SENT	.
What	WP	what
we	PP	we
may	MD	may
know	VB	know
,	,	,
given	VBN	give
time	NN	time
,	,	,
and	CC	and
what	WP	what
splendors	NNS	splendor
may	MD	may
never	RB	never
,	,	,
ever	RB	ever
reach	VB	reach
us	PP	us
I	PP	I
want	VBP	want
to	TO	to
make	VB	make
it	PP	it
mean	VB	mean
something	NN	something
to	TO	to
you	PP	you
.	SENT	.
That	IN	that
you	PP	you
are	VBP	be
in	IN	in
the	DT	the
cosmos	NN	cosmos
.	SENT	.
That	IN	that
you	PP	you
are	VBP	be
of	IN	of
the	DT	the
cosmos	NN	cosmos
.	SENT	.
That	IN	that
you	PP	you
were	VBD	be
born	VBN	bear
from	IN	from
stardust	NN	stardust
and	CC	and
to	TO	to
stardust	NN	stardust
you	PP	you
will	MD	will
return	VB	return
.	SENT	.
That	IN	that
you	PP	you
are	VBP	be
a	DT	a
way	NN	way
for	IN	for
the	DT	the
universe	NN	universe
to	TO	to
be	VB	be
in	IN	in
awe	NN	awe
of	IN	of
itself	PP	itself
.	SENT	.
LJO	NN	LJO
:	:	:
I	PP	I
love	VBP	love
that	RB	that
.	SENT	.
Thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
,	,	,
Katie	NP	Katie
.	SENT	.
Thank	VB	thank
you	PP	you
for	IN	for
such	PDT	such
a	DT	a
thoughtful	JJ	thoughtful
and	CC	and
engaging	JJ	engaging
conversation	NN	conversation
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
really	RB	really
been	VBN	be
such	JJ	such
a	DT	a
pleasure	NN	pleasure
.	SENT	.
