Once	RB	once
dependent	JJ	dependent
upon	IN	upon
the	DT	the
tiniest	JJS	tiny
fraction	NN	fraction
of	IN	of
us	PP	us
for	IN	for
their	PP$	their
election	NN	election
,	,	,
that	WDT	that
means	VBZ	mean
the	DT	the
tiniest	JJS	tiny
number	NN	number
of	IN	of
us	PP	us
,	,	,
the	DT	the
tiniest	JJS	tiny
,	,	,
tiniest	JJS	tiny
number	NN	number
of	IN	of
us	PP	us
,	,	,
can	MD	can
block	VB	block
reform	NN	reform
.	SENT	.
I	PP	I
know	VBP	know
that	IN	that
should	MD	should
have	VB	have
been	VBN	be
,	,	,
like	VB	like
,	,	,
a	DT	a
rock	NN	rock
or	CC	or
something	NN	something
.	SENT	.
I	PP	I
can	MD	can
only	RB	only
find	VB	find
cheese	NN	cheese
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
sorry	RB	sorry
.	SENT	.
So	RB	so
there	RB	there
it	PP	it
is	VBZ	be
.	SENT	.
Block	NN	block
reform	NN	reform
.	SENT	.
Because	IN	because
there	EX	there
is	VBZ	be
an	DT	an
economy	NN	economy
here	RB	here
,	,	,
an	DT	an
economy	NN	economy
of	IN	of
influence	NN	influence
,	,	,
an	DT	an
economy	NN	economy
with	IN	with
lobbyists	NNS	lobbyist
at	IN	at
the	DT	the
center	NN	center
which	WDT	which
feeds	VBZ	feed
on	IN	on
polarization	NN	polarization
.	SENT	.
It	PP	it
feeds	VBZ	feed
on	IN	on
dysfunction	NN	dysfunction
.	SENT	.
The	DT	the
worse	NN	worse
that	IN	that
it	PP	it
is	VBZ	be
for	IN	for
us	PP	us
,	,	,
the	DT	the
better	RBR	well
that	IN	that
it	PP	it
is	VBZ	be
for	IN	for
this	DT	this
fundraising	NN	fundraising
.	SENT	.
Henry	NP	Henry
David	NP	David
Thoreau	NP	Thoreau
:	:	:
"	``	"
There	EX	there
are	VBP	be
a	DT	a
thousand	CD	thousand
hacking	NN	hacking
at	IN	at
the	DT	the
branches	NNS	branch
of	IN	of
evil	NN	evil
to	TO	to
one	CD	one
who	WP	who
is	VBZ	be
striking	VBG	strike
at	IN	at
the	DT	the
root	NN	root
.	SENT	.
"	``	"
This	DT	this
is	VBZ	be
the	DT	the
root	NN	root
.	SENT	.
Okay	RB	okay
,	,	,
now	RB	now
,	,	,
every	DT	every
single	JJ	single
one	CD	one
of	IN	of
you	PP	you
knows	VBZ	know
this	DT	this
.	SENT	.
You	PP	you
couldn	NNS	<unknown>
'	''	'
t	NN	t
be	VB	be
here	RB	here
if	IN	if
you	PP	you
didn	NN	<unknown>
'	POS	'
t	NN	t
know	VBP	know
this	DT	this
,	,	,
yet	RB	yet
you	PP	you
ignore	VBP	ignore
it	PP	it
.	SENT	.
You	PP	you
ignore	VBP	ignore
it	PP	it
.	SENT	.
This	DT	this
is	VBZ	be
an	DT	an
impossible	JJ	impossible
problem	NN	problem
.	SENT	.
You	PP	you
focus	VBP	focus
on	IN	on
the	DT	the
possible	JJ	possible
problems	NNS	problem
,	,	,
like	IN	like
eradicating	VBG	eradicate
polio	NN	polio
from	IN	from
the	DT	the
world	NN	world
,	,	,
or	CC	or
taking	VBG	take
an	DT	an
image	NN	image
of	IN	of
every	DT	every
single	JJ	single
street	NN	street
across	IN	across
the	DT	the
globe	NN	globe
,	,	,
or	CC	or
building	VBG	build
the	DT	the
first	JJ	first
real	JJ	real
universal	JJ	universal
translator	NN	translator
,	,	,
or	CC	or
building	VBG	build
a	DT	a
fusion	NN	fusion
factory	NN	factory
in	IN	in
your	PP$	your
garage	NN	garage
.	SENT	.
These	DT	these
are	VBP	be
the	DT	the
manageable	JJ	manageable
problems	NNS	problem
,	,	,
so	RB	so
you	PP	you
ignore	VBP	ignore
—	:	-
—	:	-
so	IN	so
you	PP	you
ignore	VBP	ignore
this	DT	this
corruption	NN	corruption
.	SENT	.
But	CC	but
we	PP	we
cannot	MD	can
ignore	VB	ignore
this	DT	this
corruption	NN	corruption
anymore	RB	anymore
.	SENT	.
We	PP	we
need	VBP	need
a	DT	a
government	NN	government
that	WDT	that
works	VBZ	work
.	SENT	.
And	CC	and
not	RB	not
works	VBZ	work
for	IN	for
the	DT	the
left	NN	left
or	CC	or
the	DT	the
right	NN	right
,	,	,
but	CC	but
works	VBZ	work
for	IN	for
the	DT	the
left	NN	left
and	CC	and
the	DT	the
right	NN	right
,	,	,
the	DT	the
citizens	NNS	citizen
of	IN	of
the	DT	the
left	NN	left
and	CC	and
right	NN	right
,	,	,
because	IN	because
there	EX	there
is	VBZ	be
no	DT	no
sensible	JJ	sensible
reform	NN	reform
possible	JJ	possible
until	IN	until
we	PP	we
end	VBP	end
this	DT	this
corruption	NN	corruption
.	SENT	.
So	RB	so
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
take	VB	take
hold	NN	hold
,	,	,
to	TO	to
grab	VB	grab
the	DT	the
issue	NN	issue
you	PP	you
care	VBP	care
the	DT	the
most	RBS	most
about	RB	about
.	SENT	.
Climate	NN	climate
change	NN	change
is	VBZ	be
mine	JJ	mine
,	,	,
but	CC	but
it	PP	it
might	MD	might
be	VB	be
financial	JJ	financial
reform	NN	reform
or	CC	or
a	DT	a
simpler	JJR	simple
tax	NN	tax
system	NN	system
or	CC	or
inequality	NN	inequality
.	SENT	.
Grab	VB	grab
that	DT	that
issue	NN	issue
,	,	,
sit	VB	sit
it	PP	it
down	RP	down
in	IN	in
front	NN	front
of	IN	of
you	PP	you
,	,	,
look	VB	look
straight	RB	straight
in	IN	in
its	PP$	its
eyes	NNS	eye
,	,	,
and	CC	and
tell	VB	tell
it	PP	it
there	RB	there
is	VBZ	be
no	DT	no
Christmas	NP	Christmas
this	DT	this
year	NN	year
.	SENT	.
There	EX	there
will	MD	will
never	RB	never
be	VB	be
a	DT	a
Christmas	NP	Christmas
.	SENT	.
We	PP	we
will	MD	will
never	RB	never
get	VB	get
your	PP$	your
issue	NN	issue
solved	VBN	solve
until	IN	until
we	PP	we
fix	VB	fix
this	DT	this
issue	NN	issue
first	RB	first
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
not	RB	not
that	IN	that
mine	PP	mine
is	VBZ	be
the	DT	the
most	RBS	most
important	JJ	important
issue	NN	issue
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
.	SENT	.
Yours	PP	yours
is	VBZ	be
the	DT	the
most	RBS	most
important	JJ	important
issue	NN	issue
,	,	,
but	CC	but
mine	PP	mine
is	VBZ	be
the	DT	the
first	JJ	first
issue	NN	issue
,	,	,
the	DT	the
issue	NN	issue
we	PP	we
have	VBP	have
to	TO	to
solve	VB	solve
before	IN	before
we	PP	we
get	VBP	get
to	TO	to
fix	VB	fix
the	DT	the
issues	NNS	issue
you	PP	you
care	VBP	care
about	RB	about
.	SENT	.
No	DT	no
sensible	JJ	sensible
reform	NN	reform
,	,	,
and	CC	and
we	PP	we
cannot	MD	can
afford	VB	afford
a	DT	a
world	NN	world
,	,	,
a	DT	a
future	NN	future
,	,	,
with	IN	with
no	DT	no
sensible	JJ	sensible
reform	NN	reform
.	SENT	.
Okay	JJ	okay
.	SENT	.
So	RB	so
how	WRB	how
do	VBP	do
we	PP	we
do	VBP	do
it	PP	it
?	SENT	?
Turns	VBZ	turn
out	RP	out
,	,	,
the	DT	the
analytics	NNS	<unknown>
here	RB	here
are	VBP	be
easy	JJ	easy
,	,	,
simple	JJ	simple
.	SENT	.
If	IN	if
the	DT	the
problem	NN	problem
is	VBZ	be
members	NNS	member
spending	VBG	spend
an	DT	an
extraordinary	JJ	extraordinary
amount	NN	amount
of	IN	of
time	NN	time
fundraising	NN	fundraising
from	IN	from
the	DT	the
tiniest	JJS	tiny
slice	NN	slice
of	IN	of
America	NP	America
,	,	,
the	DT	the
solution	NN	solution
is	VBZ	be
to	TO	to
have	VB	have
them	PP	them
spend	VB	spend
less	JJR	less
time	NN	time
fundraising	NN	fundraising
but	CC	but
fundraise	NN	fundraise
from	IN	from
a	DT	a
wider	JJR	wide
slice	NN	slice
of	IN	of
Americans	NPS	Americans
,	,	,
to	TO	to
spread	VB	spread
it	PP	it
out	RP	out
,	,	,
to	TO	to
spread	VB	spread
the	DT	the
funder	NN	funder
influence	NN	influence
so	RB	so
that	IN	that
we	PP	we
restore	VB	restore
the	DT	the
idea	NN	idea
of	IN	of
dependence	NN	dependence
upon	IN	upon
the	DT	the
people	NNS	people
alone	RB	alone
.	SENT	.
And	CC	and
to	TO	to
do	VB	do
this	DT	this
does	VBZ	do
not	RB	not
require	VB	require
a	DT	a
constitutional	JJ	constitutional
amendment	NN	amendment
,	,	,
changing	VBG	change
the	DT	the
First	NP	First
Amendment	NP	Amendment
.	SENT	.
To	TO	to
do	VB	do
this	DT	this
would	MD	would
require	VB	require
a	DT	a
single	JJ	single
statute	NN	statute
,	,	,
a	DT	a
statute	NN	statute
establishing	VBG	establish
what	WP	what
we	PP	we
think	VBP	think
of	IN	of
as	IN	as
small	JJ	small
dollar	NN	dollar
funded	VBN	fund
elections	NNS	election
,	,	,
a	DT	a
statute	NN	statute
of	IN	of
citizen-funded	JJ	citizen-funded
campaigns	NNS	campaign
,	,	,
and	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
any	DT	any
number	NN	number
of	IN	of
these	DT	these
proposals	NNS	proposal
out	RP	out
there	RB	there
:	:	:
Fair	JJ	fair
Elections	NNS	election
Now	RB	now
Act	NP	Act
,	,	,
the	DT	the
American	JJ	American
Anti-Corruption	NN	anti-corruption
Act	NP	Act
,	,	,
an	DT	an
idea	NN	idea
in	IN	in
my	PP$	my
book	NN	book
that	IN	that
I	PP	I
call	VBP	call
the	DT	the
Grant	NP	Grant
and	CC	and
Franklin	NP	Franklin
Project	NP	Project
to	TO	to
give	VB	give
vouchers	NNS	voucher
to	TO	to
people	NNS	people
to	TO	to
fund	NN	fund
elections	NNS	election
,	,	,
an	DT	an
idea	NN	idea
of	IN	of
John	NP	John
Sarbanes	NP	Sarbanes
called	VBD	call
the	DT	the
Grassroots	NNS	grassroots
Democracy	NP	Democracy
Act	NP	Act
.	SENT	.
Each	DT	each
of	IN	of
these	DT	these
would	MD	would
fix	VB	fix
this	DT	this
corruption	NN	corruption
by	IN	by
spreading	VBG	spread
out	RP	out
the	DT	the
influence	NN	influence
of	IN	of
funders	NNS	funder
to	TO	to
all	DT	all
of	IN	of
us	PP	us
.	SENT	.
The	DT	the
analytics	NNS	<unknown>
are	VBP	be
easy	RB	easy
here	RB	here
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
the	DT	the
politics	NNS	politics
that	RB	that
'	''	'
s	NNS	<unknown>
hard	JJ	hard
,	,	,
indeed	RB	indeed
impossibly	RB	impossibly
hard	JJ	hard
,	,	,
because	IN	because
this	DT	this
reform	NN	reform
would	MD	would
shrink	VB	shrink
K	NP	K
Street	NP	Street
,	,	,
and	CC	and
Capitol	NP	Capitol
Hill	NP	Hill
,	,	,
as	IN	as
Congressman	NP	Congressman
Jim	NP	Jim
Cooper	NP	Cooper
,	,	,
a	DT	a
Democrat	NP	Democrat
from	IN	from
Tennessee	NP	Tennessee
,	,	,
put	VBD	put
it	PP	it
,	,	,
has	VBZ	have
become	VBN	become
a	DT	a
farm	NN	farm
league	NN	league
for	IN	for
K	NP	K
Street	NP	Street
,	,	,
a	DT	a
farm	NN	farm
league	NN	league
for	IN	for
K	NP	K
Street	NP	Street
.	SENT	.
Members	NNS	member
and	CC	and
staffers	NNS	staffer
and	CC	and
bureaucrats	NNS	bureaucrat
have	VBP	have
an	DT	an
increasingly	RB	increasingly
common	JJ	common
business	NN	business
model	NN	model
in	IN	in
their	PP$	their
head	NN	head
,	,	,
a	DT	a
business	NN	business
model	NN	model
focused	VBN	focus
on	IN	on
their	PP$	their
life	NN	life
after	IN	after
government	NN	government
,	,	,
their	PP$	their
life	NN	life
as	IN	as
lobbyists	NNS	lobbyist
.	SENT	.
Fifty	CD	fifty
percent	NN	percent
of	IN	of
the	DT	the
Senate	NP	Senate
between	IN	between
1998	CD	@card@
and	CC	and
2004	CD	@card@
left	VBN	leave
to	TO	to
become	VB	become
lobbyists	NNS	lobbyist
,	,	,
42	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
House	NP	House
.	SENT	.
Those	DT	those
numbers	NNS	number
have	VBP	have
only	RB	only
gone	VBN	go
up	RP	up
,	,	,
and	CC	and
as	IN	as
United	NP	United
Republic	NP	Republic
calculated	VBD	calculate
last	JJ	last
April	NP	April
,	,	,
the	DT	the
average	JJ	average
increase	NN	increase
in	IN	in
salary	NN	salary
for	IN	for
those	DT	those
who	WP	who
they	PP	they
tracked	VBD	track
was	VBD	be
1	CD	@card@
,	,	,
452	CD	@card@
percent	NN	percent
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
fair	JJ	fair
to	TO	to
ask	VB	ask
,	,	,
how	WRB	how
is	VBZ	be
it	PP	it
possible	JJ	possible
for	IN	for
them	PP	them
to	TO	to
change	VB	change
this	DT	this
?	SENT	?
Now	RB	now
I	PP	I
get	VBP	get
this	DT	this
skepticism	NN	skepticism
.	SENT	.
I	PP	I
get	VBP	get
this	DT	this
cynicism	NN	cynicism
.	SENT	.
I	PP	I
get	VBP	get
this	DT	this
sense	NN	sense
of	IN	of
impossibility	NN	impossibility
.	SENT	.
But	CC	but
I	PP	I
don	VBP	don
'	''	'
t	NN	t
buy	VB	buy
it	PP	it
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
solvable	JJ	solvable
issue	NN	issue
.	SENT	.
If	IN	if
you	PP	you
think	VBP	think
about	IN	about
the	DT	the
issues	NNS	issue
our	PP$	our
parents	NNS	parent
tried	VBD	try
to	TO	to
solve	VB	solve
in	IN	in
the	DT	the
20th	JJ	20th
century	NN	century
,	,	,
issues	NNS	issue
like	IN	like
racism	NN	racism
,	,	,
or	CC	or
sexism	NN	sexism
,	,	,
or	CC	or
the	DT	the
issue	NN	issue
that	IN	that
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
fighting	VBG	fight
in	IN	in
this	DT	this
century	NN	century
,	,	,
homophobia	NP	homophobia
,	,	,
those	DT	those
are	VBP	be
hard	JJ	hard
issues	NNS	issue
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
wake	NN	wake
up	IN	up
one	CD	one
day	NN	day
no	DT	no
longer	RBR	longer
a	DT	a
racist	NN	racist
.	SENT	.
It	PP	it
takes	VBZ	take
generations	NNS	generation
to	TO	to
tear	VB	tear
that	DT	that
intuition	NN	intuition
,	,	,
that	DT	that
DNA	NN	DNA
,	,	,
out	RB	out
of	IN	of
the	DT	the
soul	NN	soul
of	IN	of
a	DT	a
people	NNS	people
.	SENT	.
But	CC	but
this	DT	this
is	VBZ	be
a	DT	a
problem	NN	problem
of	IN	of
just	JJ	just
incentives	NNS	incentive
,	,	,
just	RB	just
incentives	NNS	incentive
.	SENT	.
Change	VB	change
the	DT	the
incentives	NNS	incentive
,	,	,
and	CC	and
the	DT	the
behavior	NN	behavior
changes	NNS	change
,	,	,
and	CC	and
the	DT	the
states	NNS	state
that	WDT	that
have	VBP	have
adopted	VBN	adopt
small	JJ	small
dollar	NN	dollar
funded	VBN	fund
systems	NNS	system
have	VBP	have
seen	VBN	see
overnight	RB	overnight
a	DT	a
change	NN	change
in	IN	in
the	DT	the
practice	NN	practice
.	SENT	.
When	WRB	when
Connecticut	NP	Connecticut
adopted	VBD	adopt
this	DT	this
system	NN	system
,	,	,
in	IN	in
the	DT	the
very	RB	very
first	JJ	first
year	NN	year
,	,	,
78	CD	@card@
percent	NN	percent
of	IN	of
elected	JJ	elected
representatives	NNS	representative
gave	VBD	give
up	RP	up
large	JJ	large
contributions	NNS	contribution
and	CC	and
took	VBD	take
small	JJ	small
contributions	NNS	contribution
only	RB	only
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
solvable	JJ	solvable
,	,	,
not	RB	not
by	IN	by
being	VBG	be
a	DT	a
Democrat	NP	Democrat
,	,	,
not	RB	not
by	IN	by
being	VBG	be
a	DT	a
Republican	NP	Republican
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
solvable	JJ	solvable
by	IN	by
being	VBG	be
citizens	NNS	citizen
,	,	,
by	IN	by
being	VBG	be
citizens	NNS	citizen
,	,	,
by	IN	by
being	VBG	be
TEDizens	NP	<unknown>
.	SENT	.
Because	IN	because
if	IN	if
you	PP	you
want	VBP	want
to	TO	to
kickstart	VB	kickstart
reform	NN	reform
,	,	,
look	VB	look
,	,	,
I	PP	I
could	MD	could
kickstart	VB	kickstart
reform	NN	reform
at	IN	at
half	PDT	half
the	DT	the
price	NN	price
of	IN	of
fixing	VBG	fix
energy	NN	energy
policy	NN	policy
,	,	,
I	PP	I
could	MD	could
give	VB	give
you	PP	you
back	VB	back
a	DT	a
republic	NN	republic
.	SENT	.
Okay	JJ	okay
.	SENT	.
But	CC	but
even	RB	even
if	IN	if
you	PP	you
'	POS	'
re	NN	re
not	RB	not
yet	RB	yet
with	IN	with
me	PP	me
,	,	,
even	RB	even
if	IN	if
you	PP	you
believe	VBP	believe
this	DT	this
is	VBZ	be
impossible	JJ	impossible
,	,	,
what	WP	what
the	DT	the
five	CD	five
years	NNS	year
since	IN	since
I	PP	I
spoke	VBD	speak
at	IN	at
TED	VBP	ted
has	VBZ	have
taught	VBN	teach
me	PP	me
as	IN	as
I	PP	I
'	POS	'
ve	NNS	<unknown>
spoken	VBN	speak
about	IN	about
this	DT	this
issue	NN	issue
again	RB	again
and	CC	and
again	RB	again
is	VBZ	be
,	,	,
even	RB	even
if	IN	if
you	PP	you
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
impossible	JJ	impossible
,	,	,
that	WDT	that
is	VBZ	be
irrelevant	JJ	irrelevant
.	SENT	.
Irrelevant	JJ	irrelevant
.	SENT	.
I	PP	I
spoke	VBD	speak
at	IN	at
Dartmouth	NP	Dartmouth
once	RB	once
,	,	,
and	CC	and
a	DT	a
woman	NN	woman
stood	VBD	stand
up	RP	up
after	IN	after
I	PP	I
spoke	VBD	speak
,	,	,
I	PP	I
write	VBP	write
in	IN	in
my	PP$	my
book	NN	book
,	,	,
and	CC	and
she	PP	she
said	VBD	say
to	TO	to
me	PP	me
,	,	,
"	''	"
Professor	NP	Professor
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
convinced	VBD	convince
me	PP	me
this	DT	this
is	VBZ	be
hopeless	JJ	hopeless
.	SENT	.
Hopeless	JJ	hopeless
.	SENT	.
There	EX	there
'	POS	'
s	JJ	<unknown>
nothing	NN	nothing
we	PP	we
can	MD	can
do	VB	do
.	SENT	.
"	``	"
When	WRB	when
she	PP	she
said	VBD	say
that	IN	that
,	,	,
I	PP	I
scrambled	VBD	scramble
.	SENT	.
I	PP	I
tried	VBD	try
to	TO	to
think	VB	think
,	,	,
"	``	"
How	WRB	how
do	VBP	do
I	PP	I
respond	VB	respond
to	TO	to
that	DT	that
hopelessness	NN	hopelessness
?	SENT	?
What	WP	what
is	VBZ	be
that	DT	that
sense	NN	sense
of	IN	of
hopelessness	NN	hopelessness
?	SENT	?
"	''	"
And	CC	and
what	WP	what
hit	VBD	hit
me	PP	me
was	VBD	be
an	DT	an
image	NN	image
of	IN	of
my	PP$	my
six-year-old	JJ	six-year-old
son	NN	son
.	SENT	.
And	CC	and
I	PP	I
imagined	VBD	imagine
a	DT	a
doctor	NN	doctor
coming	VBG	come
to	TO	to
me	PP	me
and	CC	and
saying	VBG	say
,	,	,
"	``	"
Your	PP$	your
son	NN	son
has	VBZ	have
terminal	JJ	terminal
brain	NN	brain
cancer	NN	cancer
,	,	,
and	CC	and
there	EX	there
'	''	'
s	NN	S
nothing	NN	nothing
you	PP	you
can	MD	can
do	VB	do
.	SENT	.
Nothing	NN	nothing
you	PP	you
can	MD	can
do	VB	do
.	SENT	.
"	''	"
So	RB	so
would	MD	would
I	PP	I
do	VB	do
nothing	NN	nothing
?	SENT	?
Would	MD	would
I	PP	I
just	RB	just
sit	VBP	sit
there	RB	there
?	SENT	?
Accept	VB	accept
it	PP	it
?	SENT	?
Okay	RB	okay
,	,	,
nothing	NN	nothing
I	PP	I
can	MD	can
do	VB	do
?	SENT	?
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
off	RP	off
to	TO	to
build	VB	build
Google	NP	<unknown>
Glass	NP	Glass
.	SENT	.
Of	IN	of
course	NN	course
not	RB	not
.	SENT	.
I	PP	I
would	MD	would
do	VB	do
everything	NN	everything
I	PP	I
could	MD	could
,	,	,
and	CC	and
I	PP	I
would	MD	would
do	VB	do
everything	NN	everything
I	PP	I
could	MD	could
because	IN	because
this	DT	this
is	VBZ	be
what	WP	what
love	NN	love
means	VBZ	mean
,	,	,
that	IN	that
the	DT	the
odds	NNS	odd
are	VBP	be
irrelevant	JJ	irrelevant
and	CC	and
that	IN	that
you	PP	you
do	VBP	do
whatever	WDT	whatever
the	DT	the
hell	NN	hell
you	PP	you
can	MD	can
,	,	,
the	DT	the
odds	NNS	odd
be	VB	be
damned	VBN	damn
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
saw	VBD	see
the	DT	the
obvious	JJ	obvious
link	NN	link
,	,	,
because	IN	because
even	RB	even
we	PP	we
liberals	NNS	liberal
love	VBP	love
this	DT	this
country	NN	country
.	SENT	.
And	CC	and
so	RB	so
when	WRB	when
the	DT	the
pundits	NNS	pundit
and	CC	and
the	DT	the
politicians	NNS	politician
say	VBP	say
that	IN	that
change	NN	change
is	VBZ	be
impossible	JJ	impossible
,	,	,
what	WP	what
this	DT	this
love	NN	love
of	IN	of
country	NN	country
says	VBZ	say
back	RB	back
is	VBZ	be
,	,	,
"	''	"
That	DT	that
'	''	'
s	NNS	<unknown>
just	RB	just
irrelevant	JJ	irrelevant
.	SENT	.
"	``	"
We	PP	we
lose	VBP	lose
something	NN	something
dear	RB	dear
,	,	,
something	NN	something
everyone	NN	everyone
in	IN	in
this	DT	this
room	NN	room
loves	VBZ	love
and	CC	and
cherishes	VBZ	cherish
,	,	,
if	IN	if
we	PP	we
lose	VBP	lose
this	DT	this
republic	NN	republic
,	,	,
and	CC	and
so	RB	so
we	PP	we
act	VB	act
with	IN	with
everything	NN	everything
we	PP	we
can	MD	can
to	TO	to
prove	VB	prove
these	DT	these
pundits	NNS	pundit
wrong	JJ	wrong
.	SENT	.
So	RB	so
here	RB	here
'	''	'
s	VBG	<unknown>
my	PP$	my
question	NN	question
:	:	:
Do	VBP	do
you	PP	you
have	VBP	have
that	DT	that
love	NN	love
?	SENT	?
Do	VB	do
you	PP	you
have	VBP	have
that	DT	that
love	NN	love
?	SENT	?
Because	IN	because
if	IN	if
you	PP	you
do	VBP	do
,	,	,
then	RB	then
what	WP	what
the	DT	the
hell	NN	hell
are	VBP	be
you	PP	you
,	,	,
what	WP	what
are	VBP	be
the	DT	the
hell	NN	hell
are	VBP	be
we	PP	we
doing	VBG	do
?	SENT	?
When	WRB	when
Ben	NP	Ben
Franklin	NP	Franklin
was	VBD	be
carried	VBN	carry
from	IN	from
the	DT	the
constitutional	JJ	constitutional
convention	NN	convention
in	IN	in
September	NP	September
of	IN	of
1787	CD	@card@
,	,	,
he	PP	he
was	VBD	be
stopped	VBN	stop
in	IN	in
the	DT	the
street	NN	street
by	IN	by
a	DT	a
woman	NN	woman
who	WP	who
said	VBD	say
,	,	,
"	``	"
Mr	NP	Mr
.	SENT	.
Franklin	NP	Franklin
,	,	,
what	WP	what
have	VB	have
you	PP	you
wrought	VB	wrought
?	SENT	?
"	''	"
Franklin	NP	Franklin
said	VBD	say
,	,	,
"	``	"
A	DT	a
republic	NN	republic
,	,	,
madam	NN	madam
,	,	,
if	IN	if
you	PP	you
can	MD	can
keep	VB	keep
it	PP	it
.	SENT	.
"	''	"
A	DT	a
republic	NN	republic
.	SENT	.
A	DT	a
representative	JJ	representative
democracy	NN	democracy
.	SENT	.
A	DT	a
government	NN	government
dependent	JJ	dependent
upon	IN	upon
the	DT	the
people	NNS	people
alone	RB	alone
.	SENT	.
We	PP	we
have	VBP	have
lost	VBN	lose
that	DT	that
republic	NN	republic
.	SENT	.
All	DT	all
of	IN	of
us	PP	us
have	VBP	have
to	TO	to
act	VB	act
to	TO	to
get	VB	get
it	PP	it
back	RB	back
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
