One	CD	one
that	DT	that
.	SENT	.
Now	RB	now
we	PP	we
don	VB	don
'	''	'
t	NN	t
think	VBP	think
that	DT	that
way	NN	way
.	SENT	.
In	IN	in
the	DT	the
secular	JJ	secular
world	NN	world
we	PP	we
think	VBP	think
,	,	,
"	''	"
If	IN	if
an	DT	an
idea	NN	idea
is	VBZ	be
important	JJ	important
,	,	,
I	PP	I
'	POS	'
ll	JJ	<unknown>
bump	NN	bump
into	IN	into
it	PP	it
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
just	RB	just
come	VBP	come
across	IN	across
it	PP	it
.	SENT	.
"	''	"
Nonsense	NN	nonsense
,	,	,
says	VBZ	say
the	DT	the
religious	JJ	religious
world	NN	world
view	NN	view
.	SENT	.
Religious	JJ	religious
view	NN	view
says	VBZ	say
we	PP	we
need	VBP	need
calendars	NNS	calendar
,	,	,
we	PP	we
need	VBP	need
to	TO	to
structure	VB	structure
time	NN	time
,	,	,
we	PP	we
need	VBP	need
to	TO	to
synchronize	VB	synchronize
encounters	NNS	encounter
.	SENT	.
This	DT	this
comes	VBZ	come
across	RP	across
also	RB	also
in	IN	in
the	DT	the
way	NN	way
in	IN	in
which	WDT	which
religions	NNS	religion
set	VBP	set
up	RP	up
rituals	NNS	ritual
around	IN	around
important	JJ	important
feelings	NNS	feeling
.	SENT	.
Take	VB	take
the	DT	the
Moon	NN	moon
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
really	RB	really
important	JJ	important
to	TO	to
look	VB	look
at	IN	at
the	DT	the
Moon	NP	Moon
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
Moon	NN	moon
,	,	,
you	PP	you
think	VBP	think
,	,	,
"	''	"
I	NP	I
'	POS	'
m	NN	m
really	RB	really
small	JJ	small
.	SENT	.
What	WP	what
are	VBP	be
my	PP$	my
problems	NNS	problem
?	SENT	?
"	''	"
It	PP	it
sets	VBZ	set
things	NNS	thing
into	IN	into
perspective	NN	perspective
,	,	,
etc	FW	etc
.	SENT	.
,	,	,
etc	FW	etc
.	SENT	.
We	PP	we
should	MD	should
all	RB	all
look	VB	look
at	IN	at
the	DT	the
Moon	NP	Moon
a	DT	a
bit	NN	bit
more	RBR	more
often	RB	often
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
.	SENT	.
Why	WRB	why
don	NN	don
'	POS	'
t	NN	t
we	PP	we
?	SENT	?
Well	RB	well
there	EX	there
'	''	'
s	NN	S
nothing	NN	nothing
to	TO	to
tell	VB	tell
us	PP	us
,	,	,
"	``	"
Look	VB	look
at	IN	at
the	DT	the
Moon	NP	Moon
.	SENT	.
"	``	"
But	CC	but
if	IN	if
you	PP	you
'	''	'
re	IN	re
a	DT	a
Zen	NP	Zen
Buddhist	NN	Buddhist
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
September	NP	September
,	,	,
you	PP	you
will	MD	will
be	VB	be
ordered	VBN	order
out	RP	out
of	IN	of
your	PP$	your
home	NN	home
,	,	,
made	VBN	make
to	TO	to
stand	VB	stand
on	IN	on
a	DT	a
canonical	JJ	canonical
platform	NN	platform
and	CC	and
made	VBD	make
to	TO	to
celebrate	VB	celebrate
the	DT	the
festival	NN	festival
of	IN	of
Tsukimi	NP	<unknown>
,	,	,
where	WRB	where
you	PP	you
will	MD	will
be	VB	be
given	VBN	give
poems	NNS	poem
to	TO	to
read	VB	read
in	IN	in
honor	NN	honor
of	IN	of
the	DT	the
Moon	NP	Moon
and	CC	and
the	DT	the
passage	NN	passage
of	IN	of
time	NN	time
and	CC	and
the	DT	the
frailty	NN	frailty
of	IN	of
life	NN	life
that	IN	that
it	PP	it
should	MD	should
remind	VB	remind
us	PP	us
of	IN	of
.	SENT	.
You	PP	you
'	''	'
ll	NN	ll
be	VB	be
handed	VBN	hand
rice	NN	rice
cakes	NNS	cake
.	SENT	.
And	CC	and
the	DT	the
Moon	NP	Moon
and	CC	and
the	DT	the
reflection	NN	reflection
on	IN	on
the	DT	the
Moon	NP	Moon
will	MD	will
have	VB	have
a	DT	a
secure	JJ	secure
place	NN	place
in	IN	in
your	PP$	your
heart	NN	heart
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
very	RB	very
good	JJ	good
.	SENT	.
The	DT	the
other	JJ	other
thing	NN	thing
that	IN	that
religions	NNS	religion
are	VBP	be
really	RB	really
aware	JJ	aware
of	IN	of
is	VBZ	be
:	:	:
speak	VB	speak
well	RB	well
â	NP	<unknown>
I	NP	I
'	POS	'
m	NN	m
not	RB	not
doing	VBG	do
a	DT	a
very	RB	very
good	JJ	good
job	NN	job
of	IN	of
this	DT	this
here	RB	here
â	NP	<unknown>
but	CC	but
oratory	NN	oratory
,	,	,
oratory	NN	oratory
is	VBZ	be
absolutely	RB	absolutely
key	JJ	key
to	TO	to
religions	NNS	religion
.	SENT	.
In	IN	in
the	DT	the
secular	JJ	secular
world	NN	world
,	,	,
you	PP	you
can	MD	can
come	VB	come
through	IN	through
the	DT	the
university	NN	university
system	NN	system
and	CC	and
be	VB	be
a	DT	a
lousy	JJ	lousy
speaker	NN	speaker
and	CC	and
still	RB	still
have	VB	have
a	DT	a
great	JJ	great
career	NN	career
.	SENT	.
But	CC	but
the	DT	the
religious	JJ	religious
world	NN	world
doesn	NN	<unknown>
'	POS	'
t	NN	t
think	VBP	think
that	DT	that
way	NN	way
.	SENT	.
What	WP	what
you	PP	you
'	''	'
re	IN	re
saying	VBG	say
needs	NNS	need
to	TO	to
be	VB	be
backed	VBN	back
up	RP	up
by	IN	by
a	DT	a
really	RB	really
convincing	JJ	convincing
way	NN	way
of	IN	of
saying	VBG	say
it	PP	it
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
go	VBP	go
to	TO	to
an	DT	an
African-American	NP	African-American
Pentecostalist	JJ	Pentecostalist
church	NN	church
in	IN	in
the	DT	the
American	NP	American
South	NP	South
and	CC	and
you	PP	you
listen	VBP	listen
to	TO	to
how	WRB	how
they	PP	they
talk	VBP	talk
,	,	,
my	PP$	my
goodness	NN	goodness
,	,	,
they	PP	they
talk	VBP	talk
well	RB	well
.	SENT	.
After	IN	after
every	DT	every
convincing	JJ	convincing
point	NN	point
,	,	,
people	NNS	people
will	MD	will
go	VB	go
,	,	,
"	``	"
Amen	UH	amen
,	,	,
amen	NN	amen
,	,	,
amen	NN	amen
.	SENT	.
"	''	"
At	IN	at
the	DT	the
end	NN	end
of	IN	of
a	DT	a
really	RB	really
rousing	JJ	rousing
paragraph	NN	paragraph
,	,	,
they	PP	they
'	POS	'
ll	NNS	<unknown>
all	RB	all
stand	VBP	stand
up	RP	up
,	,	,
and	CC	and
they	PP	they
'	POS	'
ll	NNS	<unknown>
go	VBP	go
,	,	,
"	``	"
Thank	VB	thank
you	PP	you
Jesus	NP	Jesus
,	,	,
thank	VB	thank
you	PP	you
Christ	NP	Christ
,	,	,
thank	VBP	thank
you	PP	you
Savior	NN	savior
.	SENT	.
"	``	"
If	IN	if
we	PP	we
were	VBD	be
doing	VBG	do
it	PP	it
like	IN	like
they	PP	they
do	VBP	do
it	PP	it
â	NP	<unknown>
let	NN	let
'	POS	'
s	NNS	<unknown>
not	RB	not
do	VBP	do
it	PP	it
,	,	,
but	CC	but
if	IN	if
we	PP	we
were	VBD	be
to	TO	to
do	VB	do
it	PP	it
â	NP	<unknown>
I	PP	I
would	MD	would
tell	VB	tell
you	PP	you
something	NN	something
like	IN	like
,	,	,
"	''	"
Culture	NP	Culture
should	MD	should
replace	VB	replace
scripture	NN	scripture
.	SENT	.
"	``	"
And	CC	and
you	PP	you
would	MD	would
go	VB	go
,	,	,
"	``	"
Amen	UH	amen
,	,	,
amen	NN	amen
,	,	,
amen	NN	amen
.	SENT	.
"	''	"
And	CC	and
at	IN	at
the	DT	the
end	NN	end
of	IN	of
my	PP$	my
talk	NN	talk
,	,	,
you	PP	you
would	MD	would
all	RB	all
stand	VB	stand
up	RP	up
and	CC	and
you	PP	you
would	MD	would
go	VB	go
,	,	,
"	``	"
Thank	VB	thank
you	PP	you
Plato	NP	Plato
,	,	,
thank	VBP	thank
you	PP	you
Shakespeare	NN	Shakespeare
,	,	,
thank	VB	thank
you	PP	you
Jane	NP	Jane
Austen	NP	Austen
.	SENT	.
"	``	"
And	CC	and
we	PP	we
'	POS	'
d	NN	d
know	VBP	know
that	IN	that
we	PP	we
had	VBD	have
a	DT	a
real	JJ	real
rhythm	NN	rhythm
going	VBG	go
.	SENT	.
All	DT	all
right	NN	right
,	,	,
all	DT	all
right	NN	right
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
getting	VBG	get
there	RB	there
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
getting	VBG	get
there	RB	there
.	SENT	.
The	DT	the
other	JJ	other
thing	NN	thing
that	IN	that
religions	NNS	religion
know	VBP	know
is	VBZ	be
we	PP	we
'	POS	'
re	NN	re
not	RB	not
just	RB	just
brains	NNS	brain
,	,	,
we	PP	we
are	VBP	be
also	RB	also
bodies	NNS	body
.	SENT	.
And	CC	and
when	WRB	when
they	PP	they
teach	VBP	teach
us	PP	us
a	DT	a
lesson	NN	lesson
,	,	,
they	PP	they
do	VBP	do
it	PP	it
via	IN	via
the	DT	the
body	NN	body
.	SENT	.
So	RB	so
for	IN	for
example	NN	example
,	,	,
take	VB	take
the	DT	the
Jewish	JJ	Jewish
idea	NN	idea
of	IN	of
forgiveness	NN	forgiveness
.	SENT	.
Jews	NPS	Jews
are	VBP	be
very	RB	very
interested	JJ	interested
in	IN	in
forgiveness	NN	forgiveness
and	CC	and
how	WRB	how
we	PP	we
should	MD	should
start	VB	start
anew	RB	anew
and	CC	and
start	VB	start
afresh	RB	afresh
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
just	RB	just
deliver	VB	deliver
us	PP	us
sermons	NNS	sermon
on	IN	on
this	DT	this
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
just	RB	just
give	VBP	give
us	PP	us
books	NNS	book
or	CC	or
words	NNS	word
about	IN	about
this	DT	this
.	SENT	.
They	PP	they
tell	VBP	tell
us	PP	us
to	TO	to
have	VB	have
a	DT	a
bath	NN	bath
.	SENT	.
So	RB	so
in	IN	in
Orthodox	JJ	Orthodox
Jewish	JJ	Jewish
communities	NNS	community
,	,	,
every	DT	every
Friday	NP	Friday
you	PP	you
go	VBP	go
to	TO	to
a	DT	a
Mikveh	NP	<unknown>
.	SENT	.
You	PP	you
immerse	VBP	immerse
yourself	PP	yourself
in	IN	in
the	DT	the
water	NN	water
,	,	,
and	CC	and
a	DT	a
physical	JJ	physical
action	NN	action
backs	VBZ	back
up	RP	up
a	DT	a
philosophical	JJ	philosophical
idea	NN	idea
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
tend	VBP	tend
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
Our	PP$	our
ideas	NNS	idea
are	VBP	be
in	IN	in
one	CD	one
area	NN	area
and	CC	and
our	PP$	our
behavior	NN	behavior
with	IN	with
our	PP$	our
bodies	NNS	body
is	VBZ	be
in	IN	in
another	DT	another
.	SENT	.
Religions	NNS	religion
are	VBP	be
fascinating	JJ	fascinating
in	IN	in
the	DT	the
way	NN	way
they	PP	they
try	VBP	try
and	CC	and
combine	VBP	combine
the	DT	the
two	CD	two
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
look	VBP	look
at	IN	at
art	NN	art
now	RB	now
.	SENT	.
Now	RB	now
art	NN	art
is	VBZ	be
something	NN	something
that	IN	that
in	IN	in
the	DT	the
secular	JJ	secular
world	NN	world
,	,	,
we	PP	we
think	VBP	think
very	RB	very
highly	RB	highly
of	IN	of
.	SENT	.
We	PP	we
think	VBP	think
art	NN	art
is	VBZ	be
really	RB	really
,	,	,
really	RB	really
important	JJ	important
.	SENT	.
A	DT	a
lot	NN	lot
of	IN	of
our	PP$	our
surplus	NN	surplus
wealth	NN	wealth
goes	VBZ	go
to	TO	to
museums	NNS	museum
,	,	,
etc	FW	etc
.	SENT	.
We	PP	we
sometimes	RB	sometimes
hear	VBP	hear
it	PP	it
said	VBD	say
that	IN	that
museums	NNS	museum
are	VBP	be
our	PP$	our
new	JJ	new
cathedrals	NNS	cathedral
,	,	,
or	CC	or
our	PP$	our
new	JJ	new
churches	NNS	church
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
heard	VBD	hear
that	IN	that
saying	VBG	say
.	SENT	.
Now	RB	now
I	PP	I
think	VBP	think
that	IN	that
the	DT	the
potential	NN	potential
is	VBZ	be
there	RB	there
,	,	,
but	CC	but
we	PP	we
'	POS	'
ve	NNS	<unknown>
completely	RB	completely
let	VBP	let
ourselves	PP	ourselves
down	RP	down
.	SENT	.
And	CC	and
the	DT	the
reason	NN	reason
we	PP	we
'	POS	'
ve	NNS	<unknown>
let	VBP	let
ourselves	PP	ourselves
down	RB	down
is	VBZ	be
that	IN	that
we	PP	we
'	POS	'
re	NN	re
not	RB	not
properly	RB	properly
studying	VBG	study
how	WRB	how
religions	NNS	religion
handle	VBP	handle
art	NN	art
.	SENT	.
The	DT	the
two	CD	two
really	RB	really
bad	JJ	bad
ideas	NNS	idea
that	WDT	that
are	VBP	be
hovering	VBG	hover
in	IN	in
the	DT	the
modern	JJ	modern
world	NN	world
that	WDT	that
inhibit	VBP	inhibit
our	PP$	our
capacity	NN	capacity
to	TO	to
draw	VB	draw
strength	NN	strength
from	IN	from
art	NN	art
:	:	:
The	DT	the
first	JJ	first
idea	NN	idea
is	VBZ	be
that	IN	that
art	NN	art
should	MD	should
be	VB	be
for	IN	for
art	NN	art
'	POS	'
s	NN	S
sake	NN	sake
â	NP	<unknown>
a	DT	a
ridiculous	JJ	ridiculous
idea	NN	idea
â	NP	<unknown>
an	DT	an
idea	NN	idea
that	IN	that
art	NN	art
should	MD	should
live	VB	live
in	IN	in
a	DT	a
hermetic	JJ	hermetic
bubble	NN	bubble
and	CC	and
should	MD	should
not	RB	not
try	VB	try
to	TO	to
do	VB	do
anything	NN	anything
with	IN	with
this	DT	this
troubled	JJ	troubled
world	NN	world
.	SENT	.
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
disagree	VBP	disagree
more	RBR	more
.	SENT	.
The	DT	the
other	JJ	other
thing	NN	thing
that	IN	that
we	PP	we
believe	VBP	believe
is	VBZ	be
that	IN	that
art	NN	art
shouldn	NN	<unknown>
'	POS	'
t	NN	t
explain	VB	explain
itself	PP	itself
,	,	,
that	DT	that
artists	NNS	artist
shouldn	NN	<unknown>
'	POS	'
t	NN	t
say	VBP	say
what	WP	what
they	PP	they
'	POS	'
re	NN	re
up	RB	up
to	TO	to
,	,	,
because	IN	because
if	IN	if
they	PP	they
said	VBD	say
it	PP	it
,	,	,
it	PP	it
might	MD	might
destroy	VB	destroy
the	DT	the
spell	NN	spell
and	CC	and
we	PP	we
might	MD	might
find	VB	find
it	PP	it
too	RB	too
easy	JJ	easy
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
why	WRB	why
a	DT	a
very	RB	very
common	JJ	common
feeling	NN	feeling
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
in	IN	in
a	DT	a
museum	NN	museum
â	NP	<unknown>
let	NN	let
'	POS	'
s	NNS	<unknown>
admit	VB	admit
it	PP	it
â	NP	<unknown>
is	VBZ	be
,	,	,
"	``	"
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
what	WP	what
this	DT	this
is	VBZ	be
about	RB	about
.	SENT	.
"	''	"
But	CC	but
if	IN	if
we	PP	we
'	''	'
re	IN	re
serious	JJ	serious
people	NNS	people
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
admit	VBP	admit
to	TO	to
that	DT	that
.	SENT	.
But	CC	but
that	DT	that
feeling	NN	feeling
of	IN	of
puzzlement	NN	puzzlement
is	VBZ	be
structural	JJ	structural
to	TO	to
contemporary	JJ	contemporary
art	NN	art
.	SENT	.
Now	RB	now
religions	NNS	religion
have	VBP	have
a	DT	a
much	RB	much
saner	JJR	sane
attitude	NN	attitude
to	TO	to
art	NN	art
.	SENT	.
They	PP	they
have	VBP	have
no	DT	no
trouble	NN	trouble
telling	VBG	tell
us	PP	us
what	WP	what
art	NN	art
is	VBZ	be
about	RB	about
.	SENT	.
Art	NP	Art
is	VBZ	be
about	RB	about
two	CD	two
things	NNS	thing
in	IN	in
all	PDT	all
the	DT	the
major	JJ	major
faiths	NNS	faith
.	SENT	.
Firstly	RB	firstly
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
trying	VBG	try
to	TO	to
remind	VB	remind
you	PP	you
of	IN	of
what	WDT	what
there	EX	there
is	VBZ	be
to	TO	to
love	VB	love
.	SENT	.
And	CC	and
secondly	RB	secondly
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
trying	VBG	try
to	TO	to
remind	VB	remind
you	PP	you
of	IN	of
what	WDT	what
there	EX	there
is	VBZ	be
to	TO	to
fear	VB	fear
and	CC	and
to	TO	to
hate	VB	hate
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
art	NN	art
is	VBZ	be
.	SENT	.
Art	NP	Art
is	VBZ	be
a	DT	a
visceral	JJ	visceral
encounter	NN	encounter
with	IN	with
the	DT	the
most	RBS	most
important	JJ	important
ideas	NNS	idea
of	IN	of
your	PP$	your
faith	NN	faith
.	SENT	.
So	RB	so
as	IN	as
you	PP	you
walk	VBP	walk
around	IN	around
a	DT	a
church	NN	church
,	,	,
or	CC	or
a	DT	a
mosque	NN	mosque
or	CC	or
a	DT	a
cathedral	NN	cathedral
,	,	,
what	WP	what
you	PP	you
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
imbibe	VB	imbibe
,	,	,
what	WP	what
you	PP	you
'	POS	'
re	NN	re
imbibing	VBG	imbibe
is	VBZ	be
,	,	,
through	IN	through
your	PP$	your
eyes	NNS	eye
,	,	,
through	IN	through
your	PP$	your
senses	NNS	sense
,	,	,
truths	NNS	truth
that	WDT	that
have	VBP	have
otherwise	RB	otherwise
come	VBN	come
to	TO	to
you	PP	you
through	IN	through
your	PP$	your
mind	NN	mind
.	SENT	.
Essentially	RB	essentially
it	PP	it
'	POS	'
s	NN	S
propaganda	NN	propaganda
.	SENT	.
Rembrandt	NP	Rembrandt
is	VBZ	be
a	DT	a
propagandist	NN	propagandist
in	IN	in
the	DT	the
Christian	JJ	Christian
view	NN	view
.	SENT	.
Now	RB	now
the	DT	the
word	NN	word
"	``	"
propaganda	NN	propaganda
"	''	"
sets	NNS	set
off	IN	off
alarm	NN	alarm
bells	NNS	bell
.	SENT	.
We	PP	we
think	VBP	think
of	IN	of
Hitler	NP	Hitler
,	,	,
we	PP	we
think	VBP	think
of	IN	of
Stalin	NP	Stalin
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
,	,	,
necessarily	RB	necessarily
.	SENT	.
Propaganda	NN	propaganda
is	VBZ	be
a	DT	a
manner	NN	manner
of	IN	of
being	VBG	be
didactic	JJ	didactic
in	IN	in
honor	NN	honor
of	IN	of
something	NN	something
.	SENT	.
And	CC	and
if	IN	if
that	DT	that
thing	NN	thing
is	VBZ	be
good	JJ	good
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
problem	NN	problem
with	IN	with
it	PP	it
at	IN	at
all	DT	all
.	SENT	.
My	PP$	my
view	NN	view
is	VBZ	be
that	IN	that
museums	NNS	museum
should	MD	should
take	VB	take
a	DT	a
leaf	NN	leaf
out	RP	out
of	IN	of
the	DT	the
book	NN	book
of	IN	of
religions	NNS	religion
.	SENT	.
And	CC	and
they	PP	they
should	MD	should
make	VB	make
sure	JJ	sure
that	IN	that
when	WRB	when
you	PP	you
walk	VBP	walk
into	IN	into
a	DT	a
museum	NN	museum
â	NP	<unknown>
if	IN	if
I	PP	I
was	VBD	be
a	DT	a
museum	NN	museum
curator	NN	curator
,	,	,
I	PP	I
would	MD	would
make	VB	make
a	DT	a
room	NN	room
for	IN	for
love	NN	love
,	,	,
a	DT	a
room	NN	room
for	IN	for
generosity	NN	generosity
.	SENT	.
All	DT	all
works	NNS	work
of	IN	of
art	NN	art
are	VBP	be
talking	VBG	talk
to	TO	to
us	PP	us
about	IN	about
things	NNS	thing
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
arrange	VB	arrange
spaces	NNS	space
where	WRB	where
we	PP	we
could	MD	could
come	VB	come
across	IN	across
works	NNS	work
where	WRB	where
we	PP	we
would	MD	would
be	VB	be
told	VBN	tell
,	,	,
use	VBP	use
these	DT	these
works	NNS	work
of	IN	of
art	NN	art
to	TO	to
cement	VB	cement
these	DT	these
ideas	NNS	idea
in	IN	in
your	PP$	your
mind	NN	mind
,	,	,
we	PP	we
would	MD	would
get	VB	get
a	DT	a
lot	NN	lot
more	RBR	more
out	RB	out
of	IN	of
art	NN	art
.	SENT	.
Art	NP	Art
would	MD	would
pick	VB	pick
up	RP	up
the	DT	the
duty	NN	duty
that	IN	that
it	PP	it
used	VBD	use
to	TO	to
have	VB	have
and	CC	and
that	IN	that
we	PP	we
'	POS	'
ve	NNS	<unknown>
neglected	VBN	neglect
because	IN	because
of	IN	of
certain	JJ	certain
mis-founded	JJ	<unknown>
ideas	NNS	idea
.	SENT	.
Art	NN	art
should	MD	should
be	VB	be
one	CD	one
of	IN	of
the	DT	the
tools	NNS	tool
by	IN	by
which	WDT	which
we	PP	we
improve	VBP	improve
our	PP$	our
society	NN	society
.	SENT	.
Art	NN	art
should	MD	should
be	VB	be
didactic	JJ	didactic
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
think	VBP	think
of	IN	of
something	NN	something
else	RB	else
.	SENT	.
The	DT	the
people	NNS	people
in	IN	in
the	DT	the
modern	JJ	modern
world	NN	world
,	,	,
in	IN	in
the	DT	the
secular	JJ	secular
world	NN	world
,	,	,
who	WP	who
are	VBP	be
interested	JJ	interested
in	IN	in
matters	NNS	matter
of	IN	of
the	DT	the
spirit	NN	spirit
,	,	,
in	IN	in
matters	NNS	matter
of	IN	of
the	DT	the
mind	NN	mind
,	,	,
in	IN	in
higher	JJR	high
soul-like	JJ	soul-like
concerns	NNS	concern
,	,	,
tend	VBP	tend
to	TO	to
be	VB	be
isolated	VBN	isolate
individuals	NNS	individual
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
poets	NNS	poet
,	,	,
they	PP	they
'	POS	'
re	NN	re
philosophers	NNS	philosopher
,	,	,
they	PP	they
'	POS	'
re	NN	re
photographers	NNS	photographer
,	,	,
they	PP	they
'	POS	'
re	NN	re
filmmakers	NNS	filmmaker
.	SENT	.
And	CC	and
they	PP	they
tend	VBP	tend
to	TO	to
be	VB	be
on	IN	on
their	PP$	their
own	JJ	own
.	SENT	.
They	PP	they
'	''	'
re	IN	re
our	PP$	our
cottage	NN	cottage
industries	NNS	industry
.	SENT	.
They	PP	they
are	VBP	be
vulnerable	JJ	vulnerable
,	,	,
single	JJ	single
people	NNS	people
.	SENT	.
And	CC	and
they	PP	they
get	VBP	get
depressed	VBN	depress
and	CC	and
they	PP	they
get	VBP	get
sad	JJ	sad
on	IN	on
their	PP$	their
own	JJ	own
.	SENT	.
And	CC	and
they	PP	they
don	NN	don
'	POS	'
t	NN	t
really	RB	really
change	VB	change
much	RB	much
.	SENT	.
Now	RB	now
think	VB	think
about	IN	about
religions	NNS	religion
,	,	,
think	VBP	think
about	IN	about
organized	JJ	organized
religions	NNS	religion
.	SENT	.
What	WP	what
do	VBP	do
organized	JJ	organized
religions	NNS	religion
do	VBP	do
?	SENT	?
They	PP	they
group	VBP	group
together	RB	together
,	,	,
they	PP	they
form	VBP	form
institutions	NNS	institution
.	SENT	.
And	CC	and
that	WDT	that
has	VBZ	have
all	DT	all
sorts	NNS	sort
of	IN	of
advantages	NNS	advantage
.	SENT	.
First	JJ	first
of	IN	of
all	DT	all
,	,	,
scale	NN	scale
,	,	,
might	MD	might
.	SENT	.
The	DT	the
Catholic	NP	Catholic
Church	NP	Church
pulled	VBD	pull
in	IN	in
97	CD	@card@
billion	NN	billion
dollars	NNS	dollar
last	JJ	last
year	NN	year
according	VBG	accord
to	TO	to
the	DT	the
Wall	NP	Wall
Street	NP	Street
Journal	NP	Journal
.	SENT	.
These	DT	these
are	VBP	be
massive	JJ	massive
machines	NNS	machine
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
collaborative	JJ	collaborative
,	,	,
they	PP	they
'	POS	'
re	NN	re
branded	VBD	brand
,	,	,
they	PP	they
'	POS	'
re	NN	re
multinational	JJ	multinational
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
highly	RB	highly
disciplined	VBN	discipline
.	SENT	.
These	DT	these
are	VBP	be
all	RB	all
very	RB	very
good	JJ	good
qualities	NNS	quality
.	SENT	.
We	PP	we
recognize	VBP	recognize
them	PP	them
in	IN	in
relation	NN	relation
to	TO	to
corporations	NNS	corporation
.	SENT	.
And	CC	and
corporations	NNS	corporation
are	VBP	be
very	RB	very
like	IN	like
religions	NNS	religion
in	IN	in
many	JJ	many
ways	NNS	way
,	,	,
except	IN	except
they	PP	they
'	POS	'
re	NN	re
right	RB	right
down	RB	down
at	IN	at
the	DT	the
bottom	NN	bottom
of	IN	of
the	DT	the
pyramid	NN	pyramid
of	IN	of
needs	NNS	need
.	SENT	.
They	PP	they
'	''	'
re	IN	re
selling	VBG	sell
us	PP	us
shoes	NNS	shoe
and	CC	and
cars	NNS	car
.	SENT	.
Whereas	IN	whereas
the	DT	the
people	NNS	people
who	WP	who
are	VBP	be
selling	VBG	sell
us	PP	us
the	DT	the
higher	JJR	high
stuff	NN	stuff
â	NP	<unknown>
the	DT	the
therapists	NNS	therapist
,	,	,
the	DT	the
poets	NNS	poet
â	NP	<unknown>
are	VBP	be
on	IN	on
their	PP$	their
own	JJ	own
and	CC	and
they	PP	they
have	VBP	have
no	DT	no
power	NN	power
,	,	,
they	PP	they
have	VBP	have
no	DT	no
might	NN	might
.	SENT	.
So	RB	so
religions	NNS	religion
are	VBP	be
the	DT	the
foremost	JJ	foremost
example	NN	example
of	IN	of
an	DT	an
institution	NN	institution
that	WDT	that
is	VBZ	be
fighting	VBG	fight
for	IN	for
the	DT	the
things	NNS	thing
of	IN	of
the	DT	the
mind	NN	mind
.	SENT	.
Now	RB	now
we	PP	we
may	MD	may
not	RB	not
agree	VB	agree
with	IN	with
what	WP	what
religions	NNS	religion
are	VBP	be
trying	VBG	try
to	TO	to
teach	VB	teach
us	PP	us
,	,	,
but	CC	but
we	PP	we
can	MD	can
admire	VB	admire
the	DT	the
institutional	JJ	institutional
way	NN	way
in	IN	in
which	WDT	which
they	PP	they
'	''	'
re	IN	re
doing	VBG	do
it	PP	it
.	SENT	.
Books	NNS	book
alone	RB	alone
,	,	,
books	NNS	book
written	VBN	write
by	IN	by
lone	JJ	lone
individuals	NNS	individual
,	,	,
are	VBP	be
not	RB	not
going	VBG	go
to	TO	to
change	VB	change
anything	NN	anything
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
group	VB	group
together	RB	together
.	SENT	.
If	IN	if
you	PP	you
want	VBP	want
to	TO	to
change	VB	change
the	DT	the
world	NN	world
,	,	,
you	PP	you
have	VBP	have
to	TO	to
group	NN	group
together	RB	together
,	,	,
you	PP	you
have	VBP	have
to	TO	to
be	VB	be
collaborative	JJ	collaborative
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
religions	NNS	religion
do	VBP	do
.	SENT	.
They	PP	they
are	VBP	be
multinational	JJ	multinational
,	,	,
as	IN	as
I	PP	I
