Anna	NP	Anna
Jemima	NP	Jemima
,	,	,
who	WP	who
was	VBD	be
smiling	VBG	smile
and	CC	and
wanted	VBD	want
to	TO	to
do	VB	do
,	,	,
you	PP	you
know	VBP	know
,	,	,
wanted	VBD	want
to	TO	to
serve	VB	serve
her	PP$	her
white	JJ	white
family	NN	family
more	JJR	more
than	IN	than
her	PP$	her
own	JJ	own
.	SENT	.
The	DT	the
matriarch	NN	matriarch
trope	NN	trope
that	IN	that
Black	NP	Black
families	NNS	family
have	VBP	have
been	VBN	be
separated	VBN	separate
from	IN	from
each	DT	each
other	JJ	other
,	,	,
not	RB	not
because	IN	because
of	IN	of
systems	NNS	system
that	WDT	that
have	VBP	have
made	VBN	make
it	PP	it
so	IN	so
that	DT	that
--	:	--
you	PP	you
know	VBP	know
,	,	,
mass	JJ	mass
incarceration	NN	incarceration
or	CC	or
so	RB	so
many	JJ	many
other	JJ	other
things	NNS	thing
that	IN	that
I	PP	I
can	MD	can
mention	VB	mention
,	,	,
but	CC	but
instead	RB	instead
because	IN	because
Black	NP	Black
women	NNS	woman
were	VBD	be
emasculating	VBG	emasculate
their	PP$	their
men	NNS	man
.	SENT	.
Or	CC	or
the	DT	the
Jezebel	NP	Jezebel
trope	NN	trope
that	IN	that
justified	JJ	justified
sexual	JJ	sexual
violence	NN	violence
against	IN	against
Black	NP	Black
women	NNS	woman
because	IN	because
that	DT	that
'	''	'
s	NNS	<unknown>
what	WDT	what
Black	NP	Black
women	NNS	woman
wanted	VBD	want
,	,	,
they	PP	they
were	VBD	be
more	RBR	more
promiscuous	JJ	promiscuous
.	SENT	.
Even	RB	even
the	DT	the
"	``	"
welfare	NN	welfare
queen	NN	queen
,	,	,
"	''	"
saying	VBG	say
Black	NP	Black
women	NNS	woman
are	VBP	be
having	VBG	have
children	NNS	child
just	RB	just
to	TO	to
make	VB	make
money	NN	money
.	SENT	.
So	RB	so
you	PP	you
have	VBP	have
to	TO	to
understand	VB	understand
this	DT	this
is	VBZ	be
a	DT	a
very	RB	very
long	JJ	long
,	,	,
ugly	JJ	ugly
,	,	,
painful	JJ	painful
history	NN	history
that	IN	that
we	PP	we
are	VBP	be
dealing	VBG	deal
with	IN	with
as	IN	as
Black	NP	Black
women	NNS	woman
day	NN	day
in	IN	in
and	CC	and
day	NN	day
out	RB	out
.	SENT	.
And	CC	and
when	WRB	when
people	NNS	people
don	VB	don
'	''	'
t	NN	t
get	VBP	get
that	IN	that
those	DT	those
are	VBP	be
the	DT	the
burdens	NNS	burden
we	PP	we
are	VBP	be
holding	VBG	hold
,	,	,
years	NNS	year
and	CC	and
centuries	NNS	century
of	IN	of
being	VBG	be
told	VBN	tell
that	DT	that
everything	NN	everything
that	RB	that
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
to	TO	to
you	PP	you
,	,	,
the	DT	the
pain	NN	pain
you	PP	you
'	''	'
re	IN	re
going	VBG	go
through	RP	through
,	,	,
is	VBZ	be
because	IN	because
of	IN	of
you	PP	you
and	CC	and
not	RB	not
because	IN	because
of	IN	of
policies	NNS	policy
we	PP	we
'	POS	'
ve	NN	ve
voted	VBD	vote
for	IN	for
or	CC	or
the	DT	the
ways	NNS	way
in	IN	in
which	WDT	which
we	PP	we
kept	VBD	keep
you	PP	you
from	IN	from
being	VBG	be
elected	VBN	elect
or	CC	or
even	RB	even
being	VBG	be
able	JJ	able
to	TO	to
run	VB	run
for	IN	for
office	NN	office
or	CC	or
even	RB	even
vote	VB	vote
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
where	WRB	where
it	PP	it
really	RB	really
begins	VBZ	begin
.	SENT	.
Take	VB	take
the	DT	the
time	NN	time
as	RB	as
much	RB	much
as	IN	as
you	PP	you
can	MD	can
to	TO	to
know	VB	know
how	WRB	how
we	PP	we
'	POS	'
ve	NNS	<unknown>
gotten	VBN	get
to	TO	to
where	WRB	where
it	PP	it
is	VBZ	be
right	RB	right
now	RB	now
and	CC	and
then	RB	then
to	TO	to
really	RB	really
have	VB	have
a	DT	a
moment	NN	moment
where	WRB	where
you	PP	you
fully	RB	fully
appreciate	VBP	appreciate
the	DT	the
incredible	JJ	incredible
resistance	NN	resistance
of	IN	of
Black	NP	Black
women	NNS	woman
and	CC	and
the	DT	the
ways	NNS	way
in	IN	in
which	WDT	which
we	PP	we
'	POS	'
ve	NN	ve
continued	VBD	continue
to	TO	to
create	VB	create
life	NN	life
,	,	,
despite	IN	despite
the	DT	the
ways	NNS	way
that	IN	that
people	NNS	people
have	VBP	have
tried	VBN	try
to	TO	to
rob	VB	rob
it	PP	it
from	IN	from
us	PP	us
.	SENT	.
And	CC	and
the	DT	the
vision	NN	vision
behind	IN	behind
what	WDT	what
Black	NP	Black
women	NNS	woman
have	VBP	have
been	VBN	be
able	JJ	able
to	TO	to
accomplish	VB	accomplish
,	,	,
what	WP	what
they	PP	they
have	VBP	have
imagined	VBN	imagine
for	IN	for
this	DT	this
world	NN	world
because	IN	because
we	PP	we
can	MD	can
'	''	'
t	NN	t
accept	VB	accept
the	DT	the
situation	NN	situation
as	IN	as
it	PP	it
is	VBZ	be
right	RB	right
now	RB	now
because	IN	because
that	DT	that
dehumanize	VB	dehumanize
us	PP	us
.	SENT	.
But	CC	but
we	PP	we
have	VBP	have
pushed	VBN	push
this	DT	this
nation	NN	nation
forward	RB	forward
to	TO	to
our	PP$	our
vision	NN	vision
in	IN	in
incredible	JJ	incredible
ways	NNS	way
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
only	RB	only
Stacey	NP	Stacey
Abrams	NP	Abrams
in	IN	in
Georgia	NP	Georgia
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
long	JJ	long
,	,	,
long	JJ	long
history	NN	history
of	IN	of
Black	NP	Black
women	NNS	woman
saying	VBG	say
,	,	,
"	``	"
We	PP	we
don	VBP	don
'	''	'
t	NN	t
agree	VBP	agree
with	IN	with
the	DT	the
system	NN	system
as	IN	as
it	PP	it
is	VBZ	be
now	RB	now
.	SENT	.
So	RB	so
here	RB	here
is	VBZ	be
how	WRB	how
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
help	VB	help
you	PP	you
see	VB	see
the	DT	the
world	NN	world
and	CC	and
the	DT	the
possibilities	NNS	possibility
from	IN	from
our	PP$	our
perspective	NN	perspective
.	SENT	.
"	``	"
And	CC	and
you	PP	you
look	VBP	look
at	IN	at
American	JJ	American
history	NN	history
from	IN	from
that	DT	that
angle	NN	angle
,	,	,
and	CC	and
it	PP	it
is	VBZ	be
powerful	JJ	powerful
.	SENT	.
There	EX	there
is	VBZ	be
nothing	NN	nothing
like	IN	like
it	PP	it
.	SENT	.
And	CC	and
therefore	RB	therefore
,	,	,
you	PP	you
better	VBP	better
understand	VB	understand
why	WRB	why
we	PP	we
should	MD	should
elect	VB	elect
more	JJR	more
Black	NP	Black
women	NNS	woman
,	,	,
why	WRB	why
we	PP	we
should	MD	should
vote	VB	vote
for	IN	for
them	PP	them
to	TO	to
help	VB	help
usher	VB	usher
our	PP$	our
country	NN	country
and	CC	and
continue	VB	continue
to	TO	to
do	VB	do
it	PP	it
.	SENT	.
But	CC	but
with	IN	with
even	RB	even
more	JJR	more
support	NN	support
and	CC	and
even	RB	even
more	JJR	more
backing	NN	backing
,	,	,
because	IN	because
without	IN	without
that	DT	that
backing	NN	backing
,	,	,
without	IN	without
that	DT	that
support	NN	support
,	,	,
when	WRB	when
Black	NP	Black
women	NNS	woman
have	VBP	have
been	VBN	be
erased	VBN	erase
and	CC	and
misrecognized	VBN	misrecognize
,	,	,
misrepresented	VBD	misrepresent
,	,	,
we	PP	we
have	VBP	have
still	RB	still
created	VBN	create
incredible	JJ	incredible
change	NN	change
.	SENT	.
So	RB	so
now	RB	now
we	PP	we
'	POS	'
re	NN	re
asking	VBG	ask
that	IN	that
we	PP	we
be	VB	be
heard	VBN	hear
,	,	,
we	PP	we
be	VB	be
listened	VBN	listen
to	TO	to
,	,	,
and	CC	and
that	IN	that
our	PP$	our
energy	NN	energy
no	RB	no
longer	RBR	longer
be	VB	be
spent	VBN	spend
on	IN	on
explaining	VBG	explain
how	WRB	how
we	PP	we
got	VBD	get
here	RB	here
,	,	,
but	CC	but
instead	RB	instead
on	IN	on
how	WRB	how
we	PP	we
can	MD	can
do	VB	do
whatever	WDT	whatever
is	VBZ	be
next	JJ	next
and	CC	and
whatever	WDT	whatever
is	VBZ	be
possible	JJ	possible
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
a	DT	a
combination	NN	combination
of	IN	of
try	NN	try
to	TO	to
learn	VB	learn
our	PP$	our
history	NN	history
,	,	,
support	VB	support
us	PP	us
as	IN	as
leaders	NNS	leader
,	,	,
put	VBD	put
those	DT	those
tools	NNS	tool
in	IN	in
our	PP$	our
hands	NNS	hand
as	IN	as
much	RB	much
as	RB	as
possible	JJ	possible
.	SENT	.
Trust	VB	trust
us	PP	us
,	,	,
hear	VB	hear
us	PP	us
,	,	,
believe	VB	believe
us	PP	us
,	,	,
and	CC	and
also	RB	also
stop	VB	stop
wasting	VBG	waste
our	PP$	our
time	NN	time
on	IN	on
the	DT	the
need	NN	need
to	TO	to
explain	VB	explain
the	DT	the
extra	JJ	extra
when	WRB	when
that	DT	that
'	''	'
s	NNS	<unknown>
work	VBP	work
that	IN	that
we	PP	we
can	MD	can
do	VB	do
on	IN	on
our	PP$	our
own	JJ	own
.	SENT	.
That	DT	that
kind	NN	kind
of	IN	of
brings	VBZ	bring
me	PP	me
full	JJ	full
circle	NN	circle
to	TO	to
my	PP$	my
research	NN	research
being	NN	being
around	IN	around
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
reach	VB	reach
out	RP	out
to	TO	to
the	DT	the
family	NN	family
until	IN	until
I	PP	I
'	POS	'
d	NN	d
done	VBN	do
my	PP$	my
part	NN	part
.	SENT	.
So	RB	so
,	,	,
yeah	RB	yeah
,	,	,
I	PP	I
mean	VBP	mean
,	,	,
even	RB	even
attending	VBG	attend
a	DT	a
conversation	NN	conversation
like	IN	like
this	DT	this
is	VBZ	be
part	NN	part
of	IN	of
doing	VBG	do
your	PP$	your
part	NN	part
,	,	,
so	RB	so
kudos	NN	kudos
to	TO	to
you	PP	you
all	DT	all
.	SENT	.
We	PP	we
'	''	'
re	IN	re
all	DT	all
real	JJ	real
starting	VBG	start
today	NN	today
.	SENT	.
WPR	NN	WPR
:	:	:
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
doing	VBG	do
your	PP$	your
part	NN	part
to	TO	to
sort	VB	sort
to	TO	to
educate	VB	educate
yourself	PP	yourself
on	IN	on
information	NN	information
that	WDT	that
already	RB	already
exists	VBZ	exist
out	RP	out
there	RB	there
,	,	,
it	PP	it
sounds	VBZ	sound
like	IN	like
.	SENT	.
Beyond	IN	beyond
what	WP	what
we	PP	we
could	MD	could
do	VB	do
individually	RB	individually
to	TO	to
educate	VB	educate
ourselves	PP	ourselves
and	CC	and
make	VB	make
change	NN	change
in	IN	in
this	DT	this
space	NN	space
,	,	,
what	WP	what
can	MD	can
we	PP	we
expect	VB	expect
from	IN	from
our	PP$	our
government	NN	government
to	TO	to
do	VB	do
more	JJR	more
on	IN	on
the	DT	the
national	JJ	national
scale	NN	scale
and	CC	and
even	RB	even
thinking	VBG	think
globally	RB	globally
?	SENT	?
What	WP	what
are	VBP	be
some	DT	some
things	NNS	thing
that	IN	that
you	PP	you
would	MD	would
like	VB	like
to	TO	to
see	VB	see
so	RB	so
that	IN	that
we	PP	we
change	VBP	change
the	DT	the
way	NN	way
that	IN	that
we	PP	we
,	,	,
as	IN	as
a	DT	a
culture	NN	culture
,	,	,
think	VBP	think
about	IN	about
Black	NP	Black
motherhood	NN	motherhood
?	SENT	?
AMT	NP	AMT
:	:	:
For	IN	for
this	DT	this
one	CD	one
,	,	,
because	IN	because
I	PP	I
'	POS	'
ll	NNS	<unknown>
give	VBP	give
it	PP	it
quicker	JJR	quick
answer	NN	answer
than	IN	than
I	PP	I
have	VBP	have
in	IN	in
me	PP	me
,	,	,
because	IN	because
you	PP	you
can	MD	can
tell	VB	tell
I	PP	I
like	VB	like
to	TO	to
talk	VB	talk
,	,	,
and	CC	and
I	PP	I
can	MD	can
go	VB	go
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
.	SENT	.
But	CC	but
in	IN	in
the	DT	the
book	NN	book
,	,	,
the	DT	the
concluding	VBG	conclude
chapter	NN	chapter
is	VBZ	be
entirely	RB	entirely
about	RB	about
what	WP	what
we	PP	we
need	VBP	need
to	TO	to
do	VB	do
as	IN	as
a	DT	a
world	NN	world
and	CC	and
what	WP	what
are	VBP	be
the	DT	the
lessons	NNS	lesson
that	IN	that
Alberta	NP	Alberta
,	,	,
Berdis	NP	<unknown>
and	CC	and
Louise	NP	Louise
'	POS	'
s	NN	S
lives	NNS	life
are	VBP	be
teaching	VBG	teach
us	PP	us
about	IN	about
our	PP$	our
next	JJ	next
steps	NNS	step
forward	RB	forward
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
policy	NN	policy
,	,	,
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
--	:	--
actually	RB	actually
even	RB	even
kind	NN	kind
of	IN	of
the	DT	the
three-level	JJ	three-level
layer	NN	layer
that	IN	that
I	PP	I
like	VBP	like
to	TO	to
talk	VB	talk
about	RB	about
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
interpersonal	JJ	interpersonal
level	NN	level
,	,	,
is	VBZ	be
an	DT	an
important	JJ	important
one	CD	one
.	SENT	.
The	DT	the
conversations	NNS	conversation
that	IN	that
we	PP	we
'	''	'
re	IN	re
having	VBG	have
with	IN	with
each	DT	each
other	JJ	other
and	CC	and
the	DT	the
stories	NNS	story
that	IN	that
we	PP	we
'	POS	'
re	NN	re
telling	VBG	tell
,	,	,
when	WRB	when
I	PP	I
,	,	,
you	PP	you
know	VBP	know
,	,	,
in	IN	in
the	DT	the
TED	VBP	ted
Talk	NN	talk
,	,	,
a	DT	a
little	JJ	little
snippet	NN	snippet
,	,	,
where	WRB	where
we	PP	we
have	VBP	have
mothers	NNS	mother
who	WP	who
feel	VBP	feel
like	IN	like
they	PP	they
have	VBP	have
to	TO	to
be	VB	be
selfless	JJ	selfless
and	CC	and
that	IN	that
we	PP	we
celebrate	VBP	celebrate
mothers	NNS	mother
for	IN	for
being	VBG	be
selfless	JJ	selfless
.	SENT	.
So	RB	so
even	RB	even
around	IN	around
Mother	NP	Mother
'	POS	'
s	NN	S
Day	NN	day
,	,	,
we	PP	we
say	VBP	say
to	TO	to
moms	NNS	mom
,	,	,
"	``	"
Thank	VB	thank
you	PP	you
for	IN	for
sacrificing	VBG	sacrifice
everything	NN	everything
for	IN	for
me	PP	me
and	CC	and
for	IN	for
putting	VBG	put
yourself	PP	yourself
behind	IN	behind
everybody	NN	everybody
.	SENT	.
"	''	"
And	CC	and
yes	UH	yes
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
mothers	NNS	mother
have	VBP	have
done	VBN	do
that	IN	that
,	,	,
and	CC	and
certainly	RB	certainly
if	IN	if
they	PP	they
have	VBP	have
,	,	,
we	PP	we
should	MD	should
thank	VB	thank
them	PP	them
for	IN	for
that	DT	that
.	SENT	.
But	CC	but
what	WP	what
we	PP	we
can	MD	can
start	VB	start
to	TO	to
do	VB	do
is	VBZ	be
shift	VB	shift
that	DT	that
story	NN	story
and	CC	and
that	WDT	that
thank	VBP	thank
you	PP	you
,	,	,
and	CC	and
say	VBP	say
,	,	,
"	``	"
Thank	VB	thank
you	PP	you
for	IN	for
doing	VBG	do
everything	NN	everything
you	PP	you
could	MD	could
do	VB	do
for	IN	for
us	PP	us
.	SENT	.
And	CC	and
also	RB	also
thank	VB	thank
you	PP	you
for	IN	for
still	RB	still
seeing	VBG	see
yourself	PP	yourself
as	IN	as
a	DT	a
human	JJ	human
being	NN	being
"	''	"
or	CC	or
"	``	"
for	IN	for
representing	VBG	represent
yourself	PP	yourself
as	IN	as
a	DT	a
human	NN	human
with	IN	with
a	DT	a
full	JJ	full
range	NN	range
of	IN	of
emotions	NNS	emotion
,	,	,
and	CC	and
for	IN	for
teaching	VBG	teach
me	PP	me
about	IN	about
my	PP$	my
first	JJ	first
life	NN	life
lessons	NNS	lesson
,	,	,
for	IN	for
being	VBG	be
my	PP$	my
first	JJ	first
caretaker	NN	caretaker
,	,	,
for	IN	for
being	VBG	be
my	PP$	my
first	JJ	first
leader	NN	leader
,	,	,
for	IN	for
being	VBG	be
my	PP$	my
first	JJ	first
teacher	NN	teacher
.	SENT	.
"	``	"
Those	DT	those
are	VBP	be
things	NNS	thing
that	IN	that
I	PP	I
think	VBP	think
more	RBR	more
accurately	RB	accurately
represent	VB	represent
mothering	VBG	mother
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
is	VBZ	be
sustainable	JJ	sustainable
for	IN	for
mothers	NNS	mother
.	SENT	.
Where	WRB	where
mothers	NNS	mother
aren	NNS	<unknown>
'	POS	'
t	NN	t
going	VBG	go
to	TO	to
burn	VB	burn
out	RP	out
,	,	,
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
not	RB	not
putting	VBG	put
all	DT	all
of	IN	of
it	PP	it
on	IN	on
moms	NNS	mom
and	CC	and
then	RB	then
reiterating	VBG	reiterate
it	PP	it
by	IN	by
saying	VBG	say
,	,	,
"	``	"
Thank	VB	thank
you	PP	you
for	IN	for
putting	VBG	put
yourself	PP	yourself
behind	IN	behind
everyone	NN	everyone
else	RB	else
.	SENT	.
"	''	"
So	RB	so
that	RB	that
'	''	'
s	NNS	<unknown>
on	IN	on
like	IN	like
an	DT	an
interpersonal	JJ	interpersonal
level	NN	level
.	SENT	.
I	PP	I
do	VBP	do
think	VB	think
those	DT	those
conversations	NNS	conversation
can	MD	can
make	VB	make
a	DT	a
huge	JJ	huge
difference	NN	difference
in	IN	in
terms	NNS	term
of	IN	of
what	WP	what
mothers	NNS	mother
are	VBP	be
even	RB	even
thinking	VBG	think
is	VBZ	be
the	DT	the
goal	NN	goal
of	IN	of
what	WP	what
we	PP	we
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
achieve	VB	achieve
and	CC	and
what	WP	what
we	PP	we
want	VBP	want
to	TO	to
be	VB	be
thanked	VBN	thank
for	IN	for
.	SENT	.
The	DT	the
second	JJ	second
level	NN	level
of	IN	of
that	WDT	that
is	VBZ	be
,	,	,
you	PP	you
know	VBP	know
,	,	,
in	IN	in
relationships	NNS	relationship
,	,	,
even	RB	even
beyond	IN	beyond
our	PP$	our
households	NNS	household
.	SENT	.
.	SENT	.
.	SENT	.
And	CC	and
I	PP	I
mean	VBP	mean
,	,	,
like	IN	like
you	PP	you
said	VBD	say
,	,	,
in	IN	in
terms	NNS	term
of	IN	of
Black	NP	Black
motherhood	NN	motherhood
,	,	,
very	RB	very
specifically	RB	specifically
,	,	,
this	DT	this
burden	NN	burden
of	IN	of
putting	VBG	put
our	PP$	our
needs	NNS	need
behind	IN	behind
everyone	NN	everyone
,	,	,
I	PP	I
just	RB	just
did	VBD	do
a	DT	a
piece	NN	piece
for	IN	for
"	``	"
New	NP	New
York	NP	York
"	''	"
magazine	NN	magazine
on	IN	on
this	DT	this
that	WDT	that
that	DT	that
is	VBZ	be
further	RBR	further
exacerbated	VBN	exacerbate
for	IN	for
Black	NP	Black
women	NNS	woman
because	IN	because
we	PP	we
have	VBP	have
been	VBN	be
seen	VBN	see
as	IN	as
"	``	"
the	DT	the
mothers	NNS	mother
"	''	"
of	IN	of
a	DT	a
movement	NN	movement
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
always	RB	always
like	IN	like
mothers	NNS	mother
of	IN	of
something	NN	something
much	RB	much
larger	JJR	large
and	CC	and
not	RB	not
just	RB	just
,	,	,
like	VB	like
,	,	,
mothers	NNS	mother
of	IN	of
our	PP$	our
own	JJ	own
children	NNS	child
,	,	,
but	CC	but
this	DT	this
weight	NN	weight
of	IN	of
what	WP	what
'	POS	'
s	NN	S
placed	VBD	place
upon	IN	upon
us	PP	us
.	SENT	.
And	CC	and
specifically	RB	specifically
in	IN	in
this	DT	this
article	NN	article
,	,	,
I	PP	I
'	POS	'
m	NN	m
focusing	VBG	focus
on	IN	on
mothers	NNS	mother
whose	WP$	whose
children	NNS	child
have	VBP	have
been	VBN	be
killed	VBN	kill
,	,	,
whether	IN	whether
by	IN	by
police	NN	police
officers	NNS	officer
or	CC	or
neighborhood	NN	neighborhood
vigilantes	NNS	vigilante
,	,	,
and	CC	and
how	WRB	how
in	IN	in
these	DT	these
moments	NNS	moment
,	,	,
instead	RB	instead
of	IN	of
giving	VBG	give
these	DT	these
moms	NNS	mom
the	DT	the
space	NN	space
to	TO	to
grieve	VB	grieve
,	,	,
we	PP	we
'	POS	'
re	NN	re
asking	VBG	ask
them	PP	them
to	TO	to
do	VB	do
something	NN	something
for	IN	for
our	PP$	our
entire	JJ	entire
country	NN	country
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
we	PP	we
ask	VBP	ask
them	PP	them
to	TO	to
speak	VB	speak
to	TO	to
crowds	NNS	crowd
,	,	,
they	PP	they
run	VBP	run
for	IN	for
office	NN	office
,	,	,
which	WDT	which
can	MD	can
be	VB	be
a	DT	a
part	NN	part
of	IN	of
their	PP$	their
personal	JJ	personal
healing	NN	healing
as	IN	as
well	RB	well
,	,	,
but	CC	but
we	PP	we
interpret	VBP	interpret
that	IN	that
as	RB	as
,	,	,
look	VBP	look
at	IN	at
what	WP	what
this	DT	this
Black	NP	Black
woman	NN	woman
is	VBZ	be
doing	VBG	do
for	IN	for
all	DT	all
of	IN	of
us	PP	us
,	,	,
rather	RB	rather
than	IN	than
us	PP	us
thinking	VBG	think
about	IN	about
what	WP	what
is	VBZ	be
she	PP	she
going	VBG	go
to	TO	to
do	VB	do
for	IN	for
her	PP$	her
own	JJ	own
healing	NN	healing
,	,	,
for	IN	for
her	PP$	her
own	JJ	own
restoration	NN	restoration
?	SENT	?
So	RB	so
,	,	,
that	IN	that
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
the	DT	the
extra	JJ	extra
layer	NN	layer
to	TO	to
that	DT	that
.	SENT	.
And	CC	and
then	RB	then
thinking	VBG	think
about	IN	about
it	PP	it
on	IN	on
a	DT	a
national	JJ	national
level	NN	level
,	,	,
what	WP	what
we	PP	we
'	POS	'
re	NN	re
voting	NN	voting
for	IN	for
,	,	,
I	PP	I
think	VBP	think
about	RB	about
what	WP	what
could	MD	could
have	VB	have
helped	VBN	help
Alberta	NP	Alberta
,	,	,
Berdis	NP	<unknown>
and	CC	and
Louise	NP	Louise
and	CC	and
what	WP	what
we	PP	we
still	RB	still
need	VBP	need
to	TO	to
this	DT	this
day	NN	day
right	RB	right
now	RB	now
.	SENT	.
So	RB	so
to	TO	to
give	VB	give
a	DT	a
little	JJ	little
bit	NN	bit
more	JJR	more
information	NN	information
on	IN	on
the	DT	the
women	NNS	woman
.	SENT	.
Alberta	NP	Alberta
King	NP	King
had	VBD	have
to	TO	to
walk	VB	walk
away	RP	away
from	IN	from
her	PP$	her
job	NN	job
because	IN	because
the	DT	the
law	NN	law
stated	VBN	state
at	IN	at
the	DT	the
time	NN	time
that	IN	that
married	JJ	married
women	NNS	woman
were	VBD	be
not	RB	not
allowed	VBN	allow
to	TO	to
teach	VB	teach
,	,	,
and	CC	and
she	PP	she
'	POS	'
d	NN	d
always	RB	always
had	VBD	have
this	DT	this
dream	NN	dream
of	IN	of
being	VBG	be
an	DT	an
educator	NN	educator
.	SENT	.
She	PP	she
had	VBD	have
a	DT	a
bachelor	NN	bachelor
'	POS	'
s	NN	S
degree	NN	degree
,	,	,
she	PP	she
had	VBD	have
a	DT	a
teaching	NN	teaching
certificate	NN	certificate
,	,	,
but	CC	but
when	WRB	when
she	PP	she
met	VBD	meet
her	PP$	her
husband	NN	husband
,	,	,
she	PP	she
made	VBD	make
the	DT	the
decision	NN	decision
to	TO	to
start	VB	start
a	DT	a
family	NN	family
because	IN	because
this	DT	this
was	VBD	be
like	JJ	like
,	,	,
she	PP	she
had	VBD	have
to	TO	to
make	VB	make
a	DT	a
decision	NN	decision
.	SENT	.
And	CC	and
even	RB	even
though	IN	though
that	DT	that
law	NN	law
,	,	,
the	DT	the
marriage	NN	marriage
bar	NN	bar
is	VBZ	be
not	RB	not
in	IN	in
place	NN	place
now	RB	now
,	,	,
what	WP	what
are	VBP	be
the	DT	the
many	JJ	many
ways	NNS	way
in	IN	in
which	WDT	which
we	PP	we
'	''	'
re	IN	re
pushing	VBG	push
women	NNS	woman
and	CC	and
mothers	NNS	mother
out	RP	out
of	IN	of
their	PP$	their
jobs	NNS	job
?	SENT	?
There	EX	there
are	VBP	be
many	JJ	many
that	IN	that
still	RB	still
exist	VBP	exist
,	,	,
and	CC	and
we	PP	we
need	VBP	need
to	TO	to
start	VB	start
addressing	VBG	address
those	DT	those
.	SENT	.
These	DT	these
are	VBP	be
just	RB	just
one	CD	one
example	NN	example
from	IN	from
each	DT	each
woman	NN	woman
.	SENT	.
If	IN	if
we	PP	we
look	VBP	look
at	IN	at
Berdis	NP	<unknown>
Baldwin	NP	Baldwin
,	,	,
she	PP	she
was	VBD	be
the	DT	the
victim	NN	victim
of	IN	of
an	DT	an
abusive	JJ	abusive
husband	NN	husband
for	IN	for
years	NNS	year
,	,	,
years	NNS	year
and	CC	and
years	NNS	year
.	SENT	.
And	CC	and
James	NP	James
Baldwin	NP	Baldwin
speaks	VBZ	speak
about	IN	about
this	DT	this
often	RB	often
how	WRB	how
abusive	JJ	abusive
his	PP$	his
stepfather	NN	stepfather
was	VBD	be
.	SENT	.
But	CC	but
she	PP	she
didn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
anyone	NN	anyone
she	PP	she
could	MD	could
really	RB	really
turn	VB	turn
to	TO	to
because	IN	because
,	,	,
especially	RB	especially
in	IN	in
Black	JJ	Black
communities	NNS	community
,	,	,
we	PP	we
are	VBP	be
so	RB	so
afraid	JJ	afraid
of	IN	of
what	WP	what
might	MD	might
happen	VB	happen
if	IN	if
we	PP	we
call	VBP	call
a	DT	a
police	NN	police
officer	NN	officer
and	CC	and
we	PP	we
have	VBP	have
multiple	JJ	multiple
examples	NNS	example
of	IN	of
this	NN	this
where	WRB	where
we	PP	we
really	RB	really
needed	VBD	need
help	NN	help
and	CC	and
intervention	NN	intervention
and	CC	and
then	RB	then
somebody	NN	somebody
ends	VBZ	end
up	RP	up
being	VBG	be
shot	VBN	shoot
when	WRB	when
they	PP	they
'	POS	'
re	NN	re
called	VBD	call
,	,	,
when	WRB	when
police	NN	police
officers	NNS	officer
are	VBP	be
called	VBN	call
to	TO	to
protect	VB	protect
us	PP	us
.	SENT	.
So	IN	so
Berdis	NP	<unknown>
Baldwin	NP	Baldwin
was	VBD	be
aware	JJ	aware
of	IN	of
this	DT	this
.	SENT	.
Her	PP$	her
children	NNS	child
had	VBD	have
been	VBN	be
harassed	VBN	harass
by	IN	by
police	NN	police
officers	NNS	officer
.	SENT	.
James	NP	James
Baldwin	NP	Baldwin
tells	VBZ	tell
a	DT	a
story	NN	story
of	IN	of
when	WRB	when
he	PP	he
was	VBD	be
pushed	VBN	push
into	IN	into
an	DT	an
alley	NN	alley
and	CC	and
he	PP	he
was	VBD	be
maybe	RB	maybe
11	CD	@card@
years	NNS	year
old	JJ	old
and	CC	and
police	NN	police
officers	NNS	officer
searched	VBD	search
him	PP	him
,	,	,
they	PP	they
were	VBD	be
looking	VBG	look
for	IN	for
someone	NN	someone
,	,	,
and	CC	and
just	RB	just
left	VBD	leave
him	PP	him
there	RB	there
on	IN	on
his	PP$	his
own	JJ	own
