I	PP	I
2	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
votes	NNS	vote
,	,	,
and	CC	and
we	PP	we
came	VBD	come
in	IN	in
second	JJ	second
for	IN	for
the	DT	the
local	JJ	local
options	NNS	option
.	SENT	.
So	RB	so
,	,	,
even	RB	even
if	IN	if
that	DT	that
wasn	NN	<unknown>
'	POS	'
t	NN	t
enough	RB	enough
to	TO	to
win	VB	win
a	DT	a
seat	NN	seat
in	IN	in
Congress	NP	Congress
,	,	,
it	PP	it
was	VBD	be
enough	RB	enough
for	IN	for
us	PP	us
to	TO	to
become	VB	become
part	NN	part
of	IN	of
the	DT	the
conversation	NN	conversation
,	,	,
to	TO	to
the	DT	the
extent	NN	extent
that	IN	that
next	JJ	next
month	NN	month
,	,	,
Congress	NP	Congress
,	,	,
as	IN	as
an	DT	an
institution	NN	institution
,	,	,
is	VBZ	be
launching	VBG	launch
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
in	IN	in
Argentina	NP	Argentina
'	POS	'
s	NN	S
history	NN	history
,	,	,
a	DT	a
DemocracyOS	NP	<unknown>
to	TO	to
discuss	VB	discuss
,	,	,
with	IN	with
the	DT	the
citizens	NNS	citizen
,	,	,
three	CD	three
pieces	NNS	piece
of	IN	of
legislation	NN	legislation
:	:	:
two	CD	two
on	IN	on
urban	JJ	urban
transportation	NN	transportation
and	CC	and
one	CD	one
on	IN	on
the	DT	the
use	NN	use
of	IN	of
public	JJ	public
space	NN	space
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
our	PP$	our
elected	JJ	elected
representatives	NNS	representative
are	VBP	be
not	RB	not
saying	VBG	say
,	,	,
"	``	"
Yes	UH	yes
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
vote	VB	vote
according	VBG	accord
to	TO	to
what	WP	what
citizens	NNS	citizen
decide	VBP	decide
,	,	,
"	``	"
but	CC	but
they	PP	they
'	POS	'
re	NN	re
willing	JJ	willing
to	TO	to
try	VB	try
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
willing	JJ	willing
to	TO	to
open	VB	open
up	RP	up
a	DT	a
new	JJ	new
space	NN	space
for	IN	for
citizen	NN	citizen
engagement	NN	engagement
and	CC	and
hopefully	RB	hopefully
they	PP	they
'	''	'
ll	NN	ll
be	VB	be
willing	JJ	willing
to	TO	to
listen	VB	listen
as	RB	as
well	RB	well
.	SENT	.
Our	PP$	our
political	JJ	political
system	NN	system
can	MD	can
be	VB	be
transformed	VBN	transform
,	,	,
and	CC	and
not	RB	not
by	IN	by
subverting	VBG	subvert
it	PP	it
,	,	,
by	IN	by
destroying	VBG	destroy
it	PP	it
,	,	,
but	CC	but
by	IN	by
rewiring	VBG	rewire
it	PP	it
with	IN	with
the	DT	the
tools	NNS	tool
that	WDT	that
Internet	NP	Internet
affords	VBZ	afford
us	PP	us
now	RB	now
.	SENT	.
But	CC	but
a	DT	a
real	JJ	real
challenge	NN	challenge
is	VBZ	be
to	TO	to
find	VB	find
,	,	,
to	TO	to
design	VB	design
to	TO	to
create	VB	create
,	,	,
to	TO	to
empower	VB	empower
those	DT	those
connectors	NNS	connector
that	WDT	that
are	VBP	be
able	JJ	able
to	TO	to
innovate	VB	innovate
,	,	,
to	TO	to
transform	VB	transform
noise	NN	noise
and	CC	and
silence	NN	silence
into	IN	into
signal	NN	signal
and	CC	and
finally	RB	finally
bring	VB	bring
our	PP$	our
democracies	NNS	democracy
to	TO	to
the	DT	the
21st	JJ	21st
century	NN	century
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
saying	VBG	say
it	PP	it
'	POS	'
s	NNS	<unknown>
easy	JJ	easy
.	SENT	.
But	CC	but
in	IN	in
our	PP$	our
experience	NN	experience
,	,	,
we	PP	we
actually	RB	actually
stand	VBP	stand
a	DT	a
chance	NN	chance
of	IN	of
making	VBG	make
it	PP	it
work	NN	work
.	SENT	.
And	CC	and
in	IN	in
my	PP$	my
heart	NN	heart
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
most	JJS	most
definitely	RB	definitely
worth	JJ	worth
trying	VBG	try
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
