So	RB	so
well	RB	well
.	SENT	.
Occasionally	RB	occasionally
,	,	,
throughout	IN	throughout
history	NN	history
,	,	,
this	DT	this
concept	NN	concept
of	IN	of
this	DT	this
very	RB	very
large	JJ	large
cosmic	JJ	cosmic
perspective	NN	perspective
comes	VBZ	come
to	TO	to
the	DT	the
surface	NN	surface
,	,	,
and	CC	and
as	IN	as
a	DT	a
result	NN	result
we	PP	we
see	VBP	see
transformative	JJ	transformative
and	CC	and
profound	JJ	profound
discoveries	NNS	discovery
.	SENT	.
So	RB	so
in	IN	in
1543	CD	@card@
,	,	,
Nicholas	NP	Nicholas
Copernicus	NP	<unknown>
published	VBD	publish
"	``	"
The	DT	the
Revolutions	NNS	revolution
of	IN	of
Heavenly	JJ	heavenly
Spheres	NNS	sphere
,	,	,
"	''	"
and	CC	and
by	IN	by
taking	VBG	take
the	DT	the
Earth	NN	earth
out	RP	out
of	IN	of
the	DT	the
center	NN	center
,	,	,
and	CC	and
putting	VBG	put
the	DT	the
sun	NN	sun
in	IN	in
the	DT	the
center	NN	center
of	IN	of
the	DT	the
solar	JJ	solar
system	NN	system
,	,	,
he	PP	he
opened	VBD	open
our	PP$	our
eyes	NNS	eye
to	TO	to
a	DT	a
much	RB	much
larger	JJR	large
universe	NN	universe
,	,	,
of	IN	of
which	WDT	which
we	PP	we
are	VBP	be
just	RB	just
a	DT	a
small	JJ	small
part	NN	part
.	SENT	.
And	CC	and
that	DT	that
Copernican	JJ	Copernican
revolution	NN	revolution
continues	VBZ	continue
today	NN	today
to	TO	to
influence	VB	influence
science	NN	science
and	CC	and
philosophy	NN	philosophy
and	CC	and
technology	NN	technology
and	CC	and
theology	NN	theology
.	SENT	.
So	RB	so
,	,	,
in	IN	in
1959	CD	@card@
,	,	,
Giuseppe	NP	Giuseppe
Coccone	NP	<unknown>
and	CC	and
Philip	NP	Philip
Morrison	NP	Morrison
published	VBD	publish
the	DT	the
first	JJ	first
SETI	NP	<unknown>
article	NN	article
in	IN	in
a	DT	a
refereed	VBN	referee
journal	NN	journal
,	,	,
and	CC	and
brought	VBD	bring
SETI	NP	<unknown>
into	IN	into
the	DT	the
scientific	JJ	scientific
mainstream	NN	mainstream
.	SENT	.
And	CC	and
in	IN	in
1960	CD	@card@
,	,	,
Frank	NP	Frank
Drake	NP	Drake
conducted	VBD	conduct
the	DT	the
first	JJ	first
SETI	NP	<unknown>
observation	NN	observation
looking	VBG	look
at	IN	at
two	CD	two
stars	NNS	star
,	,	,
Tau	NP	Tau
Ceti	NP	<unknown>
and	CC	and
Epsilon	NN	epsilon
Eridani	NP	<unknown>
,	,	,
for	IN	for
about	RB	about
150	CD	@card@
hours	NNS	hour
.	SENT	.
Now	RB	now
Drake	NP	Drake
did	VBD	do
not	RB	not
discover	VB	discover
extraterrestrial	JJ	extraterrestrial
intelligence	NN	intelligence
,	,	,
but	CC	but
he	PP	he
learned	VBD	learn
a	DT	a
very	RB	very
valuable	JJ	valuable
lesson	NN	lesson
from	IN	from
a	DT	a
passing	VBG	pass
aircraft	NN	aircraft
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
that	IN	that
terrestrial	JJ	terrestrial
technology	NN	technology
can	MD	can
interfere	VB	interfere
with	IN	with
the	DT	the
search	NN	search
for	IN	for
extraterrestrial	JJ	extraterrestrial
technology	NN	technology
.	SENT	.
We	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
searching	VBG	search
ever	RB	ever
since	RB	since
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
impossible	JJ	impossible
to	TO	to
overstate	VB	overstate
the	DT	the
magnitude	NN	magnitude
of	IN	of
the	DT	the
search	NN	search
that	WDT	that
remains	VBZ	remain
.	SENT	.
All	DT	all
of	IN	of
the	DT	the
concerted	JJ	concerted
SETI	NP	<unknown>
efforts	NNS	effort
,	,	,
over	IN	over
the	DT	the
last	JJ	last
40-some	JJ	<unknown>
years	NNS	year
,	,	,
are	VBP	be
equivalent	JJ	equivalent
to	TO	to
scooping	VBG	scoop
a	DT	a
single	JJ	single
glass	NN	glass
of	IN	of
water	NN	water
from	IN	from
the	DT	the
oceans	NNS	ocean
.	SENT	.
And	CC	and
no	DT	no
one	CD	one
would	MD	would
decide	VB	decide
that	IN	that
the	DT	the
ocean	NN	ocean
was	VBD	be
without	IN	without
fish	NN	fish
on	IN	on
the	DT	the
basis	NN	basis
of	IN	of
one	CD	one
glass	NN	glass
of	IN	of
water	NN	water
.	SENT	.
The	DT	the
21st	JJ	21st
century	NN	century
now	RB	now
allows	VBZ	allow
us	PP	us
to	TO	to
build	VB	build
bigger	JJR	big
glasses	NNS	glass
â	NP	<unknown>
much	RB	much
bigger	JJR	big
glasses	NNS	glass
.	SENT	.
In	IN	in
Northern	NP	Northern
California	NP	California
,	,	,
we	PP	we
'	POS	'
re	NN	re
beginning	NN	beginning
to	TO	to
take	VB	take
observations	NNS	observation
with	IN	with
the	DT	the
first	JJ	first
42	CD	@card@
telescopes	NNS	telescope
of	IN	of
the	DT	the
Allen	NP	Allen
Telescope	NN	telescope
Array	NN	array
â	NP	<unknown>
and	CC	and
I	NP	I
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
take	VB	take
a	DT	a
moment	NN	moment
right	RB	right
now	RB	now
to	TO	to
publicly	RB	publicly
thank	VB	thank
Paul	NP	Paul
Allen	NP	Allen
and	CC	and
Nathan	NP	Nathan
Myhrvold	NP	<unknown>
and	CC	and
all	PDT	all
the	DT	the
TeamSETI	NP	<unknown>
members	NNS	member
in	IN	in
the	DT	the
TED	VBP	ted
community	NN	community
who	WP	who
have	VBP	have
so	RB	so
generously	RB	generously
supported	VBN	support
this	DT	this
research	NN	research
.	SENT	.
The	DT	the
ATA	NP	ATA
is	VBZ	be
the	DT	the
first	JJ	first
telescope	NN	telescope
built	VBN	build
from	IN	from
a	DT	a
large	JJ	large
number	NN	number
of	IN	of
small	JJ	small
dishes	NNS	dish
,	,	,
and	CC	and
hooked	VBD	hook
together	RB	together
with	IN	with
computers	NNS	computer
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
making	VBG	make
silicon	NN	silicon
as	IN	as
important	JJ	important
as	IN	as
aluminum	NN	aluminum
,	,	,
and	CC	and
we	PP	we
'	POS	'
ll	NNS	<unknown>
grow	VBP	grow
it	PP	it
in	IN	in
the	DT	the
future	NN	future
by	IN	by
adding	VBG	add
more	JJR	more
antennas	NNS	antenna
to	TO	to
reach	VB	reach
350	CD	@card@
for	IN	for
more	JJR	more
sensitivity	NN	sensitivity
and	CC	and
leveraging	VBG	leverage
Moore	NP	Moore
'	POS	'
s	JJ	<unknown>
law	NN	law
for	IN	for
more	JJR	more
processing	NN	processing
capability	NN	capability
.	SENT	.
Today	NN	today
,	,	,
our	PP$	our
signal	NN	signal
detection	NN	detection
algorithms	NNS	algorithm
can	MD	can
find	VB	find
very	RB	very
simple	JJ	simple
artifacts	NNS	artifact
and	CC	and
noise	NN	noise
.	SENT	.
If	IN	if
you	PP	you
look	VBP	look
very	RB	very
hard	RB	hard
here	RB	here
you	PP	you
can	MD	can
see	VB	see
the	DT	the
signal	NN	signal
from	IN	from
the	DT	the
Voyager	NP	Voyager
1	CD	@card@
spacecraft	NN	spacecraft
,	,	,
the	DT	the
most	RBS	most
distant	JJ	distant
human	JJ	human
object	NN	object
in	IN	in
the	DT	the
universe	NN	universe
,	,	,
106	CD	@card@
times	NNS	time
as	RB	as
far	RB	far
away	RB	away
from	IN	from
us	PP	us
as	IN	as
the	DT	the
sun	NN	sun
is	VBZ	be
.	SENT	.
And	CC	and
over	IN	over
those	DT	those
long	JJ	long
distances	NNS	distance
,	,	,
its	PP$	its
signal	NN	signal
is	VBZ	be
very	RB	very
faint	JJ	faint
when	WRB	when
it	PP	it
reaches	VBZ	reach
us	PP	us
.	SENT	.
It	PP	it
may	MD	may
be	VB	be
hard	JJ	hard
for	IN	for
your	PP$	your
eye	NN	eye
to	TO	to
see	VB	see
it	PP	it
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
easily	RB	easily
found	VBD	find
with	IN	with
our	PP$	our
efficient	JJ	efficient
algorithms	NNS	algorithm
.	SENT	.
But	CC	but
this	DT	this
is	VBZ	be
a	DT	a
simple	JJ	simple
signal	NN	signal
,	,	,
and	CC	and
tomorrow	NN	tomorrow
we	PP	we
want	VBP	want
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
find	VB	find
more	JJR	more
complex	JJ	complex
signals	NNS	signal
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
very	RB	very
good	JJ	good
year	NN	year
.	SENT	.
2009	CD	@card@
is	VBZ	be
the	DT	the
400th	JJ	<unknown>
anniversary	NN	anniversary
of	IN	of
Galileo	NP	Galileo
'	POS	'
s	JJ	<unknown>
first	JJ	first
use	NN	use
of	IN	of
the	DT	the
telescope	NN	telescope
,	,	,
Darwin	NP	Darwin
'	POS	'
s	JJ	<unknown>
200th	JJ	<unknown>
birthday	NN	birthday
,	,	,
the	DT	the
150th	JJ	<unknown>
anniversary	NN	anniversary
of	IN	of
the	DT	the
publication	NN	publication
of	IN	of
"	``	"
On	IN	on
the	DT	the
Origin	NN	origin
of	IN	of
Species	NP	Species
,	,	,
"	''	"
the	DT	the
50th	JJ	50th
anniversary	NN	anniversary
of	IN	of
SETI	NP	<unknown>
as	IN	as
a	DT	a
science	NN	science
,	,	,
the	DT	the
25th	JJ	25th
anniversary	NN	anniversary
of	IN	of
the	DT	the
incorporation	NN	incorporation
of	IN	of
the	DT	the
SETI	NP	<unknown>
Institute	NP	Institute
as	IN	as
a	DT	a
non-profit	JJ	non-profit
,	,	,
and	CC	and
of	IN	of
course	NN	course
,	,	,
the	DT	the
25th	JJ	25th
anniversary	NN	anniversary
of	IN	of
TED	VB	ted
.	SENT	.
And	CC	and
next	JJ	next
month	NN	month
,	,	,
the	DT	the
Kepler	NP	Kepler
Spacecraft	NN	spacecraft
will	MD	will
launch	VB	launch
and	CC	and
will	MD	will
begin	VB	begin
to	TO	to
tell	VB	tell
us	PP	us
just	RB	just
how	WRB	how
frequent	JJ	frequent
Earth-like	JJ	<unknown>
planets	NNS	planet
are	VBP	be
,	,	,
the	DT	the
targets	NNS	target
for	IN	for
SETI	NP	<unknown>
'	POS	'
s	NN	S
searches	NNS	search
.	SENT	.
In	IN	in
2009	CD	@card@
,	,	,
the	DT	the
U	NP	U
.	SENT	.
N	NP	N
.	SENT	.
has	VBZ	have
declared	VBN	declare
it	PP	it
to	TO	to
be	VB	be
the	DT	the
International	NP	International
Year	NN	year
of	IN	of
Astronomy	NN	astronomy
,	,	,
a	DT	a
global	JJ	global
festival	NN	festival
to	TO	to
help	VB	help
us	PP	us
residents	NNS	resident
of	IN	of
Earth	NP	Earth
rediscover	NN	rediscover
our	PP$	our
cosmic	JJ	cosmic
origins	NNS	origin
and	CC	and
our	PP$	our
place	NN	place
in	IN	in
the	DT	the
universe	NN	universe
.	SENT	.
And	CC	and
in	IN	in
2009	CD	@card@
,	,	,
change	NN	change
has	VBZ	have
come	VBN	come
to	TO	to
Washington	NP	Washington
,	,	,
with	IN	with
a	DT	a
promise	NN	promise
to	TO	to
put	VB	put
science	NN	science
in	IN	in
its	PP$	its
rightful	JJ	rightful
position	NN	position
.	SENT	.
So	RB	so
,	,	,
what	WP	what
would	MD	would
change	VB	change
everything	NN	everything
?	SENT	?
Well	RB	well
,	,	,
this	DT	this
is	VBZ	be
the	DT	the
question	NN	question
the	DT	the
Edge	NP	Edge
foundation	NN	foundation
asked	VBD	ask
this	DT	this
year	NN	year
,	,	,
and	CC	and
four	CD	four
of	IN	of
the	DT	the
respondents	NNS	respondent
said	VBD	say
,	,	,
"	``	"
SETI	NP	<unknown>
.	SENT	.
"	''	"
Why	WRB	why
?	SENT	?
Well	RB	well
,	,	,
to	TO	to
quote	VB	quote
:	:	:
"	``	"
The	DT	the
discovery	NN	discovery
of	IN	of
intelligent	JJ	intelligent
life	NN	life
beyond	IN	beyond
Earth	NP	Earth
would	MD	would
eradicate	VB	eradicate
the	DT	the
loneliness	NN	loneliness
and	CC	and
solipsism	NN	solipsism
that	WDT	that
has	VBZ	have
plagued	VBN	plague
our	PP$	our
species	NNS	specie
since	IN	since
its	PP$	its
inception	NN	inception
.	SENT	.
And	CC	and
it	PP	it
wouldn	NP	<unknown>
'	POS	'
t	NN	t
simply	RB	simply
change	NN	change
everything	NN	everything
,	,	,
it	PP	it
would	MD	would
change	VB	change
everything	NN	everything
all	RB	all
at	IN	at
once	RB	once
.	SENT	.
"	''	"
So	RB	so
,	,	,
if	IN	if
that	WDT	that
'	POS	'
s	NN	S
right	NN	right
,	,	,
why	WRB	why
did	VBD	do
we	PP	we
only	RB	only
capture	VB	capture
four	CD	four
out	RP	out
of	IN	of
those	DT	those
151	CD	@card@
minds	NNS	mind
?	SENT	?
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	VBG	<unknown>
a	DT	a
problem	NN	problem
of	IN	of
completion	NN	completion
and	CC	and
delivery	NN	delivery
,	,	,
because	IN	because
the	DT	the
fine	JJ	fine
print	NN	print
said	VBD	say
,	,	,
"	``	"
What	WP	what
game-changing	NN	game-changing
ideas	NNS	idea
and	CC	and
scientific	JJ	scientific
developments	NNS	development
would	MD	would
you	PP	you
expect	VB	expect
to	TO	to
live	VB	live
to	TO	to
see	VB	see
?	SENT	?
"	''	"
So	RB	so
,	,	,
we	PP	we
have	VBP	have
a	DT	a
fulfillment	NN	fulfillment
problem	NN	problem
.	SENT	.
We	PP	we
need	VBP	need
bigger	JJR	big
glasses	NNS	glass
and	CC	and
more	JJR	more
hands	NNS	hand
in	IN	in
the	DT	the
water	NN	water
,	,	,
and	CC	and
then	RB	then
working	VBG	work
together	RB	together
,	,	,
maybe	RB	maybe
we	PP	we
can	MD	can
all	RB	all
live	VB	live
to	TO	to
see	VB	see
the	DT	the
detection	NN	detection
of	IN	of
the	DT	the
first	JJ	first
extraterrestrial	JJ	extraterrestrial
signal	NN	signal
.	SENT	.
That	DT	that
brings	VBZ	bring
me	PP	me
to	TO	to
my	PP$	my
wish	NN	wish
.	SENT	.
I	PP	I
wish	VBP	wish
that	IN	that
you	PP	you
would	MD	would
empower	VB	empower
Earthlings	NNS	earthling
everywhere	RB	everywhere
to	TO	to
become	VB	become
active	JJ	active
participants	NNS	participant
in	IN	in
the	DT	the
ultimate	JJ	ultimate
search	NN	search
for	IN	for
cosmic	JJ	cosmic
company	NN	company
.	SENT	.
The	DT	the
first	JJ	first
step	NN	step
would	MD	would
be	VB	be
to	TO	to
tap	VB	tap
into	IN	into
the	DT	the
global	JJ	global
brain	NN	brain
trust	NN	trust
,	,	,
to	TO	to
build	VB	build
an	DT	an
environment	NN	environment
where	WRB	where
raw	JJ	raw
data	NNS	datum
could	MD	could
be	VB	be
stored	VBN	store
,	,	,
and	CC	and
where	WRB	where
it	PP	it
could	MD	could
be	VB	be
accessed	VBN	access
and	CC	and
manipulated	VBN	manipulate
,	,	,
where	WRB	where
new	JJ	new
algorithms	NNS	algorithm
could	MD	could
be	VB	be
developed	VBN	develop
and	CC	and
old	JJ	old
algorithms	NNS	algorithm
made	VBD	make
more	RBR	more
efficient	JJ	efficient
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
a	DT	a
technically	RB	technically
creative	JJ	creative
challenge	NN	challenge
,	,	,
and	CC	and
it	PP	it
would	MD	would
change	VB	change
the	DT	the
perspective	NN	perspective
of	IN	of
people	NNS	people
who	WP	who
worked	VBD	work
on	IN	on
it	PP	it
.	SENT	.
And	CC	and
then	RB	then
,	,	,
we	PP	we
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
augment	VB	augment
the	DT	the
automated	JJ	automated
search	NN	search
with	IN	with
human	JJ	human
insight	NN	insight
.	SENT	.
We	PP	we
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
use	VB	use
the	DT	the
pattern	NN	pattern
recognition	NN	recognition
capability	NN	capability
of	IN	of
the	DT	the
human	JJ	human
eye	NN	eye
to	TO	to
find	VB	find
faint	JJ	faint
,	,	,
complex	JJ	complex
signals	NNS	signal
that	IN	that
our	PP$	our
current	JJ	current
algorithms	NNS	algorithm
miss	VBP	miss
.	SENT	.
And	CC	and
,	,	,
of	IN	of
course	NN	course
,	,	,
we	PP	we
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
inspire	VB	inspire
and	CC	and
engage	VB	engage
the	DT	the
next	JJ	next
generation	NN	generation
.	SENT	.
We	PP	we
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
take	VB	take
the	DT	the
materials	NNS	material
that	IN	that
we	PP	we
have	VBP	have
built	VBN	build
for	IN	for
education	NN	education
,	,	,
and	CC	and
get	VB	get
them	PP	them
out	RP	out
to	TO	to
students	NNS	student
everywhere	RB	everywhere
,	,	,
students	NNS	student
that	WDT	that
can	MD	can
'	''	'
t	NN	t
come	VB	come
and	CC	and
visit	VB	visit
us	PP	us
at	IN	at
the	DT	the
ATA	NP	ATA
.	SENT	.
We	PP	we
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
tell	VB	tell
our	PP$	our
story	NN	story
better	RBR	well
,	,	,
and	CC	and
engage	VB	engage
young	JJ	young
people	NNS	people
,	,	,
and	CC	and
thereby	RB	thereby
change	VB	change
their	PP$	their
perspective	NN	perspective
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
sorry	JJ	sorry
Seth	NP	Seth
Godin	NP	Godin
,	,	,
but	CC	but
over	IN	over
the	DT	the
millennia	NNS	millennium
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
seen	VBN	see
where	WRB	where
tribalism	NN	tribalism
leads	VBZ	lead
.	SENT	.
We	PP	we
'	POS	'
ve	NNS	<unknown>
seen	VBN	see
what	WP	what
happens	VBZ	happen
when	WRB	when
we	PP	we
divide	VBP	divide
an	DT	an
already	RB	already
small	JJ	small
planet	NN	planet
into	IN	into
smaller	JJR	small
islands	NNS	island
.	SENT	.
And	CC	and
,	,	,
ultimately	RB	ultimately
,	,	,
we	PP	we
actually	RB	actually
all	RB	all
belong	VB	belong
to	TO	to
only	RB	only
one	CD	one
tribe	NN	tribe
,	,	,
to	TO	to
Earthlings	NNS	earthling
.	SENT	.
And	CC	and
SETI	NP	<unknown>
is	VBZ	be
a	DT	a
mirror	NN	mirror
â	NP	<unknown>
a	DT	a
mirror	NN	mirror
that	WDT	that
can	MD	can
show	VB	show
us	PP	us
ourselves	PP	ourselves
from	IN	from
an	DT	an
extraordinary	JJ	extraordinary
perspective	NN	perspective
,	,	,
and	CC	and
can	MD	can
help	VB	help
to	TO	to
trivialize	VB	trivialize
the	DT	the
differences	NNS	difference
among	IN	among
us	PP	us
.	SENT	.
If	IN	if
SETI	NP	<unknown>
does	VBZ	do
nothing	NN	nothing
but	CC	but
change	VB	change
the	DT	the
perspective	NN	perspective
of	IN	of
humans	NNS	human
on	IN	on
this	DT	this
planet	NN	planet
,	,	,
then	RB	then
it	PP	it
will	MD	will
be	VB	be
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
profound	JJ	profound
endeavors	NNS	endeavor
in	IN	in
history	NN	history
.	SENT	.
So	RB	so
,	,	,
in	IN	in
the	DT	the
opening	VBG	open
days	NNS	day
of	IN	of
2009	CD	@card@
,	,	,
a	DT	a
visionary	JJ	visionary
president	NN	president
stood	VBD	stand
on	IN	on
the	DT	the
steps	NNS	step
of	IN	of
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
Capitol	NP	Capitol
and	CC	and
said	VBD	say
,	,	,
"	``	"
We	PP	we
cannot	MD	can
help	VB	help
but	CC	but
believe	VBP	believe
that	IN	that
the	DT	the
old	JJ	old
hatreds	NNS	hatred
shall	MD	shall
someday	RB	someday
pass	VB	pass
,	,	,
that	IN	that
the	DT	the
lines	NNS	line
of	IN	of
tribe	NN	tribe
shall	MD	shall
soon	RB	soon
dissolve	VB	dissolve
,	,	,
that	IN	that
,	,	,
as	IN	as
the	DT	the
world	NN	world
grows	VBZ	grow
smaller	JJR	small
,	,	,
our	PP$	our
common	JJ	common
humanity	NN	humanity
shall	MD	shall
reveal	VB	reveal
itself	PP	itself
.	SENT	.
"	''	"
So	RB	so
,	,	,
I	PP	I
look	VBP	look
forward	RB	forward
to	TO	to
working	VBG	work
with	IN	with
the	DT	the
TED	VBP	ted
community	NN	community
to	TO	to
hear	VB	hear
about	IN	about
your	PP$	your
ideas	NNS	idea
about	IN	about
how	WRB	how
to	TO	to
fulfill	VB	fulfill
this	DT	this
wish	NN	wish
,	,	,
and	CC	and
in	IN	in
collaborating	VBG	collaborate
with	IN	with
you	PP	you
,	,	,
hasten	VB	hasten
the	DT	the
day	NN	day
that	IN	that
that	DT	that
visionary	JJ	visionary
statement	NN	statement
can	MD	can
become	VB	become
a	DT	a
reality	NN	reality
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
