Monique	NP	Monique
of	IN	of
becoming	VBG	become
this	DT	this
stickiness	NN	stickiness
with	IN	with
,	,	,
you	PP	you
know	VBP	know
,	,	,
younger	JJR	young
people	NNS	people
and	CC	and
making	VBG	make
sure	JJ	sure
that	IN	that
they	PP	they
kind	RB	kind
of	IN	of
participate	VB	participate
on	IN	on
this	DT	this
journey	NN	journey
of	IN	of
dreaming	VBG	dream
bigger	JJR	big
,	,	,
humanity	NN	humanity
,	,	,
ideas	NNS	idea
worth	NN	worth
spreading	VBG	spread
and	CC	and
changing	VBG	change
and	CC	and
all	RB	all
of	IN	of
that	DT	that
good	JJ	good
stuff	NN	stuff
?	SENT	?
CA	MD	ca
:	:	:
I	PP	I
mean	VBP	mean
,	,	,
one	CD	one
great	JJ	great
thing	NN	thing
to	TO	to
note	VB	note
is	VBZ	be
that	IN	that
many	JJ	many
people	NNS	people
in	IN	in
the	DT	the
generation	NN	generation
coming	VBG	come
through	RP	through
are	VBP	be
deeply	RB	deeply
idealistic	JJ	idealistic
I	PP	I
would	MD	would
say	VB	say
.	SENT	.
Like	IN	like
,	,	,
they	PP	they
are	VBP	be
not	RB	not
content	JJ	content
with	IN	with
the	DT	the
mean	JJ	mean
world	NN	world
that	IN	that
we	PP	we
'	POS	'
re	NN	re
in	IN	in
danger	NN	danger
of	IN	of
passing	VBG	pass
on	IN	on
to	TO	to
them	PP	them
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
a	DT	a
life	NN	life
to	TO	to
be	VB	be
just	RB	just
about	IN	about
materialism	NN	materialism
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
they	PP	they
see	VBP	see
so	RB	so
many	JJ	many
flaws	NNS	flaw
in	IN	in
the	DT	the
current	JJ	current
systems	NNS	system
that	IN	that
they	PP	they
want	VBP	want
to	TO	to
do	VB	do
something	NN	something
about	RB	about
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
not	RB	not
prepared	VBN	prepare
to	TO	to
settle	VB	settle
just	RB	just
for	IN	for
an	DT	an
ordinary	JJ	ordinary
life	NN	life
.	SENT	.
Many	JJ	many
of	IN	of
them	PP	them
are	VBP	be
very	RB	very
fearful	JJ	fearful
about	IN	about
the	DT	the
future	NN	future
and	CC	and
perhaps	RB	perhaps
for	IN	for
good	JJ	good
reason	NN	reason
.	SENT	.
And	CC	and
so	RB	so
just	RB	just
from	IN	from
that	DT	that
point	NN	point
of	IN	of
view	NN	view
,	,	,
there	EX	there
could	MD	could
not	RB	not
be	VB	be
more	RBR	more
fertile	JJ	fertile
territory	NN	territory
for	IN	for
ideas	NNS	idea
and	CC	and
for	IN	for
the	DT	the
right	JJ	right
ideas	NNS	idea
and	CC	and
for	IN	for
ideas	NNS	idea
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
be	VB	be
,	,	,
in	IN	in
many	JJ	many
cases	NNS	case
,	,	,
fresh	JJ	fresh
ideas	NNS	idea
for	IN	for
the	DT	the
moment	NN	moment
.	SENT	.
One	CD	one
other	JJ	other
thing	NN	thing
that	RB	that
'	POS	'
s	NNS	<unknown>
remarkable	JJ	remarkable
about	IN	about
the	DT	the
generation	NN	generation
coming	VBG	come
through	IN	through
is	VBZ	be
,	,	,
you	PP	you
know	VBP	know
,	,	,
how	WRB	how
much	JJ	much
they	PP	they
have	VBP	have
innovated	VBN	innovate
on	IN	on
how	WRB	how
ideas	NNS	idea
can	MD	can
be	VB	be
shared	VBN	share
.	SENT	.
And	CC	and
here	RB	here
we	PP	we
have	VBP	have
a	DT	a
lot	NN	lot
to	TO	to
learn	VB	learn
from	IN	from
them	PP	them
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
look	VBP	look
at	IN	at
the	DT	the
way	NN	way
in	IN	in
which	WDT	which
ideas	NNS	idea
are	VBP	be
communicated	VBN	communicate
online	JJ	online
right	NN	right
now	RB	now
on	IN	on
social	JJ	social
media	NNS	medium
,	,	,
for	IN	for
example	NN	example
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
kind	NN	kind
of	IN	of
in	IN	in
awe	NN	awe
,	,	,
like	VB	like
,	,	,
the	DT	the
amount	NN	amount
of	IN	of
information	NN	information
you	PP	you
can	MD	can
cram	VB	cram
into	IN	into
a	DT	a
well-edited	JJ	<unknown>
60-second	JJ	60-second
video	NN	video
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
astonishing	JJ	astonishing
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
really	RB	really
,	,	,
really	RB	really
amazing	JJ	amazing
.	SENT	.
And	CC	and
so	RB	so
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
we	PP	we
have	VBP	have
to	TO	to
do	VB	do
is	VBZ	be
just	RB	just
to	TO	to
learn	VB	learn
from	IN	from
that	WDT	that
and	CC	and
to	TO	to
take	VB	take
our	PP$	our
content	NN	content
and	CC	and
put	VB	put
it	PP	it
through	IN	through
that	DT	that
format	NN	format
.	SENT	.
So	RB	so
we	PP	we
have	VBP	have
things	NNS	thing
like	IN	like
the	DT	the
TEDToks	NP	<unknown>
channel	NN	channel
on	IN	on
TikTok	NP	<unknown>
,	,	,
which	WDT	which
is	VBZ	be
starting	VBG	start
to	TO	to
do	VB	do
some	DT	some
things	NNS	thing
very	RB	very
well	RB	well
,	,	,
I	PP	I
think	VBP	think
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
building	VBG	build
an	DT	an
audience	NN	audience
there	RB	there
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
lovely	JJ	lovely
to	TO	to
see	VB	see
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
there	EX	there
should	MD	should
be	VB	be
more	JJR	more
of	IN	of
that	DT	that
.	SENT	.
And	CC	and
when	WRB	when
people	NNS	people
want	VBP	want
to	TO	to
invest	VB	invest
in	IN	in
this	DT	this
magical	JJ	magical
thing	NN	thing
of	IN	of
lifelong	JJ	lifelong
learning	NN	learning
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
be	VB	be
there	RB	there
.	SENT	.
MRB	NP	MRB
:	:	:
Well	UH	well
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
have	VBP	have
a	DT	a
20-year-old	JJ	20-year-old
and	CC	and
so	RB	so
of	IN	of
course	NN	course
,	,	,
he	PP	he
grew	VBD	grow
up	RB	up
with	IN	with
TED	VB	ted
.	SENT	.
He	PP	he
still	RB	still
watches	VBZ	watch
TED	VB	ted
Talks	NNS	talk
.	SENT	.
So	RB	so
there	EX	there
is	VBZ	be
something	NN	something
there	RB	there
that	DT	that
is	VBZ	be
still	RB	still
connecting	VBG	connect
with	IN	with
this	DT	this
younger	JJR	young
generation	NN	generation
.	SENT	.
They	PP	they
are	VBP	be
really	RB	really
kind	NN	kind
of	IN	of
learning	NN	learning
and	CC	and
being	VBG	be
motivated	VBN	motivate
and	CC	and
inspired	VBN	inspire
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	NNS	<unknown>
also	RB	also
an	DT	an
evolution	NN	evolution
of	IN	of
storytelling	NN	storytelling
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
lean	VB	lean
more	JJR	more
into	IN	into
.	SENT	.
What	WP	what
does	VBZ	do
that	DT	that
look	NN	look
like	IN	like
for	IN	for
you	PP	you
?	SENT	?
CA	MD	ca
:	:	:
Well	UH	well
,	,	,
it	PP	it
definitely	RB	definitely
looks	VBZ	look
like	IN	like
trying	VBG	try
to	TO	to
do	VB	do
more	JJR	more
in	IN	in
a	DT	a
shorter	JJR	short
time	NN	time
span	NN	span
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
everyone	NN	everyone
'	POS	'
s	NN	S
time	NN	time
is	VBZ	be
limited	VBN	limit
.	SENT	.
I	PP	I
think	VBP	think
ideas	NNS	idea
can	MD	can
be	VB	be
explored	VBN	explore
and	CC	and
revealed	VBN	reveal
at	IN	at
different	JJ	different
levels	NNS	level
of	IN	of
depth	NN	depth
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
there	EX	there
is	VBZ	be
the	DT	the
sneak	NN	sneak
peek	NN	peek
at	IN	at
something	NN	something
that	WDT	that
can	MD	can
be	VB	be
enough	JJ	enough
to	TO	to
spark	VB	spark
curiosity	NN	curiosity
and	CC	and
pull	VB	pull
someone	NN	someone
in	IN	in
deeper	RBR	deeper
who	WP	who
wants	VBZ	want
to	TO	to
dig	VB	dig
deeper	JJR	deep
.	SENT	.
Or	CC	or
there	EX	there
is	VBZ	be
the	DT	the
fuller	JJR	full
explanation	NN	explanation
,	,	,
and	CC	and
I	PP	I
think	VBP	think
we	PP	we
have	VBP	have
to	TO	to
be	VB	be
ready	JJ	ready
to	TO	to
embrace	VB	embrace
both	DT	both
of	IN	of
those	DT	those
.	SENT	.
I	PP	I
think	VBP	think
we	PP	we
need	VBP	need
to	TO	to
be	VB	be
ready	JJ	ready
to	TO	to
innovate	VB	innovate
and	CC	and
to	TO	to
invite	VB	invite
some	DT	some
of	IN	of
the	DT	the
people	NNS	people
who	WP	who
have	VBP	have
learned	VBN	learn
these	DT	these
incredible	JJ	incredible
skills	NNS	skill
from	IN	from
TikTok	NP	<unknown>
and	CC	and
YouTube	NP	<unknown>
and	CC	and
elsewhere	RB	elsewhere
,	,	,
to	TO	to
be	VB	be
our	PP$	our
next	JJ	next
generation	NN	generation
of	IN	of
speakers	NNS	speaker
and	CC	and
to	TO	to
show	VB	show
how	WRB	how
to	TO	to
use	VB	use
those	DT	those
skills	NNS	skill
on	IN	on
the	DT	the
TED	VBP	ted
stage	NN	stage
.	SENT	.
Which	WDT	which
is	VBZ	be
why	WRB	why
I	PP	I
'	POS	'
m	NN	m
so	RB	so
excited	VBN	excite
about	IN	about
a	DT	a
project	NN	project
you	PP	you
,	,	,
Monique	NP	Monique
,	,	,
have	VBP	have
been	VBN	be
pushing	VBG	push
,	,	,
which	WDT	which
could	MD	could
be	VB	be
incredible	JJ	incredible
,	,	,
called	VBD	call
TEDNext	NN	<unknown>
.	SENT	.
MRB	NP	MRB
:	:	:
That	WDT	that
'	POS	'
s	NN	S
right	NN	right
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
great	JJ	great
segue	NN	<unknown>
into	IN	into
that	DT	that
with	IN	with
this	DT	this
conversation	NN	conversation
.	SENT	.
With	IN	with
TEDNext	NN	<unknown>
,	,	,
you	PP	you
know	VBP	know
,	,	,
when	WRB	when
you	PP	you
think	VBP	think
about	RB	about
TED	VB	ted
,	,	,
the	DT	the
in-person	NN	in-person
experience	NN	experience
of	IN	of
TED	VB	ted
,	,	,
it	PP	it
was	VBD	be
always	RB	always
about	IN	about
the	DT	the
future	NN	future
of	IN	of
:	:	:
design	NN	design
,	,	,
technology	NN	technology
,	,	,
entertainment	NN	entertainment
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
with	IN	with
the	DT	the
next	JJ	next
generation	NN	generation
,	,	,
they	PP	they
'	POS	'
re	NN	re
really	RB	really
trying	VBG	try
to	TO	to
find	VB	find
out	RP	out
how	WRB	how
do	VBP	do
I	PP	I
want	VBP	want
to	TO	to
contribute	VB	contribute
to	TO	to
this	DT	this
society	NN	society
?	SENT	?
How	WRB	how
do	VBP	do
I	PP	I
want	VBP	want
to	TO	to
contribute	VB	contribute
to	TO	to
humanity	NN	humanity
?	SENT	?
How	WRB	how
do	VBP	do
I	PP	I
want	VBP	want
to	TO	to
grow	VB	grow
just	RB	just
for	IN	for
myself	PP	myself
,	,	,
personal	JJ	personal
development	NN	development
.	SENT	.
What	WP	what
do	VBP	do
I	PP	I
want	VBP	want
to	TO	to
do	VB	do
as	IN	as
a	DT	a
leader	NN	leader
?	SENT	?
How	WRB	how
can	MD	can
I	PP	I
make	VB	make
change	NN	change
?	SENT	?
And	CC	and
so	RB	so
we	PP	we
were	VBD	be
thinking	VBG	think
about	IN	about
kind	NN	kind
of	IN	of
what	WP	what
type	NN	type
of	IN	of
program	NN	program
we	PP	we
can	MD	can
put	VB	put
together	RB	together
that	DT	that
kind	NN	kind
of	IN	of
helps	VBZ	help
spark	VB	spark
that	IN	that
dreaming	VBG	dream
bigger	JJR	big
,	,	,
that	DT	that
imagination	NN	imagination
,	,	,
that	DT	that
innovation	NN	innovation
,	,	,
showcasing	VBG	showcase
younger	JJR	young
people	NNS	people
kind	NN	kind
of	IN	of
doing	VBG	do
that	DT	that
stuff	NN	stuff
themselves	PP	themselves
.	SENT	.
And	CC	and
so	RB	so
having	VBG	have
TEDNext	NN	<unknown>
and	CC	and
launching	VBG	launch
that	IN	that
in	IN	in
October	NP	October
in	IN	in
Atlanta	NP	Atlanta
,	,	,
October	NP	October
22	CD	@card@
through	IN	through
24	CD	@card@
,	,	,
it	PP	it
'	POS	'
s	NN	S
just	RB	just
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
phenomenal	JJ	phenomenal
experience	NN	experience
to	TO	to
bring	VB	bring
people	NNS	people
who	WP	who
have	VBP	have
such	PDT	such
a	DT	a
love	NN	love
for	IN	for
TED	VB	ted
and	CC	and
who	WP	who
have	VBP	have
been	VBN	be
a	DT	a
part	NN	part
of	IN	of
our	PP$	our
community	NN	community
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
,	,	,
meet	VB	meet
that	DT	that
next	JJ	next
generation	NN	generation
halfway	RB	halfway
and	CC	and
share	NN	share
information	NN	information
of	IN	of
how	WRB	how
you	PP	you
can	MD	can
kind	NN	kind
of	IN	of
,	,	,
move	NN	move
through	IN	through
this	DT	this
life	NN	life
in	IN	in
a	DT	a
very	RB	very
different	JJ	different
way	NN	way
than	IN	than
they	PP	they
'	POS	'
ve	NN	ve
had	VBD	have
before	RB	before
.	SENT	.
CA	MD	ca
:	:	:
So	RB	so
that	DT	that
word	NN	word
,	,	,
next	JJ	next
,	,	,
stands	VBZ	stand
for	IN	for
many	JJ	many
things	NNS	thing
.	SENT	.
To	TO	to
some	DT	some
extent	NN	extent
it	PP	it
'	POS	'
s	JJ	<unknown>
next	JJ	next
generation	NN	generation
,	,	,
to	TO	to
some	DT	some
extent	NN	extent
it	PP	it
'	POS	'
s	NN	S
the	DT	the
next	JJ	next
chapter	NN	chapter
in	IN	in
your	PP$	your
life	NN	life
.	SENT	.
What	WP	what
are	VBP	be
the	DT	the
ideas	NNS	idea
that	WDT	that
can	MD	can
help	VB	help
shape	VB	shape
that	DT	that
?	SENT	?
And	CC	and
to	TO	to
some	DT	some
extent	NN	extent
it	PP	it
'	POS	'
s	NNS	<unknown>
,	,	,
what	WP	what
are	VBP	be
the	DT	the
next	JJ	next
formats	NNS	format
of	IN	of
TED	VBP	ted
Talks	NNS	talk
that	WDT	that
will	MD	will
grip	VB	grip
the	DT	the
audience	NN	audience
there	RB	there
and	CC	and
the	DT	the
world	NN	world
?	SENT	?
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
love	VBP	love
it	PP	it
.	SENT	.
TED	VBP	ted
has	VBZ	have
always	RB	always
been	VBN	be
about	IN	about
innovation	NN	innovation
and	CC	and
dreaming	VBG	dream
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
paint	NN	paint
box	NN	box
where	WRB	where
people	NNS	people
can	MD	can
paint	VB	paint
their	PP$	their
dreams	NNS	dream
like	VBP	like
never	RB	never
before	RB	before
.	SENT	.
MRB	NP	MRB
:	:	:
And	CC	and
I	PP	I
know	VBP	know
TED	VB	ted
is	VBZ	be
doing	VBG	do
a	DT	a
lot	NN	lot
with	IN	with
impact	NN	impact
and	CC	and
really	RB	really
thinking	VBG	think
about	RB	about
how	WRB	how
we	PP	we
kind	RB	kind
of	IN	of
make	VB	make
positive	JJ	positive
momentum	NN	momentum
for	IN	for
society	NN	society
as	IN	as
a	DT	a
whole	NN	whole
.	SENT	.
Do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
talk	VB	talk
about	IN	about
any	DT	any
of	IN	of
the	DT	the
impact	NN	impact
initiatives	VBZ	initiative
that	IN	that
we	PP	we
have	VBP	have
here	RB	here
?	SENT	?
CA	MD	ca
:	:	:
I	PP	I
'	POS	'
ve	NN	ve
always	RB	always
believed	VBD	believe
that	IN	that
ideas	NNS	idea
are	VBP	be
the	DT	the
biggest	JJS	big
single	JJ	single
driver	NN	driver
of	IN	of
impact	NN	impact
,	,	,
that	IN	that
an	DT	an
idea	NN	idea
whose	WP$	whose
time	NN	time
has	VBZ	have
come	VBN	come
is	VBZ	be
unstoppable	JJ	unstoppable
.	SENT	.
But	CC	but
there	EX	there
is	VBZ	be
a	DT	a
big	JJ	big
gap	NN	gap
between	IN	between
an	DT	an
idea	NN	idea
and	CC	and
actually	RB	actually
building	VBG	build
that	DT	that
idea	NN	idea
into	IN	into
the	DT	the
future	NN	future
.	SENT	.
And	CC	and
often	RB	often
,	,	,
to	TO	to
get	VB	get
across	IN	across
that	DT	that
gap	NN	gap
takes	VBZ	take
,	,	,
I	PP	I
mean	VBP	mean
,	,	,
it	PP	it
takes	VBZ	take
a	DT	a
group	NN	group
of	IN	of
people	NNS	people
coming	VBG	come
together	RB	together
.	SENT	.
It	PP	it
may	MD	may
take	VB	take
very	RB	very
significant	JJ	significant
sums	NNS	sum
of	IN	of
money	NN	money
and	CC	and
so	RB	so
,	,	,
yeah	RB	yeah
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
spent	VBD	spend
more	JJR	more
and	CC	and
more	JJR	more
time	NN	time
thinking	VBG	think
about	RB	about
is	VBZ	be
there	RB	there
any	DT	any
role	NN	role
that	IN	that
we	PP	we
could	MD	could
play	VB	play
there	RB	there
.	SENT	.
And	CC	and
probably	RB	probably
the	DT	the
thing	NN	thing
I	PP	I
'	POS	'
m	NN	m
most	RBS	most
excited	VBN	excite
about	RB	about
in	IN	in
that	DT	that
regard	NN	regard
is	VBZ	be
this	DT	this
thing	NN	thing
called	VBD	call
the	DT	the
Audacious	JJ	audacious
Project	NN	project
that	RB	that
'	POS	'
s	NNS	<unknown>
become	VBP	become
a	DT	a
growing	VBG	grow
part	NN	part
of	IN	of
TED	VB	ted
and	CC	and
the	DT	the
TED	VBP	ted
community	NN	community
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
project	NN	project
that	RB	that
'	POS	'
s	NN	S
incubated	VBD	incubate
here	RB	here
at	IN	at
TED	VB	ted
,	,	,
but	CC	but
it	PP	it
impacts	VBZ	impact
many	JJ	many
people	NNS	people
outside	JJ	outside
,	,	,
because	IN	because
what	WP	what
it	PP	it
does	VBZ	do
is	VBZ	be
that	IN	that
it	PP	it
allows	VBZ	allow
people	NNS	people
'	POS	'
s	JJ	<unknown>
biggest	JJS	big
dreams	NNS	dream
to	TO	to
be	VB	be
turned	VBN	turn
into	IN	into
reality	NN	reality
.	SENT	.
So	RB	so
in	IN	in
the	DT	the
world	NN	world
right	RB	right
now	RB	now
,	,	,
like	VB	like
,	,	,
I	PP	I
'	POS	'
m	NN	m
obsessed	VBN	obsess
with	IN	with
entrepreneurs	NNS	entrepreneur
of	IN	of
all	DT	all
kinds	NNS	kind
.	SENT	.
Entrepreneurs	NNS	entrepreneur
,	,	,
famously	RB	famously
,	,	,
they	PP	they
dream	VBP	dream
up	RP	up
these	DT	these
new	JJ	new
business	NN	business
ideas	NNS	idea
,	,	,
they	PP	they
get	VBP	get
funded	VBN	fund
by	IN	by
venture	NN	venture
capitalists	NNS	capitalist
.	SENT	.
They	PP	they
go	VBP	go
through	IN	through
an	DT	an
IPO	NN	IPO
and	CC	and
they	PP	they
build	VBP	build
a	DT	a
company	NN	company
and	CC	and
they	PP	they
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
raise	VB	raise
funding	NN	funding
again	RB	again
.	SENT	.
And	CC	and
for	IN	for
all	PDT	all
the	DT	the
flaws	NNS	flaw
in	IN	in
that	DT	that
process	NN	process
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
amazing	VBG	amaze
that	IN	that
it	PP	it
can	MD	can
happen	VB	happen
.	SENT	.
And	CC	and
it	PP	it
gives	VBZ	give
us	PP	us
all	PDT	all
the	DT	the
things	NNS	thing
,	,	,
you	PP	you
know	VBP	know
,	,	,
our	PP$	our
smartphones	NNS	smartphone
and	CC	and
Uber	NP	Uber
,	,	,
so	RB	so
many	JJ	many
of	IN	of
these	DT	these
things	NNS	thing
that	WDT	that
matter	VBP	matter
to	TO	to
us	PP	us
in	IN	in
our	PP$	our
life	NN	life
.	SENT	.
It	PP	it
all	RB	all
came	VBD	come
through	IN	through
this	DT	this
process	NN	process
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
whole	JJ	whole
other	JJ	other
category	NN	category
of	IN	of
ideas	NNS	idea
that	WDT	that
tackle	VBP	tackle
system	NN	system
change	NN	change
,	,	,
that	WDT	that
tackle	VBP	tackle
problems	NNS	problem
in	IN	in
the	DT	the
world	NN	world
that	WDT	that
can	MD	can
'	''	'
t	NN	t
be	VB	be
solved	VBN	solve
by	IN	by
making	VBG	make
a	DT	a
product	NN	product
that	WDT	that
has	VBZ	have
a	DT	a
profit	NN	profit
margin	NN	margin
on	IN	on
it	PP	it
.	SENT	.
And	CC	and
so	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
whole	JJ	whole
other	JJ	other
category	NN	category
of	IN	of
entrepreneurs	NNS	entrepreneur
,	,	,
we	PP	we
call	VBP	call
them	PP	them
social	JJ	social
entrepreneurs	NNS	entrepreneur
,	,	,
who	WP	who
have	VBP	have
an	DT	an
absolutely	RB	absolutely
horrible	JJ	horrible
time	NN	time
trying	VBG	try
to	TO	to
raise	VB	raise
money	NN	money
for	IN	for
their	PP$	their
dreams	NNS	dream
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
an	DT	an
IPO	NN	IPO
,	,	,
for	IN	for
example	NN	example
,	,	,
to	TO	to
achieve	VB	achieve
it	PP	it
.	SENT	.
They	PP	they
have	VBP	have
to	TO	to
raise	VB	raise
money	NN	money
one	CD	one
damn	NN	damn
meeting	NN	meeting
after	IN	after
another	DT	another
.	SENT	.
It	PP	it
can	MD	can
take	VB	take
10	CD	@card@
meetings	NNS	meeting
before	IN	before
you	PP	you
get	VBP	get
any	DT	any
funding	NN	funding
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
then	RB	then
much	RB	much
less	JJR	less
than	IN	than
you	PP	you
need	VBP	need
,	,	,
and	CC	and
it	PP	it
comes	VBZ	come
with	IN	with
strings	NNS	string
attached	VBN	attach
.	SENT	.
And	CC	and
so	RB	so
,	,	,
so	RB	so
much	RB	much
of	IN	of
the	DT	the
social	JJ	social
entrepreneur	NN	entrepreneur
'	POS	'
s	NN	S
experience	NN	experience
is	VBZ	be
one	CD	one
of	IN	of
being	VBG	be
ground	VBN	grind
down	RP	down
and	CC	and
having	VBG	have
to	TO	to
cut	VB	cut
back	RB	back
on	IN	on
your	PP$	your
dreams	NNS	dream
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
tragedy	NN	tragedy
.	SENT	.
We	PP	we
should	MD	should
not	RB	not
be	VB	be
sentencing	VBG	sentence
the	DT	the
people	NNS	people
who	WP	who
are	VBP	be
,	,	,
frankly	RB	frankly
,	,	,
global	JJ	global
heroes	NNS	hero
to	TO	to
spending	VBG	spend
half	PDT	half
their	PP$	their
time	NN	time
trying	VBG	try
to	TO	to
raise	VB	raise
money	NN	money
and	CC	and
often	RB	often
failing	VBG	fail
.	SENT	.
So	IN	so
the	DT	the
Audacious	JJ	audacious
Project	NN	project
was	VBD	be
an	DT	an
attempt	NN	attempt
to	TO	to
do	VB	do
something	NN	something
about	IN	about
this	DT	this
,	,	,
to	TO	to
say	VB	say
to	TO	to
social	JJ	social
entrepreneurs	NNS	entrepreneur
,	,	,
OK	UH	OK
,	,	,
what	WP	what
actually	RB	actually
is	VBZ	be
your	PP$	your
biggest	JJS	big
dream	NN	dream
?	SENT	?
Assume	VB	assume
money	NN	money
is	VBZ	be
no	DT	no
object	NN	object
.	SENT	.
What	WP	what
actually	RB	actually
could	MD	could
you	PP	you
build	VB	build
?	SENT	?
Could	MD	could
you	PP	you
possibly	RB	possibly
send	VBP	send
shivers	NNS	shiver
down	IN	down
my	PP$	my
spine	NN	spine
with	IN	with
the	DT	the
excitement	NN	excitement
of	IN	of
this	DT	this
?	SENT	?
And	CC	and
it	PP	it
turns	VBZ	turn
out	RP	out
that	IN	that
they	PP	they
can	MD	can
.	SENT	.
We	PP	we
get	VBP	get
in	IN	in
like	IN	like
1	CD	@card@
,	,	,
000	CD	@card@
applications	NNS	application
a	DT	a
year	NN	year
for	IN	for
this	DT	this
.	SENT	.
Go	VB	go
through	IN	through
a	DT	a
process	NN	process
of	IN	of
trying	VBG	try
to	TO	to
find	VB	find
,	,	,
in	IN	in
the	DT	the
end	NN	end
,	,	,
10	CD	@card@
,	,	,
just	RB	just
10	CD	@card@
that	WDT	that
are	VBP	be
really	RB	really
credible	JJ	credible
,	,	,
that	WDT	that
have	VBP	have
evidence	NN	evidence
to	TO	to
back	VB	back
them	PP	them
,	,	,
are	VBP	be
led	VBN	lead
by	IN	by
someone	NN	someone
or	CC	or
a	DT	a
team	NN	team
that	IN	that
we	PP	we
really	RB	really
believe	VBP	believe
can	MD	can
grow	VB	grow
.	SENT	.
Often	RB	often
we	PP	we
'	POS	'
re	NN	re
talking	VBG	talk
about	RB	about
basically	RB	basically
,	,	,
say	VBP	say
,	,	,
if	IN	if
it	PP	it
'	POS	'
s	NN	S
a	DT	a
nonprofit	JJ	nonprofit
organization	NN	organization
,	,	,
of	IN	of
quadrupling	VBG	quadruple
the	DT	the
size	NN	size
of	IN	of
that	DT	that
organization	NN	organization
in	IN	in
a	DT	a
short	JJ	short
period	NN	period
of	IN	of
time	NN	time
so	RB	so
that	IN	that
they	PP	they
can	MD	can
reach	VB	reach
these	DT	these
other	JJ	other
dreams	NNS	dream
.	SENT	.
And	CC	and
we	PP	we
work	VBP	work
with	IN	with
them	PP	them
to	TO	to
turn	VB	turn
these	DT	these
dreams	NNS	dream
into	IN	into
a	DT	a
credible	JJ	credible
multi-year	NN	multi-year
plan	NN	plan
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
bring	VBP	bring
together	RB	together
donors	NNS	donor
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
tech	NN	tech
community	NN	community
,	,	,
happily	RB	happily
,	,	,
we	PP	we
have	VBP	have
had	VBD	have
connections	NNS	connection
with	IN	with
people	NNS	people
who	WP	who
'	POS	'
ve	RB	<unknown>
been	VBN	be
incredibly	RB	incredibly
successful	JJ	successful
and	CC	and
who	WP	who
want	VBP	want
to	TO	to
give	VB	give
back	RB	back
.	SENT	.
When	WRB	when
you	PP	you
bring	VBP	bring
a	DT	a
group	NN	group
of	IN	of
them	PP	them
together	RB	together
at	IN	at
one	CD	one
time	NN	time
,	,	,
something	NN	something
amazing	JJ	amazing
happens	VBZ	happen
.	SENT	.
They	PP	they
look	VBP	look
at	IN	at
these	DT	these
plans	NNS	plan
,	,	,
they	PP	they
pick	VBP	pick
the	DT	the
ones	NNS	one
they	PP	they
like	VBP	like
,	,	,
and	CC	and
with	IN	with
the	DT	the
clock	NN	clock
ticking	NN	ticking
,	,	,
they	PP	they
have	VBP	have
to	TO	to
decide	VB	decide
whether	IN	whether
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
support	VB	support
them	PP	them
or	CC	or
not	RB	not
