Amongst	IN	amongst
if	IN	if
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
understand	VB	understand
these	DT	these
new	JJ	new
groups	NNS	group
which	WDT	which
are	VBP	be
coming	VBG	come
from	IN	from
bottom-up	JJ	bottom-up
,	,	,
supported	VBN	support
by	IN	by
technology	NN	technology
,	,	,
which	WDT	which
is	VBZ	be
available	JJ	available
to	TO	to
all	DT	all
,	,	,
we	PP	we
diplomats	NNS	diplomat
cannot	MD	can
be	VB	be
sitting	VBG	sit
back	RB	back
in	IN	in
the	DT	the
banquets	NNS	banquet
believing	VBG	believe
that	IN	that
we	PP	we
are	VBP	be
doing	VBG	do
interstate	JJ	interstate
relations	NNS	relation
.	SENT	.
We	PP	we
have	VBP	have
to	TO	to
connect	VB	connect
with	IN	with
these	DT	these
profound	JJ	profound
changes	NNS	change
.	SENT	.
And	CC	and
what	WP	what
is	VBZ	be
dialogue	NN	dialogue
really	RB	really
about	RB	about
?	SENT	?
When	WRB	when
I	PP	I
enter	VBP	enter
into	IN	into
dialogue	NN	dialogue
,	,	,
I	PP	I
really	RB	really
hope	VBP	hope
that	IN	that
the	DT	the
other	JJ	other
side	NN	side
would	MD	would
pick	VB	pick
up	RP	up
my	PP$	my
points	NNS	point
of	IN	of
view	NN	view
,	,	,
that	WDT	that
I	PP	I
would	MD	would
impress	VB	impress
upon	IN	upon
them	PP	them
my	PP$	my
opinions	NNS	opinion
and	CC	and
my	PP$	my
values	NNS	value
.	SENT	.
I	PP	I
cannot	MD	can
do	VB	do
that	IN	that
unless	IN	unless
I	PP	I
send	VBP	send
the	DT	the
signals	NNS	signal
that	IN	that
I	PP	I
will	MD	will
be	VB	be
open	JJ	open
to	TO	to
listen	VB	listen
to	TO	to
the	DT	the
other	JJ	other
side	NN	side
'	POS	'
s	NN	S
signals	NNS	signal
.	SENT	.
We	PP	we
need	VBP	need
a	DT	a
lot	NN	lot
more	JJR	more
training	NN	training
on	IN	on
how	WRB	how
to	TO	to
do	VB	do
that	IN	that
and	CC	and
a	DT	a
lot	NN	lot
more	JJR	more
practice	NN	practice
on	IN	on
how	WRB	how
that	DT	that
can	MD	can
take	VB	take
problem-solving	VBG	problem-solve
forward	RB	forward
.	SENT	.
We	PP	we
know	VBP	know
from	IN	from
our	PP$	our
personal	JJ	personal
experiences	NNS	experience
that	IN	that
it	PP	it
'	POS	'
s	NN	S
easy	RB	easy
sometimes	RB	sometimes
just	RB	just
to	TO	to
walk	VB	walk
,	,	,
and	CC	and
sometimes	RB	sometimes
you	PP	you
may	MD	may
need	VB	need
to	TO	to
fight	VB	fight
.	SENT	.
And	CC	and
I	PP	I
wouldn	NP	<unknown>
'	POS	'
t	NN	t
say	NN	say
that	WDT	that
is	VBZ	be
the	DT	the
wrong	JJ	wrong
thing	NN	thing
in	IN	in
all	DT	all
circumstances	NNS	circumstance
.	SENT	.
Sometimes	RB	sometimes
you	PP	you
have	VBP	have
to	TO	to
.	SENT	.
But	CC	but
that	DT	that
strategy	NN	strategy
seldom	RB	seldom
takes	VBZ	take
you	PP	you
very	RB	very
far	RB	far
.	SENT	.
The	DT	the
alternative	NN	alternative
is	VBZ	be
a	DT	a
strategy	NN	strategy
of	IN	of
engagement	NN	engagement
and	CC	and
principled	JJ	principled
dialogue	NN	dialogue
.	SENT	.
And	CC	and
I	PP	I
believe	VBP	believe
we	PP	we
need	VBP	need
to	TO	to
strengthen	VB	strengthen
this	DT	this
approach	NN	approach
in	IN	in
modern	JJ	modern
diplomacy	NN	diplomacy
,	,	,
not	RB	not
only	RB	only
between	IN	between
states	NNS	state
,	,	,
but	CC	but
also	RB	also
within	IN	within
states	NNS	state
.	SENT	.
We	PP	we
are	VBP	be
seeing	VBG	see
some	DT	some
new	JJ	new
signs	NNS	sign
.	SENT	.
We	PP	we
could	MD	could
never	RB	never
have	VB	have
done	VBN	do
the	DT	the
convention	NN	convention
against	IN	against
anti-personnel	JJ	anti-personnel
landmines	NNS	landmine
and	CC	and
the	DT	the
convention	NN	convention
that	WDT	that
is	VBZ	be
banning	VBG	ban
cluster	NN	cluster
munitions	VBZ	munition
unless	IN	unless
we	PP	we
had	VBD	have
done	VBN	do
diplomacy	NN	diplomacy
differently	RB	differently
,	,	,
by	IN	by
engaging	VBG	engage
with	IN	with
civil	JJ	civil
society	NN	society
.	SENT	.
All	DT	all
of	IN	of
a	DT	a
sudden	JJ	sudden
,	,	,
NGOs	NNS	Ngo
were	VBD	be
not	RB	not
only	RB	only
standing	VBG	stand
in	IN	in
the	DT	the
streets	NNS	street
,	,	,
crying	VBG	cry
their	PP$	their
slogans	NNS	slogan
,	,	,
but	CC	but
they	PP	they
were	VBD	be
taking	NN	taking
[	SYM	[
them	PP	them
]	SYM	]
into	IN	into
the	DT	the
negotiations	NNS	negotiation
,	,	,
partly	RB	partly
because	IN	because
they	PP	they
represented	VBD	represent
the	DT	the
victims	NNS	victim
of	IN	of
these	DT	these
weapons	NNS	weapon
.	SENT	.
And	CC	and
they	PP	they
brought	VBD	bring
their	PP$	their
knowledge	NN	knowledge
.	SENT	.
And	CC	and
there	EX	there
was	VBD	be
an	DT	an
interaction	NN	interaction
between	IN	between
diplomacy	NN	diplomacy
and	CC	and
the	DT	the
power	NN	power
coming	VBG	come
bottom-up	JJ	bottom-up
.	SENT	.
This	DT	this
is	VBZ	be
perhaps	RB	perhaps
a	DT	a
first	JJ	first
element	NN	element
of	IN	of
a	DT	a
change	NN	change
.	SENT	.
In	IN	in
the	DT	the
future	NN	future
,	,	,
I	PP	I
believe	VBP	believe
,	,	,
we	PP	we
should	MD	should
draw	VB	draw
examples	NNS	example
from	IN	from
these	DT	these
different	JJ	different
illustrations	NNS	illustration
,	,	,
not	RB	not
to	TO	to
have	VB	have
diplomacy	NN	diplomacy
which	WDT	which
is	VBZ	be
disconnected	VBN	disconnect
from	IN	from
people	NNS	people
and	CC	and
civil	JJ	civil
society	NN	society
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
to	TO	to
go	VB	go
also	RB	also
beyond	IN	beyond
traditional	JJ	traditional
diplomacy	NN	diplomacy
to	TO	to
the	DT	the
survival	NN	survival
issue	NN	issue
of	IN	of
our	PP$	our
times	NNS	time
,	,	,
climate	NN	climate
change	NN	change
.	SENT	.
How	WRB	how
are	VBP	be
we	PP	we
going	VBG	go
to	TO	to
solve	VB	solve
climate	NN	climate
change	NN	change
through	IN	through
negotiations	NNS	negotiation
,	,	,
unless	IN	unless
we	PP	we
are	VBP	be
able	JJ	able
to	TO	to
make	VB	make
civil	JJ	civil
society	NN	society
and	CC	and
people	NNS	people
,	,	,
not	RB	not
part	NN	part
of	IN	of
the	DT	the
problem	NN	problem
,	,	,
but	CC	but
part	NN	part
of	IN	of
the	DT	the
solution	NN	solution
?	SENT	?
It	PP	it
is	VBZ	be
going	VBG	go
to	TO	to
demand	VB	demand
an	DT	an
inclusive	JJ	inclusive
process	NN	process
of	IN	of
diplomacy	NN	diplomacy
very	RB	very
different	JJ	different
from	IN	from
the	DT	the
one	CD	one
we	PP	we
are	VBP	be
practicing	VBG	practice
today	NN	today
as	IN	as
we	PP	we
are	VBP	be
heading	VBG	head
to	TO	to
new	JJ	new
rounds	NNS	round
of	IN	of
difficult	JJ	difficult
climate	NN	climate
negotiations	NNS	negotiation
,	,	,
but	CC	but
when	WRB	when
we	PP	we
move	VBP	move
toward	IN	toward
something	NN	something
which	WDT	which
has	VBZ	have
to	TO	to
be	VB	be
much	RB	much
more	JJR	more
along	IN	along
a	DT	a
broad	JJ	broad
mobilization	NN	mobilization
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
crucial	JJ	crucial
to	TO	to
understand	VB	understand
,	,	,
I	PP	I
believe	VBP	believe
,	,	,
because	IN	because
of	IN	of
technology	NN	technology
and	CC	and
because	IN	because
of	IN	of
globalization	NN	globalization
,	,	,
societies	NNS	society
from	IN	from
bottom-up	JJ	bottom-up
.	SENT	.
We	PP	we
as	RB	as
diplomats	NNS	diplomat
need	VBP	need
to	TO	to
know	VB	know
the	DT	the
social	JJ	social
capital	NN	capital
of	IN	of
communities	NNS	community
.	SENT	.
What	WP	what
is	VBZ	be
it	PP	it
that	DT	that
makes	VBZ	make
people	NNS	people
trust	VB	trust
each	DT	each
other	JJ	other
,	,	,
not	RB	not
only	RB	only
between	IN	between
states	NNS	state
,	,	,
but	CC	but
also	RB	also
within	IN	within
states	NNS	state
?	SENT	?
What	WP	what
is	VBZ	be
the	DT	the
legitimacy	NN	legitimacy
of	IN	of
diplomacy	NN	diplomacy
,	,	,
of	IN	of
the	DT	the
the	DT	the
solution	NN	solution
we	PP	we
devise	VBP	devise
as	IN	as
diplomats	NNS	diplomat
if	IN	if
they	PP	they
cannot	MD	can
be	VB	be
reflected	VBN	reflect
and	CC	and
understood	VBN	understand
by	IN	by
also	RB	also
these	DT	these
broader	JJR	broad
forces	NNS	force
of	IN	of
societies	NNS	society
that	IN	that
we	PP	we
now	RB	now
very	RB	very
loosely	RB	loosely
call	VB	call
groups	NNS	group
?	SENT	?
The	DT	the
good	JJ	good
thing	NN	thing
is	VBZ	be
that	IN	that
we	PP	we
are	VBP	be
not	RB	not
powerless	JJ	powerless
.	SENT	.
We	PP	we
have	VBP	have
never	RB	never
had	VBN	have
as	IN	as
many	JJ	many
means	NNS	mean
of	IN	of
communication	NN	communication
,	,	,
means	VBZ	mean
of	IN	of
being	VBG	be
connected	VBN	connect
,	,	,
means	VBZ	mean
of	IN	of
reaching	VBG	reach
out	RP	out
,	,	,
means	VBZ	mean
of	IN	of
including	VBG	include
.	SENT	.
The	DT	the
diplomatic	JJ	diplomatic
toolbox	NN	toolbox
is	VBZ	be
actually	RB	actually
full	JJ	full
of	IN	of
different	JJ	different
tools	NNS	tool
we	PP	we
can	MD	can
use	VB	use
to	TO	to
strengthen	VB	strengthen
our	PP$	our
communication	NN	communication
.	SENT	.
But	CC	but
the	DT	the
problem	NN	problem
is	VBZ	be
that	IN	that
we	PP	we
are	VBP	be
coming	VBG	come
out	RP	out
of	IN	of
a	DT	a
decade	NN	decade
where	WRB	where
we	PP	we
had	VBD	have
a	DT	a
fear	NN	fear
of	IN	of
touching	VBG	touch
it	PP	it
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
hope	VBP	hope
,	,	,
in	IN	in
the	DT	the
coming	VBG	come
years	NNS	year
,	,	,
that	WDT	that
we	PP	we
are	VBP	be
able	JJ	able
to	TO	to
demonstrate	VB	demonstrate
through	IN	through
some	DT	some
concrete	JJ	concrete
examples	NNS	example
that	IN	that
fear	NN	fear
is	VBZ	be
receding	VBG	recede
and	CC	and
that	IN	that
we	PP	we
can	MD	can
take	VB	take
courage	NN	courage
from	IN	from
that	DT	that
alliance	NN	alliance
with	IN	with
civil	JJ	civil
society	NN	society
in	IN	in
different	JJ	different
countries	NNS	country
to	TO	to
support	VB	support
their	PP$	their
problem-solving	VBG	problem-solve
,	,	,
among	IN	among
the	DT	the
Afghans	NNS	Afghan
,	,	,
inside	IN	inside
the	DT	the
Palestinian	JJ	Palestinian
population	NN	population
,	,	,
between	IN	between
the	DT	the
peoples	NNS	people
of	IN	of
Palestine	NP	Palestine
and	CC	and
Israel	NP	Israel
.	SENT	.
And	CC	and
as	IN	as
we	PP	we
try	VBP	try
to	TO	to
understand	VB	understand
this	DT	this
broad	JJ	broad
movement	NN	movement
across	IN	across
the	DT	the
Arab	JJ	Arab
world	NN	world
,	,	,
we	PP	we
are	VBP	be
not	RB	not
powerless	JJ	powerless
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
improve	VB	improve
the	DT	the
necessary	JJ	necessary
skills	NNS	skill
,	,	,
and	CC	and
we	PP	we
need	VBP	need
the	DT	the
courage	NN	courage
to	TO	to
use	VB	use
them	PP	them
.	SENT	.
In	IN	in
my	PP$	my
country	NN	country
,	,	,
I	PP	I
have	VBP	have
seen	VBN	see
how	WRB	how
the	DT	the
council	NN	council
of	IN	of
Islamist	NN	<unknown>
groups	NNS	group
and	CC	and
Christian	JJ	Christian
groups	NNS	group
came	VBD	come
together	RB	together
,	,	,
not	RB	not
as	IN	as
a	DT	a
government	NN	government
initiative	NN	initiative
,	,	,
but	CC	but
they	PP	they
came	VBD	come
together	RB	together
on	IN	on
their	PP$	their
own	JJ	own
initiative	NN	initiative
to	TO	to
establish	VB	establish
contact	NN	contact
and	CC	and
dialogue	NN	dialogue
in	IN	in
times	NNS	time
where	WRB	where
things	NNS	thing
were	VBD	be
pretty	RB	pretty
low-key	JJ	low-key
tension	NN	tension
.	SENT	.
And	CC	and
when	WRB	when
tension	NN	tension
increased	VBD	increase
,	,	,
they	PP	they
already	RB	already
had	VBD	have
that	DT	that
dialogue	NN	dialogue
,	,	,
and	CC	and
that	DT	that
was	VBD	be
a	DT	a
strength	NN	strength
to	TO	to
deal	VB	deal
with	IN	with
different	JJ	different
issues	NNS	issue
.	SENT	.
Our	PP$	our
modern	JJ	modern
Western	JJ	Western
societies	NNS	society
are	VBP	be
more	RBR	more
complex	JJ	complex
than	IN	than
before	RB	before
,	,	,
in	IN	in
this	DT	this
time	NN	time
of	IN	of
migration	NN	migration
.	SENT	.
How	WRB	how
are	VBP	be
we	PP	we
going	VBG	go
to	TO	to
settle	VB	settle
and	CC	and
build	VB	build
a	DT	a
bigger	JJR	big
"	``	"
We	PP	we
"	''	"
to	TO	to
deal	VB	deal
with	IN	with
our	PP$	our
issues	NNS	issue
if	IN	if
we	PP	we
don	VBP	don
'	''	'
t	NN	t
improve	VB	improve
our	PP$	our
skills	NNS	skill
of	IN	of
communication	NN	communication
?	SENT	?
So	RB	so
there	EX	there
are	VBP	be
many	JJ	many
reasons	NNS	reason
,	,	,
and	CC	and
for	IN	for
all	DT	all
of	IN	of
these	DT	these
reasons	NNS	reason
,	,	,
this	DT	this
is	VBZ	be
time	NN	time
and	CC	and
this	DT	this
is	VBZ	be
why	WRB	why
we	PP	we
must	MD	must
talk	VB	talk
.	SENT	.
Thank	VB	thank
you	PP	you
for	IN	for
your	PP$	your
attention	NN	attention
.	SENT	.
