Well	RB	well
the	DT	the
summit	NN	summit
of	IN	of
this	DT	this
20	CD	@card@
,	,	,
000-foot	NN	<unknown>
volcano	NN	volcano
in	IN	in
the	DT	the
Andes	NP	Andes
here	RB	here
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
about	IN	about
6	CD	@card@
,	,	,
000	CD	@card@
meters	NNS	meter
.	SENT	.
And	CC	and
you	PP	you
also	RB	also
have	VB	have
to	TO	to
sleep	VB	sleep
on	IN	on
42-degree	JJ	<unknown>
slopes	NNS	slope
and	CC	and
really	RB	really
hope	VBP	hope
that	IN	that
there	EX	there
won	VBD	win
'	''	'
t	NN	t
be	VB	be
any	DT	any
earthquake	NN	earthquake
that	DT	that
night	NN	night
.	SENT	.
But	CC	but
when	WRB	when
we	PP	we
get	VBP	get
to	TO	to
the	DT	the
summit	NN	summit
,	,	,
we	PP	we
actually	RB	actually
find	VBP	find
the	DT	the
lake	NN	lake
we	PP	we
came	VBD	come
for	IN	for
.	SENT	.
At	IN	at
this	DT	this
altitude	NN	altitude
,	,	,
this	DT	this
lake	NN	lake
is	VBZ	be
experiencing	VBG	experience
exactly	RB	exactly
the	DT	the
same	JJ	same
conditions	NNS	condition
as	IN	as
those	DT	those
on	IN	on
Mars	NP	Mars
three	CD	three
and	CC	and
a	DT	a
half	JJ	half
billion	NN	billion
years	NNS	year
ago	RB	ago
.	SENT	.
And	CC	and
now	RB	now
we	PP	we
have	VBP	have
to	TO	to
change	VB	change
our	PP$	our
voyage	NN	voyage
into	IN	into
an	DT	an
inner	JJ	inner
voyage	NN	voyage
inside	IN	inside
that	DT	that
lake	NN	lake
,	,	,
and	CC	and
to	TO	to
do	VB	do
that	IN	that
,	,	,
we	PP	we
have	VBP	have
to	TO	to
remove	VB	remove
our	PP$	our
mountain	NN	mountain
gear	NN	gear
and	CC	and
actually	RB	actually
don	VB	don
suits	NNS	suit
and	CC	and
go	VB	go
for	IN	for
it	PP	it
.	SENT	.
But	CC	but
at	IN	at
the	DT	the
time	NN	time
we	PP	we
enter	VBP	enter
that	DT	that
lake	NN	lake
,	,	,
at	IN	at
the	DT	the
very	JJ	very
moment	NN	moment
we	PP	we
enter	VBP	enter
that	DT	that
lake	NN	lake
,	,	,
we	PP	we
are	VBP	be
stepping	VBG	step
back	RB	back
three	CD	three
and	CC	and
a	DT	a
half	JJ	half
billion	NN	billion
years	NNS	year
in	IN	in
the	DT	the
past	NN	past
of	IN	of
another	DT	another
planet	NN	planet
,	,	,
and	CC	and
then	RB	then
we	PP	we
are	VBP	be
going	VBG	go
to	TO	to
get	VB	get
the	DT	the
answer	NN	answer
came	VBD	come
for	IN	for
.	SENT	.
Life	NN	life
is	VBZ	be
everywhere	RB	everywhere
,	,	,
absolutely	RB	absolutely
everywhere	RB	everywhere
.	SENT	.
Everything	NN	everything
you	PP	you
see	VBP	see
in	IN	in
this	DT	this
picture	NN	picture
is	VBZ	be
a	DT	a
living	VBG	live
organism	NN	organism
.	SENT	.
Maybe	RB	maybe
not	RB	not
so	IN	so
the	DT	the
diver	NN	diver
,	,	,
but	CC	but
everything	NN	everything
else	RB	else
.	SENT	.
But	CC	but
this	DT	this
picture	NN	picture
is	VBZ	be
very	RB	very
deceiving	VBG	deceive
.	SENT	.
Life	NN	life
is	VBZ	be
abundant	JJ	abundant
in	IN	in
those	DT	those
lakes	NNS	lake
,	,	,
but	CC	but
like	IN	like
in	IN	in
many	JJ	many
places	NNS	place
on	IN	on
Earth	NN	earth
right	NN	right
now	RB	now
and	CC	and
due	RB	due
to	TO	to
climate	NN	climate
change	NN	change
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
huge	JJ	huge
loss	NN	loss
in	IN	in
biodiversity	NN	biodiversity
.	SENT	.
In	IN	in
the	DT	the
samples	NNS	sample
that	IN	that
we	PP	we
took	VBD	take
back	RB	back
home	NN	home
,	,	,
36	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
bacteria	NNS	bacterium
in	IN	in
those	DT	those
lakes	NNS	lake
were	VBD	be
composed	VBN	compose
of	IN	of
three	CD	three
species	NNS	specie
,	,	,
and	CC	and
those	DT	those
three	CD	three
species	NNS	specie
are	VBP	be
the	DT	the
ones	NNS	one
that	WDT	that
have	VBP	have
survived	VBN	survive
so	RB	so
far	RB	far
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
another	DT	another
lake	NN	lake
,	,	,
right	RB	right
next	JJ	next
to	TO	to
the	DT	the
first	JJ	first
one	CD	one
.	SENT	.
The	DT	the
red	JJ	red
color	NN	color
you	PP	you
see	VBP	see
here	RB	here
is	VBZ	be
not	RB	not
due	JJ	due
to	TO	to
minerals	NNS	mineral
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
actually	RB	actually
due	JJ	due
to	TO	to
the	DT	the
presence	NN	presence
of	IN	of
a	DT	a
tiny	JJ	tiny
algae	NN	algae
.	SENT	.
In	IN	in
this	DT	this
region	NN	region
,	,	,
the	DT	the
U	NP	U
.	SENT	.
V	CD	@card@
.	SENT	.
radiation	NN	radiation
is	VBZ	be
really	RB	really
nasty	JJ	nasty
.	SENT	.
Anywhere	RB	anywhere
on	IN	on
Earth	NP	Earth
,	,	,
11	NP	@card@
is	VBZ	be
considered	VBN	consider
to	TO	to
be	VB	be
extreme	JJ	extreme
.	SENT	.
During	IN	during
U	NP	U
.	SENT	.
V	CD	@card@
.	SENT	.
storms	NNS	storm
there	RB	there
,	,	,
the	DT	the
U	NP	U
.	SENT	.
V	CD	@card@
.	SENT	.
Index	NP	Index
reaches	VBZ	reach
43	CD	@card@
.	SENT	.
SPF	NN	SPF
30	CD	@card@
is	VBZ	be
not	RB	not
going	VBG	go
to	TO	to
do	VB	do
anything	NN	anything
to	TO	to
you	PP	you
over	IN	over
there	EX	there
,	,	,
and	CC	and
the	DT	the
water	NN	water
is	VBZ	be
so	RB	so
transparent	JJ	transparent
in	IN	in
those	DT	those
lakes	NNS	lake
that	IN	that
the	DT	the
algae	NN	algae
has	VBZ	have
nowhere	RB	nowhere
to	TO	to
hide	VB	hide
,	,	,
really	RB	really
,	,	,
and	CC	and
so	RB	so
they	PP	they
are	VBP	be
developing	VBG	develop
their	PP$	their
own	JJ	own
sunscreen	NN	sunscreen
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
red	JJ	red
color	NN	color
you	PP	you
see	VBP	see
.	SENT	.
But	CC	but
they	PP	they
can	MD	can
adapt	VB	adapt
only	RB	only
so	RB	so
far	RB	far
,	,	,
and	CC	and
then	RB	then
when	WRB	when
all	PDT	all
the	DT	the
water	NN	water
is	VBZ	be
gone	VBN	go
from	IN	from
the	DT	the
surface	NN	surface
,	,	,
microbes	NNS	microbe
have	VBP	have
only	RB	only
one	CD	one
solution	NN	solution
left	NN	left
:	:	:
They	PP	they
go	VBP	go
underground	RB	underground
.	SENT	.
And	CC	and
those	DT	those
microbes	NNS	microbe
,	,	,
the	DT	the
rocks	NNS	rock
you	PP	you
see	VBP	see
in	IN	in
that	DT	that
slide	NN	slide
here	RB	here
,	,	,
well	RB	well
,	,	,
they	PP	they
are	VBP	be
actually	RB	actually
living	VBG	live
inside	IN	inside
rocks	NNS	rock
and	CC	and
they	PP	they
are	VBP	be
using	VBG	use
the	DT	the
protection	NN	protection
of	IN	of
the	DT	the
translucence	NN	translucence
of	IN	of
the	DT	the
rocks	NNS	rock
to	TO	to
get	VB	get
the	DT	the
good	JJ	good
part	NN	part
of	IN	of
the	DT	the
U	NP	U
.	SENT	.
V	CD	@card@
.	SENT	.
and	CC	and
discard	VB	discard
the	DT	the
part	NN	part
that	WDT	that
could	MD	could
actually	RB	actually
damage	VB	damage
their	PP$	their
DNA	NN	DNA
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
why	WRB	why
we	PP	we
are	VBP	be
taking	VBG	take
our	PP$	our
rover	NN	rover
to	TO	to
train	VB	train
them	PP	them
to	TO	to
search	VB	search
for	IN	for
life	NN	life
on	IN	on
Mars	NP	Mars
in	IN	in
these	DT	these
areas	NNS	area
,	,	,
because	IN	because
if	IN	if
there	EX	there
was	VBD	be
life	NN	life
on	IN	on
Mars	NP	Mars
three	CD	three
and	CC	and
a	DT	a
half	JJ	half
billion	NN	billion
years	NNS	year
ago	RB	ago
,	,	,
it	PP	it
had	VBD	have
to	TO	to
use	VB	use
the	DT	the
same	JJ	same
strategy	NN	strategy
to	TO	to
actually	RB	actually
protect	VB	protect
itself	PP	itself
.	SENT	.
Now	RB	now
,	,	,
it	PP	it
is	VBZ	be
pretty	RB	pretty
obvious	JJ	obvious
that	IN	that
going	VBG	go
to	TO	to
extreme	JJ	extreme
environments	NNS	environment
is	VBZ	be
helping	VBG	help
us	PP	us
very	RB	very
much	RB	much
for	IN	for
the	DT	the
exploration	NN	exploration
of	IN	of
Mars	NP	Mars
and	CC	and
to	TO	to
prepare	VB	prepare
missions	NNS	mission
.	SENT	.
So	RB	so
far	RB	far
,	,	,
it	PP	it
has	VBZ	have
helped	VBN	help
us	PP	us
to	TO	to
understand	VB	understand
the	DT	the
geology	NN	geology
of	IN	of
Mars	NP	Mars
.	SENT	.
It	PP	it
has	VBZ	have
helped	VBN	help
to	TO	to
understand	VB	understand
the	DT	the
past	JJ	past
climate	NN	climate
of	IN	of
Mars	NP	Mars
and	CC	and
its	PP$	its
evolution	NN	evolution
,	,	,
but	CC	but
also	RB	also
its	PP$	its
habitability	NN	habitability
potential	NN	potential
.	SENT	.
Our	PP$	our
most	RBS	most
recent	JJ	recent
rover	NN	rover
on	IN	on
Mars	NP	Mars
has	VBZ	have
discovered	VBN	discover
traces	NNS	trace
of	IN	of
organics	NNS	organic
.	SENT	.
Yeah	RB	yeah
,	,	,
there	EX	there
are	VBP	be
organics	NNS	organic
at	IN	at
the	DT	the
surface	NN	surface
of	IN	of
Mars	NP	Mars
.	SENT	.
And	CC	and
it	PP	it
also	RB	also
discovered	VBD	discover
traces	NNS	trace
of	IN	of
methane	NN	methane
.	SENT	.
And	CC	and
we	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
yet	RB	yet
if	IN	if
the	DT	the
methane	NN	methane
in	IN	in
question	NN	question
is	VBZ	be
really	RB	really
from	IN	from
geology	NN	geology
or	CC	or
biology	NN	biology
.	SENT	.
Regardless	RB	regardless
,	,	,
what	WP	what
we	PP	we
know	VBP	know
is	VBZ	be
that	IN	that
because	IN	because
of	IN	of
the	DT	the
discovery	NN	discovery
,	,	,
the	DT	the
hypothesis	NN	hypothesis
that	IN	that
there	EX	there
is	VBZ	be
still	RB	still
life	NN	life
present	NN	present
on	IN	on
Mars	NP	Mars
today	NN	today
remains	VBZ	remain
a	DT	a
viable	JJ	viable
one	CD	one
.	SENT	.
So	RB	so
by	IN	by
now	RB	now
,	,	,
I	PP	I
think	VBP	think
I	PP	I
have	VBP	have
convinced	VBN	convince
you	PP	you
that	IN	that
Mars	NP	Mars
is	VBZ	be
very	RB	very
special	JJ	special
to	TO	to
us	PP	us
,	,	,
but	CC	but
it	PP	it
would	MD	would
be	VB	be
a	DT	a
mistake	NN	mistake
to	TO	to
think	VB	think
that	IN	that
Mars	NP	Mars
is	VBZ	be
the	DT	the
only	JJ	only
place	NN	place
in	IN	in
the	DT	the
solar	JJ	solar
system	NN	system
that	WDT	that
is	VBZ	be
interesting	JJ	interesting
to	TO	to
find	VB	find
potential	JJ	potential
microbial	JJ	microbial
life	NN	life
.	SENT	.
And	CC	and
the	DT	the
reason	NN	reason
is	VBZ	be
because	IN	because
Mars	NP	Mars
and	CC	and
the	DT	the
Earth	NP	Earth
could	MD	could
have	VB	have
a	DT	a
common	JJ	common
root	NN	root
to	TO	to
their	PP$	their
tree	NN	tree
of	IN	of
life	NN	life
,	,	,
but	CC	but
when	WRB	when
you	PP	you
go	VBP	go
beyond	IN	beyond
Mars	NP	Mars
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
that	RB	that
easy	JJ	easy
.	SENT	.
Celestial	JJ	celestial
mechanics	NNS	mechanic
is	VBZ	be
not	RB	not
making	VBG	make
it	PP	it
so	RB	so
easy	JJ	easy
for	IN	for
an	DT	an
exchange	NN	exchange
of	IN	of
material	NN	material
between	IN	between
planets	NNS	planet
,	,	,
and	CC	and
so	RB	so
if	IN	if
we	PP	we
were	VBD	be
to	TO	to
discover	VB	discover
life	NN	life
on	IN	on
those	DT	those
planets	NNS	planet
,	,	,
it	PP	it
would	MD	would
be	VB	be
different	JJ	different
from	IN	from
us	PP	us
.	SENT	.
It	PP	it
would	MD	would
be	VB	be
a	DT	a
different	JJ	different
type	NN	type
of	IN	of
life	NN	life
.	SENT	.
But	CC	but
in	IN	in
the	DT	the
end	NN	end
,	,	,
it	PP	it
might	MD	might
be	VB	be
just	RB	just
us	PP	us
,	,	,
it	PP	it
might	MD	might
be	VB	be
us	PP	us
and	CC	and
Mars	NP	Mars
,	,	,
or	CC	or
it	PP	it
can	MD	can
be	VB	be
many	JJ	many
trees	NNS	tree
of	IN	of
life	NN	life
in	IN	in
the	DT	the
solar	JJ	solar
system	NN	system
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
the	DT	the
answer	NN	answer
yet	RB	yet
,	,	,
but	CC	but
I	PP	I
can	MD	can
tell	VB	tell
you	PP	you
something	NN	something
:	:	:
No	DT	no
matter	NN	matter
what	WP	what
the	DT	the
result	NN	result
is	VBZ	be
,	,	,
no	DT	no
matter	NN	matter
what	WP	what
that	DT	that
magic	JJ	magic
number	NN	number
is	VBZ	be
,	,	,
it	PP	it
is	VBZ	be
going	VBG	go
to	TO	to
give	VB	give
us	PP	us
a	DT	a
standard	NN	standard
by	IN	by
which	WDT	which
we	PP	we
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
measure	VB	measure
the	DT	the
life	NN	life
potential	NN	potential
,	,	,
abundance	NN	abundance
and	CC	and
diversity	NN	diversity
beyond	IN	beyond
our	PP$	our
own	JJ	own
solar	JJ	solar
system	NN	system
.	SENT	.
And	CC	and
this	DT	this
can	MD	can
be	VB	be
achieved	VBN	achieve
by	IN	by
our	PP$	our
generation	NN	generation
.	SENT	.
This	DT	this
can	MD	can
be	VB	be
our	PP$	our
legacy	NN	legacy
,	,	,
but	CC	but
only	RB	only
if	IN	if
we	PP	we
dare	VBP	dare
to	TO	to
explore	VB	explore
.	SENT	.
Now	RB	now
,	,	,
finally	RB	finally
,	,	,
if	IN	if
somebody	NN	somebody
tells	VBZ	tell
you	PP	you
that	IN	that
looking	VBG	look
for	IN	for
alien	JJ	alien
microbes	NNS	microbe
is	VBZ	be
not	RB	not
cool	JJ	cool
because	IN	because
you	PP	you
cannot	MD	can
have	VB	have
a	DT	a
philosophical	JJ	philosophical
conversation	NN	conversation
with	IN	with
them	PP	them
,	,	,
let	VB	let
me	PP	me
show	VB	show
you	PP	you
why	WRB	why
and	CC	and
how	WRB	how
you	PP	you
can	MD	can
tell	VB	tell
them	PP	them
they	PP	they
'	POS	'
re	NN	re
wrong	JJ	wrong
.	SENT	.
Well	RB	well
,	,	,
organic	JJ	organic
material	NN	material
is	VBZ	be
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
about	IN	about
environment	NN	environment
,	,	,
about	IN	about
complexity	NN	complexity
and	CC	and
about	IN	about
diversity	NN	diversity
.	SENT	.
DNA	NP	DNA
,	,	,
or	CC	or
any	DT	any
information	NN	information
carrier	NN	carrier
,	,	,
is	VBZ	be
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
about	IN	about
adaptation	NN	adaptation
,	,	,
about	IN	about
evolution	NN	evolution
,	,	,
about	IN	about
survival	NN	survival
,	,	,
about	IN	about
planetary	JJ	planetary
changes	NNS	change
and	CC	and
about	RB	about
the	DT	the
transfer	NN	transfer
of	IN	of
information	NN	information
.	SENT	.
All	RB	all
together	RB	together
,	,	,
they	PP	they
are	VBP	be
telling	VBG	tell
us	PP	us
what	WP	what
started	VBD	start
as	IN	as
a	DT	a
microbial	JJ	microbial
pathway	NN	pathway
,	,	,
and	CC	and
why	WRB	why
what	WP	what
started	VBD	start
as	IN	as
a	DT	a
microbial	JJ	microbial
pathway	NN	pathway
sometimes	RB	sometimes
ends	VBZ	end
up	RP	up
as	IN	as
a	DT	a
civilization	NN	civilization
or	CC	or
sometimes	RB	sometimes
ends	VBZ	end
up	RP	up
as	IN	as
a	DT	a
dead	JJ	dead
end	NN	end
.	SENT	.
Look	VB	look
at	IN	at
the	DT	the
solar	JJ	solar
system	NN	system
,	,	,
and	CC	and
look	VB	look
at	IN	at
the	DT	the
Earth	NN	earth
.	SENT	.
On	IN	on
Earth	NN	earth
,	,	,
there	EX	there
are	VBP	be
many	JJ	many
intelligent	JJ	intelligent
species	NNS	specie
,	,	,
but	CC	but
only	RB	only
one	PP	one
has	VBZ	have
achieved	VBN	achieve
technology	NN	technology
.	SENT	.
Right	RB	right
here	RB	here
in	IN	in
the	DT	the
journey	NN	journey
of	IN	of
our	PP$	our
own	JJ	own
solar	JJ	solar
system	NN	system
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
very	RB	very
,	,	,
very	RB	very
powerful	JJ	powerful
message	NN	message
that	WDT	that
says	VBZ	say
here	RB	here
'	POS	'
s	NN	S
how	WRB	how
we	PP	we
should	MD	should
look	VB	look
for	IN	for
alien	JJ	alien
life	NN	life
,	,	,
small	JJ	small
and	CC	and
big	JJ	big
.	SENT	.
So	RB	so
yeah	RB	yeah
,	,	,
microbes	NNS	microbe
are	VBP	be
talking	VBG	talk
and	CC	and
we	PP	we
are	VBP	be
listening	VBG	listen
,	,	,
and	CC	and
they	PP	they
are	VBP	be
taking	VBG	take
us	PP	us
,	,	,
one	CD	one
planet	NN	planet
at	IN	at
a	DT	a
time	NN	time
and	CC	and
one	CD	one
moon	NN	moon
at	IN	at
a	DT	a
time	NN	time
,	,	,
towards	IN	towards
their	PP$	their
big	JJ	big
brothers	NNS	brother
out	IN	out
there	RB	there
.	SENT	.
And	CC	and
they	PP	they
are	VBP	be
telling	VBG	tell
us	PP	us
about	IN	about
diversity	NN	diversity
,	,	,
they	PP	they
are	VBP	be
telling	VBG	tell
us	PP	us
about	IN	about
abundance	NN	abundance
of	IN	of
life	NN	life
,	,	,
and	CC	and
they	PP	they
are	VBP	be
telling	VBG	tell
us	PP	us
how	WRB	how
this	DT	this
life	NN	life
has	VBZ	have
survived	VBN	survive
thus	RB	thus
far	RB	far
to	TO	to
reach	VB	reach
civilization	NN	civilization
,	,	,
intelligence	NN	intelligence
,	,	,
technology	NN	technology
and	CC	and
,	,	,
indeed	RB	indeed
,	,	,
philosophy	NN	philosophy
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
