Catherine	NP	Catherine
.	SENT	.
None	NN	none
of	IN	of
that	WDT	that
is	VBZ	be
true	JJ	true
.	SENT	.
If	IN	if
you	PP	you
define	VBP	define
it	PP	it
as	IN	as
playful	JJ	playful
connected	JJ	connected
flow	NN	flow
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
start	VBP	start
to	TO	to
recognize	VB	recognize
that	IN	that
you	PP	you
can	MD	can
have	VB	have
even	RB	even
tiny	JJ	tiny
moments	NNS	moment
of	IN	of
fun	NN	fun
all	RB	all
the	DT	the
time	NN	time
.	SENT	.
And	CC	and
the	DT	the
reason	NN	reason
you	PP	you
want	VBP	want
to	TO	to
call	VB	call
to	TO	to
mind	VB	mind
one	CD	one
of	IN	of
these	DT	these
experiences	NNS	experience
is	VBZ	be
that	IN	that
,	,	,
as	IN	as
you	PP	you
begin	VBP	begin
to	TO	to
think	VB	think
of	IN	of
more	JJR	more
of	IN	of
them	PP	them
,	,	,
so	RB	so
I	PP	I
encourage	VBP	encourage
you	PP	you
to	TO	to
try	VB	try
to	TO	to
think	VB	think
of	IN	of
more	JJR	more
than	IN	than
one	CD	one
,	,	,
and	CC	and
it	PP	it
will	MD	will
become	VB	become
easier	JJR	easy
as	IN	as
you	PP	you
start	VBP	start
thinking	VBG	think
of	IN	of
them	PP	them
,	,	,
to	TO	to
call	VB	call
out	RP	out
some	DT	some
themes	NNS	theme
and	CC	and
see	VBP	see
are	VBP	be
there	RB	there
any	DT	any
particular	JJ	particular
people	NNS	people
who	WP	who
are	VBP	be
often	RB	often
involved	VBN	involve
?	SENT	?
Are	VBP	be
there	RB	there
any	DT	any
activities	NNS	activity
that	WDT	that
are	VBP	be
involved	VBN	involve
?	SENT	?
Are	VBP	be
there	RB	there
any	DT	any
settings	NNS	setting
that	WDT	that
seem	VBP	seem
conducive	JJ	conducive
to	TO	to
fun	NN	fun
?	SENT	?
Because	IN	because
if	IN	if
you	PP	you
'	POS	'
ve	RB	<unknown>
seen	VBN	see
my	PP$	my
TED	VB	ted
Talk	NN	talk
,	,	,
you	PP	you
know	VBP	know
that	IN	that
I	PP	I
believe	VBP	believe
that	IN	that
fun	NN	fun
is	VBZ	be
a	DT	a
feeling	NN	feeling
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
an	DT	an
activity	NN	activity
.	SENT	.
By	IN	by
which	WDT	which
I	PP	I
mean	VBP	mean
that	IN	that
,	,	,
I	PP	I
think	VBP	think
too	RB	too
often	RB	often
we	PP	we
start	VBP	start
to	TO	to
think	VB	think
,	,	,
like	VB	like
,	,	,
if	IN	if
I	PP	I
asked	VBD	ask
you	PP	you
guys	VBZ	guy
what	WP	what
'	POS	'
s	NN	S
fun	NN	fun
,	,	,
just	RB	just
at	IN	at
the	DT	the
beginning	NN	beginning
of	IN	of
this	DT	this
conversation	NN	conversation
,	,	,
you	PP	you
might	MD	might
start	VB	start
to	TO	to
give	VB	give
me	PP	me
a	DT	a
list	NN	list
of	IN	of
activities	NNS	activity
that	IN	that
you	PP	you
enjoy	VBP	enjoy
.	SENT	.
Cooking	NN	cooking
'	POS	'
s	NN	S
fun	NN	fun
or	CC	or
reading	VBG	read
or	CC	or
whatever	WDT	whatever
,	,	,
but	CC	but
the	DT	the
activity	NN	activity
itself	PP	itself
is	VBZ	be
not	RB	not
fun	NN	fun
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
feeling	NN	feeling
of	IN	of
fun	NN	fun
.	SENT	.
Like	IN	like
,	,	,
you	PP	you
can	MD	can
love	VB	love
dinner	NN	dinner
parties	NNS	party
and	CC	and
have	VBP	have
the	DT	the
exact	JJ	exact
same	JJ	same
group	NN	group
of	IN	of
people	NNS	people
over	IN	over
for	IN	for
dinner	NN	dinner
and	CC	and
eat	VB	eat
the	DT	the
exact	JJ	exact
same	JJ	same
thing	NN	thing
.	SENT	.
And	CC	and
one	CD	one
night	NN	night
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
really	RB	really
fun	NN	fun
and	CC	and
one	CD	one
night	NN	night
it	PP	it
'	POS	'
s	NN	S
not	RB	not
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
feeling	NN	feeling
that	IN	that
results	NNS	result
.	SENT	.
So	IN	so
the	DT	the
point	NN	point
of	IN	of
calling	VBG	call
out	RP	out
these	DT	these
settings	NNS	setting
and	CC	and
these	DT	these
people	NNS	people
and	CC	and
activities	NNS	activity
that	WDT	that
are	VBP	be
often	RB	often
associated	VBN	associate
with	IN	with
fun	NN	fun
for	IN	for
you	PP	you
is	VBZ	be
not	RB	not
to	TO	to
guarantee	VB	guarantee
that	IN	that
you	PP	you
can	MD	can
have	VB	have
fun	NN	fun
if	IN	if
you	PP	you
'	POS	'
re	NN	re
with	IN	with
them	PP	them
,	,	,
but	CC	but
to	TO	to
set	VB	set
the	DT	the
scene	NN	scene
for	IN	for
it	PP	it
to	TO	to
make	VB	make
it	PP	it
more	RBR	more
likely	JJ	likely
that	IN	that
fun	NN	fun
will	MD	will
occur	VB	occur
in	IN	in
result	NN	result
.	SENT	.
I	PP	I
think	VBP	think
about	RB	about
it	PP	it
like	VBP	like
romance	NN	romance
,	,	,
like	IN	like
you	PP	you
can	MD	can
set	VB	set
the	DT	the
scene	NN	scene
for	IN	for
it	PP	it
,	,	,
but	CC	but
if	IN	if
you	PP	you
try	VBP	try
too	RB	too
hard	RB	hard
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
run	VB	run
away	RB	away
,	,	,
right	RB	right
?	SENT	?
So	IN	so
we	PP	we
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
light	JJ	light
candles	NNS	candle
for	IN	for
fun	NN	fun
.	SENT	.
But	CC	but
I	PP	I
call	VBP	call
the	DT	the
settings	NNS	setting
and	CC	and
the	DT	the
people	NNS	people
and	CC	and
the	DT	the
activities	NNS	activity
our	PP$	our
fun	NN	fun
magnets	NNS	magnet
,	,	,
and	CC	and
each	DT	each
of	IN	of
us	PP	us
has	VBZ	have
a	DT	a
collection	NN	collection
that	WDT	that
is	VBZ	be
unique	JJ	unique
to	TO	to
us	PP	us
,	,	,
you	PP	you
know	VBP	know
.	SENT	.
My	PP$	my
husband	NN	husband
'	POS	'
s	JJ	<unknown>
fun	NN	fun
magnets	NNS	magnet
are	VBP	be
not	RB	not
necessarily	RB	necessarily
the	DT	the
same	JJ	same
as	IN	as
mine	NN	mine
.	SENT	.
We	PP	we
have	VBP	have
some	DT	some
that	IN	that
we	PP	we
share	VBP	share
,	,	,
some	DT	some
that	WDT	that
are	VBP	be
different	JJ	different
.	SENT	.
And	CC	and
the	DT	the
point	NN	point
is	VBZ	be
just	RB	just
to	TO	to
become	VB	become
more	RBR	more
cognizant	JJ	cognizant
of	IN	of
what	WP	what
those	DT	those
things	NNS	thing
are	VBP	be
so	RB	so
again	RB	again
,	,	,
you	PP	you
can	MD	can
become	VB	become
more	RBR	more
intentional	JJ	intentional
about	IN	about
how	WRB	how
you	PP	you
choose	VBP	choose
to	TO	to
spend	VB	spend
your	PP$	your
leisure	NN	leisure
time	NN	time
.	SENT	.
I	PP	I
also	RB	also
created	VBD	create
a	DT	a
whole	JJ	whole
acronym	NN	acronym
in	IN	in
the	DT	the
book	NN	book
and	CC	and
a	DT	a
framework	NN	framework
that	RB	that
'	POS	'
s	NN	S
called	VBD	call
SPARK	NN	spark
,	,	,
which	WDT	which
I	PP	I
'	POS	'
m	NN	m
happy	JJ	happy
to	TO	to
go	VB	go
through	RP	through
,	,	,
but	CC	but
I	PP	I
'	POS	'
ll	NNS	<unknown>
just	RB	just
end	VBP	end
up	RP	up
talking	VBG	talk
straight	RB	straight
for	IN	for
half	PDT	half
an	DT	an
hour	NN	hour
if	IN	if
I	PP	I
go	VBP	go
down	RP	down
that	DT	that
route	NN	route
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
d	NN	d
start	NN	start
with	IN	with
that	DT	that
,	,	,
try	VB	try
to	TO	to
identify	VB	identify
past	JJ	past
memories	NNS	memory
of	IN	of
fun	NN	fun
,	,	,
look	NN	look
for	IN	for
themes	NNS	theme
and	CC	and
then	RB	then
prioritize	VB	<unknown>
those	DT	those
people	NNS	people
and	CC	and
activities	NNS	activity
and	CC	and
settings	NNS	setting
.	SENT	.
DB	NP	DB
:	:	:
Well	UH	well
,	,	,
let	VB	let
'	''	'
s	NNS	<unknown>
talk	VBP	talk
about	RB	about
SPARK	VB	spark
a	DT	a
little	JJ	little
bit	NN	bit
,	,	,
because	IN	because
in	IN	in
looking	VBG	look
through	IN	through
the	DT	the
chat	NN	chat
,	,	,
I	PP	I
mean	VBP	mean
,	,	,
that	IN	that
'	POS	'
s	NN	S
why	WRB	why
we	PP	we
ask	VBP	ask
for	IN	for
the	DT	the
moments	NNS	moment
of	IN	of
delight	NN	delight
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
moment	NN	moment
for	IN	for
people	NNS	people
to	TO	to
reflect	VB	reflect
and	CC	and
think	VB	think
about	IN	about
something	NN	something
that	WDT	that
was	VBD	be
probably	RB	probably
pretty	JJ	pretty
fun	NN	fun
.	SENT	.
If	IN	if
it	PP	it
delighted	VBD	delight
you	PP	you
,	,	,
it	PP	it
was	VBD	be
probably	RB	probably
pretty	JJ	pretty
fun	NN	fun
.	SENT	.
So	RB	so
tell	VB	tell
us	PP	us
a	DT	a
little	JJ	little
bit	NN	bit
more	RBR	more
about	IN	about
the	DT	the
importance	NN	importance
of	IN	of
noticing	VBG	notice
and	CC	and
this	DT	this
whole	JJ	whole
SPARK	NN	spark
method	NN	method
.	SENT	.
CP	NP	CP
:	:	:
So	RB	so
the	DT	the
first	JJ	first
step	NN	step
in	IN	in
SPARK	NN	spark
,	,	,
the	DT	the
S	NP	S
,	,	,
actually	RB	actually
stands	VBZ	stand
for	IN	for
"	``	"
make	VB	make
space	NN	space
"	''	"
because	IN	because
we	PP	we
do	VBP	do
need	VB	need
to	TO	to
clear	VB	clear
out	RP	out
some	DT	some
space	NN	space
for	IN	for
fun	NN	fun
.	SENT	.
If	IN	if
you	PP	you
'	POS	'
re	NN	re
feeling	NN	feeling
constantly	RB	constantly
overwhelmed	VBN	overwhelm
,	,	,
you	PP	you
'	POS	'
re	NN	re
probably	RB	probably
going	VBG	go
to	TO	to
feel	VB	feel
like	IN	like
you	PP	you
can	MD	can
'	''	'
t	NN	t
even	RB	even
begin	VB	begin
this	DT	this
process	NN	process
.	SENT	.
What	WP	what
I	PP	I
recommend	VBP	recommend
that	IN	that
people	NNS	people
start	VBP	start
with	IN	with
in	IN	in
terms	NNS	term
of	IN	of
clearing	VBG	clear
space	NN	space
is	VBZ	be
to	TO	to
begin	VB	begin
with	IN	with
the	DT	the
biggest	JJS	big
source	NN	source
of	IN	of
distraction	NN	distraction
for	IN	for
most	JJS	most
of	IN	of
us	PP	us
these	DT	these
days	NNS	day
,	,	,
which	WDT	which
is	VBZ	be
our	PP$	our
phones	NNS	phone
and	CC	and
our	PP$	our
digital	JJ	digital
devices	NNS	device
.	SENT	.
Before	IN	before
the	DT	the
pandemic	NN	pandemic
,	,	,
the	DT	the
average	JJ	average
person	NN	person
in	IN	in
America	NP	America
was	VBD	be
spending	VBG	spend
upwards	RB	upwards
of	IN	of
four	CD	four
hours	NNS	hour
a	DT	a
day	NN	day
just	RB	just
on	IN	on
their	PP$	their
phones	NNS	phone
.	SENT	.
So	RB	so
not	RB	not
their	PP$	their
tablets	NNS	tablet
,	,	,
not	RB	not
their	PP$	their
computers	NNS	computer
,	,	,
not	RB	not
their	PP$	their
TVs	NNS	TV
,	,	,
just	RB	just
their	PP$	their
phones	NNS	phone
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
quarter	NN	quarter
of	IN	of
your	PP$	your
waking	VBG	wake
life	NN	life
,	,	,
and	CC	and
it	PP	it
adds	VBZ	add
up	RP	up
to	TO	to
60	CD	@card@
full	JJ	full
days	NNS	day
a	DT	a
year	NN	year
.	SENT	.
When	WRB	when
you	PP	you
think	VBP	think
about	IN	about
it	PP	it
that	WDT	that
way	NN	way
,	,	,
sure	RB	sure
,	,	,
some	DT	some
of	IN	of
that	DT	that
time	NN	time
is	VBZ	be
useful	JJ	useful
and	CC	and
productive	JJ	productive
and	CC	and
perhaps	RB	perhaps
essential	JJ	essential
,	,	,
but	CC	but
there	EX	there
'	''	'
s	NNS	<unknown>
also	RB	also
a	DT	a
lot	NN	lot
of	IN	of
it	PP	it
that	WDT	that
'	POS	'
s	NN	S
just	RB	just
a	DT	a
kind	NN	kind
of	IN	of
,	,	,
frittering	VBG	fritter
away	RB	away
of	IN	of
time	NN	time
,	,	,
the	DT	the
fake	JJ	fake
fun	NN	fun
that	IN	that
we	PP	we
'	POS	'
re	NN	re
talking	VBG	talk
about	RB	about
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
create	VB	create
better	JJR	good
boundaries	NNS	boundary
with	IN	with
your	PP$	your
devices	NNS	device
and	CC	and
more	JJR	more
of	IN	of
what	WP	what
I	PP	I
call	VBP	call
screen-life	JJ	<unknown>
balance	NN	balance
,	,	,
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
end	VB	end
up	RP	up
with	IN	with
more	JJR	more
free	JJ	free
time	NN	time
that	IN	that
you	PP	you
then	RB	then
can	MD	can
devote	VB	devote
towards	IN	towards
pursuing	VBG	pursue
fun	NN	fun
.	SENT	.
So	IN	so
another	DT	another
way	NN	way
to	TO	to
create	VB	create
space	NN	space
is	VBZ	be
actually	RB	actually
to	TO	to
think	VB	think
about	IN	about
your	PP$	your
commitments	NNS	commitment
and	CC	and
see	VB	see
which	WDT	which
ones	NNS	one
you	PP	you
could	MD	could
say	VB	say
no	RB	no
to	TO	to
.	SENT	.
Like	IN	like
,	,	,
for	IN	for
example	NN	example
,	,	,
I	PP	I
used	VBD	use
to	TO	to
volunteer	VB	volunteer
in	IN	in
my	PP$	my
daughter	NN	daughter
'	POS	'
s	JJ	<unknown>
preschool	JJ	preschool
board	NN	board
and	CC	and
then	RB	then
at	IN	at
some	DT	some
point	NN	point
I	PP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
the	DT	the
school	NN	school
'	POS	'
s	NN	S
fine	NN	fine
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
adding	VBG	add
to	TO	to
it	PP	it
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
not	RB	not
enjoying	VBG	enjoy
the	DT	the
meetings	NNS	meeting
and	CC	and
so	RB	so
I	PP	I
quit	VBP	quit
and	CC	and
it	PP	it
cleared	VBD	clear
up	RP	up
a	DT	a
lot	NN	lot
of	IN	of
space	NN	space
.	SENT	.
Also	RB	also
,	,	,
giving	VBG	give
yourself	PP	yourself
a	DT	a
permission	NN	permission
slip	NN	slip
is	VBZ	be
huge	JJ	huge
in	IN	in
terms	NNS	term
of	IN	of
making	VBG	make
space	NN	space
.	SENT	.
A	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
think	VBP	think
that	IN	that
they	PP	they
don	VB	don
'	''	'
t	NN	t
deserve	VBP	deserve
fun	NN	fun
,	,	,
that	IN	that
there	EX	there
are	VBP	be
too	RB	too
many	JJ	many
other	JJ	other
priorities	NNS	priority
,	,	,
they	PP	they
'	POS	'
re	NN	re
taking	VBG	take
care	NN	care
of	IN	of
other	JJ	other
people	NNS	people
,	,	,
their	PP$	their
needs	NNS	need
are	VBP	be
at	IN	at
the	DT	the
bottom	NN	bottom
of	IN	of
the	DT	the
list	NN	list
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
actually	RB	actually
had	VBD	have
people	NNS	people
say	VBP	say
that	IN	that
they	PP	they
have	VBP	have
written	VBN	write
out	RP	out
an	DT	an
actual	JJ	actual
permission	NN	permission
slip	NN	slip
for	IN	for
themselves	PP	themselves
and	CC	and
signed	VBD	sign
it	PP	it
.	SENT	.
So	RB	so
if	IN	if
that	DT	that
'	''	'
s	VBG	<unknown>
your	PP$	your
deal	NN	deal
,	,	,
do	VBP	do
it	PP	it
.	SENT	.
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
actually	RB	actually
really	RB	really
important	JJ	important
whether	IN	whether
it	PP	it
'	POS	'
s	NN	S
a	DT	a
literal	JJ	literal
permission	NN	permission
slip	NN	slip
or	CC	or
a	DT	a
mental	JJ	mental
one	CD	one
.	SENT	.
Then	RB	then
the	DT	the
P	NN	P
is	VBZ	be
to	TO	to
pursue	VB	pursue
passions	NNS	passion
and	CC	and
hobbies	NNS	hobby
and	CC	and
interests	NNS	interest
.	SENT	.
The	DT	the
more	JJR	more
interests	NNS	interest
you	PP	you
have	VBP	have
and	CC	and
the	DT	the
more	JJR	more
skills	NNS	skill
and	CC	and
knowledge	NN	knowledge
you	PP	you
have	VBP	have
,	,	,
the	DT	the
more	JJR	more
interesting	JJ	interesting
your	PP$	your
life	NN	life
will	MD	will
be	VB	be
,	,	,
first	JJ	first
of	IN	of
all	DT	all
,	,	,
but	CC	but
also	RB	also
the	DT	the
more	JJR	more
portals	NNS	portal
into	IN	into
playful	JJ	playful
connected	JJ	connected
flow	NN	flow
you	PP	you
'	POS	'
ll	NNS	<unknown>
find	VBP	find
.	SENT	.
And	CC	and
the	DT	the
thing	NN	thing
that	WDT	that
sparked	VBD	spark
that	DT	that
idea	NN	idea
for	IN	for
me	PP	me
was	VBD	be
the	DT	the
book	NN	book
"	``	"
Flow	NP	Flow
"	''	"
by	IN	by
Mihaly	NP	Mihaly
Csikszentmihalyi	NP	<unknown>
who	WP	who
was	VBD	be
the	DT	the
psychologist	NN	psychologist
who	WP	who
coined	VBD	coin
the	DT	the
term	NN	term
flow	NN	flow
.	SENT	.
And	CC	and
in	IN	in
his	PP$	his
book	NN	book
he	PP	he
made	VBD	make
this	DT	this
comment	NN	comment
that	WDT	that
really	RB	really
stood	VBD	stand
out	RP	out
to	TO	to
me	PP	me
,	,	,
which	WDT	which
was	VBD	be
that	IN	that
to	TO	to
someone	NN	someone
who	WP	who
doesn	NP	<unknown>
'	POS	'
t	NN	t
play	NN	play
chess	NN	chess
,	,	,
a	DT	a
chess	NN	chess
board	NN	board
is	VBZ	be
just	RB	just
a	DT	a
board	NN	board
with	IN	with
some	DT	some
carved	VBN	carve
figurines	NNS	figurine
.	SENT	.
Honestly	RB	honestly
,	,	,
that	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
it	PP	it
still	RB	still
is	VBZ	be
to	TO	to
me	PP	me
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
know	VBP	know
how	WRB	how
to	TO	to
play	VB	play
chess	NN	chess
,	,	,
if	IN	if
you	PP	you
put	VBD	put
in	IN	in
the	DT	the
work	NN	work
to	TO	to
learn	VB	learn
to	TO	to
play	VB	play
chess	NN	chess
,	,	,
it	PP	it
becomes	VBZ	become
a	DT	a
portal	NN	portal
into	IN	into
flow	NN	flow
.	SENT	.
And	CC	and
I	PP	I
would	MD	would
argue	VB	argue
,	,	,
into	IN	into
fun	NN	fun
.	SENT	.
But	CC	but
the	DT	the
idea	NN	idea
is	VBZ	be
just	RB	just
get	VB	get
out	RP	out
there	RB	there
,	,	,
try	VB	try
something	NN	something
new	JJ	new
,	,	,
do	VBP	do
something	NN	something
new	JJ	new
,	,	,
get	VB	get
up	RP	up
off	IN	off
your	PP$	your
couch	NN	couch
,	,	,
you	PP	you
know	VBP	know
.	SENT	.
It	PP	it
might	MD	might
take	VB	take
a	DT	a
bit	NN	bit
to	TO	to
get	VB	get
over	RP	over
your	PP$	your
inertia	NN	inertia
at	IN	at
first	JJ	first
,	,	,
but	CC	but
it	PP	it
is	VBZ	be
worth	JJ	worth
it	PP	it
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
P	NN	P
,	,	,
is	VBZ	be
to	TO	to
pursue	VB	pursue
passions	NNS	passion
.	SENT	.
The	DT	the
A	NP	A
of	IN	of
spark	NN	spark
is	VBZ	be
for	IN	for
attract	VB	attract
fun	NN	fun
because	IN	because
you	PP	you
probably	RB	probably
have	VBP	have
noticed	VBD	notice
there	EX	there
are	VBP	be
certain	JJ	certain
people	NNS	people
in	IN	in
your	PP$	your
life	NN	life
who	WP	who
just	RB	just
seem	VBP	seem
to	TO	to
have	VB	have
more	JJR	more
fun	NN	fun
than	IN	than
you	PP	you
and	CC	and
you	PP	you
might	MD	might
not	RB	not
know	VB	know
why	WRB	why
--	:	--
you	PP	you
have	VBP	have
fun	NN	fun
,	,	,
too	RB	too
,	,	,
David	NP	David
.	SENT	.
This	DT	this
guy	NN	guy
,	,	,
just	RB	just
look	VBP	look
at	IN	at
him	PP	him
having	VBG	have
lots	NNS	lot
of	IN	of
fun	NN	fun
.	SENT	.
But	CC	but
when	WRB	when
I	PP	I
asked	VBD	ask
people	NNS	people
in	IN	in
my	PP$	my
research	NN	research
,	,	,
I	PP	I
straight	RB	straight
up	RB	up
asked	VBD	ask
them	PP	them
,	,	,
"	``	"
Describe	VB	describe
someone	NN	someone
in	IN	in
your	PP$	your
life	NN	life
whom	WP	whom
you	PP	you
consider	VBP	consider
a	DT	a
'	''	'
fun	NN	fun
person	NN	person
,	,	,
'	''	'
and	CC	and
then	RB	then
tell	VB	tell
me	PP	me
like	VB	like
,	,	,
what	WP	what
about	RB	about
them	PP	them
makes	VBZ	make
them	PP	them
fun	NN	fun
?	SENT	?
"	''	"
And	CC	and
even	RB	even
I	PP	I
thought	VBD	think
that	IN	that
I	NP	I
'	POS	'
d	NN	d
get	VB	get
a	DT	a
lot	NN	lot
of	IN	of
really	RB	really
stereotypical	JJ	stereotypical
responses	NNS	response
:	:	:
"	``	"
they	PP	they
'	POS	'
re	NN	re
extroverts	NNS	extrovert
"	''	"
or	CC	or
"	``	"
they	PP	they
'	''	'
re	IN	re
the	DT	the
lives	NNS	life
of	IN	of
the	DT	the
party	NN	party
"	''	"
or	CC	or
"	``	"
they	PP	they
'	''	'
re	IN	re
the	DT	the
class	NN	class
clowns	NNS	clown
.	SENT	.
"	``	"
There	EX	there
were	VBD	be
some	DT	some
of	IN	of
those	DT	those
.	SENT	.
But	CC	but
it	PP	it
was	VBD	be
so	RB	so
interesting	JJ	interesting
because	IN	because
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
said	VBD	say
things	NNS	thing
like	IN	like
,	,	,
"	``	"
They	PP	they
make	VBP	make
everyone	NN	everyone
feel	VBP	feel
very	RB	very
comfortable	JJ	comfortable
in	IN	in
their	PP$	their
presence	NN	presence
.	SENT	.
"	''	"
Or	CC	or
"	``	"
They	PP	they
laugh	VBP	laugh
very	RB	very
easily	RB	easily
at	IN	at
other	JJ	other
people	NNS	people
'	POS	'
s	NN	S
jokes	NNS	joke
or	CC	or
stories	NNS	story
.	SENT	.
"	''	"
Or	CC	or
"	``	"
They	PP	they
go	VBP	go
along	RP	along
with	IN	with
things	NNS	thing
,	,	,
they	PP	they
go	VBP	go
with	IN	with
the	DT	the
flow	NN	flow
.	SENT	.
"	``	"
And	CC	and
it	PP	it
really	RB	really
stood	VBD	stand
out	RP	out
to	TO	to
me	PP	me
because	IN	because
the	DT	the
traits	NNS	trait
they	PP	they
were	VBD	be
describing	VBG	describe
were	VBD	be
not	RB	not
necessarily	RB	necessarily
associated	VBN	associate
with	IN	with
extroversion	NN	extroversion
.	SENT	.
So	RB	so
you	PP	you
can	MD	can
be	VB	be
an	DT	an
introvert	NN	introvert
and	CC	and
make	VB	make
someone	NN	someone
feel	VBP	feel
comfortable	JJ	comfortable
.	SENT	.
I	PP	I
think	VBP	think
in	IN	in
some	DT	some
cases	NNS	case
introverts	NNS	introvert
are	VBP	be
better	RBR	well
at	IN	at
tuning	VBG	tune
into	IN	into
that	DT	that
.	SENT	.
And	CC	and
also	RB	also
a	DT	a
lot	NN	lot
of	IN	of
them	PP	them
were	VBD	be
trainable	JJ	trainable
.	SENT	.
You	PP	you
can	MD	can
get	VB	get
better	JJR	good
at	IN	at
those	DT	those
skills	NNS	skill
.	SENT	.
So	RB	so
I	PP	I
got	VBD	get
really	RB	really
interested	JJ	interested
in	IN	in
the	DT	the
idea	NN	idea
of	IN	of
how	WRB	how
do	VBP	do
we	PP	we
become	VB	become
people	NNS	people
who	WP	who
attract	VBP	attract
more	JJR	more
fun	NN	fun
,	,	,
and	CC	and
I	PP	I
think	VBP	think
what	WP	what
I	PP	I
just	RB	just
described	VBN	describe
are	VBP	be
three	CD	three
ways	NNS	way
to	TO	to
do	VB	do
so	RB	so
.	SENT	.
Another	DT	another
is	VBZ	be
to	TO	to
switch	VB	switch
yourself	PP	yourself
into	IN	into
what	WP	what
I	PP	I
think	VBP	think
of	IN	of
as	IN	as
a	DT	a
fun	NN	fun
mindset	NN	mindset
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
fun-oriented	JJ	fun-oriented
twist	NN	twist
on	IN	on
Carol	NP	Carol
Dweck	NP	Dweck
'	POS	'
s	JJ	<unknown>
growth	NN	growth
mindset	NN	mindset
.	SENT	.
And	CC	and
the	DT	the
idea	NN	idea
there	RB	there
is	VBZ	be
that	IN	that
our	PP$	our
default	NN	default
mode	NN	mode
,	,	,
our	PP$	our
brain	NN	brain
'	POS	'
s	JJ	<unknown>
default	NN	default
mode	NN	mode
,	,	,
is	VBZ	be
naturally	RB	naturally
going	VBG	go
to	TO	to
be	VB	be
to	TO	to
focus	VB	focus
on	IN	on
things	NNS	thing
that	WDT	that
cause	VBP	cause
us	PP	us
anxiety	NN	anxiety
and	CC	and
fear	NN	fear
for	IN	for
the	DT	the
simple	JJ	simple
reason	NN	reason
that	IN	that
that	DT	that
'	''	'
s	NNS	<unknown>
evolutionarily	RB	<unknown>
how	WRB	how
we	PP	we
avoid	VBP	avoid
threats	NNS	threat
.	SENT	.
You	PP	you
want	VBP	want
to	TO	to
be	VB	be
scanning	VBG	scan
the	DT	the
horizon	NN	horizon
for	IN	for
threats	NNS	threat
,	,	,
otherwise	RB	otherwise
you	PP	you
could	MD	could
get	VB	get
killed	VBN	kill
or	CC	or
eaten	VBN	eat
or	CC	or
something	NN	something
.	SENT	.
So	RB	so
it	PP	it
actually	RB	actually
takes	VBZ	take
work	NN	work
to	TO	to
switch	VB	switch
yourself	PP	yourself
to	TO	to
focus	VB	focus
on	IN	on
the	DT	the
positive	JJ	positive
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
the	DT	the
more	RBR	more
you	PP	you
do	VBP	do
so	RB	so
,	,	,
the	DT	the
more	RBR	more
likely	JJ	likely
you	PP	you
are	VBP	be
to	TO	to
notice	VB	notice
the	DT	the
moments	NNS	moment
of	IN	of
playful	JJ	playful
connected	JJ	connected
flow	NN	flow
and	CC	and
to	TO	to
create	VB	create
more	JJR	more
opportunities	NNS	opportunity
for	IN	for
it	PP	it
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
can	MD	can
start	VB	start
to	TO	to
begin	VB	begin
to	TO	to
deliberately	RB	deliberately
pay	VB	pay
more	JJR	more
attention	NN	attention
to	TO	to
the	DT	the
delight	NN	delight
in	IN	in
the	DT	the
world	NN	world
,	,	,
instead	RB	instead
of	IN	of
going	VBG	go
with	IN	with
the	DT	the
natural	JJ	natural
tendency	NN	tendency
to	TO	to
focus	VB	focus
on	IN	on
sources	NNS	source
of	IN	of
anxiety	NN	anxiety
and	CC	and
fear	NN	fear
,	,	,
it	PP	it
really	RB	really
will	MD	will
get	VB	get
you	PP	you
into	IN	into
a	DT	a
mindset	NN	mindset
that	RB	that
'	POS	'
s	NN	S
