Who	WP	who
the	DT	the
bones	NNS	bone
of	IN	of
the	DT	the
pelvis	NN	pelvis
,	,	,
vertebrae	NNS	vertebra
,	,	,
ribs	NNS	rib
,	,	,
the	DT	the
collar	NN	collar
bones	NNS	bone
,	,	,
things	NNS	thing
that	WDT	that
had	VBD	have
never	RB	never
,	,	,
ever	RB	ever
been	VBN	be
seen	VBN	see
before	IN	before
in	IN	in
Homo	NN	homo
erectus	NN	erectus
.	SENT	.
It	PP	it
was	VBD	be
truly	RB	truly
exciting	JJ	exciting
.	SENT	.
He	PP	he
had	VBD	have
a	DT	a
body	NN	body
very	RB	very
similar	JJ	similar
to	TO	to
our	PP$	our
own	JJ	own
,	,	,
and	CC	and
he	PP	he
was	VBD	be
on	IN	on
the	DT	the
threshold	NN	threshold
of	IN	of
becoming	VBG	become
human	JJ	human
.	SENT	.
Well	RB	well
,	,	,
shortly	RB	shortly
afterwards	RB	afterwards
,	,	,
members	NNS	member
of	IN	of
his	PP$	his
species	NNS	specie
started	VBD	start
to	TO	to
move	VB	move
northwards	NNS	northward
out	RP	out
of	IN	of
Africa	NP	Africa
,	,	,
and	CC	and
you	PP	you
start	VBP	start
to	TO	to
see	VB	see
fossils	NNS	fossil
of	IN	of
Homo	NN	homo
erectus	NN	erectus
in	IN	in
Georgia	NP	Georgia
,	,	,
China	NP	China
and	CC	and
also	RB	also
in	IN	in
parts	NNS	part
of	IN	of
Indonesia	NP	Indonesia
.	SENT	.
So	RB	so
,	,	,
Homo	NN	homo
erectus	NN	erectus
was	VBD	be
the	DT	the
first	JJ	first
human	JJ	human
ancestor	NN	ancestor
to	TO	to
leave	VB	leave
Africa	NP	Africa
and	CC	and
begin	VB	begin
its	PP$	its
spread	NN	spread
across	IN	across
the	DT	the
globe	NN	globe
.	SENT	.
Some	DT	some
exciting	JJ	exciting
finds	NNS	find
,	,	,
again	RB	again
,	,	,
as	IN	as
I	PP	I
mentioned	VBD	mention
,	,	,
from	IN	from
Dmanisi	NP	<unknown>
,	,	,
in	IN	in
the	DT	the
Republic	NP	Republic
of	IN	of
Georgia	NP	Georgia
.	SENT	.
But	CC	but
also	RB	also
,	,	,
surprising	JJ	surprising
finds	NNS	find
recently	RB	recently
announced	VBD	announce
from	IN	from
the	DT	the
Island	NP	Island
of	IN	of
Flores	NP	Flores
in	IN	in
Indonesia	NP	Indonesia
,	,	,
where	WRB	where
a	DT	a
group	NN	group
of	IN	of
these	DT	these
human	JJ	human
ancestors	NNS	ancestor
have	VBP	have
been	VBN	be
isolated	VBN	isolate
,	,	,
and	CC	and
have	VBP	have
become	VBN	become
dwarfed	VBN	dwarf
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
only	RB	only
about	IN	about
a	DT	a
meter	NN	meter
in	IN	in
height	NN	height
.	SENT	.
But	CC	but
they	PP	they
lived	VBD	live
only	RB	only
18	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
and	CC	and
that	DT	that
is	VBZ	be
truly	RB	truly
extraordinary	JJ	extraordinary
to	TO	to
think	VB	think
about	RB	about
.	SENT	.
Just	RB	just
to	TO	to
put	VB	put
this	DT	this
in	IN	in
terms	NNS	term
of	IN	of
generations	NNS	generation
,	,	,
because	IN	because
people	NNS	people
do	VBP	do
find	VB	find
it	PP	it
hard	JJ	hard
to	TO	to
think	VB	think
of	IN	of
time	NN	time
,	,	,
Homo	NN	homo
erectus	NN	erectus
left	VBN	leave
Africa	NP	Africa
90	CD	@card@
,	,	,
000	CD	@card@
generations	NNS	generation
ago	RB	ago
.	SENT	.
We	PP	we
evolved	VBD	evolve
essentially	RB	essentially
from	IN	from
an	DT	an
African	JJ	African
stock	NN	stock
.	SENT	.
Again	RB	again
,	,	,
at	IN	at
about	RB	about
200	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
as	IN	as
a	DT	a
fully-	NN	<unknown>
fledged	VBD	fledge
us	PP	us
.	SENT	.
And	CC	and
we	PP	we
only	RB	only
left	VBD	leave
Africa	NP	Africa
about	IN	about
70	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
ago	RB	ago
.	SENT	.
And	CC	and
until	IN	until
30	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
at	IN	at
least	JJS	least
three	CD	three
upright-walking	JJ	upright-walking
apes	NNS	ape
shared	VBD	share
the	DT	the
planet	NN	planet
Earth	NN	earth
.	SENT	.
The	DT	the
question	NN	question
now	RB	now
is	VBZ	be
,	,	,
well	UH	well
,	,	,
who	WP	who
are	VBP	be
we	PP	we
?	SENT	?
We	PP	we
'	''	'
re	IN	re
certainly	RB	certainly
a	DT	a
polluting	VBG	pollute
,	,	,
wasteful	JJ	wasteful
,	,	,
aggressive	JJ	aggressive
species	NNS	specie
,	,	,
with	IN	with
a	DT	a
few	JJ	few
nice	JJ	nice
things	NNS	thing
thrown	VBN	throw
in	IN	in
,	,	,
perhaps	RB	perhaps
.	SENT	.
For	IN	for
the	DT	the
most	JJS	most
part	NN	part
,	,	,
we	PP	we
'	POS	'
re	NN	re
not	RB	not
particularly	RB	particularly
pleasant	JJ	pleasant
at	IN	at
all	DT	all
.	SENT	.
We	PP	we
have	VBP	have
a	DT	a
much	RB	much
larger	JJR	large
brain	NN	brain
than	IN	than
our	PP$	our
ape	NN	ape
ancestors	NNS	ancestor
.	SENT	.
Is	VBZ	be
this	DT	this
a	DT	a
good	JJ	good
evolutionary	JJ	evolutionary
adaptation	NN	adaptation
,	,	,
or	CC	or
is	VBZ	be
it	PP	it
going	VBG	go
to	TO	to
lead	VB	lead
us	PP	us
to	TO	to
being	VBG	be
the	DT	the
shortest-lived	JJ	<unknown>
hominid	JJ	hominid
species	NNS	specie
on	IN	on
planet	NN	planet
Earth	NN	earth
?	SENT	?
And	CC	and
what	WP	what
is	VBZ	be
it	PP	it
that	IN	that
really	RB	really
makes	VBZ	make
us	PP	us
us	PP	us
?	SENT	?
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	VBG	<unknown>
our	PP$	our
collective	JJ	collective
intelligence	NN	intelligence
.	SENT	.
It	PP	it
'	''	'
s	VBG	<unknown>
our	PP$	our
ability	NN	ability
to	TO	to
write	VB	write
things	NNS	thing
down	RB	down
,	,	,
our	PP$	our
language	NN	language
and	CC	and
our	PP$	our
consciousness	NN	consciousness
.	SENT	.
From	IN	from
very	RB	very
primitive	JJ	primitive
beginnings	NNS	beginning
,	,	,
with	IN	with
a	DT	a
very	RB	very
crude	JJ	crude
tool	NN	tool
kit	NN	kit
of	IN	of
stones	NNS	stone
,	,	,
we	PP	we
now	RB	now
have	VBP	have
a	DT	a
very	RB	very
advanced	JJ	advanced
tool	NN	tool
kit	NN	kit
,	,	,
and	CC	and
our	PP$	our
tool	NN	tool
use	NN	use
has	VBZ	have
really	RB	really
reached	VBN	reach
unprecedented	JJ	unprecedented
levels	NNS	level
:	:	:
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
buggies	NNS	buggy
to	TO	to
Mars	NP	Mars
;	:	;
we	PP	we
'	POS	'
ve	NN	ve
mapped	VBD	map
the	DT	the
human	JJ	human
genome	NN	genome
;	:	;
and	CC	and
recently	RB	recently
even	RB	even
created	VBN	create
synthetic	JJ	synthetic
life	NN	life
,	,	,
thanks	NNS	thanks
to	TO	to
Craig	NP	Craig
Venter	NP	Venter
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
ve	NN	ve
also	RB	also
managed	VBD	manage
to	TO	to
communicate	VB	communicate
with	IN	with
people	NNS	people
all	RB	all
over	IN	over
the	DT	the
world	NN	world
,	,	,
from	IN	from
extraordinary	JJ	extraordinary
places	NNS	place
.	SENT	.
Even	RB	even
from	IN	from
within	IN	within
an	DT	an
excavation	NN	excavation
in	IN	in
northern	JJ	northern
Kenya	NP	Kenya
,	,	,
we	PP	we
can	MD	can
talk	VB	talk
to	TO	to
people	NNS	people
about	IN	about
what	WP	what
we	PP	we
'	''	'
re	IN	re
doing	VBG	do
.	SENT	.
As	IN	as
Al	NP	Al
Gore	NP	Gore
so	RB	so
clearly	RB	clearly
has	VBZ	have
reminded	VBN	remind
us	PP	us
,	,	,
we	PP	we
have	VBP	have
reached	VBN	reach
extraordinary	JJ	extraordinary
numbers	NNS	number
of	IN	of
people	NNS	people
on	IN	on
this	DT	this
planet	NN	planet
.	SENT	.
Human	JJ	human
ancestors	NNS	ancestor
really	RB	really
only	RB	only
survive	VB	survive
on	IN	on
planet	NN	planet
Earth	NN	earth
,	,	,
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
fossil	JJ	fossil
record	NN	record
,	,	,
for	IN	for
about	RB	about
,	,	,
on	IN	on
average	NN	average
,	,	,
a	DT	a
million	CD	million
years	NNS	year
at	IN	at
a	DT	a
time	NN	time
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
only	RB	only
been	VBN	be
around	RB	around
for	IN	for
the	DT	the
past	JJ	past
200	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
as	IN	as
a	DT	a
species	NN	species
,	,	,
yet	CC	yet
we	PP	we
'	POS	'
ve	NN	ve
reached	VBD	reach
a	DT	a
population	NN	population
of	IN	of
more	JJR	more
than	IN	than
six	CD	six
and	CC	and
a	DT	a
half	JJ	half
billion	NN	billion
people	NNS	people
.	SENT	.
And	CC	and
last	JJ	last
year	NN	year
,	,	,
our	PP$	our
population	NN	population
grew	VBD	grow
by	IN	by
80	CD	@card@
million	CD	million
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
these	DT	these
are	VBP	be
extraordinary	JJ	extraordinary
numbers	NNS	number
.	SENT	.
You	PP	you
can	MD	can
see	VB	see
here	RB	here
,	,	,
again	RB	again
,	,	,
taken	VBN	take
from	IN	from
Al	NP	Al
Gore	NP	Gore
'	POS	'
s	NN	S
book	NN	book
.	SENT	.
But	CC	but
what	WP	what
'	POS	'
s	NN	S
happened	VBD	happen
is	VBZ	be
our	PP$	our
technology	NN	technology
has	VBZ	have
removed	VBN	remove
the	DT	the
checks	NNS	check
and	CC	and
balances	NNS	balance
on	IN	on
our	PP$	our
population	NN	population
growth	NN	growth
.	SENT	.
We	PP	we
have	VBP	have
to	TO	to
control	VB	control
our	PP$	our
numbers	NNS	number
,	,	,
and	CC	and
I	PP	I
think	VBP	think
this	DT	this
is	VBZ	be
as	RB	as
important	JJ	important
as	IN	as
anything	NN	anything
else	RB	else
that	IN	that
'	POS	'
s	NNS	<unknown>
being	VBG	be
done	VBN	do
in	IN	in
the	DT	the
world	NN	world
today	NN	today
.	SENT	.
But	CC	but
we	PP	we
have	VBP	have
to	TO	to
control	VB	control
our	PP$	our
numbers	NNS	number
,	,	,
because	IN	because
we	PP	we
can	MD	can
'	''	'
t	NN	t
really	RB	really
hold	VB	hold
it	PP	it
together	RB	together
as	IN	as
a	DT	a
species	NN	species
.	SENT	.
My	PP$	my
father	NN	father
so	RB	so
appropriately	RB	appropriately
put	VB	put
it	PP	it
,	,	,
that	IN	that
"	``	"
We	PP	we
are	VBP	be
certainly	RB	certainly
the	DT	the
only	JJ	only
animal	NN	animal
that	WDT	that
makes	VBZ	make
conscious	JJ	conscious
choices	NNS	choice
that	WDT	that
are	VBP	be
bad	JJ	bad
for	IN	for
our	PP$	our
survival	NN	survival
as	IN	as
a	DT	a
species	NN	species
.	SENT	.
"	''	"
Can	MD	can
we	PP	we
hold	VB	hold
it	PP	it
together	RB	together
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
important	JJ	important
to	TO	to
remember	VB	remember
that	IN	that
we	PP	we
all	RB	all
evolved	VBD	evolve
in	IN	in
Africa	NP	Africa
.	SENT	.
We	PP	we
all	RB	all
have	VBP	have
an	DT	an
African	JJ	African
origin	NN	origin
.	SENT	.
We	PP	we
have	VBP	have
a	DT	a
common	JJ	common
past	NN	past
and	CC	and
we	PP	we
share	VBP	share
a	DT	a
common	JJ	common
future	NN	future
.	SENT	.
Evolutionarily	RB	<unknown>
speaking	VBG	speak
,	,	,
we	PP	we
'	POS	'
re	NN	re
just	RB	just
a	DT	a
blip	NN	blip
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
sitting	VBG	sit
on	IN	on
the	DT	the
edge	NN	edge
of	IN	of
a	DT	a
precipice	NN	precipice
,	,	,
and	CC	and
we	PP	we
have	VBP	have
the	DT	the
tools	NNS	tool
and	CC	and
the	DT	the
technology	NN	technology
at	IN	at
our	PP$	our
hands	NNS	hand
to	TO	to
communicate	VB	communicate
what	WP	what
needs	VBZ	need
to	TO	to
be	VB	be
done	VBN	do
to	TO	to
hold	VB	hold
it	PP	it
together	RB	together
today	NN	today
.	SENT	.
We	PP	we
could	MD	could
tell	VB	tell
every	DT	every
single	JJ	single
human	JJ	human
being	VBG	be
out	RB	out
there	RB	there
,	,	,
if	IN	if
we	PP	we
really	RB	really
wanted	VBD	want
to	TO	to
.	SENT	.
But	CC	but
will	MD	will
we	PP	we
do	VB	do
that	IN	that
,	,	,
or	CC	or
will	MD	will
we	PP	we
just	RB	just
let	VBD	let
nature	NN	nature
take	VB	take
its	PP$	its
course	NN	course
?	SENT	?
Well	RB	well
,	,	,
to	TO	to
end	VB	end
on	IN	on
a	DT	a
very	RB	very
positive	JJ	positive
note	NN	note
,	,	,
I	PP	I
think	VBP	think
evolutionarily	RB	<unknown>
speaking	VBG	speak
,	,	,
this	DT	this
is	VBZ	be
probably	RB	probably
a	DT	a
fairly	RB	fairly
good	JJ	good
thing	NN	thing
,	,	,
in	IN	in
the	DT	the
end	NN	end
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
leave	VBP	leave
it	PP	it
at	IN	at
that	DT	that
,	,	,
thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
