Cultural	JJ	cultural
and	CC	and
it	PP	it
'	POS	'
s	NN	S
all	RB	all
lovely	JJ	lovely
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
,	,	,
actually	RB	actually
,	,	,
all	RB	all
it	PP	it
tells	VBZ	tell
you	PP	you
is	VBZ	be
that	IN	that
another	DT	another
person	NN	person
has	VBZ	have
potentially	RB	potentially
spread	VBN	spread
germs	NNS	germ
from	IN	from
place	NN	place
to	TO	to
place	VB	place
.	SENT	.
So	RB	so
,	,	,
think	VBP	think
of	IN	of
it	PP	it
this	DT	this
way	NN	way
.	SENT	.
Imagine	VB	imagine
a	DT	a
world	NN	world
full	JJ	full
of	IN	of
brains	NNS	brain
and	CC	and
far	RB	far
more	RBR	more
memes	VBZ	<unknown>
than	IN	than
can	MD	can
possibly	RB	possibly
find	VB	find
homes	NNS	home
.	SENT	.
The	DT	the
memes	NNS	<unknown>
are	VBP	be
all	RB	all
trying	VBG	try
to	TO	to
get	VB	get
copied	VBN	copy
—	:	-
trying	VBG	try
,	,	,
in	IN	in
inverted	JJ	inverted
commas	NNS	comma
—	:	-
i	FW	i
.	SENT	.
e	LS	e
.	SENT	.
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
shorthand	NN	shorthand
for	IN	for
,	,	,
if	IN	if
they	PP	they
can	MD	can
get	VB	get
copied	VBN	copy
,	,	,
they	PP	they
will	MD	will
.	SENT	.
They	PP	they
'	''	'
re	IN	re
using	VBG	use
you	PP	you
and	CC	and
me	PP	me
as	IN	as
their	PP$	their
propagating	VBG	propagate
,	,	,
copying	VBG	copy
machinery	NN	machinery
,	,	,
and	CC	and
we	PP	we
are	VBP	be
the	DT	the
meme	NN	<unknown>
machines	NNS	machine
.	SENT	.
Now	RB	now
,	,	,
why	WRB	why
is	VBZ	be
this	DT	this
important	JJ	important
?	SENT	?
Why	WRB	why
is	VBZ	be
this	DT	this
useful	JJ	useful
,	,	,
or	CC	or
what	WP	what
does	VBZ	do
it	PP	it
tell	VB	tell
us	PP	us
?	SENT	?
It	PP	it
gives	VBZ	give
us	PP	us
a	DT	a
completely	RB	completely
new	JJ	new
view	NN	view
of	IN	of
human	JJ	human
origins	NNS	origin
and	CC	and
what	WP	what
it	PP	it
means	VBZ	mean
to	TO	to
be	VB	be
human	JJ	human
,	,	,
all	DT	all
conventional	JJ	conventional
theories	NNS	theory
of	IN	of
cultural	JJ	cultural
evolution	NN	evolution
,	,	,
of	IN	of
the	DT	the
origin	NN	origin
of	IN	of
humans	NNS	human
,	,	,
and	CC	and
what	WP	what
makes	VBZ	make
us	PP	us
so	RB	so
different	JJ	different
from	IN	from
other	JJ	other
species	NNS	specie
.	SENT	.
All	DT	all
other	JJ	other
theories	NNS	theory
explaining	VBG	explain
the	DT	the
big	JJ	big
brain	NN	brain
,	,	,
and	CC	and
language	NN	language
,	,	,
and	CC	and
tool	NN	tool
use	NN	use
and	CC	and
all	PDT	all
these	DT	these
things	NNS	thing
that	WDT	that
make	VBP	make
us	PP	us
unique	JJ	unique
,	,	,
are	VBP	be
based	VBN	base
upon	IN	upon
genes	NNS	gene
.	SENT	.
Language	NN	language
must	MD	must
have	VB	have
been	VBN	be
useful	JJ	useful
for	IN	for
the	DT	the
genes	NNS	gene
.	SENT	.
Tool	NN	tool
use	NN	use
must	MD	must
have	VB	have
enhanced	VBN	enhance
our	PP$	our
survival	NN	survival
,	,	,
mating	NN	mating
and	CC	and
so	RB	so
on	IN	on
.	SENT	.
It	PP	it
always	RB	always
comes	VBZ	come
back	RB	back
,	,	,
as	IN	as
Richard	NP	Richard
Dawkins	NP	Dawkins
complained	VBD	complain
all	PDT	all
that	DT	that
long	JJ	long
time	NN	time
ago	RB	ago
,	,	,
it	PP	it
always	RB	always
comes	VBZ	come
back	RB	back
to	TO	to
genes	NNS	gene
.	SENT	.
The	DT	the
point	NN	point
of	IN	of
memetics	NNS	memetic
is	VBZ	be
to	TO	to
say	VB	say
,	,	,
"	``	"
Oh	UH	oh
no	UH	no
,	,	,
it	PP	it
doesn	NNS	<unknown>
'	POS	'
t	NN	t
.	SENT	.
"	``	"
There	EX	there
are	VBP	be
two	CD	two
replicators	NNS	<unknown>
now	RB	now
on	IN	on
this	DT	this
planet	NN	planet
.	SENT	.
From	IN	from
the	DT	the
moment	NN	moment
that	IN	that
our	PP$	our
ancestors	NNS	ancestor
,	,	,
perhaps	RB	perhaps
two	CD	two
and	CC	and
a	DT	a
half	JJ	half
million	CD	million
years	NNS	year
ago	RB	ago
or	CC	or
so	RB	so
,	,	,
began	VBD	begin
imitating	VBG	imitate
,	,	,
there	EX	there
was	VBD	be
a	DT	a
new	JJ	new
copying	NN	copying
process	NN	process
.	SENT	.
Copying	VBG	copy
with	IN	with
variation	NN	variation
and	CC	and
selection	NN	selection
.	SENT	.
A	DT	a
new	JJ	new
replicator	NN	<unknown>
was	VBD	be
let	VBN	let
loose	RB	loose
,	,	,
and	CC	and
it	PP	it
could	MD	could
never	RB	never
be	VB	be
—	:	-
right	RB	right
from	IN	from
the	DT	the
start	NN	start
—	:	-
it	PP	it
could	MD	could
never	RB	never
be	VB	be
that	IN	that
human	JJ	human
beings	NNS	being
who	WP	who
let	VBP	let
loose	RB	loose
this	DT	this
new	JJ	new
creature	NN	creature
,	,	,
could	MD	could
just	RB	just
copy	VB	copy
the	DT	the
useful	JJ	useful
,	,	,
beautiful	JJ	beautiful
,	,	,
true	JJ	true
things	NNS	thing
,	,	,
and	CC	and
not	RB	not
copy	VB	copy
the	DT	the
other	JJ	other
things	NNS	thing
.	SENT	.
While	IN	while
their	PP$	their
brains	NNS	brain
were	VBD	be
having	VBG	have
an	DT	an
advantage	NN	advantage
from	IN	from
being	VBG	be
able	JJ	able
to	TO	to
copy	VB	copy
—	:	-
lighting	VBG	light
fires	NNS	fire
,	,	,
keeping	VBG	keep
fires	NNS	fire
going	VBG	go
,	,	,
new	JJ	new
techniques	NNS	technique
of	IN	of
hunting	NN	hunting
,	,	,
these	DT	these
kinds	NNS	kind
of	IN	of
things	NNS	thing
—	:	-
inevitably	RB	inevitably
they	PP	they
were	VBD	be
also	RB	also
copying	VBG	copy
putting	VBG	put
feathers	NNS	feather
in	IN	in
their	PP$	their
hair	NN	hair
,	,	,
or	CC	or
wearing	VBG	wear
strange	JJ	strange
clothes	NNS	clothes
,	,	,
or	CC	or
painting	VBG	paint
their	PP$	their
faces	NNS	face
,	,	,
or	CC	or
whatever	JJ	whatever
.	SENT	.
So	RB	so
,	,	,
you	PP	you
get	VBP	get
an	DT	an
arms	NNS	arm
race	NN	race
between	IN	between
the	DT	the
genes	NNS	gene
which	WDT	which
are	VBP	be
trying	VBG	try
to	TO	to
get	VB	get
the	DT	the
humans	NNS	human
to	TO	to
have	VB	have
small	JJ	small
economical	JJ	economical
brains	NNS	brain
and	CC	and
not	RB	not
waste	VB	waste
their	PP$	their
time	NN	time
copying	VBG	copy
all	PDT	all
this	DT	this
stuff	NN	stuff
,	,	,
and	CC	and
the	DT	the
memes	NNS	<unknown>
themselves	PP	themselves
,	,	,
like	IN	like
the	DT	the
sounds	VBZ	sound
that	IN	that
people	NNS	people
made	VBN	make
and	CC	and
copied	VBN	copy
—	:	-
in	IN	in
other	JJ	other
words	NNS	word
,	,	,
what	WP	what
turned	VBD	turn
out	RP	out
to	TO	to
be	VB	be
language	NN	language
—	:	-
competing	VBG	compete
to	TO	to
get	VB	get
the	DT	the
brains	NNS	brain
to	TO	to
get	VB	get
bigger	JJR	big
and	CC	and
bigger	JJR	big
.	SENT	.
So	RB	so
,	,	,
the	DT	the
big	JJ	big
brain	NN	brain
,	,	,
on	IN	on
this	DT	this
theory	NN	theory
,	,	,
is	VBZ	be
driven	VBN	drive
by	IN	by
the	DT	the
memes	NNS	<unknown>
.	SENT	.
This	DT	this
is	VBZ	be
why	WRB	why
,	,	,
in	IN	in
"	``	"
The	DT	the
Meme	NP	<unknown>
Machine	NN	machine
,	,	,
"	''	"
I	PP	I
called	VBD	call
it	PP	it
memetic	JJ	memetic
drive	NN	drive
.	SENT	.
As	IN	as
the	DT	the
memes	NNS	<unknown>
evolve	VBP	evolve
,	,	,
as	IN	as
they	PP	they
inevitably	RB	inevitably
must	MD	must
,	,	,
they	PP	they
drive	VBP	drive
a	DT	a
bigger	JJR	big
brain	NN	brain
that	WDT	that
is	VBZ	be
better	JJR	good
at	IN	at
copying	VBG	copy
the	DT	the
memes	NNS	<unknown>
that	WDT	that
are	VBP	be
doing	VBG	do
the	DT	the
driving	NN	driving
.	SENT	.
This	DT	this
is	VBZ	be
why	WRB	why
we	PP	we
'	POS	'
ve	NN	ve
ended	VBD	end
up	RP	up
with	IN	with
such	JJ	such
peculiar	JJ	peculiar
brains	NNS	brain
,	,	,
that	WDT	that
we	PP	we
like	VBP	like
religion	NN	religion
,	,	,
and	CC	and
music	NN	music
,	,	,
and	CC	and
art	NN	art
.	SENT	.
Language	NN	language
is	VBZ	be
a	DT	a
parasite	NN	parasite
that	IN	that
we	PP	we
'	POS	'
ve	NNS	<unknown>
adapted	VBN	adapt
to	TO	to
,	,	,
not	RB	not
something	NN	something
that	WDT	that
was	VBD	be
there	RB	there
originally	RB	originally
for	IN	for
our	PP$	our
genes	NNS	gene
,	,	,
on	IN	on
this	DT	this
view	NN	view
.	SENT	.
And	CC	and
like	IN	like
most	JJS	most
parasites	NNS	parasite
,	,	,
it	PP	it
can	MD	can
begin	VB	begin
dangerous	JJ	dangerous
,	,	,
but	CC	but
then	RB	then
it	PP	it
coevolves	VBZ	coevolve
and	CC	and
adapts	VBZ	adapt
,	,	,
and	CC	and
we	PP	we
end	VBP	end
up	RP	up
with	IN	with
a	DT	a
symbiotic	JJ	symbiotic
relationship	NN	relationship
with	IN	with
this	DT	this
new	JJ	new
parasite	NN	parasite
.	SENT	.
And	CC	and
so	RB	so
,	,	,
from	IN	from
our	PP$	our
perspective	NN	perspective
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
realize	VBP	realize
that	IN	that
that	DT	that
'	''	'
s	NN	S
how	WRB	how
it	PP	it
began	VBD	begin
.	SENT	.
So	RB	so
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
view	NN	view
of	IN	of
what	WP	what
humans	NNS	human
are	VBP	be
.	SENT	.
All	DT	all
other	JJ	other
species	NN	species
on	IN	on
this	DT	this
planet	NN	planet
are	VBP	be
gene	NN	gene
machines	NNS	machine
only	RB	only
,	,	,
they	PP	they
don	VBP	don
'	''	'
t	NN	t
imitate	VBP	imitate
at	IN	at
all	DT	all
well	NN	well
,	,	,
hardly	RB	hardly
at	IN	at
all	DT	all
.	SENT	.
We	PP	we
alone	RB	alone
are	VBP	be
gene	NN	gene
machines	NNS	machine
and	CC	and
meme	NN	<unknown>
machines	NNS	machine
as	RB	as
well	RB	well
.	SENT	.
The	DT	the
memes	NNS	<unknown>
took	VBD	take
a	DT	a
gene	NN	gene
machine	NN	machine
and	CC	and
turned	VBD	turn
it	PP	it
into	IN	into
a	DT	a
meme	NN	<unknown>
machine	NN	machine
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NN	S
not	RB	not
all	RB	all
.	SENT	.
We	PP	we
have	VBP	have
a	DT	a
new	JJ	new
kind	NN	kind
of	IN	of
memes	NNS	<unknown>
now	RB	now
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
wondering	VBG	wonder
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
,	,	,
since	IN	since
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
thinking	VBG	think
about	IN	about
memes	NNS	<unknown>
a	DT	a
lot	NN	lot
,	,	,
is	VBZ	be
there	RB	there
a	DT	a
difference	NN	difference
between	IN	between
the	DT	the
memes	NNS	<unknown>
that	WDT	that
we	PP	we
copy	VBP	copy
—	:	-
the	DT	the
words	NNS	word
we	PP	we
speak	VBP	speak
to	TO	to
each	DT	each
other	JJ	other
,	,	,
the	DT	the
gestures	NNS	gesture
we	PP	we
copy	VBP	copy
,	,	,
the	DT	the
human	JJ	human
things	NNS	thing
—	:	-
and	CC	and
all	PDT	all
these	DT	these
technological	JJ	technological
things	NNS	thing
around	IN	around
us	PP	us
?	SENT	?
I	PP	I
have	VBP	have
always	RB	always
,	,	,
until	IN	until
now	RB	now
,	,	,
called	VBD	call
them	PP	them
all	DT	all
memes	NNS	<unknown>
,	,	,
but	CC	but
I	PP	I
do	VBP	do
honestly	RB	honestly
think	VB	think
now	RB	now
we	PP	we
need	VBP	need
a	DT	a
new	JJ	new
word	NN	word
for	IN	for
technological	JJ	technological
memes	NNS	<unknown>
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
call	VBP	call
them	PP	them
techno-memes	NNS	<unknown>
or	CC	or
temes	NNS	<unknown>
.	SENT	.
Because	IN	because
the	DT	the
processes	NNS	process
are	VBP	be
getting	VBG	get
different	JJ	different
.	SENT	.
We	PP	we
began	VBD	begin
,	,	,
perhaps	RB	perhaps
5	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
with	IN	with
writing	NN	writing
.	SENT	.
We	PP	we
put	VBD	put
the	DT	the
storage	NN	storage
of	IN	of
memes	NNS	<unknown>
out	RB	out
there	RB	there
on	IN	on
a	DT	a
clay	NN	clay
tablet	NN	tablet
,	,	,
but	CC	but
in	IN	in
order	NN	order
to	TO	to
get	VB	get
true	JJ	true
temes	NNS	<unknown>
and	CC	and
true	JJ	true
teme	NN	<unknown>
machines	NNS	machine
,	,	,
you	PP	you
need	VBP	need
to	TO	to
get	VB	get
the	DT	the
variation	NN	variation
,	,	,
the	DT	the
selection	NN	selection
and	CC	and
the	DT	the
copying	NN	copying
,	,	,
all	DT	all
done	VBN	do
outside	NN	outside
of	IN	of
humans	NNS	human
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
getting	VBG	get
there	RB	there
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
at	IN	at
this	DT	this
extraordinary	JJ	extraordinary
point	NN	point
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
nearly	RB	nearly
there	RB	there
,	,	,
that	IN	that
there	EX	there
are	VBP	be
machines	NNS	machine
like	IN	like
that	DT	that
.	SENT	.
And	CC	and
indeed	RB	indeed
,	,	,
in	IN	in
the	DT	the
short	JJ	short
time	NN	time
I	NP	I
'	POS	'
ve	NN	ve
already	RB	already
been	VBN	be
at	IN	at
TED	VB	ted
,	,	,
I	PP	I
see	VBP	see
we	PP	we
'	''	'
re	IN	re
even	RB	even
closer	JJR	close
than	IN	than
I	PP	I
thought	VBD	think
we	PP	we
were	VBD	be
before	RB	before
.	SENT	.
So	RB	so
actually	RB	actually
,	,	,
now	RB	now
the	DT	the
temes	NNS	<unknown>
are	VBP	be
forcing	VBG	force
our	PP$	our
brains	NNS	brain
to	TO	to
become	VB	become
more	JJR	more
like	IN	like
teme	NN	<unknown>
machines	NNS	machine
.	SENT	.
Our	PP$	our
children	NNS	child
are	VBP	be
growing	VBG	grow
up	RP	up
very	RB	very
quickly	RB	quickly
learning	VBG	learn
to	TO	to
read	VB	read
,	,	,
learning	VBG	learn
to	TO	to
use	VB	use
machinery	NN	machinery
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
have	VB	have
all	DT	all
kinds	NNS	kind
of	IN	of
implants	NNS	implant
,	,	,
drugs	NNS	drug
that	WDT	that
force	VBP	force
us	PP	us
to	TO	to
stay	VB	stay
awake	RB	awake
all	PDT	all
the	DT	the
time	NN	time
.	SENT	.
We	PP	we
'	POS	'
ll	NNS	<unknown>
think	VBP	think
we	PP	we
'	''	'
re	IN	re
choosing	VBG	choose
these	DT	these
things	NNS	thing
,	,	,
but	CC	but
the	DT	the
temes	NNS	<unknown>
are	VBP	be
making	VBG	make
us	PP	us
do	VBP	do
it	PP	it
.	SENT	.
So	RB	so
,	,	,
we	PP	we
'	POS	'
re	NN	re
at	IN	at
this	DT	this
cusp	NN	cusp
now	RB	now
of	IN	of
having	VBG	have
a	DT	a
third	JJ	third
replicator	NN	<unknown>
on	IN	on
our	PP$	our
planet	NN	planet
.	SENT	.
Now	RB	now
,	,	,
what	WP	what
about	IN	about
what	WP	what
else	RB	else
is	VBZ	be
going	VBG	go
on	IN	on
out	RB	out
there	RB	there
in	IN	in
the	DT	the
universe	NN	universe
?	SENT	?
Is	VBZ	be
there	RB	there
anyone	NN	anyone
else	RB	else
out	RB	out
there	RB	there
?	SENT	?
People	NNS	people
have	VBP	have
been	VBN	be
asking	VBG	ask
this	DT	this
question	NN	question
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
.	SENT	.
We	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
asking	VBG	ask
it	PP	it
here	RB	here
at	IN	at
TED	VB	ted
already	RB	already
.	SENT	.
In	IN	in
1961	CD	@card@
,	,	,
Frank	NP	Frank
Drake	NP	Drake
made	VBD	make
his	PP$	his
famous	JJ	famous
equation	NN	equation
,	,	,
but	CC	but
I	PP	I
think	VBP	think
he	PP	he
concentrated	VBN	concentrate
on	IN	on
the	DT	the
wrong	JJ	wrong
things	NNS	thing
.	SENT	.
It	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
very	RB	very
productive	JJ	productive
,	,	,
that	DT	that
equation	NN	equation
.	SENT	.
He	PP	he
wanted	VBD	want
to	TO	to
estimate	VB	estimate
N	NP	N
,	,	,
the	DT	the
number	NN	number
of	IN	of
communicative	JJ	communicative
civilizations	NNS	civilization
out	RB	out
there	RB	there
in	IN	in
our	PP$	our
galaxy	NN	galaxy
,	,	,
and	CC	and
he	PP	he
included	VBD	include
in	IN	in
there	RB	there
the	DT	the
rate	NN	rate
of	IN	of
star	NN	star
formation	NN	formation
,	,	,
the	DT	the
rate	NN	rate
of	IN	of
planets	NNS	planet
,	,	,
but	CC	but
crucially	RB	crucially
,	,	,
intelligence	NN	intelligence
.	SENT	.
I	PP	I
think	VBP	think
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
wrong	JJ	wrong
way	NN	way
to	TO	to
think	VB	think
about	IN	about
it	PP	it
.	SENT	.
Intelligence	NP	Intelligence
appears	VBZ	appear
all	DT	all
over	IN	over
the	DT	the
place	NN	place
,	,	,
in	IN	in
all	DT	all
kinds	NNS	kind
of	IN	of
guises	NNS	guise
.	SENT	.
Human	JJ	human
intelligence	NN	intelligence
is	VBZ	be
only	RB	only
one	CD	one
kind	NN	kind
of	IN	of
a	DT	a
thing	NN	thing
.	SENT	.
But	CC	but
what	WP	what
'	POS	'
s	NN	S
really	RB	really
important	JJ	important
is	VBZ	be
the	DT	the
replicators	NNS	<unknown>
you	PP	you
have	VBP	have
and	CC	and
the	DT	the
levels	NNS	level
of	IN	of
replicators	NNS	<unknown>
,	,	,
one	CD	one
feeding	NN	feeding
on	IN	on
the	DT	the
one	CD	one
before	RB	before
.	SENT	.
So	RB	so
,	,	,
I	PP	I
would	MD	would
suggest	VB	suggest
that	IN	that
we	PP	we
don	VB	don
'	''	'
t	NN	t
think	VBP	think
intelligence	NN	intelligence
,	,	,
we	PP	we
think	VBP	think
replicators	NNS	<unknown>
.	SENT	.
And	CC	and
on	IN	on
that	DT	that
basis	NN	basis
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
suggested	VBD	suggest
a	DT	a
different	JJ	different
kind	NN	kind
of	IN	of
equation	NN	equation
.	SENT	.
A	DT	a
very	RB	very
simple	JJ	simple
equation	NN	equation
.	SENT	.
N	NP	N
,	,	,
the	DT	the
same	JJ	same
thing	NN	thing
,	,	,
the	DT	the
number	NN	number
of	IN	of
communicative	JJ	communicative
civilizations	NNS	civilization
out	IN	out
there	RB	there
[	SYM	[
that	RB	that
]	SYM	]
we	PP	we
might	MD	might
expect	VB	expect
in	IN	in
our	PP$	our
galaxy	NN	galaxy
.	SENT	.
Just	RB	just
start	VB	start
with	IN	with
the	DT	the
number	NN	number
of	IN	of
planets	NNS	planet
there	EX	there
are	VBP	be
in	IN	in
our	PP$	our
galaxy	NN	galaxy
.	SENT	.
The	DT	the
fraction	NN	fraction
of	IN	of
those	DT	those
which	WDT	which
get	VBP	get
a	DT	a
first	JJ	first
replicator	NN	<unknown>
.	SENT	.
The	DT	the
fraction	NN	fraction
of	IN	of
those	DT	those
that	WDT	that
get	VBP	get
the	DT	the
second	JJ	second
replicator	NN	<unknown>
.	SENT	.
The	DT	the
fraction	NN	fraction
of	IN	of
those	DT	those
that	WDT	that
get	VBP	get
the	DT	the
third	JJ	third
replicator	NN	<unknown>
.	SENT	.
Because	IN	because
it	PP	it
'	POS	'
s	NN	S
only	RB	only
the	DT	the
third	JJ	third
replicator	NN	<unknown>
that	RB	that
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
reach	VB	reach
out	RP	out
—	:	-
sending	VBG	send
information	NN	information
,	,	,
sending	VBG	send
probes	NNS	probe
,	,	,
getting	VBG	get
out	RP	out
there	RB	there
,	,	,
and	CC	and
communicating	VBG	communicate
with	IN	with
anywhere	RB	anywhere
else	RB	else
.	SENT	.
OK	UH	OK
,	,	,
so	RB	so
if	IN	if
we	PP	we
take	VBP	take
that	DT	that
equation	NN	equation
,	,	,
why	WRB	why
haven	NN	haven
'	POS	'
t	NN	t
we	PP	we
heard	VBD	hear
from	IN	from
anybody	NN	anybody
out	IN	out
there	RB	there
?	SENT	?
Because	IN	because
every	DT	every
step	NN	step
is	VBZ	be
dangerous	JJ	dangerous
.	SENT	.
Getting	VBG	get
a	DT	a
new	JJ	new
replicator	NN	<unknown>
is	VBZ	be
dangerous	JJ	dangerous
.	SENT	.
You	PP	you
can	MD	can
pull	VB	pull
through	RP	through
,	,	,
we	PP	we
have	VBP	have
pulled	VBN	pull
through	RP	through
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NNS	<unknown>
dangerous	JJ	dangerous
.	SENT	.
Take	VB	take
the	DT	the
first	JJ	first
step	NN	step
,	,	,
as	RB	as
soon	RB	soon
as	IN	as
life	NN	life
appeared	VBD	appear
on	IN	on
this	DT	this
earth	NN	earth
.	SENT	.
We	PP	we
may	MD	may
take	VB	take
the	DT	the
Gaian	NP	<unknown>
view	NN	view
.	SENT	.
I	PP	I
loved	VBD	love
Peter	NP	Peter
Ward	NP	Ward
'	POS	'
s	JJ	<unknown>
talk	NN	talk
yesterday	NN	yesterday
—	:	-
it	PP	it
'	POS	'
s	NN	S
not	RB	not
Gaian	JJ	<unknown>
all	PDT	all
the	DT	the
time	NN	time
.	SENT	.
Actually	RB	actually
,	,	,
life	NN	life
forms	NNS	form
produce	VBP	produce
things	NNS	thing
that	WDT	that
kill	VBP	kill
themselves	PP	themselves
.	SENT	.
Well	RB	well
,	,	,
we	PP	we
did	VBD	do
pull	VB	pull
through	RP	through
on	IN	on
this	DT	this
planet	NN	planet
.	SENT	.
But	CC	but
then	RB	then
,	,	,
a	DT	a
long	JJ	long
time	NN	time
later	RBR	later
,	,	,
billions	NNS	billion
of	IN	of
years	NNS	year
later	RBR	later
,	,	,
we	PP	we
got	VBD	get
the	DT	the
second	JJ	second
replicator	NN	<unknown>
,	,	,
the	DT	the
memes	NNS	<unknown>
.	SENT	.
That	DT	that
was	VBD	be
dangerous	JJ	dangerous
,	,	,
all	DT	all
right	NN	right
.	SENT	.
Think	VB	think
of	IN	of
the	DT	the
big	JJ	big
brain	NN	brain
.	SENT	.
How	WRB	how
many	JJ	many
mothers	NNS	mother
do	VBP	do
we	PP	we
have	VBP	have
here	RB	here
?	SENT	?
You	PP	you
know	VBP	know
all	DT	all
about	RB	about
big	JJ	big
brains	NNS	brain
.	SENT	.
They	PP	they
are	VBP	be
dangerous	JJ	dangerous
to	TO	to
give	VB	give
birth	NN	birth
to	TO	to
,	,	,
are	VBP	be
agonizing	VBG	agonize
to	TO	to
give	VB	give
birth	VB	birth
to	TO	to
.	SENT	.
My	PP$	my
cat	NN	cat
gave	VBD	give
birth	NN	birth
to	TO	to
four	CD	four
kittens	NNS	kitten
,	,	,
purring	VBG	purr
all	PDT	all
the	DT	the
time	NN	time
.	SENT	.
Ah	UH	ah
,	,	,
mm	NN	mm.
—	:	-
slightly	RB	slightly
different	JJ	different
.	SENT	.
But	CC	but
not	RB	not
only	RB	only
is	VBZ	be
it	PP	it
painful	JJ	painful
,	,	,
it	PP	it
kills	VBZ	kill
lots	NNS	lot
of	IN	of
babies	NNS	baby
,	,	,
it	PP	it
kills	VBZ	kill
lots	NNS	lot
of	IN	of
mothers	NNS	mother
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
very	RB	very
expensive	JJ	expensive
to	TO	to
produce	VB	produce
.	SENT	.
The	DT	the
genes	NNS	gene
are	VBP	be
forced	VBN	force
into	IN	into
producing	VBG	produce
all	PDT	all
this	DT	this
myelin	NN	myelin
,	,	,
all	PDT	all
the	DT	the
fat	NN	fat
to	TO	to
myelinate	VB	<unknown>
the	DT	the
brain	NN	brain
.	SENT	.
Do	VB	do
you	PP	you
know	VB	know
,	,	,
sitting	VBG	sit
here	RB	here
,	,	,
your	PP$	your
brain	NN	brain
is	VBZ	be
using	VBG	use
about	RB	about
20	CD	@card@
percent	NN	percent
of	IN	of
your	PP$	your
body	NN	body
'	POS	'
s	JJ	<unknown>
energy	NN	energy
output	NN	output
for	IN	for
two	CD	two
percent	NN	percent
of	IN	of
your	PP$	your
body	NN	body
weight	NN	weight
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
a	DT	a
really	RB	really
expensive	JJ	expensive
organ	NN	organ
to	TO	to
run	VB	run
.	SENT	.
Why	WRB	why
?	SENT	?
Because	IN	because
it	PP	it
'	POS	'
s	NN	S
producing	VBG	produce
the	DT	the
memes	NNS	<unknown>
.	SENT	.
Now	RB	now
,	,	,
it	PP	it
could	MD	could
have	VB	have
killed	VBN	kill
us	PP	us
off	RP	off
.	SENT	.
It	PP	it
could	MD	could
have	VB	have
killed	VBN	kill
us	PP	us
off	RP	off
,	,	,
and	CC	and
maybe	RB	maybe
it	PP	it
nearly	RB	nearly
did	VBD	do
,	,	,
but	CC	but
you	PP	you
see	VBP	see
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
.	SENT	.
But	CC	but
maybe	RB	maybe
it	PP	it
nearly	RB	nearly
did	VBD	do
.	SENT	.
Has	VBZ	have
it	PP	it
been	VBN	be
tried	VBN	try
before	RB	before
?	SENT	?
What	WP	what
about	IN	about
all	PDT	all
those	DT	those
other	JJ	other
species	NN	species
?	SENT	?
Louise	NP	Louise
Leakey	NP	Leakey
talked	VBD	talk
yesterday	NN	yesterday
about	IN	about
how	WRB	how
we	PP	we
'	POS	'
re	NN	re
the	DT	the
only	JJ	only
one	CD	one
in	IN	in
this	DT	this
branch	NN	branch
left	VBD	leave
.	SENT	.
What	WP	what
happened	VBD	happen
to	TO	to
the	DT	the
others	NNS	other
?	SENT	?
Could	MD	could
it	PP	it
be	VB	be
that	IN	that
this	DT	this
experiment	NN	experiment
in	IN	in
imitation	NN	imitation
,	,	,
this	DT	this
experiment	NN	experiment
in	IN	in
a	DT	a
second	JJ	second
replicator	NN	<unknown>
,	,	,
is	VBZ	be
dangerous	JJ	dangerous
enough	RB	enough
to	TO	to
kill	VB	kill
people	NNS	people
off	RP	off
?	SENT	?
Well	RB	well
,	,	,
we	PP	we
did	VBD	do
pull	VB	pull
through	RP	through
,	,	,
and	CC	and
we	PP	we
adapted	VBD	adapt
.	SENT	.
But	CC	but
now	RB	now
,	,	,
we	PP	we
'	POS	'
re	NN	re
hitting	VBG	hit
,	,	,
as	IN	as
I	PP	I
'	POS	'
ve	NN	ve
just	RB	just
described	VBD	describe
,	,	,
we	PP	we
