Nadia	NP	Nadia
part	NN	part
of	IN	of
a	DT	a
cluster	NN	cluster
,	,	,
what	WP	what
you	PP	you
learn	VBP	learn
from	IN	from
James	NP	James
Webb	NP	Webb
Space	NP	Space
Telescope	NN	telescope
is	VBZ	be
that	IN	that
in	IN	in
the	DT	the
regions	NNS	region
where	WRB	where
they	PP	they
are	VBP	be
interacting	VBG	interact
and	CC	and
overlapping	VBG	overlap
,	,	,
those	DT	those
regions	NNS	region
light	NN	light
up	RP	up
in	IN	in
the	DT	the
infrared	NN	infrared
.	SENT	.
Those	DT	those
are	VBP	be
places	NNS	place
where	WRB	where
the	DT	the
dust	NN	dust
and	CC	and
the	DT	the
gas	NN	gas
and	CC	and
the	DT	the
existing	VBG	exist
stars	NNS	star
of	IN	of
those	DT	those
other	JJ	other
galaxies	NNS	galaxy
,	,	,
when	WRB	when
they	PP	they
are	VBP	be
interacting	VBG	interact
,	,	,
they	PP	they
are	VBP	be
forming	VBG	form
new	JJ	new
stars	NNS	star
.	SENT	.
They	PP	they
are	VBP	be
creating	VBG	create
new	JJ	new
realms	NNS	realm
of	IN	of
star	NN	star
formation	NN	formation
,	,	,
and	CC	and
they	PP	they
just	RB	just
light	VB	light
up	RP	up
in	IN	in
the	DT	the
infrared	NN	infrared
in	IN	in
that	DT	that
image	NN	image
.	SENT	.
ND	NN	ND
:	:	:
Yeah	RB	yeah
.	SENT	.
And	CC	and
I	PP	I
just	RB	just
wonder	VBP	wonder
,	,	,
like	VBP	like
,	,	,
what	WP	what
'	POS	'
s	NNS	<unknown>
missing	VBG	miss
from	IN	from
that	DT	that
picture	NN	picture
?	SENT	?
What	WP	what
can	MD	can
JWST	NP	<unknown>
fill	VB	fill
in	IN	in
?	SENT	?
I	PP	I
mean	VBP	mean
,	,	,
how	WRB	how
much	JJ	much
more	JJR	more
color	NN	color
can	MD	can
it	PP	it
add	VB	add
?	SENT	?
HH	NP	HH
:	:	:
What	WP	what
JWST	NP	<unknown>
adds	VBZ	add
to	TO	to
our	PP$	our
ongoing	JJ	ongoing
story	NN	story
is	VBZ	be
it	PP	it
adds	VBZ	add
new	JJ	new
wavelengths	NNS	wavelength
of	IN	of
light	NN	light
that	IN	that
we	PP	we
haven	NN	haven
'	POS	'
t	NN	t
had	VBD	have
the	DT	the
sensitivity	NN	sensitivity
to	TO	to
study	VB	study
,	,	,
and	CC	and
different	JJ	different
wavelengths	NNS	wavelength
of	IN	of
light	NN	light
tell	VBP	tell
you	PP	you
different	JJ	different
parts	NNS	part
of	IN	of
this	DT	this
story	NN	story
.	SENT	.
And	CC	and
we	PP	we
also	RB	also
use	VBP	use
tools	NNS	tool
in	IN	in
astronomy	NN	astronomy
called	VBN	call
spectrographs	NNS	spectrograph
,	,	,
and	CC	and
that	DT	that
is	VBZ	be
where	WRB	where
we	PP	we
don	VBP	don
'	''	'
t	NN	t
just	RB	just
take	VB	take
pictures	NNS	picture
,	,	,
but	CC	but
we	PP	we
actually	RB	actually
take	VBP	take
the	DT	the
light	NN	light
and	CC	and
we	PP	we
spread	VBP	spread
it	PP	it
out	RP	out
into	IN	into
its	PP$	its
rainbow	NN	rainbow
of	IN	of
colors	NNS	color
.	SENT	.
And	CC	and
what	WP	what
we	PP	we
do	VBP	do
is	VBZ	be
we	PP	we
look	VBP	look
for	IN	for
what	WP	what
we	PP	we
call	VBP	call
fingerprints	NNS	fingerprint
in	IN	in
that	DT	that
light	NN	light
,	,	,
if	IN	if
you	PP	you
will	MD	will
.	SENT	.
Certain	JJ	certain
atoms	NNS	atom
and	CC	and
molecules	NNS	molecule
tend	VBP	tend
to	TO	to
absorb	VB	absorb
specific	JJ	specific
colors	NNS	color
of	IN	of
light	NN	light
,	,	,
just	RB	just
by	IN	by
the	DT	the
very	JJ	very
nature	NN	nature
of	IN	of
their	PP$	their
construction	NN	construction
,	,	,
and	CC	and
their	PP$	their
motion	NN	motion
and	CC	and
vibration	NN	vibration
.	SENT	.
They	PP	they
absorb	VBP	absorb
certain	JJ	certain
colors	NNS	color
of	IN	of
light	NN	light
.	SENT	.
So	RB	so
by	IN	by
spreading	VBG	spread
the	DT	the
light	NN	light
out	RP	out
into	IN	into
a	DT	a
rainbow	NN	rainbow
and	CC	and
looking	VBG	look
for	IN	for
patterns	NNS	pattern
in	IN	in
what	WP	what
light	NN	light
is	VBZ	be
missing	VBG	miss
,	,	,
that	WDT	that
tells	VBZ	tell
you	PP	you
what	WP	what
molecules	NNS	molecule
are	VBP	be
there	RB	there
.	SENT	.
And	CC	and
not	RB	not
only	RB	only
does	VBZ	do
it	PP	it
tell	VBP	tell
you	PP	you
[	SYM	[
which	WDT	which
]	SYM	]
are	VBP	be
there	RB	there
,	,	,
it	PP	it
tells	VBZ	tell
you	PP	you
their	PP$	their
temperature	NN	temperature
.	SENT	.
It	PP	it
can	MD	can
tell	VB	tell
you	PP	you
their	PP$	their
pressures	NNS	pressure
.	SENT	.
By	IN	by
tracking	VBG	track
carefully	RB	carefully
these	DT	these
lines	NNS	line
in	IN	in
the	DT	the
spectrum	NN	spectrum
,	,	,
you	PP	you
can	MD	can
determine	VB	determine
the	DT	the
motions	NNS	motion
of	IN	of
this	DT	this
material	NN	material
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
don	VB	don
'	''	'
t	NN	t
just	RB	just
have	VBP	have
a	DT	a
static	JJ	static
picture	NN	picture
.	SENT	.
We	PP	we
can	MD	can
actually	RB	actually
do	VB	do
three-dimensional	JJ	three-dimensional
tomography	NN	tomography
of	IN	of
astrophysical	JJ	astrophysical
objects	NNS	object
by	IN	by
using	VBG	use
this	DT	this
spectral	JJ	spectral
light	JJ	light
information	NN	information
.	SENT	.
But	CC	but
as	IN	as
an	DT	an
astronomer	NN	astronomer
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
the	DT	the
pictures	NNS	picture
.	SENT	.
It	PP	it
is	VBZ	be
spreading	VBG	spread
that	DT	that
light	NN	light
out	RP	out
and	CC	and
looking	VBG	look
into	IN	into
its	PP$	its
constituents	NNS	constituent
,	,	,
that	WDT	that
'	POS	'
s	NN	S
where	WRB	where
the	DT	the
real	JJ	real
,	,	,
deep	JJ	deep
science	NN	science
takes	VBZ	take
place	NN	place
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
where	WRB	where
you	PP	you
get	VBP	get
what	WP	what
stars	NNS	star
are	VBP	be
actually	RB	actually
made	VBN	make
of	IN	of
.	SENT	.
Like	IN	like
,	,	,
helium	NN	helium
,	,	,
and	CC	and
the	DT	the
helium	NN	helium
and	CC	and
hydrogen	NN	hydrogen
,	,	,
and	CC	and
beryllium	NN	beryllium
and	CC	and
even	RB	even
iron	NN	iron
and	CC	and
nickel	NN	nickel
.	SENT	.
How	WRB	how
do	VBP	do
you	PP	you
know	VBP	know
that	RB	that
?	SENT	?
You	PP	you
can	MD	can
'	''	'
t	NN	t
go	VB	go
there	RB	there
and	CC	and
weigh	VB	weigh
it	PP	it
.	SENT	.
You	PP	you
learn	VBP	learn
it	PP	it
from	IN	from
the	DT	the
light	NN	light
.	SENT	.
ND	NN	ND
:	:	:
Can	MD	can
you	PP	you
tell	VB	tell
us	PP	us
about	IN	about
that	DT	that
instrument	NN	instrument
and	CC	and
what	WP	what
it	PP	it
might	MD	might
be	VB	be
able	JJ	able
to	TO	to
show	VB	show
us	PP	us
about	IN	about
Uranus	NP	Uranus
and	CC	and
Neptune	NP	Neptune
and	CC	and
some	DT	some
of	IN	of
the	DT	the
other	JJ	other
giant	JJ	giant
planets	NNS	planet
that	IN	that
we	PP	we
haven	NN	haven
'	POS	'
t	NN	t
been	VBN	be
able	JJ	able
to	TO	to
see	VB	see
before	RB	before
?	SENT	?
How	WRB	how
is	VBZ	be
this	DT	this
telescope	NN	telescope
going	VBG	go
to	TO	to
help	VB	help
us	PP	us
understand	VB	understand
these	DT	these
worlds	NNS	world
?	SENT	?
HH	NP	HH
:	:	:
Let	NP	Let
'	POS	'
s	NNS	<unknown>
say	VBP	say
you	PP	you
wanted	VBD	want
to	TO	to
study	VB	study
Jupiter	NP	Jupiter
'	POS	'
s	NN	S
rings	NNS	ring
,	,	,
right	RB	right
?	SENT	?
We	PP	we
know	VBP	know
Jupiter	NP	Jupiter
has	VBZ	have
rings	NNS	ring
.	SENT	.
Voyager	NP	Voyager
saw	VBD	see
them	PP	them
.	SENT	.
But	CC	but
we	PP	we
know	VBP	know
most	RBS	most
planetary	JJ	planetary
rings	NNS	ring
change	NN	change
with	IN	with
time	NN	time
.	SENT	.
Trying	VBG	try
to	TO	to
image	VB	image
the	DT	the
faint	JJ	faint
ring	NN	ring
of	IN	of
Jupiter	NP	Jupiter
next	JJ	next
to	TO	to
the	DT	the
incredibly	RB	incredibly
bright	JJ	bright
planet	NN	planet
of	IN	of
Jupiter	NP	Jupiter
is	VBZ	be
extraordinarily	RB	extraordinarily
difficult	JJ	difficult
.	SENT	.
The	DT	the
rings	NNS	ring
are	VBP	be
a	DT	a
million	CD	million
times	NNS	time
fainter	JJR	faint
than	IN	than
the	DT	the
planet	NN	planet
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
right	RB	right
next	JJ	next
to	TO	to
it	PP	it
.	SENT	.
But	CC	but
James	NP	James
Webb	NP	Webb
Space	NP	Space
Telescope	NN	telescope
,	,	,
the	DT	the
sensitivity	NN	sensitivity
is	VBZ	be
so	RB	so
good	JJ	good
and	CC	and
the	DT	the
imaging	NN	imaging
capability	NN	capability
is	VBZ	be
so	RB	so
good	JJ	good
that	IN	that
the	DT	the
scattered	JJ	scattered
light	NN	light
from	IN	from
Jupiter	NP	Jupiter
does	VBZ	do
not	RB	not
spread	VB	spread
even	RB	even
out	RB	out
to	TO	to
the	DT	the
local	JJ	local
place	NN	place
where	WRB	where
the	DT	the
rings	NNS	ring
are	VBP	be
.	SENT	.
So	RB	so
in	IN	in
our	PP$	our
first	JJ	first
images	NNS	image
,	,	,
engineering	NN	engineering
images	NNS	image
of	IN	of
Jupiter	NP	Jupiter
,	,	,
that	WDT	that
were	VBD	be
taken	VBN	take
just	RB	just
to	TO	to
test	VB	test
the	DT	the
scattered	JJ	scattered
light	NN	light
on	IN	on
the	DT	the
camera	NN	camera
--	:	--
they	PP	they
took	VBD	take
a	DT	a
couple	NN	couple
of	IN	of
sharp	JJ	sharp
,	,	,
short	JJ	short
images	NNS	image
of	IN	of
Jupiter	NP	Jupiter
and	CC	and
moved	VBD	move
Jupiter	NP	Jupiter
closer	RBR	closer
and	CC	and
closer	RBR	closer
to	TO	to
the	DT	the
fine	JJ	fine
guidance	NN	guidance
sensor	NN	sensor
to	TO	to
see	VB	see
if	IN	if
it	PP	it
would	MD	would
screw	VB	screw
up	RP	up
our	PP$	our
guiding	VBG	guide
--	:	--
even	RB	even
in	IN	in
those	DT	those
short	JJ	short
engineering	NN	engineering
images	NNS	image
,	,	,
the	DT	the
rings	NNS	ring
are	VBP	be
right	RB	right
there	RB	there
.	SENT	.
Beautiful	JJ	beautiful
.	SENT	.
Just	RB	just
totally	RB	totally
resolved	VBN	resolve
right	RB	right
next	JJ	next
to	TO	to
the	DT	the
planet	NN	planet
a	DT	a
million	CD	million
times	NNS	time
brighter	JJR	bright
.	SENT	.
ND	NN	ND
:	:	:
Well	RB	well
,	,	,
can	MD	can
we	PP	we
talk	VB	talk
about	IN	about
planets	NNS	planet
outside	IN	outside
the	DT	the
solar	JJ	solar
system	NN	system
,	,	,
too	RB	too
?	SENT	?
HH	NP	HH
:	:	:
Sure	JJ	sure
.	SENT	.
Yeah	RB	yeah
.	SENT	.
What	WP	what
'	''	'
s	VBG	<unknown>
your	PP$	your
favorite	NN	favorite
?	SENT	?
ND	NN	ND
:	:	:
What	WP	what
'	''	'
s	VBG	<unknown>
your	PP$	your
favorite	NN	favorite
?	SENT	?
HH	NP	HH
:	:	:
Oh	UH	oh
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
couple	NN	couple
of	IN	of
favorites	NNS	favorite
.	SENT	.
ND	NN	ND
:	:	:
Yeah	RB	yeah
?	SENT	?
HH	NP	HH
:	:	:
I	PP	I
think	VBP	think
a	DT	a
lot	NN	lot
of	IN	of
astronomers	NNS	astronomer
'	POS	'
.	SENT	.
.	SENT	.
.	SENT	.
favorite	JJ	favorite
system	NN	system
right	NN	right
now	RB	now
is	VBZ	be
the	DT	the
TRAPPIST-1	JJ	<unknown>
system	NN	system
.	SENT	.
ND	NN	ND
:	:	:
Yeah	RB	yeah
.	SENT	.
Tell	VB	tell
me	PP	me
about	IN	about
it	PP	it
.	SENT	.
HH	NP	HH
:	:	:
TRAPPIST-1	NN	<unknown>
is	VBZ	be
--	:	--
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
name	NN	name
of	IN	of
the	DT	the
star	NN	star
.	SENT	.
TRAPPIST	NN	Trappist
is	VBZ	be
the	DT	the
name	NN	name
of	IN	of
the	DT	the
survey	NN	survey
,	,	,
right	RB	right
?	SENT	?
But	CC	but
it	PP	it
looked	VBD	look
at	IN	at
this	DT	this
star	NN	star
and	CC	and
it	PP	it
discovered	VBD	discover
that	IN	that
there	EX	there
are	VBP	be
at	IN	at
least	JJS	least
seven	CD	seven
planets	NNS	planet
orbiting	VBG	orbit
this	DT	this
star	NN	star
.	SENT	.
And	CC	and
most	JJS	most
of	IN	of
those	DT	those
planets	NNS	planet
seem	VBP	seem
to	TO	to
be	VB	be
Earth-sized	JJ	Earth-sized
.	SENT	.
In	IN	in
the	DT	the
TRAPPIST-1	JJ	<unknown>
system	NN	system
,	,	,
several	JJ	several
of	IN	of
the	DT	the
planets	NNS	planet
are	VBP	be
the	DT	the
right	JJ	right
distance	NN	distance
from	IN	from
the	DT	the
host	NN	host
star	NN	star
that	IN	that
water	NN	water
could	MD	could
be	VB	be
liquid	JJ	liquid
on	IN	on
the	DT	the
surface	NN	surface
of	IN	of
them	PP	them
.	SENT	.
We	PP	we
call	VBP	call
that	IN	that
the	DT	the
habitable	JJ	habitable
zone	NN	zone
.	SENT	.
And	CC	and
you	PP	you
and	CC	and
I	PP	I
could	MD	could
have	VB	have
a	DT	a
long	JJ	long
talk	NN	talk
about	IN	about
what	WP	what
habitability	NN	habitability
actually	RB	actually
means	VBZ	mean
.	SENT	.
But	CC	but
in	IN	in
our	PP$	our
solar	JJ	solar
system	NN	system
,	,	,
at	IN	at
least	JJS	least
on	IN	on
our	PP$	our
Earth	NN	earth
,	,	,
the	DT	the
only	JJ	only
place	NN	place
that	IN	that
we	PP	we
know	VBP	know
life	NN	life
exists	VBZ	exist
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
water	NN	water
.	SENT	.
And	CC	and
so	RB	so
when	WRB	when
we	PP	we
'	POS	'
re	NN	re
talking	VBG	talk
about	IN	about
looking	VBG	look
for	IN	for
habitable	JJ	habitable
planets	NNS	planet
,	,	,
we	PP	we
look	VBP	look
at	IN	at
planets	NNS	planet
that	WDT	that
are	VBP	be
at	IN	at
the	DT	the
right	JJ	right
distance	NN	distance
from	IN	from
their	PP$	their
host	NN	host
star	NN	star
that	IN	that
they	PP	they
could	MD	could
have	VB	have
water	NN	water
on	IN	on
them	PP	them
.	SENT	.
So	IN	so
that	DT	that
TRAPPIST	NN	Trappist
system	NN	system
that	IN	that
we	PP	we
know	VBP	know
that	IN	that
there	EX	there
are	VBP	be
planets	NNS	planet
in	IN	in
potentially	RB	potentially
habitable	JJ	habitable
region	NN	region
,	,	,
and	CC	and
that	IN	that
those	DT	those
planets	NNS	planet
are	VBP	be
roughly	RB	roughly
Earth-sized	JJ	Earth-sized
,	,	,
they	PP	they
are	VBP	be
everybody	NN	everybody
'	POS	'
s	JJ	<unknown>
favorite	JJ	favorite
right	NN	right
now	RB	now
for	IN	for
JWST	NP	<unknown>
to	TO	to
take	VB	take
a	DT	a
look	NN	look
at	IN	at
with	IN	with
our	PP$	our
spectrographs	NNS	spectrograph
.	SENT	.
ND	NN	ND
:	:	:
Yeah	RB	yeah
.	SENT	.
Do	VBP	do
you	PP	you
think	VBP	think
there	EX	there
is	VBZ	be
life	NN	life
beyond	IN	beyond
Earth	NN	earth
somewhere	RB	somewhere
?	SENT	?
And	CC	and
if	IN	if
so	RB	so
,	,	,
where	WRB	where
?	SENT	?
HH	NP	HH
:	:	:
OK	UH	OK
,	,	,
so	RB	so
let	VB	let
me	PP	me
answer	VB	answer
the	DT	the
second	JJ	second
question	NN	question
first	RB	first
.	SENT	.
This	DT	this
question	NN	question
of	IN	of
,	,	,
"	``	"
is	VBZ	be
there	RB	there
alien	JJ	alien
life	NN	life
out	IN	out
there	RB	there
?	SENT	?
"	``	"
I	PP	I
usually	RB	usually
break	VB	break
it	PP	it
up	RP	up
into	IN	into
two	CD	two
things	NNS	thing
.	SENT	.
One	PP	one
is	VBZ	be
a	DT	a
thought	NN	thought
experiment	NN	experiment
about	IN	about
the	DT	the
size	NN	size
of	IN	of
the	DT	the
universe	NN	universe
,	,	,
the	DT	the
scale	NN	scale
of	IN	of
the	DT	the
universe	NN	universe
,	,	,
just	RB	just
how	WRB	how
many	JJ	many
stars	NNS	star
there	EX	there
are	VBP	be
in	IN	in
our	PP$	our
galaxy	NN	galaxy
.	SENT	.
And	CC	and
then	RB	then
how	WRB	how
many	JJ	many
galaxies	NNS	galaxy
?	SENT	?
There	EX	there
'	POS	'
s	NN	S
billions	NNS	billion
of	IN	of
stars	NNS	star
just	RB	just
in	IN	in
our	PP$	our
local	JJ	local
galaxy	NN	galaxy
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	NN	S
billions	NNS	billion
of	IN	of
galaxies	NNS	galaxy
out	IN	out
there	RB	there
.	SENT	.
And	CC	and
we	PP	we
talk	VBP	talk
about	RB	about
whether	IN	whether
or	CC	or
not	RB	not
life	NN	life
could	MD	could
have	VB	have
formed	VBN	form
over	IN	over
the	DT	the
billions	NNS	billion
of	IN	of
years	NNS	year
that	IN	that
our	PP$	our
universe	NN	universe
has	VBZ	have
existed	VBN	exist
with	IN	with
these	DT	these
billions	NNS	billion
of	IN	of
galaxies	NNS	galaxy
,	,	,
each	DT	each
of	IN	of
which	WDT	which
has	VBZ	have
billions	NNS	billion
of	IN	of
stars	NNS	star
.	SENT	.
I	PP	I
say	VBP	say
life	NN	life
has	VBZ	have
to	TO	to
exist	VB	exist
somewhere	RB	somewhere
out	RB	out
there	RB	there
.	SENT	.
Somewhere	RB	somewhere
.	SENT	.
[	SYM	[
It	PP	it
]	SYM	]
has	VBZ	have
to	TO	to
be	VB	be
out	RB	out
there	RB	there
.	SENT	.
Does	VBZ	do
that	DT	that
mean	NN	mean
that	IN	that
aliens	NNS	alien
have	VBP	have
come	VBN	come
to	TO	to
Earth	NN	earth
and	CC	and
visited	VBD	visit
us	PP	us
?	SENT	?
No	RB	no
,	,	,
that	IN	that
'	POS	'
s	NN	S
a	DT	a
totally	RB	totally
separate	JJ	separate
question	NN	question
.	SENT	.
I	PP	I
just	RB	just
--	:	--
it	PP	it
'	POS	'
s	NN	S
not	RB	not
a	DT	a
related	JJ	related
question	NN	question
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
a	DT	a
more	RBR	more
psychological	JJ	psychological
question	NN	question
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
more	RBR	more
interested	JJ	interested
in	IN	in
the	DT	the
science	NN	science
aspect	NN	aspect
of	IN	of
the	DT	the
question	NN	question
.	SENT	.
I	PP	I
think	VBP	think
we	PP	we
need	VBP	need
to	TO	to
start	VB	start
with	IN	with
terrestrial-sized	JJ	terrestrial-sized
planets	NNS	planet
that	WDT	that
are	VBP	be
the	DT	the
right	JJ	right
distance	NN	distance
to	TO	to
have	VB	have
water	NN	water
on	IN	on
them	PP	them
,	,	,
because	IN	because
those	DT	those
are	VBP	be
the	DT	the
conditions	NNS	condition
required	VBN	require
to	TO	to
create	VB	create
life	NN	life
as	IN	as
we	PP	we
know	VBP	know
it	PP	it
on	IN	on
Earth	NP	Earth
.	SENT	.
And	CC	and
the	DT	the
only	JJ	only
kind	NN	kind
of	IN	of
life	NN	life
that	IN	that
we	PP	we
'	POS	'
ll	NNS	<unknown>
initially	RB	initially
recognize	VBP	recognize
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
life	NN	life
like	IN	like
ours	PP	ours
,	,	,
I	PP	I
think	VBP	think
.	SENT	.
ND	NN	ND
:	:	:
So	RB	so
JWST	NP	<unknown>
is	VBZ	be
one	CD	one
tool	NN	tool
that	IN	that
we	PP	we
can	MD	can
use	VB	use
in	IN	in
the	DT	the
search	NN	search
for	IN	for
life	NN	life
beyond	IN	beyond
Earth	NP	Earth
.	SENT	.
But	CC	but
there	EX	there
are	VBP	be
others	NNS	other
,	,	,
including	VBG	include
within	IN	within
our	PP$	our
own	JJ	own
solar	JJ	solar
system	NN	system
:	:	:
some	DT	some
of	IN	of
the	DT	the
rovers	NNS	rover
that	WDT	that
are	VBP	be
on	IN	on
Mars	NP	Mars
,	,	,
currently	RB	currently
looking	VBG	look
for	IN	for
signs	NNS	sign
of	IN	of
ancient	JJ	ancient
biosignatures	NNS	biosignature
or	CC	or
ancient	JJ	ancient
signs	NNS	sign
of	IN	of
alien	JJ	alien
life	NN	life
in	IN	in
the	DT	the
rocks	NNS	rock
there	RB	there
,	,	,
but	CC	but
also	RB	also
some	DT	some
of	IN	of
the	DT	the
missions	NNS	mission
that	WDT	that
are	VBP	be
being	VBG	be
planned	VBN	plan
to	TO	to
the	DT	the
outer	JJ	outer
solar	JJ	solar
system	NN	system
,	,	,
and	CC	and
specifically	RB	specifically
some	DT	some
of	IN	of
the	DT	the
moons	NNS	moon
there	RB	there
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
curious	JJ	curious
about	RB	about
whether	IN	whether
you	PP	you
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
possible	JJ	possible
that	WDT	that
life	NN	life
exists	VBZ	exist
here	RB	here
in	IN	in
our	PP$	our
local	JJ	local
neighborhood	NN	neighborhood
,	,	,
but	CC	but
beyond	IN	beyond
Earth	NP	Earth
.	SENT	.
HH	NP	HH
:	:	:
Hey	UH	hey
,	,	,
anything	NN	anything
is	VBZ	be
possible	JJ	possible
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
learned	VBD	learn
in	IN	in
my	PP$	my
career	NN	career
never	RB	never
to	TO	to
deal	VB	deal
in	IN	in
absolutes	NNS	absolute
because	IN	because
the	DT	the
universe	NN	universe
is	VBZ	be
great	JJ	great
at	IN	at
throwing	VBG	throw
curveballs	NNS	curveball
at	IN	at
you	PP	you
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
when	WRB	when
we	PP	we
have	VB	have
our	PP$	our
rovers	NNS	rover
on	IN	on
Mars	NP	Mars
and	CC	and
our	PP$	our
orbiters	NNS	orbiter
that	WDT	that
are	VBP	be
doing	VBG	do
really	RB	really
exquisite	JJ	exquisite
orbital	JJ	orbital
imaging	NN	imaging
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
clear	VBP	clear
that	IN	that
there	EX	there
'	''	'
s	NN	S
evidence	NN	evidence
that	IN	that
at	IN	at
one	CD	one
time	NN	time
there	RB	there
was	VBD	be
liquid	JJ	liquid
water	NN	water
on	IN	on
the	DT	the
surface	NN	surface
of	IN	of
Mars	NP	Mars
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
sedimentation	NN	sedimentation
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
chemical	NN	chemical
evidence	NN	evidence
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
,	,	,
you	PP	you
know	VBP	know
,	,	,
actually	RB	actually
water	NN	water
trapped	VBN	trap
in	IN	in
the	DT	the
ices	NNS	ice
in	IN	in
the	DT	the
poles	NNS	pole
of	IN	of
Mars	NP	Mars
right	RB	right
now	RB	now
.	SENT	.
And	CC	and
so	RB	so
it	PP	it
could	MD	could
very	RB	very
well	RB	well
be	VB	be
that	IN	that
at	IN	at
some	DT	some
time	NN	time
in	IN	in
the	DT	the
past	NN	past
that	IN	that
planet	NN	planet
had	VBD	have
liquid	JJ	liquid
water	NN	water
and	CC	and
may	MD	may
have	VB	have
had	VBN	have
the	DT	the
conditions	NNS	condition
for	IN	for
life	NN	life
to	TO	to
form	VB	form
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
.	SENT	.
It	PP	it
could	MD	could
be	VB	be
that	DT	that
life	NN	life
formed	VBD	form
there	RB	there
first	JJ	first
and	CC	and
transmitted	VBD	transmit
itself	PP	itself
inward	RB	inward
to	TO	to
us	PP	us
.	SENT	.
We	PP	we
could	MD	could
be	VB	be
Martians	NNS	Martian
.	SENT	.
ND	NN	ND
:	:	:
We	PP	we
could	MD	could
be	VB	be
Martians	NNS	Martian
.	SENT	.
HH	NP	HH
:	:	:
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
the	DT	the
answer	NN	answer
to	TO	to
that	DT	that
.	SENT	.
Using	VBG	use
our	PP$	our
definition	NN	definition
of	IN	of
looking	VBG	look
at	IN	at
places	NNS	place
where	WRB	where
there	EX	there
'	''	'
s	NNS	<unknown>
liquid	JJ	liquid
water	NN	water
,	,	,
you	PP	you
know	VBP	know
,	,	,
people	NNS	people
sort	NN	sort
of	IN	of
initially	RB	initially
confined	VBN	confine
it	PP	it
to	TO	to
a	DT	a
certain	JJ	certain
distance	NN	distance
from	IN	from
the	DT	the
host	NN	host
star	NN	star
--	:	--
sort	NN	sort
of	IN	of
from	IN	from
the	DT	the
Earth	NN	earth
just	RB	just
barely	RB	barely
out	IN	out
to	TO	to
Mars	NP	Mars
and	CC	and
maybe	RB	maybe
inward	RB	inward
a	DT	a
little	JJ	little
bit	NN	bit
,	,	,
not	RB	not
quite	RB	quite
as	RB	as
inward	RB	inward
as	IN	as
Venus	NP	Venus
,	,	,
but	CC	but
they	PP	they
kind	NN	kind
of	IN	of
limited	VBN	limit
it	PP	it
to	TO	to
that	DT	that
region	NN	region
,	,	,
saying	VBG	say
,	,	,
"	``	"
Well	UH	well
,	,	,
Earth	NP	Earth
is	VBZ	be
the	DT	the
Goldilocks	NN	goldilocks
zone	NN	zone
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
why	WRB	why
it	PP	it
'	POS	'
s	NN	S
not	RB	not
too	RB	too
hot	JJ	hot
,	,	,
not	RB	not
too	RB	too
cold	JJ	cold
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
why	WRB	why
life	NN	life
is	VBZ	be
here	RB	here
.	SENT	.
"	``	"
But	CC	but
we	PP	we
'	POS	'
ve	NN	ve
learned	VBD	learn
more	JJR	more
about	IN	about
our	PP$	our
solar	JJ	solar
system	NN	system
with	IN	with
the	DT	the
spacecraft	NN	spacecraft
and	CC	and
telescopes	NNS	telescope
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
we	PP	we
have	VBP	have
learned	VBN	learn
with	IN	with
our	PP$	our
missions	NNS	mission
to	TO	to
the	DT	the
Jupiter	NP	Jupiter
system	NN	system
and	CC	and
the	DT	the
Saturn	NP	Saturn
system	NN	system
is	VBZ	be
that	IN	that
some	DT	some
of	IN	of
the	DT	the
larger	JJR	large
moons	NNS	moon
in	IN	in
those	DT	those
systems	NNS	system
do	VBP	do
have	VBP	have
evidence	NN	evidence
of	IN	of
liquid	JJ	liquid
water	NN	water
in	IN	in
their	PP$	their
interiors	NNS	interior
