You	PP	you
digest	VBP	digest
DNA	NN	DNA
.	SENT	.
The	DT	the
chromosome	NN	chromosome
that	WDT	that
was	VBD	be
in	IN	in
the	DT	the
cell	NN	cell
doesn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
one	CD	one
;	:	;
the	DT	the
chromosome	NN	chromosome
we	PP	we
put	VBP	put
in	IN	in
does	VBZ	do
.	SENT	.
It	PP	it
got	VBD	get
expressed	VBN	express
and	CC	and
it	PP	it
recognized	VBD	recognize
the	DT	the
other	JJ	other
chromosome	NN	chromosome
as	IN	as
foreign	JJ	foreign
material	NN	material
,	,	,
chewed	VBD	chew
it	PP	it
up	RP	up
,	,	,
and	CC	and
so	RB	so
we	PP	we
ended	VBD	end
up	RP	up
just	RB	just
with	IN	with
a	DT	a
cell	NN	cell
with	IN	with
the	DT	the
new	JJ	new
chromosome	NN	chromosome
.	SENT	.
It	PP	it
turned	VBD	turn
blue	JJ	blue
because	IN	because
of	IN	of
the	DT	the
genes	NNS	gene
we	PP	we
put	VBP	put
in	IN	in
it	PP	it
.	SENT	.
And	CC	and
with	IN	with
a	DT	a
very	RB	very
short	JJ	short
period	NN	period
of	IN	of
time	NN	time
,	,	,
all	PDT	all
the	DT	the
characteristics	NNS	characteristic
of	IN	of
one	CD	one
species	NNS	specie
were	VBD	be
lost	VBN	lose
and	CC	and
it	PP	it
converted	VBD	convert
totally	RB	totally
into	IN	into
the	DT	the
new	JJ	new
species	NN	species
based	VBN	base
on	IN	on
the	DT	the
new	JJ	new
software	NN	software
that	IN	that
we	PP	we
put	VBD	put
in	IN	in
the	DT	the
cell	NN	cell
.	SENT	.
All	PDT	all
the	DT	the
proteins	NNS	protein
changed	VBD	change
,	,	,
the	DT	the
membranes	NNS	membrane
changed	VBN	change
;	:	;
when	WRB	when
we	PP	we
read	VBP	read
the	DT	the
genetic	JJ	genetic
code	NN	code
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
exactly	RB	exactly
what	WP	what
we	PP	we
had	VBD	have
transferred	VBN	transfer
in	RP	in
.	SENT	.
So	RB	so
,	,	,
this	DT	this
may	MD	may
sound	VB	sound
like	IN	like
genomic	JJ	<unknown>
alchemy	NN	alchemy
,	,	,
but	CC	but
we	PP	we
can	MD	can
,	,	,
by	IN	by
moving	VBG	move
the	DT	the
software	NN	software
of	IN	of
DNA	NN	DNA
around	RB	around
,	,	,
change	NN	change
things	NNS	thing
quite	RB	quite
dramatically	RB	dramatically
.	SENT	.
Now	RB	now
I	NP	I
'	POS	'
ve	NN	ve
argued	VBD	argue
,	,	,
this	DT	this
is	VBZ	be
not	RB	not
genesis	NN	genesis
;	:	;
this	DT	this
is	VBZ	be
building	VBG	build
on	IN	on
three	CD	three
and	CC	and
a	DT	a
half	JJ	half
billion	NN	billion
years	NNS	year
of	IN	of
evolution	NN	evolution
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ve	NN	ve
argued	VBD	argue
that	IN	that
we	PP	we
'	POS	'
re	NN	re
about	RB	about
to	TO	to
perhaps	RB	perhaps
create	VB	create
a	DT	a
new	JJ	new
version	NN	version
of	IN	of
the	DT	the
Cambrian	JJ	Cambrian
explosion	NN	explosion
,	,	,
where	WRB	where
there	EX	there
'	''	'
s	VBG	<unknown>
massive	JJ	massive
new	JJ	new
speciation	NN	speciation
based	VBN	base
on	IN	on
this	DT	this
digital	JJ	digital
design	NN	design
.	SENT	.
Why	WRB	why
do	VBP	do
this	DT	this
?	SENT	?
I	PP	I
think	VBP	think
this	DT	this
is	VBZ	be
pretty	RB	pretty
obvious	JJ	obvious
in	IN	in
terms	NNS	term
of	IN	of
some	DT	some
of	IN	of
the	DT	the
needs	NNS	need
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
about	RB	about
to	TO	to
go	VB	go
from	IN	from
six	CD	six
and	CC	and
a	DT	a
half	NN	half
to	TO	to
nine	CD	nine
billion	NN	billion
people	NNS	people
over	IN	over
the	DT	the
next	JJ	next
40	CD	@card@
years	NNS	year
.	SENT	.
To	TO	to
put	VB	put
it	PP	it
in	IN	in
context	NN	context
for	IN	for
myself	PP	myself
:	:	:
I	PP	I
was	VBD	be
born	VBN	bear
in	IN	in
1946	CD	@card@
.	SENT	.
There	EX	there
are	VBP	be
now	RB	now
three	CD	three
people	NNS	people
on	IN	on
the	DT	the
planet	NN	planet
for	IN	for
every	DT	every
one	CD	one
of	IN	of
us	PP	us
that	WDT	that
existed	VBD	exist
in	IN	in
1946	CD	@card@
;	:	;
within	IN	within
40	CD	@card@
years	NNS	year
,	,	,
there	EX	there
'	''	'
ll	NN	ll
be	VB	be
four	CD	four
.	SENT	.
We	PP	we
have	VBP	have
trouble	NN	trouble
feeding	NN	feeding
,	,	,
providing	VBG	provide
fresh	JJ	fresh
,	,	,
clean	JJ	clean
water	NN	water
,	,	,
medicines	NNS	medicine
,	,	,
fuel	NN	fuel
for	IN	for
the	DT	the
six	CD	six
and	CC	and
a	DT	a
half	JJ	half
billion	NN	billion
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
stretch	NN	stretch
to	TO	to
do	VB	do
it	PP	it
for	IN	for
nine	CD	nine
.	SENT	.
We	PP	we
use	VBP	use
over	RP	over
five	CD	five
billion	NN	billion
tons	NNS	ton
of	IN	of
coal	NN	coal
,	,	,
30	CD	@card@
billion-plus	JJ	billion-plus
barrels	NNS	barrel
of	IN	of
oil	NN	oil
â	NP	<unknown>
that	WDT	that
'	POS	'
s	NN	S
a	DT	a
hundred	CD	hundred
million	CD	million
barrels	NNS	barrel
a	DT	a
day	NN	day
.	SENT	.
When	WRB	when
we	PP	we
try	VBP	try
to	TO	to
think	VB	think
of	IN	of
biological	JJ	biological
processes	NNS	process
or	CC	or
any	DT	any
process	NN	process
to	TO	to
replace	VB	replace
that	IN	that
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
huge	JJ	huge
challenge	NN	challenge
.	SENT	.
Then	RB	then
of	IN	of
course	NN	course
,	,	,
there	EX	there
'	''	'
s	NN	S
all	PDT	all
that	DT	that
CO2	NN	<unknown>
from	IN	from
this	DT	this
material	NN	material
that	WDT	that
ends	VBZ	end
up	RP	up
in	IN	in
the	DT	the
atmosphere	NN	atmosphere
.	SENT	.
We	PP	we
now	RB	now
,	,	,
from	IN	from
our	PP$	our
discovery	NN	discovery
around	IN	around
the	DT	the
world	NN	world
,	,	,
have	VBP	have
a	DT	a
database	NN	database
with	IN	with
about	RB	about
20	CD	@card@
million	CD	million
genes	NNS	gene
,	,	,
and	CC	and
I	PP	I
like	VBP	like
to	TO	to
think	VB	think
of	IN	of
these	DT	these
as	IN	as
the	DT	the
design	NN	design
components	NNS	component
of	IN	of
the	DT	the
future	NN	future
.	SENT	.
The	DT	the
electronics	NN	electronics
industry	NN	industry
only	RB	only
had	VBD	have
a	DT	a
dozen	NN	dozen
or	CC	or
so	RB	so
components	NNS	component
,	,	,
and	CC	and
look	VB	look
at	IN	at
the	DT	the
diversity	NN	diversity
that	WDT	that
came	VBD	come
out	RP	out
of	IN	of
that	DT	that
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
limited	VBD	limit
here	RB	here
primarily	RB	primarily
by	IN	by
a	DT	a
biological	JJ	biological
reality	NN	reality
and	CC	and
our	PP$	our
imagination	NN	imagination
.	SENT	.
We	PP	we
now	RB	now
have	VBP	have
techniques	NNS	technique
,	,	,
because	IN	because
of	IN	of
these	DT	these
rapid	JJ	rapid
methods	NNS	method
of	IN	of
synthesis	NN	synthesis
,	,	,
to	TO	to
do	VB	do
what	WP	what
we	PP	we
'	''	'
re	IN	re
calling	VBG	call
combinatorial	JJ	combinatorial
genomics	NNS	<unknown>
.	SENT	.
We	PP	we
have	VBP	have
the	DT	the
ability	NN	ability
now	RB	now
to	TO	to
build	VB	build
a	DT	a
large	JJ	large
robot	NN	robot
that	WDT	that
can	MD	can
make	VB	make
a	DT	a
million	CD	million
chromosomes	NNS	chromosome
a	DT	a
day	NN	day
.	SENT	.
When	WRB	when
you	PP	you
think	VBP	think
of	IN	of
processing	VBG	process
these	DT	these
20	CD	@card@
million	CD	million
different	JJ	different
genes	NNS	gene
or	CC	or
trying	VBG	try
to	TO	to
optimize	VB	optimize
processes	NNS	process
to	TO	to
produce	VB	produce
octane	NN	octane
or	CC	or
to	TO	to
produce	VB	produce
pharmaceuticals	NNS	pharmaceuticals
,	,	,
new	JJ	new
vaccines	NNS	vaccine
,	,	,
we	PP	we
can	MD	can
just	RB	just
with	IN	with
a	DT	a
small	JJ	small
team	NN	team
,	,	,
do	VBP	do
more	RBR	more
molecular	JJ	molecular
biology	NN	biology
than	IN	than
the	DT	the
last	JJ	last
20	CD	@card@
years	NNS	year
of	IN	of
all	DT	all
science	NN	science
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
just	RB	just
standard	JJ	standard
selection	NN	selection
:	:	:
we	PP	we
can	MD	can
select	VB	select
for	IN	for
viability	NN	viability
,	,	,
chemical	NN	chemical
or	CC	or
fuel	NN	fuel
production	NN	production
,	,	,
vaccine	NN	vaccine
production	NN	production
,	,	,
etc	FW	etc
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
screen	NN	screen
snapshot	NN	snapshot
of	IN	of
some	DT	some
true	JJ	true
design	NN	design
software	NN	software
that	IN	that
we	PP	we
'	POS	'
re	NN	re
working	VBG	work
on	IN	on
to	TO	to
actually	RB	actually
be	VB	be
able	JJ	able
to	TO	to
sit	VB	sit
down	RP	down
and	CC	and
design	VB	design
species	NNS	specie
in	IN	in
the	DT	the
computer	NN	computer
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
necessarily	RB	necessarily
what	WP	what
it	PP	it
'	POS	'
ll	NNS	<unknown>
look	VBP	look
like	IN	like
:	:	:
we	PP	we
know	VBP	know
exactly	RB	exactly
what	WP	what
their	PP$	their
genetic	JJ	genetic
code	NN	code
looks	VBZ	look
like	IN	like
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
focusing	VBG	focus
on	IN	on
now	RB	now
fourth-generation	NN	fourth-generation
fuels	NNS	fuel
.	SENT	.
You	PP	you
'	POS	'
ve	NNS	<unknown>
seen	VBN	see
recently	RB	recently
,	,	,
corn	NN	corn
to	TO	to
ethanol	NN	ethanol
is	VBZ	be
just	RB	just
a	DT	a
bad	JJ	bad
experiment	NN	experiment
.	SENT	.
We	PP	we
have	VBP	have
second-	JJ	second-
and	CC	and
third-	NN	third-
generation	NN	generation
fuels	NNS	fuel
that	WDT	that
will	MD	will
be	VB	be
coming	VBG	come
out	RP	out
relatively	RB	relatively
soon	RB	soon
that	IN	that
are	NN	are
sugar	NN	sugar
,	,	,
to	TO	to
much	JJ	much
higher-value	JJ	higher-value
fuels	NNS	fuel
like	IN	like
octane	NN	octane
or	CC	or
different	JJ	different
types	NNS	type
of	IN	of
butanol	NN	butanol
.	SENT	.
But	CC	but
the	DT	the
only	JJ	only
way	NN	way
we	PP	we
think	VBP	think
that	IN	that
biology	NN	biology
can	MD	can
have	VB	have
a	DT	a
major	JJ	major
impact	NN	impact
without	IN	without
further	JJR	further
increasing	VBG	increase
the	DT	the
cost	NN	cost
of	IN	of
food	NN	food
and	CC	and
limiting	VBG	limit
its	PP$	its
availability	NN	availability
is	VBZ	be
if	IN	if
we	PP	we
start	VBP	start
with	IN	with
CO2	NP	<unknown>
as	IN	as
its	PP$	its
feedstock	NN	feedstock
,	,	,
and	CC	and
so	IN	so
we	PP	we
'	POS	'
re	NN	re
working	VBG	work
with	IN	with
designing	VBG	design
cells	NNS	cell
to	TO	to
go	VB	go
down	RP	down
this	DT	this
road	NN	road
.	SENT	.
And	CC	and
we	PP	we
think	VBP	think
we	PP	we
'	''	'
ll	NNS	<unknown>
have	VBP	have
the	DT	the
first	JJ	first
fourth-generation	NN	fourth-generation
fuels	NNS	fuel
in	IN	in
about	RB	about
18	CD	@card@
months	NNS	month
.	SENT	.
Sunlight	NP	Sunlight
and	CC	and
CO2	NP	<unknown>
is	VBZ	be
one	CD	one
method	NN	method
.	SENT	.
.	SENT	.
.	SENT	.
but	CC	but
in	IN	in
our	PP$	our
discovery	NN	discovery
around	IN	around
the	DT	the
world	NN	world
,	,	,
we	PP	we
have	VBP	have
all	DT	all
kinds	NNS	kind
of	IN	of
other	JJ	other
methods	NNS	method
.	SENT	.
This	DT	this
is	VBZ	be
an	DT	an
organism	NN	organism
we	PP	we
described	VBD	describe
in	IN	in
1996	CD	@card@
.	SENT	.
It	PP	it
lives	VBZ	live
in	IN	in
the	DT	the
deep	JJ	deep
ocean	NN	ocean
,	,	,
about	IN	about
a	DT	a
mile	NN	mile
and	CC	and
a	DT	a
half	NN	half
deep	RB	deep
,	,	,
almost	RB	almost
at	IN	at
boiling-water	NN	boiling-water
temperatures	NNS	temperature
.	SENT	.
It	PP	it
takes	VBZ	take
CO2	NP	<unknown>
to	TO	to
methane	NN	methane
using	VBG	use
molecular	JJ	molecular
hydrogen	NN	hydrogen
as	IN	as
its	PP$	its
energy	NN	energy
source	NN	source
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
looking	VBG	look
to	TO	to
see	VB	see
if	IN	if
we	PP	we
can	MD	can
take	VB	take
captured	VBN	capture
CO2	NN	<unknown>
,	,	,
which	WDT	which
can	MD	can
easily	RB	easily
be	VB	be
piped	VBN	pipe
to	TO	to
sites	NNS	site
,	,	,
convert	VBP	convert
that	IN	that
CO2	NP	<unknown>
back	RB	back
into	IN	into
fuel	NN	fuel
to	TO	to
drive	VB	drive
this	DT	this
process	NN	process
.	SENT	.
So	RB	so
,	,	,
in	IN	in
a	DT	a
short	JJ	short
period	NN	period
of	IN	of
time	NN	time
,	,	,
we	PP	we
think	VBP	think
that	IN	that
we	PP	we
might	MD	might
be	VB	be
able	JJ	able
to	TO	to
increase	VB	increase
what	WP	what
the	DT	the
basic	JJ	basic
question	NN	question
is	VBZ	be
of	IN	of
"	``	"
What	WP	what
is	VBZ	be
life	NN	life
?	SENT	?
"	``	"
We	PP	we
truly	RB	truly
,	,	,
you	PP	you
know	VBP	know
,	,	,
have	VBP	have
modest	JJ	modest
goals	NNS	goal
of	IN	of
replacing	VBG	replace
the	DT	the
whole	JJ	whole
petrol-chemical	JJ	petrol-chemical
industry	NN	industry
â	NP	<unknown>
Yeah	RB	yeah
.	SENT	.
If	IN	if
you	PP	you
can	MD	can
'	''	'
t	NN	t
do	VBP	do
that	IN	that
at	IN	at
TED	VB	ted
,	,	,
where	WRB	where
can	MD	can
you	PP	you
?	SENT	?
â	NP	<unknown>
become	VBP	become
a	DT	a
major	JJ	major
source	NN	source
of	IN	of
energy	NN	energy
.	SENT	.
.	SENT	.
.	SENT	.
But	CC	but
also	RB	also
,	,	,
we	PP	we
'	POS	'
re	NN	re
now	RB	now
working	VBG	work
on	IN	on
using	VBG	use
these	DT	these
same	JJ	same
tools	NNS	tool
to	TO	to
come	VB	come
up	RP	up
with	IN	with
instant	JJ	instant
sets	NNS	set
of	IN	of
vaccines	NNS	vaccine
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
seen	VBN	see
this	DT	this
year	NN	year
with	IN	with
flu	NN	flu
;	:	;
we	PP	we
'	POS	'
re	NN	re
always	RB	always
a	DT	a
year	NN	year
behind	IN	behind
and	CC	and
a	DT	a
dollar	NN	dollar
short	RB	short
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
the	DT	the
right	JJ	right
vaccine	NN	vaccine
.	SENT	.
I	PP	I
think	VBP	think
that	IN	that
can	MD	can
be	VB	be
changed	VBN	change
by	IN	by
building	VBG	build
combinatorial	JJ	combinatorial
vaccines	NNS	vaccine
in	IN	in
advance	NN	advance
.	SENT	.
Here	RB	here
'	''	'
s	NNS	<unknown>
what	WP	what
the	DT	the
future	NN	future
may	MD	may
begin	VB	begin
to	TO	to
look	VB	look
like	IN	like
with	IN	with
changing	VBG	change
,	,	,
now	RB	now
,	,	,
the	DT	the
evolutionary	JJ	evolutionary
tree	NN	tree
,	,	,
speeding	VBG	speed
up	RP	up
evolution	NN	evolution
with	IN	with
synthetic	JJ	synthetic
bacteria	NNS	bacterium
,	,	,
Archaea	NP	<unknown>
and	CC	and
,	,	,
eventually	RB	eventually
,	,	,
eukaryotes	NNS	<unknown>
.	SENT	.
We	PP	we
'	''	'
re	IN	re
a	DT	a
ways	NNS	way
away	RB	away
from	IN	from
improving	VBG	improve
people	NNS	people
:	:	:
our	PP$	our
goal	NN	goal
is	VBZ	be
just	RB	just
to	TO	to
make	VB	make
sure	JJ	sure
that	IN	that
we	PP	we
have	VBP	have
a	DT	a
chance	NN	chance
to	TO	to
survive	VB	survive
long	RB	long
enough	JJ	enough
to	TO	to
maybe	RB	maybe
do	VB	do
that	DT	that
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
