Here	RB	here
domain	NN	domain
,	,	,
can	MD	can
change	VB	change
the	DT	the
character	NN	character
of	IN	of
the	DT	the
goods	NNS	good
themselves	PP	themselves
,	,	,
can	MD	can
change	VB	change
the	DT	the
meaning	NN	meaning
of	IN	of
the	DT	the
social	JJ	social
practices	NNS	practice
,	,	,
as	RB	as
in	IN	in
the	DT	the
example	NN	example
of	IN	of
teaching	VBG	teach
and	CC	and
learning	VBG	learn
,	,	,
we	PP	we
have	VBP	have
to	TO	to
ask	VB	ask
where	WRB	where
markets	NNS	market
belong	VBP	belong
and	CC	and
where	WRB	where
they	PP	they
don	VBP	don
'	''	'
t	NN	t
,	,	,
where	WRB	where
they	PP	they
may	MD	may
actually	RB	actually
undermine	VB	undermine
values	NNS	value
and	CC	and
attitudes	NNS	attitude
worth	JJ	worth
caring	NN	caring
about	RB	about
.	SENT	.
But	CC	but
to	TO	to
have	VB	have
this	DT	this
debate	NN	debate
,	,	,
we	PP	we
have	VBP	have
to	TO	to
do	VB	do
something	NN	something
we	PP	we
'	POS	'
re	NN	re
not	RB	not
very	RB	very
good	JJ	good
at	IN	at
,	,	,
and	CC	and
that	WDT	that
is	VBZ	be
to	TO	to
reason	VB	reason
together	RB	together
in	IN	in
public	NN	public
about	IN	about
the	DT	the
value	NN	value
and	CC	and
the	DT	the
meaning	NN	meaning
of	IN	of
the	DT	the
social	JJ	social
practices	NNS	practice
we	PP	we
prize	VBP	prize
,	,	,
from	IN	from
our	PP$	our
bodies	NNS	body
to	TO	to
family	NN	family
life	NN	life
to	TO	to
personal	JJ	personal
relations	NNS	relation
to	TO	to
health	NN	health
to	TO	to
teaching	VBG	teach
and	CC	and
learning	VBG	learn
to	TO	to
civic	JJ	civic
life	NN	life
.	SENT	.
Now	RB	now
these	DT	these
are	VBP	be
controversial	JJ	controversial
questions	NNS	question
,	,	,
and	CC	and
so	RB	so
we	PP	we
tend	VBP	tend
to	TO	to
shrink	VB	shrink
from	IN	from
them	PP	them
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
during	IN	during
the	DT	the
past	JJ	past
three	CD	three
decades	NNS	decade
,	,	,
when	WRB	when
market	NN	market
reasoning	NN	reasoning
and	CC	and
market	NN	market
thinking	NN	thinking
have	VBP	have
gathered	VBN	gather
force	NN	force
and	CC	and
gained	VBD	gain
prestige	NN	prestige
,	,	,
our	PP$	our
public	JJ	public
discourse	NN	discourse
during	IN	during
this	DT	this
time	NN	time
has	VBZ	have
become	VBN	become
hollowed	VBN	hollow
out	RP	out
,	,	,
empty	JJ	empty
of	IN	of
larger	JJR	large
moral	JJ	moral
meaning	NN	meaning
.	SENT	.
For	IN	for
fear	NN	fear
of	IN	of
disagreement	NN	disagreement
,	,	,
we	PP	we
shrink	VBP	shrink
from	IN	from
these	DT	these
questions	NNS	question
.	SENT	.
But	CC	but
once	RB	once
we	PP	we
see	VBP	see
that	IN	that
markets	NNS	market
change	VB	change
the	DT	the
character	NN	character
of	IN	of
goods	NNS	good
,	,	,
we	PP	we
have	VBP	have
to	TO	to
debate	VB	debate
among	IN	among
ourselves	PP	ourselves
these	DT	these
bigger	JJR	big
questions	NNS	question
about	IN	about
how	WRB	how
to	TO	to
value	NN	value
goods	NNS	good
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
most	RBS	most
corrosive	JJ	corrosive
effects	NNS	effect
of	IN	of
putting	VBG	put
a	DT	a
price	NN	price
on	IN	on
everything	NN	everything
is	VBZ	be
on	IN	on
commonality	NN	commonality
,	,	,
the	DT	the
sense	NN	sense
that	IN	that
we	PP	we
are	VBP	be
all	RB	all
in	IN	in
it	PP	it
together	RB	together
.	SENT	.
Against	IN	against
the	DT	the
background	NN	background
of	IN	of
rising	VBG	rise
inequality	NN	inequality
,	,	,
marketizing	VBG	<unknown>
every	DT	every
aspect	NN	aspect
of	IN	of
life	NN	life
leads	VBZ	lead
to	TO	to
a	DT	a
condition	NN	condition
where	WRB	where
those	DT	those
who	WP	who
are	VBP	be
affluent	JJ	affluent
and	CC	and
those	DT	those
who	WP	who
are	VBP	be
of	IN	of
modest	JJ	modest
means	NNS	mean
increasingly	RB	increasingly
live	VBP	live
separate	JJ	separate
lives	NNS	life
.	SENT	.
We	PP	we
live	VBP	live
and	CC	and
work	VBP	work
and	CC	and
shop	VBP	shop
and	CC	and
play	VBP	play
in	IN	in
different	JJ	different
places	NNS	place
.	SENT	.
Our	PP$	our
children	NNS	child
go	VBP	go
to	TO	to
different	JJ	different
schools	NNS	school
.	SENT	.
This	DT	this
isn	NN	isn
'	POS	'
t	NN	t
good	JJ	good
for	IN	for
democracy	NN	democracy
,	,	,
nor	CC	nor
is	VBZ	be
it	PP	it
a	DT	a
satisfying	JJ	satisfying
way	NN	way
to	TO	to
live	VB	live
,	,	,
even	RB	even
for	IN	for
those	DT	those
of	IN	of
us	PP	us
who	WP	who
can	MD	can
afford	VB	afford
to	TO	to
buy	VB	buy
our	PP$	our
way	NN	way
to	TO	to
the	DT	the
head	NN	head
of	IN	of
the	DT	the
line	NN	line
.	SENT	.
Here	RB	here
'	POS	'
s	NN	S
why	WRB	why
.	SENT	.
Democracy	NN	democracy
does	VBZ	do
not	RB	not
require	VB	require
perfect	JJ	perfect
equality	NN	equality
,	,	,
but	CC	but
what	WP	what
it	PP	it
does	VBZ	do
require	VB	require
is	VBZ	be
that	IN	that
citizens	NNS	citizen
share	VBP	share
in	IN	in
a	DT	a
common	JJ	common
life	NN	life
.	SENT	.
What	WP	what
matters	VBZ	matter
is	VBZ	be
that	IN	that
people	NNS	people
of	IN	of
different	JJ	different
social	JJ	social
backgrounds	NNS	background
and	CC	and
different	JJ	different
walks	NNS	walk
of	IN	of
life	NN	life
encounter	VB	encounter
one	PP	one
another	DT	another
,	,	,
bump	VB	bump
up	RP	up
against	IN	against
one	CD	one
another	DT	another
in	IN	in
the	DT	the
ordinary	JJ	ordinary
course	NN	course
of	IN	of
life	NN	life
,	,	,
because	IN	because
this	DT	this
is	VBZ	be
what	WP	what
teaches	VBZ	teach
us	PP	us
to	TO	to
negotiate	VB	negotiate
and	CC	and
to	TO	to
abide	VB	abide
our	PP$	our
differences	NNS	difference
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
how	WRB	how
we	PP	we
come	VBP	come
to	TO	to
care	VB	care
for	IN	for
the	DT	the
common	JJ	common
good	NN	good
.	SENT	.
And	CC	and
so	RB	so
,	,	,
in	IN	in
the	DT	the
end	NN	end
,	,	,
the	DT	the
question	NN	question
of	IN	of
markets	NNS	market
is	VBZ	be
not	RB	not
mainly	RB	mainly
an	DT	an
economic	JJ	economic
question	NN	question
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
really	RB	really
a	DT	a
question	NN	question
of	IN	of
how	WRB	how
we	PP	we
want	VBP	want
to	TO	to
live	VB	live
together	RB	together
.	SENT	.
Do	VB	do
we	PP	we
want	VB	want
a	DT	a
society	NN	society
where	WRB	where
everything	NN	everything
is	VBZ	be
up	RB	up
for	IN	for
sale	NN	sale
,	,	,
or	CC	or
are	VBP	be
there	RB	there
certain	JJ	certain
moral	JJ	moral
and	CC	and
civic	JJ	civic
goods	NNS	good
that	WDT	that
markets	NNS	market
do	VBP	do
not	RB	not
honor	VB	honor
and	CC	and
money	NN	money
cannot	MD	can
buy	VB	buy
?	SENT	?
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
