June	NP	June
ve	RB	<unknown>
been	VBN	be
doing	VBG	do
it	PP	it
for	IN	for
years	NNS	year
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
led	VBD	lead
to	TO	to
major	JJ	major
operational	JJ	operational
efficiency	NN	efficiency
improvements	NNS	improvement
.	SENT	.
Just	RB	just
try	VB	try
to	TO	to
imagine	VB	imagine
your	PP$	your
favorite	JJ	favorite
beverage	NN	beverage
company	NN	company
trying	VBG	try
to	TO	to
plan	VB	plan
their	PP$	their
inventory	NN	inventory
and	CC	and
not	RB	not
knowing	VBG	know
how	WRB	how
many	JJ	many
bottles	NNS	bottle
were	VBD	be
on	IN	on
the	DT	the
shelves	NNS	shelf
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
absurd	JJ	absurd
.	SENT	.
Data	NP	Data
drives	VBZ	drive
better	JJR	good
decisions	NNS	decision
.	SENT	.
Now	RB	now
,	,	,
if	IN	if
you	PP	you
'	POS	'
re	NN	re
representing	VBG	represent
a	DT	a
company	NN	company
,	,	,
and	CC	and
you	PP	you
'	POS	'
re	NN	re
pragmatic	JJ	pragmatic
and	CC	and
not	RB	not
just	RB	just
idealistic	JJ	idealistic
,	,	,
you	PP	you
might	MD	might
be	VB	be
saying	VBG	say
to	TO	to
yourself	PP	yourself
,	,	,
"	``	"
OK	UH	OK
,	,	,
this	DT	this
is	VBZ	be
all	DT	all
great	JJ	great
,	,	,
Mallory	NP	Mallory
,	,	,
but	CC	but
why	WRB	why
should	MD	should
I	PP	I
want	VBP	want
to	TO	to
be	VB	be
involved	VBN	involve
?	SENT	?
"	''	"
Well	RB	well
for	IN	for
one	CD	one
thing	NN	thing
,	,	,
beyond	IN	beyond
the	DT	the
good	JJ	good
PR	NP	PR
,	,	,
humanitarian	JJ	humanitarian
aid	NN	aid
is	VBZ	be
a	DT	a
24-billion-dollar	JJ	24-billion-dollar
sector	NN	sector
,	,	,
and	CC	and
there	EX	there
'	''	'
s	NN	S
over	IN	over
five	CD	five
billion	NN	billion
people	NNS	people
,	,	,
maybe	RB	maybe
your	PP$	your
next	JJ	next
customers	NNS	customer
,	,	,
that	WDT	that
live	VBP	live
in	IN	in
the	DT	the
developing	VBG	develop
world	NN	world
.	SENT	.
Further	RBR	further
,	,	,
companies	NNS	company
that	WDT	that
are	VBP	be
engaging	VBG	engage
in	IN	in
data	NN	data
philanthropy	NN	philanthropy
,	,	,
they	PP	they
'	POS	'
re	NN	re
finding	VBG	find
new	JJ	new
insights	NNS	insight
locked	VBN	lock
away	RB	away
in	IN	in
their	PP$	their
data	NNS	datum
.	SENT	.
Take	VB	take
,	,	,
for	IN	for
example	NN	example
,	,	,
a	DT	a
credit	NN	credit
card	NN	card
company	NN	company
that	RB	that
'	POS	'
s	NN	S
opened	VBD	open
up	RP	up
a	DT	a
center	NN	center
that	IN	that
functions	NNS	function
as	IN	as
a	DT	a
hub	NN	hub
for	IN	for
academics	NNS	academic
,	,	,
for	IN	for
NGOs	NNS	Ngo
and	CC	and
governments	NNS	government
,	,	,
all	RB	all
working	VBG	work
together	RB	together
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
looking	VBG	look
at	IN	at
information	NN	information
in	IN	in
credit	NN	credit
card	NN	card
swipes	NNS	swipe
and	CC	and
using	VBG	use
that	IN	that
to	TO	to
find	VB	find
insights	NNS	insight
about	RB	about
how	WRB	how
households	NNS	household
in	IN	in
India	NP	India
live	VBP	live
,	,	,
work	VB	work
,	,	,
earn	VB	earn
and	CC	and
spend	VB	spend
.	SENT	.
For	IN	for
the	DT	the
humanitarian	JJ	humanitarian
world	NN	world
,	,	,
this	DT	this
provides	VBZ	provide
information	NN	information
about	IN	about
how	WRB	how
you	PP	you
might	MD	might
bring	VB	bring
people	NNS	people
out	RP	out
of	IN	of
poverty	NN	poverty
.	SENT	.
But	CC	but
for	IN	for
companies	NNS	company
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
providing	VBG	provide
insights	NNS	insight
about	IN	about
your	PP$	your
customers	NNS	customer
and	CC	and
potential	JJ	potential
customers	NNS	customer
in	IN	in
India	NP	India
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
win	VBP	win
all	RB	all
around	RB	around
.	SENT	.
Now	RB	now
,	,	,
for	IN	for
me	PP	me
,	,	,
what	WP	what
I	PP	I
find	VBP	find
exciting	JJ	exciting
about	IN	about
data	NN	data
philanthropy	NN	philanthropy
—	:	-
donating	VBG	donate
data	NNS	datum
,	,	,
donating	VBG	donate
decision	NN	decision
scientists	NNS	scientist
and	CC	and
donating	VBG	donate
technology	NN	technology
—	:	-
it	PP	it
'	POS	'
s	VBG	<unknown>
what	WP	what
it	PP	it
means	VBZ	mean
for	IN	for
young	JJ	young
professionals	NNS	professional
like	IN	like
me	PP	me
who	WP	who
are	VBP	be
choosing	VBG	choose
to	TO	to
work	VB	work
at	IN	at
companies	NNS	company
.	SENT	.
Studies	NNS	study
show	VBP	show
that	IN	that
the	DT	the
next	JJ	next
generation	NN	generation
of	IN	of
the	DT	the
workforce	NN	workforce
care	NN	care
about	IN	about
having	VBG	have
their	PP$	their
work	NN	work
make	VB	make
a	DT	a
bigger	JJR	big
impact	NN	impact
.	SENT	.
We	PP	we
want	VBP	want
to	TO	to
make	VB	make
a	DT	a
difference	NN	difference
,	,	,
and	CC	and
so	RB	so
through	IN	through
data	NN	data
philanthropy	NN	philanthropy
,	,	,
companies	NNS	company
can	MD	can
actually	RB	actually
help	VB	help
engage	VB	engage
and	CC	and
retain	VB	retain
their	PP$	their
decision	NN	decision
scientists	NNS	scientist
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
a	DT	a
big	JJ	big
deal	NN	deal
for	IN	for
a	DT	a
profession	NN	profession
that	RB	that
'	POS	'
s	NN	S
in	IN	in
high	JJ	high
demand	NN	demand
.	SENT	.
Data	NP	Data
philanthropy	NN	philanthropy
makes	VBZ	make
good	JJ	good
business	NN	business
sense	NN	sense
,	,	,
and	CC	and
it	PP	it
also	RB	also
can	MD	can
help	VB	help
revolutionize	VB	revolutionize
the	DT	the
humanitarian	JJ	humanitarian
world	NN	world
.	SENT	.
If	IN	if
we	PP	we
coordinated	VBD	coordinate
the	DT	the
planning	NN	planning
and	CC	and
logistics	NNS	logistic
across	IN	across
all	DT	all
of	IN	of
the	DT	the
major	JJ	major
facets	NNS	facet
of	IN	of
a	DT	a
humanitarian	JJ	humanitarian
operation	NN	operation
,	,	,
we	PP	we
could	MD	could
feed	VB	feed
,	,	,
clothe	VB	clothe
and	CC	and
shelter	VB	shelter
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
more	JJR	more
people	NNS	people
,	,	,
and	CC	and
companies	NNS	company
need	VBP	need
to	TO	to
step	VB	step
up	RP	up
and	CC	and
play	VB	play
the	DT	the
role	NN	role
that	IN	that
I	PP	I
know	VBP	know
they	PP	they
can	MD	can
in	IN	in
bringing	VBG	bring
about	IN	about
this	DT	this
revolution	NN	revolution
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
probably	RB	probably
heard	VBN	hear
of	IN	of
the	DT	the
saying	VBG	say
"	``	"
food	NN	food
for	IN	for
thought	NN	thought
.	SENT	.
"	''	"
Well	RB	well
,	,	,
this	DT	this
is	VBZ	be
literally	RB	literally
thought	VBN	think
for	IN	for
food	NN	food
.	SENT	.
It	PP	it
finally	RB	finally
is	VBZ	be
the	DT	the
right	JJ	right
idea	NN	idea
at	IN	at
the	DT	the
right	JJ	right
time	NN	time
.	SENT	.
Tr��s	NP	<unknown>
magnifique	NN	<unknown>
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
