Yeah	RB	yeah
Fire	NN	fire
!	SENT	!
Fire	NN	fire
!	SENT	!
Help	VB	help
me	PP	me
!	SENT	!
Somebody	NN	somebody
help	VB	help
me	PP	me
!	SENT	!
"	''	"
And	CC	and
the	DT	the
next	JJ	next
thing	NN	thing
is	VBZ	be
paralysis	NN	paralysis
.	SENT	.
I	PP	I
feel	VBP	feel
it	PP	it
in	IN	in
the	DT	the
back	RB	back
and	CC	and
then	RB	then
I	PP	I
feel	VBP	feel
it	PP	it
in	IN	in
the	DT	the
chest	NN	chest
up	RB	up
here	RB	here
,	,	,
and	CC	and
I	PP	I
can	MD	can
'	''	'
t	NN	t
breathe	VB	breathe
.	SENT	.
And	CC	and
now	RB	now
I	NP	I
'	POS	'
m	NN	m
not	RB	not
swimming	VBG	swim
with	IN	with
a	DT	a
nice	JJ	nice
long	JJ	long
stroke	NN	stroke
,	,	,
I	PP	I
'	POS	'
m	NN	m
sort	NN	sort
of	IN	of
crabbing	VBG	crab
it	PP	it
this	DT	this
way	NN	way
.	SENT	.
Then	RB	then
come	VBN	come
convulsions	NNS	convulsion
.	SENT	.
A	DT	a
young	JJ	young
man	NN	man
on	IN	on
our	PP$	our
boat	NN	boat
is	VBZ	be
an	DT	an
EMT	NN	EMT
.	SENT	.
He	PP	he
dives	VBZ	dive
in	RP	in
to	TO	to
try	VB	try
to	TO	to
help	VB	help
me	PP	me
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
stung	VBD	sting
.	SENT	.
They	PP	they
drag	VBP	drag
him	PP	him
out	RP	out
on	IN	on
the	DT	the
boat	NN	boat
,	,	,
and	CC	and
he	PP	he
'	POS	'
s	NN	S
—	:	-
evidently	RB	evidently
,	,	,
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
see	VBP	see
any	DT	any
of	IN	of
this	DT	this
—	:	-
but	CC	but
lying	VBG	lie
on	IN	on
the	DT	the
boat	NN	boat
and	CC	and
giving	VBG	give
himself	PP	himself
epinephrine	NN	epinephrine
shots	NNS	shot
and	CC	and
crying	VBG	cry
out	RP	out
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
29	CD	@card@
years	NNS	year
old	JJ	old
,	,	,
very	RB	very
well-built	NP	well-built
,	,	,
lean	JJ	lean
,	,	,
he	PP	he
'	POS	'
s	NNS	<unknown>
six-foot	JJ	six-foot
,	,	,
five	CD	five
,	,	,
weighs	VBZ	weigh
265	CD	@card@
lbs	NNS	<unknown>
.	SENT	.
,	,	,
and	CC	and
he	PP	he
is	VBZ	be
down	RB	down
.	SENT	.
And	CC	and
he	PP	he
is	VBZ	be
crying	VBG	cry
and	CC	and
he	PP	he
'	POS	'
s	NNS	<unknown>
yelling	VBG	yell
to	TO	to
my	PP$	my
trainer	NN	trainer
who	WP	who
'	POS	'
s	NNS	<unknown>
trying	VBG	try
to	TO	to
help	VB	help
me	PP	me
.	SENT	.
And	CC	and
he	PP	he
'	POS	'
s	NN	S
saying	VBG	say
,	,	,
"	''	"
Bonnie	NP	Bonnie
,	,	,
I	PP	I
think	VBP	think
I	PP	I
'	''	'
m	NN	m
going	VBG	go
to	TO	to
die	VB	die
.	SENT	.
My	PP$	my
breath	NN	breath
is	VBZ	be
down	RB	down
to	TO	to
three	CD	three
breaths	NNS	breath
a	DT	a
minute	NN	minute
.	SENT	.
I	PP	I
need	MD	need
help	VB	help
,	,	,
and	CC	and
I	PP	I
can	MD	can
'	''	'
t	NN	t
help	NN	help
Diana	NP	Diana
.	SENT	.
"	``	"
So	IN	so
that	WDT	that
was	VBD	be
at	IN	at
eight	CD	eight
o	NN	o
'	POS	'
clock	NN	clock
at	IN	at
night	NN	night
.	SENT	.
The	DT	the
doctor	NN	doctor
,	,	,
medical	JJ	medical
team	NN	team
from	IN	from
University	NP	University
of	IN	of
Miami	NP	Miami
arrived	VBD	arrive
at	IN	at
five	CD	five
in	IN	in
the	DT	the
morning	NN	morning
.	SENT	.
So	RB	so
I	PP	I
swam	VBD	swim
through	IN	through
the	DT	the
night	NN	night
,	,	,
and	CC	and
at	IN	at
dawn	NN	dawn
they	PP	they
got	VBD	get
there	RB	there
and	CC	and
they	PP	they
started	VBD	start
with	IN	with
prednisone	NN	prednisone
shots	NNS	shot
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
get	VB	get
out	RP	out
,	,	,
but	CC	but
was	VBD	be
in	IN	in
the	DT	the
water	NN	water
taking	VBG	take
prednisone	NN	prednisone
shots	NNS	shot
,	,	,
taking	VBG	take
Xanax	NP	Xanax
,	,	,
oxygen	NN	oxygen
to	TO	to
the	DT	the
face	NN	face
.	SENT	.
It	PP	it
was	VBD	be
like	IN	like
an	DT	an
ICU	NP	ICU
unit	NN	unit
in	IN	in
the	DT	the
water	NN	water
.	SENT	.
And	CC	and
I	PP	I
guess	VBP	guess
the	DT	the
story	NN	story
is	VBZ	be
that	IN	that
even	RB	even
Navy	NP	Navy
SEALS	NNS	seal
who	WP	who
are	VBP	be
stung	VBN	sting
by	IN	by
the	DT	the
box	NN	box
jelly	NN	jelly
,	,	,
they	PP	they
'	POS	'
re	NN	re
done	VBN	do
.	SENT	.
They	PP	they
either	RB	either
die	VBP	die
or	CC	or
they	PP	they
quickly	RB	quickly
get	VBP	get
to	TO	to
a	DT	a
hospital	NN	hospital
.	SENT	.
And	CC	and
I	PP	I
swam	VBD	swim
through	IN	through
the	DT	the
night	NN	night
and	CC	and
I	PP	I
swam	VBD	swim
through	IN	through
the	DT	the
next	JJ	next
day	NN	day
.	SENT	.
And	CC	and
the	DT	the
next	JJ	next
night	NN	night
at	IN	at
dusk	NN	dusk
,	,	,
again	RB	again
,	,	,
wham	NN	wham
!	SENT	!
The	DT	the
box	NN	box
jelly	NN	jelly
again	RB	again
—	:	-
all	DT	all
across	IN	across
the	DT	the
neck	NN	neck
,	,	,
all	RB	all
across	IN	across
here	RB	here
.	SENT	.
And	CC	and
this	DT	this
time	NN	time
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
like	IN	like
it	PP	it
,	,	,
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
give	VB	give
into	IN	into
it	PP	it
,	,	,
but	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
difference	NN	difference
between	IN	between
a	DT	a
non-stop	JJ	non-stop
swim	NN	swim
and	CC	and
a	DT	a
staged	VBN	stage
swim	NN	swim
.	SENT	.
And	CC	and
I	PP	I
gave	VBD	give
in	IN	in
to	TO	to
the	DT	the
staged	VBN	stage
swim	NN	swim
.	SENT	.
And	CC	and
they	PP	they
got	VBD	get
me	PP	me
out	RP	out
and	CC	and
they	PP	they
started	VBD	start
again	RB	again
with	IN	with
the	DT	the
epinephrine	NN	epinephrine
and	CC	and
the	DT	the
prednisone	NN	prednisone
and	CC	and
with	IN	with
the	DT	the
oxygen	NN	oxygen
and	CC	and
with	IN	with
everything	NN	everything
they	PP	they
had	VBD	have
on	IN	on
board	NN	board
.	SENT	.
And	CC	and
I	PP	I
got	VBD	get
back	RB	back
in	IN	in
.	SENT	.
And	CC	and
I	PP	I
swam	VBD	swim
through	IN	through
that	DT	that
night	NN	night
and	CC	and
into	IN	into
the	DT	the
next	JJ	next
day	NN	day
.	SENT	.
And	CC	and
at	IN	at
41	CD	@card@
hours	NNS	hour
,	,	,
this	DT	this
body	NN	body
couldn	NN	<unknown>
'	POS	'
t	NN	t
make	VB	make
it	PP	it
.	SENT	.
The	DT	the
devastation	NN	devastation
of	IN	of
those	DT	those
stings	NNS	sting
had	VBD	have
taken	VBN	take
the	DT	the
respiratory	JJ	respiratory
system	NN	system
down	RB	down
so	RB	so
that	IN	that
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
make	VB	make
the	DT	the
progress	NN	progress
I	PP	I
wanted	VBD	want
.	SENT	.
And	CC	and
the	DT	the
dream	NN	dream
was	VBD	be
crushed	VBN	crush
.	SENT	.
And	CC	and
how	WRB	how
odd	NN	odd
is	VBZ	be
this	DT	this
intelligent	JJ	intelligent
person	NN	person
who	WP	who
put	VBD	put
this	DT	this
together	RB	together
and	CC	and
got	VBD	get
all	PDT	all
these	DT	these
world	NN	world
experts	NNS	expert
together	RB	together
.	SENT	.
And	CC	and
I	PP	I
knew	VBD	know
about	IN	about
the	DT	the
jellyfish	NN	jellyfish
,	,	,
but	CC	but
I	PP	I
was	VBD	be
sort	NN	sort
of	IN	of
cavalier	JJ	cavalier
.	SENT	.
A	DT	a
lot	NN	lot
of	IN	of
athletes	NNS	athlete
have	VBP	have
this	DT	this
,	,	,
you	PP	you
know	VBP	know
,	,	,
sort	NN	sort
of	IN	of
invincibility	NN	invincibility
.	SENT	.
They	PP	they
should	MD	should
worry	VB	worry
about	IN	about
me	PP	me
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
worry	VBP	worry
about	IN	about
them	PP	them
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
just	RB	just
swim	VBP	swim
right	RB	right
through	IN	through
them	PP	them
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
benadryl	NN	<unknown>
on	IN	on
board	NN	board
.	SENT	.
If	IN	if
I	PP	I
get	VBP	get
stung	VBN	sting
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
just	RB	just
grin	VB	grin
and	CC	and
bear	VB	bear
it	PP	it
.	SENT	.
Well	RB	well
there	EX	there
was	VBD	be
no	DT	no
grin	NN	grin
and	CC	and
bearing	VBG	bear
this	DT	this
.	SENT	.
As	IN	as
a	DT	a
matter	NN	matter
of	IN	of
fact	NN	fact
,	,	,
the	DT	the
best	JJS	good
advice	NN	advice
I	PP	I
got	VBD	get
was	VBD	be
from	IN	from
an	DT	an
elementary	JJ	elementary
school	NN	school
class	NN	class
in	IN	in
the	DT	the
Caribbean	NP	Caribbean
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
telling	VBG	tell
these	DT	these
kids	NNS	kid
,	,	,
120	CD	@card@
of	IN	of
them	PP	them
—	:	-
they	PP	they
were	VBD	be
all	DT	all
in	IN	in
the	DT	the
school	NN	school
on	IN	on
the	DT	the
gymnasium	NN	gymnasium
floor	NN	floor
—	:	-
and	CC	and
I	PP	I
was	VBD	be
telling	VBG	tell
them	PP	them
about	IN	about
the	DT	the
jellyfish	NN	jellyfish
and	CC	and
how	WRB	how
they	PP	they
'	POS	'
re	NN	re
gelatinous	JJ	gelatinous
and	CC	and
you	PP	you
can	MD	can
'	''	'
t	NN	t
see	VB	see
them	PP	them
at	IN	at
night	NN	night
especially	RB	especially
.	SENT	.
And	CC	and
they	PP	they
have	VBP	have
these	DT	these
long	JJ	long
30	CD	@card@
to	TO	to
40	CD	@card@
to	TO	to
50-ft	NN	<unknown>
.	SENT	.
tentacles	NNS	tentacle
.	SENT	.
And	CC	and
they	PP	they
do	VBP	do
this	DT	this
wrapping	NN	wrapping
.	SENT	.
And	CC	and
they	PP	they
can	MD	can
send	VB	send
the	DT	the
poison	NN	poison
into	IN	into
the	DT	the
system	NN	system
.	SENT	.
And	CC	and
a	DT	a
little	JJ	little
kid	NN	kid
from	IN	from
the	DT	the
back	NN	back
was	VBD	be
like	IN	like
this	DT	this
.	SENT	.
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
What	WP	what
'	''	'
s	VBG	<unknown>
your	PP$	your
name	NN	name
?	SENT	?
"	''	"
"	``	"
Henry	NP	Henry
.	SENT	.
"	''	"
"	``	"
Henry	NP	Henry
,	,	,
what	WP	what
'	''	'
s	VBG	<unknown>
your	PP$	your
question	NN	question
?	SENT	?
"	''	"
He	PP	he
said	VBD	say
,	,	,
"	``	"
Well	UH	well
,	,	,
I	PP	I
didn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
a	DT	a
question	NN	question
so	RB	so
much	RB	much
as	IN	as
I	PP	I
had	VBD	have
a	DT	a
suggestion	NN	suggestion
.	SENT	.
"	''	"
He	PP	he
said	VBD	say
,	,	,
"	``	"
You	PP	you
know	VBP	know
those	DT	those
guys	NNS	guy
who	WP	who
really	RB	really
believe	VBP	believe
in	IN	in
what	WP	what
they	PP	they
believe	VBP	believe
in	IN	in
and	CC	and
so	RB	so
they	PP	they
wear	VBP	wear
bombs	NNS	bomb
?	SENT	?
"	``	"
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
Well	RB	well
it	PP	it
'	POS	'
s	NN	S
odd	JJ	odd
that	IN	that
you	PP	you
'	POS	'
ve	NN	ve
learned	VBD	learn
of	IN	of
this	DT	this
as	IN	as
a	DT	a
noble	JJ	noble
kind	NN	kind
of	IN	of
pursuit	NN	pursuit
,	,	,
but	CC	but
yeah	RB	yeah
,	,	,
I	PP	I
know	VBP	know
those	DT	those
guys	NNS	guy
.	SENT	.
"	''	"
He	PP	he
said	VBD	say
,	,	,
"	''	"
That	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
you	PP	you
need	VBP	need
.	SENT	.
You	PP	you
need	VBP	need
like	IN	like
a	DT	a
school	NN	school
of	IN	of
fish	NN	fish
that	WDT	that
would	MD	would
swim	VB	swim
in	IN	in
front	NN	front
of	IN	of
you	PP	you
like	VBP	like
this	DT	this
.	SENT	.
"	''	"
"	``	"
And	CC	and
when	WRB	when
the	DT	the
jellyfish	NNS	jellyfish
come	VBP	come
and	CC	and
they	PP	they
wrap	VBP	wrap
their	PP$	their
tentacles	NNS	tentacle
around	IN	around
the	DT	the
fish	NN	fish
,	,	,
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
be	VB	be
busy	JJ	busy
with	IN	with
them	PP	them
,	,	,
and	CC	and
you	PP	you
'	POS	'
ll	NNS	<unknown>
just	RB	just
scoot	VBP	scoot
around	RP	around
.	SENT	.
"	''	"
I	PP	I
said	VBD	say
,	,	,
"	``	"
Oh	UH	oh
,	,	,
it	PP	it
'	POS	'
s	NN	S
like	IN	like
a	DT	a
suicide	NN	suicide
army	NN	army
.	SENT	.
"	''	"
He	PP	he
said	VBD	say
,	,	,
"	''	"
That	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
I	PP	I
'	POS	'
m	NN	m
talking	VBG	talk
about	RB	about
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
you	PP	you
need	VBP	need
.	SENT	.
"	''	"
And	CC	and
little	RB	little
did	VBD	do
I	PP	I
know	VBP	know
,	,	,
that	IN	that
you	PP	you
should	MD	should
listen	VB	listen
to	TO	to
eight	CD	eight
year-olds	NNS	<unknown>
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
started	VBD	start
that	DT	that
swim	NN	swim
in	IN	in
a	DT	a
bathing	VBG	bath
suit	NN	suit
like	IN	like
normal	JJ	normal
,	,	,
and	CC	and
,	,	,
no	DT	no
joke	NN	joke
,	,	,
this	DT	this
is	VBZ	be
it	PP	it
;	:	;
it	PP	it
came	VBD	come
from	IN	from
the	DT	the
shark	NN	shark
divers	NNS	diver
.	SENT	.
I	PP	I
finished	VBD	finish
the	DT	the
swim	NN	swim
like	IN	like
this	DT	this
.	SENT	.
I	PP	I
was	VBD	be
swimming	VBG	swim
with	IN	with
this	DT	this
thing	NN	thing
on	RB	on
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
how	WRB	how
scared	VBN	scare
of	IN	of
the	DT	the
jellyfish	NNS	jellyfish
I	PP	I
was	VBD	be
.	SENT	.
So	RB	so
now	RB	now
what	WP	what
do	VBP	do
I	PP	I
do	VBP	do
?	SENT	?
I	NP	I
wouldn	NP	<unknown>
'	POS	'
t	NN	t
mind	NN	mind
if	IN	if
every	DT	every
one	CD	one
of	IN	of
you	PP	you
came	VBD	come
up	RP	up
on	IN	on
this	DT	this
stage	NN	stage
tonight	NN	tonight
and	CC	and
told	VBD	tell
us	PP	us
how	WRB	how
you	PP	you
'	POS	'
ve	NNS	<unknown>
gotten	VBN	get
over	IN	over
the	DT	the
big	JJ	big
disappointments	NNS	disappointment
of	IN	of
your	PP$	your
lives	NNS	life
.	SENT	.
Because	IN	because
we	PP	we
'	POS	'
ve	NN	ve
all	RB	all
had	VBD	have
them	PP	them
,	,	,
haven	NN	haven
'	POS	'
t	NN	t
we	PP	we
?	SENT	?
We	PP	we
'	POS	'
ve	NN	ve
all	RB	all
had	VBD	have
a	DT	a
heartache	NN	heartache
.	SENT	.
And	CC	and
so	IN	so
my	PP$	my
journey	NN	journey
now	RB	now
is	VBZ	be
to	TO	to
find	VB	find
some	DT	some
sort	NN	sort
of	IN	of
grace	NN	grace
in	IN	in
the	DT	the
face	NN	face
of	IN	of
this	DT	this
defeat	NN	defeat
.	SENT	.
And	CC	and
I	PP	I
can	MD	can
look	VB	look
at	IN	at
the	DT	the
journey	NN	journey
,	,	,
not	RB	not
just	RB	just
the	DT	the
destination	NN	destination
.	SENT	.
I	PP	I
can	MD	can
feel	VB	feel
proud	JJ	proud
.	SENT	.
I	PP	I
can	MD	can
stand	VB	stand
here	RB	here
in	IN	in
front	NN	front
of	IN	of
you	PP	you
tonight	RB	tonight
and	CC	and
say	VBP	say
I	PP	I
was	VBD	be
courageous	JJ	courageous
.	SENT	.
Yeah	RB	yeah
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
And	CC	and
with	IN	with
all	DT	all
sincerity	NN	sincerity
,	,	,
I	PP	I
can	MD	can
say	VB	say
,	,	,
I	PP	I
am	VBP	be
glad	JJ	glad
I	PP	I
lived	VBD	live
those	DT	those
two	CD	two
years	NNS	year
of	IN	of
my	PP$	my
life	NN	life
that	IN	that
way	NN	way
,	,	,
because	IN	because
my	PP$	my
goal	NN	goal
to	TO	to
not	RB	not
suffer	VB	suffer
regrets	NNS	regret
anymore	RB	anymore
,	,	,
I	PP	I
got	VBD	get
there	RB	there
with	IN	with
that	DT	that
goal	NN	goal
.	SENT	.
When	WRB	when
you	PP	you
live	VBP	live
that	DT	that
way	NN	way
,	,	,
when	WRB	when
you	PP	you
live	VBP	live
with	IN	with
that	DT	that
kind	NN	kind
of	IN	of
passion	NN	passion
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
time	NN	time
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
time	NN	time
for	IN	for
regrets	NNS	regret
,	,	,
you	PP	you
'	POS	'
re	NN	re
just	RB	just
moving	VBG	move
forward	RB	forward
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
live	VB	live
every	DT	every
day	NN	day
of	IN	of
the	DT	the
rest	NN	rest
of	IN	of
my	PP$	my
life	NN	life
that	IN	that
way	NN	way
,	,	,
swim	NN	swim
or	CC	or
no	DT	no
swim	NN	swim
.	SENT	.
But	CC	but
the	DT	the
difference	NN	difference
in	IN	in
accepting	VBG	accept
this	DT	this
particular	JJ	particular
defeat	NN	defeat
is	VBZ	be
that	IN	that
sometimes	RB	sometimes
,	,	,
if	IN	if
cancer	NN	cancer
has	VBZ	have
won	VBN	win
,	,	,
if	IN	if
there	EX	there
'	''	'
s	NN	S
death	NN	death
and	CC	and
we	PP	we
have	VBP	have
no	DT	no
choice	NN	choice
,	,	,
then	RB	then
grace	NN	grace
and	CC	and
acceptance	NN	acceptance
are	VBP	be
necessary	JJ	necessary
.	SENT	.
But	CC	but
that	DT	that
ocean	NN	ocean
'	POS	'
s	NN	S
still	RB	still
there	RB	there
.	SENT	.
This	DT	this
hope	NN	hope
is	VBZ	be
still	RB	still
alive	JJ	alive
.	SENT	.
And	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
be	VB	be
the	DT	the
crazy	JJ	crazy
woman	NN	woman
who	WP	who
does	VBZ	do
it	PP	it
for	IN	for
years	NNS	year
and	CC	and
years	NNS	year
and	CC	and
years	NNS	year
,	,	,
and	CC	and
tries	VBZ	try
and	CC	and
fails	VBZ	fail
and	CC	and
tries	VBZ	try
and	CC	and
fails	VBZ	fail
and	CC	and
tries	VBZ	try
and	CC	and
fails	VBZ	fail
,	,	,
but	CC	but
I	PP	I
can	MD	can
swim	VB	swim
from	IN	from
Cuba	NP	Cuba
to	TO	to
Florida	NP	Florida
,	,	,
and	CC	and
I	PP	I
will	MD	will
swim	VB	swim
from	IN	from
Cuba	NP	Cuba
to	TO	to
Florida	NP	Florida
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
And	CC	and
so	RB	so
,	,	,
what	WP	what
after	IN	after
that	DT	that
?	SENT	?
Are	VBP	be
you	PP	you
going	VBG	go
to	TO	to
swim	VB	swim
the	DT	the
Atlantic	NP	Atlantic
?	SENT	?
No	RB	no
,	,	,
that	IN	that
'	POS	'
s	NN	S
the	DT	the
last	JJ	last
swim	NN	swim
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
the	DT	the
only	RB	only
swim	VBP	swim
I	PP	I
'	''	'
m	NN	m
interested	JJ	interested
in	IN	in
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
m	NN	m
ready	JJ	ready
.	SENT	.
And	CC	and
by	IN	by
the	DT	the
way	NN	way
,	,	,
a	DT	a
reporter	NN	reporter
called	VBD	call
me	PP	me
the	DT	the
other	JJ	other
day	NN	day
and	CC	and
he	PP	he
said	VBD	say
he	PP	he
looked	VBD	look
on	IN	on
Wikipedia	NP	<unknown>
and	CC	and
he	PP	he
said	VBD	say
he	PP	he
saw	VBD	see
my	PP$	my
birthday	NN	birthday
was	VBD	be
August	NP	August
22nd	JJ	22nd
1949	CD	@card@
,	,	,
and	CC	and
for	IN	for
some	DT	some
odd	JJ	odd
reason	NN	reason
in	IN	in
Wikipedia	NP	<unknown>
,	,	,
they	PP	they
had	VBD	have
my	PP$	my
death	NN	death
date	NN	date
too	RB	too
.	SENT	.
He	PP	he
said	VBD	say
,	,	,
"	``	"
Did	VBD	do
you	PP	you
know	VBP	know
you	PP	you
'	''	'
re	IN	re
going	VBG	go
to	TO	to
die	VB	die
the	DT	the
same	JJ	same
place	NN	place
you	PP	you
were	VBD	be
born	VBN	bear
,	,	,
New	NP	New
York	NP	York
City	NP	City
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
in	IN	in
January	NP	January
of	IN	of
'	POS	'
35	CD	@card@
?	SENT	?
"	``	"
I	PP	I
said	VBD	say
,	,	,
"	``	"
Nope	NP	<unknown>
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
know	VBP	know
.	SENT	.
"	''	"
And	CC	and
now	RB	now
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
live	VB	live
to	TO	to
85	CD	@card@
.	SENT	.
I	PP	I
have	VBP	have
three	CD	three
more	JJR	more
years	NNS	year
than	IN	than
I	PP	I
thought	VBD	think
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
ask	VBP	ask
myself	PP	myself
,	,	,
I	PP	I
'	POS	'
m	NN	m
starting	VBG	start
to	TO	to
ask	VB	ask
myself	PP	myself
now	RB	now
,	,	,
even	RB	even
before	IN	before
this	DT	this
extreme	JJ	extreme
dream	NN	dream
gets	VBZ	get
achieved	VBN	achieve
for	IN	for
me	PP	me
,	,	,
I	PP	I
'	POS	'
m	NN	m
asking	VBG	ask
myself	PP	myself
,	,	,
and	CC	and
maybe	RB	maybe
I	PP	I
can	MD	can
ask	VB	ask
you	PP	you
tonight	RB	tonight
too	RB	too
,	,	,
to	TO	to
paraphrase	VB	paraphrase
the	DT	the
poet	NN	poet
Mary	NP	Mary
Oliver	NP	Oliver
,	,	,
she	PP	she
says	VBZ	say
,	,	,
"	``	"
So	RB	so
what	WP	what
is	VBZ	be
it	PP	it
,	,	,
what	WP	what
is	VBZ	be
it	PP	it
you	PP	you
'	POS	'
re	NN	re
doing	VBG	do
,	,	,
with	IN	with
this	DT	this
one	CD	one
wild	JJ	wild
and	CC	and
precious	JJ	precious
life	NN	life
of	IN	of
yours	PP	yours
?	SENT	?
"	``	"
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Live	VB	live
it	PP	it
large	JJ	large
.	SENT	.
Live	VB	live
it	PP	it
large	JJ	large
.	SENT	.
