"	``	"
be	VB	be
white	JJ	white
and	CC	and
too	RB	too
white	JJ	white
to	TO	to
be	VB	be
doing	VBG	do
it	PP	it
right	RB	right
.	SENT	.
Forget	VB	forget
the	DT	the
American	JJ	American
ghetto	NN	ghetto
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
cracked	VBD	crack
stages	NNS	stage
in	IN	in
Soweto	NP	Soweto
,	,	,
buried	VBN	bury
abortion	NN	abortion
babies	NNS	baby
in	IN	in
potter	NN	potter
'	POS	'
s	NN	S
field	NN	field
and	CC	and
still	RB	still
managed	VBN	manage
to	TO	to
keep	VB	keep
a	DT	a
smile	NN	smile
on	IN	on
my	PP$	my
face	NN	face
,	,	,
so	IN	so
whatever	WDT	whatever
you	PP	you
curse	VBP	curse
at	IN	at
me	PP	me
to	TO	to
your	PP$	your
caddyshack	NN	caddyshack
go-for-this	NNS	<unknown>
,	,	,
go-for-that	NN	<unknown>
assistant	NN	assistant
when	WRB	when
I	PP	I
walk	VBP	walk
out	RP	out
that	DT	that
door	NN	door
,	,	,
whatever	WDT	whatever
slander	VBP	slander
you	PP	you
send	VB	send
my	PP$	my
way	NN	way
,	,	,
your	PP$	your
mother	NN	mother
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
