Each	DT	each
solve	VB	solve
the	DT	the
crisis	NN	crisis
of	IN	of
visual	JJ	visual
theft	NN	theft
.	SENT	.
Language	NN	language
is	VBZ	be
a	DT	a
piece	NN	piece
of	IN	of
social	JJ	social
technology	NN	technology
for	IN	for
enhancing	VBG	enhance
the	DT	the
benefits	NNS	benefit
of	IN	of
cooperation	NN	cooperation
—	:	-
for	IN	for
reaching	VBG	reach
agreements	NNS	agreement
,	,	,
for	IN	for
striking	JJ	striking
deals	NNS	deal
and	CC	and
for	IN	for
coordinating	VBG	coordinate
our	PP$	our
activities	NNS	activity
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
see	VB	see
that	IN	that
,	,	,
in	IN	in
a	DT	a
developing	VBG	develop
society	NN	society
that	WDT	that
was	VBD	be
beginning	VBG	begin
to	TO	to
acquire	VB	acquire
language	NN	language
,	,	,
not	RB	not
having	VBG	have
language	NN	language
would	MD	would
be	VB	be
a	DT	a
like	IN	like
a	DT	a
bird	NN	bird
without	IN	without
wings	NNS	wing
.	SENT	.
Just	RB	just
as	IN	as
wings	NNS	wing
open	VBP	open
up	RP	up
this	DT	this
sphere	NN	sphere
of	IN	of
air	NN	air
for	IN	for
birds	NNS	bird
to	TO	to
exploit	VB	exploit
,	,	,
language	NN	language
opened	VBD	open
up	RP	up
the	DT	the
sphere	NN	sphere
of	IN	of
cooperation	NN	cooperation
for	IN	for
humans	NNS	human
to	TO	to
exploit	VB	exploit
.	SENT	.
And	CC	and
we	PP	we
take	VBP	take
this	DT	this
utterly	RB	utterly
for	IN	for
granted	VBN	grant
,	,	,
because	IN	because
we	PP	we
'	''	'
re	IN	re
a	DT	a
species	NN	species
that	WDT	that
is	VBZ	be
so	RB	so
at	IN	at
home	NN	home
with	IN	with
language	NN	language
,	,	,
but	CC	but
you	PP	you
have	VBP	have
to	TO	to
realize	VB	realize
that	IN	that
even	RB	even
the	DT	the
simplest	JJS	simple
acts	NNS	act
of	IN	of
exchange	NN	exchange
that	IN	that
we	PP	we
engage	VBP	engage
in	IN	in
are	VBP	be
utterly	RB	utterly
dependent	JJ	dependent
upon	IN	upon
language	NN	language
.	SENT	.
And	CC	and
to	TO	to
see	VB	see
why	WRB	why
,	,	,
consider	VBP	consider
two	CD	two
scenarios	NNS	scenario
from	IN	from
early	JJ	early
in	IN	in
our	PP$	our
evolution	NN	evolution
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
imagine	VBP	imagine
that	IN	that
you	PP	you
are	VBP	be
really	RB	really
good	JJ	good
at	IN	at
making	VBG	make
arrowheads	NNS	arrowhead
,	,	,
but	CC	but
you	PP	you
'	POS	'
re	NN	re
hopeless	JJ	hopeless
at	IN	at
making	VBG	make
the	DT	the
wooden	JJ	wooden
shafts	NNS	shaft
with	IN	with
the	DT	the
flight	NN	flight
feathers	NNS	feather
attached	VBD	attach
.	SENT	.
Two	CD	two
other	JJ	other
people	NNS	people
you	PP	you
know	VBP	know
are	VBP	be
very	RB	very
good	JJ	good
at	IN	at
making	VBG	make
the	DT	the
wooden	JJ	wooden
shafts	NNS	shaft
,	,	,
but	CC	but
they	PP	they
'	POS	'
re	NN	re
hopeless	JJ	hopeless
at	IN	at
making	VBG	make
the	DT	the
arrowheads	NNS	arrowhead
.	SENT	.
So	RB	so
what	WP	what
you	PP	you
do	VBP	do
is	VBZ	be
—	:	-
one	CD	one
of	IN	of
those	DT	those
people	NNS	people
has	VBZ	have
not	RB	not
really	RB	really
acquired	VBN	acquire
language	NN	language
yet	RB	yet
.	SENT	.
And	CC	and
let	VB	let
'	''	'
s	NNS	<unknown>
pretend	VBP	pretend
the	DT	the
other	JJ	other
one	CD	one
is	VBZ	be
good	JJ	good
at	IN	at
language	NN	language
skills	NNS	skill
.	SENT	.
So	RB	so
what	WP	what
you	PP	you
do	VBP	do
one	CD	one
day	NN	day
is	VBZ	be
you	PP	you
take	VBP	take
a	DT	a
pile	NN	pile
of	IN	of
arrowheads	NNS	arrowhead
,	,	,
and	CC	and
you	PP	you
walk	VBP	walk
up	RP	up
to	TO	to
the	DT	the
one	CD	one
that	WDT	that
can	MD	can
'	''	'
t	NN	t
speak	VBP	speak
very	RB	very
well	RB	well
,	,	,
and	CC	and
you	PP	you
put	VBD	put
the	DT	the
arrowheads	NNS	arrowhead
down	RB	down
in	IN	in
front	NN	front
of	IN	of
him	PP	him
,	,	,
hoping	VBG	hope
that	IN	that
he	PP	he
'	POS	'
ll	NNS	<unknown>
get	VBP	get
the	DT	the
idea	NN	idea
that	IN	that
you	PP	you
want	VBP	want
to	TO	to
trade	VB	trade
your	PP$	your
arrowheads	NNS	arrowhead
for	IN	for
finished	JJ	finished
arrows	NNS	arrow
.	SENT	.
But	CC	but
he	PP	he
looks	VBZ	look
at	IN	at
the	DT	the
pile	NN	pile
of	IN	of
arrowheads	NNS	arrowhead
,	,	,
thinks	VBZ	think
they	PP	they
'	''	'
re	IN	re
a	DT	a
gift	NN	gift
,	,	,
picks	VBZ	pick
them	PP	them
up	RP	up
,	,	,
smiles	VBZ	smile
and	CC	and
walks	VBZ	walk
off	RP	off
.	SENT	.
Now	RB	now
you	PP	you
pursue	VB	pursue
this	DT	this
guy	NN	guy
,	,	,
gesticulating	VBG	gesticulate
.	SENT	.
A	DT	a
scuffle	NN	scuffle
ensues	VBZ	ensue
and	CC	and
you	PP	you
get	VBP	get
stabbed	VBN	stab
with	IN	with
one	CD	one
of	IN	of
your	PP$	your
own	JJ	own
arrowheads	NNS	arrowhead
.	SENT	.
Okay	RB	okay
,	,	,
now	RB	now
replay	VB	replay
this	DT	this
scene	NN	scene
now	RB	now
,	,	,
and	CC	and
you	PP	you
'	POS	'
re	NN	re
approaching	VBG	approach
the	DT	the
one	CD	one
who	WP	who
has	VBZ	have
language	NN	language
.	SENT	.
You	PP	you
put	VBD	put
down	RP	down
your	PP$	your
arrowheads	NNS	arrowhead
and	CC	and
say	VBP	say
,	,	,
"	''	"
I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
trade	VB	trade
these	DT	these
arrowheads	NNS	arrowhead
for	IN	for
finished	JJ	finished
arrows	NNS	arrow
.	SENT	.
I	NP	I
'	POS	'
ll	NN	ll
split	VBD	split
you	PP	you
50	CD	@card@
/	SYM	/
50	CD	@card@
.	SENT	.
"	``	"
The	DT	the
other	JJ	other
one	CD	one
says	VBZ	say
,	,	,
"	``	"
Fine	NP	Fine
.	SENT	.
Looks	NNS	look
good	JJ	good
to	TO	to
me	PP	me
.	SENT	.
We	PP	we
'	POS	'
ll	NNS	<unknown>
do	VBP	do
that	DT	that
.	SENT	.
"	''	"
Now	RB	now
the	DT	the
job	NN	job
is	VBZ	be
done	VBN	do
.	SENT	.
Once	RB	once
we	PP	we
have	VBP	have
language	NN	language
,	,	,
we	PP	we
can	MD	can
put	VB	put
our	PP$	our
ideas	NNS	idea
together	RB	together
and	CC	and
cooperate	VB	cooperate
to	TO	to
have	VB	have
a	DT	a
prosperity	NN	prosperity
that	IN	that
we	PP	we
couldn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
before	IN	before
we	PP	we
acquired	VBD	acquire
it	PP	it
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
why	WRB	why
our	PP$	our
species	NN	species
has	VBZ	have
prospered	VBN	prosper
around	IN	around
the	DT	the
world	NN	world
while	IN	while
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
animals	NNS	animal
sit	VBP	sit
behind	IN	behind
bars	NNS	bar
in	IN	in
zoos	NNS	zoo
,	,	,
languishing	VBG	languish
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
why	WRB	why
we	PP	we
build	VBP	build
space	NN	space
shuttles	NNS	shuttle
and	CC	and
cathedrals	NNS	cathedral
while	IN	while
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
world	NN	world
sticks	VBZ	stick
sticks	NNS	stick
into	IN	into
the	DT	the
ground	NN	ground
to	TO	to
extract	VB	extract
termites	NNS	termite
.	SENT	.
All	DT	all
right	NN	right
,	,	,
if	IN	if
this	DT	this
view	NN	view
of	IN	of
language	NN	language
and	CC	and
its	PP$	its
value	NN	value
in	IN	in
solving	VBG	solve
the	DT	the
crisis	NN	crisis
of	IN	of
visual	JJ	visual
theft	NN	theft
is	VBZ	be
true	JJ	true
,	,	,
any	DT	any
species	NN	species
that	WDT	that
acquires	VBZ	acquire
it	PP	it
should	MD	should
show	VB	show
an	DT	an
explosion	NN	explosion
of	IN	of
creativity	NN	creativity
and	CC	and
prosperity	NN	prosperity
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
exactly	RB	exactly
what	WP	what
the	DT	the
archeological	JJ	archeological
record	NN	record
shows	NNS	show
.	SENT	.
If	IN	if
you	PP	you
look	VBP	look
at	IN	at
our	PP$	our
ancestors	NNS	ancestor
,	,	,
the	DT	the
Neanderthals	NNS	Neanderthal
and	CC	and
the	DT	the
Homo	NN	homo
erectus	NN	erectus
,	,	,
our	PP$	our
immediate	JJ	immediate
ancestors	NNS	ancestor
,	,	,
they	PP	they
'	POS	'
re	NN	re
confined	VBN	confine
to	TO	to
small	JJ	small
regions	NNS	region
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
But	CC	but
when	WRB	when
our	PP$	our
species	NNS	specie
arose	VBD	arise
about	IN	about
200	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
sometime	RB	sometime
after	IN	after
that	IN	that
we	PP	we
quickly	RB	quickly
walked	VBD	walk
out	RP	out
of	IN	of
Africa	NP	Africa
and	CC	and
spread	VBN	spread
around	IN	around
the	DT	the
entire	JJ	entire
world	NN	world
,	,	,
occupying	VBG	occupy
nearly	RB	nearly
every	DT	every
habitat	NN	habitat
on	IN	on
Earth	NP	Earth
.	SENT	.
Now	RB	now
whereas	IN	whereas
other	JJ	other
species	NNS	specie
are	VBP	be
confined	VBN	confine
to	TO	to
places	NNS	place
that	IN	that
their	PP$	their
genes	NNS	gene
adapt	VBP	adapt
them	PP	them
to	TO	to
,	,	,
with	IN	with
social	JJ	social
learning	NN	learning
and	CC	and
language	NN	language
,	,	,
we	PP	we
could	MD	could
transform	VB	transform
the	DT	the
environment	NN	environment
to	TO	to
suit	VB	suit
our	PP$	our
needs	NNS	need
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
prospered	VBD	prosper
in	IN	in
a	DT	a
way	NN	way
that	IN	that
no	DT	no
other	JJ	other
animal	NN	animal
has	VBZ	have
.	SENT	.
Language	NN	language
really	RB	really
is	VBZ	be
the	DT	the
most	RBS	most
potent	JJ	potent
trait	NN	trait
that	WDT	that
has	VBZ	have
ever	RB	ever
evolved	VBN	evolve
.	SENT	.
It	PP	it
is	VBZ	be
the	DT	the
most	RBS	most
valuable	JJ	valuable
trait	NN	trait
we	PP	we
have	VBP	have
for	IN	for
converting	VBG	convert
new	JJ	new
lands	NNS	land
and	CC	and
resources	NNS	resource
into	IN	into
more	JJR	more
people	NNS	people
and	CC	and
their	PP$	their
genes	NNS	gene
that	IN	that
natural	JJ	natural
selection	NN	selection
has	VBZ	have
ever	RB	ever
devised	VBN	devise
.	SENT	.
Language	NN	language
really	RB	really
is	VBZ	be
the	DT	the
voice	NN	voice
of	IN	of
our	PP$	our
genes	NNS	gene
.	SENT	.
Now	RB	now
having	VBG	have
evolved	VBN	evolve
language	NN	language
,	,	,
though	RB	though
,	,	,
we	PP	we
did	VBD	do
something	NN	something
peculiar	JJ	peculiar
,	,	,
even	RB	even
bizarre	JJ	bizarre
.	SENT	.
As	IN	as
we	PP	we
spread	VBD	spread
out	RP	out
around	IN	around
the	DT	the
world	NN	world
,	,	,
we	PP	we
developed	VBD	develop
thousands	NNS	thousand
of	IN	of
different	JJ	different
languages	NNS	language
.	SENT	.
Currently	RB	currently
,	,	,
there	EX	there
are	VBP	be
about	RB	about
seven	CD	seven
or	CC	or
8	CD	@card@
,	,	,
000	CD	@card@
different	JJ	different
languages	NNS	language
spoken	VBN	speak
on	IN	on
Earth	NP	Earth
.	SENT	.
Now	RB	now
you	PP	you
might	MD	might
say	VB	say
,	,	,
well	RB	well
,	,	,
this	DT	this
is	VBZ	be
just	RB	just
natural	JJ	natural
.	SENT	.
As	IN	as
we	PP	we
diverge	VBP	diverge
,	,	,
our	PP$	our
languages	NNS	language
are	VBP	be
naturally	RB	naturally
going	VBG	go
to	TO	to
diverge	VB	diverge
.	SENT	.
But	CC	but
the	DT	the
real	JJ	real
puzzle	NN	puzzle
and	CC	and
irony	NN	irony
is	VBZ	be
that	IN	that
the	DT	the
greatest	JJS	great
density	NN	density
of	IN	of
different	JJ	different
languages	NNS	language
on	IN	on
Earth	NP	Earth
is	VBZ	be
found	VBN	find
where	WRB	where
people	NNS	people
are	VBP	be
most	RBS	most
tightly	RB	tightly
packed	VBN	pack
together	RB	together
.	SENT	.
If	IN	if
we	PP	we
go	VBP	go
to	TO	to
the	DT	the
island	NN	island
of	IN	of
Papua	NP	Papua
New	NP	New
Guinea	NP	Guinea
,	,	,
we	PP	we
can	MD	can
find	VB	find
about	RB	about
800	CD	@card@
to	TO	to
1	CD	@card@
,	,	,
000	CD	@card@
distinct	JJ	distinct
human	JJ	human
languages	NNS	language
,	,	,
different	JJ	different
human	JJ	human
languages	NNS	language
,	,	,
spoken	VBN	speak
on	IN	on
that	DT	that
island	NN	island
alone	RB	alone
.	SENT	.
There	EX	there
are	VBP	be
places	NNS	place
on	IN	on
that	DT	that
island	NN	island
where	WRB	where
you	PP	you
can	MD	can
encounter	VB	encounter
a	DT	a
new	JJ	new
language	NN	language
every	DT	every
two	CD	two
or	CC	or
three	CD	three
miles	NNS	mile
.	SENT	.
Now	RB	now
,	,	,
incredible	JJ	incredible
as	IN	as
this	DT	this
sounds	NNS	sound
,	,	,
I	PP	I
once	RB	once
met	VBD	meet
a	DT	a
Papuan	JJ	Papuan
man	NN	man
,	,	,
and	CC	and
I	PP	I
asked	VBD	ask
him	PP	him
if	IN	if
this	DT	this
could	MD	could
possibly	RB	possibly
be	VB	be
true	JJ	true
.	SENT	.
And	CC	and
he	PP	he
said	VBD	say
to	TO	to
me	PP	me
,	,	,
"	``	"
Oh	UH	oh
no	UH	no
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
far	RB	far
closer	RBR	closer
together	RB	together
than	IN	than
that	DT	that
.	SENT	.
"	``	"
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
true	JJ	true
;	:	;
there	EX	there
are	VBP	be
places	NNS	place
on	IN	on
that	DT	that
island	NN	island
where	WRB	where
you	PP	you
can	MD	can
encounter	VB	encounter
a	DT	a
new	JJ	new
language	NN	language
in	IN	in
under	IN	under
a	DT	a
mile	NN	mile
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
also	RB	also
true	JJ	true
of	IN	of
some	DT	some
remote	JJ	remote
oceanic	JJ	oceanic
islands	NNS	island
.	SENT	.
And	CC	and
so	RB	so
it	PP	it
seems	VBZ	seem
that	IN	that
we	PP	we
use	VBP	use
our	PP$	our
language	NN	language
,	,	,
not	RB	not
just	RB	just
to	TO	to
cooperate	VB	cooperate
,	,	,
but	CC	but
to	TO	to
draw	VB	draw
rings	NNS	ring
around	IN	around
our	PP$	our
cooperative	JJ	cooperative
groups	NNS	group
and	CC	and
to	TO	to
establish	VB	establish
identities	NNS	identity
,	,	,
and	CC	and
perhaps	RB	perhaps
to	TO	to
protect	VB	protect
our	PP$	our
knowledge	NN	knowledge
and	CC	and
wisdom	NN	wisdom
and	CC	and
skills	NNS	skill
from	IN	from
eavesdropping	NN	eavesdropping
from	IN	from
outside	NN	outside
.	SENT	.
And	CC	and
we	PP	we
know	VBP	know
this	DT	this
because	RB	because
when	WRB	when
we	PP	we
study	VBP	study
different	JJ	different
language	NN	language
groups	NNS	group
and	CC	and
associate	VB	associate
them	PP	them
with	IN	with
their	PP$	their
cultures	NNS	culture
,	,	,
we	PP	we
see	VBP	see
that	IN	that
different	JJ	different
languages	NNS	language
slow	VB	slow
the	DT	the
flow	NN	flow
of	IN	of
ideas	NNS	idea
between	IN	between
groups	NNS	group
.	SENT	.
They	PP	they
slow	VB	slow
the	DT	the
flow	NN	flow
of	IN	of
technologies	NNS	technology
.	SENT	.
And	CC	and
they	PP	they
even	RB	even
slow	VB	slow
the	DT	the
flow	NN	flow
of	IN	of
genes	NNS	gene
.	SENT	.
Now	RB	now
I	PP	I
can	MD	can
'	''	'
t	NN	t
speak	VBP	speak
for	IN	for
you	PP	you
,	,	,
but	CC	but
it	PP	it
seems	VBZ	seem
to	TO	to
be	VB	be
the	DT	the
case	NN	case
that	IN	that
we	PP	we
don	VB	don
'	''	'
t	NN	t
have	VBP	have
sex	NN	sex
with	IN	with
people	NNS	people
we	PP	we
can	MD	can
'	''	'
t	NN	t
talk	VBP	talk
to	TO	to
.	SENT	.
Now	RB	now
we	PP	we
have	VBP	have
to	TO	to
counter	VB	counter
that	IN	that
,	,	,
though	RB	though
,	,	,
against	IN	against
the	DT	the
evidence	NN	evidence
we	PP	we
'	POS	'
ve	NN	ve
heard	VBD	hear
that	IN	that
we	PP	we
might	MD	might
have	VB	have
had	VBN	have
some	DT	some
rather	RB	rather
distasteful	JJ	distasteful
genetic	JJ	genetic
dalliances	NNS	dalliance
with	IN	with
the	DT	the
Neanderthals	NNS	Neanderthal
and	CC	and
the	DT	the
Denisovans	NP	Denisovans
.	SENT	.
Okay	RB	okay
,	,	,
this	DT	this
tendency	NN	tendency
we	PP	we
have	VBP	have
,	,	,
this	DT	this
seemingly	RB	seemingly
natural	JJ	natural
tendency	NN	tendency
we	PP	we
have	VBP	have
,	,	,
towards	IN	towards
isolation	NN	isolation
,	,	,
towards	IN	towards
keeping	VBG	keep
to	TO	to
ourselves	PP	ourselves
,	,	,
crashes	NNS	crash
head	VBP	head
first	JJ	first
into	IN	into
our	PP$	our
modern	JJ	modern
world	NN	world
.	SENT	.
This	DT	this
remarkable	JJ	remarkable
image	NN	image
is	VBZ	be
not	RB	not
a	DT	a
map	NN	map
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
map	NN	map
of	IN	of
Facebook	NP	<unknown>
friendship	NN	friendship
links	NNS	link
.	SENT	.
And	CC	and
when	WRB	when
you	PP	you
plot	VBP	plot
those	DT	those
friendship	NN	friendship
links	VBZ	link
by	IN	by
their	PP$	their
latitude	NN	latitude
and	CC	and
longitude	NN	longitude
,	,	,
it	PP	it
literally	RB	literally
draws	VBZ	draw
a	DT	a
map	NN	map
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
Our	PP$	our
modern	JJ	modern
world	NN	world
is	VBZ	be
communicating	VBG	communicate
with	IN	with
itself	PP	itself
and	CC	and
with	IN	with
each	DT	each
other	JJ	other
more	JJR	more
than	IN	than
it	PP	it
has	VBZ	have
at	IN	at
any	DT	any
time	NN	time
in	IN	in
its	PP$	its
past	NN	past
.	SENT	.
And	CC	and
that	DT	that
communication	NN	communication
,	,	,
that	DT	that
connectivity	NN	connectivity
around	IN	around
the	DT	the
world	NN	world
,	,	,
that	DT	that
globalization	NN	globalization
now	RB	now
raises	VBZ	raise
a	DT	a
burden	NN	burden
.	SENT	.
Because	IN	because
these	DT	these
different	JJ	different
languages	NNS	language
impose	VB	impose
a	DT	a
barrier	NN	barrier
,	,	,
as	IN	as
we	PP	we
'	POS	'
ve	NN	ve
just	RB	just
seen	VBN	see
,	,	,
to	TO	to
the	DT	the
transfer	NN	transfer
of	IN	of
goods	NNS	good
and	CC	and
ideas	NNS	idea
and	CC	and
technologies	NNS	technology
and	CC	and
wisdom	NN	wisdom
.	SENT	.
And	CC	and
they	PP	they
impose	VB	impose
a	DT	a
barrier	NN	barrier
to	TO	to
cooperation	NN	cooperation
.	SENT	.
And	CC	and
nowhere	RB	nowhere
do	VBP	do
we	PP	we
see	VBP	see
that	IN	that
more	RBR	more
clearly	RB	clearly
than	IN	than
in	IN	in
the	DT	the
European	NP	European
Union	NP	Union
,	,	,
whose	WP$	whose
27	CD	@card@
member	NN	member
countries	NNS	country
speak	VBP	speak
23	CD	@card@
official	JJ	official
languages	NNS	language
.	SENT	.
The	DT	the
European	NP	European
Union	NP	Union
is	VBZ	be
now	RB	now
spending	VBG	spend
over	IN	over
one	CD	one
billion	NN	billion
euros	NNS	<unknown>
annually	RB	annually
translating	VBG	translate
among	IN	among
their	PP$	their
23	CD	@card@
official	JJ	official
languages	NNS	language
.	SENT	.
That	IN	that
'	POS	'
s	JJ	<unknown>
something	NN	something
on	IN	on
the	DT	the
order	NN	order
of	IN	of
1	CD	@card@
.	SENT	.
45	CD	@card@
billion	NNS	billion
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
dollars	NNS	dollar
on	IN	on
translation	NN	translation
costs	NNS	cost
alone	RB	alone
.	SENT	.
Now	RB	now
think	VB	think
of	IN	of
the	DT	the
absurdity	NN	absurdity
of	IN	of
this	DT	this
situation	NN	situation
.	SENT	.
If	IN	if
27	CD	@card@
individuals	NNS	individual
from	IN	from
those	DT	those
27	CD	@card@
member	NN	member
states	NNS	state
sat	VBD	sit
around	IN	around
table	NN	table
,	,	,
speaking	VBG	speak
their	PP$	their
23	CD	@card@
languages	NNS	language
,	,	,
some	DT	some
very	RB	very
simple	JJ	simple
mathematics	NNS	mathematics
will	MD	will
tell	VB	tell
you	PP	you
that	IN	that
you	PP	you
need	VBP	need
an	DT	an
army	NN	army
of	IN	of
253	CD	@card@
translators	NNS	translator
to	TO	to
anticipate	VB	anticipate
all	PDT	all
the	DT	the
pairwise	JJ	<unknown>
possibilities	NNS	possibility
.	SENT	.
The	DT	the
European	NP	European
Union	NP	Union
employs	VBZ	employ
a	DT	a
permanent	JJ	permanent
staff	NN	staff
of	IN	of
about	RB	about
2	CD	@card@
,	,	,
500	CD	@card@
translators	NNS	translator
.	SENT	.
And	CC	and
in	IN	in
2007	CD	@card@
alone	RB	alone
—	:	-
and	CC	and
I	PP	I
'	POS	'
m	NN	m
sure	RB	sure
there	RB	there
are	VBP	be
more	RBR	more
recent	JJ	recent
figures	NNS	figure
—	:	-
something	NN	something
on	IN	on
the	DT	the
order	NN	order
of	IN	of
1	CD	@card@
.	SENT	.
3	CD	@card@
million	CD	million
pages	NNS	page
were	VBD	be
translated	VBN	translate
into	IN	into
English	NP	English
alone	RB	alone
.	SENT	.
And	CC	and
so	RB	so
if	IN	if
language	NN	language
really	RB	really
is	VBZ	be
the	DT	the
solution	NN	solution
to	TO	to
the	DT	the
crisis	NN	crisis
of	IN	of
visual	JJ	visual
theft	NN	theft
,	,	,
if	IN	if
language	NN	language
really	RB	really
is	VBZ	be
the	DT	the
conduit	NN	conduit
of	IN	of
our	PP$	our
cooperation	NN	cooperation
,	,	,
the	DT	the
technology	NN	technology
that	IN	that
our	PP$	our
species	NNS	specie
derived	VBN	derive
to	TO	to
promote	VB	promote
the	DT	the
free	JJ	free
flow	NN	flow
and	CC	and
exchange	NN	exchange
of	IN	of
ideas	NNS	idea
,	,	,
in	IN	in
our	PP$	our
modern	JJ	modern
world	NN	world
,	,	,
we	PP	we
confront	VBP	confront
a	DT	a
question	NN	question
.	SENT	.
And	CC	and
that	DT	that
question	NN	question
is	VBZ	be
whether	IN	whether
in	IN	in
this	DT	this
modern	JJ	modern
,	,	,
globalized	VBN	globalize
world	NN	world
we	PP	we
can	MD	can
really	RB	really
afford	VB	afford
to	TO	to
have	VB	have
all	PDT	all
these	DT	these
different	JJ	different
languages	NNS	language
.	SENT	.
To	TO	to
put	VB	put
it	PP	it
this	DT	this
way	NN	way
,	,	,
nature	NN	nature
knows	VBZ	know
no	DT	no
other	JJ	other
circumstance	NN	circumstance
in	IN	in
which	WDT	which
functionally	RB	functionally
equivalent	JJ	equivalent
traits	NNS	trait
coexist	VBP	coexist
.	SENT	.
One	CD	one
of	IN	of
them	PP	them
always	RB	always
drives	VBZ	drive
the	DT	the
other	JJ	other
extinct	JJ	extinct
.	SENT	.
And	CC	and
we	PP	we
see	VBP	see
this	DT	this
in	IN	in
the	DT	the
inexorable	JJ	inexorable
march	NN	march
towards	IN	towards
standardization	NN	standardization
.	SENT	.
There	EX	there
are	VBP	be
lots	NNS	lot
and	CC	and
lots	NNS	lot
of	IN	of
ways	NNS	way
of	IN	of
measuring	VBG	measure
things	NNS	thing
—	:	-
weighing	VBG	weigh
them	PP	them
and	CC	and
measuring	VBG	measure
their	PP$	their
length	NN	length
—	:	-
but	CC	but
the	DT	the
metric	JJ	metric
system	NN	system
is	VBZ	be
winning	VBG	win
.	SENT	.
There	EX	there
are	VBP	be
lots	NNS	lot
and	CC	and
lots	NNS	lot
of	IN	of
ways	NNS	way
of	IN	of
measuring	VBG	measure
time	NN	time
,	,	,
but	CC	but
a	DT	a
really	RB	really
bizarre	JJ	bizarre
base	NN	base
60	CD	@card@
system	NN	system
known	VBN	know
as	IN	as
hours	NNS	hour
and	CC	and
minutes	NNS	minute
and	CC	and
seconds	NNS	second
is	VBZ	be
nearly	RB	nearly
universal	JJ	universal
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
There	EX	there
are	VBP	be
many	JJ	many
,	,	,
many	JJ	many
ways	NNS	way
of	IN	of
imprinting	VBG	imprint
CDs	NNS	CD
or	CC	or
DVDs	NP	<unknown>
,	,	,
but	CC	but
those	DT	those
are	VBP	be
all	RB	all
being	VBG	be
standardized	VBN	standardize
as	IN	as
well	RB	well
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
probably	RB	probably
think	VB	think
of	IN	of
many	JJ	many
,	,	,
many	JJ	many
more	JJR	more
in	IN	in
your	PP$	your
own	JJ	own
everyday	JJ	everyday
lives	NNS	life
.	SENT	.
And	CC	and
so	IN	so
our	PP$	our
modern	JJ	modern
world	NN	world
now	RB	now
is	VBZ	be
confronting	VBG	confront
us	PP	us
with	IN	with
a	DT	a
dilemma	NN	dilemma
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
dilemma	NN	dilemma
that	IN	that
this	DT	this
Chinese	JJ	Chinese
man	NN	man
faces	NNS	face
,	,	,
who	WP	who
'	POS	'
s	NN	S
language	NN	language
is	VBZ	be
spoken	VBN	speak
by	IN	by
more	JJR	more
people	NNS	people
in	IN	in
the	DT	the
world	NN	world
than	IN	than
any	DT	any
other	JJ	other
single	JJ	single
language	NN	language
,	,	,
and	CC	and
yet	RB	yet
he	PP	he
is	VBZ	be
sitting	VBG	sit
at	IN	at
his	PP$	his
blackboard	NN	blackboard
,	,	,
converting	VBG	convert
Chinese	JJ	Chinese
phrases	NNS	phrase
into	IN	into
English	JJ	English
language	NN	language
phrases	NNS	phrase
.	SENT	.
And	CC	and
what	WP	what
this	DT	this
does	VBZ	do
is	VBZ	be
it	PP	it
raises	VBZ	raise
the	DT	the
possibility	NN	possibility
to	TO	to
us	PP	us
that	IN	that
in	IN	in
a	DT	a
world	NN	world
in	IN	in
which	WDT	which
we	PP	we
want	VBP	want
to	TO	to
promote	VB	promote
cooperation	NN	cooperation
and	CC	and
exchange	NN	exchange
,	,	,
and	CC	and
in	IN	in
a	DT	a
world	NN	world
that	WDT	that
might	MD	might
be	VB	be
dependent	JJ	dependent
more	RBR	more
than	IN	than
ever	RB	ever
before	RB	before
on	IN	on
cooperation	NN	cooperation
to	TO	to
maintain	VB	maintain
and	CC	and
enhance	VB	enhance
our	PP$	our
levels	NNS	level
of	IN	of
prosperity	NN	prosperity
,	,	,
his	PP$	his
actions	NNS	action
suggest	VBP	suggest
to	TO	to
us	PP	us
it	PP	it
might	MD	might
be	VB	be
inevitable	JJ	inevitable
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
