Charles	NP	Charles
beginning	NN	beginning
,	,	,
as	IN	as
a	DT	a
core	JJ	core
principle	NN	principle
of	IN	of
the	DT	the
community	NN	community
that	RB	that
'	POS	'
s	NN	S
completely	RB	completely
not	RB	not
debatable	JJ	debatable
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
social	JJ	social
concept	NN	concept
of	IN	of
cooperation	NN	cooperation
,	,	,
so	RB	so
we	PP	we
don	VB	don
'	''	'
t	NN	t
talk	VB	talk
a	DT	a
lot	NN	lot
about	IN	about
truth	NN	truth
and	CC	and
objectivity	NN	objectivity
.	SENT	.
The	DT	the
reason	NN	reason
for	IN	for
this	DT	this
is	VBZ	be
if	IN	if
we	PP	we
say	VBP	say
we	PP	we
'	''	'
re	IN	re
only	RB	only
going	VBG	go
to	TO	to
write	VB	write
the	DT	the
"	``	"
truth	NN	truth
"	''	"
about	IN	about
some	DT	some
topic	NN	topic
,	,	,
that	DT	that
doesn	NN	<unknown>
'	POS	'
t	NN	t
do	VBP	do
us	PP	us
a	DT	a
damn	JJ	damn
bit	NN	bit
of	IN	of
good	JJ	good
of	IN	of
figuring	VBG	figure
out	RP	out
what	WP	what
to	TO	to
write	VB	write
,	,	,
because	IN	because
I	PP	I
don	NN	don
'	POS	'
t	NN	t
agree	VBP	agree
with	IN	with
you	PP	you
about	IN	about
what	WP	what
'	POS	'
s	NNS	<unknown>
the	DT	the
truth	NN	truth
.	SENT	.
But	CC	but
we	PP	we
have	VBP	have
this	DT	this
jargon	NN	jargon
term	NN	term
of	IN	of
neutrality	NN	neutrality
,	,	,
which	WDT	which
has	VBZ	have
its	PP$	its
own	JJ	own
long	JJ	long
history	NN	history
within	IN	within
the	DT	the
community	NN	community
,	,	,
which	WDT	which
basically	RB	basically
says	VBZ	say
,	,	,
any	DT	any
time	NN	time
there	RB	there
'	POS	'
s	NN	S
a	DT	a
controversial	JJ	controversial
issue	NN	issue
,	,	,
Wikipedia	NP	<unknown>
itself	PP	itself
should	MD	should
not	RB	not
take	VB	take
a	DT	a
stand	NN	stand
on	IN	on
the	DT	the
issue	NN	issue
.	SENT	.
We	PP	we
should	MD	should
merely	RB	merely
report	VB	report
on	IN	on
what	WP	what
reputable	JJ	reputable
parties	NNS	party
have	VBP	have
said	VBN	say
about	IN	about
it	PP	it
.	SENT	.
So	IN	so
this	DT	this
neutrality	NN	neutrality
policy	NN	policy
is	VBZ	be
really	RB	really
important	JJ	important
for	IN	for
us	PP	us
because	IN	because
it	PP	it
empowers	VBZ	empower
a	DT	a
community	NN	community
that	WDT	that
is	VBZ	be
very	RB	very
diverse	JJ	diverse
to	TO	to
come	VB	come
together	RB	together
and	CC	and
actually	RB	actually
get	VB	get
some	DT	some
work	NN	work
done	VBN	do
.	SENT	.
So	RB	so
we	PP	we
have	VBP	have
very	RB	very
diverse	JJ	diverse
contributors	NNS	contributor
in	IN	in
terms	NNS	term
of	IN	of
political	JJ	political
,	,	,
religious	JJ	religious
,	,	,
cultural	JJ	cultural
backgrounds	NNS	background
.	SENT	.
By	IN	by
having	VBG	have
this	DT	this
firm	NN	firm
neutrality	NN	neutrality
policy	NN	policy
,	,	,
which	WDT	which
is	VBZ	be
non-negotiable	JJ	non-negotiable
from	IN	from
the	DT	the
beginning	NN	beginning
,	,	,
we	PP	we
ensure	VBP	ensure
that	IN	that
people	NNS	people
can	MD	can
work	VB	work
together	RB	together
and	CC	and
that	IN	that
the	DT	the
entries	NNS	entry
don	NN	don
'	POS	'
t	NN	t
become	VB	become
simply	RB	simply
a	DT	a
war	NN	war
back	RB	back
and	CC	and
forth	RB	forth
between	IN	between
the	DT	the
left	NN	left
and	CC	and
the	DT	the
right	NN	right
.	SENT	.
If	IN	if
you	PP	you
engage	VBP	engage
in	IN	in
that	DT	that
type	NN	type
of	IN	of
behavior	NN	behavior
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
be	VB	be
asked	VBN	ask
to	TO	to
leave	VB	leave
the	DT	the
community	NN	community
.	SENT	.
So	RB	so
,	,	,
real-time	JJ	real-time
peer	NN	peer
review	NN	review
.	SENT	.
Every	DT	every
single	JJ	single
change	NN	change
on	IN	on
the	DT	the
site	NN	site
goes	VBZ	go
to	TO	to
the	DT	the
"	``	"
Recent	JJ	Recent
changes	NNS	change
"	''	"
page	NN	page
.	SENT	.
So	RB	so
as	RB	as
soon	RB	soon
as	IN	as
he	PP	he
made	VBD	make
his	PP$	his
change	NN	change
,	,	,
it	PP	it
went	VBD	go
to	TO	to
the	DT	the
"	``	"
Recent	JJ	Recent
changes	NNS	change
"	''	"
page	NN	page
.	SENT	.
That	DT	that
recent	JJ	recent
changes	NNS	change
page	NN	page
was	VBD	be
also	RB	also
fed	VBN	feed
into	IN	into
an	DT	an
IRC	NP	Irc
channel	NN	channel
,	,	,
which	WDT	which
is	VBZ	be
an	DT	an
Internet	NN	Internet
chat	NN	chat
channel	NN	channel
that	IN	that
people	NNS	people
are	VBP	be
monitoring	VBG	monitor
with	IN	with
various	JJ	various
software	NN	software
tools	NNS	tool
.	SENT	.
And	CC	and
people	NNS	people
can	MD	can
get	VB	get
RSS	NP	RSS
feeds	VBZ	feed
â	NP	<unknown>
they	PP	they
can	MD	can
get	VB	get
email	NN	<unknown>
notifications	NNS	notification
of	IN	of
changes	NNS	change
.	SENT	.
And	CC	and
then	RB	then
users	NNS	user
can	MD	can
set	VB	set
up	RP	up
their	PP$	their
own	JJ	own
personal	JJ	personal
watch	NN	watch
list	NN	list
.	SENT	.
So	IN	so
my	PP$	my
page	NN	page
is	VBZ	be
on	IN	on
quite	PDT	quite
a	DT	a
few	JJ	few
volunteers	NNS	volunteer
'	POS	'
watch	NN	watch
lists	NNS	list
,	,	,
because	IN	because
it	PP	it
is	VBZ	be
sometimes	RB	sometimes
vandalized	VBN	vandalize
.	SENT	.
And	CC	and
therefore	RB	therefore
,	,	,
what	WP	what
happens	VBZ	happen
is	VBZ	be
someone	NN	someone
will	MD	will
notice	VB	notice
the	DT	the
change	NN	change
very	RB	very
quickly	RB	quickly
,	,	,
and	CC	and
then	RB	then
they	PP	they
'	POS	'
ll	NN	ll
just	RB	just
simply	RB	simply
revert	VB	revert
the	DT	the
change	NN	change
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
"	``	"
new	JJ	new
pages	NNS	page
feed	VBP	feed
,	,	,
"	''	"
for	IN	for
example	NN	example
,	,	,
so	RB	so
you	PP	you
can	MD	can
go	VB	go
to	TO	to
a	DT	a
certain	JJ	certain
page	NN	page
of	IN	of
Wikipedia	NP	<unknown>
and	CC	and
see	VB	see
every	DT	every
new	JJ	new
page	NN	page
as	IN	as
it	PP	it
'	POS	'
s	NN	S
created	VBD	create
.	SENT	.
This	DT	this
is	VBZ	be
really	RB	really
important	JJ	important
because	IN	because
a	DT	a
lot	NN	lot
of	IN	of
new	JJ	new
pages	NNS	page
are	VBP	be
just	RB	just
garbage	NN	garbage
that	WDT	that
has	VBZ	have
to	TO	to
be	VB	be
deleted	VBN	delete
,	,	,
you	PP	you
know	VBP	know
,	,	,
"	``	"
ASDFASDF	NP	<unknown>
.	SENT	.
"	``	"
But	CC	but
also	RB	also
,	,	,
that	IN	that
'	POS	'
s	NN	S
some	RB	some
of	IN	of
the	DT	the
most	RBS	most
interesting	JJ	interesting
and	CC	and
fun	NN	fun
things	NNS	thing
,	,	,
some	DT	some
of	IN	of
the	DT	the
new	JJ	new
articles	NNS	article
.	SENT	.
People	NNS	people
will	MD	will
start	VB	start
an	DT	an
article	NN	article
on	IN	on
some	DT	some
interesting	JJ	interesting
topic	NN	topic
,	,	,
other	JJ	other
people	NNS	people
will	MD	will
find	VB	find
that	IN	that
intriguing	JJ	intriguing
and	CC	and
jump	VB	jump
in	RP	in
and	CC	and
help	VB	help
and	CC	and
make	VB	make
it	PP	it
much	RB	much
better	RBR	well
.	SENT	.
So	RB	so
we	PP	we
do	VBP	do
have	VB	have
edits	VBZ	edit
by	IN	by
anonymous	JJ	anonymous
users	NNS	user
,	,	,
which	WDT	which
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
controversial	JJ	controversial
and	CC	and
intriguing	JJ	intriguing
things	NNS	thing
about	IN	about
Wikipedia	NP	<unknown>
.	SENT	.
So	RB	so
,	,	,
Chris	NP	Chris
was	VBD	be
able	JJ	able
to	TO	to
do	VB	do
his	PP$	his
change	NN	change
â	NP	<unknown>
he	PP	he
didn	NP	<unknown>
'	POS	'
t	NN	t
have	VBP	have
to	TO	to
log	VB	log
in	IN	in
or	CC	or
anything	NN	anything
;	:	;
he	PP	he
just	RB	just
went	VBD	go
on	IN	on
the	DT	the
website	NN	website
and	CC	and
made	VBD	make
a	DT	a
change	NN	change
.	SENT	.
But	CC	but
it	PP	it
turns	VBZ	turn
out	RP	out
that	IN	that
only	RB	only
about	RB	about
18	CD	@card@
percent	NN	percent
of	IN	of
all	PDT	all
the	DT	the
edits	VBZ	edit
to	TO	to
the	DT	the
website	NN	website
are	VBP	be
done	VBN	do
by	IN	by
anonymous	JJ	anonymous
users	NNS	user
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
a	DT	a
really	RB	really
important	JJ	important
thing	NN	thing
to	TO	to
understand	VB	understand
:	:	:
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
the	DT	the
edits	VBZ	edit
that	RB	that
go	VB	go
on	IN	on
on	IN	on
the	DT	the
website	NN	website
are	VBP	be
from	IN	from
a	DT	a
very	RB	very
close-knit	JJ	close-knit
community	NN	community
of	IN	of
maybe	RB	maybe
600	CD	@card@
to	TO	to
1	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
who	WP	who
are	VBP	be
in	IN	in
constant	JJ	constant
communication	NN	communication
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
over	IN	over
40	CD	@card@
IRC	NP	Irc
channels	NNS	channel
,	,	,
40	CD	@card@
mailing	NN	mailing
lists	NNS	list
.	SENT	.
All	PDT	all
these	DT	these
people	NNS	people
know	VBP	know
each	DT	each
other	JJ	other
.	SENT	.
They	PP	they
communicate	VBP	communicate
.	SENT	.
We	PP	we
have	VBP	have
off-line	NN	off-line
meetings	NNS	meeting
.	SENT	.
These	DT	these
are	VBP	be
the	DT	the
people	NNS	people
who	WP	who
are	VBP	be
doing	VBG	do
the	DT	the
bulk	NN	bulk
of	IN	of
the	DT	the
site	NN	site
,	,	,
and	CC	and
they	PP	they
are	VBP	be
,	,	,
in	IN	in
a	DT	a
sense	NN	sense
,	,	,
semi-professionals	NNS	semi-professional
at	IN	at
what	WP	what
they	PP	they
'	''	'
re	IN	re
doing	VBG	do
.	SENT	.
The	DT	the
standards	NNS	standard
we	PP	we
set	VBD	set
for	IN	for
ourselves	PP	ourselves
are	VBP	be
equal	JJ	equal
to	TO	to
or	CC	or
higher	JJR	high
than	IN	than
professional	JJ	professional
standards	NNS	standard
of	IN	of
quality	NN	quality
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
always	RB	always
meet	VB	meet
those	DT	those
standards	NNS	standard
,	,	,
but	CC	but
that	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
we	PP	we
'	POS	'
re	NN	re
striving	VBG	strive
for	IN	for
.	SENT	.
And	CC	and
so	RB	so
that	DT	that
tight	JJ	tight
community	NN	community
is	VBZ	be
who	WP	who
really	RB	really
cares	VBZ	care
for	IN	for
the	DT	the
site	NN	site
,	,	,
and	CC	and
these	DT	these
are	VBP	be
some	DT	some
of	IN	of
the	DT	the
smartest	JJS	smart
people	NNS	people
I	PP	I
'	POS	'
ve	NN	ve
ever	RB	ever
met	VBD	meet
.	SENT	.
It	PP	it
'	''	'
s	VBG	<unknown>
my	PP$	my
job	NN	job
to	TO	to
say	VB	say
that	IN	that
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
actually	RB	actually
true	JJ	true
.	SENT	.
The	DT	the
type	NN	type
of	IN	of
people	NNS	people
who	WP	who
were	VBD	be
drawn	VBN	draw
to	TO	to
writing	VBG	write
an	DT	an
encyclopedia	NN	encyclopedia
for	IN	for
fun	NN	fun
tend	VBP	tend
to	TO	to
be	VB	be
pretty	RB	pretty
smart	JJ	smart
people	NNS	people
.	SENT	.
The	DT	the
tools	NNS	tool
and	CC	and
the	DT	the
software	NN	software
:	:	:
there	EX	there
'	''	'
s	NN	S
lots	NNS	lot
of	IN	of
tools	NNS	tool
that	WDT	that
allow	VB	allow
us	PP	us
â	NP	<unknown>
allow	VB	allow
us	PP	us
,	,	,
meaning	VBG	mean
the	DT	the
community	NN	community
â	NP	<unknown>
to	TO	to
self-monitor	NN	self-monitor
and	CC	and
to	TO	to
monitor	VB	monitor
all	PDT	all
the	DT	the
work	NN	work
.	SENT	.
This	DT	this
is	VBZ	be
an	DT	an
example	NN	example
of	IN	of
a	DT	a
page	NN	page
history	NN	history
on	IN	on
"	``	"
flat	JJ	flat
Earth	NN	earth
,	,	,
"	``	"
and	CC	and
you	PP	you
can	MD	can
see	VB	see
some	DT	some
changes	NNS	change
that	WDT	that
were	VBD	be
made	VBN	make
.	SENT	.
What	WP	what
'	POS	'
s	NNS	<unknown>
nice	JJ	nice
about	IN	about
this	DT	this
page	NN	page
is	VBZ	be
you	PP	you
can	MD	can
immediately	RB	immediately
take	VB	take
a	DT	a
look	NN	look
at	IN	at
this	DT	this
and	CC	and
see	VBP	see
,	,	,
"	``	"
OK	UH	OK
,	,	,
I	PP	I
understand	VBP	understand
now	RB	now
.	SENT	.
"	``	"
When	WRB	when
somebody	NN	somebody
goes	VBZ	go
and	CC	and
looks	VBZ	look
at	IN	at
â	NP	<unknown>
they	PP	they
see	VBP	see
that	DT	that
someone	NN	someone
,	,	,
an	DT	an
anonymous	JJ	anonymous
IP	NP	IP
number	NN	number
,	,	,
made	VBD	make
an	DT	an
edit	VB	edit
to	TO	to
my	PP$	my
page	NN	page
.	SENT	.
That	DT	that
sounds	VBZ	sound
suspicious	JJ	suspicious
.	SENT	.
Who	WP	who
is	VBZ	be
this	DT	this
person	NN	person
?	SENT	?
Somebody	NN	somebody
looks	VBZ	look
at	IN	at
it	PP	it
â	NP	<unknown>
they	PP	they
can	MD	can
immediately	RB	immediately
see	VB	see
highlighted	VBN	highlight
in	IN	in
red	JJ	red
all	RB	all
of	IN	of
the	DT	the
changes	NNS	change
that	WDT	that
took	VBD	take
place	NN	place
â	NP	<unknown>
to	TO	to
see	VB	see
,	,	,
OK	UH	OK
,	,	,
well	UH	well
,	,	,
these	DT	these
words	NNS	word
have	VBP	have
changed	VBN	change
,	,	,
things	NNS	thing
like	IN	like
this	DT	this
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	VBZ	<unknown>
one	CD	one
tool	NN	tool
that	IN	that
we	PP	we
can	MD	can
use	VB	use
to	TO	to
very	RB	very
quickly	RB	quickly
monitor	VB	monitor
the	DT	the
history	NN	history
of	IN	of
a	DT	a
page	NN	page
.	SENT	.
Another	DT	another
thing	NN	thing
that	IN	that
we	PP	we
do	VBP	do
within	IN	within
the	DT	the
community	NN	community
is	VBZ	be
we	PP	we
leave	VBP	leave
everything	NN	everything
very	JJ	very
open-	NN	<unknown>
ended	VBD	end
.	SENT	.
Most	JJS	most
of	IN	of
the	DT	the
social	JJ	social
rules	NNS	rule
and	CC	and
the	DT	the
methods	NNS	method
of	IN	of
work	NN	work
are	VBP	be
left	VBN	leave
completely	RB	completely
open-ended	JJ	open-ended
in	IN	in
the	DT	the
software	NN	software
.	SENT	.
All	DT	all
of	IN	of
that	DT	that
stuff	NN	stuff
is	VBZ	be
just	RB	just
on	IN	on
Wiki	NP	<unknown>
pages	NNS	page
.	SENT	.
And	CC	and
so	RB	so
there	EX	there
'	''	'
s	NN	S
nothing	NN	nothing
in	IN	in
the	DT	the
software	NN	software
that	WDT	that
enforces	VBZ	enforce
the	DT	the
rules	NNS	rule
.	SENT	.
The	DT	the
example	NN	example
I	PP	I
'	POS	'
ve	NN	ve
got	VBD	get
up	RB	up
here	RB	here
is	VBZ	be
the	DT	the
Votes	NNS	vote
for	IN	for
Deletion	NN	deletion
page	NN	page
.	SENT	.
So	RB	so
,	,	,
I	PP	I
mentioned	VBD	mention
earlier	RBR	earlier
,	,	,
people	NNS	people
type	NN	type
"	``	"
ASDFASDF	NP	<unknown>
"	``	"
â	NP	<unknown>
it	PP	it
needs	VBZ	need
to	TO	to
be	VB	be
deleted	VBN	delete
.	SENT	.
Cases	NNS	case
like	VBP	like
that	IN	that
,	,	,
the	DT	the
administrators	NNS	administrator
just	RB	just
delete	VB	delete
it	PP	it
.	SENT	.
There	EX	there
'	POS	'
s	NNS	<unknown>
no	RB	no
reason	VBP	reason
to	TO	to
have	VB	have
a	DT	a
big	JJ	big
argument	NN	argument
about	IN	about
it	PP	it
.	SENT	.
But	CC	but
you	PP	you
can	MD	can
imagine	VB	imagine
there	RB	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
other	JJ	other
areas	NNS	area
where	WRB	where
the	DT	the
question	NN	question
is	VBZ	be
,	,	,
is	VBZ	be
this	DT	this
notable	JJ	notable
enough	NN	enough
to	TO	to
go	VB	go
in	IN	in
an	DT	an
encyclopedia	NN	encyclopedia
?	SENT	?
Is	VBZ	be
the	DT	the
information	NN	information
verifiable	JJ	verifiable
?	SENT	?
Is	VBZ	be
it	PP	it
a	DT	a
hoax	NN	hoax
?	SENT	?
Is	VBZ	be
it	PP	it
true	JJ	true
?	SENT	?
Is	VBZ	be
it	PP	it
what	WP	what
?	SENT	?
So	RB	so
we	PP	we
needed	VBD	need
a	DT	a
social	JJ	social
method	NN	method
for	IN	for
figuring	VBG	figure
out	RP	out
the	DT	the
answer	NN	answer
to	TO	to
this	DT	this
.	SENT	.
And	CC	and
so	RB	so
the	DT	the
method	NN	method
that	WDT	that
arose	VBD	arise
organically	RB	organically
within	IN	within
the	DT	the
community	NN	community
is	VBZ	be
the	DT	the
Votes	NNS	vote
For	IN	for
Deletion	NN	deletion
page	NN	page
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
particular	JJ	particular
example	NN	example
we	PP	we
have	VBP	have
here	RB	here
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
film	NN	film
,	,	,
"	''	"
Twisted	JJ	twisted
Issues	NNS	issue
,	,	,
"	''	"
and	CC	and
the	DT	the
first	JJ	first
person	NN	person
says	VBZ	say
,	,	,
"	``	"
Now	RB	now
this	DT	this
is	VBZ	be
supposedly	RB	supposedly
a	DT	a
film	NN	film
.	SENT	.
It	PP	it
fails	VBZ	fail
the	DT	the
Google	NP	<unknown>
test	NN	test
miserably	RB	miserably
.	SENT	.
"	``	"
The	DT	the
Google	NP	<unknown>
test	NN	test
is	VBZ	be
you	PP	you
look	VBP	look
in	IN	in
Google	NP	<unknown>
and	CC	and
see	VB	see
if	IN	if
it	PP	it
'	POS	'
s	NN	S
there	RB	there
,	,	,
because	IN	because
if	IN	if
something	NN	something
'	POS	'
s	NN	S
not	RB	not
even	RB	even
in	IN	in
Google	NP	<unknown>
,	,	,
it	PP	it
probably	RB	probably
doesn	NN	<unknown>
'	POS	'
t	NN	t
exist	VBP	exist
at	IN	at
all	DT	all
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
a	DT	a
perfect	JJ	perfect
rule	NN	rule
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
a	DT	a
nice	JJ	nice
starting	VBG	start
point	NN	point
for	IN	for
quick	JJ	quick
research	NN	research
.	SENT	.
So	RB	so
somebody	NN	somebody
says	VBZ	say
,	,	,
"	``	"
Delete	VB	delete
it	PP	it
,	,	,
please	UH	please
.	SENT	.
Delete	VB	delete
it	PP	it
â	NP	<unknown>
it	PP	it
'	POS	'
s	NN	S
not	RB	not
notable	JJ	notable
.	SENT	.
"	''	"
And	CC	and
then	RB	then
somebody	NN	somebody
says	VBZ	say
,	,	,
"	``	"
Wait	VB	wait
,	,	,
I	PP	I
found	VBD	find
it	PP	it
.	SENT	.
I	PP	I
found	VBD	find
it	PP	it
in	IN	in
a	DT	a
book	NN	book
,	,	,
'	''	'
Film	NP	Film
Threat	NP	Threat
Video	NP	Video
Guide	NP	Guide
:	:	:
the	DT	the
20	CD	@card@
Underground	JJ	underground
Films	NNS	film
You	PP	you
Must	MD	must
See	VB	see
.	SENT	.
'	''	'
"	``	"
So	IN	so
the	DT	the
next	JJ	next
persons	NNS	person
says	VBZ	say
,	,	,
"	``	"
Clean	NP	Clean
it	PP	it
up	RP	up
.	SENT	.
"	``	"
Somebody	NN	somebody
says	VBZ	say
,	,	,
"	``	"
I	PP	I
'	POS	'
ve	NN	ve
found	VBD	find
it	PP	it
on	IN	on
IMDB	NP	<unknown>
.	SENT	.
Keep	VB	keep
,	,	,
keep	VB	keep
,	,	,
keep	VB	keep
.	SENT	.
"	''	"
And	CC	and
what	WP	what
'	POS	'
s	NNS	<unknown>
interesting	JJ	interesting
about	IN	about
this	DT	this
is	VBZ	be
that	IN	that
the	DT	the
software	NN	software
is	VBZ	be
â	NP	<unknown>
these	DT	these
votes	NNS	vote
are	VBP	be
just	RB	just
text	NN	text
typed	VBN	type
into	IN	into
a	DT	a
page	NN	page
.	SENT	.
This	DT	this
is	VBZ	be
not	RB	not
really	RB	really
a	DT	a
vote	NN	vote
so	RB	so
much	RB	much
as	IN	as
it	PP	it
is	VBZ	be
a	DT	a
dialogue	NN	dialogue
.	SENT	.
Now	RB	now
it	PP	it
is	VBZ	be
true	JJ	true
that	IN	that
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
,	,	,
an	DT	an
administrator	NN	administrator
can	MD	can
go	VB	go
through	IN	through
here	RB	here
and	CC	and
take	VB	take
a	DT	a
look	NN	look
at	IN	at
this	DT	this
and	CC	and
say	VBP	say
,	,	,
"	``	"
OK	UH	OK
,	,	,
18	NP	@card@
deletes	VBZ	delete
,	,	,
two	CD	two
keeps	NNS	keep
:	:	:
we	PP	we
'	POS	'
ll	NNS	<unknown>
delete	VB	delete
it	PP	it
.	SENT	.
"	''	"
But	CC	but
in	IN	in
other	JJ	other
cases	NNS	case
,	,	,
this	DT	this
could	MD	could
be	VB	be
18	CD	@card@
deletes	VBZ	delete
and	CC	and
two	CD	two
keeps	NNS	keep
,	,	,
and	CC	and
we	PP	we
would	MD	would
keep	VB	keep
it	PP	it
,	,	,
because	IN	because
if	IN	if
those	DT	those
last	JJ	last
two	CD	two
keeps	NNS	keep
say	VBP	say
,	,	,
"	``	"
Wait	VB	wait
a	DT	a
minute	NN	minute
.	SENT	.
Nobody	NN	nobody
else	RB	else
saw	VBD	see
this	DT	this
but	CC	but
I	PP	I
found	VBD	find
it	PP	it
in	IN	in
a	DT	a
book	NN	book
,	,	,
and	CC	and
I	PP	I
found	VBD	find
a	DT	a
link	NN	link
to	TO	to
a	DT	a
page	NN	page
that	WDT	that
describes	VBZ	describe
it	PP	it
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
clean	VB	clean
it	PP	it
up	IN	up
tomorrow	NN	tomorrow
,	,	,
so	RB	so
please	VB	please
don	NN	don
'	POS	'
t	NN	t
delete	VB	delete
it	PP	it
,	,	,
"	``	"
then	RB	then
it	PP	it
would	MD	would
survive	VB	survive
.	SENT	.
And	CC	and
it	PP	it
also	RB	also
matters	VBZ	matter
who	WP	who
the	DT	the
people	NNS	people
are	VBP	be
who	WP	who
are	VBP	be
voting	VBG	vote
.	SENT	.
Like	IN	like
I	PP	I
say	VBP	say
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
tight-knit	NN	tight-knit
community	NN	community
.	SENT	.
Down	RB	down
here	RB	here
at	IN	at
the	DT	the
bottom	NN	bottom
,	,	,
"	''	"
Keep	NP	Keep
,	,	,
real	JJ	real
movie	NN	movie
,	,	,
"	''	"
RickK	NP	<unknown>
.	SENT	.
RickK	NP	<unknown>
is	VBZ	be
a	DT	a
very	RB	very
famous	JJ	famous
Wikipedian	NP	<unknown>
who	WP	who
does	VBZ	do
an	DT	an
enormous	JJ	enormous
amount	NN	amount
of	IN	of
work	NN	work
with	IN	with
vandalism	NN	vandalism
,	,	,
hoaxes	NNS	hoax
and	CC	and
votes	NNS	vote
for	IN	for
deletion	NN	deletion
.	SENT	.
His	PP$	his
voice	NN	voice
carries	VBZ	carry
a	DT	a
lot	NN	lot
of	IN	of
weight	NN	weight
within	IN	within
the	DT	the
community	NN	community
because	IN	because
he	PP	he
knows	VBZ	know
what	WP	what
he	PP	he
'	POS	'
s	NNS	<unknown>
doing	VBG	do
.	SENT	.
So	RB	so
how	WRB	how
is	VBZ	be
all	PDT	all
this	DT	this
governed	VBN	govern
?	SENT	?
People	NNS	people
really	RB	really
want	VBP	want
to	TO	to
know	VB	know
about	IN	about
administrators	NNS	administrator
,	,	,
things	NNS	thing
like	IN	like
that	DT	that
.	SENT	.
So	IN	so
the	DT	the
Wikipedia	NP	<unknown>
governance	NN	governance
model	NN	model
,	,	,
the	DT	the
governance	NN	governance
of	IN	of
the	DT	the
community	NN	community
,	,	,
is	VBZ	be
a	DT	a
very	RB	very
confusing	JJ	confusing
,	,	,
but	CC	but
workable	JJ	workable
mix	NN	mix
of	IN	of
consensus	NN	consensus
â	NP	<unknown>
meaning	VBG	mean
we	PP	we
try	VBP	try
not	RB	not
to	TO	to
vote	VB	vote
on	IN	on
the	DT	the
content	NN	content
of	IN	of
articles	NNS	article
,	,	,
because	IN	because
the	DT	the
majority	NN	majority
view	NN	view
is	VBZ	be
not	RB	not
necessarily	RB	necessarily
neutral	JJ	neutral
â	NP	<unknown>
some	DT	some
amount	NN	amount
of	IN	of
democracy	NN	democracy
â	NP	<unknown>
all	RB	all
of	IN	of
the	DT	the
administrators	NNS	administrator
â	NP	<unknown>
these	DT	these
are	VBP	be
the	DT	the
people	NNS	people
who	WP	who
have	VBP	have
the	DT	the
ability	NN	ability
to	TO	to
delete	VB	delete
pages	NNS	page
.	SENT	.
That	DT	that
doesn	NN	<unknown>
'	POS	'
t	NN	t
mean	VBP	mean
that	IN	that
they	PP	they
have	VBP	have
the	DT	the
right	NN	right
to	TO	to
delete	VB	delete
pages	NNS	page
.	SENT	.
They	PP	they
still	RB	still
have	VB	have
to	TO	to
follow	VB	follow
all	PDT	all
the	DT	the
rules	NNS	rule
â	NP	<unknown>
but	CC	but
they	PP	they
'	POS	'
re	NN	re
elected	VBN	elect
by	IN	by
the	DT	the
community	NN	community
.	SENT	.
Sometimes	RB	sometimes
people	NNS	people
â	NP	<unknown>
random	JJ	random
trolls	NNS	troll
on	IN	on
the	DT	the
Internet	NP	Internet
â	NP	<unknown>
like	VBP	like
to	TO	to
accuse	VB	accuse
me	PP	me
of	IN	of
handpicking	VBG	handpick
the	DT	the
administrators	NNS	administrator
to	TO	to
bias	VB	bias
the	DT	the
content	NN	content
of	IN	of
the	DT	the
encyclopedia	NN	encyclopedia
.	SENT	.
I	PP	I
always	RB	always
laugh	VB	laugh
at	IN	at
this	DT	this
,	,	,
because	IN	because
I	PP	I
have	VBP	have
no	DT	no
idea	NN	idea
how	WRB	how
they	PP	they
'	POS	'
re	NN	re
elected	VBD	elect
,	,	,
actually	RB	actually
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
certain	JJ	certain
amount	NN	amount
of	IN	of
aristocracy	NN	aristocracy
.	SENT	.
You	PP	you
got	VBD	get
a	DT	a
hint	NN	hint
of	IN	of
that	IN	that
when	WRB	when
I	PP	I
mentioned	VBD	mention
,	,	,
like	IN	like
,	,	,
RickK	NP	<unknown>
'	POS	'
s	NN	S
voice	NN	voice
