Corey corey
like like
to to
stay stay
with with
the the
market market
for for
a a
minute minute
. .
Obviously obviously
, ,
it it
' '
s s
something something
that that
interests interest
so so
many many
people people
. .
The the
state state
of of
the the
market market
doesn doesn
' '
t t
always always
correlate correlate
with with
what what
' '
s s
going go
on on
in in
the the
economy economy
. .
And and
the the
market market
and and
its its
players player
have have
changed change
so so
much much
over over
the the
past past
, ,
you you
know know
, ,
70 @card@
years year
or or
so so
, ,
70 @card@
, ,
90 @card@
years year
. .
So so
many many
more more
algorithms algorithm
, ,
and and
machines machine
and and
passive passive
investing investing
. .
And and
how how
do do
you you
think think
that that
affects affect
how how
the the
market market
is be
behaving behave
right right
now now
, ,
how how
it it
' '
s s
going go
to to
recover recover
over over
the the
next next
, ,
you you
know know
, ,
few few
years year
, ,
as as
the the
economy economy
recovers recover
? ?
RD rd
: :
The the
basic basic
fundamentals fundamental
of of
money money
credit credit
crisis crisis
, ,
who who
has have
what what
income income
, ,
who who
has have
what what
expenses expense
, ,
who who
has have
what what
balance balance
sheet sheet
, ,
and and
how how
do do
we we
deal deal
with with
money money
and and
credit credit
-- --
those those
things thing
, ,
which which
people people
often often
lose lose
sight sight
of of
, ,
because because
they they
happen happen
only only
once once
in in
one one
' '
s s
lifetime lifetime
. .
This this
period period
, ,
you you
have have
to to
go go
back back
to to
the the
1930s 1930s
as as
the the
last last
period period
. .
Those those
fundamentals fundamental
of of
what what
a a
bank bank
is be
, ,
and and
the the
associated associate
process process
, ,
have have
existed exist
all all
through through
time time
. .
Then then
it it
' '
s s
, ,
like like
, ,
technology technology
changes change
. .
Technology technology
evolves evolve
. .
And and
so so
the the
capacity capacity
to to
take take
one one
' '
s s
thinking thinking
and and
to to
put put
them them
in in
algorithms algorithm
-- --
we we
' '
ve ve
been be
doing do
this this
for for
25 @card@
years year
. .
The the
way way
we we
operate operate
is be
to to
take take
a a
principle principle
, ,
" "
How how
would would
I i
deal deal
with with
that that
situation situation
, ,
" "
and and
write write
it it
down down
, ,
put put
it it
into into
an an
algorithm algorithm
, ,
and and
then then
, ,
because because
the the
capacity capacity
to to
think think
has have
been be
radically radically
enhanced enhance
, ,
because because
the the
human human
mind mind
has have
a a
capacity capacity
problem problem
. .
It it
' '
s s
unique unique
in in
inventing invent
. .
But but
it it
can can
only only
process process
so so
much much
in in
so so
[ [
much much
] ]
time time
. .
So so
when when
worked work
in in
partnership partnership
with with
the the
computer computer
, ,
which which
has have
the the
capacity capacity
to to
take take
that that
thinking thinking
and and
replicate replicate
it it
and and
do do
all all
of of
that that
leverage leverage
thinking thinking
, ,
and and
thinking think
in in
advanced advanced
way way
, ,
that that
is be
the the
advancement advancement
of of
our our
time time
. .
And and
so so
you you
' '
re re
seeing see
that that
. .
So so
when when
you you
think think
algorithmic algorithmic
, ,
you you
know know
, ,
you you
' '
ve ve
got get
to to
break break
it it
down down
as as
to to
what what
it it
is be
. .
Is be
it it
sensible sensible
cause-effect cause-effect
relationships relationship
that that
are be
being be
dealt deal
with with
? ?
It it
all all
comes come
back back
to to
" "
Do do
you you
have have
understanding understanding
, ,
and and
are be
you you
successfully successfully
betting bet
on on
a a
cause-effect cause-effect
relationship relationship
? ?
" "
Because because
that that
' '
s s
the the
only only
way way
you you
' '
re re
going go
to to
make make
money money
. .
But but
the the
computer computer
can can
do do
it it
, ,
process process
that that
thing thing
, ,
in in
a a
much much
more more
advanced advanced
way way
. .
So so
that that
' '
s s
what what
' '
s s
going go
on on
. .
There there
will will
be be
people people
who who
will will
make make
the the
mistake mistake
of of
just just
applying apply
machine machine
learning learn
to to
the the
markets market
. .
And and
that that
generally generally
won win
' '
t t
work work
because because
of of
certain certain
things thing
. .
I i
guess guess
I i
should should
explain explain
, ,
because because
you you
asked ask
, ,
so so
. .
. .
. .
On on
algorithmic algorithmic
decision-making decision-making
, ,
there there
are be
two two
ways way
you you
can can
get get
your your
algorithm algorithm
. .
You you
can can
specify specify
the the
instruction instruction
to to
the the
computer computer
and and
have have
it it
follow follow
that that
and and
that that
will will
enable enable
your your
thinking thinking
. .
Or or
you you
can can
have have
the the
algorithm algorithm
come come
from from
putting put
a a
lot lot
of of
data datum
into into
the the
computer computer
, ,
and and
asking ask
, ,
" "
Computer computer
, ,
what what
would would
you you
do do
, ,
and and
what what
' '
s s
your your
algorithm algorithm
? ?
" "
The the
key key
difference difference
between between
those those
is be
do do
you you
have have
understanding understanding
of of
the the
cause-effect cause-effect
relationships relationship
? ?
You you
must must
have have
understanding understanding
of of
the the
cause-effect cause-effect
relationships relationship
to to
know know
what what
to to
believe believe
in in
. .
Because because
you you
can can
' '
t t
always always
get get
that that
in in
your your
sample sample
size size
. .
For for
example example
, ,
what what
' '
s s
happening happen
now now
, ,
you you
could could
not not
have have
run run
your your
computer computer
and and
have have
it it
in in
your your
sample sample
size size
, ,
because because
you you
would would
have have
to to
go go
back back
to to
the the
1930s 1930s
to to
have have
an an
analogous analogous
period period
. .
So so
what what
you you
-- --
It it
is be
how how
you you
do do
that that
, ,
but but
the the
capacity capacity
to to
learn learn
, ,
to to
invent invent
, ,
and and
to to
get get
, ,
you you
know know
, ,
that that
leverage leverage
in in
decision-making decision-making
, ,
is be
greater great
than than
ever ever
before before
. .
And and
that that
' '
s s
the the
power power
of of
our our
time time
. .
Some some
will will
do do
it it
well well
, ,
some some
will will
do do
it it
poorly poorly
, ,
but but
it it
really really
comes come
down down
to to
do do
you you
have have
the the
understanding understanding
of of
those those
cause-effect cause-effect
relationships relationship
, ,
so so
that that
you you
know know
how how
to to
place place
the the
right right
bet bet
. .
CH ch
: :
But but
that that
' '
s s
very very
different different
from from
the the
passive passive
investment investment
market market
, ,
which which
is be
such such
a a
huge huge
part part
of of
it it
now now
, ,
and and
that that
' '
s s
where where
most most
people people
, ,
you you
know know
, ,
the the
average average
person person
has have
their their
money money
. .
And and
I i
know know
that that
everything everything
is be
changing change
day-to-day day-to-day
, ,
but but
I i
also also
know know
that that
everyone everyone
is be
going go
to to
have have
this this
question question
on on
their their
minds mind
. .
So so
I i
' '
m m
going go
to to
ask ask
you you
-- --
I i
' '
m m
not not
going go
to to
ask ask
for for
specific specific
investment investment
advice advice
, ,
but but
everyone everyone
' '
s s
thinking thinking
about about
their their
401s 401s
. .
Do do
you you
have have
any any
general general
thoughts thought
about about
how how
people people
should should
approach approach
this this
time time
period period
with with
that that
kind kind
of of
money money
? ?
RD rd
: :
Yeah yeah
. .
First first
of of
all all
. .
. .
. .
an an
investor investor
must must
understand understand
that that
they they
probably probably
will will
not not
be be
able able
to to
play play
the the
game game
well well
. .
They they
probably probably
will will
not not
be be
able able
to to
decide decide
how how
to to
move move
in in
and and
out out
of of
things thing
. .
In in
order order
to to
be be
successful successful
in in
the the
markets market
, ,
it it
is be
more more
difficult difficult
than than
getting get
a a
gold gold
medal medal
in in
the the
Olympics olympics
. .
You you
wouldn wouldn
' '
t t
think think
about about
competing compete
in in
the the
Olympics olympics
, ,
but but
everybody everybody
thinks think
they they
can can
compete compete
in in
the the
markets market
. .
But but
there there
' '
s s
more more
money money
competing compete
. .
It it
' '
s s
like like
a a
zero-sum zero-sum
game game
and and
there there
' '
s s
more more
money money
doing do
it it
, ,
and and
the the
worst bad
thing thing
you you
could could
do do
is be
think think
you you
can can
time time
all all
of of
these these
movements movement
. .
I i
guarantee guarantee
you you
, ,
the the
game game
is be
a a
tough tough
game game
. .
We we
put put
hundreds hundred
of of
millions million
of of
dollars dollar
into into
the the
game game
every every
year year
. .
And and
it it
' '
s s
tough tough
. .
So so
what what
the the
individual individual
investor investor
needs need
to to
do do
is be
know know
how how
to to
diversify diversify
well well
. .
So so
the the
word word
that that
I i
would would
-- --
Know know
how how
to to
diversify diversify
well well
and and
in in
a a
balanced balanced
way way
. .
The the
greatest great
mistake mistake
of of
all all
investors investor
is be
to to
think think
that that
what what
has have
done do
well well
lately lately
is be
a a
better good
investment investment
, ,
rather rather
than than
more more
expensive expensive
. .
And and
what what
has have
done do
worse worse
lately lately
is be
the the
worst bad
investment investment
, ,
" "
get get
me me
out out
of of
it it
, ,
" "
rather rather
than than
" "
it it
' '
s s
cheap cheap
. .
" "
And and
unless unless
you you
know know
how how
to to
deal deal
with with
the the
differences difference
of of
those those
, ,
which which
most most
people people
don don
' '
t t
, ,
they they
' '
re re
going go
to to
be be
in in
trouble trouble
. .
So so
understand understand
that that
wealth wealth
, ,
total total
amount amount
of of
wealth wealth
in in
the the
world world
, ,
essentially essentially
doesn doesn
' '
t t
change change
very very
much much
, ,
OK ok
? ?
And and
that that
one one
thing thing
goes go
up up
, ,
another another
thing thing
goes go
down down
. .
And and
to to
know know
how how
to to
diversify diversify
. .
To to
diversify diversify
it it
in in
asset asset
classes class
, ,
to to
diversify diversify
it it
in in
countries country
. .
To to
diversify diversify
it it
in in
currencies currency
. .
To to
know know
how how
to to
diversify diversify
that that
well well
, ,
so so
that that
you you
have have
wealth wealth
diversification diversification
, ,
is be
important important
. .
Do do
not not
think think
that that
cash cash
is be
a a
safe safe
investment investment
. .
Most most
people people
think think
, ,
" "
Look look
, ,
I i
just just
want want
safety safety
. .
And and
those those
bonds bond
aren aren
' '
t t
giving give
me me
an an
interest interest
rate rate
, ,
" "
and and
so so
on on
, ,
" "
So so
where where
do do
I i
get get
safe safe
? ?
" "
Cash cash
is be
a a
seductive seductive
investment investment
, ,
because because
it it
doesn doesn
' '
t t
have have
as as
much much
volatility volatility
. .
But but
it it
taxes tax
you you
and and
your your
buying buy
power power
about about
two two
percent percent
a a
year year
. .
And and
so so
cash cash
is be
almost almost
always always
the the
worst bad
investment investment
. .
So so
you you
have have
to to
think think
about about
that that
. .
You you
should should
think think
a a
little little
bit bit
unconventionally unconventionally
. .
Do do
you you
have have
a a
little little
bit bit
of of
gold gold
? ?
Do do
you you
have have
a a
little little
bit bit
of of
, ,
in in
case case
this this
monetary monetary
system system
breaks break
down down
and and
money money
is be
redefined redefin
, ,
do do
you you
have have
a a
little little
bit bit
of of
that that
? ?
I i
can can
' '
t t
get get
into into
all all
the the
different different
ways way
that that
one one
can can
diversify diversify
well well
. .
I i
try try
to to
convey convey
those those
things thing
in in
my my
books book
, ,
or or
posts post
on on
LinkedIn linkedin
, ,
particularly particularly
. .
But but
I i
would would
say say
, ,
diversify diversify
well well
, ,
be be
humble humble
, ,
don don
' '
t t
market market
time time
and and
be be
conscious conscious
of of
the the
dangers danger
of of
cash cash
. .
CH ch
: :
Right right
, ,
that that
' '
s s
great great
advice advice
. .
I i
want want
to to
ask ask
one one
more more
, ,
sort sort
of of
, ,
big-picture big-picture
question question
before before
we we
start start
getting get
into into
how how
we we
should should
fix fix
capitalism capitalism
. .
We we
can can
talk talk
about about
that that
in in
a a
minute minute
, ,
tackle tackle
that that
one one
. .
But but
I i
have have
been be
reading read
your your
series series
on on
LinkedIn linkedin
, ,
" "
The the
Changing change
World world
Order order
. .
" "
It it
' '
s s
really really
fascinating fascinating
. .
I i
' '
m m
curious curious
what what
you you
think think
about about
, ,
there there
' '
s s
been be
, ,
sort sort
of of
, ,
this this
retreat retreat
from from
globalization globalization
as as
something something
we we
should should
all all
get get
behind behind
, ,
and and
I i
' '
m m
curious curious
what what
you you
think think
about about
that that
in in
terms term
of of
our our
recovery recovery
. .
This this
seems seem
like like
something something
that that
is be
going go
to to
require require
a a
coordinated coordinate
effort effort
, ,
you you
know know
, ,
financially financially
, ,
spiritually spiritually
, ,
in in
so so
many many
different different
ways way
. .
If if
we we
retreat retreat
from from
globalization globalization
right right
now now
, ,
does do
that that
make make
everything everything
harder harder
going go
forward forward
? ?
RD rd
: :
If if
we we
retreat retreat
from from
globalization globalization
, ,
which which
we we
certainly certainly
will will
do do
, ,
it it
will will
certainly certainly
make make
things thing
very very
hard hard
. .
And and
so so
we we
get get
down down
to to
comparing compare
idealism idealism
with with
reality reality
. .
So so
when when
you you
say say
globalization globalization
, ,
will will
that that
-- --
who who
will will
write write
what what
checks check
to to
people people
in in
countries country
that that
will will
be be
outside outside
of of
their their
domain domain
? ?
And and
there there
are be
large large
numbers number
of of
those those
people people
. .
You you
know know
, ,
my my
wife wife
and and
I i
are be
trying try
to to
help help
people people
in in
Connecticut connecticut
. .
And and
you you
know know
, ,
I i
can can
rattle rattle
off off
all all
that that
is be
, ,
what what
a a
job job
that that
is be
, ,
and and
so so
on on
. .
And and
so so
, ,
when when
you you
have have
congresses congress
and and
presidents president
and and
they they
start start
to to
say say
, ,
who who
will will
we we
help help
, ,
and and
how how
will will
that that
be be
, ,
and and
what what
will will
that that
mean mean
, ,
it it
gets get
down down
to to
real real
practical practical
questions question
. .
And and
the the
reality reality
is be
, ,
a a
lot lot
of of
those those
people people
won win
' '
t t
be be
helped help
. .
And and
then then
you you
' '
ll ll
deal deal
with with
, ,
how how
will will
they they
behave behave
for for
each each
other other
? ?
One one
country country
' '
s s
vulnerabilities vulnerability
, ,
another another
country country
' '
s s
opportunities opportunity
. .
In in
such such
times time
, ,
this this
is be
the the
case case
, ,
because because
-- --
You you
know know
, ,
Graham graham
Allison allison
wrote write
a a
book book
about about
the the
Thucydides thucydides
trap trap
, ,
and and
he he
reminds remind
us us
, ,
over over
the the
last last
500 @card@
years year
, ,
there there
have have
been be
16 @card@
countries country
in in
which which
there there
' '
s s
been be
a a
rivalry rivalry
of of
an an
empire empire
challenging challenge
another another
. .
In in
12 @card@
of of
those those
cases case
, ,
there there
have have
been be
wars war
. .
Because because
, ,
at at
the the
end end
of of
the the
day day
, ,
there there
' '
s s
not not
even even
a a
global global
legal legal
system system
. .
Power power
is be
what what
is be
the the
currency currency
of of
that that
. .
So so
when when
you you
get get
into into
how how
do do
you you
resolve resolve
the the
dispute dispute
as as
to to
who who
gets get
what what
, ,
that that
becomes become
a a
very very
complicated complicated
question question
. .
So so
I i
' '
m m
a a
globalist globalist
. .
Meaning meaning
, ,
I i
have have
a a
dream dream
and and
a a
wish wish
that that
the the
best good
of of
the the
best good
can can
operate operate
together together
and and
work work
together together
for for
that that
common common
good good
and and
so so
on on
. .
But but
it it
' '
s s
dying die
, ,
because because
we we
' '
re re
in in
an an
interconnected interconnect
, ,
fragmented fragmented
world world
. .
The the
fragmentation fragmentation
of of
this this
, ,
" "
Can can
I i
depend depend
on on
somebody somebody
else else
to to
give give
me me
something something
I i
need need
? ?
" "
Or or
" "
Can can
I i
depend depend
on on
them them
not not
taking take
advantage advantage
of of
me me
? ?
" "
No no
, ,
you you
can can
' '
t t
make make
those those
dependencies dependency
anymore anymore
. .
And and
that that
exists exist
within within
countries country
as as
well well
as as
between between
countries country
. .
CH ch
: :
Yeah yeah
, ,
I i
mean mean
, ,
it it
seems seem
like like
, ,
you you
talk talk
about about
productivity productivity
and and
the the
importance importance
of of
productivity productivity
for for
us us
all all
to to
have have
a a
better good
life life
, ,
and and
it it
just just
seems seem
like like
on on
a a
global global
level level
, ,
the the
same same
should should
hold hold
true true
. .
If if
we we
' '
re re
all all
focused focus
on on
being be
more more
productive productive
together together
, ,
and and
in in
that that
interconnected interconnect
way way
, ,
we we
' '
ll ll
all all
do do
better well
, ,
as as
opposed oppose
to to
, ,
kind kind
of of
, ,
hoarding hoard
one one
asset asset
or or
one one
set set
of of
resources resource
. .
RD rd
: :
You you
' '
re re
certainly certainly
true true
. .
That that
has have
always always
been be
true true
, ,
but but
never never
more more
true true
than than
today today
. .
And and
at at
the the
same same
time time
, ,
read read
history history
. .
And and
understand understand
the the
mechanics mechanic
and and
the the
issues issue
and and
the the
challenges challenge
of of
this this
. .
This this
separation separation
began begin
before before
we we
had have
this this
isolation isolation
of of
the the
United united
States states
relative relative
to to
the the
rest rest
of of
the the
world world
. .
This this
deglobalization deglobalization
began begin
before before
we we
had have
this this
that that
fosters foster
more more
of of
it it
, ,
right right
? ?
And and
it it
happened happen
for for
reasons reason
, ,
OK ok
? ?
So so
don don
' '
t t
overlook overlook
those those
reasons reason
, ,
and and
don don
' '
t t
overlook overlook
the the
reading reading
of of
history history
, ,
just just
because because
we we
wish wish
it it
can can
happen happen
. .
If if
you you
want want
to to
wish wish
it it
happens happen
, ,
everything everything
is be
all all
dependent dependent
on on
the the
behavior behavior
of of
those those
who who
have have
their their
hands hand
on on
the the
levers lever
of of
power power
. .
I i
would would
tell tell
you you
, ,
like like
, ,
for for
example example
, ,
right right
now now
-- --
I i
' '
ve ve
been be
going go
to to
China china
for for
a a
long long
time time
, ,
and and
the the
Chinese chinese
, ,
in in
many many
ways way
, ,
are be
helping help
, ,
in in
many many
ways way
, ,
things thing
that that
are be
needed need
in in
this this
crisis crisis
and and
all all
that that
. .
To to
even even
say say
that that
is be
a a
politically politically
challenging challenging
thing thing
, ,
OK ok
? ?
Because because
we we
' '
re re
in in
a a
world world
that that
is be
so so
fragmented fragmented
that that
even even
to to
publicly publicly
say say
" "
thank thank
you you
, ,
" "
and and
" "
thank thank
you you
" "
to to
many many
people people
and and
many many
companies company
-- --
It it
' '
s s
almost almost
dangerous dangerous
to to
say say
" "
thank thank
you you
" "
to to
those those
who who
are be
helping help
, ,
because because
we we
' '
re re
now now
in in
an an
environment environment
in in
which which
there there
are be
enemies enemy
. .
And and
who who
is be
evil evil
? ?
And and
do do
you you
fall fall
into into
that that
category category
? ?
And and
so so
, ,
the the
history history
of of
these these
is be
there there
' '
s s
demonizations demonization
of of
different different
people people
. .
OK ok
? ?
Now now
you you
must must
see see
it it
around around
you you
. .
It it
exists exist
. .
And and
so so
how how
we we
come come
out out
of of
this this
will will
be be
how how
we we
behave behave
with with
each each
other other
. .
CH ch
: :
Yeah yeah
. .
That that
' '
s s
such such
an an
important important
point point
, ,
and and
I i
think think
all all
of of
us us
here here
would would
say say
" "
thank thank
you you
" "
to to
, ,
you you
know know
, ,
the the
different different
people people
helping help
out out
in in
this this
situation situation
. .
We we
do do
need need
each each
other other
. .
I i
do do
want want
to to
get get
to to
this this
issue issue
of of
capitalism capitalism
. .
Because because
when when
we we
talked talk
a a
few few
days day
ago ago
, ,
you you
mentioned mention
-- --
and and
earlier earlier
in in
this this
conversation conversation
as as
well well
-- --
how how
, ,
you you
know know
, ,
this this
period period
of of
time time
we we
can can
emerge emerge
stronger strong
and and
better good
than than
before before
. .
And and
about about
a a
year year
ago ago
, ,
you you
wrote write
a a
piece piece
about about
how how
capitalism capitalism
needs need
to to
be be
reformed reform
, ,
focused focus
a a
lot lot
on on
the the
wealth wealth
gap gap
, ,
the the
growing grow
wealth wealth
gap gap
and and
the the
problems problem
that that
that that
' '
s s
causing cause
. .
So so
what what
' '
s s
our our
opportunity opportunity
here here
, ,
what what
changes change
can can
we we
make make
? ?
RD rd
: :
Well well
, ,
you you
know know
, ,
what what
I i
was be
seeing see
was be
, ,
do do
we we
want want
the the
outcomes outcome
that that
we we
' '
re re
getting get
, ,
that that
the the
system system
is be
producing produce
? ?
Do do
we we
have have
-- --
What what
is be
our our
American american
dream dream
? ?
What what
is be
that that
? ?
We we
' '
re re
not not
even even
almost almost
talking talk
about about
that that
. .
When when
I i
was be
growing grow
up up
-- --
So so
again again
, ,
I i
was be
born bear
1949 @card@
, ,
right right
after after
the the
new new
world world
order order
was be
created create
. .
New new
world world
order order
was be
created create
1945 @card@
. .
In in
1945 @card@
. .
And and
that that
was be
when when
there there
was be
the the
breakdown breakdown
of of
the the
system system
and and
then then
we we
had have
a a
new new
world world
order order
. .
We we
didn didn
' '
t t
have have
as as
much much
debt debt
, ,
we we
came come
back back
[ [
from from
] ]
the the
war war
, ,
and and
there there
was be
an an
environment environment
of of
equal equal
opportunity opportunity
. .
And and
that that
notion notion
of of
equal equal
opportunity opportunity
. .
And and
there there
was be
an an
American american
dream dream
. .
And and
there there
was be
a a
harmony harmony
and and
a a
going go
through through
it it
together together
. .
And and
by by
the the
way way
, ,
that that
' '
s s
not not
a a
one-off one-off
. .
If if
you you
read read
histories history
, ,
you you
see see
these these
periods period
of of
collapse collapse
and and
clash clash
and and
fighting fighting
, ,
followed follow
by by
these these
periods period
of of
-- --
You you
know know
, ,
you you
construct construct
the the
balance balance
sheets sheet
, ,
you you
change change
the the
system system
and and
then then
you you
begin begin
a a
new new
system system
and and
you you
come come
back back
and and
you you
work work
together together
. .
And and
then then
I i
' '
m m
seeing see
, ,
around around
me me
, ,
children child
in in
school school
and and
education education
systems system
in in
poor poor
neighborhoods neighborhood
are be
sharing share
-- --
They they
don don
' '
t t
have have
adequate adequate
resources resource
. .
There there
' '
s s
no no
excuse excuse
. .
And and
so so
the the
idea idea
that that
the the
profit profit
system system
can can
accomplish accomplish
everything everything
is be
not not
right right
. .
Because because
resource resource
allocation allocation
goes go
to to
those those
who who
have have
the the
resource resource
. .
And and
so so
throughout throughout
all all
history history
, ,
you you
go go
back back
hundreds hundred
of of
years year
, ,
you you
see see
that that
any any
system system
works work
for for
those those
who who
tend tend
to to
control control
the the
system system
. .
So so
let let
' '
s s
say say
we we
have have
a a
capitalist capitalist
system system
, ,
and and
we we
have have
entrepreneurs entrepreneur
, ,
and and
you you
acquire acquire
money money
, ,
and and
all all
that that
. .
And and
then then
, ,
working work
with with
those those
in in
government government
, ,
and and
they they
have have
a a
symbiotic symbiotic
relationship relationship
and and
it it
works work
well well
for for
them them
. .
So so
it it
' '
s s
self-perpetuating self-perpetuating
, ,
because because
the the
education education
of of
those those
who who
are be
those those
, ,
is be
better good
than than
the the
education education
of of
those those
who who
aren aren
' '
t t
those those
. .
So so
, ,
for for
example example
, ,
in in
our our
system system
, ,
those those
in in
the the
top top
40 @card@
percent percent
on on
average average
, ,
spend spend
five five
times time
as as
much much
money money
on on
their their
children child
' '
s s
education education
than than
those those
who who
are be
in in
the the
bottom bottom
60 @card@
percent percent
. .
And and
so so
it it
becomes become
self-perpetuating self-perpetuating
. .
And and
so so
when when
I i
look look
at at
that that
, ,
I i
' '
m m
saying say
, ,
" "
I i
' '
m m
a a
capitalist capitalist
, ,
please please
understand understand
, ,
I i
' '
m m
a a
capitalist capitalist
, ,
I i
believe believe
in in
the the
system system
, ,
I i
believe believe
you you
can can
increase increase
the the
size size
of of
the the
pie pie
and and
you you
can can
divide divide
it it
well well
, ,
and and
if if
we we
talk talk
about about
how how
to to
do do
that that
effectively effectively
, ,
we we
need need
to to
do do
it it
. .
" "
But but
there there
comes come
a a
time time
that that
there there
needs need
reforms reform
. .
And and
those those
reforms reform
have have
to to
create create
productivity productivity
. .
It it
doesn doesn
' '
t t
mean mean
just just
give give
money money
away away
. .
It it
means mean
, ,
how how
do do
you you
make make
those those
people people
productive productive
, ,
so so
that that
they they
' '
re re
also also
psychologically psychologically
productive productive
as as
well well
as as
physically physically
productive productive
and and
producing produce
output output
. .
You you
need need
to to
do do
that that
system system
. .
And and
so so
for for
reasons reason
I i
wrote write
on on
that that
page page
, ,
that that
post post
-- --
it it
' '
s s
on on
LinkedIn linkedin
if if
people people
want want
it it
-- --
that that
you you
need need
to to
restructure restructure
it it
. .
Now now
we we
are be
restructuring restructure
it it
, ,
OK ok
? ?
It it
' '
s s
the the
inevitable inevitable
consequence consequence
of of
what what
we we
' '
re re
doing do
here here
. .
We we
will will
come come
out out
of of
that that
. .
There there
has have
been be
a a
tremendous tremendous
transfer transfer
of of
wealth wealth
, ,
whether whether
people people
realize realize
it it
or or
not not
, ,
through through
the the
production production
of of
all all
of of
that that
borrowed borrow
money money
. .
And and
all all
of of
that that
producing producing
of of
money money
, ,
that that
is be
a a
big big
force force
. .
We we
will will
come come
out out
of of
here here
, ,
and and
the the
thing thing
we we
will will
talk talk
about about
over over
the the
next next
couple couple
of of
years year
, ,
and and
probably probably
sooner sooner
rather rather
than than
later later
, ,
is be
how how
we we
do do
that that
restructuring restructuring
. .
And and
my my
worry worry
now now
is be
the the
same same
as as
my my
worry worry
then then
. .
Whether whether
that that
will will
be be
done do
in in
a a
civil civil
, ,
bipartisan bipartisan
way way
that that
will will
both both
increase increase
the the
size size
of of
the the
pie pie
and and
divide divide
it it
well well
, ,
rather rather
than than
damage damage
the the
economy economy
, ,
because because
you you
lose lose
productivity productivity
. .
There there
are be
certain certain
things thing
that that
are be
great great
investments investment
, ,
education education
is be
a a
great great
investment investment
. .
The the
more more
people people
you you
have have
that that
are be
well-educated well-educated
, ,
and and
you you
have have
equal equal
education education
, ,
the the
more more
people people
you you
are be
going go
to to
have have
who who
have have
the the
chance chance
to to
compete compete
with with
each each
other other
, ,
and and
raise raise
that that
over over
a a
period period
of of
time time
. .
It it
' '
s s
a a
hell hell
of of
an an
investment investment
. .
It it
will will
produce produce
more more
productivity productivity
than than
it it
ever ever
will will
cost cost
, ,
if if
it it
' '
s s
done do
well well
. .
But but
what what
happens happen
is be
, ,
states state
and and
localities locality
think think
of of
it it
as as
a a
budget budget
item item
. .
So so
they they
look look
at at
expenses expense
. .
And and
they they
penny-pinch penny-pinch
on on
the the
education education
. .
Because because
if if
you you
' '
re re
in in
a a
rich rich
town town
, ,
your your
kids kid
will will
get get
a a
good good
education education
. .
And and
if if
you you
' '
re re
not not
-- --
And and
a a
large large
percentage percentage
of of
the the
population population
is be
losing lose
that that
. .
So so
that that
has have
to to
be be
engineered engineer
well well
, ,
so so
that that
they they
are be
productive productive
, ,
as as
well well
as as
divide divide
the the
pie pie
well well
, ,
and and
everybody everybody
believes believe
that that
the the
system system
is be
fair fair
. .
We we
can can
get get
there there
. .
Am be
I i
optimistic optimistic
that that
we we
will will
get get
there there
? ?
You you
know know
, ,
I i
don don
' '
t t
know know
. .
I i
would would
say say
, ,
I i
' '
m m
60-40 @card@
pessimistic pessimistic
that that
we we
' '
ll ll
be be
good good
enough enough
with with
each each
other other
to to
do do
that that
. .
But but
there there
' '
s s
that that
possibility possibility
. .
This this
is be
our our
test test
. .
This this
is be
our our
stress stress
test test
. .
CA ca
: :
Ray ray
, ,
there there
' '
s s
so so
much much
interest interest
in in
this this
question question
of of
how how
we we
emerge emerge
from from
this this
, ,
whether whether
it it
' '
s s
genuinely genuinely
possible possible
to to
rebuild rebuild
the the
economy economy
in in
a a
way way
that that
' '
s s
fairer fair
. .
I i
just just
want want
to to
read read
one one
last last
question question
, ,
this this
one one
' '
s s
from from
my my
Twitter twitter
feed feed
. .
" "
Do do
you you
think think
that that
the the
current current
crisis crisis
is be
showing show
that that
low-paid low-paid
and and
/ /
or or
unskilled unskilled
workers worker
are be
what what
holds hold
countries country
together together
, ,
even even
more more
so so
than than
banks bank
and and
hedge hedge
funds fund
? ?
And and
if if
so so
, ,
as as
part part
of of
the the
rebuilding rebuilding
, ,
can can
we we
build build
an an
economy economy
that that
raises raise
their their
interest interest
higher higher
? ?
" "
RD rd
: :
Those those
-- --
The the
heroes hero
are be
those those
kind kind
of of
people people
. .
OK ok
, ,
really really
. .
But but
it it
takes take
everyone everyone
, ,
OK ok
? ?
It it
takes take
the the
efficient efficient
allocation allocation
of of
resources resource
for for
-- --
As as
you you
probably probably
have have
seen see
behind behind
the the
scenes scene
, ,
we we
see see
those those
who who
control control
a a
lot lot
of of
resources resource
being be
able able
to to
make make
contributions contribution
. .
We we
' '
re re
giving give
60 @card@
, ,
000 @card@
computers computer
to to
poor poor
students student
, ,
so so
that that
they they
can can
learn learn
. .
You you
know know
, ,
the the
difference difference
between between
a a
rich rich
and and
a a
poor poor
student student
is be
having have
a a
computer computer
and and
having have
the the
ability ability
to to
learn learn
. .
And and
I i
want want
to to
thank thank
those those
who who
would would
be be
embarrassed embarrass
and and
almost almost
afraid afraid
to to
hear hear
it it
of of
how how
they they
contributed contribute
to to
that that
process process
. .
And and
at at
the the
same same
time time
, ,
those those
other other
people people
, ,
who who
are be
every every
day day
serving serve
in in
so so
many many
ways way
, ,
so so
it it
' '
s s
good good
character character
and and
it it
' '
s s
that that
-- --
You you
know know
, ,
when when
people people
came come
back back
from from
war war
, ,
they they
built build
the the
greatest great
generation generation
. .
