Bruno bruno
steam steam
spins spin
a a
turbine turbine
which which
activates activate
a a
generator generator
which which
pushes push
electrons electron
through through
the the
wire wire
. .
This this
current current
propagates propagate
through through
hundreds hundred
of of
miles mile
of of
electric electric
cables cable
and and
arrives arrive
at at
your your
home home
. .
All all
around around
the the
world world
, ,
countless countless
people people
are be
doing do
this this
every every
second second
: :
flipping flip
a a
switch switch
, ,
plugging plug
in in
, ,
pressing press
an an
" "
on on
" "
button button
. .
So so
how how
much much
electricity electricity
does do
humanity humanity
need need
? ?
Giussani giussani
: :
The the
answer answer
to to
that that
and and
to to
many many
other other
climate climate
questions question
, ,
of of
course course
, ,
is be
in in
the the
seven seven
animations animation
available available
on on
the the
TED-Ed ted-ed
site site
, ,
and and
the the
TED-Ed ted-ed
YouTube youtube
channel channel
. .
Bill bill
, ,
you you
mentioned mention
the the
younger young
generation generation
before before
. .
How how
does do
the the
younger young
generation generation
' '
s s
role role
in in
solving solve
this this
problem problem
inspire inspire
you you
? ?
Gates gates
: :
Well well
, ,
they they
. .
. .
. .
can can
make make
sure sure
this this
is be
a a
priority priority
. .
And and
if if
we we
have have
, ,
you you
know know
, ,
it it
' '
s s
a a
priority priority
for for
four four
years year
, ,
then then
it it
' '
s s
not not
for for
four four
years year
, ,
you you
can can
' '
t t
ask ask
the the
trillions trillion
of of
investment investment
in in
the the
new new
approach approach
to to
take take
place place
. .
It it
' '
s s
got get
to to
be be
pretty pretty
clear clear
that that
even even
though though
political political
parties party
may may
disagree disagree
on on
the the
tactics tactic
, ,
the the
same same
way way
they they
agree agree
there there
should should
be be
a a
strong strong
defense defense
that that
they they
agree agree
this this
zero zero
by by
2050 @card@
is be
a a
shared shared
goal goal
, ,
and and
then then
discuss discuss
, ,
OK ok
, ,
where where
does do
government government
come come
in in
, ,
where where
does do
the the
private private
sector sector
come come
in in
, ,
which which
area area
deserves deserve
priority priority
? ?
That that
will will
be be
a a
huge huge
milestone milestone
where where
it it
' '
s s
a a
discussion discussion
about about
how how
to to
get get
there there
versus versus
whether whether
to to
get get
there there
. .
And and
the the
US us
is be
the the
most most
fraught fraught
in in
terms term
of of
it it
being be
politicized politicize
, ,
even even
in in
terms term
of of
, ,
is be
this this
a a
huge huge
problem problem
or or
not not
. .
So so
, ,
you you
know know
, ,
young young
people people
, ,
they they
' '
re re
going go
to to
be be
around around
to to
see see
the the
good good
news news
if if
we we
' '
re re
able able
to to
achieve achieve
this this
. .
You you
know know
, ,
I i
won win
' '
t t
be be
around around
. .
But but
, ,
they they
speak speak
with with
moral moral
authority authority
and and
they they
have have
particular particular
people people
who who
are be
stepping step
up up
on on
this this
. .
But but
I i
hope hope
that that
' '
s s
just just
the the
beginning beginning
. .
And and
that that
' '
s s
why why
this this
year year
, ,
I i
think think
, ,
is be
so so
important important
. .
All all
this this
recovery recovery
money money
being be
programed program
, ,
people people
thinking think
about about
, ,
do do
governments government
protect protect
us us
the the
way way
they they
should should
, ,
do do
governments government
work work
together together
? ?
You you
know know
, ,
the the
pandemic pandemic
has have
teed tee
this this
up up
, ,
it it
' '
s s
OK ok
, ,
what what
' '
s s
the the
next next
big big
problem problem
we we
need need
to to
collaborate collaborate
around around
? ?
And and
I i
' '
m m
hoping hope
that that
climate climate
appears appear
there there
because because
of of
these these
activists activist
. .
Giussani giussani
: :
Yeah yeah
, ,
we we
ought ought
to to
come come
back back
to to
the the
pandemic pandemic
question question
. .
But but
I i
want want
to to
talk talk
a a
moment moment
about about
some some
specific specific
technology technology
breakthroughs breakthrough
that that
you you
mention mention
in in
the the
book book
. .
But but
you you
also also
just just
mentioned mention
the the
organization organization
you you
set set
up up
, ,
Breakthrough breakthrough
Energy energy
, ,
to to
invest invest
in in
clean clean
tech tech
start-up start-up
and and
advocate advocate
for for
policies policy
. .
And and
I i
assume assume
somehow somehow
your your
book book
is be
kind kind
of of
a a
blueprint blueprint
for for
what what
Breakthrough breakthrough
Energy energy
is be
going go
to to
do do
. .
There there
is be
a a
branch branch
in in
that that
organization organization
, ,
called call
Catalyst catalyst
, ,
that that
' '
s s
prioritizing prioritizing
several several
technologies technology
, ,
including include
green green
hydrogen hydrogen
direct direct
carbon-capture carbon-capture
, ,
aviation aviation
biofuels biofuel
. .
I i
don don
' '
t t
want want
to to
ask ask
you you
about about
specific specific
investments investment
, ,
but but
I i
would would
like like
to to
ask ask
you you
to to
describe describe
why why
those those
priorities priority
, ,
maybe maybe
starting start
with with
green green
hydrogen hydrogen
. .
Gates gates
: :
If if
we we
can can
get get
green green
hydrogen hydrogen
that that
' '
s s
very very
cheap cheap
, ,
and and
we we
don don
' '
t t
know know
that that
we we
can can
, ,
that that
becomes become
a a
magic magic
ingredient ingredient
to to
a a
lot lot
of of
processes process
that that
lets let
you you
make make
fertilizer fertilizer
without without
using use
natural natural
gas gas
, ,
it it
lets let
you you
reduce reduce
iron iron
ore ore
for for
steel steel
production production
without without
using use
any any
form form
of of
coal coal
. .
And and
so so
there there
' '
s s
two two
ways way
to to
make make
it it
. .
You you
can can
take take
water water
and and
split split
it it
into into
hydrogen hydrogen
and and
oxygen oxygen
. .
You you
can can
take take
natural natural
gas gas
and and
pull pull
out out
the the
hydrogen hydrogen
. .
And and
so so
it it
' '
s s
kind kind
of of
a a
holy holy
grail grail
, ,
you you
know know
, ,
and and
so so
we we
need need
to to
get get
going go
. .
We we
need need
to to
get get
all all
the the
components component
to to
be be
very very
, ,
very very
cheap cheap
. .
And and
only only
by by
actually actually
doing do
projects project
, ,
significant significant
scale scale
projects project
, ,
do do
you you
get get
on on
to to
that that
learning learn
curve curve
. .
And and
so so
Catalyst catalyst
will will
fund fund
the the
early early
pilot pilot
projects project
along along
with with
governments government
to to
go go
make make
green green
hydrogen hydrogen
, ,
get get
the the
electrolyzers electrolyzers
to to
get get
up up
in in
volume volume
and and
get get
a a
lot lot
cheaper cheap
, ,
because because
that that
would would
be be
a a
huge huge
advance advance
. .
Lot lot
of of
manufacturing manufacturing
, ,
not not
all all
of of
it it
, ,
but but
a a
lot lot
of of
it it
would would
be be
solved solve
with with
that that
. .
Giussani giussani
: :
So so
just just
for for
those those
who who
don don
' '
t t
know know
, ,
green green
hydrogen hydrogen
is be
produced produce
with with
clean clean
energy energy
sources source
, ,
wind wind
, ,
solar solar
and and
so so
, ,
nitrogen nitrogen
produced produce
from from
natural natural
gas gas
or or
fossil fossil
gas gas
is be
called call
gray gray
hydrogen hydrogen
. .
The the
second second
priority priority
that that
you you
have have
set set
is be
direct direct
carbon carbon
capture capture
, ,
pulling pull
carbon carbon
from from
the the
atmosphere atmosphere
. .
And and
at at
least least
in in
theory theory
, ,
we we
can can
find find
a a
way way
to to
do do
that that
at at
large large
scale scale
. .
Together together
with with
other other
technologies technology
the the
problem problem
could could
be be
solved solve
, ,
but but
it it
' '
s s
a a
very very
early-stage early-stage
, ,
unproven unproven
technology technology
. .
You you
describe describe
it it
yourself yourself
in in
the the
book book
as as
a a
thought think
experiment experiment
at at
this this
stage stage
. .
But but
you you
are be
one one
of of
the the
main main
investors investor
in in
this this
sector sector
in in
the the
world world
. .
So so
what what
' '
s s
the the
real real
potential potential
for for
direct direct
carbon carbon
capture capture
? ?
Gates gate
: :
So so
there there
' '
s s
a a
company company
today today
, ,
Climeworks climeworks
, ,
that that
for for
a a
bit bit
over over
600 @card@
dollars dollar
a a
ton ton
will will
do do
capture capture
. .
Now now
it it
' '
s s
at at
fairly fairly
small small
scale scale
. .
I i
' '
m m
a a
customer customer
of of
theirs theirs
as as
part part
of of
my my
program program
where where
I i
eliminate eliminate
all all
of of
my my
carbon carbon
emissions emission
in in
a a
gold gold
standard standard
way way
. .
There there
are be
other other
people people
who who
are be
trying try
to to
do do
larger-scale larger-scale
plants plant
like like
Carbon carbon
Engineering engineering
. .
Breakthrough breakthrough
Energy energy
is be
investing invest
in in
a a
number number
of of
these these
carbon-capture carbon-capture
entities entity
. .
In in
a a
way way
, ,
the the
carbon carbon
capture capture
is be
for for
the the
part part
that that
you you
can can
' '
t t
solve solve
any any
other other
way way
. .
It it
' '
s s
kind kind
of of
the the
brute-force brute-force
piece piece
, ,
and and
no no
one one
knows know
what what
that that
price price
will will
be be
. .
If if
it it
' '
s s
100 @card@
dollars dollar
a a
ton ton
, ,
then then
the the
cost cost
against against
current current
emissions emission
would would
be be
five five
trillion trillion
a a
year year
. .
Can can
we we
get get
below below
100 @card@
dollars dollar
a a
ton ton
? ?
It it
' '
s s
not not
clear clear
that that
we we
can can
, ,
but but
it it
would would
be be
fantastic fantastic
to to
take take
the the
final final
10 @card@
, ,
15 @card@
percent percent
of of
emissions emission
, ,
and and
instead instead
of of
making make
the the
change change
at at
the the
place place
where where
the the
emission emission
takes take
place place
, ,
just just
do do
this this
, ,
direct direct
air air
capture capture
. .
To to
be be
clear clear
, ,
direct direct
air air
capture capture
means mean
you you
' '
re re
just just
filtering filter
the the
air air
, ,
and and
you you
' '
re re
pulling pull
out out
the the
410 @card@
million million
current current
parts part
per per
million million
and and
putting put
that that
into into
a a
pressurized pressurize
form form
of of
CO2 co2
that that
then then
you you
sequester sequester
in in
someplace someplace
that that
you you
know know
it it
' '
ll ll
stay stay
for for
millions million
of of
years year
. .
And and
so so
this this
industry industry
is be
just just
at at
the the
very very
, ,
very very
beginning begin
. .
But but
it it
' '
s s
a a
necessary necessary
piece piece
for for
the the
tail tail
of of
emissions emission
. .
Giussani giussani
: :
And and
a a
third third
priority priority
is be
aviation aviation
biofuels biofuel
. .
Now now
flying fly
over over
the the
last last
several several
years year
has have
become become
a a
symbol symbol
of of
a a
polluting pollute
lifestyle lifestyle
, ,
let let
' '
s s
say say
. .
Why why
aviation aviation
biofuels biofuel
as as
a a
priority priority
? ?
Gates gate
: :
Well well
, ,
the the
great great
thing thing
about about
passenger passenger
cars car
is be
that that
even even
though though
batteries battery
don don
' '
t t
store store
energy energy
as as
well well
as as
gasoline gasoline
does do
, ,
there there
' '
s s
dramatic dramatic
difference difference
, ,
you you
can can
afford afford
to to
have have
the the
extra extra
size size
and and
weight weight
of of
those those
batteries battery
. .
On on
a a
plane plane
that that
is be
a a
large large
plane plane
going go
a a
long long
distance distance
, ,
there there
' '
s s
no no
chance chance
that that
batteries battery
will will
ever ever
have have
that that
energy energy
density density
. .
I i
mean mean
, ,
there there
' '
s s
some some
crazy crazy
people people
who who
are be
working work
on on
it it
, ,
and and
I i
' '
ll ll
be be
glad glad
to to
fund fund
them them
, ,
but but
you you
wouldn wouldn
' '
t t
want want
to to
count count
on on
that that
. .
And and
so so
you you
either either
have have
to to
use use
hydrogen hydrogen
as as
a a
plane plane
fuel fuel
, ,
that that
has have
certain certain
challenges challenge
, ,
or or
you you
just just
want want
to to
make make
today today
' '
s s
aviation aviation
fuel fuel
with with
green green
processes process
, ,
like like
using use
plants plant
as as
the the
source source
of of
how how
you you
make make
those those
. .
And and
so so
I i
' '
m m
the the
biggest big
individual individual
customer customer
of of
a a
group group
that that
makes make
green green
aviation aviation
fuel fuel
. .
So so
that that
' '
s s
what what
I i
' '
m m
using use
now now
, ,
costs cost
over over
twice twice
as as
much much
as as
the the
normal normal
aviation aviation
fuel fuel
. .
But but
as as
the the
demand demand
scales scale
up up
, ,
that that
' '
s s
one one
of of
those those
green green
premiums premium
that that
we we
hope hope
to to
bring bring
down down
so so
that that
at at
some some
point point
lots lot
of of
consumers consumer
will will
say say
, ,
" "
Yes yes
, ,
I i
' '
ll ll
pay pay
a a
little little
extra extra
on on
my my
plane plane
ticket ticket
, ,
" "
probably probably
through through
Catalyst catalyst
or or
through through
the the
airline airline
to to
make make
sure sure
that that
we we
' '
re re
building build
up up
that that
industry industry
and and
trying try
to to
get get
the the
costs cost
, ,
that that
green green
premium premium
down down
quite quite
a a
bit bit
. .
So so
this this
is be
a a
super super
important important
area area
that that
, ,
you you
know know
, ,
I i
was be
amazed amaze
when when
I i
went go
to to
buy buy
that that
I i
was be
by by
far far
the the
biggest big
individual individual
customer customer
. .
Giussani giussani
: :
It it
' '
s s
also also
, ,
of of
course course
, ,
a a
very very
symbolic symbolic
area area
, ,
right right
? ?
People people
think think
of of
cars car
and and
think think
of of
airplanes airplane
when when
they they
think think
of of
pollution pollution
and and
emissions emission
. .
There there
is be
a a
fourth fourth
technology technology
that that
I i
want want
to to
bring bring
up up
because because
you you
are be
an an
advocate advocate
of of
and and
an an
investor investor
in in
nuclear nuclear
power power
, ,
which which
is be
also also
not not
universally universally
accepted accept
as as
clean clean
energy energy
because because
of of
the the
risks risk
, ,
because because
of of
radioactive radioactive
waste waste
. .
Can can
you you
make make
the the
case case
, ,
briefly briefly
, ,
but but
can can
you you
make make
your your
case case
for for
nuclear nuclear
? ?
Gates gate
: :
Well well
, ,
one one
thing thing
that that
needs need
to to
be be
appreciated appreciate
is be
that that
energy energy
has have
to to
come come
from from
somewhere somewhere
. .
And and
so so
as as
you you
stop stop
using use
natural natural
gas gas
to to
heat heat
homes home
and and
gasoline gasoline
to to
power power
cars car
, ,
the the
electric electric
grid grid
will will
have have
to to
grow grow
dramatically dramatically
. .
And and
even even
in in
the the
case case
of of
the the
US us
, ,
where where
electricity electricity
demand demand
has have
been be
flat flat
the the
last last
few few
decades decade
, ,
will will
need need
to to
be be
almost almost
three three
times time
as as
large large
. .
As as
you you
do do
that that
with with
weather-dependent weather-dependent
sources source
, ,
the the
reliability reliability
of of
the the
electricity electricity
generation generation
goes go
away away
, ,
that that
as as
you you
get get
big big
cold cold
fronts front
that that
for for
10 @card@
days day
can can
stop stop
most most
of of
the the
wind wind
and and
solar solar
, ,
say say
, ,
in in
the the
Midwest midwest
. .
So so
the the
question question
is be
, ,
how how
do do
you you
use use
massive massive
amounts amount
of of
transmission transmission
and and
storage storage
and and
non non
weather-dependent weather-dependent
sources source
which which
at at
scale scale
nuclear nuclear
as as
the the
only only
choice choice
there there
, ,
to to
maintain maintain
that that
reliability reliability
and and
not not
have have
people people
, ,
say say
, ,
freeze freeze
to to
death death
. .
And and
nuclear nuclear
-- --
People people
will will
be be
pretty pretty
impressed impress
with with
how how
valuable valuable
it it
is be
to to
create create
that that
reliability reliability
. .
Now now
, ,
80 @card@
percent percent
, ,
at at
least least
in in
the the
US us
, ,
will will
be be
wind wind
and and
solar solar
. .
So so
we we
have have
to to
build build
that that
faster faster
than than
ever ever
. .
But but
what what
is be
that that
piece piece
that that
' '
s s
always always
available available
is be
where where
nuclear nuclear
would would
fit fit
in in
. .
Giussani giussani
: :
Now now
, ,
you you
talk talk
a a
lot lot
about about
scaling scale
up up
technologies technology
in in
the the
book book
. .
I i
want want
to to
ask ask
you you
a a
question question
about about
scaling scale
down down
, ,
because because
one one
thing thing
that that
' '
s s
absent absent
from from
your your
book book
is be
a a
discussion discussion
about about
scaling scale
down down
fossil fossil
fuel fuel
production production
, ,
maybe maybe
starting start
with with
at at
least least
not not
expanding expand
it it
anymore anymore
, ,
with with
adopting adopt
a a
sort sort
of of
fossil fossil
fuel fuel
nonproliferation nonproliferation
approach approach
, ,
because because
right right
now now
we we
are be
talking talk
about about
a a
green green
transition transition
, ,
but but
at at
the the
same same
time time
we we
are be
building build
out out
further further
fossil fossil
fuel fuel
infrastructure infrastructure
. .
What what
' '
s s
your your
view view
on on
that that
? ?
Gates gates
: :
Well well
, ,
it it
' '
s s
all all
about about
the the
demand demand
for for
fossil fossil
fuels fuel
and and
the the
fact fact
that that
the the
green green
premium premium
is be
very very
high high
. .
If if
you you
want want
to to
restrict restrict
supply supply
, ,
then then
you you
' '
ll ll
just just
drive drive
the the
price price
up up
. .
People people
still still
want want
to to
drive drive
to to
their their
job job
. .
If if
you you
know know
, ,
say say
you you
made make
fossil fossil
fuels fuel
illegal illegal
. .
You you
know know
, ,
try try
that that
for for
a a
few few
weeks week
. .
My my
view view
is be
you you
have have
to to
create create
a a
substitute substitute
because because
the the
services service
provided provide
by by
the the
fossil fossil
fuel fuel
are be
actually actually
quite quite
valuable valuable
. .
Electricity electricity
is be
valuable valuable
. .
Transportation transportation
is be
valuable valuable
. .
And and
are be
you you
willing willing
to to
drop drop
demand demand
for for
those those
things thing
to to
zero zero
? ?
So so
the the
capitalistic capitalistic
economy economy
will will
respond respond
. .
If if
it it
' '
s s
clear clear
, ,
you you
know know
, ,
how how
you you
' '
re re
going go
to to
do do
your your
tax tax
policies policy
and and
your your
credit credit
, ,
you you
' '
re re
going go
to to
drive drive
innovation innovation
, ,
then then
the the
infrastructure infrastructure
investments investment
in in
those those
things thing
will will
go go
down down
. .
We we
see see
that that
with with
coal coal
already already
today today
. .
But but
. .
. .
. .
Just just
speaking speak
against against
something something
when when
you you
haven haven
' '
t t
created create
an an
alternative alternative
isn isn
' '
t t
going go
to to
get get
you you
to to
zero zero
. .
Giussani giussani
: :
OK ok
, ,
I i
want want
to to
shift shift
topics topic
. .
You you
mentioned mention
before before
the the
pandemic pandemic
, ,
and and
your your
main main
focus focus
since since
you you
set set
up up
the the
Gates gates
Foundation foundation
has have
been be
on on
global global
health health
. .
I i
actually actually
read read
the the
letter letter
, ,
the the
annual annual
letter letter
you you
wrote write
with with
your your
wife wife
, ,
Melinda melinda
, ,
in in
January january
2021 @card@
, ,
which which
was be
very very
much much
about about
the the
COVID-19 covid-19
pandemic pandemic
. .
And and
I i
found find
myself myself
marveling marvel
at at
how how
what what
you you
write write
resonates resonate
with with
the the
climate climate
challenge challenge
. .
What what
lessons lesson
from from
the the
pandemic pandemic
can can
be be
actually actually
applied apply
to to
climate climate
? ?
Gates gate
: :
Well well
I i
think think
the the
biggest big
lesson lesson
is be
that that
governments government
got got
to to
, ,
on on
our our
behalf behalf
, ,
avoid avoid
disastrous disastrous
future future
outcomes outcome
. .
And and
individual individual
citizens citizen
aren aren
' '
t t
equipped equip
to to
either either
do do
those those
evaluations evaluation
or or
think think
through through
that that
R r
and and
D d
and and
deployment deployment
plan plan
that that
' '
s s
necessary necessary
here here
. .
And and
so so
we we
have have
to to
make make
it it
an an
imperative imperative
that that
governments government
, ,
hopefully hopefully
of of
any any
party party
, ,
join join
in in
to to
this this
. .
The the
pandemic pandemic
, ,
we we
did do
eventually eventually
get get
global global
cooperation cooperation
. .
The the
US us
didn didn
' '
t t
play play
its its
normal normal
role role
there there
, ,
but but
the the
private private
sector sector
innovation innovation
created create
the the
vaccine vaccine
. .
Now now
, ,
sadly sadly
, ,
with with
climate climate
, ,
the the
pain pain
it it
' '
s s
causing cause
gets get
worse bad
over over
time time
. .
So so
with with
the the
pandemic pandemic
, ,
we we
had have
all all
these these
deaths death
, ,
and and
people people
were be
like like
, ,
" "
Wow wow
, ,
OK ok
, ,
we we
should should
do do
something something
. .
" "
With with
climate climate
you you
can can
' '
t t
wait wait
. .
You you
know know
, ,
the the
coral coral
reefs reef
will will
have have
died die
off off
, ,
the the
species specie
will will
be be
gone go
. .
And and
so so
if if
you you
say say
, ,
" "
OK ok
, ,
well well
, ,
let let
' '
s s
, ,
when when
it it
gets get
bad bad
, ,
we we
' '
ll ll
invent invent
something something
like like
a a
vaccine vaccine
. .
" "
That that
doesn doesn
' '
t t
work work
, ,
because because
to to
stop stop
the the
emissions emission
, ,
you you
have have
to to
change change
every every
steel steel
plant plant
, ,
cement cement
plant plant
, ,
car car
, ,
things thing
that that
have have
massive massive
lead lead
times time
and and
literally literally
trillions trillion
of of
dollars dollar
of of
investment investment
. .
And and
so so
with with
the the
pandemic pandemic
, ,
we we
messed mess
up up
. .
We we
didn didn
' '
t t
pay pay
attention attention
. .
You you
know know
, ,
people people
like like
myself myself
said say
it it
was be
a a
problem problem
. .
But but
, ,
now now
we we
' '
re re
getting get
our our
way way
out out
of of
it it
through through
innovation innovation
. .
But but
climate climate
' '
s s
harder harder
, ,
much much
harder hard
problem problem
. .
And and
so so
the the
political political
will will
to to
get get
it it
right right
needs need
to to
be be
unprecedented unprecedented
compared compare
to to
the the
pandemic pandemic
or or
almost almost
any any
other other
political political
cause cause
. .
Giussani giussani
: :
I i
want want
to to
correct correct
you you
about about
private-sector private-sector
innovation innovation
, ,
because because
, ,
of of
course course
, ,
a a
lot lot
of of
public public
money money
went go
into into
funding funding
research research
and and
guaranteed guarantee
purchases purchase
. .
And and
so so
for for
the the
vaccines vaccine
. .
But but
that that
' '
s s
a a
separate separate
interview interview
. .
Gates gate
: :
Well well
, ,
the the
Pfizer pfizer
vaccine vaccine
used use
no no
government government
money money
. .
Giussani giussani
: :
That that
' '
s s
absolutely absolutely
true true
. .
Bill bill
, ,
still still
related relate
to to
our our
reaction reaction
to to
these these
big big
challenges challenge
, ,
over over
half half
of of
the the
total total
greenhouse greenhouse
gas gas
emissions emission
since since
2017 @card@
, ,
50 @card@
or or
51 @card@
have have
gone go
up up
in in
the the
atmosphere atmosphere
in in
the the
last last
30 @card@
years year
. .
And and
we we
have have
known know
for for
more more
than than
30 @card@
years year
that that
they they
have have
pernicious pernicious
effects effect
, ,
to to
say say
the the
least least
. .
So so
if if
we we
could could
mobilize mobilize
such such
enormous enormous
resources resource
and and
policies policy
and and
collaborations collaboration
and and
global global
collaborations collaboration
against against
COVID-19 covid-19
, ,
what what
' '
s s
the the
lever lever
we we
can can
use use
to to
mobilize mobilize
the the
same same
against against
climate climate
? ?
Gates gate
: :
Well well
, ,
until until
2015 @card@
, ,
nobody nobody
pushed push
for for
the the
R r
and and
D d
budgets budget
to to
go go
up up
. .
So so
, ,
you you
know know
, ,
there there
are be
times time
when when
I i
think think
" "
Wow wow
, ,
are be
we we
serious serious
, ,
are be
we we
not not
? ?
" "
You you
know know
, ,
that that
R r
and and
D d
question question
just just
wasn wasn
' '
t t
discussed discuss
. .
And and
you you
could could
read read
every every
paper paper
on on
green green
steel steel
and and
there there
were be
hardly hardly
any any
. .
And and
so so
we we
are be
just just
starting start
to to
get get
serious serious
about about
climate climate
. .
And and
you you
know know
, ,
we we
' '
ve ve
wasted waste
a a
lot lot
of of
time time
that that
we we
should should
have have
used use
to to
work work
on on
the the
hard hard
parts part
of of
climates climate
, ,
just just
having have
short-term short-term
goals goal
and and
not not
focusing focus
on on
the the
R r
and and
D d
piece piece
, ,
you you
know know
, ,
the the
last last
20 @card@
years year
, ,
we we
don don
' '
t t
have have
much much
to to
show show
for for
the the
hard hard
categories category
. .
Now now
, ,
there there
' '
s s
still still
time time
to to
get get
there there
. .
We we
will will
have have
to to
fund fund
adaptation adaptation
a a
great great
deal deal
because because
the the
2050 @card@
goal goal
is be
not not
because because
that that
' '
s s
a a
goal goal
that that
gives give
you you
zero zero
damage damage
. .
It it
' '
s s
simply simply
the the
goal goal
that that
is be
the the
most most
ambitious ambitious
that that
has have
a a
chance chance
of of
being be
achieved achieve
. .
And and
we we
are be
causing cause
problems problem
for for
subsistence subsistence
farmers farmer
and and
sea-level sea-level
rise rise
and and
wildfires wildfire
and and
natural natural
ecosystems ecosystem
. .
And and
so so
the the
adaptation adaptation
side side
is be
even even
more more
underfunded underfund
than than
the the
mitigation mitigation
side side
. .
For for
example example
, ,
helping help
poor poor
farmers farmer
with with
seeds seed
that that
can can
deal deal
with with
the the
droughts drought
and and
high high
temperatures temperature
is be
funded fund
at at
less less
than than
a a
billion billion
a a
year year
, ,
which which
is be
deeply deeply
tragic tragic
. .
Giussani giussani
: :
Bill bill
, ,
we we
' '
re re
getting get
towards towards
the the
end end
. .
I i
mentioned mention
at at
the the
beginning beginning
, ,
in in
the the
book book
you you
describe describe
yourself yourself
as as
an an
imperfect imperfect
messenger messenger
on on
climate climate
. .
What what
changes change
have have
you you
made make
in in
your your
personal personal
and and
family family
life life
to to
reduce reduce
your your
footprint footprint
? ?
Gates gates
: :
Well well
, ,
I i
' '
m m
certainly certainly
driving drive
an an
electric electric
car car
, ,
you you
know know
, ,
putting put
solar solar
panels panel
on on
the the
houses house
where where
that that
makes make
sense sense
. .
Using use
this this
green green
aviation aviation
fuel fuel
, ,
I i
still still
can can
' '
t t
say say
that that
I i
' '
ve ve
stopped stop
eating eat
meat meat
or or
that that
I i
never never
fly fly
. .
And and
so so
it it
' '
s s
mostly mostly
by by
funding fund
at at
over over
seven seven
million million
a a
year year
the the
products product
that that
although although
their their
green green
premiums premium
are be
very very
high high
today today
, ,
like like
the the
carbon carbon
capture capture
or or
like like
the the
aviation aviation
fuel fuel
, ,
by by
funding fund
those those
, ,
you you
actually actually
get get
those those
on on
to to
the the
learning learn
curve curve
to to
get get
those those
prices price
down down
very very
dramatically dramatically
. .
One one
area area
that that
I i
do do
is be
I i
fund fund
putting put
in in
electric electric
heat-pumps heat-pump
into into
low-cost low-cost
housing housing
. .
And and
so so
instead instead
of of
using use
natural natural
gas gas
, ,
they they
get get
a a
lower low
bill bill
because because
it it
' '
s s
done do
with with
electricity electricity
. .
And and
I i
paid pay
that that
extra extra
capital capital
cost cost
as as
an an
offset offset
. .
So so
, ,
you you
know know
, ,
accelerating accelerate
those those
demand demand
things thing
. .
I i
' '
ve ve
tried try
to to
get get
out out
in in
front front
of of
that that
. .
Giussani giussani
: :
You you
also also
talk talk
in in
the the
book book
about about
paying pay
more more
than than
market market
value value
or or
the the
current current
market market
price price
for for
offsets offset
, ,
and and
you you
hinted hint
to to
them them
before before
, ,
talking talk
about about
the the
golden golden
standard standard
. .
Tell tell
us us
about about
what what
kind kind
of of
-- --
offsets offset
can can
be be
kind kind
of of
confusing confusing
and and
controversial controversial
. .
What what
are be
the the
right right
offsets offset
? ?
Gates gates
: :
Well well
, ,
first first
of of
all all
, ,
it it
' '
s s
great great
that that
we we
' '
re re
finally finally
talking talk
about about
offsets offset
, ,
and and
any any
company company
that that
actually actually
looks look
at at
their their
emissions emission
and and
pays pay
for for
offsets offset
is be
way way
better good
than than
a a
company company
that that
either either
doesn doesn
' '
t t
look look
at at
their their
emissions emission
or or
looks look
at at
them them
and and
doesn doesn
' '
t t
pay pay
for for
offsets offset
. .
And and
so so
the the
leading lead
companies company
are be
now now
buying buy
offsets offset
, ,
some some
of of
them them
spending spend
hundreds hundred
of of
millions million
to to
buy buy
offsets offset
. .
That that
is be
a a
very very
, ,
very very
good good
thing thing
. .
The the
ability ability
to to
see see
which which
offsets offset
actually actually
have have
long-term long-term
benefit benefit
that that
really really
keep keep
the the
carbon carbon
out out
for for
the the
over over
thousands thousand
of of
years year
that that
count count
. .
There there
are be
now now
organizations organization
that that
I i
and and
others other
are be
funding fund
to to
label label
offsets offset
as as
either either
gold gold
standard standard
or or
different different
levels level
of of
impact impact
. .
And and
the the
price price
of of
offsets offset
range range
from from
15 @card@
dollars dollar
a a
ton ton
to to
600 @card@
dollars dollar
a a
ton ton
. .
Some some
of of
the the
low-cost low-cost
ones one
may may
be be
really really
legitimate legitimate
, ,
like like
reducing reduce
natural natural
gas gas
leakage leakage
. .
That that
is be
pretty pretty
dramatic dramatic
in in
some some
cases case
in in
terms term
of of
the the
dollars dollar
per per
tons ton
avoided avoid
there there
. .
A a
lot lot
of of
the the
forestry forestry
things thing
will will
probably probably
not not
end end
up up
looking look
that that
good good
, ,
as as
you you
really really
look look
at at
the the
lifetime lifetime
of of
the the
tree tree
or or
what what
would would
have have
happened happen
otherwise otherwise
. .
But but
, ,
you you
know know
, ,
at at
least least
we we
' '
re re
talking talk
about about
offsets offset
now now
. .
And and
now now
we we
' '
re re
going go
to to
do do
it it
in in
a a
thoughtful thoughtful
way way
. .
Giussani giussani
: :
So so
some some
of of
the the
people people
listening listen
to to
this this
interview interview
may may
already already
be be
very very
involved involve
with with
climate climate
, ,
others other
may may
be be
looking look
for for
ways way
to to
step step
up up
. .
And and
at at
the the
end end
of of
your your
book book
, ,
you you
have have
a a
chapter chapter
about about
individual individual
action action
. .
Give give
us us
maybe maybe
, ,
say say
, ,
two two
examples example
, ,
two two
practical practical
examples example
of of
things thing
that that
individual individual
citizens citizen
in in
the the
US us
, ,
but but
also also
