Christiana christiana
is be
the the
battery battery
compartment compartment
, ,
one one
of of
the the
battery battery
compartments compartment
. .
And and
this this
is be
where where
you you
would would
charge charge
. .
MZ mz
: :
Right right
there there
? ?
MI mi
: :
And and
we we
' '
re re
building building
on on
what what
these these
original original
pioneers pioneer
did do
. .
And and
I i
think think
it it
' '
s s
important important
to to
not not
think think
about about
us us
starting start
from from
scratch scratch
now now
. .
But but
go go
backwards backwards
, ,
think think
about about
how how
they they
solved solve
the the
problem problem
, ,
what what
disrupted disrupt
their their
ability ability
to to
advance advance
this this
to to
the the
market market
, ,
and and
then then
pick pick
those those
problems problem
up up
and and
make make
sure sure
we we
don don
' '
t t
get get
stuck stick
again again
. .
MZ mz
: :
So so
we we
' '
ve ve
been be
here here
before before
, ,
a a
moment moment
when when
electric electric
vehicles vehicle
could could
have have
taken take
off off
but but
didn didn
' '
t t
. .
So so
what what
do do
we we
need need
to to
do do
differently differently
this this
time time
? ?
MI mi
: :
Electric electric
vehicles vehicle
were be
able able
to to
deal deal
with with
mobility mobility
in in
urban urban
areas area
, ,
but but
there there
were be
charging charge
deserts desert
where where
rural rural
driving driving
resulted result
in in
no no
way way
to to
get get
back back
because because
you you
couldn couldn
' '
t t
find find
electric electric
charging charge
everywhere everywhere
. .
And and
that that
was be
a a
problem problem
. .
MZ mz
: :
And and
that that
' '
s s
what what
people people
are be
worried worry
about about
right right
now now
. .
We we
' '
re re
at at
the the
same same
thing thing
. .
We we
' '
re re
worried worry
about about
range range
, ,
we we
' '
re re
worried worry
about about
accessibility accessibility
. .
All all
of of
the the
things thing
are be
the the
same same
. .
But but
the the
key key
difference difference
being be
that that
we we
now now
know know
that that
our our
planet planet
can can
' '
t t
keep keep
going go
like like
this this
. .
MI mi
: :
That that
' '
s s
right right
. .
Had have
the the
vision vision
of of
the the
Model model
T t
assembly assembly
line line
and and
mass mass
manufacturing manufacturing
been be
applied apply
to to
electric electric
car car
, ,
the the
electric electric
car car
would would
have have
also also
dropped drop
in in
price price
, ,
but but
range range
and and
charging charge
deserts desert
would would
have have
still still
been be
the the
obstruction obstruction
. .
MZ mz
: :
OK ok
. .
We we
didn didn
' '
t t
have have
the the
technology technology
, ,
but but
we we
do do
now now
. .
MI mi
: :
We we
do do
now now
. .
MZ mz
: :
In in
the the
US us
, ,
there there
hasn hasn
' '
t t
been be
a a
mass mass
move move
to to
electric electric
vehicles vehicle
. .
. .
. .
yet yet
. .
Mujeeb mujeeb
' '
s s
company company
is be
one one
of of
many many
who who
want want
to to
change change
that that
by by
building build
batteries battery
that that
give give
drivers driver
longer longer
range range
. .
And and
these these
batteries battery
aren aren
' '
t t
just just
for for
cars car
. .
MI mi
: :
So so
we we
produce produce
battery battery
packs pack
for for
transportation transportation
, ,
but but
we we
' '
ve ve
also also
started start
developing develop
the the
same same
battery battery
products product
into into
grid grid
batteries battery
. .
So so
micro-grids micro-grid
are be
those those
technologies technology
that that
combine combine
solar solar
and and
storage storage
and and
replace replace
a a
coal coal
plant plant
or or
a a
natural natural
gas gas
plant plant
for for
generating generate
electricity electricity
. .
So so
buildings building
and and
industry industry
and and
transportation transportation
all all
working work
together together
. .
And and
that that
' '
s s
an an
exciting exciting
future future
, ,
is be
all all
these these
industries industry
working work
together together
, ,
that that
makes make
me me
more more
confident confident
that that
we we
' '
re re
at at
the the
time time
in in
history history
where where
this this
transition transition
will will
take take
place place
. .
MZ mz
: :
How how
many many
years year
till till
we we
get get
to to
that that
? ?
MI mi
: :
I i
think think
it it
' '
s s
within within
10 @card@
years year
. .
MZ mz
: :
No no
way way
, ,
10 @card@
years year
? ?
MI mi
: :
We we
' '
re re
in in
a a
place place
where where
that that
transition transition
is be
going go
to to
be be
much much
more more
visible visible
, ,
and and
then then
we we
just just
need need
technologies technology
to to
drive drive
it it
up up
to to
the the
mass mass
markets market
. .
MZ mz
: :
I i
am be
so so
excited excite
. .
Like like
, ,
genuinely genuinely
so so
excited excite
. .
Everyone everyone
everywhere everywhere
driving drive
electric electric
sounds sound
great great
, ,
but but
that that
also also
means mean
that that
the the
power power
to to
charge charge
all all
those those
vehicles vehicle
needs need
to to
be be
green green
. .
And and
that that
brings bring
us us
to to
the the
energy energy
sector sector
, ,
which which
is be
also also
changing change
at at
an an
incredible incredible
pace pace
, ,
even even
though though
renewable renewable
energy energy
has have
been be
years year
in in
the the
making making
. .
[ [
Chapter chapter
3 @card@
: :
Renewables renewables
] ]
TED-Ed ted-ed
: :
In in
the the
spring spring
of of
1954 @card@
, ,
the the
press press
excitedly excitedly
gathered gather
around around
Bell bell
Laboratories laboratories
' '
latest late
invention invention
: :
a a
silicon-based silicon-based
solar solar
cell cell
that that
could could
efficiently efficiently
convert convert
the the
sun sun
' '
s s
energy energy
into into
electrical electrical
current current
. .
The the
creation creation
was be
celebrated celebrate
as as
the the
dawn dawn
of of
a a
new new
era era
, ,
as as
reporters reporter
touted tout
that that
civilization civilization
would would
soon soon
run run
on on
the the
sun sun
' '
s s
limitless limitless
energy energy
. .
But but
the the
dream dream
had have
a a
catch catch
. .
As as
this this
first first
commercially commercially
sold sell
solar solar
cell cell
cost cost
around around
300 @card@
dollars dollar
per per
watt watt
, ,
meaning mean
at at
its its
current current
rate rate
it it
would would
cost cost
well well
over over
a a
million million
dollars dollar
to to
buy buy
a a
unit unit
large large
enough enough
to to
power power
a a
single single
home home
. .
But but
today today
, ,
in in
many many
countries country
, ,
solar solar
is be
the the
cheapest cheap
form form
of of
energy energy
to to
produce produce
, ,
surpassing surpass
fossil fossil
fuel fuel
alternatives alternative
like like
coal coal
and and
natural natural
gas gas
. .
Millions million
of of
homes home
are be
equipped equip
with with
rooftop rooftop
solar solar
, ,
with with
most most
units unit
paying pay
for for
themselves themselves
in in
their their
first first
seven seven
to to
12 @card@
years year
and and
then then
generating generate
further further
savings saving
. .
So so
how how
did do
solar solar
become become
so so
affordable affordable
? ?
A a
turning turn
point point
in in
solar solar
' '
s s
price price
history history
occurred occur
on on
the the
floor floor
of of
Germany germany
' '
s s
parliament parliament
, ,
where where
in in
2000 @card@
, ,
Hermann hermann
Scheer scheer
introduced introduce
the the
Renewable renewable
Energy energy
Sources sources
Act act
. .
This this
legislation legislation
laid lay
out out
a a
vision vision
for for
the the
country country
' '
s s
energy energy
future future
in in
solar solar
and and
wind wind
. .
It it
incentivized incentivized
citizens citizen
to to
personally personally
invest invest
in in
rooftop rooftop
solar solar
panels panel
by by
guaranteeing guarantee
payment payment
to to
homeowners homeowner
for for
the the
renewable renewable
energy energy
they they
generated generate
and and
sold sell
to to
the the
grid grid
. .
The the
pay pay
rate rate
for for
this this
electricity electricity
was be
highly highly
subsidized subsidize
, ,
at at
times time
reaching reach
four four
times time
the the
market market
price price
. .
Several several
other other
countries country
soon soon
followed follow
Germany germany
' '
s s
example example
, ,
implementing implement
similar similar
policies policy
and and
incentives incentive
to to
drive drive
their their
country country
' '
s s
solar solar
use use
. .
This this
created create
unprecedented unprecedented
demand demand
for for
solar solar
panels panel
worldwide worldwide
. .
Manufacturers manufacturer
were be
able able
to to
scale scale
up up
production production
and and
innovate innovate
in in
ways way
that that
cut cut
costs cost
. .
As as
a a
result result
, ,
solar solar
panel panel
prices price
dropped drop
while while
efficiency efficiency
grew grow
. .
HD hd
: :
We we
see see
the the
cost cost
reduction reduction
in in
solar solar
and and
other other
renewable renewable
energy energy
technologies technology
has have
been be
so so
steep steep
, ,
but but
a a
lot lot
of of
it it
is be
because because
of of
the the
enabling enable
regulatory regulatory
and and
policy policy
environments environment
created create
in in
places place
like like
the the
European european
Union union
and and
the the
US us
. .
Akil akil
Callender callender
: :
We we
cannot can
divert divert
catastrophic catastrophic
climate climate
change change
without without
addressing address
emissions emission
coming come
from from
our our
energy energy
systems system
. .
Currently currently
, ,
emissions emission
from from
the the
energy energy
system system
account account
for for
around around
two two
thirds third
of of
global global
greenhouse greenhouse
gas gas
emissions emission
. .
So so
the the
good good
news news
is be
, ,
yes yes
, ,
we we
are be
seeing see
tremendous tremendous
progress progress
across across
the the
globe globe
in in
renewable renewable
energy energy
. .
It it
' '
s s
rolling roll
out out
faster faster
than than
ever ever
before before
. .
Luisa luisa
Neubauer neubauer
: :
The the
brilliant brilliant
thing thing
about about
energy energy
supply supply
in in
the the
world world
is be
that that
we we
have have
alternatives alternative
. .
So so
we we
don don
' '
t t
need need
fossil fossil
fuels fuel
to to
provide provide
safe safe
and and
equitable equitable
access access
to to
energy energy
systems system
. .
Ramón ramón
Méndez méndez
Galain galain
: :
Almost almost
90 @card@
percent percent
of of
the the
total total
new new
installed installed
capacity capacity
all all
over over
the the
world world
is be
just just
renewable renewable
. .
This this
is be
a a
tremendous tremendous
change change
. .
AC ac
: :
There there
' '
s s
more more
finance finance
than than
ever ever
before before
going go
into into
clean clean
energy energy
. .
In in
many many
countries country
, ,
it it
is be
the the
largest large
contributor contributor
to to
their their
electricity electricity
system system
for for
the the
first first
time time
ever ever
. .
KB kb
: :
And and
also also
because because
China china
is be
the the
leading lead
manufacturing manufacturing
nation nation
in in
the the
world world
, ,
change change
is be
happening happen
there there
much much
faster faster
. .
And and
those those
innovations innovation
are be
then then
spreading spread
around around
the the
world world
. .
Hongquiao hongquiao
Liu liu
: :
China china
' '
s s
coal coal
demand demand
might might
not not
have have
peaked peak
, ,
and and
China china
will will
continue continue
to to
consume consume
quite quite
a a
lot lot
of of
coal coal
in in
the the
next next
few few
years year
. .
But but
the the
decarbonization decarbonization
is be
happening happen
. .
It it
' '
s s
happening happen
faster fast
than than
anyone anyone
has have
expected expect
, ,
and and
China china
is be
adding add
an an
astonishing astonishing
amount amount
of of
wind wind
and and
solar solar
to to
its its
grid grid
every every
year year
. .
Eduarda eduarda
Zoghbi zoghbi
: :
I i
think think
one one
of of
the the
biggest big
obstacles obstacle
today today
are be
natural natural
resources resource
, ,
in in
the the
sense sense
that that
we we
' '
re re
talking talk
more more
and and
more more
about about
critical critical
minerals mineral
and and
the the
role role
that that
they they
have have
. .
And and
batteries battery
are be
demanding demand
a a
lot lot
of of
critical critical
minerals mineral
that that
are be
present present
in in
most most
of of
the the
developing develop
countries country
. .
So so
I i
think think
that that
even even
though though
costs cost
are be
decreasing decrease
, ,
we we
have have
to to
be be
more more
and and
more more
creative creative
when when
it it
comes come
to to
recycling recycle
the the
batteries battery
. .
We we
also also
have have
to to
think think
of of
how how
they they
' '
re re
impacting impact
local local
communities community
. .
KB kb
: :
So so
to to
give give
you you
the the
numbers number
, ,
we we
extract extract
, ,
at at
the the
moment moment
, ,
15 @card@
, ,
000 @card@
million million
tons ton
of of
fossil fossil
fuels fuel
every every
year year
. .
The the
International international
Energy energy
Agency agency
says say
that that
we we
will will
need need
about about
43 @card@
million million
tons ton
of of
critical critical
materials material
in in
order order
to to
build build
out out
the the
clean clean
energy energy
economy economy
. .
So so
that that
' '
s s
300 @card@
times time
less less
stuff stuff
that that
is be
required require
. .
It it
' '
s s
worth worth
saying say
that that
the the
impact impact
of of
extracting extract
300 @card@
times time
less less
stuff stuff
upon upon
nature nature
is be
dramatically dramatically
lower low
. .
And and
I i
know know
that that
it it
' '
s s
often often
argued argue
that that
the the
renewable renewable
economy economy
may may
be be
damaging damaging
for for
nature nature
. .
Again again
, ,
this this
is be
a a
completely completely
false false
statement statement
. .
It it
' '
s s
in in
fact fact
, ,
our our
only only
chance chance
of of
reducing reduce
the the
pressure pressure
upon upon
our our
natural natural
resources resource
, ,
because because
there there
' '
s s
far far
less less
of of
it it
. .
MZ mz
: :
Of of
course course
, ,
transitioning transitioning
to to
using use
clean clean
energy energy
, ,
upending upend
industries industry
, ,
it it
has have
to to
happen happen
across across
the the
world world
, ,
not not
just just
here here
in in
the the
US us
. .
And and
it it
can can
be be
hard hard
to to
even even
imagine imagine
what what
life life
will will
be be
like like
. .
But but
carbon carbon
scientist scientist
and and
futurist futurist
Julio julio
Friedmann friedmann
can can
help help
us us
. .
Julio julio
Friedmann friedmann
: :
I i
think think
we we
need need
a a
compelling compelling
vision vision
of of
the the
future future
that that
gets get
people people
excited excite
about about
the the
energy energy
transition transition
and and
solving solve
climate climate
change change
. .
Right right
now now
, ,
it it
' '
s s
like like
we we
' '
re re
at at
a a
restaurant restaurant
and and
there there
' '
s s
two two
options option
: :
burnt burnt
toast toast
, ,
unflavored unflavored
oatmeal oatmeal
. .
And and
people people
are be
not not
excited excite
about about
either either
, ,
right right
? ?
The the
burnt burnt
toast toast
option option
for for
me me
is be
what what
I i
call call
the the
big big
switch switch
. .
Everything everything
' '
s s
the the
same same
, ,
it it
' '
s s
just just
clean clean
, ,
but but
it it
costs cost
a a
lot lot
of of
money money
and and
it it
' '
s s
super super
hard hard
to to
do do
. .
The the
other other
vision vision
is be
kind kind
of of
like like
, ,
" "
Thou thou
shalt shall
not not
. .
" "
That that
vision vision
is be
a a
narrower narrow
sort sort
of of
, ,
" "
eat eat
your your
peas pea
, ,
" "
hair hair
shirt shirt
kind kind
of of
vision vision
of of
the the
future future
. .
And and
a a
lot lot
of of
people people
don don
' '
t t
want want
that that
either either
. .
And and
there there
' '
s s
nothing nothing
in in
the the
physics physics
, ,
chemistry chemistry
or or
biology biology
that that
says say
we we
can can
' '
t t
have have
a a
super super
interesting interesting
, ,
exciting exciting
, ,
vibrant vibrant
world world
. .
And and
that that
is be
compelling compelling
in in
a a
way way
that that
we we
have have
not not
heard hear
yet yet
. .
MZ mz
: :
Help help
me me
out out
here here
, ,
what what
does do
that that
even even
look look
like like
? ?
JF jf
: :
So so
, ,
for for
lack lack
of of
a a
better good
word word
, ,
like like
, ,
I i
like like
the the
Marvel marvel
cinematic cinematic
universe universe
. .
MZ mz
: :
OK ok
, ,
I i
' '
ll ll
go go
with with
you you
. .
JF jf
: :
So so
a a
place place
like like
Wakanda wakanda
, ,
right right
? ?
It it
' '
s s
got get
flying fly
cars car
, ,
it it
' '
s s
got get
maglev maglev
trains train
, ,
and and
it it
' '
s s
a a
totally totally
fabulous fabulous
place place
to to
live live
. .
Like like
, ,
they they
' '
ve ve
got get
lots lot
of of
food food
. .
That that
is be
built build
on on
abundant abundant
, ,
sustainable sustainable
, ,
cheap cheap
energy energy
. .
MZ mz
: :
OK ok
, ,
so so
like like
, ,
we we
' '
re re
not not
Wakanda wakanda
, ,
we we
' '
re re
not not
in in
the the
Marvel marvel
universe universe
. .
This this
is be
real real
life life
, ,
sort sort
of of
. .
How how
do do
we we
make make
this this
possible possible
? ?
JF jf
: :
So so
what what
can can
you you
actually actually
do do
here here
on on
Earth earth
, ,
constrained constrain
by by
economics economics
and and
engineering engineering
and and
all all
the the
rest rest
of of
it it
, ,
right right
? ?
And and
the the
answer answer
is be
we we
can can
do do
an an
incredible incredible
amount amount
. .
Abundant abundant
, ,
available available
where where
you you
want want
it it
, ,
when when
you you
want want
it it
. .
Everybody everybody
should should
have have
energy energy
, ,
including include
the the
three three
billion billion
people people
who who
use use
less less
electricity electricity
than than
my my
refrigerator refrigerator
uses use
. .
Well well
, ,
the the
good good
news news
is be
, ,
every every
day day
, ,
the the
Earth earth
receives receive
163 @card@
, ,
000 @card@
terawatts terawatt
of of
energy energy
from from
the the
sun sun
. .
About about
half half
of of
that that
bounces bounce
back back
to to
space space
, ,
but but
about about
80 @card@
, ,
000 @card@
terawatts terawatt
arrive arrive
at at
the the
Earth earth
in in
a a
form form
we we
can can
use use
. .
For for
reference reference
, ,
today today
, ,
the the
world world
uses use
about about
26 @card@
terawatts terawatt
of of
energy energy
, ,
and and
we we
got get
more more
than than
solar solar
and and
wind wind
. .
We we
have have
geothermal geothermal
, ,
we we
have have
hydro hydro
, ,
we we
have have
nuclear nuclear
. .
There there
' '
s s
other other
kinds kind
of of
clean clean
energies energy
. .
And and
some some
of of
the the
best good
resources resource
are be
, ,
in in
fact fact
, ,
in in
the the
Global global
South south
. .
These these
places place
are be
not not
simply simply
future future
climate climate
victims victim
. .
These these
places place
are be
latent latent
energy energy
superpowers superpower
. .
My my
favorite favorite
example example
of of
this this
is be
Chile chile
. .
Almost almost
eight eight
years year
ago ago
now now
their their
government government
said say
, ,
wait wait
a a
second second
, ,
we we
can can
make make
the the
cheapest cheap
green green
electricity electricity
on on
Earth earth
. .
We we
have have
hydropower hydropower
, ,
we we
have have
solar solar
power power
, ,
we we
have have
wind wind
power power
and and
the the
best good
resources resource
anywhere anywhere
in in
the the
world world
. .
So so
let let
' '
s s
start start
by by
making make
a a
lot lot
of of
green green
electricity electricity
. .
And and
then then
they they
said say
, ,
because because
of of
that that
, ,
we we
can can
also also
make make
green green
hydrogen hydrogen
cheaper cheap
than than
anywhere anywhere
else else
. .
And and
then then
Japan japan
was be
like like
, ,
hello hello
, ,
we we
want want
your your
green green
hydrogen hydrogen
. .
Can can
you you
ship ship
it it
to to
us us
? ?
MZ mz
: :
Is be
that that
possible possible
? ?
JF jf
: :
Totally totally
. .
And and
Japan japan
is be
like like
, ,
we we
will will
also also
give give
you you
money money
to to
pay pay
for for
these these
projects project
. .
We we
' '
ll ll
loan loan
you you
money money
to to
pay pay
for for
these these
projects project
. .
Could could
you you
please please
use use
Japanese japanese
technology technology
? ?
So so
they they
' '
re re
using use
Japanese japanese
turbines turbine
, ,
electrolyzers electrolyzers
, ,
they they
' '
re re
using use
Japanese japanese
ships ship
to to
haul haul
the the
ammonia ammonia
around around
. .
So so
Japan japan
gets get
rich rich
on on
this this
, ,
Chile chile
gets get
rich rich
on on
this this
. .
MZ mz
: :
Win-win win-win
. .
JF jf
: :
Totally totally
win-win win-win
. .
MZ mz
: :
Win-win-win win-win-win
, ,
planet planet
, ,
too too
. .
JF jf
: :
And and
that that
model model
, ,
other other
countries country
are be
looking look
at at
that that
, ,
going go
, ,
I i
want want
some some
of of
that that
. .
And and
that that
' '
s s
why why
I i
like like
this this
vision vision
of of
abundance abundance
. .
15 @card@
years year
ago ago
, ,
solar solar
was be
the the
most most
expensive expensive
power power
. .
Now now
it it
is be
the the
cheapest cheap
form form
of of
electricity electricity
, ,
right right
? ?
Which which
is be
astonishing astonishing
, ,
it it
' '
s s
totally totally
amazing amazing
. .
And and
a a
whole whole
bunch bunch
of of
people people
are be
like like
, ,
now now
we we
' '
re re
done do
. .
And and
I i
' '
m m
like like
, ,
no no
, ,
we we
can can
do do
that that
with with
everything everything
. .
We we
can can
do do
that that
with with
wind wind
. .
We we
can can
do do
that that
with with
nuclear nuclear
, ,
we we
can can
do do
that that
with with
geothermal geothermal
. .
But but
these these
projects project
take take
time time
, ,
money money
and and
people people
. .
We we
need need
to to
develop develop
the the
human human
capital capital
as as
part part
of of
these these
investment investment
projects project
for for
decades decade
. .
And and
innovation innovation
, ,
we we
need need
much much
more more
energy energy
in in
many many
places place
, ,
much much
cheaper cheap
. .
That that
' '
s s
an an
innovation innovation
agenda agenda
. .
For for
solar solar
, ,
that that
was be
the the
United united
States states
, ,
Germany germany
, ,
China china
and and
others other
acting act
together together
. .
Well well
, ,
if if
that that
' '
s s
the the
recipe recipe
, ,
we we
can can
do do
that that
again again
. .
We we
' '
re re
already already
doing do
it it
with with
electric electric
vehicles vehicle
and and
clean clean
hydrogen hydrogen
production production
. .
We we
can can
certainly certainly
do do
it it
by by
turning turn
electricity electricity
into into
fuels fuel
. .
MZ mz
: :
It it
sounds sound
like like
the the
climate climate
discussion discussion
needs need
to to
be be
kind kind
of of
like like
improv improv
, ,
that that
it it
' '
s s
a a
" "
yes yes
and and
" "
sort sort
of of
thing thing
. .
JF jf
: :
I i
' '
m m
so so
glad glad
you you
said say
that that
. .
So so
many many
people people
don don
' '
t t
understand understand
my my
love love
of of
improv improv
comedy comedy
. .
Yes yes
, ,
it it
is be
a a
" "
yes yes
and and
" "
circumstance circumstance
. .
Because because
mostly mostly
it it
is be
about about
room room
for for
agreement agreement
. .
Where where
do do
you you
find find
the the
point point
where where
everybody everybody
is be
like like
, ,
I i
can can
agree agree
on on
that that
? ?
One one
of of
the the
things thing
I i
love love
about about
the the
infrastructure infrastructure
bill bill
, ,
one one
of of
the the
things thing
I i
love love
about about
the the
Inflation inflation
Reduction reduction
Act act
, ,
neither neither
of of
them them
had have
the the
word word
climate climate
in in
it it
. .
They they
were be
both both
massive massive
climate climate
bills bill
, ,
right right
? ?
That that
was be
a a
way way
to to
get get
everybody everybody
on on
the the
same same
page page
. .
Nationwide nationwide
, ,
they they
basically basically
tripled triple
the the
clean clean
energy energy
research research
budget budget
. .
That that
' '
s s
a a
good good
start start
. .
But but
that that
made make
it it
all all
of of
one one
percent percent
of of
GDP gdp
. .
And and
for for
comparison comparison
, ,
we we
spend spend
twice twice
that that
on on
pharmaceuticals pharmaceuticals
. .
So so
I i
think think
it it
' '
s s
fair fair
to to
say say
we we
should should
get get
going go
. .
We we
should should
spend spend
a a
lot lot
more more
money money
. .
We we
' '
ve ve
done do
stuff stuff
like like
this this
before before
. .
We we
' '
ve ve
done do
World world
War war
II ii
, ,
we we
' '
ve ve
done do
the the
Marshall marshall
Plan plan
, ,
like like
, ,
we we
' '
ve ve
done do
the the
space space
shot shot
, ,
like like
we we
actually actually
know know
how how
to to
move move
really really
quickly quickly
as as
a a
nation nation
. .
We we
did do
this this
for for
COVID covid
. .
Collective collective
action action
, ,
building build
together together
is be
what what
makes make
the the
difficult difficult
possible possible
and and
nourishes nourish
the the
soul soul
through through
mission mission
and and
purpose purpose
. .
We we
know know
what what
to to
do do
and and
we we
can can
act act
, ,
not not
out out
of of
anger anger
or or
fear fear
, ,
but but
out out
of of
generosity generosity
and and
common common
purpose purpose
, ,
bringing bring
aspiration aspiration
and and
humility humility
together together
. .
We we
' '
re re
going go
to to
build build
a a
thriving thriving
, ,
vibrant vibrant
, ,
exciting exciting
world world
full full
of of
potential potential
that that
' '
s s
going go
to to
be be
built build
on on
the the
back back
of of
infrastructure infrastructure
, ,
innovation innovation
and and
investment investment
that that
will will
harness harness
the the
abundant abundant
, ,
sustainable sustainable
, ,
cheap cheap
energy energy
that that
is be
our our
planet planet
' '
s s
endowment endowment
. .
Thank thank
you you
. .
[ [
Chapter chapter
4 @card@
: :
A a
Just just
Transition transition
] ]
FD fd
: :
There there
is be
a a
high high
risk risk
that that
when when
those those
exponential exponential
kick kick
in in
, ,
we we
see see
businesses business
running run
after after
those those
opportunities opportunity
. .
But but
then then
the the
distribution distribution
of of
the the
benefits benefit
being be
very very
unequal unequal
. .
EZ ez
: :
Many many
people people
like like
discussing discuss
the the
importance importance
of of
the the
just just
energy energy
transition transition
. .
And and
a a
lot lot
of of
people people
don don
' '
t t
understand understand
what what
justice justice
really really
means mean
. .
If if
we we
are be
to to
reach reach
a a
revolution revolution
, ,
a a
renewable renewable
energy energy
future future
has have
to to
be be
inclusive inclusive
. .
AC ac
: :
We we
have have
this this
push push
for for
what what
we we
' '
re re
calling call
a a
just just
and and
equitable equitable
energy energy
transition transition
. .
We we
need need
to to
make make
sure sure
that that
we we
are be
not not
exacerbating exacerbate
inequality inequality
, ,
but but
rather rather
we we
are be
ensuring ensure
that that
that that
gap gap
is be
closed close
and and
that that
the the
groups group
that that
have have
been be
historically historically
marginalized marginalize
are be
not not
once once
again again
being be
marginalized marginalize
in in
a a
new new
way way
. .
NT nt
: :
Most most
of of
emissions emission
come come
from from
wealthy wealthy
, ,
energy-guzzling energy-guzzling
citizens citizen
, ,
but but
a a
lot lot
of of
the the
economic economic
benefit benefit
and and
human human
development development
benefit benefit
will will
come come
not not
from from
decarbonizing decarbonize
high-carbon high-carbon
lives life
and and
lifestyles lifestyle
, ,
but but
from from
providing provide
clean clean
, ,
distributed distribute
energy energy
and and
tools tool
and and
solutions solution
to to
those those
who who
don don
' '
t t
have have
access access
to to
any any
of of
them them
. .
LN ln
: :
When when
we we
speak speak
of of
countries country
in in
need need
of of
economic economic
development development
, ,
we we
mostly mostly
speak speak
of of
countries country
that that
are be
hit hit
by by
the the
climate climate
crisis crisis
the the
hardest hard
right right
now now
. .
It it
should should
be be
the the
biggest big
wish wish
and and
job job
and and
task task
for for
all all
those those
countries country
who who
have have
burned burn
so so
much much
fossil fossil
fuel fuel
already already
to to
support support
any any
other other
country country
in in
the the
so-called so-called
Global global
South south
, ,
to to
get get
an an
economy economy
running run
without without
fossil fossil
fuels fuel
, ,
to to
not not
repeat repeat
all all
the the
mistakes mistake
that that
we we
have have
made make
. .
HD hd
: :
To to
ensure ensure
that that
the the
solar solar
revolution revolution
that that
has have
been be
seen see
around around
the the
world world
comes come
to to
places place
like like
Africa africa
, ,
we we
need need
to to
be be
really really
conscious conscious
that that
the the
history history
and and
the the
lived live
experience experience
when when
it it
comes come
to to
energy energy
is be
very very
different different
for for
poor poor
countries country
. .
Rebekah rebekah
Shirley shirley
: :
We we
love love
to to
remind remind
Global global
South south
communities community
, ,
especially especially
Africa africa
, ,
about about
the the
vast vast
renewable renewable
energy energy
potential potential
that that
they they
have have
, ,
which which
is be
true true
. .
But but
the the
finance finance
flows flow
to to
deliver deliver
on on
that that
potential potential
remain remain
very very
scarce scarce
. .
Africa africa
, ,
despite despite
being be
90 @card@
percent percent
of of
those those
across across
the the
entire entire
globe globe
that that
still still
do do
not not
have have
access access
to to
electricity electricity
and and
being be
17 @card@
percent percent
of of
the the
global global
population population
, ,
we we
' '
re re
actually actually
two two
percent percent
of of
international international
finance finance
. .
Money money
doesn doesn
' '
t t
actually actually
flow flow
to to
these these
spaces space
naturally naturally
, ,
and and
we we
need need
to to
do do
a a
lot lot
of of
work work
to to
get get
global global
finance finance
to to
these these
spaces space
. .
MZ mz
: :
A a
world world
of of
abundant abundant
clean clean
energy energy
for for
everyone everyone
. .
That that
is be
the the
goal goal
. .
But but
what what
about about
in in
the the
short short
term term
? ?
Take take
Detroit detroit
. .
This this
once-wealthy once-wealthy
city city
has have
been be
through through
some some
seriously seriously
hard hard
times time
. .
How how
is be
it it
rebuilding rebuild
itself itself
so so
that that
everyone everyone
here here
can can
thrive thrive
while while
dealing deal
with with
extreme extreme
heat heat
, ,
flooding flooding
, ,
and and
other other
climate climate
problems problem
? ?
Anika anika
Goss goss
is be
looking look
to to
Detroit detroit
' '
s s
past past
to to
plan plan
its its
future future
. .
AG ag
: :
I i
am be
a a
third-generation third-generation
Detroiter detroiter
. .
My my
grandmother grandmother
moved move
to to
Detroit detroit
in in
1936 @card@
during during
the the
Great great
Migration migration
and and
brought bring
all all
of of
her her
southern southern
ways way
with with
her her
. .
She she
owned own
a a
home home
and and
knew know
that that
home home
ownership ownership
would would
create create
wealth wealth
and and
opportunity opportunity
for for
her her
growing grow
family family
. .
Up up
until until
the the
late late
1950s 1950s
, ,
Detroit detroit
was be
a a
haven haven
for for
middle-class middle-class
families family
living live
in in
neighborhoods neighborhood
where where
there there
was be
green green
space space
and and
community community
connectivity connectivity
and and
opportunity opportunity
. .
My my
grandmother grandmother
, ,
she she
had have
this this
amazing amazing
garden garden
, ,
and and
it it
was be
just just
abundant abundant
. .
There there
were be
all all
kinds kind
of of
flowers flower
and and
food food
. .
You you
know know
, ,
she she
grew grow
vegetables vegetable
back back
there there
, ,
and and
it it
was be
just just
a a
magical magical
place place
for for
a a
little little
girl girl
. .
MZ mz
: :
I i
mean mean
, ,
what what
you you
' '
re re
describing describe
is be
a a
Detroit detroit
that that
, ,
yes yes
, ,
has have
huge huge
problems problem
, ,
segregation segregation
. .
But but
at at
the the
same same
time time
, ,
a a
woman woman
, ,
she she
can can
have have
a a
job job
, ,
she she
can can
own own
a a
house house
, ,
she she
can can
raise raise
her her
family family
, ,
she she
can can
have have
fresh fresh
fruits fruit
and and
vegetables vegetable
. .
AG ag
: :
It it
was be
certainly certainly
a a
place place
where where
you you
could could
gain gain
economic economic
opportunity opportunity
faster faster
than than
you you
can can
now now
. .
My my
grandmother grandmother
' '
s s
Detroit detroit
is be
not not
the the
Detroit detroit
that that
I i
live live
