Once once
Air air
Force force
in in
England england
. .
And and
this this
is be
a a
long long
time time
ago ago
: :
you you
were be
allowed allow
to to
do do
things thing
then then
you you
can can
' '
t t
do do
today today
. .
So so
, ,
my my
father father
would would
have have
patients patient
come come
in in
who who
he he
thought think
were be
not not
really really
sick sick
. .
And and
he he
had have
a a
big big
jar jar
full full
of of
placebo placebo
pills pill
that that
he he
would would
give give
them them
, ,
and and
he he
' '
d d
say say
, ,
" "
Come come
back back
in in
a a
week week
, ,
if if
you you
still still
feel feel
lousy lousy
. .
" "
OK ok
, ,
and and
most most
of of
them them
would would
not not
come come
back back
, ,
but but
some some
of of
them them
would would
come come
back back
. .
And and
when when
they they
came come
back back
, ,
he he
, ,
still still
convinced convince
they they
were be
not not
sick sick
, ,
had have
another another
jar jar
of of
pills pill
. .
In in
this this
jar jar
were be
huge huge
horse horse
pills pill
. .
They they
were be
almost almost
impossible impossible
to to
swallow swallow
. .
And and
these these
, ,
to to
me me
, ,
are be
the the
analogy analogy
for for
the the
car car
seats seat
. .
People people
would would
look look
at at
these these
and and
say say
, ,
" "
Man man
, ,
this this
thing thing
is be
so so
big big
and and
so so
hard hard
to to
swallow swallow
. .
If if
this this
doesn doesn
' '
t t
make make
me me
feel feel
better good
, ,
you you
know know
, ,
what what
possibly possibly
could could
? ?
" "
And and
it it
turned turn
out out
that that
most most
people people
wouldn wouldn
' '
t t
come come
back back
, ,
because because
it it
worked work
. .
But but
every every
once once
in in
a a
while while
, ,
there there
was be
still still
a a
patient patient
convinced convince
that that
he he
was be
sick sick
, ,
and and
he he
' '
d d
come come
back back
. .
And and
my my
dad dad
had have
a a
third third
jar jar
of of
pills pill
. .
And and
the the
jar jar
of of
pills pill
he he
had have
, ,
he he
said say
, ,
were be
the the
tiniest tiny
little little
pills pill
he he
could could
find find
, ,
so so
small small
you you
could could
barely barely
see see
them them
. .
And and
he he
would would
say say
, ,
listen listen
, ,
I i
know know
I i
gave give
you you
that that
huge huge
pill pill
, ,
that that
complicated complicated
, ,
hard-to-swallow hard-to-swallow
pill pill
before before
, ,
but but
now now
I i
' '
ve ve
got get
one one
that that
' '
s s
so so
potent potent
, ,
that that
is be
really really
tiny tiny
and and
small small
and and
almost almost
invisible invisible
. .
It it
' '
s s
almost almost
like like
this this
thing thing
here here
, ,
which which
you you
can can
' '
t t
even even
see see
. .
" "
And and
it it
turned turn
out out
that that
never never
, ,
in in
all all
the the
times time
my my
dad dad
gave give
out out
this this
pill pill
, ,
the the
really really
tiny tiny
pill pill
, ,
did do
anyone anyone
ever ever
come come
back back
still still
complaining complain
of of
sickness sickness
. .
So so
, ,
my my
dad dad
always always
took take
that that
as as
evidence evidence
that that
this this
little little
, ,
teeny teeny
, ,
powerful powerful
pill pill
had have
the the
ultimate ultimate
placebo placebo
effect effect
. .
And and
in in
some some
sense sense
, ,
if if
that that
' '
s s
the the
right right
story story
, ,
I i
think think
integrated integrated
car car
seats seat
you you
will will
see see
, ,
very very
quickly quickly
, ,
becoming become
something something
that that
everyone everyone
has have
. .
The the
other other
possible possible
conclusion conclusion
is be
, ,
well well
, ,
maybe maybe
after after
coming come
to to
my my
father father
three three
times time
, ,
getting get
sent send
home home
with with
placebos placebo
, ,
he he
still still
felt feel
sick sick
, ,
he he
went go
and and
found find
another another
doctor doctor
. .
And and
that that
' '
s s
completely completely
possible possible
. .
And and
if if
that that
' '
s s
the the
case case
, ,
then then
I i
think think
we we
' '
re re
stuck stick
with with
conventional conventional
car car
seats seat
for for
a a
long long
time time
to to
come come
. .
Thank thank
you you
very very
much much
. .
Steven steven
Levitt levitt
: :
Yeah yeah
, ,
that that
' '
s s
a a
great great
question question
. .
In in
my my
data datum
, ,
and and
in in
another another
data datum
set set
I i
' '
ve ve
looked look
at at
for for
New new
Jersey jersey
crashes crash
, ,
I i
find find
very very
small small
differences difference
in in
injury injury
. .
So so
in in
this this
data datum
, ,
it it
' '
s s
statistically statistically
insignificant insignificant
differences difference
in in
injury injury
between between
car car
seats seat
and and
lap-and-shoulder lap-and-shoulder
belts belt
. .
In in
the the
New new
Jersey jersey
data datum
, ,
which which
is be
different different
, ,
because because
it it
' '
s s
not not
just just
fatal fatal
crashes crash
, ,
but but
all all
crashes crash
in in
New new
Jersey jersey
that that
are be
reported report
, ,
it it
turns turn
out out
that that
there there
is be
a a
10 @card@
percent percent
difference difference
in in
injuries injury
, ,
but but
generally generally
they they
' '
re re
the the
minor minor
injuries injury
. .
Now now
, ,
what what
' '
s s
interesting interesting
, ,
I i
should should
say say
this this
as as
a a
disclaimer disclaimer
, ,
there there
is be
medical medical
literature literature
that that
is be
very very
difficult difficult
to to
resolve resolve
with with
this this
other other
data datum
, ,
which which
suggests suggest
that that
car car
seats seat
are be
dramatically dramatically
better well
. .
And and
they they
use use
a a
completely completely
different different
methodology methodology
that that
involves involve
— -
after after
the the
crash crash
occurs occur
, ,
they they
get get
from from
the the
insurance insurance
companies company
the the
names name
of of
the the
people people
who who
were be
in in
the the
crash crash
, ,
and and
they they
call call
them them
on on
the the
phone phone
, ,
and and
they they
asked ask
them them
what what
happened happen
. .
And and
I i
really really
can can
' '
t t
resolve resolve
, ,
yet yet
, ,
and and
I i
' '
d d
like like
to to
work work
with with
these these
medical medical
researchers researcher
to to
try try
to to
understand understand
how how
there there
can can
be be
these these
differences difference
, ,
which which
are be
completely completely
at at
odds odd
with with
one one
another another
. .
But but
it it
' '
s s
obviously obviously
a a
critical critical
question question
. .
The the
question question
is be
even even
if if
— -
are be
there there
enough enough
serious serious
injuries injury
to to
make make
these these
cost-effective cost-effective
? ?
It it
' '
s s
kind kind
of of
tricky tricky
. .
Even even
if if
they they
' '
re re
right right
, ,
it it
' '
s s
not not
so so
clear clear
that that
they they
' '
re re
so so
cost-effective cost-effective
. .
