Two two
Actually actually
the the
fact fact
that that
art art
cannot can
change change
things thing
makes make
it it
a a
neutral neutral
place place
for for
exchanges exchange
and and
discussions discussion
, ,
and and
then then
enables enable
you you
to to
change change
the the
world world
. .
When when
I i
do do
my my
work work
, ,
I i
have have
two two
kinds kind
of of
reactions reaction
. .
People people
say say
, ,
" "
Oh oh
, ,
why why
don don
' '
t t
you you
go go
in in
Iraq iraq
or or
Afghanistan afghanistan
. .
They they
would would
be be
really really
useful useful
. .
" "
Or or
, ,
" "
How how
can can
we we
help help
? ?
" "
I i
presume presume
that that
you you
belong belong
to to
the the
second second
category category
, ,
and and
that that
' '
s s
good good
, ,
because because
for for
that that
project project
, ,
I i
' '
m m
going go
to to
ask ask
you you
to to
take take
the the
photos photo
and and
paste paste
them them
. .
So so
now now
my my
wish wish
is be
: :
I i
wish wish
for for
you you
to to
stand stand
up up
for for
what what
you you
care care
about about
by by
participating participate
in in
a a
global global
art art
project project
, ,
and and
together together
we we
' '
ll ll
turn turn
the the
world world
inside inside
out out
. .
And and
this this
starts start
right right
now now
. .
Yes yes
, ,
everyone everyone
in in
the the
room room
. .
Everyone everyone
watching watching
. .
I i
wanted want
that that
wish wish
to to
actually actually
start start
now now
. .
So so
a a
subject subject
you you
' '
re re
passionate passionate
about about
, ,
a a
person person
who who
you you
want want
to to
tell tell
their their
story story
or or
even even
your your
own own
photos photo
— -
tell tell
me me
what what
you you
stand stand
for for
. .
Take take
the the
photos photo
, ,
the the
portraits portrait
, ,
upload upload
it it
— -
I i
' '
ll ll
give give
you you
all all
the the
details detail
— -
and and
I i
' '
ll ll
send send
you you
back back
your your
poster poster
. .
Join join
by by
groups group
and and
reveal reveal
things thing
to to
the the
world world
. .
The the
full full
data data
is be
on on
the the
website website
— -
insideoutproject insideoutproject
. .
net net
— -
that that
is be
launching launch
today today
. .
What what
we we
see see
changes change
who who
we we
are be
. .
When when
we we
act act
together together
, ,
the the
whole whole
thing thing
is be
much much
more more
than than
the the
sum sum
of of
the the
parts part
. .
So so
I i
hope hope
that that
, ,
together together
, ,
we we
' '
ll ll
create create
something something
that that
the the
world world
will will
remember remember
. .
And and
this this
starts start
right right
now now
and and
depends depend
on on
you you
. .
Thank thank
you you
. .
Thank thank
you you
. .
